,Sex of employee,Type of employment contract,Other characteristics employee,Industry class / branch (SIC2008),Periods,Employment/Jobs (x 1 000)
12,Total,Total,Total,A-U All economic activities,2020,8391.0
27,Total,Total,Total,A-F Agriculture and industry,2020,1287.0
42,Total,Total,Total,"A Agriculture, forestry and fishing",2020,112.0
57,Total,Total,Total,B-F Manifacturing and energy,2020,1175.0
72,Total,Total,Total,"B-E Industry (no construction), energy",2020,839.0
87,Total,Total,Total,B Mining and quarrying ,2020,8.0
102,Total,Total,Total,C Manufacturing,2020,766.0
117,Total,Total,Total,D Energy supply,2020,29.0
132,Total,Total,Total,E Water supply and waste management,2020,36.0
147,Total,Total,Total,F Construction,2020,336.0
162,Total,Total,Total,G-N Commercial services,2020,4328.0
177,Total,Total,Total,"G-I Trade, transport, hotels, catering",2020,2192.0
192,Total,Total,Total,G Wholesale and retail trade,2020,1411.0
207,Total,Total,Total,H Transportation and storage,2020,386.0
222,Total,Total,Total,I Accommodation and food serving,2020,396.0
237,Total,Total,Total,J Information and communication,2020,290.0
252,Total,Total,Total,K Financial institutions,2020,274.0
267,Total,Total,Total,"L Renting, buying, selling real estate",2020,68.0
282,Total,Total,Total,M-N Business services,2020,1503.0
297,Total,Total,Total,M Other specialised business services,2020,531.0
312,Total,Total,Total,N Renting and other business support,2020,973.0
327,Total,Total,Total,O-U Noncommercial services,2020,2776.0
342,Total,Total,Total,O-Q Government and care,2020,2512.0
357,Total,Total,Total,O Public administration and services,2020,537.0
372,Total,Total,Total,P Education,2020,542.0
387,Total,Total,Total,Q Health and social work activities,2020,1433.0
402,Total,Total,Total,"R-U Culture, recreation, other services",2020,265.0
417,Total,Total,Total,"R Culture, sports and recreation",2020,133.0
432,Total,Total,Total,S Other service activities,2020,132.0
447,Total,Total,Younger than 15 years,A-U All economic activities,2020,16.0
462,Total,Total,Younger than 15 years,A-F Agriculture and industry,2020,4.0
477,Total,Total,Younger than 15 years,"A Agriculture, forestry and fishing",2020,4.0
492,Total,Total,Younger than 15 years,B-F Manifacturing and energy,2020,1.0
507,Total,Total,Younger than 15 years,"B-E Industry (no construction), energy",2020,1.0
522,Total,Total,Younger than 15 years,B Mining and quarrying ,2020,0.0
537,Total,Total,Younger than 15 years,C Manufacturing,2020,1.0
552,Total,Total,Younger than 15 years,D Energy supply,2020,0.0
567,Total,Total,Younger than 15 years,E Water supply and waste management,2020,0.0
582,Total,Total,Younger than 15 years,F Construction,2020,0.0
597,Total,Total,Younger than 15 years,G-N Commercial services,2020,12.0
612,Total,Total,Younger than 15 years,"G-I Trade, transport, hotels, catering",2020,10.0
627,Total,Total,Younger than 15 years,G Wholesale and retail trade,2020,8.0
642,Total,Total,Younger than 15 years,H Transportation and storage,2020,0.0
657,Total,Total,Younger than 15 years,I Accommodation and food serving,2020,3.0
672,Total,Total,Younger than 15 years,J Information and communication,2020,0.0
687,Total,Total,Younger than 15 years,K Financial institutions,2020,0.0
702,Total,Total,Younger than 15 years,"L Renting, buying, selling real estate",2020,0.0
717,Total,Total,Younger than 15 years,M-N Business services,2020,1.0
732,Total,Total,Younger than 15 years,M Other specialised business services,2020,0.0
747,Total,Total,Younger than 15 years,N Renting and other business support,2020,1.0
762,Total,Total,Younger than 15 years,O-U Noncommercial services,2020,0.0
777,Total,Total,Younger than 15 years,O-Q Government and care,2020,0.0
792,Total,Total,Younger than 15 years,O Public administration and services,2020,0.0
807,Total,Total,Younger than 15 years,P Education,2020,0.0
822,Total,Total,Younger than 15 years,Q Health and social work activities,2020,0.0
837,Total,Total,Younger than 15 years,"R-U Culture, recreation, other services",2020,0.0
852,Total,Total,Younger than 15 years,"R Culture, sports and recreation",2020,0.0
867,Total,Total,Younger than 15 years,S Other service activities,2020,0.0
882,Total,Total,15 to 19 years,A-U All economic activities,2020,631.0
897,Total,Total,15 to 19 years,A-F Agriculture and industry,2020,53.0
