"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"Total";"A-U All economic activities";"2020*";8392
"Total";"Total";"Total";"A-F Agriculture and industry";"2020*";1286
"Total";"Total";"Total";"A Agriculture, forestry and fishing";"2020*";112
"Total";"Total";"Total";"B-F Manifacturing and energy";"2020*";1174
"Total";"Total";"Total";"B-E Industry (no construction), energy";"2020*";839
"Total";"Total";"Total";"B Mining and quarrying ";"2020*";8
"Total";"Total";"Total";"C Manufacturing";"2020*";766
"Total";"Total";"Total";"D Energy supply";"2020*";28
"Total";"Total";"Total";"E Water supply and waste management";"2020*";36
"Total";"Total";"Total";"F Construction";"2020*";335
"Total";"Total";"Total";"G-N Commercial services";"2020*";4332
"Total";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020*";2192
"Total";"Total";"Total";"G Wholesale and retail trade";"2020*";1411
"Total";"Total";"Total";"H Transportation and storage";"2020*";386
"Total";"Total";"Total";"I Accommodation and food serving";"2020*";395
"Total";"Total";"Total";"J Information and communication";"2020*";289
"Total";"Total";"Total";"K Financial institutions";"2020*";272
"Total";"Total";"Total";"L Renting, buying, selling real estate";"2020*";68
"Total";"Total";"Total";"M-N Business services";"2020*";1510
"Total";"Total";"Total";"M Other specialised business services";"2020*";529
"Total";"Total";"Total";"N Renting and other business support";"2020*";981
"Total";"Total";"Total";"O-U Noncommercial services";"2020*";2775
"Total";"Total";"Total";"O-Q Government and care";"2020*";2510
"Total";"Total";"Total";"O Public administration and services";"2020*";537
"Total";"Total";"Total";"P Education";"2020*";541
"Total";"Total";"Total";"Q Health and social work activities";"2020*";1432
"Total";"Total";"Total";"R-U Culture, recreation, other services";"2020*";264
"Total";"Total";"Total";"R Culture, sports and recreation";"2020*";132
"Total";"Total";"Total";"S Other service activities";"2020*";132
"Total";"Total";"Younger than 15 years";"A-U All economic activities";"2020*";16
"Total";"Total";"Younger than 15 years";"A-F Agriculture and industry";"2020*";4
"Total";"Total";"Younger than 15 years";"A Agriculture, forestry and fishing";"2020*";3
"Total";"Total";"Younger than 15 years";"B-F Manifacturing and energy";"2020*";1
"Total";"Total";"Younger than 15 years";"B-E Industry (no construction), energy";"2020*";1
"Total";"Total";"Younger than 15 years";"B Mining and quarrying ";"2020*";0
"Total";"Total";"Younger than 15 years";"C Manufacturing";"2020*";1
"Total";"Total";"Younger than 15 years";"D Energy supply";"2020*";0
"Total";"Total";"Younger than 15 years";"E Water supply and waste management";"2020*";0
"Total";"Total";"Younger than 15 years";"F Construction";"2020*";0
"Total";"Total";"Younger than 15 years";"G-N Commercial services";"2020*";12
"Total";"Total";"Younger than 15 years";"G-I Trade, transport, hotels, catering";"2020*";10
"Total";"Total";"Younger than 15 years";"G Wholesale and retail trade";"2020*";8
"Total";"Total";"Younger than 15 years";"H Transportation and storage";"2020*";0
"Total";"Total";"Younger than 15 years";"I Accommodation and food serving";"2020*";3
"Total";"Total";"Younger than 15 years";"J Information and communication";"2020*";0
"Total";"Total";"Younger than 15 years";"K Financial institutions";"2020*";0
"Total";"Total";"Younger than 15 years";"L Renting, buying, selling real estate";"2020*";0
"Total";"Total";"Younger than 15 years";"M-N Business services";"2020*";1
"Total";"Total";"Younger than 15 years";"M Other specialised business services";"2020*";0
