"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"Total";"A-U All economic activities";"2020";8391
"Total";"Total";"Total";"A-F Agriculture and industry";"2020";1287
"Total";"Total";"Total";"A Agriculture, forestry and fishing";"2020";112
"Total";"Total";"Total";"B-F Manifacturing and energy";"2020";1175
"Total";"Total";"Total";"B-E Industry (no construction), energy";"2020";839
"Total";"Total";"Total";"B Mining and quarrying ";"2020";8
"Total";"Total";"Total";"C Manufacturing";"2020";766
"Total";"Total";"Total";"D Energy supply";"2020";29
"Total";"Total";"Total";"E Water supply and waste management";"2020";36
"Total";"Total";"Total";"F Construction";"2020";336
"Total";"Total";"Total";"G-N Commercial services";"2020";4328
"Total";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020";2192
"Total";"Total";"Total";"G Wholesale and retail trade";"2020";1411
"Total";"Total";"Total";"H Transportation and storage";"2020";386
"Total";"Total";"Total";"I Accommodation and food serving";"2020";396
"Total";"Total";"Total";"J Information and communication";"2020";290
"Total";"Total";"Total";"K Financial institutions";"2020";274
"Total";"Total";"Total";"L Renting, buying, selling real estate";"2020";68
"Total";"Total";"Total";"M-N Business services";"2020";1503
"Total";"Total";"Total";"M Other specialised business services";"2020";531
"Total";"Total";"Total";"N Renting and other business support";"2020";973
"Total";"Total";"Total";"O-U Noncommercial services";"2020";2776
"Total";"Total";"Total";"O-Q Government and care";"2020";2512
"Total";"Total";"Total";"O Public administration and services";"2020";537
"Total";"Total";"Total";"P Education";"2020";542
"Total";"Total";"Total";"Q Health and social work activities";"2020";1433
"Total";"Total";"Total";"R-U Culture, recreation, other services";"2020";265
"Total";"Total";"Total";"R Culture, sports and recreation";"2020";133
"Total";"Total";"Total";"S Other service activities";"2020";132
"Total";"Total";"Younger than 15 years";"A-U All economic activities";"2020";16
"Total";"Total";"Younger than 15 years";"A-F Agriculture and industry";"2020";4
"Total";"Total";"Younger than 15 years";"A Agriculture, forestry and fishing";"2020";4
"Total";"Total";"Younger than 15 years";"B-F Manifacturing and energy";"2020";1
"Total";"Total";"Younger than 15 years";"B-E Industry (no construction), energy";"2020";1
"Total";"Total";"Younger than 15 years";"B Mining and quarrying ";"2020";0
"Total";"Total";"Younger than 15 years";"C Manufacturing";"2020";1
"Total";"Total";"Younger than 15 years";"D Energy supply";"2020";0
"Total";"Total";"Younger than 15 years";"E Water supply and waste management";"2020";0
"Total";"Total";"Younger than 15 years";"F Construction";"2020";0
"Total";"Total";"Younger than 15 years";"G-N Commercial services";"2020";12
"Total";"Total";"Younger than 15 years";"G-I Trade, transport, hotels, catering";"2020";10
"Total";"Total";"Younger than 15 years";"G Wholesale and retail trade";"2020";8
"Total";"Total";"Younger than 15 years";"H Transportation and storage";"2020";0
"Total";"Total";"Younger than 15 years";"I Accommodation and food serving";"2020";3
"Total";"Total";"Younger than 15 years";"J Information and communication";"2020";0
"Total";"Total";"Younger than 15 years";"K Financial institutions";"2020";0
"Total";"Total";"Younger than 15 years";"L Renting, buying, selling real estate";"2020";0
"Total";"Total";"Younger than 15 years";"M-N Business services";"2020";1
"Total";"Total";"Younger than 15 years";"M Other specialised business services";"2020";0
"Total";"Total";"Younger than 15 years";"N Renting and other business support";"2020";1
"Total";"Total";"Younger than 15 years";"O-U Noncommercial services";"2020";0
"Total";"Total";"Younger than 15 years";"O-Q Government and care";"2020";0
"Total";"Total";"Younger than 15 years";"O Public administration and services";"2020";0
"Total";"Total";"Younger than 15 years";"P Education";"2020";0
"Total";"Total";"Younger than 15 years";"Q Health and social work activities";"2020";0
"Total";"Total";"Younger than 15 years";"R-U Culture, recreation, other services";"2020";0
"Total";"Total";"Younger than 15 years";"R Culture, sports and recreation";"2020";0
"Total";"Total";"Younger than 15 years";"S Other service activities";"2020";0
"Total";"Total";"15 to 19 years";"A-U All economic activities";"2020";631
"Total";"Total";"15 to 19 years";"A-F Agriculture and industry";"2020";53
"Total";"Total";"15 to 19 years";"A Agriculture, forestry and fishing";"2020";19
"Total";"Total";"15 to 19 years";"B-F Manifacturing and energy";"2020";34
"Total";"Total";"15 to 19 years";"B-E Industry (no construction), energy";"2020";22
"Total";"Total";"15 to 19 years";"B Mining and quarrying ";"2020";0
"Total";"Total";"15 to 19 years";"C Manufacturing";"2020";22
"Total";"Total";"15 to 19 years";"D Energy supply";"2020";0
"Total";"Total";"15 to 19 years";"E Water supply and waste management";"2020";0
"Total";"Total";"15 to 19 years";"F Construction";"2020";12
"Total";"Total";"15 to 19 years";"G-N Commercial services";"2020";501
"Total";"Total";"15 to 19 years";"G-I Trade, transport, hotels, catering";"2020";419
"Total";"Total";"15 to 19 years";"G Wholesale and retail trade";"2020";297
"Total";"Total";"15 to 19 years";"H Transportation and storage";"2020";9
"Total";"Total";"15 to 19 years";"I Accommodation and food serving";"2020";113
"Total";"Total";"15 to 19 years";"J Information and communication";"2020";5
"Total";"Total";"15 to 19 years";"K Financial institutions";"2020";2
"Total";"Total";"15 to 19 years";"L Renting, buying, selling real estate";"2020";1
"Total";"Total";"15 to 19 years";"M-N Business services";"2020";73
"Total";"Total";"15 to 19 years";"M Other specialised business services";"2020";10
"Total";"Total";"15 to 19 years";"N Renting and other business support";"2020";63
"Total";"Total";"15 to 19 years";"O-U Noncommercial services";"2020";78
"Total";"Total";"15 to 19 years";"O-Q Government and care";"2020";60
"Total";"Total";"15 to 19 years";"O Public administration and services";"2020";6
"Total";"Total";"15 to 19 years";"P Education";"2020";9
"Total";"Total";"15 to 19 years";"Q Health and social work activities";"2020";44
"Total";"Total";"15 to 19 years";"R-U Culture, recreation, other services";"2020";18
"Total";"Total";"15 to 19 years";"R Culture, sports and recreation";"2020";11
"Total";"Total";"15 to 19 years";"S Other service activities";"2020";7
"Total";"Total";"20 to 24 years";"A-U All economic activities";"2020";844
"Total";"Total";"20 to 24 years";"A-F Agriculture and industry";"2020";85
"Total";"Total";"20 to 24 years";"A Agriculture, forestry and fishing";"2020";14
"Total";"Total";"20 to 24 years";"B-F Manifacturing and energy";"2020";70
"Total";"Total";"20 to 24 years";"B-E Industry (no construction), energy";"2020";45
"Total";"Total";"20 to 24 years";"B Mining and quarrying ";"2020";0
"Total";"Total";"20 to 24 years";"C Manufacturing";"2020";43
"Total";"Total";"20 to 24 years";"D Energy supply";"2020";1
"Total";"Total";"20 to 24 years";"E Water supply and waste management";"2020";1
"Total";"Total";"20 to 24 years";"F Construction";"2020";25
"Total";"Total";"20 to 24 years";"G-N Commercial services";"2020";534
"Total";"Total";"20 to 24 years";"G-I Trade, transport, hotels, catering";"2020";295
"Total";"Total";"20 to 24 years";"G Wholesale and retail trade";"2020";181
"Total";"Total";"20 to 24 years";"H Transportation and storage";"2020";27
"Total";"Total";"20 to 24 years";"I Accommodation and food serving";"2020";86
"Total";"Total";"20 to 24 years";"J Information and communication";"2020";23
"Total";"Total";"20 to 24 years";"K Financial institutions";"2020";9
"Total";"Total";"20 to 24 years";"L Renting, buying, selling real estate";"2020";4
"Total";"Total";"20 to 24 years";"M-N Business services";"2020";204
"Total";"Total";"20 to 24 years";"M Other specialised business services";"2020";45
"Total";"Total";"20 to 24 years";"N Renting and other business support";"2020";159
"Total";"Total";"20 to 24 years";"O-U Noncommercial services";"2020";225
"Total";"Total";"20 to 24 years";"O-Q Government and care";"2020";190
"Total";"Total";"20 to 24 years";"O Public administration and services";"2020";22
"Total";"Total";"20 to 24 years";"P Education";"2020";36
"Total";"Total";"20 to 24 years";"Q Health and social work activities";"2020";132
"Total";"Total";"20 to 24 years";"R-U Culture, recreation, other services";"2020";35
"Total";"Total";"20 to 24 years";"R Culture, sports and recreation";"2020";21
"Total";"Total";"20 to 24 years";"S Other service activities";"2020";14
"Total";"Total";"25 to 29 years";"A-U All economic activities";"2020";931
"Total";"Total";"25 to 29 years";"A-F Agriculture and industry";"2020";112
"Total";"Total";"25 to 29 years";"A Agriculture, forestry and fishing";"2020";10
"Total";"Total";"25 to 29 years";"B-F Manifacturing and energy";"2020";102
"Total";"Total";"25 to 29 years";"B-E Industry (no construction), energy";"2020";70
"Total";"Total";"25 to 29 years";"B Mining and quarrying ";"2020";1
"Total";"Total";"25 to 29 years";"C Manufacturing";"2020";64
"Total";"Total";"25 to 29 years";"D Energy supply";"2020";2
"Total";"Total";"25 to 29 years";"E Water supply and waste management";"2020";3
"Total";"Total";"25 to 29 years";"F Construction";"2020";32
"Total";"Total";"25 to 29 years";"G-N Commercial services";"2020";523
"Total";"Total";"25 to 29 years";"G-I Trade, transport, hotels, catering";"2020";217
"Total";"Total";"25 to 29 years";"G Wholesale and retail trade";"2020";137
"Total";"Total";"25 to 29 years";"H Transportation and storage";"2020";35
"Total";"Total";"25 to 29 years";"I Accommodation and food serving";"2020";45
