"Employment;sex,type of employment contract,employee characteristics,SIC2008"
"topic: |jobs"
"Other characteristics employee: Total"
"Type of employment contract: Total"
"";"";"Sex or employee"
"";"";"Sex: Male"
"Periods";"Industry class / branch (SIC2008)";"x 1000"
"2020";"AU All economic activities";"4.362"
"2020";"AF Agriculture and industry";"1.016"
"2020";"A Agriculture, forestry and fishing";"73"
"2020";"BF Manifacturing and energy";"943"
"2020";"BE Industry (no construction), energy";"649"
"2020";"B Mining and quarrying";"7"
"2020";"C Manufacturing";"592"
"2020";"D Energy supply";"21"
"2020";"E Water supply and waste management";"29"
"2020";"F Construction";"294"
"2020";"GN Commercial services";"2517"
"2020";"GI Trade, transport, hotels, catering";"1240"
"2020";"G Wholesale and retail trade";"753"
"2020";"H Transportation and storage";"291"
"2020";"I Accommodation and food serving";"196"
"2020";"J Information and communication";"210"
"2020";"K Financial institutions";"166"
"2020";"L Renting, buying, selling real estate";"35"
"2020";"MN Business services";"867"
"2020";"M Other specialized business services";"310"
"2020";"N Renting and other business support";"557"
"2020";"OU Noncommercial Services";"828"
"2020";"OQ Government and care";"720"
"2020";"O Public administration and services";"307"
"2020";"P Education";"189"
"2020";"Q Health and social work activities";"224"
"2020";"RU Culture, recreation, other services";"108"
"2020";"R Culture, sports and recreation";"63"
"2020";"S Other service activities";"45"
"Source: CBS"
