"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"45 to 49 years";"A-U All economic activities";"2020";"     867"
"Total";"Total";"45 to 49 years";"A-F Agriculture and industry";"2020";"     157"
"Total";"Total";"45 to 49 years";"A Agriculture, forestry and fishing";"2020";"      10"
"Total";"Total";"45 to 49 years";"B-F Manifacturing and energy";"2020";"     147"
"Total";"Total";"45 to 49 years";"B-E Industry (no construction), energy";"2020";"     105"
"Total";"Total";"45 to 49 years";"B Mining and quarrying ";"2020";"       1"
"Total";"Total";"45 to 49 years";"C Manufacturing";"2020";"      96"
"Total";"Total";"45 to 49 years";"D Energy supply";"2020";"       3"
"Total";"Total";"45 to 49 years";"E Water supply and waste management";"2020";"       5"
"Total";"Total";"45 to 49 years";"F Construction";"2020";"      42"
"Total";"Total";"45 to 49 years";"G-N Commercial services";"2020";"     414"
"Total";"Total";"45 to 49 years";"G-I Trade, transport, hotels, catering";"2020";"     187"
"Total";"Total";"45 to 49 years";"G Wholesale and retail trade";"2020";"     123"
"Total";"Total";"45 to 49 years";"H Transportation and storage";"2020";"      44"
"Total";"Total";"45 to 49 years";"I Accommodation and food serving";"2020";"      20"
"Total";"Total";"45 to 49 years";"J Information and communication";"2020";"      31"
"Total";"Total";"45 to 49 years";"K Financial institutions";"2020";"      41"
"Total";"Total";"45 to 49 years";"L Renting, buying, selling real estate";"2020";"       9"
"Total";"Total";"45 to 49 years";"M-N Business services";"2020";"     146"
"Total";"Total";"45 to 49 years";"M Other specialised business services";"2020";"      58"
"Total";"Total";"45 to 49 years";"N Renting and other business support";"2020";"      87"
"Total";"Total";"45 to 49 years";"O-U Noncommercial services";"2020";"     296"
"Total";"Total";"45 to 49 years";"O-Q Government and care";"2020";"     271"
"Total";"Total";"45 to 49 years";"O Public administration and services";"2020";"      68"
"Total";"Total";"45 to 49 years";"P Education";"2020";"      57"
"Total";"Total";"45 to 49 years";"Q Health and social work activities";"2020";"     146"
"Total";"Total";"45 to 49 years";"R-U Culture, recreation, other services";"2020";"      25"
"Total";"Total";"45 to 49 years";"R Culture, sports and recreation";"2020";"      12"
"Total";"Total";"45 to 49 years";"S Other service activities";"2020";"      13"
