"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"Younger than 15 years";"A-U All economic activities";"2020";"      16"
"Total";"Total";"Younger than 15 years";"A-F Agriculture and industry";"2020";"       4"
"Total";"Total";"Younger than 15 years";"A Agriculture, forestry and fishing";"2020";"       4"
"Total";"Total";"Younger than 15 years";"B-F Manifacturing and energy";"2020";"       1"
"Total";"Total";"Younger than 15 years";"B-E Industry (no construction), energy";"2020";"       1"
"Total";"Total";"Younger than 15 years";"B Mining and quarrying ";"2020";"       0"
"Total";"Total";"Younger than 15 years";"C Manufacturing";"2020";"       1"
"Total";"Total";"Younger than 15 years";"D Energy supply";"2020";"       0"
"Total";"Total";"Younger than 15 years";"E Water supply and waste management";"2020";"       0"
"Total";"Total";"Younger than 15 years";"F Construction";"2020";"       0"
"Total";"Total";"Younger than 15 years";"G-N Commercial services";"2020";"      12"
"Total";"Total";"Younger than 15 years";"G-I Trade, transport, hotels, catering";"2020";"      10"
"Total";"Total";"Younger than 15 years";"G Wholesale and retail trade";"2020";"       8"
"Total";"Total";"Younger than 15 years";"H Transportation and storage";"2020";"       0"
"Total";"Total";"Younger than 15 years";"I Accommodation and food serving";"2020";"       3"
"Total";"Total";"Younger than 15 years";"J Information and communication";"2020";"       0"
"Total";"Total";"Younger than 15 years";"K Financial institutions";"2020";"       0"
"Total";"Total";"Younger than 15 years";"L Renting, buying, selling real estate";"2020";"       0"
"Total";"Total";"Younger than 15 years";"M-N Business services";"2020";"       1"
"Total";"Total";"Younger than 15 years";"M Other specialised business services";"2020";"       0"
"Total";"Total";"Younger than 15 years";"N Renting and other business support";"2020";"       1"
"Total";"Total";"Younger than 15 years";"O-U Noncommercial services";"2020";"       0"
"Total";"Total";"Younger than 15 years";"O-Q Government and care";"2020";"       0"
"Total";"Total";"Younger than 15 years";"O Public administration and services";"2020";"       0"
"Total";"Total";"Younger than 15 years";"P Education";"2020";"       0"
"Total";"Total";"Younger than 15 years";"Q Health and social work activities";"2020";"       0"
"Total";"Total";"Younger than 15 years";"R-U Culture, recreation, other services";"2020";"       0"
"Total";"Total";"Younger than 15 years";"R Culture, sports and recreation";"2020";"       0"
"Total";"Total";"Younger than 15 years";"S Other service activities";"2020";"       0"
"Total";"Total";"15 to 19 years";"A-U All economic activities";"2020";"     631"
"Total";"Total";"15 to 19 years";"A-F Agriculture and industry";"2020";"      53"
"Total";"Total";"15 to 19 years";"A Agriculture, forestry and fishing";"2020";"      19"
"Total";"Total";"15 to 19 years";"B-F Manifacturing and energy";"2020";"      34"
"Total";"Total";"15 to 19 years";"B-E Industry (no construction), energy";"2020";"      22"
"Total";"Total";"15 to 19 years";"B Mining and quarrying ";"2020";"       0"
"Total";"Total";"15 to 19 years";"C Manufacturing";"2020";"      22"
"Total";"Total";"15 to 19 years";"D Energy supply";"2020";"       0"
"Total";"Total";"15 to 19 years";"E Water supply and waste management";"2020";"       0"
"Total";"Total";"15 to 19 years";"F Construction";"2020";"      12"
"Total";"Total";"15 to 19 years";"G-N Commercial services";"2020";"     501"
"Total";"Total";"15 to 19 years";"G-I Trade, transport, hotels, catering";"2020";"     419"
"Total";"Total";"15 to 19 years";"G Wholesale and retail trade";"2020";"     297"
"Total";"Total";"15 to 19 years";"H Transportation and storage";"2020";"       9"
"Total";"Total";"15 to 19 years";"I Accommodation and food serving";"2020";"     113"
"Total";"Total";"15 to 19 years";"J Information and communication";"2020";"       5"
"Total";"Total";"15 to 19 years";"K Financial institutions";"2020";"       2"
"Total";"Total";"15 to 19 years";"L Renting, buying, selling real estate";"2020";"       1"
"Total";"Total";"15 to 19 years";"M-N Business services";"2020";"      73"
"Total";"Total";"15 to 19 years";"M Other specialised business services";"2020";"      10"
"Total";"Total";"15 to 19 years";"N Renting and other business support";"2020";"      63"
"Total";"Total";"15 to 19 years";"O-U Noncommercial services";"2020";"      78"
"Total";"Total";"15 to 19 years";"O-Q Government and care";"2020";"      60"
"Total";"Total";"15 to 19 years";"O Public administration and services";"2020";"       6"
"Total";"Total";"15 to 19 years";"P Education";"2020";"       9"
"Total";"Total";"15 to 19 years";"Q Health and social work activities";"2020";"      44"
"Total";"Total";"15 to 19 years";"R-U Culture, recreation, other services";"2020";"      18"
"Total";"Total";"15 to 19 years";"R Culture, sports and recreation";"2020";"      11"
"Total";"Total";"15 to 19 years";"S Other service activities";"2020";"       7"
"Total";"Total";"20 to 24 years";"A-U All economic activities";"2020";"     844"
"Total";"Total";"20 to 24 years";"A-F Agriculture and industry";"2020";"      85"
"Total";"Total";"20 to 24 years";"A Agriculture, forestry and fishing";"2020";"      14"
"Total";"Total";"20 to 24 years";"B-F Manifacturing and energy";"2020";"      70"
"Total";"Total";"20 to 24 years";"B-E Industry (no construction), energy";"2020";"      45"
"Total";"Total";"20 to 24 years";"B Mining and quarrying ";"2020";"       0"
"Total";"Total";"20 to 24 years";"C Manufacturing";"2020";"      43"
"Total";"Total";"20 to 24 years";"D Energy supply";"2020";"       1"
"Total";"Total";"20 to 24 years";"E Water supply and waste management";"2020";"       1"
"Total";"Total";"20 to 24 years";"F Construction";"2020";"      25"
"Total";"Total";"20 to 24 years";"G-N Commercial services";"2020";"     534"
"Total";"Total";"20 to 24 years";"G-I Trade, transport, hotels, catering";"2020";"     295"
"Total";"Total";"20 to 24 years";"G Wholesale and retail trade";"2020";"     181"
"Total";"Total";"20 to 24 years";"H Transportation and storage";"2020";"      27"
"Total";"Total";"20 to 24 years";"I Accommodation and food serving";"2020";"      86"
"Total";"Total";"20 to 24 years";"J Information and communication";"2020";"      23"
"Total";"Total";"20 to 24 years";"K Financial institutions";"2020";"       9"
"Total";"Total";"20 to 24 years";"L Renting, buying, selling real estate";"2020";"       4"
"Total";"Total";"20 to 24 years";"M-N Business services";"2020";"     204"
"Total";"Total";"20 to 24 years";"M Other specialised business services";"2020";"      45"
"Total";"Total";"20 to 24 years";"N Renting and other business support";"2020";"     159"
"Total";"Total";"20 to 24 years";"O-U Noncommercial services";"2020";"     225"
"Total";"Total";"20 to 24 years";"O-Q Government and care";"2020";"     190"
"Total";"Total";"20 to 24 years";"O Public administration and services";"2020";"      22"
"Total";"Total";"20 to 24 years";"P Education";"2020";"      36"
"Total";"Total";"20 to 24 years";"Q Health and social work activities";"2020";"     132"
"Total";"Total";"20 to 24 years";"R-U Culture, recreation, other services";"2020";"      35"
"Total";"Total";"20 to 24 years";"R Culture, sports and recreation";"2020";"      21"
"Total";"Total";"20 to 24 years";"S Other service activities";"2020";"      14"
"Total";"Total";"25 to 29 years";"A-U All economic activities";"2020";"     931"
"Total";"Total";"25 to 29 years";"A-F Agriculture and industry";"2020";"     112"
"Total";"Total";"25 to 29 years";"A Agriculture, forestry and fishing";"2020";"      10"
"Total";"Total";"25 to 29 years";"B-F Manifacturing and energy";"2020";"     102"
"Total";"Total";"25 to 29 years";"B-E Industry (no construction), energy";"2020";"      70"
"Total";"Total";"25 to 29 years";"B Mining and quarrying ";"2020";"       1"
"Total";"Total";"25 to 29 years";"C Manufacturing";"2020";"      64"
"Total";"Total";"25 to 29 years";"D Energy supply";"2020";"       2"
"Total";"Total";"25 to 29 years";"E Water supply and waste management";"2020";"       3"
"Total";"Total";"25 to 29 years";"F Construction";"2020";"      32"
"Total";"Total";"25 to 29 years";"G-N Commercial services";"2020";"     523"
"Total";"Total";"25 to 29 years";"G-I Trade, transport, hotels, catering";"2020";"     217"
"Total";"Total";"25 to 29 years";"G Wholesale and retail trade";"2020";"     137"
"Total";"Total";"25 to 29 years";"H Transportation and storage";"2020";"      35"
"Total";"Total";"25 to 29 years";"I Accommodation and food serving";"2020";"      45"
"Total";"Total";"25 to 29 years";"J Information and communication";"2020";"      47"
"Total";"Total";"25 to 29 years";"K Financial institutions";"2020";"      22"
"Total";"Total";"25 to 29 years";"L Renting, buying, selling real estate";"2020";"       6"
"Total";"Total";"25 to 29 years";"M-N Business services";"2020";"     230"
"Total";"Total";"25 to 29 years";"M Other specialised business services";"2020";"      82"
"Total";"Total";"25 to 29 years";"N Renting and other business support";"2020";"     149"
"Total";"Total";"25 to 29 years";"O-U Noncommercial services";"2020";"     296"
"Total";"Total";"25 to 29 years";"O-Q Government and care";"2020";"     264"
"Total";"Total";"25 to 29 years";"O Public administration and services";"2020";"      42"
"Total";"Total";"25 to 29 years";"P Education";"2020";"      57"
"Total";"Total";"25 to 29 years";"Q Health and social work activities";"2020";"     165"
"Total";"Total";"25 to 29 years";"R-U Culture, recreation, other services";"2020";"      32"
"Total";"Total";"25 to 29 years";"R Culture, sports and recreation";"2020";"      17"
"Total";"Total";"25 to 29 years";"S Other service activities";"2020";"      15"
"Total";"Total";"30 to 34 years";"A-U All economic activities";"2020";"     883"
"Total";"Total";"30 to 34 years";"A-F Agriculture and industry";"2020";"     125"
"Total";"Total";"30 to 34 years";"A Agriculture, forestry and fishing";"2020";"       9"
"Total";"Total";"30 to 34 years";"B-F Manifacturing and energy";"2020";"     116"
"Total";"Total";"30 to 34 years";"B-E Industry (no construction), energy";"2020";"      81"
"Total";"Total";"30 to 34 years";"B Mining and quarrying ";"2020";"       1"
"Total";"Total";"30 to 34 years";"C Manufacturing";"2020";"      73"
"Total";"Total";"30 to 34 years";"D Energy supply";"2020";"       3"
"Total";"Total";"30 to 34 years";"E Water supply and waste management";"2020";"       4"
"Total";"Total";"30 to 34 years";"F Construction";"2020";"      35"
"Total";"Total";"30 to 34 years";"G-N Commercial services";"2020";"     458"
"Total";"Total";"30 to 34 years";"G-I Trade, transport, hotels, catering";"2020";"     190"
"Total";"Total";"30 to 34 years";"G Wholesale and retail trade";"2020";"     123"
"Total";"Total";"30 to 34 years";"H Transportation and storage";"2020";"      38"
"Total";"Total";"30 to 34 years";"I Accommodation and food serving";"2020";"      30"
"Total";"Total";"30 to 34 years";"J Information and communication";"2020";"      49"
"Total";"Total";"30 to 34 years";"K Financial institutions";"2020";"      29"
"Total";"Total";"30 to 34 years";"L Renting, buying, selling real estate";"2020";"       7"
"Total";"Total";"30 to 34 years";"M-N Business services";"2020";"     183"
"Total";"Total";"30 to 34 years";"M Other specialised business services";"2020";"      71"
"Total";"Total";"30 to 34 years";"N Renting and other business support";"2020";"     112"
"Total";"Total";"30 to 34 years";"O-U Noncommercial services";"2020";"     300"
"Total";"Total";"30 to 34 years";"O-Q Government and care";"2020";"     273"
"Total";"Total";"30 to 34 years";"O Public administration and services";"2020";"      50"
"Total";"Total";"30 to 34 years";"P Education";"2020";"      63"
"Total";"Total";"30 to 34 years";"Q Health and social work activities";"2020";"     159"
"Total";"Total";"30 to 34 years";"R-U Culture, recreation, other services";"2020";"      27"
"Total";"Total";"30 to 34 years";"R Culture, sports and recreation";"2020";"      13"
"Total";"Total";"30 to 34 years";"S Other service activities";"2020";"      14"
