"Employment;sex,type of employment contract,employee characteristics,SIC2008"
"Other characteristics employee: Total"
"topic: |jobs"
"Type of employment contract: Total"
"";"";"Sex or employee"
"";"";"Total";"Sex: Male";"Sex: Female"
"Periods";"Industry class / branch (SIC2008)";"x 1000";"x 1000";"x 1000"
"2020";"AU All economic activities";"8391";"4.362";"4.029"
"2020";"AF Agriculture and industry";"1287";"1.016";"271"
"2020";"A Agriculture, forestry and fishing";"112";"73";"39"
"2020";"BF Manifacturing and energy";"1.175";"943";"232"
"2020";"BE Industry (no construction), energy";"839";"649";"190"
"2020";"B Mining and quarrying";"8";"7";"1"
"2020";"C Manufacturing";"766";"592";"174"
"2020";"D Energy supply";"29";"21";"8"
"2020";"E Water supply and waste management";"36";"29";"7"
"2020";"F Construction";"336";"294";"42"
"2020";"GN Commercial services";"4328";"2517";"1810"
"2020";"GI Trade, transport, hotels, catering";"2192";"1240";"953"
"2020";"G Wholesale and retail trade";"1411";"753";"658"
"2020";"H Transportation and storage";"386";"291";"95"
"2020";"I Accommodation and food serving";"396";"196";"199"
"2020";"J Information and communication";"290";"210";"80"
"2020";"K Financial institutions";"274";"166";"108"
"2020";"L Renting, buying, selling real estate";"68";"35";"33"
"2020";"MN Business services";"1503";"867";"636"
"2020";"M Other specialized business services";"531";"310";"221"
"2020";"N Renting and other business support";"973";"557";"416"
"2020";"OU Noncommercial Services";"2.776";"828";"1948"
"2020";"OQ Government and care";"2512";"720";"1792"
"2020";"O Public administration and services";"537";"307";"230"
"2020";"P Education";"542";"189";"353"
"2020";"Q Health and social work activities";"1.433";"224";"1.208"
"2020";"RU Culture, recreation, other services";"265";"108";"156"
"2020";"R Culture, sports and recreation";"133";"63";"70"
"2020";"S Other service activities";"132";"45";"87"
"Source: CBS"
