"Beroep","2018 (% of men)","2013 (% of men)"
"Top 10 occupational groups","",""
"Electrotechnical engineers","96.4","96.1"
"Logistics managers","94","86.1"
"ICT managers","93.1","93.2"
"Production managers","90.2","94.5"
"Specialised services managers","87.4","85.5"
"Engineers (excl. electrotechnical engineers)","87.4","85.4"
"Software and application developers","86.9","88.5"
"Database and network specialists","82.6","85.4"
"Managing directors","80.7","79.5"
"Sales and marketing managers","77.2","79"
