,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,application developer,LinkedIn,2294495724,"Software Engineer, Platform",+qqKYQb1Ro+ev957yCuMrA==,GitHub,"Amsterdam, North Holland, Netherlands",['Computer Software'],Engineering,"GitHub is looking for a talented Software Engineer to join our Platform Team in the Development Lifecycle organizationOur team is responsible for building and maintaining GitHubs runtime platform This platform enables developers to easily build, deploy and manage the hundreds of applications that make up the worlds largest code hosting platform On the Platform team, youll work with and learn from highly experienced engineers across the entire engineering organization Youll collaborate with product, design and more to deliver the best possible developer experience for all engineers here at GitHubThis team and its parent Development Lifecycle organization are highly distributed across the US  Europe, and span a variety of diverse backgrounds We recognize the value this diversity brings to our teams and our products, so creating and maintaining an environment where every individual feels safe to bring their unique perspective to the challenges were solving is important to usGitHub is the developer company We make it easier for developers to be developers to work together, to solve challenging problems, and to create the worlds most important technologies We foster a collaborative community that can come togetheras individuals and in teamsto create the future of software and make a difference in the worldCustomer Obsessed  Trust by Default  Ship to Learn  Own the Outcome  Growth Mindset  Global Product, Global Team  Anything is Possible  Practice KindnessAt GitHub, we constantly strive to create an environment that allows our employees Hubbers to do the best work of their lives Weve designed one of the coolest workspaces in San Francisco HQ, where many Hubbers work, snack, and create daily The rest of our Hubbers work remotely around the globe Check out an updated list of where we can hire here httpsgithubcomaboutcareersremoteWe are also committed to keeping Hubbers healthy, motivated, focused and creative Weve designed our topnotch benefits program with these goals in mind In a nutshell, weve built a place where we truly love working, we think you will tooGitHub is made up of people from a wide variety of backgrounds and lifestyles We embrace diversity and invite applications from people of all walks of life We dont discriminate against employees or applicants based on gender identity or expression, sexual orientation, race, religion, age, national origin, citizenship, disability, pregnancy status, veteran status, or any other differences Also, if you have a disability, please let us know if theres any way we can make the interview process better for you were happy to accommodatePlease note that benefits vary by country If you have any questions, please dont hesitate to ask your Talent Partner",Full-time,,https://nl.linkedin.com/jobs/view/software-engineer-platform-at-github-2294495724?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,4,application developer,LinkedIn,2282674886,Software Developer - Support Platform,Mti0Cty0S6Oa1iS2D9tCHw==,Bookingcom,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Internet', 'Leisure, Travel & Tourism']",Engineering,"It wasnt so long ago that booking a trip so see the Eiffel Tower, stroll down New Yorks iconic Madison Avenue or feel the sand between our toes on Copacabana Beach was simply a matter of a few taps on our smartphone In fact, thats what we do at Bookingcom We make it easier for everyone to experience the world And while that world might feel a little farther away right now, were busy preparing for when the world is ready to travel once more Across our offices worldwide, we continue to innovate To solve for some of the most complex challenges in travel and technology, and to plan for the exciting developments that lie ahead With strategic longterm investments into what we believe the future of travel can be, we are opening up new career opportunities that will have a strong impact on our mission We are united in the belief that our very human desire to explore the planets beauty and discover more about other people and cultures will endure The world is waiting for us Together, we will be readyCommercial operations includes Customer Service, Partner Services our commercial function and our Content Agency who generate and moderate all onsite text, images and videos With over 10,000 employees distributed across the globe, Commercial Operations is the human face to both our customers and our suppliers We are responsible for many of the tools that customers use to manage their own reservations and partners use to grow their businesses We are there to make it easier for everyone to experience the worldThe Technology department of Commercial Operations owns the customer journey end to end, from the customer facing self service app and web platforms to the support tooling used by our employees Behind the scenes we run the critical data and ML infrastructure that helps provide the right answer to our customers and partners as if by magicThe Support Platform teams develop, maintain and operate the communications and task distribution systems that power every customer interaction when seeking and receiving help with their Bookingcom products The trail of data produced in these interactions is used to manage our Customer Service operations and informs product direction across the company by showing how features might be causing friction for customers and agentsWe have found that people who match the following requirements are the ones who fit us best",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282674886?url=https%3A%2F%2Fcareers%2Ebooking%2Ecom%2Fjob%2FBOOKUS2281953EXTERNAL%2FSoftware-Developer-Support-Platform%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=44-b&refId=0d242a47-db7d-4c1a-92bf-13884babf360&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-developer-support-platform-at-booking-com-2282674886?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,5,application developer,LinkedIn,2294410833,"Software Engineer, Frontend",SsIoRExxQ7mJxk93ZYiNaQ==,Samba TV,"Amsterdam, North Holland, Netherlands","['Internet', 'Marketing and Advertising', 'Research']",Engineering,"At Samba TV, we are on a mission to fundamentally change television viewing for everyone We are doing this by leveraging our data to enable advertisers to engage and measure TV viewers across all their devices We have an amazing story with a unique perspective formed by innovative technologyWe recognize that the way people discover, watch, and engage with television has fundamentally changed We connect the dots, providing a full picture of audience trends and viewership habits, and help marketers leverage this information to its full potentialWe are looking for talented developers excited to work with cuttingedge frontend technologies As part of a small, tightknit team that highly values mentorship and career development, you will support businesscritical tasks such as running campaigns driving millions of dollars of ad spend and producing beautiful reports summarizing data from millions of households to provide critical insights to our customers From designing beautiful React components and associated Redux stores to interfacing with complex backend data models and asynchronous job processing architectures, you will learn and leverage a frontend toolkit to solve pressing product problems",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294410833?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fsambatv%2Ffd63f3db-d6c5-4c04-8fb2-b84abaf66783&urlHash=3X_u&refId=0d242a47-db7d-4c1a-92bf-13884babf360&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-engineer-frontend-at-samba-tv-2294410833?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,6,application developer,LinkedIn,2315314250,Software Engineer,1fTxO/5YSWG9XA8Fsa4Rfg==,Bannerwise,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']",Engineering,"At Bannerwise Permanent, in Amsterdam, NetherlandsExpires at 20210106We are looking for an experienced Software Engineer that is passionate about JavaScript, startups and SaaS who is ready to make an impact in the advertisement ecosystem by rolling out state of the art features and implementing new architectural solutionsAs a Software Engineer, you will continuously solve difficult technical problems and remove obstacles while working alongside a small, very strong and growing team of Full Stack Software Engineers Because the team is small, your contribution to the growth of Bannerwise is crucial and the decisions you make will have a huge impact on the way the platform develops over timeYour main responsibilities will beDesign software architectureStay up to date with the latest development trendsFix technical bugs and issuesImprove performance and scalability of servicesImprove quality of codeReview PRs and code of your colleaguesScope and implement new featuresMain requirementsExperience 3 years of experience as a software engineer preferably in a startup or SaaS environmentProgramming languages You have a passion for JavaScript and you have extensive experience with modern frameworks and engines, such as Angular, Vue, React and NodeInfrastructure You know your way around Amazon Web Services and ideally you have experience with kubernetes and docker configurationsScoping You are familiar with the scrum methodology, feature definitions and you are able to come up with estimations based on feature specificationsQuality of code is highly important to youExcellent communication skills You have strong English language skills and can communicate in a clear, goaloriented way that leaves no room for interpretationAmbition You never settle for mediocrity, knowing your name is tied to everything you doTeam player and cando attitudeExperience of working with Python is a plusAffinity and familiarity with digital advertising is plusBeing in possession of a bachelorsmasters degree is a big plus, but dont get discouraged If youre smart and selfassured wed still love to meet youBenefits  PerksCompetitive salaryA key role in a rapidly growing company where you can make an impact from day 1Possibilities to grow with the startupVery supportive, ambitious and fun colleagues in an international work environmentPlenty of room for selfdevelopmentStartup vibe free drinks, fresh fruit and regular team events",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315314250?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D09d5f8e108d5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd78adc7ddbdadaedd8aadbgddfaddgfdd83aeccdcbfec3ddcg3e&urlHash=3tnJ&refId=0d242a47-db7d-4c1a-92bf-13884babf360&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-engineer-at-bannerwise-2315314250?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,7,application developer,LinkedIn,2246362932,Software Developer (Package Search),HlYWFIFpQi2zxOodbWqx5A==,JetBrains,"Amsterdam, North Holland, Netherlands",['Computer Software'],Information Technology,"Package Search is a service from JetBrains that helps developers discover and manage the best dependencies for their projects We have a website, and a plugin for IntelliJ IDEA and Android Studio Our plugin supports Maven and Gradle, and will expand to other build systems over timeWe are looking for someone to help us improve and deliver new, exciting features to the plugin Our team is small, so roles arent confined to a single platform your work will likely span across boundaries and involve helping out with the website, the API backend, and the indexing infrastructure You will work with your colleagues to cover platforms youre not familiar with, and implement features across all relevant platforms when needed Well be ready to help and teach you anything you want to learn",Full-time,https://www.linkedin.com/jobs/view/externalApply/2246362932?url=https%3A%2F%2Fwww%2Ejetbrains%2Ecom%2Fcareers%2Fjobs%2Fsoftware-developer-package-search-502%2F&urlHash=sUVn&refId=0d242a47-db7d-4c1a-92bf-13884babf360&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-developer-package-search-at-jetbrains-2246362932?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,8,application developer,LinkedIn,2275072825,Software Engineer,+w2dVU2FQNiWq+NonIyTag==,REC4IT,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Information Services']",Information Technology,"Hiring a medior andor senior backend fullstack nodejs mongodb developerThis company is a wellestablished and award winning technology scaleup in Amsterdam, the Netherlands",Full-time,,https://nl.linkedin.com/jobs/view/software-engineer-at-rec4it-2275072825?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,9,application developer,LinkedIn,2282650948,Software Engineer - New Grad 2021 (Amsterdam),Jmnl8r+wS8eOsYvp8qiiGQ==,Databricks,"Amsterdam, North Holland, Netherlands",['Computer Software'],Engineering,"MissionWe are hiring software engineers who are passionate about architecting, developing, deploying, and operating the Databricks product As a software engineer, you will collaborate with our worldclass engineering team that is building a platform that unifies data science, engineering, and business This includes teams that span from working on the Spark cluster management to building out collaborative features for data science and machine learning to building services and tools that manage our multicloud infrastructure You will work closely with your team and the larger engineering organization to help data scientists and data engineers solve the worlds toughest data problemsDatabricks is the data and AI company Founded by the original creators of Apache Spark, Delta Lake and MLflow, Databricks simplifies data and AI so data teams can collaborate and innovate faster More than five thousand organizations worldwide including Shell, Conde Nast and Regeneron  rely on Databricks as a unified platform for massivescale data engineering, collaborative data science, fulllifecycle machine learning and business analytics Venturebacked and headquartered in San Francisco with offices around the globe Databricks is on a mission to help data teams solve the worlds toughest problems To learn more, follow Databricks on Twitter, LinkedIn and Facebook",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282650948?url=https%3A%2F%2Fdatabricks%2Ecom%2Fcompany%2Fcareers%2Fopen-positions%2Fjob%3Fgh_jid%3D4793373002%26gh_src%3D62a881d62&urlHash=Gj3M&refId=0d242a47-db7d-4c1a-92bf-13884babf360&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-engineer-new-grad-2021-amsterdam-at-databricks-2282650948?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,10,application developer,LinkedIn,2202309500,Software Engineer,FcC18luvSBy1okM3ax3Vaw==,ING,"Amsterdam, North Holland, Netherlands",['Banking'],Engineering,"ING is looking for a passionate Software EngineerYour passion is to work with the latest and greatest technologies that make working with large amounts of data easy, youre proactive in keeping yourself up to date and are always searching for new ways to discover new technologies You also enjoy laying the architectural foundations for the things youre working on You combine both thinking of the future and a hands on, right now attitude You will work in a team with highly skilled people and enjoy a creative atmosphere where trying things out is encouraged You play an important role in the delivery of the software that will keep the ING Bank running 247 365 days a year",Full-time,,https://nl.linkedin.com/jobs/view/software-engineer-at-ing-2202309500?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,12,application developer,LinkedIn,2303318337,Software Engineer,kgSJG1/ySDeqp3c2AImoWQ==,ING Nederland,"Amsterdam, North Holland, Netherlands",['Banking'],Information Technology,"ING is looking for Software EngineerWere maintaining and rebuilding an Oracle DB based platform for ingesting data, financial processing and reporting Were counting on your help for designing and developing a microservices oriented platform able to sustain the daily activity and that proves to be ready for tomorrows challenges",Full-time,,https://nl.linkedin.com/jobs/view/software-engineer-at-ing-nederland-2303318337?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,13,application developer,LinkedIn,2301993914,Software Engineer,N+iteGNmSheSYEvl5ak3vQ==,Abbott,"Olst, Overijssel, Netherlands",['Hospital & Health Care'],Production,"As a Software Engineer you will be tasked with providing technical capabilities for planning and implementing system installation, upgrades, configuration, and related change control and verification activities for our Abbott site in Olst You will provide daytoday support including problem resolution and coordination of operational activities You will research and evaluate alternative solutions and make recommendations for improved system operationsAcross our office in Olst we continue to innovate and to solve complex challenges within the pharmaceutical industry while planning exciting developments that lie aheadWould you like to be a part of an instrumental team within a challenging environment in charge or creating new solutions, challenging the current processes and bringing new ideas to the table Then this is the role for you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301993914?url=https%3A%2F%2Fwww%2Ejobs%2Eabbott%2Fus%2Fen%2Fjob%2FABLAUS30964569ENUSEXTERNAL%2FSoftware-Engineer%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=mzzi&refId=0d242a47-db7d-4c1a-92bf-13884babf360&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-engineer-at-abbott-2301993914?refId=0d242a47-db7d-4c1a-92bf-13884babf360&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,21/11/2020,25/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
