,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,author,LinkedIn,2294433865,Technical Writer,mQyBTyvgRaex0dlf4wOIVQ==,Wrtsil Netherlands BV,"Drunen, North Brabant, Netherlands","['Maritime', 'Oil & Energy', 'Mechanical or Industrial Engineering']",Writing/Editing,"Are you a native or bilingual English speaker with bulletin, documentation or manual writing experience Are you eager to further professionalise our technical writing processes and standards Then we would like to welcome you to our team",Full-time,,https://nl.linkedin.com/jobs/view/technical-writer-at-w%C3%A4rtsil%C3%A4-netherlands-b-v-2294433865?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,author,LinkedIn,2317407863,"Lead author, Global Parliamentary Report",hCMPE47oS3eFqX1jXYUwbA==,InterParliamentary Union,"Rotterdam, South Holland, Netherlands",['Higher Education'],Marketing,"Full details under, , IPU and UNDP are working on a third Global Parliamentary Report GPR The main objective of the GPR is to develop recommendations and present good practice examples for more effective parliaments The primary target audience is the parliamentary community, but also all other stakeholders A gender perspective will be mainstreamed throughout the report, , The third GPR will be focused on public engagement in the work of parliament It will be grounded primarily on experience and contributions from parliaments and parliamentarians, as it was the case with two previous reports and , , IPU is looking to recruit a consultant with at least 10 years experience to lead the drafting of the report, , The person will draw upon the research and analysis that have been carried out to date This includes research activities such as desk research interviews with parliamentarians survey of parliamentarians perceptions written input from parliaments and other stakeholders data provided by parliaments in response to a questionnaire and national multistakeholder focus groups, , The lead author will use this material to draft a report that is global in scope, practical in nature, and is focused on supporting parliaments in strengthening their engagement with the public The report will contain elements such as case studies, good practice examples, tips for parliamentarians and recommendations The target launch date is October 2021, , Tasks, , , , The consultancy is expected to be fulltime from January to December 2021 Up to 220 days should be carried out within that time, , Candidates for the consultancy need to be able to demonstrate, , , , Our guiding principle in selecting candidates is to secure the highest standards of efficiency, competence and integrity We do not discriminate on any grounds and are committed to promoting diversity in our workforce, , Particular attention is paid to candidates from developing countries and to achieving gender balance We strive to provide an environment where the contribution of each individual is valued, , All our personnel are expected to possess the following qualities, , , , The work of the IPU is based on the that describes a series of fundamental principles for the planning and implementation of programmes aimed to strengthen the capacity of parliaments The Consultant will be expected to factor the Common principles into hisher tasks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317407863?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F03aa39e7-2c64-4aee-bb7e-59615618433c%3Fjid%3D2926554c754e41da33c52d343764513b2a1ea4df4466687fbe352669893b96b3%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=GG69&refId=c7999a9b-402f-47d3-baf1-5543ae87a988&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-author-global-parliamentary-report-at-inter-parliamentary-union-2317407863?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,4,author,LinkedIn,2289626903,Technical Writer,Q+Kb28foQyaMq3/vXTG81w==,Nearfield Instruments BV,"Rotterdam, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Computer Software', 'Mechanical or Industrial Engineering']",Marketing,"Nearfield Instruments brings together the most creative minds in science and technology to develop a revolutionary high throughput atomic force microscopy AFM system, enabling atomscale resolution 3D metrology at industrylevel throughput We design, develop, integrate, market and service these advanced metrology machines, , , , As a Technical Writer you will be responsible for generating a large variety of technical documentation for NFI products users but also for NFI engineering teams This can be operations manuals, maintenance  service manuals, SW release updates, product catalogs to official governmental related acceptance documentation But also specific internal safety protocols to be followed by our engineering teams during integration and testing in our factory and work instructions used during installation and service at our customer sites, , It is required that the Technical Writer has good linguistic skills but also very much affinity with high tech products, preferably within the semiconductor industry As such, is familiar with the SEMI norms as well as the very strict safety regulations in the industry But also understand that user manuals, service manuals of this kind require very accurate description of the dos and donts, , , , , , , The Technical Writer works with the MAIT engineers from the different subsystems, system integration and system function projects He or she collects, understands and translates the proper required technical information into the easier understanding of safe machine operation, , It is really a must that the Technical Writer takes the responsibility to get the documentation written as complete and correct as possible by consulting the correct stakeholders and secure a proper review and acceptance of the written documentation, The technical author reports directly to the MAIT team lead and works within the project scope Furthermore, you need to recognize yourself in the profile as described below, , , , , , , , Besides a technically challenging role where you can utilize the full extend of your professional knowledge, we value your worklive balance and the time for some relaxation Boost your energy by playing a match of table tennis or clear your mind during our weekly run with colleagues, , We rely on each others qualities, capabilities and we motivate one another to get the best out of ourselves and each other We are here to support one another, and colleagues are there to help you TEAM is very important, Together Everyone Achieves More, , We look forward to hear from you, , If the above mix of technical and personal challenges excites you, we encourage you to send us your details using the Apply now button If you have any questions before applying or would like to have a general conversation about Nearfield Instruments, you can contact our Recruiter, Harald van Klaveren on haraldvanklaverennearfieldinstrumentscom or 3106 1464 7117",Full-time,https://www.linkedin.com/jobs/view/externalApply/2289626903?url=https%3A%2F%2Fcareers%2Enearfieldinstruments%2Ecom%2Ftechnical-writer%2Fen&urlHash=HEBf&refId=c7999a9b-402f-47d3-baf1-5543ae87a988&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-writer-at-nearfield-instruments-b-v-2289626903?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,5,author,LinkedIn,2295910100,"Technical Writer (Netherlands - Drunen, NL)",2k/HpO4lR/6L+kNwgoYkdg==,Wrtsil,"The Randstad, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Mechanical or Industrial Engineering', 'Oil & Energy']",Marketing,"Are you a native or bilingual English speaker with bulletin, documentation or manual writing experience Are you eager to further professionalise our technical writing processes and standards Then we would like to welcome you to our team, , We are looking for an experienced native Englishspeaking technical writer to strengthen our Technical Information team in Drunen, and who will be our technical bulletins and technical English language specialist You know how and where to gather relevant information from various digital sources for example, PDM and ERP and from subject matters experts around the world You can structure technical information logically, describe contexts clearly and unambiguously, and write from a user and taskoriented perspective, , As a Technical Writer, your main task will be to cocreate, revise and maintain Technical Bulletins and Operation and Maintenance Manuals, used by our customers and the personnel on board their vessels, as well as Wrtsil technical experts, for the operation, maintenance and repair of our marine propulsion products Precision, simplicity, clarity and consistency of language and style are critical to a proper understanding of the subject matter Misinterpretations can have serious safety, property, financial and legal consequences Furthermore, language and style can change meaning when translated As a technical English language specialist, you will help develop and maintain Wrtsil technical writing standards and guidelines, and coach nonnative speaking writers and content contributors, , , , , , , , , , We highly care for employability of all our employees hence employees are encouraged to utilize the variety of training activities, learning solutions and selfstudy materials The opportunity to further develop your talents and competencies within an international working environment, in an ambitious, growth orientated organisation We offer excellent primary and secondary terms of employment and a healthy worklife balance We foster openness, respect and trust The culture can be described as down to earth and decisive, , We drive an inclusive corporate culture by respecting diversity Success requires a mix of employees  diversity in nationality, gender, age, personality and educational background, , If you feel excited by being part of this dynamic working environment and you think your personal skills and qualities match the job requirements, we look forward receiving your job application, together with a Curriculum Vitae, , In case you have questions about the procedure please call Dr Schellekens Corporate Recruiter at 31 06 28558033 or by email dreschellekenswartsilacom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2295910100?url=https%3A%2F%2Fcareers%2Ewartsila%2Ecom%2Fjob%2FNetherlands-Drunen-Technical-Writer%2F633705301%2F&urlHash=1g5w&refId=c7999a9b-402f-47d3-baf1-5543ae87a988&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-writer-netherlands-drunen-nl-at-w%C3%A4rtsil%C3%A4-2295910100?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,6,author,LinkedIn,2294900301,Software Engineering Writer,TnTA4/TPTx6H5ii7Yydzwg==,Hire Digital,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']",Marketing,"A technology client is seeking a Freelance Software Engineering Writer to generate engaging, original content on software topics You will research topics and develop content around trending software technologies that enterprises would be interested in You will have to bring an authoritative understanding of these topics, with the ability to explain things in a way that both a highly technical and entrylevel person will understand You should be creative, adaptable, and analytical with excellent writing skills and a unique voice, , This is a remote position We welcome candidates from any location Resumes are to be submitted in English We do not provide visa sponsorship at this moment, , , , , , , , , , Hire Digital is a freelance network of top talents in digital marketing, web development, and design Our clients work with high performing teams as well as individual talents who have gone through a rigorous screening process Clients such as Shopify, Expedia, and Stripe have access to high performing talents ondemand, with guaranteed performance, , Powered by JazzHR, , IE6WzMbYu9",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294900301?url=http%3A%2F%2Fengagements%2Ehiredigital%2Ecom%2Fapply%2FIE6WzMbYu9%2FSoftware-Engineering-Writer%3Fsource%3DLILI%23IE6WzMbYu9&urlHash=ThSd&refId=c7999a9b-402f-47d3-baf1-5543ae87a988&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/software-engineering-writer-at-hire-digital-2294900301?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,14,author,LinkedIn,2315603162,RFP Writer French/Spanish,fcyPpzC0Rm+XHg175WG1Vw==,NationaleNederlanden,"The Hague, South Holland, Netherlands",['Financial Services'],Finance,"RFP Writer, , With your critical eye, you confidently dive deep into the high waves of the financial world You know exactly what the ins and outs of the industry are From Due Diligence Questionnaires to a Request for Proposal you can convert complex material into razorsharp, watertight documents with which you convince customers to invest at NN Investment Partners, , , , When it comes to Asset Management, investment specialists and sales professionals are the colleagues appointed to discuss the chance of a deal You collect complex information and are then able to translate it into comprehensible text for customers You write clearly and precisely, but also with irrefutable authority and expertise You tell the customer exactly how the issues surrounding risk and compliance work This gives prospective clients the confidence to trust and work with NN IP Already somewhat of an expert in your field, you are constantly learning more by collaborating with writers and colleagues from other teams, , , , You will work with us to, , , , , , You have a talent for organizing and educating your clients You are passionate about the information you share with them Your own personal interest in the profession drives you to follow the latest developments in the financial sector You have at least 12 years of experience within the financial industry Furthermore you are fluent in English A good command of the French or Spanish language forms an advantage, , As an RFP Writer, collaboration is critical If you do not involve the right colleagues, you will miss crucial information You are part of the RFP Services  Investment marketing team, which is part of the marketing department within NN Investment Partners Together you are responsible for the commercial positioning of our investment strategies and of different capabilities of NN IP as a whole You will deal with high quality Request for Proposals RFPs and Due Diligence Questionnaires DDQs from international prospects  clients, with the aim to contribute to the commercial success of the organization The team consists of 10 professionals six RFPDDQ writers, two Data analysts and two investment marketers, , , , Just as you as our RPF Writer indirectly care for our customers, we also take care of you With great development opportunities and a pleasant working environment, you will have good reason to find going to work every day a pleasure For your career development, we facilitate, , , , , , , We offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days You will receive your holiday allowance and 13th month with your salary every month, without restriction and readily available to you As a RFP Writer, you will work from our beautiful office located in The Hague, which offers an easy connection via the A12, , , , Are you help able to help NN clients understand complex issues Then we would like to meet you Upload your resume via the apply button Do you have any questions about the job Then please call Femke Zeeman via 31 06 51509766",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315603162?url=https%3A%2F%2Fnn-careers%2Ecom%2Fnl%2Fnl%2Fjob%2F24197%2FRFP-Writer-French-Spanish%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=k4Ul&refId=c7999a9b-402f-47d3-baf1-5543ae87a988&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rfp-writer-french-spanish-at-nationale-nederlanden-2315603162?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,16,author,LinkedIn,2316921400,"Lead author, Global Parliamentary Report - Rotterdam",8mbW37aDRfCRuZ58Z3Tb5w==,InterParliamentary Union,"Rotterdam, South Holland, Netherlands","['Nonprofit Organization Management', 'Research', 'Management Consulting']",Marketing,"Full details under, IPU and UNDP are working on a third Global Parliamentary Report GPR The main objective of the GPR is to develop recommendations and present good practice examples for more effective parliaments The primary target audience is the parliamentary community, but also all other stakeholders A gender perspective will be mainstreamed throughout the report, The third GPR will be focused on public engagement in the work of parliament It will be grounded primarily on experience and contributions from parliaments and parliamentarians, as it was the case with two previous reports and , , IPU is looking to recruit a consultant with at least 10 years experience to lead the drafting of the report, , The person will draw upon the research and analysis that have been carried out to date This includes research activities such as desk research interviews with parliamentarians survey of parliamentarians perceptions written input from parliaments and other stakeholders data provided by parliaments in response to a questionnaire and national multistakeholder focus groups, , The lead author will use this material to draft a report that is global in scope, practical in nature, and is focused on supporting parliaments in strengthening their engagement with the public The report will contain elements such as case studies, good practice examples, tips for parliamentarians and recommendations The target launch date is October 2021, , , , The consultant will carry out these tasks in close cooperation with the project focal points in IPU and UNDPTiming, , The consultancy is expected to be fulltime from January to December 2021 Up to 220 days should be carried out within that time, , , , Candidates for the consultancy need to be able to demonstrate, , , , Our guiding principle in selecting candidates is to secure the highest standards of efficiency, competence and integrity We do not discriminate on any grounds and are committed to promoting diversity in our workforce, , Particular attention is paid to candidates from developing countries and to achieving gender balance We strive to provide an environment where the contribution of each individual is valued, , All our personnel are expected to possess the following qualities, , We ask all our staff to agree to our and our , , The work of the IPU is based on the that describes a series of fundamental principles for the planning and implementation of programmes aimed to strengthen the capacity of parliaments The Consultant will be expected to factor the Common principles into hisher tasks",Contract,https://www.linkedin.com/jobs/view/externalApply/2316921400?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6035d3dd5fd3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacddggddd7ddb7adccdddaadcgadcaddbfada3aeccdcdfec3ddcg3e&urlHash=2SM0&refId=c7999a9b-402f-47d3-baf1-5543ae87a988&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-author-global-parliamentary-report-rotterdam-at-inter-parliamentary-union-2316921400?refId=c7999a9b-402f-47d3-baf1-5543ae87a988&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,26,author,LinkedIn,2254255638,RFP Writer,xb/fT6KFS26yLK9LJm2hCw==,Aegon Asset Management NL,"Den Haag, South Holland, Netherlands","['Banking', 'Financial Services', 'Accounting']",Marketing,"As RfP Writer at Aegon Asset Management you will coordinate and prepare Requests for Proposal RfPs RfPs are comprehensive and complex lists of questions on the company and its investment products You will be part of our global RfP team that operates from our different office branches across Europe and the US, , As RfP Writer you are an essential element of the sales process By working together with sales, client service, product specialists, compliance, legal and operations specialists across the firm, you will collect information and gather knowledge You will tailor it to fit the requirements of the requests you receive You will make sure the content is of the highest quality and is consistent with our corporate messaging You will also be the first point of contact for contentrelated support for our international sales teams, , , , , , , We are looking to enhance our team and need someone who is analytical and creative You have proven affinity with and understanding of investment products You are aware of the information clients and prospects require and are able to present this information in a concise and commercially convincing manner, , , , , , , , , Aegon Asset Management is a globally operating asset manager We employ 1200 professionals worldwide and manage 340 billion serving institutional, intermediary and retail clients in Europe, NorthAmerica and Asia We are part of Aegon, one of the worlds leading financial services organizations, providing insurance, pension and asset management services, , , , Interested in the position Apply directly by clicking the button below, , For further information regarding this position, please contact Dave Heilbron, Talent Acquisition Manager click apply or click apply, , An assessment, integrity test andor writing test could be part of the selection procedure, , All responses will be treated confidentially",Full-time,https://www.linkedin.com/jobs/view/externalApply/2254255638?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F4047659633945771526%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=eRo3&refId=c92267c2-3db2-44dd-8582-3ce019b4f714&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rfp-writer-at-aegon-asset-management-nl-2254255638?refId=c92267c2-3db2-44dd-8582-3ce019b4f714&position=1&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,27,author,LinkedIn,2315601743,RFP Writer English & Dutch,1hHM4yXGTjqoeYoBJh7MGw==,NationaleNederlanden,"The Hague, South Holland, Netherlands",['Financial Services'],Finance,"RFP Writer, , Your impact as a Junior RFP Writer at NN Investment Partners, , When it comes to Asset Management, investment specialists and sales professionals are the colleagues appointed to discuss the chance of a deal You collect complex information and are then able to translate it into comprehensible text for customers You write clearly and precisely, but also with irrefutable authority and expertise You tell the customer exactly how the issues surrounding risk and compliance work This gives prospective clients the confidence to trust and work with NN IP Already somewhat of an expert in your field, you are constantly learning more by collaborating with writers and colleagues from other teams, , , , You will work with us to, , , , , , You have a talent for organizing and educating your clients You are passionate about the information you share with them Your own personal interest in the profession drives you to follow the latest developments in the financial sector You have at least 12 years of experience within the financial industry Furthermore you are fluent in English and Dutch, , As an RFP Writer, collaboration is critical If you do not involve the right colleagues, you will miss crucial information You are part of the RFP Services  Investment marketing team, which is part of the marketing department within NN Investment Partners Together you are responsible for the commercial positioning of our investment strategies and of different capabilities of NN IP as a whole You will deal with high quality Request for Proposals RFPs and Due Diligence Questionnaires DDQs from international prospects  clients, with the aim to contribute to the commercial success of the organization The team consists of 10 professionals six RFPDDQ writers, two Data analysts and two investment marketers, , , , Just as you as our RPF Writer indirectly care for our customers, we also take care of you With great development opportunities and a pleasant working environment, you will have good reason to find going to work every day a pleasure For your career development, we facilitate, , , , , , , We offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days You will receive your holiday allowance and 13th month with your salary every month, without restriction and readily available to you As a RFP Writer, you will work from our beautiful office located in The Hague, which offers an easy connection via the A12, , , , Are you help able to help NN clients understand complex issues Then we would like to meet you Upload your resume via the apply button Do you have any questions about the job Then please call Femke Zeeman via 31 06 51509766",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315601743?url=https%3A%2F%2Fnn-careers%2Ecom%2Fnl%2Fnl%2Fjob%2F24196%2FRFP-Writer-English-Dutch%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=TocA&refId=c92267c2-3db2-44dd-8582-3ce019b4f714&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rfp-writer-english-dutch-at-nationale-nederlanden-2315601743?refId=c92267c2-3db2-44dd-8582-3ce019b4f714&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,34,author,LinkedIn,2315400776,Winter Writers Session 2020,CQoWr6RYTfWmyzgLgwHUfQ==,Banff Centre for Arts and Creativity,"Overijssel, Netherlands","['E-', 'Learning', 'Nonprofit Organization Management', 'Higher Education']",Marketing,"Overview, , This 3day session will allow writers across genre to explore craft, voice, and workshop their manuscripts with exceptional faculty Waubgeshig Rice and Emma Healey Faculty will share their own work, present talks and field questions about craft, and work with writers to hone their writing in progress The Winter Writers Session is a small cohort program that provides writers with a chance to learn from each other and faculty, attend exclusive talks, ask questions, and develop their practice, , , The Winter Writers Online Session is a small cohort program that writers a chance to learn from each other and faculty, attend exclusive talks, ask questions, and develop their practice Participants have a chance to interact with our exceptional faculty focusing on writing across genres Our marvelous faculty members Waubgeshig Rice and Emma Healey will offer readings, talks and workshop opportunities, and QA sessions all delivered digitally over Zoom Participants should expect dynamic sessions of focused learning, a chance to develop their writing, and forwardlooking perspectives on writing, , , Writers in all creative genres are invited to apply The program is designed for emerging and established writers with a proven publication record, , We welcome writers from all backgrounds, and all gender identities and expressions, , January 29  January 31, 2021, November 25, 2020, httpsbitly32qyeDL",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315400776?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D9cc410408018%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7caddgadd7ddc7ddfcddgaddcgddgadd8fddg3defcdc8fec3ddcg3e&urlHash=C4rz&refId=c92267c2-3db2-44dd-8582-3ce019b4f714&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/winter-writers-session-2020-at-banff-centre-for-arts-and-creativity-2315400776?refId=c92267c2-3db2-44dd-8582-3ce019b4f714&position=9&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-20,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
