Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,primary school teacher,LinkedIn,2279380147,After School Teacher,4n8fpF2QS72AcoGAAA7UXg==,Villa Bloom,"The Hague, South Holland, Netherlands","['Primary/', 'Secondary Education']","Your profile, , As we are an international childcare centre, fluent verbal and written English is essential Candidates will have the following experience, skills and attributes, , , , What we offer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279380147?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc270ebd3-e5b8-4d82-960b-cd612a1dd3f9%3Fjid%3D0c656b42800f6396994567cb64911d094b6dddbb6d74ee7ddad36a7b7e4379fa%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=vUme&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/after-school-teacher-at-villa-bloom-2279380147?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
2,primary school teacher,LinkedIn,2325181821,Secondary School Dutch Teacher - AICS VO,8rsS1APIRsOX5m7ocNqSwQ==,Nederland Vacature Groep,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Higher Education', 'Education Management']","Bedrijfsprofiel, , About The AICS, , The AICS is the first Dutch International Primary and Secondary School in Amsterdam Together with a number of other schools we form the Esprit Scholen The AICS is subsidised by the Dutch government, which enables us to deliver high quality education at competitive fees The AICS is a school for international education that is accredited by the Council of International Schools and focuses on children from international backgrounds Currently the school offers primary education to students aged 4  10 and secondary education to students aged 11  19 The main language of instruction for classes is English After several moves since the start of the school in 2003, the AICS is now located in three buildings Main primary and secondary, around 1100 students, Satellite primary only, around 200 students and South East primary and secondary, around 300 students, , , To be a community where learning is at the heart of everything we do, , , The AICS facilitates high quality, accessible, communitybased international learning for students of all nationalities living in The Netherlands, , , , , , , , , , , Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , , Solliciteer direct, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325181821?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fsecondary-school-dutch-teacher-aics-vo-in-amsterdam%2F252366%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=Ei01&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/secondary-school-dutch-teacher-aics-vo-at-nederland-vacature-groep-2325181821?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
7,primary school teacher,LinkedIn,2315366829,English Teacher - Amsterdam,tLjGnjZ3SxyOm+jORTaK8w==,Wolfert Tweetalig,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","Full time position  Part time can be discussed, , As of January 1, 2021 we are looking for an enthusiastic English teacher with a teaching qualification for a full time position Are you available Then please continue to read, , , , Wolfert Tweetalig tweetalig means bilingual in Dutch is ranked as an Excellent School by the Dutch ministry of education This ranking is attributed to schools with high standards of education as well as a specific and unique profile of excellence, , With more than 1200 students from Rotterdam and the surrounding area, Wolfert Tweetalig is one of the bestknown schools in the Netherlands that offer bilingual education for both VWO preuniversity education and HAVO higher general secondary education students, , Students of Wolfert Bilingual know what it means to be a world citizen by means of our curriculum but also through collaboration with students abroad, exchanges, excursions and international internships They also learn to use the English language at a nearnative level, , In our school building, Wolfert Colleges nonbilingual VWO and HAVO students also follow their training The school therefore houses about 1400 students in total, , Wolfert Bilinguals leadership team consists of a head of school and four team leaders The schools teaching staff consists of 110 people, twenty of whom are native English speakers The educational support staff includes seventeen people Because Wolfert Bilingual is an Academic Training School, the school offers an internship to twenty or more first degree trainees every year, , Wolfert Bilingual is part of the Wolfert van Borselen school group This school group consists of six schools, each with its own educational profile, that offer public secondary education in Rotterdam and the surrounding area The school group is part of the Public Education Board of Rotterdam BOOR, , , , Due to maternity leave of one of our colleagues and the upcoming retirement of another colleague we are looking for an English teacher who will teach both our HAVO and VWO students in the lower years age group 1215 years old as well as our upper year students age 1619 as of 1 January 2021, , As an English teacher you enjoy developing activities for students within an international context You are didactically talented, a teamplayer and are open to innovative ideas and developments You know how to guide and coach your students in achieving their learning objectives Because all our students work with a MacBook, your digital skills are excellent You have a degree in teaching the English language and you are familiar with bilingual education and various international exam programmes like IB and Cambridge Can you ensure a safe learning environment and are you able to get the most out of a student Do you have excellent communication skills in order to communicate well with both students and their parents Then please apply to this vacancy and get in touch with us, , , , , , Online interviews are scheduled for Friday, December 11",Internship,https://www.linkedin.com/jobs/view/externalApply/2315366829?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4e3888d1d0c7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadbcdddbdd88dd8bdd8aadcgddfaadcfddg3aedcdc9fec3ddcg3e&urlHash=SENh&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/english-teacher-amsterdam-at-wolfert-tweetalig-2315366829?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
33,primary school teacher,LinkedIn,2323804493,"Online English, IB teacher needed in Amsterdam",y9Ow3sG6R1GMbFwIFQd+ZQ==,TeacherOn,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Education Management', 'Research']","Hello Sanchari ji, Trust you are doing great Would like to discuss the possibility of tutoring English to my 14 years old Daughter who studies in an IB curriculum MYP3 Would like to discuss further please, , regards, Rajat Sharma",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323804493?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F5465632813315410363%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=MEBo&refId=e34bdb39-eb2a-4223-9360-2da7e4807046&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/online-english-ib-teacher-needed-in-amsterdam-at-teacheron-2323804493?refId=e34bdb39-eb2a-4223-9360-2da7e4807046&position=8&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
75,primary school teacher,LinkedIn,2317665066,English Teacher,K5KWHyjiSS6oLUKNy7FjyQ==,Wolfert Tweetalig,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education']","Full time position  Part time can be discussed, , As of January 1, 2021 we are looking for an enthusiastic English teacher with a teaching qualification for a full time position Are you available Then please continue to read, , Wolfert Bilingual, , Wolfert Tweetalig tweetalig means bilingual in Dutch is ranked as an Excellent School by the Dutch ministry of education This ranking is attributed to schools with high standards of education as well as a specific and unique profile of excellence, , With more than 1200 students from Rotterdam and the surrounding area, Wolfert Tweetalig is one of the bestknown schools in the Netherlands that offer bilingual education for both VWO preuniversity education and HAVO higher general secondary education students, , Students of Wolfert Bilingual know what it means to be a world citizen by means of our curriculum but also through collaboration with students abroad, exchanges, excursions and international internships They also learn to use the English language at a nearnative level, , In our school building, Wolfert Colleges nonbilingual VWO and HAVO students also follow their training The school therefore houses about 1400 students in total, , Wolfert Bilinguals leadership team consists of a head of school and four team leaders The schools teaching staff consists of 110 people, twenty of whom are native English speakers The educational support staff includes seventeen people Because Wolfert Bilingual is an Academic Training School, the school offers an internship to twenty or more first degree trainees every year, , Wolfert Bilingual is part of the Wolfert van Borselen school group This school group consists of six schools, each with its own educational profile, that offer public secondary education in Rotterdam and the surrounding area The school group is part of the Public Education Board of Rotterdam BOOR, , Vacancy teacher of English, , Due to maternity leave of one of our colleagues and the upcoming retirement of another colleague we are looking for an English teacher who will teach both our HAVO and VWO students in the lower years age group 1215 years old as well as our upper year students age 1619 as of 1 January 2021, , As an English teacher you enjoy developing activities for students within an international context You are didactically talented, a teamplayer and are open to innovative ideas and developments You know how to guide and coach your students in achieving their learning objectives Because all our students work with a MacBook, your digital skills are excellent You have a degree in teaching the English language and you are familiar with bilingual education and various international exam programmes like IB and Cambridge Can you ensure a safe learning environment and are you able to get the most out of a student Do you have excellent communication skills in order to communicate well with both students and their parents Then please apply to this vacancy and get in touch with us, , Interested, , Please send your resume and motivational letter to before Monday, December 7, 2020, , Online interviews are scheduled for Friday, December 11",Internship,https://www.linkedin.com/jobs/view/externalApply/2317665066?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F9656ad15-c65c-4837-8614-bfa842ba0dec%3Fjid%3D26bc36179327d3f85eb7567beef1dbb0e37c57aff1f74cd9f41ae05d04d4e38f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Cohf&refId=60a5774b-8269-435d-b5bf-64fd10654f9f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/english-teacher-at-wolfert-tweetalig-2317665066?refId=60a5774b-8269-435d-b5bf-64fd10654f9f&position=25&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
83,primary school teacher,LinkedIn,2312730172,Vacancy English teacher - Wolfert Tweetalig,GJ5tQdiOQXCMaTGJA1gGwA==,Nederland Vacature Groep,"Rotterdam, South Holland, Netherlands","['Nonprofit Organization Management', 'Higher Education', 'Education Management']","Bedrijfsprofiel, Wolfert Tweetalig is de bekendste tweetalige opleiding voor vwo en havo in Nederland Op Wolfert Tweetalig krijgen leerlingen vakken als biology, geography, drama, art  design, history, music, physical education en mathematics in het Engels Daarnaast maken zij in een rijke internationale context kennis met andere talen en culturen bijvoorbeeld door uitwisselingsprogrammas met partnerscholen in het buitenland Leerlingen worden zo gestimuleerd in hun vorming tot wereldburgers en ontdekken en ontwikkelen hun talenten , As of January 1, 2021 we are looking for an enthusiastic English teacher with a teaching qualification for a full time position part time can be discussed Are you available Then please continue to read, , Wolfert Tweetalig tweetalig means bilingual in Dutch is ranked as an Excellent School by the Dutch ministry of education This ranking is attributed to schools with high standards of education as well as a specific and unique profile of excellence, With more than 1200 students from Rotterdam and the surrounding area, Wolfert Tweetalig is one of the bestknown schools in the Netherlands that offer bilingual education for both VWO preuniversity education and HAVO higher general secondary education students, Students of Wolfert Bilingual know what it means to be a world citizen by means of our curriculum but also through collaboration with students abroad, exchanges, excursions and international internships They also learn to use the English language at a nearnative level, In our school building, Wolfert Colleges nonbilingual VWO and HAVO students also follow their training The school therefore houses about 1400 students in total, Wolfert Bilinguals leadership team consists of a head of school and four team leaders The schools teaching staff consists of 110 people, twenty of whom are native English speakers The educational support staff includes seventeen people Because Wolfert Bilingual is an Academic Training School, the school offers an internship to twenty or more first degree trainees every year, Wolfert Bilingual is part of the Wolfert van Borselen school group This school group consists of six schools, each with its own educational profile, that offer public secondary education in Rotterdam and the surrounding area The school group is part of the Public Education Board of Rotterdam BOOR, , Due to maternity leave of one of our colleagues and the upcoming retirement of another colleague we are looking for an English teacher who will teach both our HAVO and VWO students in the lower years age group 1215 years old as well as our upper year students age 1619 as of 1 January 2021, As an English teacher you enjoy developing activities for students within an international context You are didactically talented, a teamplayer and are open to innovative ideas and developments You know how to guide and coach your students in achieving their learning objectives Because all our students work with a MacBook, your digital skills are excellent You have a degree in teaching the English language and you are familiar with bilingual education and various international exam programmes like IB and Cambridge Can you ensure a safe learning environment and are you able to get the most out of a student Do you have excellent communication skills in order to communicate well with both students and their parents Then please apply to this vacancy and get in touch with us, , Please send your resume and motivational letter to anowolfertnl before Monday, December 7, 2020, Online interviews are scheduled for Friday, December 11, , , , For more information please call Anna Notenboom, 31 108907725, Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , , Solliciteer direct, , ",Internship,https://www.linkedin.com/jobs/view/externalApply/2312730172?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fvacancy-english-teacher-wolfert-tweetalig-in-rotterdam%2F252523%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=-kvN&refId=052d70b2-39e2-48dc-86e9-46879577f1ac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacancy-english-teacher-wolfert-tweetalig-at-nederland-vacature-groep-2312730172?refId=052d70b2-39e2-48dc-86e9-46879577f1ac&position=8&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
109,primary school teacher,LinkedIn,2314658435,Teacher Educator in Myanmar,aPyTVxZHSbGa+weTuLbqvQ==,VSO,"Utrecht, Utrecht, Netherlands",None,"Country Myanmar Application closing date Flexible Start date April 2021 if the situation allows it Duration 1224 Months In Myanmar, there are several things happening in the education system that provide challenges A 5 year VSO programme in Myanmar is helping to introduce a new curriculum, improve teacher training standards as well as change how students are assessed We are urgently recruiting Teacher Educators As a VSO volunteer, you will immerse yourself in a new culture, face fresh challenges and develop your expertise, and often also management skills while doing something truly fulfilling The local office or partners need will decide your exact job description Role Overview The Teacher Educator will play a crucial role in VSOs teacher education project in Myanmar Based at an Education College, you will support teacher education reforms in Myanmar and build the capacity of local Teacher Educators TEs to deliver the new 4year preservice degree course The role will focus on inclusive teaching practices and, in particular, the access, participation and achievement of children with disabilities The ideal applicant will have Essential",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314658435?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fteacher-educator-in-myanmar%3A44282247%2F&urlHash=ATUQ&refId=c1ee3264-e3ca-45ce-bf0c-bdb38a938012&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teacher-educator-in-myanmar-at-vso-2314658435?refId=c1ee3264-e3ca-45ce-bf0c-bdb38a938012&position=9&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
126,primary school teacher,LinkedIn,2314657539,Inclusive Education Adviser in Rwanda,HHM8GVqLR8ilBuMqghhpNQ==,VSO,"Utrecht, Utrecht, Netherlands",None,"Country Rwanda Application closing date Flexible Start date April 2021 if the situation allows it Duration 1224 Months Note that this position involves working across several districts of the country To travel to districts you would usually travel on local buses Travel within districts will usually be as a passenger on motorbike taxis Thousands of teachers around the world do not get the necessary training and support, and as a consequence pupils do not reach their full potential VSO is working to change this This program improves childrens foundational English and Mathematic skills across all government schools in one district and is part of the Building Learning Foundations program This program focuses on establishing solid foundations at the lower primary level in all of Rwandas statefunded primary schools Improvements in learner outcomes in the lower primary grades are intended to improve childrens learning achievement in higher grades and so increase equitable access to primary and secondary education for girls and boys across the country As a VSO volunteer, you will immerse yourself in a new culture, face fresh challenges and develop your expertise, and often also management skills while doing something truly fulfilling The local office or partners need will decide your exact job description Role overview The Teacher Educator will play a crucial role in VSOs teacher education project in Myanmar Based at an Education College, you will support teacher education reforms in Myanmar and build the capacity of local Teacher Educators TEs to deliver the new 4year preservice degree course The role will focus on inclusive teaching practices and, in particular, the access, participation and achievement of children with disabilities The ideal applicant will have Essential",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314657539?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Finclusive-education-adviser-in-rwanda%3A44282243%2F&urlHash=1bNa&refId=eaae2772-9d5b-445f-a155-ec7724a146a8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/inclusive-education-adviser-in-rwanda-at-vso-2314657539?refId=eaae2772-9d5b-445f-a155-ec7724a146a8&position=1&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
132,primary school teacher,LinkedIn,2306141888,Substitute Nursery Teacher,5mXaYUxVRnGISqu9Tahv5w==,Villa Bloom,"The Hague, South Holland, Netherlands","['Primary/', 'Secondary Education', 'Nonprofit Organization Management', 'Education Management']","Your profile, , As we are an international childcare centre, fluent verbal English or Dutch is essential Candidates will have the following experience, skills and attributes",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306141888?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D8cb8563d1ea6%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cadd8adefdd89ddbaddaadddgadcaddffadb3aefcdcafec3ddcg3e&urlHash=cDGU&refId=eaae2772-9d5b-445f-a155-ec7724a146a8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/substitute-nursery-teacher-at-villa-bloom-2306141888?refId=eaae2772-9d5b-445f-a155-ec7724a146a8&position=7&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
139,primary school teacher,LinkedIn,2312443089,Vacancy English teacher,jPylutW+TKC9soLDGpX0Cg==,Pesant Werving  Selectie,"Rotterdam, South Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","As of January 1, 2021 we are looking for an enthusiastic English teacher with a teaching qualification for a full time position part time can be discussed Are you available Then please continue to read Wolfert Bilingual Wolfert Tweetalig tweetalig means bilingual in Dutch is ranked as an Excellent School by the Dutch ministry of education This ranking is attributed to schools with high standards of education as well as a specific and unique profile of excellence With more than 1200 students from Rotterdam and the surrounding area, Wolfert Tweetalig is one of the bestknown schools in the Netherlands that offer bilingual education for both VWO preuniversity education and HAVO higher general secondary education students Students of Wolfert Bilingual know what it means to be a world citizen by means of our curriculum but also through collaboration with students abroad, exchanges, excursions and international internships They also learn to use the English language at a nearnative level In our school building, Wolfert Colleges nonbilingual VWO and HAVO students also follow their training The school therefore houses about 1400 students in total Wolfert Bilinguals leadership team consists of a head of school and four team leaders The schools teaching staff consists of 110 people, twenty of whom are native English speakers The educational support staff includes seventeen people Because Wolfert Bilingual is anAcademic Training School, the school offers an internship to twenty or more first degree trainees every year Wolfert Bilingual is part of the Wolfert van Borselen school group This school group consists of six schools, each with its own educational profile, that offer public secondary education in Rotterdam and the surrounding area The school group is part of the Public Education Board of Rotterdam BOOR Vacancy teacher of English Due to maternity leave of one of our colleagues and the upcoming retirement of another colleague we are looking for an English teacher who will teach both our HAVO and VWO students in the lower years age group 1215 years old as well as our upper year students age 1619 as of 1 January 2021 As an English teacher you enjoy developing activities for students within an international context You are didactically talented, a teamplayer and are open to innovative ideas and developments You know how to guide and coach your students in achieving their learning objectives Because all our students work with a MacBook, your digital skills are excellent You have a degree in teaching the English language and you are familiar with bilingual education and various international exam programmes like IB and Cambridge Can you ensure a safe learning environment and are you able to get the most out of a student Do you have excellent communication skills in order to communicate well with both students and their parents Then please apply to this vacancy and get in touch with us Interested Please send your resume and motivational letter to anowolfertnl before Monday, December 7, 2020 Online interviews are scheduled for Friday, December 11 Nadere informatie en solliciteren For more information please call Anna Notenboom, 31 108907725",Internship,https://www.linkedin.com/jobs/view/externalApply/2312443089?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fvacancy-english-teacher%3A44254619%2F&urlHash=EZ4J&refId=eaae2772-9d5b-445f-a155-ec7724a146a8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacancy-english-teacher-at-pesant-werving-selectie-2312443089?refId=eaae2772-9d5b-445f-a155-ec7724a146a8&position=14&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
