Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
5,business support,LinkedIn,2309445234,Business Support Lead,GaJVoswwTKCeKZRNbNYw1g==,MY Recruitment,"Leiden, South Holland, Netherlands","['Pharmaceuticals', 'Biotechnology']","As Business Support Leader, besides working as a Business Support Officer, you will oversee and divide the tasks of the department With your Lab experience and combining your scientific and commercial skills, you will guide the team to a next professional level being able to generate more Business",Full-time,,https://nl.linkedin.com/jobs/view/business-support-lead-at-my-recruitment-2309445234?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
6,business support,LinkedIn,2326807239,Business Analyst,n+VkBYy6QOe+dP7o5afvnw==,Tiro Partners Limited,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Broadcast Media', 'Online Media']",Business Analyst required Business Analyst required by marketleading media organization based in the Netherlands As Business Analyst you will play a key role in a number of highprofile projects across the organisation which encompass a broad range of technical solutions,Contract,,https://nl.linkedin.com/jobs/view/business-analyst-at-tiro-partners-limited-2326807239?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
10,business support,LinkedIn,2326025242,CRM Business Analyst,Re7Wg3qpQcGzDBefFEN6Iw==,Trivium Packaging,"SchipholRijk, North Holland, Netherlands","['Food & Beverages', 'Glass, Ceramics & Concrete', 'Packaging and Containers']","Trivium Packaging is a global leader in metal packaging with more than 60 locations worldwide and employs close to 8,000 people and has annual revenue of approximately 27 billion Trivium serves a diverse range of customers in a variety of end markets such as food, seafood, pet food, nutrition, beauty and personal care, household care and premium beverages, , , , Commercial Excellence Europe, , Schiphol, Netherlands, , Sales Excellence Manager Europe, , Travelling in Europe to support the business 2030, , We are seeking a CRM Business Analyst to get the most possible value out of the usage of the Trivium CRM system by supporting the business, understanding business processes  needs, and translating these into CRM related requirements and capabilities, , , , , , , , , , , , , , , , At Trivium, people are the driving force in all our successes by bringing expertise and talent to help us stand out, achieving excellence through their commitment and drive and maintaining a focus on continuous improvement in everything they do Together, our goal is to be the number one choice for customers seeking sustainable metal packaging solutions",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326025242?url=https%3A%2F%2Fcareers%2Eardaghgroup%2Ecom%2FTrivium%2Fjob%2FSchiphol-Office-CRM-Business-Analyst-Noor%2F632151701%2F%3FfeedId%3D313801%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DArdagh_Linkedin&urlHash=a4wh&refId=757efb5e-2fd6-436e-a77f-e7302b350b40&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/crm-business-analyst-at-trivium-packaging-2326025242?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
11,business support,LinkedIn,2304970110,Production Support Specialist,3H9EbuwrRzGzAPKJU2kcVg==,Netflix,"Amsterdam, North Holland, Netherlands","['Entertainment', 'Internet', 'Motion Pictures and Film']","Netflix is revolutionizing entertainment From creating pivotal moments in storytelling history to rediscovering itself from a streaming service to the worlds best studio, Netflix is at the forefront in datadriven business execution This passion extends well into the world of support, where we offer exceptional customer service for our millions of global members One way we do this is through hightouch, businesstobusiness driven support, aiming to solve challenges that our technology and our studio production businesses face, , As Netflix continues to develop amazing original content and build the worlds most technologydriven studio, the drive to innovate around solutions, logistics, scheduling, and software grows Simply put, our goal is to provide our productions with tools superior to anything else out there, and support the effort to create the most productive, honest, and creative studio the world has ever seen, , As a Netflix Production Support Specialist, you will play a critical role by providing technical support to a user base of internal Netflix employees, production, and media partners all utilizing our Netflix Studio technology and applications Youll do this as a part of a global support team for our internal Netflix Studio applications The NPS team ensures an exceptional experience for our users by providing support to critical production software, coordinating and addressing any issue from our media partners, and helping studio production design teams solve challenges with our underlying technology applications as an advocate for the users that they support Your top priorities will be managing technical issues, research, documentation, business to business relationships, analyze trends and the impact of these issues with the ultimate goal of driving improvements in the Netflix Studio applications and overall production experience",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304970110?url=https%3A%2F%2Fjobs%2Enetflix%2Ecom%2Fjobs%2F41409121&urlHash=flIl&refId=757efb5e-2fd6-436e-a77f-e7302b350b40&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-support-specialist-at-netflix-2304970110?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
12,business support,LinkedIn,2225740920,CTIO Business Support Officer,GPvbmrj1QK+NhIeAKBupUg==,TMobile Nederland,"Den Haag, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Telecommunications']","Are you passionate about Technology, innovation and developments that shape the future of Telco and society Have you always wanted to understand how decisions are made on top level Do you have the capability to facilitate decision making at top level If your answer to all above is yes, then this might be the job you are looking for Within the Technology transformation office of TMobile Netherlands we are looking for a passionate candidate who would like to join us and strengthen our team, , , , As part of Technology Transformation office responsible for Technology input to Exco and Advisory board Making sure that documents are well prepared by TLT, organized, documented to ensure structure and prioritization of topics as input to board meetings, , Build high performing Technology transformation team, , Managing complexity of stakeholders and ownership structures, , , , To be able to do this job well, having a background in a combination of technology, strategy and the commercial field is a must have Next to this our ideal candidate should have experience in consulting, have a multidisciplinary helicopter view, have strong facilitation skills, have extensive knowledge of the fixed and mobile telecom sector Because of the fact that we operate in a fast and complex business you must have the ability to explain complex ideas and the ability to work on ad hoc basis at fast pace and do an extra mile in making a deadline, , , , , , , , T Mobile, you know who we are For 4 consecutive years, we have the best tested telecommunications network in the Netherlands With our challenger mindset, we challenge ourselves and the market to connect everyone with the possibilities of today Daring, responsible and working together those are the key competencies, , , There is a lot possible within T Mobile but you have to take initiative yourself Be enthusiastic, do you miss something, or do you see improvement Go ahead, change it Are you excited about us and about this position We might be a good match Sending your application is very easy Send your resume and motivation via below button and you will receive a phone call from one of our recruiters For more information, please contact Alexander Riegen via alexanderriegentmobilenl or 0681918906",Full-time,https://www.linkedin.com/jobs/view/externalApply/2225740920?url=https%3A%2F%2Ftmobile%2Eeasycruit%2Ecom%2Fintranet%2Flinkedin%2Fvacancy%2Fapplication%2F2573163%2F152881&urlHash=dViu&refId=757efb5e-2fd6-436e-a77f-e7302b350b40&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ctio-business-support-officer-at-t-mobile-nederland-2225740920?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
13,business support,LinkedIn,2232727020,"Support Specialist, Information Systems",19ICZqwPRdap64QrHI+WRg==,Lightspeed HQ,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Information Technology and Services']","As a Support Specialist in the Information Systems team, you are an essential part of the success of Lightspeed You will be ensuring our internal users obtain best in class support while using our line of business information systems You will also be providing valuable insight on the challenges encountered by our users to help the development and product management teams prioritize features release and fixes, , , , , , , , , , , , , , , In addition to the perks you see on the Careers page, youll get access to, , , , , Lightspeed TSXNYSE LSPD powers small and mediumsized businesses with its cloudbased, omnichannel commerce platforms in over 100 countries around the world With smart, scalable, and dependable point of sale systems, Lightspeed provides allinone solutions that help restaurants and retailers sell across channels, manage operations, engage with consumers, accept payments, and grow their business, , Headquartered in Montral, Canada, Lightspeed is trusted by favourite local businesses, where the community goes to shop and dine Lightspeed has offices in Canada, USA, Europe, and Australia, , Were passionate about enabling people to do their best work Come work with us and find out what you can do",Full-time,https://www.linkedin.com/jobs/view/externalApply/2232727020?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D2373574%26gh_src%3Dbsl4mk1%26rx_source%3Dlinkedin%26rx_paid%3D1%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=MJIP&refId=757efb5e-2fd6-436e-a77f-e7302b350b40&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/support-specialist-information-systems-at-lightspeed-hq-2232727020?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
14,business support,LinkedIn,2308080876,Sales Support Officer,3zX3OCewR6mGgmogBsrlQQ==,Payvision,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","We are looking to expand our Amsterdam Relationship Management team with an eager, service minded, and results driven Sales Support Officer In this role, you will be responsible for the entire client onboarding process and ensure the process is as smooth as possible for our clients and partners You will be in contact with all involved internal teams like sales, legal and risk We are looking for someone with excellent networking and communication skills, , , , Payvision lives for simplifying payments Headquartered in Amsterdam, weve grown fast since 2002 and now have a team of almost 300 As a trusted trailblazer in payments, we support merchants around the world, including in the US, Europe, Asia and the Pacific With a secure, datadriven payment processing platform, we u202f deliver omnichannel solutions backed by reporting, risk management and followthesun support We like to pay it forward and support each other in achieving awesome things  together Our daily mission is to be selfdriven, upbeat and get straight to the point Does this sound interesting to you Come and join us, , As Sales Support Officer you will, , As Sales Support Officer, you are or have, , Payvision offers you , , , Our screening process Were dedicated to working ethically and with transparency in the world of payments Thats why youll also play an important role when joining us by completing preemployment screening This is part of our selection process to hire reliable, honest and skilled colleagues That means the screening will include checking your references, CV, diploma andor other documents, as well as sending us a selfdeclaration form and statement of good conduct Thanks for your collaboration, , Applicant Privacy In case this role isnt the right fit for you, well keep your personal data for one year That way, we can inform you about other vacancies that we think might be a good opportunity for you If youd rather not stay in the loop about other openings, well delete your personal data right away upon request Want to delete your personal data after a month Just send an email to HRpayvisioncom ",Contract,https://www.linkedin.com/jobs/view/externalApply/2308080876?url=https%3A%2F%2Fpayvision%2Ebamboohr%2Ecom%2Fjobs%2Fview%2Ephp%3Fid%3D228&urlHash=mMh0&refId=757efb5e-2fd6-436e-a77f-e7302b350b40&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-support-officer-at-payvision-2308080876?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
15,business support,LinkedIn,2298650948,Technical Support Lead,n/86nB49R6+XoYAkxmtW+A==,Coates Group,"Amsterdam, North Holland, Netherlands",['Computer Software'],"Position Overview , The Technical Support Lead is a key member of the Coates Support Team Individuals stepping into this role will be a key driver of support delivery, operational improvement, and serve as a primary support contact and escalation point for enterprise customers in their supported markets Driving bestpractices and coaching fellow Support Team members will be essential to the success of this role within our support organization ",Full-time,,https://nl.linkedin.com/jobs/view/technical-support-lead-at-coates-group-2298650948?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
16,business support,LinkedIn,2320009915,Customer Engagement Specialist,8GZ2NtNkTHG6K1Z3poTvHw==,Reverb,"Amsterdam, North Holland, Netherlands",['Music'],"Company Description, Reverb is the largest online marketplace dedicated to buying and selling new, used, and vintage musical instruments Since launching in 2013, Reverb has grown into a vibrant community of buyers and sellers all over the world By focusing on inspiring content, price transparency, musicianfocused eCommerce tools, a musicsavvy customer service team, and more, Reverb has created an online destination where the global music community can connect over the perfect piece of music gear",Full-time,,https://nl.linkedin.com/jobs/view/customer-engagement-specialist-at-reverb-2320009915?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
17,business support,LinkedIn,2279931540,2nd Line Customer Support Representative,ljXeMU+2Thyqd8rYrWGn1g==,Everon,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","The future of mobility is electric In the transition towards sustainable transportation, electric vehicles play an important role in merging the mobility and the energy landscapes, , Everon is a global PlatformAsAService charging management solution designed for all eMobility needs worldwide We offer a bestinclass platform that enables Charge Point Operators and eMobility Service Providers to run competitive and sustainable businesses, empowering them to enhance their customers electric vehicle charging experience via advanced datadriven services From custom billing plans to user management  Everon is designed to fit any of our clients needs and business models, today and in the future, , As you will solve 2 nd line problems of customers related to EV charging and ensure efficiency and quality of our response You will provide postsales customer support on software, charge point operations and transactions to station owners, drivers and large customers, as well as invoicerelated questions, , Youll act as second line support to cases escalated from our first line call center In this role you are in direct contact with our customers You will be assessed on the relevancy and quality of your response and its documentation You will be part of a growing team at our headquarters based in Amsterdam, , , , , , , , , , In addition to collaborating with a dynamic group of top industry and subject matter experts, we will provide you a competitive salary with relocation assistance  visa support if applicable and the following benefits option to work from home partially, highend laptop  related equipment, contribution to private pension fund, discounted health insurance, 25 days holiday unpaid leave possible and homeoffice travel compensation, , Our wellconnected modern offices Amsterdam OudZuid in a super sustainable building Rotterdam City Centre  with a fantastic view of the Erasmus bridge always have free fruit and great coffee available We will actively encourage your growth in the business and will support you mentoring, training budgets to realize your goals whilst you make your mark on this evolving industry, , , , Were building a team of problem solvers and makers People with a proactive attitude and the drive to change the future of mobility From developers to designers, managers and specialists our office welcomes professionals from different backgrounds and values diversity as a strength We currently have over 140 people working with us from 33 different nationalities Together we make a global platform, powered by datadriven services, , Are you ready to join our mission Build a platform, cut emissions, change the future",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279931540?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Feveron%2Fjobs%2F4216898003&urlHash=HrPC&refId=757efb5e-2fd6-436e-a77f-e7302b350b40&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/2nd-line-customer-support-representative-at-everon-2279931540?refId=757efb5e-2fd6-436e-a77f-e7302b350b40&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-23,2020-11-29
