,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age,Age_Num
0,1,career development specialist,LinkedIn,2290186654,"Advisor - Non-Degreed Specialist, Work from Home",dpoHNbSsQwOF2s6f9MmPvg==,Becht,"The Hague, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Oil & Energy']",Other,"PartTime  Contingent, Flexible Location, , Becht is a 5 STAR rated Glassdoor company and a Top 100 Best Places to Work in New Jersey according to NJBIZ, , , Founded in 1964, Becht is a rapidlygrowing, multidiscipline consulting firm relied on by customers to relentlessly solve their most difficult and entrenched problems We combine vast experience through our network of over 1200 technical experts with both engineering expertise and professional experience Becht is a company founded on excellence, and as such we seek individuals who want to be part of our passionate and energetic team, , , Are you a candidate with 20 years owneroperator experience in a refining or petrochemical organization seeking engagement on a parttime, contingent basis We invite you to join our network of over 1200 Specialists and Advisors who work for Becht Once you join our network, youll have the ability to apply only for projects that interest you and fit your schedule, , Becht provides specialty consulting typically serving as the owners representative on capital projects and turnarounds We are seeking those with significant experience in the refining and petrochemical industry Areas of interest include Field Supervisors, Planners, Schedulers, Turnaround Managers, Construction Managers, Cost Specialists, Operators, Machinery Specialist, Inspection Supervisors and many others These roles could involve a mix of remote and onsite work depending on the candidates preference and the needs of the project Becht advisors generally work from a home office but may travel to client sites or Bechts offices, as required Becht frequently combines expertise in multi discipline teams to support resolution of client issues Bechts mission is to , , , A creative and innovative work environment isnt all we have to offer When you join Becht, you can expect, , , , , , All functions will be performed under the direction of the Division Manager one for each functional discipline Advisors working over 1000 hours during a calendar year are eligible for matching 401k contributions Advisors are eligible to enroll in medical, dental, vision, life and disability insurance if they are expected to work an average of 30 hours per week for one year Eligibility is monitored on an annual basis advisors may become eligible later if eligibility requirements are met, , Becht is an Equal Opportunity Employer",Part-time,https://www.linkedin.com/jobs/view/externalApply/2290186654?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3D0894d882-3d5f-4cce-b9f2-fa6a17b60eb5%26source%3DIN%26selectedMenuKey%3DCareerCenter%26jobId%3D372531&urlHash=VFcU&refId=9ae54ec1-e0e9-495e-a29f-4ee3baa075c2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/advisor-non-degreed-specialist-work-from-home-at-becht-2290186654?refId=9ae54ec1-e0e9-495e-a29f-4ee3baa075c2&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,107,career development specialist,LinkedIn,2315607241,Pricing & Valuation Specialist,Sy+ua7VfQD+CGLZFMzuXnQ==,NationaleNederlanden,"The Hague, South Holland, Netherlands",['Financial Services'],Finance,"Pricing and Valuation Specialist, , You contribute to the future of NN by optimizing the use of market data to realize cost efficient valuation processes, , , , You understand the importance of fair valuation, driven by supply and demand in the market, better than anyone Your role is critical in ensuring that all financial instruments in our Insurance portfolio are valued properly, using an efficient combination of externally sourced prices and internal valuation models In close cooperation with the specialists from asset management, you are responsible for the central procurement, calculation, validation and distribution of prices across the value chain You will work together with a team of pricing analysts in India that focuses on the execution of the daily operational pricing processes You can make a difference by optimizing these processes, introducing new processes and ensuring that they are aligned with the dynamic changes in the market, , , , With your positive attitude and performanceoriented motivation, you can develop and improve in your role by, , , , , , Here at NN, care is a core value  care for our customers as well as our employees You care for our customers needs, and as your employer, NN cares for yours We offer great development opportunities and a pleasant working environment For your career development, we offer you, , , , , You will be part of a dynamic, diverse and international team of analysts and specialists in The Hague, who are in various stages of their careers Being a senior specialist, we expect you to enjoy sharing knowledge, coaching the more junior members of the team and to guide them on their development journey Adding to the international environment the team in The Hague is supported by a team in India, that performs the daily operational processes Frequent interaction and building a relationship with the offshore team members is the key to success After work, the team also offers plenty of opportunity for recreation, out of which squash, basketball and drinks are the most recent examples, , , , Thanks to your efforts, we make our financial services relevant and more personal You and your team will contribute to costeffective operations, inspiring other NN colleagues At NN we love innovation We seek to improve and to optimize our working efficiency As a junior consultant you can help to futureproof NN for the years to come As a company, we have set up a number of subsidiaries as we have grown NN, NN Investment Partners, NationaleNederlanden, OHRA, ABN AMRO Insurance, BeFrank, Zicht, AZL and Movir, , , , We offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days We are also working towards implementing Choose your own Device You will receive your holiday allowance and yearend bonus with your salary every month, without restriction and readily available to you As a Pricing and Valuation Specialist, you will work from our beautiful office located in The Hague, which offers an easy connection via the A12, , Due to the coronavirus, most of the NN colleagues work from home At the moment it is unclear when we can return to the office The official location for this position is The Hague, , , , You are an expert in financial modeling and proficient in coding VBA, C  and R You have had years of experience in the field, but you arenot afraid to admit theres much more to learn You work easily as part of a team and adapt your communications approach to work with all levels, from offshore operations to senior management You feel at home in an entrepreneurial and performanceoriented culture that enables you to further develop your talents and ideas, , , , Can you find the balance between good valuation concepts and their implementation, , Then we would like to meet you Upload your resume via the apply button Do you have any questions about the job Then please call Rik Joosten Head of Market Data Management via 31 703791306 Questions about the application proces Please contact Mina Bahaj via 3106 15066245",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315607241?url=https%3A%2F%2Fnn-careers%2Ecom%2Fnl%2Fnl%2Fjob%2F21145%2FPricing-Valuation-Specialist%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=gfd0&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/pricing-valuation-specialist-at-nationale-nederlanden-2315607241?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=7&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,108,career development specialist,LinkedIn,2304786445,Customer Experience Specialist - German,5TLK9nJ0TDyL5mIWltsSFQ==,Catawiki,"Amsterdam, North Holland, Netherlands",['Internet'],Administrative,"Customer Experience Specialist  German , Catawikis goal is to make special objects universally available Our weekly auctions feature thousands of unusual, rare, and exceptional objects that you wont find in just any store",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304786445?url=https%3A%2F%2Fwww%2Ecatawiki%2Ecom%2Fjobs%2F2385934&urlHash=N03U&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-experience-specialist-german-at-catawiki-2304786445?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=8&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,110,career development specialist,LinkedIn,2314457159,Junior Recruitment Consultant (French Speaking),Gma8sV87Qjmu8ih7bCBAcw==,TeamPCN,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Staffing and Recruiting']",Human Resources,"Were actively looking for a French Speaking Recruitment Consultant to join our diverse team of recruitment consultants based on the Keizersgracht in Central Amsterdam Youll be working under the guidance  mentorship of some of our leading senior consultants, allowing you to quickly develop your headhunting and business development skills to grow and expand our presence in the French Market, , This role will suit someone who is commercially minded and looking for an opportunity to develop  progress their career as a 360degree recruiter, , What does this mean Basically, youll be on a steep learning curve giving you exposure to the ins and outs of recruitment including, but definitely not limited to, sourcing  headhunting, talent acquisition, sales  business development, negotiation, client acquisition, and key account manager amongst others, , PCN is one of Europes leading specialist recruitment consultancies We have been partnering with organizations across the Fintech  Payments space for the past 10 years and helping them strategically grow their businesses, through headhunting and sourcing the best candidates for their needs, , , , As a 360recruitment consultant, you will be under the guidance of your manager who will provide coaching, guidance, and support along with helping to set measurable KPIs and targets for success You will be responsible for expanding the PCN presence  client base in the Netherlands, starting with building quality candidates pools both local  international, followed by identifying key  target clients in the French Market, , Through these 4 Functions you will ensure optimal  highquality candidates for your clients, , , , , A lot of companies use buzzwords to describe themselves at Payments and Cards Network these words actually mean something, , We are revolutionising recruitment by leveraging technology  working in the fastpaced and rapidly developing FinTech Industry Youll need to be proactive  able to use your smarts to understand the industry, its people  your clients, , Our offices and clients span across Europe, America  Asia and we have a diverse team to match Whilst you  your team speak fluent French, you will also be working alongside a hugely international team of 8 different nationalities in the Amsterdam office alone, , A lot of youre time will be spent on the phone  out meeting clientscandidates one of the perks of working in a local market Youre fueled by this type of work, can handle the setbacks  rejections whilst continuing to inspire others around you  dont worry we have unlimited coffee, , We celebrate success no matter what the size, highlight progress and help each other through the tough times Our team has an intrinsic motivation to succeed by learning from those around them Were looking for people want to work in this challenging, demanding  highly rewarding environment, , This position is ideal for someone who is looking for the next step in their career and for an opportunity to take full control of a market and drive its growth  expansion This position is not for the fainthearted, you will be the first person in the company solely dedicated to this market which means there is quite a job to do, but also has the potential to grow into something much larger  its up to you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314457159?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-1525054881927465579%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=swKN&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-recruitment-consultant-french-speaking-at-teampcn-2314457159?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=10&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,111,career development specialist,LinkedIn,2273920148,Plant Manager,0W6igw+MTpGX6jSmV3OVnw==,Hazera Seeds,"Made, North Brabant, Netherlands","['Research', 'Food Production', 'Consumer Goods']",Management,"Job description As Plant Manager you will manage and lead the seed processing activities in our factory in Made, connecting with main internal and external stakeholders to drive success on safety, efficiency and quality You will be responsible over the Plant Safety, Quality, Manufactory and Efficiency Programs and work closely together with colleagues who are responsible for the other processing activities across Hazera and Limagrain Group To further improve our processing practices you will analyze and evaluate the current practices and develop improvement projects As Plant Manager you lead the processing team regarding logistics, cleaning and treat and packaging activities In this role you are responsible for the operational budget and investment plan for the seed factory in Made, , Job requirements To be successful in the position of Plant Manager you need to be numbers driven, system oriented and a critical thinker, and possess strong leadership skills and communication skills Next to this we are looking for the following",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273920148?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fplant-manager%3A44093549%2F&urlHash=foj3&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/plant-manager-at-hazera-seeds-2273920148?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=11&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,112,career development specialist,LinkedIn,2324338750,Senior Fill/Finish Process Development Specialis - Leiden,mDLZVQ5FRxmHJNo7N5C1bg==,CLSServicesBV,"Leiden, South Holland, Netherlands","['Research', 'Biotechnology', 'Pharmaceuticals']",Information Technology,"CLS Services is a leading professional recruitment agency, specialised in the recruitment and career coaching of people with a background in chemistry  life sciences For our client, Janssen Vaccines  Prevention Leiden, Nederland, we are searching for a Senior FillFinish Process Development Specialis  The Fill Finish Process Development Specialist is one of the key contributors in the process development activities from technology transfer to the manufacturing site until manufacturing of process verificationvalidation batches to be intro, Voor de volledige vacature klik op de sollicitatiebutton Je wordt doorgestuurd naar een externe website",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324338750?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D08f97c1631d3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd8gada7dd77dd9caddaddfgddaadddfddf3aeccdcdfec3ddcg3e&urlHash=f7re&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-fill-finish-process-development-specialis-leiden-at-clsservicesb-v-2324338750?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=12&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,113,career development specialist,LinkedIn,2296687506,Recruitment Consultant (Dutch Speaking),Sp8olMFaR8Gr1p56BQvbqA==,PCN,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Staffing and Recruiting', 'Financial Services']",Human Resources,"Were looking for a Dutchspeaking Recruitment Consultant to join PCN to work on the Benelux market in Amsterdam, , This role will suit someone who is commercially minded and looking for an opportunity to develop  progress their career in business development and recruitment, , Basically, youll be on a steep learning curve giving you exposure to the ins and outs of recruitment including, but definitely not limited to, sourcing  headhunting, talent acquisition, sales  business development, negotiation, client acquisition, and key account manager amongst others, , PCN is Europes leading specialist recruitment consultancies in the FinTech space We have been partnering with organizations across the Fintech  Payments space for the past 10 years and helping them strategically grow their businesses, through headhunting and sourcing the best candidates for their needs, , Working at PCN, every day will be different you will be offered an extensive training and onboarding programme, opportunities to attend major events across Europe maybe not right now, incentive trips to beautiful locations, and the support of some of the finest payments and digital technology recruitment professionals this side of Europe, , , , As a 360recruitment consultant, you will be under the guidance of your manager who will provide coaching, guidance, and support along with helping to set measurable KPIs and targets for success You will be responsible for expanding the PCN presence  client base in the Benelux region, starting with building quality candidates pools both local  international, followed by identifying key  target clients in the Benelux Market, , , , , , , , , , , If you speak fluent Dutch and already have 2 years experience in sales or recruitment we would love to hear from you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2296687506?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F240356152711473494%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DDirect&urlHash=eSr5&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/recruitment-consultant-dutch-speaking-at-pcn-2296687506?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=13&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,114,career development specialist,LinkedIn,2321454423,Senior Fill/Finish Process Development Specialis,T3tKaCUdRou9PPGOw3+haQ==,CLSServicesBV,"Leiden, South Holland, Netherlands",['Nanotechnology'],Information Technology,"CLS Services is a leading professional recruitment agency, specialised in the recruitment and career coaching of people with a background in chemistry  life sciences For our client, Janssen Vaccines  Prevention Leiden, Nederland, we are searching for a Senior FillFinish Process Development Specialis  The Fill Finish Process Development Specialist is one of the key contributors in the process development activities from technology transfer to the manufacturing site until manufacturing of process verificationvalidation batches to be intro, Voor de volledige vacature klik op de sollicitatiebutton Je wordt doorgestuurd naar een externe website",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321454423?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F06882e00-f91a-446e-9c69-1067cd2c6f47%3Fjid%3Db133835ffb3b2a9ae3f471ac050f1b825988aa5484ada4929f02adc27134568a%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=8k2M&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-fill-finish-process-development-specialis-at-clsservicesb-v-2321454423?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=14&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,120,career development specialist,LinkedIn,2320615209,Senior Data Governance Specialist,jTuCHmgaSjuSWD5MWoxScA==,Eonics Consultancy,"Den Haag, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']",Information Technology,"Job Description, , Data Governance Specialist, NN Group is currently launching a Data Governance office to support a large multiyear Data Governance initiative across Group Finance, Risk and Investment Office This initiative will solve major business data problems with Data Governance, Data Management and Data Architecture Solutions Would you like to set up this data governance green field within a professional organisation with impact, , Your impact as a Data Governance Specialist at NN, , The solution to good Data Governance is multifaceted and equal parts people, process and technology As Data Governance Specialist you create transparency of data issues and clear, practical resolutions to our business stakeholders How to administrate and publish metadata, who should have access it and how to safeguard the data quality are typically questions in your day to day work as you are responsible for the administration of functional and technical metadata including data lineage All with the goal in mind to increase the data quality of NN Group as a whole, , With the launch of our Data Governance office, you get to help set up this data governance green field with all the facilities and complexity of a professional, corporate organisation You will help with the roadmap and vision on data governance as well as working with new tools and built data governance from the ground up, , Realistic results, , Using your own initiative and ambition, you achieve excellent results, , , We also care about you, , , , Just as you as our Data Governance Specialist indirectly care for our customers, we also take care of you With great development opportunities and a pleasant working environment, you will have good reason to find going to work every day a pleasure, , , Whatever we do, we do together in an environment full of freedom where your personality, talents and ideas count For example, collaborating with another team is quite the norm and regularly leads to better outcomes We have no thresholds within NN everyone is readily accessible and willing to help each other, , Our purpose, , Thanks to your efforts, we make our financial services relevant and more personal, , Whatever your supporting role within the business, you offer your honest opinion and enthusiastic approach to all you do Your customeroriented attitude helps to encourage your colleagues Together with NN, you help the whole world through various CSR projects Active in 18 countries with over 17 million customers, you understand our work must be faultless We must continuously innovate and invest in an agile business model Thanks to your professionalism we earn the trust of our customers within all our subsidiaries, and there are quite a few NN, NN Investment Partners, NationaleNederlanden, OHRA, ABN AMRO Insurance, BeFrank, Zicht, AZL and Movir, , Clear conditions, , We offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days We are also working towards implementing Choose your own Device You will receive your holiday allowance and yearend bonus with your salary every month, without restriction and readily available to you, , Due to the coronavirus, most of the NN colleagues work from home At the moment it is unclear when we can return to the office The official location for this position is The Hague An annual salary of 60k to 80k, , Critical skills of a Data Governance Specialist, , You have a high learning agility, meaning you can easily adapt and absorb new information in a changing environment Customer service is central to everything you do, whether it is toward your colleagues from your colleagues or General Management Thanks to your highly developed communication and social skills, you accomplish this with ease You draw the best out of yourself as well as those around you If you can help someone, you do not think twice about it, , You seek continually for opportunities to improve the quality of our data and translate this to innovative and practical solutions You have a vision and in your advice to our stakeholders you are able to explain the importance of Data Governance and in particular metadata management Your are willing to strengthen your vision by following trends and developments on Data Governance and are familiar with DAMADMBOK and MDMproducts and processes, , Commit to NN, , Are you seeking a dynamic position in an organisation where you are constantly challenging yourself Then we would like to meet you Upload your resume via the apply button, , Do you have any questions about the job Then please call Ilco van Spijker via click apply Questions about the application proces Please contact Recruiter Jordi Spijker, via 31 06 215 875 92, , , undefined, , , undefined",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320615209?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4917400990126761265%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=C0fq&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-data-governance-specialist-at-eonics-consultancy-2320615209?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=20&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,124,career development specialist,LinkedIn,2321462894,Senior Data Governance Specialist,L71CWMVnT6eUZ1xYWdHMfg==,Eonics Consultancy,"Almelo, Overijssel, Netherlands",['Public Relations and Communications'],Information Technology,"Job Description, , Data Governance Specialist, NN Group is currently launching a Data Governance office to support a large multiyear Data Governance initiative across Group Finance, Risk and Investment Office This initiative will solve major business data problems with Data Governance, Data Management and Data Architecture Solutions Would you like to set up this data governance green field within a professional organisation with impact, , Your impact as a Data Governance Specialist at NN, The solution to good Data Governance is multifaceted and equal parts people, process and technology As Data Governance Specialist you create transparency of data issues and clear, practical resolutions to our business stakeholders How to administrate and publish metadata, who should have access it and how to safeguard the data quality are typically questions in your day to day work as you are responsible for the administration of functional and technical metadata including data lineage All with the goal in mind to increase the data quality of NN Group as a whole, , With the launch of our Data Governance office, you get to help set up this data governance green field with all the facilities and complexity of a professional, corporate organisation You will help with the roadmap and vision on data governance as well as working with new tools and built data governance from the ground up, , Using your own initiative and ambition, you achieve excellent results, , , We also care about you, , , , Just as you as our Data Governance Specialist indirectly care for our customers, we also take care of you With great development opportunities and a pleasant working environment, you will have good reason to find going to work every day a pleasure, , , Whatever we do, we do together in an environment full of freedom where your personality, talents and ideas count For example, collaborating with another team is quite the norm and regularly leads to better outcomes We have no thresholds within NN everyone is readily accessible and willing to help each other, , Our purpose, , Thanks to your efforts, we make our financial services relevant and more personal, , Whatever your supporting role within the business, you offer your honest opinion and enthusiastic approach to all you do Your customeroriented attitude helps to encourage your colleagues Together with NN, you help the whole world through various CSR projects Active in 18 countries with over 17 million customers, you understand our work must be faultless We must continuously innovate and invest in an agile business model Thanks to your professionalism we earn the trust of our customers within all our subsidiaries, and there are quite a few NN, NN Investment Partners, NationaleNederlanden, OHRA, ABN AMRO Insurance, BeFrank, Zicht, AZL and Movir, , Clear conditions, , We offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days We are also working towards implementing Choose your own Device You will receive your holiday allowance and yearend bonus with your salary every month, without restriction and readily available to you, , Due to the coronavirus, most of the NN colleagues work from home At the moment it is unclear when we can return to the office The official location for this position is The Hague An annual salary of 60k to 80k, , Critical skills of a Data Governance Specialist, You have a high learning agility, meaning you can easily adapt and absorb new information in a changing environment Customer service is central to everything you do, whether it is toward your colleagues from your colleagues or General Management Thanks to your highly developed communication and social skills, you accomplish this with ease You draw the best out of yourself as well as those around you If you can help someone, you do not think twice about it, , You seek continually for opportunities to improve the quality of our data and translate this to innovative and practical solutions You have a vision and in your advice to our stakeholders you are able to explain the importance of Data Governance and in particular metadata management Your are willing to strengthen your vision by following trends and developments on Data Governance and are familiar with DAMADMBOK and MDMproducts and processes, , Commit to NN, , Are you seeking a dynamic position in an organisation where you are constantly challenging yourself Then we would like to meet you Upload your resume via the apply button, , Do you have any questions about the job Then please call Ilco van Spijker via 31 0 Questions about the application proces Please contact Recruiter Jordi Spijker, via 31 0, , Eisen, , , Wensen, , undefined",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321462894?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F9cd63214-20a4-4a51-b24c-fbde007f2be9%3Fjid%3Db05760c25abba194a211e447f790f329bc70b9064329228f2df658ed2c1640fe%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=5Lmk&refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-data-governance-specialist-at-eonics-consultancy-2321462894?refId=e9dfdb7f-5ae3-476d-b12b-6e9fa9bd3a2c&position=24&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-14,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
