,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,communication,LinkedIn,2320584078,Editorial assistant,97uv991RS3ylCyb/FaPOfg==,Leiden University,"Leiden, South Holland, Netherlands","['Education Management', 'Higher Education', 'Research']",Marketing,"From 1 March 2021, the International Institute for Asian Studies IIAS is looking for an, , Editorial assistant, , , , The editorial assistant will support the editor of the IIAS Newsletter and assist the editor of the IIAS review website newbooksasia The Newsletter is published three times per year and contains some 56 pages with articles on recent global developments in the field of Asian Studies The global readership of the Newsletter, both the hardcopy and the online version, is around 50,000 The review website, newbooksasia, collects new titles in the field of Asian Studies and organises their review The reviews are published online and some are included in the Review section of the Newsletter The editorial assistant will, , , , , The International Institute for Asian Studies IIAS is a national and global research organisation and knowledge exchange platform, based in Leiden, The Netherlands The Institute initiates and promotes interdisciplinary and transsectoral programmes that engage partners in  and with  Asia, in the world The Institute seeks to promote a contextualised understanding of Asian realities and to pioneer new approaches to the studies of Asia and the Asian factor in a changing global environment It does so through an array of activities in the realms of research, education, publications, dissemination, network development, institutional support, and services to the community outside academia It seeks to contribute to a culturally and sociallyinformed policyrelevant knowledge oninwith Asia, , For more information about IIAS, please consult our website More details on the Newsletter can be found here, and for newbooksasia please visit the website, , , We offer a temporary position for twelve months, with the possibility of extension, dependent on work assessment and further developments Depending on experience, salary range from  2656, to  3548, gross per month scale 8 in accordance with the Collective Labour Agreement for Dutch Universities, , Leiden University offers an attractive benefits package with additional holiday 8 and endofyear bonuses 83  Our individual choices model gives you some freedom to assemble your own set of terms and conditions For more information, see the website, , , Leiden University is strongly committed to diversity within its community and especially welcomes applications from members of underrepresented groups, , , Enquiries can be sent to the Editor of the Newsletter, Sonja Zweegers, email sizweegersiiasnl, andor to the Reviews Editor, Wai Cheung, email wmcheungiiasnl, , , Please send your letter of motivation and CV to vacaturespenoservicesbbleidenunivnl, Make sure to include the vacancy number in the subject line, and send it ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320584078?url=https%3A%2F%2Fwww%2Euniversiteitleiden%2Enl%2Fvacatures%2F2020%2Fq4%2F20-516-editorial-assistant&urlHash=KaMF&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/editorial-assistant-at-universiteit-leiden-2320584078?refId=8e58863f-6147-4956-b670-1e780940e73b&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,communication,LinkedIn,2324384239,Copywriter,vHMVwvtzQ2OHABBhnKNasw==,Scotch  Soda,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Apparel & Fashion', 'Retail']",Marketing,"Scotch  Soda is seeking an experienced Copywriter within the fashion industry to concept and create messaging for both marketing and brand assets As guardian of the tone of voice, your words will bring our brand vision and values to life in clever and creative ways  consistently  across all channels to connect with consumer and B2B audiences, in local and international markets This role reports into the Head of Copy, and sits within the Creative Services team in the Marketing department, located at our beautiful, central office in Amsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324384239?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D75d173d35fee%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cddbcadcbddf8dd9bdddaadcgdddaddbfada3aebcacbfec3ddcg3e&urlHash=tNuf&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/copywriter-at-scotch-soda-2324384239?refId=8e58863f-6147-4956-b670-1e780940e73b&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,3,communication,LinkedIn,2301921680,Communications Lead,BrSN590jSAaa8lDixuCOBw==,HiiL  Userfriendly Justice,"The Hague, South Holland, Netherlands","['Research', 'Law Enforcement', 'Nonprofit Organization Management']",Marketing,"COMMUNICATIONS LEAD  Fulltime 32  40 hours per week, , By 2030, 150 million people are able to prevent or resolve their most pressing justice problems Do you want to join us on our mission",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301921680?url=https%3A%2F%2Frecruitment%2Eportal%2Ehiil%2Eorg%2Fvacancy-description%2Fcommunications-lead&urlHash=_eQ3&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/communications-lead-at-hiil-user-friendly-justice-2301921680?refId=8e58863f-6147-4956-b670-1e780940e73b&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,4,communication,LinkedIn,2285298238,Copywriter,wMM2vOxoTXeo/Lcd0A5Q4A==,Scotch  Soda,"Amsterdam, North Holland, Netherlands",['Apparel & Fashion'],Art/Creative,"Scotch  Soda is seeking an experienced Copywriter within the fashion industry to concept and create messaging for both marketing and brand assets As guardian of the tone of voice, your words will bring our brand vision and values to life in clever and creative ways  consistently  across all channels to connect with consumer and B2B audiences, in local and international markets This role reports into the Head of Copy, and sits within the Creative Services team in the Marketing department, located at our beautiful, central office in Amsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285298238?url=https%3A%2F%2Fcareers%2Escotch-soda%2Ecom%2Fvacancies%2Fcopywriter-amsterdam-3%2Fapply%2F&urlHash=HCg5&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/copywriter-at-scotch-soda-2285298238?refId=8e58863f-6147-4956-b670-1e780940e73b&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,5,communication,LinkedIn,2307855856,Creative Strategist,B2PcXCrlRjWE9RZ1lheFSw==,dentsu international,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],Art/Creative,"At dentsuACHTUNG we seek a talented and motivated strategist to join our team in Amsterdam, , About the job, Currently, we are looking for a creative strategist, who will",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307855856?url=https%3A%2F%2Fachtung%2Ehomerun%2Eco%2Fcreative-strategist%2Fen%2Fapply%3F%26step%3D1&urlHash=6mtk&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/creative-strategist-at-dentsu-international-2307855856?refId=8e58863f-6147-4956-b670-1e780940e73b&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,7,communication,LinkedIn,2282805682,Junior Content Marketeer,BctOKyN9Q1i48AHFVD9zPg==,Creative Clicks,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Online Media']",Marketing,"Are you a naturalborn or unnaturally skilled writer with a strong interest in tech, a great planner and coordinator, someone who can really take ownership and who loves a challenge Are you eager for an opportunity to be in charge of the content management of our entertainment portals which are launched in multiple regions across the world If so we have the perfect job opportunity for you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282805682?url=https%3A%2F%2Fcreativeclicks%2Erecruitee%2Ecom%2Fo%2Fjunior-content-marketeer&urlHash=uD8l&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-content-marketeer-at-creative-clicks-2282805682?refId=8e58863f-6147-4956-b670-1e780940e73b&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,9,communication,LinkedIn,2308380137,Assistant Manager Content Publishing,eeP2alFoSF6K+zPNqI23aA==,adidas,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Retail', 'Sporting Goods']",Advertising,"General Purpose, , As an Assistant Content Publishing at adidas you are contributing to specific publishing services within Digital For this purpose you will support the publication of text, video, image and audio elements to the adidas websites and applications, ensuring that adidas quality standards are met You will collaborate with stakeholders within your scope of responsibility, ensuring timely publication of campaigns, projects or consumer engagement programs to digital platforms Additionally, you will monitor the processes within your area of responsibility, identify opportunities for improvement and design respective solutions, , , , Scope Contribute to specific publishing services and deliverables within Digital, , Content Management  Publishing, , Continuous Optimization, , Collaboration, , , , , Education  Professional Experience, , SoftSkills, , HardSkills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308380137?url=https%3A%2F%2Fjobs%2Eadidas-group%2Ecom%2Fadidas%2Fjob%2FAssistant-Manager-Content-Publishing%2F633719501%2F%3FfeedId%3D301201%26utm_source%3Dj2w&urlHash=QXs2&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/assistant-manager-content-publishing-at-adidas-2308380137?refId=8e58863f-6147-4956-b670-1e780940e73b&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,10,communication,LinkedIn,2323293658,Communications Officer,W/xysdmYQEa1443sXn4OYw==,RIPE NCC,"Amsterdam, North Holland, Netherlands",['Internet'],Marketing,"Were looking for a gifted writer and expert communicator Our ideal candidate will be someone who can get to the bottom of complex issues quickly and work across the company to develop clear messaging and innovative communications approaches that fit into a wider strategy Much of this work is detailorientated, highly political, and very technical in nature This makes for an incredibly meaningful and rewarding role, as you will be driving projects that really make a difference and support the technical core of the Internet, with a team of funloving and highly performing communications professionals to back you up ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323293658?url=https%3A%2F%2Fwww%2Eripe%2Enet%2Fabout-us%2Fstaff%2Fcareers-at-the-ripe-ncc%2Fvacancy%2F172308&urlHash=Ik9P&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/communications-officer-at-ripe-ncc-2323293658?refId=8e58863f-6147-4956-b670-1e780940e73b&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,11,communication,LinkedIn,2315377195,"Content & Communications Manager, Europe",hyfhstibQdG3yxD9fDZngg==,Soho House  Co,"Amsterdam, North Holland, Netherlands","['Internet', 'Leisure, Travel & Tourism', 'Hospitality']",Marketing,"Who We Are, , We are a collection of members clubs, restaurants, hotels and cinemas, catering to those in the film, media, fashion and creative industries The company has unique ventures throughout the UK, USA, Canada, Europe and Asia, with new openings planned globally, , Soho House is a space for its diverse membership and teams to connect, grow, have fun and make an impact, , , , Soho House was created to bring diverse communities of people together, and we take the same approach when building our teams We thrive on differences and believe it is critical to our success as a global company Soho House is proud to be an equal opportunity workplace that seeks to recruit, develop and retain the most talented people from a variety of backgrounds, perspectives, and skills We therefore encourage applications from all genders, races, religions, ages and sexual orientations, as well as parents, veterans, people living with disabilities, and any other groups that could bring diverse perspectives to our business, , , , Reporting into the Director of Membership  Communications, Europe, the Content and Communications Manager is responsible for helping to drive and execute the communications and content for Soho House sites across the European region, , They will add value, and drive engagement and retention from the membership base in Europe, as well as support communication initiatives at both the local and regional level, , This role is fulltime and will be based in Amsterdam, , , , , , , , , , Soho House offers competitive compensation packages that feature global benefits and perks Whether youre seeking entrylevel employment or a new opportunity to expand your profession, we offer training to develop the technical and managerial skills necessary to grow your career",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315377195?url=https%3A%2F%2Fapply%2Eworkable%2Ecom%2Fj%2F1C5C74FA4A&urlHash=23TV&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/content-communications-manager-europe-at-soho-house-co-2315377195?refId=8e58863f-6147-4956-b670-1e780940e73b&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,12,communication,LinkedIn,2325413864,Digital Marketer,DWSRhoFzROCQCzWYxDussA==,INTK,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Internet', 'Entertainment']",Marketing,"DIGITAL MARKETEER, , Promote movies, concerts and exhibitions with digital marketing, , INTK is a young and ambitious studio based in Utrecht, specialized in developing digital strategies for cultural organizations, , Our mission is to change how people relate to culture Forty years ago, very few people sported regularly Today, many people dedicate several hours a week to sports Inspired by the changes in the sports sector, we would like to bring a similar shift in the culture sector Our goal is to encourage people that love culture to engage in cultural activities weekly For example, we want to help people that love cinema to go to the movies every week, , We work with several museums, theaters, cinemas, castles, libraries, festivals, etc Some of the cultural organizations we work with include, NEMO Science Museum, Stadsschouwburg Utrecht, Film Theater Hilversum, Loevestein Castle, Library Utrecht, Le Guess Who festival, etc, , We are looking for a digital marketing aficionado interested in promoting culture In case you have limited experience with digital marketing, we offer the opportunity to learn while enjoying the benefits of a fulltime paid job, , , , We encourage you to obtain the following Google certificates, , You will learn some of the most advanced project management and communication tools, including, , Consider applying to the position Digital Marketing Expert in case you already have experience, , , , At INTK, you will be slowly responsible for all parts of the business It includes, , INTK is one of the leading marketing agencies in the cultural sector We are ambitious and looking forward to expanding with new ideas and markets Within a couple of years, your position can grow into more responsibility and completely new tasks, , , , , , , Are you interested Send your CV and cover letter to Rui Guerra at marketingintkcom, , The vacancy is available as long as this page exists Please avoid calling us In case you have questions, we prefer to receive them by email You can apply in Dutch or English",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325413864?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4df32424d580%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadccadabddd8ddebddcaddegddcaadcfddb3de8cdcgfec3ddcg3e&urlHash=dY_Q&refId=8e58863f-6147-4956-b670-1e780940e73b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-marketer-at-intk-2325413864?refId=8e58863f-6147-4956-b670-1e780940e73b&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-24,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
