,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,construction,LinkedIn,2321550718,Construction Manager,JRoTvIBON75P1Si1DTx3tQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Mining & Metals'],Management,"We are looking for a reliable Construction Manager to plan construction projects and oversee their progress along the way in a timely and costeffective manner, , You will be responsible for budgeting, organization, implementation and scheduling of the projects, , , , , Review the project indepth to schedule deliverables and estimate costs, , Coordinate and direct construction workers and subcontractors, , , Negotiate terms of agreements, draft contracts and obtain permits and licences, , , , , Competent in conflict and crisis management, , Understanding of all facets of the construction process, , , Ability to plan and see the big picture",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321550718?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F130189e1-262a-432d-acf8-6f2275fc2c27%3Fjid%3D36bd2e1e805e0c06a7734022694305c5255642a55fe2e6ee8a4d01d1ee9fc3c2%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Aqdo&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/construction-manager-at-talent-2321550718?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=JRoTvIBON75P1Si1DTx3tQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,construction,LinkedIn,2277212675,Construction Planner,WqwworOcjih7hlKwSUlg9A==,ENG Bauen,"Amsterdam, North Holland, Netherlands","['Pharmaceuticals', 'Biotechnology', 'Construction']",Management,"Senior Construction Planner  18 Month Contract  Netherlands,  Position for a Construction Planner to take up an influential client side assignment, where you will support the project management team in final stages of a major construction project in the Netherlands",Contract,,https://nl.linkedin.com/jobs/view/construction-planner-at-eng-bauen-2277212675?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=WqwworOcjih7hlKwSUlg9A%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,3,construction,LinkedIn,2325499012,Construction Project Manager,+dMEfJecu+QcP/1XGnFzVg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Project Management,"We are looking for an experienced Construction Project Manager to plan and supervise a wide range of construction projects from start to finishYou will organize and oversee construction procedures and ensure they are completed in a timely and efficient mannerThe ideal candidate will have an analytical mind and great organizational skillsThe goal will be to ensure all projects are delivered on time according to requirements and without exceeding budgetResponsibilitiesCollaborate with engineers, architects etc to determine the specifications of the projectObtain permits and licenses from appropriate authoritiesAcquire equipment and material and monitor stocks to timely handle inadequaciesDetermine needed resources from start to finish with attention to budgetary limitationsSupervise the work of laborers, mechanics etc and give them guidance when neededRequirementsIndepth understanding of construction procedures and material and project management principlesExcellent organizational and timemanagement skillsFamiliarity with quality and health and safety standardsProven experience as construction project managerFamiliarity with construction project management software",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325499012?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D9e19302d82cc%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cadbeddf8dd7bddd9ddgaddegadcadd8fdde3aedcacdfec3ddcg3e&urlHash=tCo5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/construction-project-manager-at-talent-2325499012?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=%2BdMEfJecu%2BQcP%2F1XGnFzVg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,4,construction,LinkedIn,2304665915,Project Manager,z0y2M0jyBDa+3ovHAiHDbw==,More Recruitment,"Amsterdam, North Holland, Netherlands","['Construction', 'Civil Engineering', 'Real Estate']",Project Management,"For one of our international operating clients, we are currently looking for a Project Manager Constructions The ideal candidate for this position has project management experience within construction or civil engineering Heshe likes to work internationally, is proactive and able to cope with multiple tasks and projects at the same time Prioritizing, structure and strong communicational skills re also key",Full-time,,https://nl.linkedin.com/jobs/view/project-manager-at-more-recruitment-2304665915?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=z0y2M0jyBDa%2B3ovHAiHDbw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,5,construction,LinkedIn,2325399748,Construction Manager - Amsterdam Metropolitan Area,OqILBLnNxslww5SRa69mYg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Management,"We are looking for a reliable Construction Manager to plan construction projects and oversee their progress along the way in a timely and costeffective manner, , You will be responsible for budgeting, organization, implementation and scheduling of the projects, , , , Oversee and direct construction projects from conception to completion, , Review the project indepth to schedule deliverables and estimate costs, , Coordinate and direct construction workers and subcontractors, , Analyse, manage and mitigate risks, , Negotiate terms of agreements, draft contracts and obtain permits and licences, , , , Proven working experience in construction management, , Competent in conflict and crisis management, , Understanding of all facets of the construction process, , Advanced knowledge of construction management processes, means and methods, , Ability to plan and see the big picture",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325399748?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D190c4b13eaad%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcdd78ddgfadd9ddcaadeaddfgdddaadbfadf3aefcaccfec3ddcg3e&urlHash=Ntl2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/construction-manager-amsterdam-metropolitan-area-at-talent-2325399748?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=OqILBLnNxslww5SRa69mYg%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,6,construction,LinkedIn,2243526283,Junior projectmanager,NqU/Yd5czdI97QClghJQcQ==,Arup,"Amsterdam, North Holland, Netherlands",['Civil Engineering'],Engineering,"A career at Arup offers you the chance to make a positive difference in the world Independently owned and independently minded, Arup is the creative force at the heart of many of the worlds most prominent projects in the built environment We offer a broad range of professional services that combine to make a real difference to our clients and the communities in which we work For more than 70 years, we have helped bring to life groundbreaking projects across the globe",Full-time,,https://nl.linkedin.com/jobs/view/junior-projectmanager-at-arup-2243526283?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=NqU%2FYd5czdI97QClghJQcQ%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,7,construction,LinkedIn,2316238959,Project Coordinator - Retail Operations & Store Development,dLdTMM46+0MhIlCiYq8wJw==,New Balance,"Amsterdam, North Holland, Netherlands",['Sporting Goods'],General Business,"Due to the current circumstances around Covid19 we only recruit from applicants already living in The Netherlands, if you are living abroad we kindly ask you not to apply at this time, , JOB MISSION",Full-time,,https://nl.linkedin.com/jobs/view/project-coordinator-retail-operations-store-development-at-new-balance-2316238959?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=dLdTMM46%2B0MhIlCiYq8wJw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,8,construction,LinkedIn,2325397898,Construction Expeditor - Amsterdam Metropolitan Area,qroP0+s6tkSha/xM74uY7Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Management,"We are looking for a skilled Construction expeditor to facilitate the smooth completion of construction projects, , You will ensure that every construction site or job has an adequate and timely flow of materials and equipment, , A construction expeditor must be a wellorganized individual able to multitask, , You should possess great communication skills and ability to solve problems, , Experience in project management will be very useful as knowledge of basic purchasing and technical principles, , The goal is to support the timely and costeffective completion of construction projects, , , , Coordinate the delivery of supplies according to priorities and specifications, , Resolve problems to speed up delivery of orders, , Maintain good relationships with suppliers and vendors, , Monitor inventory of supplies for different jobs or sites, , Place orders when needed aiming for timely delivery and competitive price, , , , Apt in problemsolving, , Excellent communication and negotiation skills, , Wellorganized with multitasking abilities, , Proficient in filing systems, , Proven experience as construction expeditor or relevant position",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325397898?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D186ddf48d9b0%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcdd88ddafadc9adcaadaaddcgdd8aadcfdd73aeecdcgfec3ddcg3e&urlHash=m-Le&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/construction-expeditor-amsterdam-metropolitan-area-at-talent-2325397898?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=qroP0%2Bs6tkSha%2FxM74uY7Q%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,9,construction,LinkedIn,2307863508,Facilities Officer,sr0bquxeuDrRiElQipk4PA==,European Medicines Agency,"Amsterdam, North Holland, Netherlands",['Government Administration'],Other,"About this role, , At the European Medicines Agency EMA, we are looking for a Facilities Officer to join our Facilities Support service As a Facilities Officer, you will deliver technical expertise on space management, interior design, fitouts, floors plans upkeep CAD, furniture, maintenance, operational asset management, internal removals, onboarding and related operational contract management Also you will provide support in the day to day tenantlandlord interactions in relation to building maintenance",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307863508?url=https%3A%2F%2Fcareers%2Eema%2Eeuropa%2Eeu%2Fjob%2FAmsterdam-Facilities-Officer%2F632698101%2F&urlHash=dEPz&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/facilities-officer-at-european-medicines-agency-2307863508?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=sr0bquxeuDrRiElQipk4PA%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,10,construction,LinkedIn,2318256967,Project Coordinator - Retail Operations & Store Development,HWblllsxIEJx+ZDXWZhfMA==,New Balance,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Wholesale', 'Retail']",Other,"Support the Retail Operations Manager EMEA including all operating routines and procedures and in the coordination and administration of opening new, refurbishing, or closing existing stores and adhoc retail projects throughout the EMEA region",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318256967?url=https%3A%2F%2Fjobs%2Enewbalance%2Ecom%2Fglobal%2Fen%2Fjob%2FNEBAGLOBAL14974externalen-GLOBAL%2FProject-Coordinator-Retail-Operations-Store-Development%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=g4GZ&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/project-coordinator-retail-operations-store-development-at-new-balance-2318256967?refId=5b8f7f1d-a441-40a9-a108-ab96270ee655&trackingId=HWblllsxIEJx%2BZDXWZhfMA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
