,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,culture,LinkedIn,2283351158,Culture & Communications Program Manager,VY+FMnJqSny8oal/lN1SsQ==,Prologis,"Amsterdam, North Holland, Netherlands","['Civil Engineering', 'Commercial Real Estate', 'Construction']",Art/Creative,"Culture  Communication in the company  Are we really efficient  impactful, , Is this the question you have been thinking throughout your career and managed to create some changes in your company This must be for you, , As an adventurous selfstarter, who can jump in with both feet, manage multiple projects, and drive employee programs to cultivate and advance our culture you aim to make Prologis a great place to work, , Communication for you means forwardthinking, both strategic and tactical, and a great roll up your sleeves attitude, , You cannot wait to put your outofthe box thinkinghat on and create a variety of People  Culture programs, , You love big storytellingefforts  obviously  as you enjoy developing compelling campaigns and content to support global initiatives, , Lets be honest, you would not be in this field without being curious and thrive when focusing on complicated and sensitive communication affecting the whole company",Full-time,https://www.linkedin.com/jobs/view/externalApply/2283351158?url=https%3A%2F%2Fwww%2Eaplitrak%2Ecom%2F%3Fadid%3DbG1vdXJvbnZhbHBldWxlci4wNjYzOC4xNTUwQHByb2xvZ2lzLmFwbGl0cmFrLmNvbQ&urlHash=MiyA&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/culture-communications-program-manager-at-prologis-2283351158?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,culture,LinkedIn,2306134995,People & Culture Coordinator,rRSa5xKwQdGX4886f0mCOA==,Startupbootcamp  Innoleaps  The Talent Institute,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Staffing and Recruiting']",Other,"Your mission being on top of all people  culture operations and keeping our employees happy, , , , , , Innoleaps helps global corporations develop, launch and scale new ventures in an entrepreneurial way to accommodate the fastchanging needs of our customers Our mission is to empower global corporations to innovate and grow, , Since 2013 we have launched and scaled more than 200 digital ventures across Europe, USA, Asia Pacific and Africa, , In addition to our cool headquarters in Amsterdam, we have offices in Italy, USA, Australia, South Africa, , Together with Startupbootcamp and The Talent Institute we form the We Empower Innovators WEI ecosystem, , , , As People  Culture officer you are the first point of contact for all People related topics, , , , , In this role you report to the Head of People  Culture and work closely with the Innoleaps Leadership Team and of course our great growth hackers, lead coaches, designers and customer services managers, , , , , , , The ideal candidate for this role is looking to take the next step in their People formerly known as HR career and brings, , , , Are you looking for an environment to develop yourself further, contribute to the growth of an exciting organization while having fun Then come join us, , We look forward to receiving your application resume and motivation letter at xandrainnoleapscom, , We embrace diversity and strongly encourage you to apply no matter which national origin, gender, ethnicity, sexual orientation or identity, race, age or disability you may have",Contract,https://www.linkedin.com/jobs/view/externalApply/2306134995?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D86b4e177dc13%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cddacadebddc8adbbddfadd9gdd9aadcfadd3defcdcdfec3ddcg3e&urlHash=83hc&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/people-culture-coordinator-at-startupbootcamp-innoleaps-the-talent-institute-2306134995?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,3,culture,LinkedIn,2323327083,People Administrative Support,975vASkeRf6JBotU7pCZLg==,Picnic Technologies,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Retail']",Administrative,"Do you want to be part of the supermarket revolution Picnic offers you the opportunity to work in an innovative startup culture where everything you do matters With a datadriven approach and an incredible service, Picnic strives to make grocery shopping simple, fun, and affordable for everyone Known for our justintime supplychain and a unique lastmile delivery strategy, we have become one of the fastestgrowing companies in Europe, , You are an organizational talent, a master at keeping a clear overview and you get excited about helping coworkers In the role of People Administrative Support, you are a first point of contact for all People Operations related topics and employees within our Amsterdam office You are a true team player constantly working with the rest of the People Operations team and other colleagues within the whole of Picnic, , You would join the People Operations team, working from the headquarters in Amsterdam Here you can enjoy a delicious lunch every day and fun Friday drinks  as soon as a COVID19 vaccine has been found  every week, , , , Picnic offers unique opportunities we give you incredible responsibilities in a flat organization We work in small, professional teams, and are focused on innovation, , Furthermore, we are super curious, extremely competitive, and value transparency We work hard, play hard, operate as one team and leave our egos at the door We care about people, growth, excellence and results Bottom line, we are looking for people who make the impossible happen every day, , Keywords administratief medewerker, human resources, administratie, personeel  organisatie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323327083?url=https%3A%2F%2Fjoin%2Epicnic%2Eapp%2Fjobs%2F2448369%3Fgh_jid%3D2448369&urlHash=O4p8&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/people-administrative-support-at-picnic-technologies-2323327083?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,4,culture,LinkedIn,2273402694,Open Application,6rcACbjlTpSay8DnptHgOQ==,Fairphone,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']",Information Technology,"Open Application, , , Hi there,, , We receive a huge amount of open applications and therefore unfortunately we dont have the capacity to review and follow up directly with everyone This is why we will review our open application pool as needed, and if your knowledge and experiences are a fit with us at that moment we will get in touch with you, , Thank you in advance for your understanding, , , , Fairphone is a social enterprise driving change in the electronics industry from the inside out Its business model is based on social values and securing continuity and centers around producing and marketing smartphones in a way that puts social and environmental values first, , If you think your skills and passions are a match for what we do, please complete this open application form and tell us more about yourself, , AMSTERDAM, , , , , , , , , , , , , , , , , , , , , , , , , , , , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273402694?url=https%3A%2F%2Ffairphone%2Ehomerun%2Eco%2Fopen-application%2Fen&urlHash=yLnZ&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/open-application-at-fairphone-2273402694?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,5,culture,LinkedIn,2307295967,Digital Production Coordinator,Kw8RDrqMQvOdeZDxLLtj3A==,adidas,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Retail', 'Sporting Goods']",Advertising,"General Purpose, , As a Digital Production Coordinator at adidas you are responsible for driving the operational excellence of the Content Production team withing Studio A Your task is to drive standardization and continuous improvement of assigned processes in collaboration with Creative Producers and other business stakeholders like legal, procurement and finance Driving best practices, success criteria and contributing to a culture of operational excellence are just a few of the key activities that will be expected from this role Additionally, you will be the key interface for local business partners affected by the processes within your area of responsibility, , , , Scope Manage the relationship between Studio A and production vendors, , Process Definition  Documentation, , Continuous Improvement, , , , , , , , , , , Best Practices, , , , , , , Education  Experience, , , , , SoftSkills, , , , HardSkills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307295967?url=https%3A%2F%2Fjobs%2Eadidas-group%2Ecom%2Fadidas%2Fjob%2FDigital-Production-Coordinator%2F633722501%2F%3FfeedId%3D301201%26utm_source%3Dj2w&urlHash=4qOE&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-production-coordinator-at-adidas-2307295967?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,6,culture,LinkedIn,2324328818,Customer Engagement Specialist,10YsRPQ5SDC5dpY6deWcLA==,Rituals,"Amsterdam, North Holland, Netherlands","['Internet', 'Retail', 'Financial Services']",Customer Service,"Main Purpose, , Customer centricity is key to this role To achieve this, the main purpose is to enhance and evolve the customer journey of email, SMS, push messaging and direct mailing across 20 markets based on data and insights and maximize sessions and conversion by offering qualitative and relevant content via the preferred owned channels, , , , Within the eCommerce department, you are part of the Customer Engagement team and you are reporting to the Customer Engagement Manager, , As a Customer Engagement Specialist, you are the designated person to support and drive the Rituals brand in developing, executing, and optimizing the customer journey to strengthen the online presence of Rituals, creating more engagement with our customers, and delivering topnotch digital campaigns across 20 markets, , , , , , Raymond Cloosterman, CEO Rituals, , We are a global brand, established in Amsterdam, The Netherlands, in 2000 Our ambition is to grow sustainably and become  and remain  the number one global luxury brand in cosmetics Today, Rituals operates in more than 730 stores, across 29 countries throughout Europe, Asia, the Middle East and North and South America with the aim to open 1000 stores by 2020, , By joining Rituals, youll get to experience a strong culture and entrepreneurial spirit which empowers you to create your meaningful career We care about the wellbeing of our staff, as much as we value the wellbeing of the planet By passionately looking after both, we believe we can pave the way to a more sustainable world and take appropriate action to limit our footprint on Mother Earth Youll have a strong sense of purpose at Rituals Our mission is to make people feel good and touch as many lives as possible Independent of your role, you will create a positive impact on our daily business, , , , If its you were looking for, please dont hesitate and send in your application Well be in touch soon",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324328818?url=https%3A%2F%2Fcareers%2Erituals%2Ecom%2Fen-nl%2Fjobs%2Fcustomer-engagement-specialist-amsterdam-2%2F&urlHash=3OZj&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-engagement-specialist-at-rituals-2324328818?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,7,culture,LinkedIn,2251574116,Cultural Strategist,Do7dYIuLSkOLApWEfVXQxA==,OLIVER Agency,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],Marketing,"ROLE Cultural Strategist  FTC 7 months, LOCATION Amsterdam ,  ROLE MISSION, Working in partnership with our client, the Cultural Strategist will be with working with some of our clients leading luxury drinks brands to ensure their social strategy and content is driving their business goals",Full-time,https://www.linkedin.com/jobs/view/externalApply/2251574116?url=https%3A%2F%2Fgrnh%2Ese%2F8bb2b92d1us&urlHash=DuUx&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/cultural-strategist-at-oliver-agency-2251574116?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,8,culture,LinkedIn,2300359364,Talent & Development Lead,VKtYY3laSbecul43yXUJCQ==,HelloFresh,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Staffing and Recruiting']",information and communication,"Join our HelloFresh Family, , At HelloFresh we love food and our mission is to change the way people eat forever That change comes conveniently packaged in a box  a HelloFresh Box, filled with the best fresh ingredients, , With our meal boxes with easy to cook recipes and fresh ingredients, we are driving change in the quickly evolving food industry From developing our recipes to delivering the boxes  the customer is at the center of everything we do Our aim is to make every meal a moment to look forward to, for everyone at the table No surprise then that data is our friend and for us, learning never stops We make quick but informed decisions and as a fastgrowing company, we value flexibility and speed, , , , We are searching for a Talent  Development Lead with a passion for Recruitment and Learning  Development You will be executing the local talent strategy with a team of two specialists in the field of Talent Acquisition, Learning and Development, Onboarding, Diversity  Inclusion, Employer Branding and Candidate Experience, , , You will report to the Head of People and have ownership over the talent pipeline and recruitment strategy together with your team You should be comfortable in a fastgrowing environment and bring a track record of finding ways to improve efficiency and candidate experience Besides that you will have your own set of vacancies for which you guide hiring managers through the process of opening a requisition work with them to gather their requirements provide guidance on their job descriptions and interviews You use data to track time to fill, satisfaction scores etc Datadrivenness is part of our DNA and therefore, it is important that you will bring the use of data within Talent Acquisition to the next level, , , Learning never stops is one of our companys core competencies You will lead and design the full life cycle of blended learning programs including needs analysis, planning, designdevelopment, and training delivery You are key in the support and communication around culture of learning and fostering engagement of participants in our learning programs Through collection of data, survey and associatemanagement input, you measure and provide feedback on the effectiveness You evaluate and help implement new learning technologies and tools, as needed You have an indepth knowledge on MBTI, DISC and Situational Leadership and you have experience in coaching and delivering internal training on these topics, , , We are growing fast and our managers need more proactive support on HR topics As we have been recently certified as a Great Place to Work as the first meal kit provider, we have several projects in place that will support this, but also to improve us being even a greater place to work in the years to come A strong focus will be talent retention and engagement and we are keen to hear your ideas in these fields You are a great proactive contributor to develop the People team to the next level Projects that will support this are eg the roll out of a Job Framework, creating a training path and evaluation cycle, putting Diversity  Inclusion on the agenda and above all being a true HR advisor for our Management, , , , , , , , , , Well, after applying we take a look at your resume and cover letter If we see a match, we will invite you within 5 working days for a video call to get to know each other Are we still positive We will schedule a video interview with you to get to know you better and take a deepdive into the role If both sides would like to proceed we will schedule a chat with our Pauwel, our CEO as the last step in the interview process We will schedule the interviews one after the other quickly, in order to let you know as fast as possible if you can start at HelloFresh, , , , , , Nice, good choice Please click on the apply button below and fill out the mandatory fields Upload your resume and cover letter and thats it Applications sent by email will not be processed, , Before applying please make sure you are eligible to work in the Netherlands, unfortunately, we do not sponsor any work visa or permits for this position, , Wed like to recruit for our own vacancies with our own resources If we would like your help, we will reach out to you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300359364?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fhellofresh%2Fjobs%2F2459961%3Fgh_src%3D6sujtx1%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=Xo4u&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/talent-development-lead-at-hellofresh-2300359364?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
8,9,culture,LinkedIn,2323407426,Kids Activation Community Manager - Amsterdam,035T6pmLRWuSgbbX0V4F8Q==,Squla,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Computer Games']",Marketing,"Job Description, , We at Futurewhiz have a mission to empower children to grow through personalized education We focus on the growth of children in education with our beloved edutech platforms Squla, WRTS and Scoyo, , Squla is an online educational learning platform that helps kids in primary school to learn in a fun and attractive way Squla features thousands of interactive games, quizzes and activities linked to both the school curriculum and actualities At Squla we are working every day to make learning more fun and playful for children Since we are continuously growing our team and platform, we are now looking for a Kids Activation Community Manager to join our Content team in Amsterdam You will report directly to the Head of Content, , As the Kids Activation Community Manager, you will be responsible for kids activation on the Squla platform You will do this by creating fun and attractive concepts that empower and engage our players on the platform Your creative ideas of new features make sure that kids cannot get enough of learning with Squla You will also do a lot of experiments on the platform with content, awards, events etc to gain knowledge of what motivates the kids best, , , , , , In order to be successful as Kids Activation Marketeer, youll have preferably at least 5 years of experience in the gaming or entertainment industry with a focus on kids as a target group, , , , , , The Futurewhiz office is located in a beautifully renovated office on Weesperplein in the heart of Amsterdam We work hard, play hard and we have a lot of fun and foster an informal yet professional atmosphere Company events and activities are an important part of our culture even though we are currently working from home We love selfdevelopment, and that is why you will be given an annual learning budget Every employee is also provided a Macbook and Squla account for life, , The Futurewhiz crew is a dynamic team that is enthusiastic about creating a fun, new way of learning in this everevolving digital age We believe that a positive work environment not only encourages great teamwork, but is key to motivating our team to produce high quality products We provide our team members with the resources they need to make sure they can do their jobs properly and get the results we aim for Although our team is diverse and everyone brings their own interests and uniqueness to the table, every single person is excited about the great work Futurewhiz is doing After all, you are working on a product that is used by hundreds of thousands of children at home and at school",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323407426?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2aa6e9a341ed%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecadfcadfbdda8adbbdd7aadfgdddaddcfddf3aebcaccfec3ddcg3e&urlHash=LTit&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/kids-activation-community-manager-amsterdam-at-squla-2323407426?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,10,culture,LinkedIn,2321249275,"Assistant Program Officer, Crisis Analytics - Edinburgh or The Hague",n0MpGZQUSSmcfLpQfRj61w==,Mercy Corps,"The Hague, South Holland, Netherlands","['Information Technology and Services', 'Nonprofit Organization Management', 'Financial Services']",Other,"Location Edinburgh or The Hague, Position Status Fulltime, 6 months Fixed Term, Salary 21,000 for Edinburgh, 30,000 for The Hague, Closing date 6 December 2020, Candidates must have the right to work in the location that they are applying for, Applications will be considered with CV and cover letter, , , , Mercy Corps is powered by the belief that a better world is possible To do this, we know our teams do their best work when they are diverse and every team member feels that they belong We welcome diverse backgrounds, perspectives, and skills so that we can be stronger and have long term impact, , Mercy Corps Crisis Analytics teams aggregate and analyze data to improve decision making and access in complex crises The teams support our programming in Syria, Libya, Democratic Republic of Congo and other locations The teams directly contribute to datadriven decision making by layering information from primary sources, open sources and responders programmatic data, where it is analysed by subject matter experts and data scientists This analysis is grounded in Mercy Corps status as an operational NGO, keeping our products constructive and relevant, , The global Crisis Analytics team provides leadership and support to the countrylevel teams, , The Assistant Program Officer APO provides administrative support to the Senior Director and Senior Advisor for Crisis Analytics to support the growth and implementation of highquality and impactful Crisis Analytics programming This support also extends to the Crisis Analysis teams themselves, supporting their compliance with Mercy Corps policies and procedures The APO will play a key role in maintaining and improving analytical standards within the teams, and improving the effectiveness of their products, , , , , , , , , , , , , , , , , , Mercy Corps team members are expected to support all efforts toward accountability, specifically to our program participants, community partners, other stakeholders, and to international standards guiding international relief and development work We are committed to actively engaging communities as equal partners in the design, monitoring and evaluation of our field projects, , None, , Senior Advisor, Crisis Analytics, , Humanitarian Leadership and Response team, Crisis Analytics Team Leaders, HQ Program units and other departments, including Resource Development, Finance, People, Legal, Policy and Advocacy MC donors and partners, , , The Assistant Program Officer must be a detailoriented multitasker who is able to communicate clearly and work under pressure The APO must demonstrate patience, flexibility, and taking initiative to solve problems Vital skills include communication both written and verbal, as well as building and maintaining effective internal and external relationships The APO must demonstrate the ability to understand and follow agency procedures, meet deadlines, and work both independently and as part of a complex distancedbased, multicultural team An exposure to and interest in international development issues is important, and an understanding of the complex challenges faced by program teams operating in overseas environments is critical, , The position is based in either Edinburgh or The Hague It requires up to 20 travel to crisisaffected areas, sometimes on short notice, , In support of our belief that learning organizations are more effective, efficient and relevant to the communities we serve, we empower all team members to dedicate 5 of their time to learning activities that further their personal andor professional growth and development, , Achieving our mission begins with how we build our team and work together Through our commitment to enriching our organization with people of different origins, beliefs, backgrounds, and ways of thinking, we are better able to leverage the collective power of our teams and solve the worlds most complex challenges We strive for a culture of trust and respect, where everyone contributes their perspectives and authentic selves, reaches their potential as individuals and teams, and collaborates to do the best work of their lives, , We recognize that diversity and inclusion is a journey, and we are committed to learning, listening and evolving to become more diverse, equitable and inclusive than we are today, , Mercy Corps is an equal opportunity employer that does not tolerate discrimination on any basis We actively seek out diverse backgrounds, perspectives, and skills so that we can be collectively stronger and have sustained global impact, , We are committed to providing an environment of respect and psychological safety where equal employment opportunities are available to all We do not engage in or tolerate discrimination on the basis of race, color, gender identity, gender expression, religion, age, sexual orientation, national or ethnic origin, disability including HIVAIDS status, marital status, military veteran status or any other protected group in the locations where we work, , Mercy Corps is committed to ensuring that all individuals we come into contact with through our work, whether team members, community members, program participants or others, are treated with respect and dignity We are committed to the core principles regarding prevention of sexual exploitation and abuse laid out by the UN Secretary General and IASC We will not tolerate child abuse, sexual exploitation, abuse, or harassment by or of our team members As part of our commitment to a safe and inclusive work environment, team members are expected to conduct themselves in a professional manner, respect local laws and customs, and to adhere to Mercy Corps Code of Conduct Policies and values at all times Team members are required to complete mandatory Code of Conduct elearning courses upon hire and on an annual basis, , Apply Here",Contract,https://www.linkedin.com/jobs/view/externalApply/2321249275?url=https%3A%2F%2Fwww%2Eimpactpool%2Eorg%2Fjobs%2F654014&urlHash=FsB4&refId=aa2ca309-7e65-4987-8077-fc7ae6723844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/assistant-program-officer-crisis-analytics-edinburgh-or-the-hague-at-mercy-corps-2321249275?refId=aa2ca309-7e65-4987-8077-fc7ae6723844&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
