,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,database,LinkedIn,2324855205,Data Academy,s5uoZOBDRom7kDnm90uI9A==,Deloitte,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Information Technology,"Igniting the power of data and enlightening the path for businesses  Deloitte There was around 25 quintillion bytes of data created each day in 2018 However such a large volume of data only gains added value when we understand it Within dynamic business environments, data is now driving the way how a company is managed Senior management within organizations require precise and timely high quality databacked internal reports to make informed decisions Furthermore, requirements for both internal and external regulatory reporting evolve constantly with the ever changing business landscape New regulations and reporting standards are introduced each year and regulators require more granular and diverse regulatory reports This calls for a colossal amount of complex data to be translated into understandable analysis results At Deloitte, you will help clients to extract insights from their data, which enables them to drive and improve their organizations and processes You will collaborate with large organizations to transform their information flow towards a more integrated and datadriven environment, which assists them in proactively responding to the dynamically changing environment Do you have the ambition to steer the world towards a truly datadriven dreamland Then we are excited to introduce you to our data learning program Deloitte Data Academy  the strongest suite for you to tackle data challenges in the business world This structure learning program will equip you with strong data skills and tools to become a highly qualified data professional The key offerings of Deloitte Data Academy are",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324855205?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fdata-academy%3A44422241%2F&urlHash=dd2U&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/data-academy-at-deloitte-2324855205?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,database,LinkedIn,2313227287,Junior Technical Consultant,DOKihaLOSgmsWhZOs1qgWA==,BearingPoint,"Amsterdam, North Holland, Netherlands",['Management Consulting'],Consulting,"We are looking for a consultant to support our team We are looking for exceptionally bright and motivated people to join the Dutch office based in Amsterdam, Are you keen to get cross industry consulting experience, Would you like to work with the brightest minds in the industry",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313227287?url=https%3A%2F%2Fbearingpointcareers%2Enl%2Fo%2Fjunior-technical-consultant&urlHash=Up7m&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-technical-consultant-at-bearingpoint-2313227287?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,4,database,LinkedIn,2313757949,SQL Database Specialist,1EueossmRJWnWv2a1/Z+Wg==,Athlon Nederland,"Almere, Flevoland, Netherlands","['Automotive', 'Banking', 'Computer Software']",Information Technology,"For the department IT International Infrastructure we are looking for an SQL Database Specialist  Middleware with a specialty MS SQL and Postgress 38 hours, , What you will do",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313757949?url=https%3A%2F%2Fcareer5%2Esuccessfactors%2Eeu%2Fcareer%3Fcareer_ns%3Djob_listing%26company%3Dathloncarl%26navBarLevel%3DJOB_SEARCH%26rcm_site_locale%3Den_US%26career_job_req_id%3D980&urlHash=qRq-&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sql-database-specialist-at-athlon-nederland-2313757949?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,5,database,LinkedIn,2327000227,Database Engineer - Amsterdam - 12 months,w8SdBlSJTp2nF39QMRE6Pg==,CareerAddict,"Amsterdam, North Holland, Netherlands",['Computer & Network Security'],Information Technology,"Database Engineer  Amsterdam, , I am working with a global business based in Amsterdam who are looking for 3 Database Engineers DBA to work across SQL and Oracle databases, , The DBA will be working on a large international Data Migration project migrating away from oracle and old SQL versions into SQL 19 and AZURE, , The project will also be focused on an expansion of their SQL Servers, , The DBA must be based in Netherlands for this position as they will be required to work onsite from January, , The DBA should have the following exp, , , Please get your CVs in ASAP for an instant call",Contract,https://www.linkedin.com/jobs/view/externalApply/2327000227?url=https%3A%2F%2Fjobs%2Ecareeraddict%2Ecom%2Fpost%2F21326987&urlHash=R7R1&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/database-engineer-amsterdam-12-months-at-careeraddict-2327000227?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,6,database,LinkedIn,2327331640,Data Scientist - The Hague,7VBe+m46RPmZZIJeHlLbEg==,Octagon Professionals,"The Hague, South Holland, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Financial Services']",Engineering,"Are you a talented Data Scientist with advanced experience coding with Python Are you able to work effectively within a customerfacing environment Do you have handson experience in statistics and probability If yes, read further, , Our client, a global supply chain visibility company, is looking for a dedicated professional with solid theoretical and practical machine learning knowledge who will be able to visually display quantitative information",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327331640?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D8a44761c7df5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cadfeddc8ddcbdd99ddaaddfgaddadd9fadc3aeacdcbfec3ddcg3e&urlHash=6mnP&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/data-scientist-the-hague-at-octagon-professionals-2327331640?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,7,database,LinkedIn,1981179662,Database Engineer,+gkOjBhWTKq1hCc3+OX3og==,Adyen,"Amsterdam, North Holland, Netherlands",['Financial Services'],Information Technology,"Database Engineer, , Adyen is looking for a Database Engineer with either experience with or interest in PostgreSQL and CockroachDB to join our team in Amsterdam We have one of the largest realtime transactional PostgreSQL instances in the world The significance of PostgreSQL is becoming larger and larger as our business and platform are growing exceptionally fast We believe it is extremely important to contribute and help further improve the PostgreSQL community because it has helped us a long way and continues to do so, , As a Database Engineer you will be working closely with our development and infrastructure teams to provide them your database related knowledge and support with investigating issues, application releases, monitoring, solutions, consultation and automation, , , , , , , , , We took an unobvious approach to starting a payments company, building a platform from scratch Today, were the payments platform of choice for the worlds brightest companies Speed is the foundation of our company We think fast We work fast We launch fast We are honest, direct, and try to have some fun too Were creating our own path, with a global team driving sustainable growth To maintain our momentum, we need people to join us in finding new ways of solving our unique challenges  people like you, , , , If you are excited about this role, apply by clicking the below link We cant wait to meet you",Full-time,https://www.linkedin.com/jobs/view/externalApply/1981179662?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fadyen%2Fjobs%2F249469%3Fgh_src%3D36f976a71%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=lN8F&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/database-engineer-at-adyen-1981179662?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,8,database,LinkedIn,2324423656,Database Engineer,067qBVIoTFCD+TRCwUdwsA==,Picnic Technologies,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Retail']",Information Technology,"At Picnic we care about health and safety, so currently all interviews are done online and our team is working from home We keep a close eye on the developments around Covid19, and support your relocation to Amsterdam when it is safe to do so It is possible to start working remotely with us  have a peek at how the remote onboarding is going here , , Picnic is the worlds fastest growing online supermarket With a unique business model and a highly engaged customer base, we aim to revolutionize the world of logistics, delivery, and groceries Beyond that, we love working towards a greener future by using purposebuilt routeplanning algorithms and running a 100 electrical fleet of delivery vans But were just getting started, , Picnic is looking for a passionate database engineer who loves to support others to get the most out of their database usageYour skills will be part of the foundation of Picnics promise of an effortless shopping experience for millions of customers Your expertise will be used by engineering and product teams to help them build the most performant, most reliable solutions for our customers You will be one of the first database specialists to help all product and engineering teams to efficiently and effectively use and operate databases at scale, , As a database engineer you work on a broad set of projects, focussed on reviewing new deployments and advising on improving existing deployments You will investigate performance challenges, implement optimizations to further improve resource usage and support teams to deal with operating databases at scale And on top of all, you will be responsible for sharing knowledge and learnings throughout the company, , , , , Located in Amsterdam, our funfilled office is the best place for you to focus on your Picnic projects Equipped with your favorite hardware and surrounded by likeminded people, youll grow professionally and personally, while enjoying the startup life along the way We like to keep our 40hour workweek flexible around here, , Our tech team consists of 15 product teams, which handle tons of innovative projects Sharing, mentoring and keeping up to date is a must at Picnic Meetups, webinars, Lunch  Learn sessions, and our very own Tech academy make sure thats taken care of Your soft skills will get some attention as well, with tailored training and courses, , Our salaries are market competitive and our pension program will put your mind at ease, , Sure If you join Picnic from abroad, well cover your trip to Amsterdam, sponsor your Visa, and offer you a month of accommodation while you settle in, , If you are joining us from a country that doesnt allow traveling to the Netherlands just yet due to Covid19, theres a chance that your onboarding could take place remotely We had lots of new team members starting their Picnicjourney remotely already, you can have a peek at how its going here , , What are you waiting for Get in touch And no worries, the whole process is currently fully remote, to keep everyone safe and healthy",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324423656?url=https%3A%2F%2Fjoin%2Epicnic%2Eapp%2Fjobs%2F2303156%3Fgh_jid%3D2303156&urlHash=ylws&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/database-engineer-at-picnic-technologies-2324423656?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,12,database,LinkedIn,2324005566,Jr Data Engineer,C5BCDbIFTeGpB8MdGvYlbg==,Oscar,"Utrecht, Netherlands",['Marketing and Advertising'],Information Technology,"To view my latest jobs click here httpswwwoscartechcomconsultantsolivercarrick, Vacancy Jr Data Engineer OPEN TO GRADUATES, Skills SQL  Python Not essential  lots of personality, Company Marketing and Sales Specialists Brand and Advertising",Full-time,,https://nl.linkedin.com/jobs/view/jr-data-engineer-at-oscar-2324005566?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,13,database,LinkedIn,2300313296,Junior Insights Analyst,u4e/gb6hTHqIKtVsAamZHA==,BRITVIC PLC,"Amsterdam, North Holland, Netherlands",['Consumer Goods'],Analyst,"Junior Insights Analyst, Britvic, Amsterdam,  About the Role",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300313296?url=https%3A%2F%2Fcareer5%2Esuccessfactors%2Eeu%2Fsfcareer%2Fjobreqcareer%3FjobId%3D27648%26company%3DBritvic&urlHash=qwli&refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-insights-analyst-at-britvic-plc-2300313296?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,16,database,LinkedIn,2327068706,Machine Learning Engineer,UHf3VqUrTUy130dtJ8s3Gw==,That Recruitment Company,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Renewables & Environment']",Engineering,"Do you want to join a fastgrowing company who are looking to make a positive impact in the world , , Interested in tinkering and getting handson with machine learning models ",Full-time,,https://nl.linkedin.com/jobs/view/machine-learning-engineer-at-that-recruitment-company-2327068706?refId=3ccec2ad-cf42-4b57-9e1b-9400a75ad302&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
