,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,English Requirement,Dutch Requirement,Sector,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,doctor,Indeed,p_40c46b79616a7133,Receptionist (m/w/d),M1 Med Beauty Netherlands BV, Amsterdam,"M1 Med Beauty, one of Europe’s largest healthcare providers for medical aesthetic treatments, is in the Netherlands. With more than 36 specialist clinics in Germany, Austria, Switzerland, Croatia, Australia and UK, we perform over 200,000 treatments annually in the field of plastic surgery and aesthetic medicine.We are currently looking for a Receptionist (m/f/d) Part/full time for our clinic in AMSTERDAM. Join our passionate medical team and become part of one of Europe´s leading providers of aesthetic treatments. Work alongside experienced doctors in modern and well-managed outpatient clinics with friendly colleagues.We are looking for candidates that are excited to grow with M1 and help to shape our journey into the Netherlands whilst advising, inspiring and supporting our patients with care and compassion. If this sounds like you, please email your complete application documents (including photo, date of birth and resumé).Your tasks and responsibilities:Customer supportPractice organization (e.g. appointment management, purchasing and material management)Monthly Stocktaking and product saleCash Desk responsibilityWe offer:An attractive and comfortable workplace with a very good working atmosphereFull-time employmentWork in a dynamic teamPrime locations in Amsterdam and RotterdamRequirements:You have completed a commercial apprenticeshipAt least 3 years of experience in a comparable positionStrong communicative skills and a friendly personalityStrong reliability, accuracy and accountability when it comes to both written work and customer serviceOutstanding independent work ethic with superior self- and time-management skillsProficient in Microsoft OfficeFluent in English and Dutch written and oralFor further questions please contact Mr. David Moran by calling +49 (0) 30 34 74 74-485. The candidates that make it through to the interview round will require Zoom for conference call.WE LOOK FORWARD TO HEARING FROM YOU.Job Type: ContractWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/M1-Med-Beauty/jobs/Receptionist-40c46b79616a7133?fccid=3c803eefc34b5765&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,health and social work activities,1,0,0,0,1,0,1.0,2.0,Q,0.842986741102582,0.15631542219120725,0.4612700628053036,0.537334263782275,Female,Mixed Age
1,doctor,Indeed,p_d6d560ea4c06f60e,Paediatrician,Artsen Zonder Grenzen, Amsterdam Centrum,"Job Brief

As a paediatrician you provide medical care to (mainly) paediatric patients according to MSF protocols, values and universal hygiene standards to improve the patients’ health conditions.

Your job

As a paediatrician you provide medical care to (mainly) paediatric patients according to MSF protocols, values and universal hygiene standards to improve the patients’ health conditions.

Other duties involve:

Developing standardised protocols and guidelines in the line with the MSF and the international standards and the priorities identified in the field
Participate in organisation and carry out formal training sessions for the paediatrics as well as daily bedside teaching in paediatric department.
Ensure implementation and strict adherence to the protocols once implemented.
Coaching and training of the junior local medical doctors.
Hands on work in the Paediatric Department and support the other paediatric MD’s with the activities in the general paediatrics ward.


Requirements for Paediatricians


Registered as a paediatrician and licensed to practice medicine in the Netherlands or in another country recognized by the Netherlands
Work or travel experience in developing countries
Ability to cope with stress and to organize and prioritize workload
Capable of working in an international team
Willingness to work in an unstable and insecure environment
Availability of at least 3 to 9 months
A good command of the English language (minimum B2)


Assets


A strong, general, medical background and the ability to work independently
Specific training and/or experience in relevant areas, including: tropical medicine, obstetrics and gynaecology, infectious diseases, HIV/AIDS, tuberculosis and emergency medicine
Experience with a similar non-governmental organisation abroad
A good command of the French and Arabic language


Application process

At Médecins sans Frontières (MSF) / Artsen zonder Grenzen, we are committed to an inclusive culture that encourages and supports the diverse voices of our employees. Our diversity fuels our innovation and connects us closer to our beneficiaries and the communities in which we work. We welcome applications from individuals of all genders, ages, sexual orientations, nationalities, races, religions, beliefs, ability status, and all other diversity characteristics.

PLEASE NOTE THAT WE ONLY TAKE UP APPLICATIONS THAT MEET ALL OF THE ABOVE REQUIREMENTS

The following documents will be requested in the application process:

Your most recent English CV not exceeding 3 pages
A cover letter explaining your motivation to work with MSF
A clear scan of your relevant diploma’s and certificates
If you are currently working for MSF as national staff or have done so up until a year ago, we require that you upload a recommendation letter for expatriation from your HRCo, Head of Mission or other staff in a coordinating position and include two of your most recent MSF evaluations


In MSF we are strongly committed to professionalism and responsible behaviour and therefore the final phase of the application process is a background screening. Such screening can consist out of an identity check, check of employment history, reference check and declaration on behaviour (VOG).",-1,-1,https://indeed.nl/rc/clk?jk=d6d560ea4c06f60e&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=71d2da1f93cbc46d&assa=9960,https://nl.indeed.com/vacature-bekijken?jk=d6d560ea4c06f60e&fccid=13063f00f1d9030a&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,Yes,No,other service activities,0,1,0,0,1,0,2.0,2.0,S,0.6590909090909091,0.3409090909090909,0.4166666666666667,0.5681818181818182,Mixed Gender,Mixed Age
2,doctor,Indeed,p_3552309a49dcd41b,Clinical Statistician,NKIAVL, Amsterdam,"Function description
As statistician at the Netherlands Cancer Institute – Antoni van Leeuwenhoek hospital (NKI-AVL) you are primarily responsible for co-developing clinical research, creating statistical sections in protocols, providing statistical analysis, and co-writing articles. In addition, you provide statistical advice to doctors and researchers, and methodological support to research groups within the hospital and at its liaisons.
As statistician, you are part of the Department of Biometrics. The department provides the infrastructure for clinical scientific research, through biostatistical expertise, centralised data collection and processing, and information services. The department collaborates closely with other (international) research institutes, hospitals, funding bodies and pharmaceutical companies in the areas of clinical cancer research.

The department consists of 100+ employees. You will operate in a team of five statisticians, working closely with other disciplines involved in clinical trials.
Job requirements

An enthusiastic statistician with a university-level education, relevant experience, familiar in clinical research, whom meets the following requirements:
MSc or PhD in biostatistics, statistics, mathematics, econometrics or equivalent qualification.
Strong communicator, capable in discussing statistical content with doctors and researchers.
Experience as clinical statistician.
Quality driven, skilled to manage deadlines and ability to organise
Thorough knowledge of statistical programs such as SAS and R. Knowledge in the field of LaTeX is an advantage.
Ideally, but not a strict requirement, you have knowledge of relevant standards (CDISC ODM, SDTM, ADaM) and regulations regarding clinical research.
Compensation
Your remuneration will be in accordance with the Dutch Collective Labour Agreement for Hospitals. In addition to your salary, which will depend on your previous experience, a holiday allowance of 8.33% and a 8.33% end-of-year payment is part of your remuneration package. Other benefits provided under the Collective Labor Agreement also apply.

Contact information
For more information about this position, please contact Edith Gommers by mail: e.gommers@nki.nl.
Questions about the application procedure? Please contact our recruiter Arjen Biesterveld on +31 20 512 6163.

You can apply to this vacancy up to and including February 7, 2021.
Acquisition in response to this vacancy will not be appreciated.
Details
Hours per week: 36
Salary level: Dutch Collective Labour Agreement for Hospitals
Education level: WO
Arjen Biesterveld
Recruiter
020 512 2897 a.biesterveld@nki.nl
Edith Gommers
Manager Bedrijfsvoering
020 512 2332 e.gommers@nki.nl",-1,-1,https://indeed.nl/rc/clk?jk=3552309a49dcd41b&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=0b985fb064e1c81c&assa=6387,https://nl.indeed.com/vacature-bekijken?jk=3552309a49dcd41b&fccid=c9aa60d226eb8c69&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,health and social work activities,1,0,0,0,1,0,1.0,2.0,Q,0.842986741102582,0.15631542219120725,0.4612700628053036,0.537334263782275,Female,Mixed Age
3,doctor,Indeed,p_86e94e440b399896,Global VP of People Experience Tech / Deputy CHRO,Docplanner, Amsterdam,"Share this job

Description

DocPlanner is a world-leading online marketplace for doctors & patients and a medical practice booking & management SaaS in over 15 countries. Each month, we serve 2 million active doctors, 40 million patients from seven offices around the world with almost 1500 team members.

“People are not your most important asset. The right people are.” - Jim Collins

In Docplanner Tech we believe in passion and autonomy. We love what we do and have a huge impact on how to do it. Our turnover in the Tech team is under 10% and the eNPS over 65 so be ready to get inspired in the long run! Take a look at what it’s like in here.

We’re looking for the Global VP of People Experience Tech / Deputy CHRO. The job is based in Barcelona or full remote.

GOALS OF THE POSITION
ensure alignment and commitment to the product and company goals (OKRs)
help the Tech teams be more successful by developing managers and team members personally and professionally
hire top Tech talents world-wide
lead a team of 6 Tech Recruiters and Business Partners (located in Warsaw and Barcelona)
design and implement global HR frameworks and best practices together with the CHRO that put the HR strategy into action
Requirements
WHAT WE REQUIRE
a track record of performance in talent acquisition and culture building as an HR Head in a Tech company
experience in and love : ) to complex project management
ease and effectiveness in working with C-level managers
an analytical mind matched by the passion for people
a strong business acumen
a track record of leading remote teams
and endless drive to build a great company through and with people
Benefits

WHAT YOU WILL FIND:
Impact. You’ll build and implement the HR strategy side by side the CHRO.
Equity - That's right. To feel like an owner it's best to be one.
Great people - We get things done. We know our stuff. And have fun in the process =)
Leave your comfort zone - There were a handful of us when we started. Now there are over 1300 of us on 4 continents. We learn and grow so the company can.
Focus on results, not tasks - No one can tell you what to do because.. no one has ever done it yet. Every day is a new challenge. No matter if it’s an evolution or revolution, you have all the power to start it.
Give feedback now, directly - We know very few mind readers. None actually. We don’t read the minds of our users. We A/B test. We don’t read the minds of each other. We ask for and give feedback.
Keep it simple - Right.
Do what you love - Alright, we work for the money. But once that is out of the way, why do you do what you do? We believe if you don’t see the meaning in what you do, you should stop right now.
Hustle, hit, never quit - We’ve been through the highs and lows in business and as a team. We are lucky to have a “losing sucks” syndrome. “Hustle, hit, never quit” in other words. And yes, Nike is better at PR with this one.

Psst. Do you know that our Candidate Experience score is over 8.5 out of 10? We do our best to keep the quality of our recruitment processes high!

Want to see how life at Docplanner Tech is and what to expect? Take a look at our pages to get a better idea:

Facebook | Docplanner Tech page | Medium | Glassdoor | Linkedin | Twitter",-1,-1,https://indeed.nl/rc/clk?jk=86e94e440b399896&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=e4328eb8afe532b5&assa=2050,https://nl.indeed.com/vacature-bekijken?jk=86e94e440b399896&fccid=12d899d8d1864c15&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,agriculture and industry,0,0,1,0,1,0,3.0,2.0,A,0.2215868477483917,0.7784131522516083,0.49320943531093636,0.5060757684060043,Male,Mixed Age
4,doctor,Indeed,p_2d32c5af04434213,Anesthesiologist,Artsen Zonder Grenzen, Amsterdam Centrum,"Job Brief

As an anesthesiologist you will carry out clinical work and collaborate closely with local health staff, to whom you will provide training, supervision and coordination.

Your job


As an anesthesiologist, you will carry out clinical work and collaborate closely with local health staff, to whom you will provide training, supervision and coordination. Your duties may include in-theatre work, pre-operative assessment and resuscitation, and post-operative care along with pain management. This will most often be accomplished while supervising national staff in recovery rooms and wards, and training and sharing expertise with local doctors and nurses. Your duties may also include technical and theoretical support to the Emergency Department and ICU on airways and ventilator management, sedation and pain management (especially in the absence of an ICU/ER expat MD post). You will also need to be prepared to collaborate with pharmacists with regards to the safekeeping and inventory of anesthesia medicament.

Be prepared to be flexible. You might work in a low-resource setting, where diagnostic equipment and facilities in the operating rooms often are limited. You will need to be open to new cultures and show understanding towards new contexts. The level of formal medical/nursing education may be less than basic, which can be a challenge in training/coaching provision.


Requirements


Certified anesthetist
Experience in pediatrics, obstetrics, and trauma anesthesia
The length of studies for specialisation is different from country to country. In some cases we require one gains some work experience after acquiring specialisation.
Ability to work autonomously with limited materials and resources
Willingness to abide by Médecins Sans Frontières anesthetic protocols
Experience in training, coaching and supervision
A good command of the English language (minimum B2)
Work or travel experience in developing countries
Ability to cope with stress and to organize and prioritize workload
Ability to work in an international team and together with national staff
Willingness to work in an unstable and insecure environment
Availability of minimum 3 months with motivation to do several mission months
Flexibility


Assets


A strong medical background and the ability to work independently
Experience with a similar non-governmental organization abroad
A good command of the French and/or Arabic language is highly valuable
Specialization in tropical medicine and/or a sub- specialization or experience in ICU
Desirable skill/s: Regional blocks, pain management/palliative care


Application process

At Médecins sans Frontières (MSF) / Artsen zonder Grenzen, we are committed to an inclusive culture that encourages and supports the diverse voices of our employees. Our diversity fuels our innovation and connects us closer to our beneficiaries and the communities in which we work. We welcome applications from individuals of all genders, ages, sexual orientations, nationalities, races, religions, beliefs, ability status, and all other diversity characteristics.

PLEASE NOTE THAT WE ONLY TAKE UP APPLICATIONS THAT MEET ALL OF THE ABOVE REQUIREMENTS

The following documents will be requested in the application process:

Your most recent English CV not exceeding 3 pages
A cover letter explaining your motivation to work with MSF
A clear scan of your relevant diploma’s and certificates
If you are currently working for MSF as national staff or have done so up until a year ago, we require that you upload a recommendation letter for expatriation from your HRCo, Head of Mission or other staff in a coordinating position and include two of your most recent MSF evaluations


In MSF we are strongly committed to professionalism and responsible behaviour and therefore the final phase of the application process is a background screening. Such screening can consist out of an identity check, check of employment history, reference check and declaration on behaviour (VOG).",-1,-1,https://indeed.nl/rc/clk?jk=2d32c5af04434213&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=85e07413ca4945c1&assa=8281,https://nl.indeed.com/vacature-bekijken?jk=2d32c5af04434213&fccid=13063f00f1d9030a&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,Yes,No,other service activities,0,1,0,0,1,0,2.0,2.0,S,0.6590909090909091,0.3409090909090909,0.4166666666666667,0.5681818181818182,Mixed Gender,Mixed Age
5,doctor,Indeed,p_30f674bb3903de87,B2B Customer Success Specialist,SkinVision, Amsterdam Noord,"Are you looking for a job with a perfect combination of business, technology and social impact? This could be your opportunity to positively impact the lives of millions around the world. At SkinVision, every single day is an opportunity to make a difference. We are on a mission to saving the lives of 250,000 people in the next ten years by revolutionizing the way we care about our skin. Our technology allows users to take ownership of their health, recognising signs of skin cancer from anywhere, at any time.

We are hiring a B2B Customer Success Specialist who will play an invaluable role in strengthening our relations with partners and represent their voice throughout the organisation. You will be responsible for receiving communication from partners and users to offer the most appropriate assistance to every case. You will need to constantly put yourself into our user’s shoes to efficiently respond to enquiries and and drive cooperations with insurance partners, hospitals, health care professionals and different parties to make SkinVision accessible for everyone.



In this role, you have an exciting opportunity to help us grow existing partnerships with health insurances and B2B partners who reimburse our service to their customers. You will also be engaging with SkinVision users, raising awareness, helping them build a habit of regularly checking their skin, prompting them to see a doctor and providing the most appropriate recommendations from our team of specialists.

Daily Drivers
Identify opportunities to grow and improve existing B2B programs with health insurances and other corporates
Support in business development conversations with new B2B health insurance leads.
Ensure each B2B program meets the success criteria agreed upon.
Report back to the client, providing insights and analysis.
Share successes and results of our B2B programs internally at SkinVision, and externally with our B2B Partners.
Proactively find ways to drive more engagement, conversion and retention for our end users.
Collaborate with other departments, ensuring our colleagues receive consistent and reliable feedback from our customers to continuously improve our service.

What you will bring in


Minimum education needed is Bachelor or HBO degree, preferably in public health, medical, communications, business or a related field.
Hands on experience in account management combined with a commercial customer-centric mindset.
Ability to work with a variety of technologies, customer service software and data tools.
Ability to translate trends in customer behaviour into actionable insights.
Ability to communicate at a very senior level.
Proficiency in both English and Dutch languages is definitely a plus.
Excellent communication skills towards internal and external stakeholders including the SkinVision users.
Entrepreneurial and proactive mindset.

Not sure if you are qualified?
Research shows that while men apply to jobs when they meet an average of 60% of the criteria, women for example tend to only apply only when they check every box. If you feel energised by our mission and would like to use your first-class talent to accelerate the growth of SkinVision but don't necessarily meet every single point on the job description, please still apply. We'd love to receive your application and see if you could be a great fit.",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=30f674bb3903de87&fccid=53eed56959e6687c&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,Yes,health and social work activities,1,0,0,0,1,0,1.0,2.0,Q,0.842986741102582,0.15631542219120725,0.4612700628053036,0.537334263782275,Female,Mixed Age
6,doctor,Indeed,p_540746bb6f45b320,Sales representative Joint Replacement,Stryker Corporation, AmsterdamZuidoost,"Sales Representative: Joint Replacement
Territory: South East NL
Location: field Sales - 100% travel
If you’re passionate about healthcare products and the challenge of creating a name for yourself in the Joint Replacement market space, we may have the perfect opportunity for you.
Join us here at Stryker, and help us improve European healthcare.
Who we want
This is a truly dynamic opportunity for individuals who are keen to have a successful career in a commercial role, within one of the world’s top Medical Technology organizations.
Dedicated achievers. Resilient, results-driven individuals who have an internal passion to make healthcare better.
Charismatic networkers. Influential partners who proactively reach out and engage with internal and external contacts in order to build powerful relationships.
Customer-oriented achievers. Sales representatives who always place the customer at the heart of everything they do.
Strategic closers. Assertive sales leaders who stop at nothing to seal the deal, and who are known for continuously exceeding their quarterly sales quota.
Confident communicators. Influential individuals who are able to command the direction of a sales conversation and persuade others to buy in to an idea or product.
What you will do
Sell innovative, life-changing surgical products and help improve healthcare.
As a Joint Replacement Sales Representative at Stryker, you will help us deliver on our mission of making healthcare better by promoting and selling Stryker’s Joint Replacement products (hips and knees). Whether it’s in the operating theatre, the office or clinical meetings, you will conduct such inspiring product demonstrations, doctors and hospital staff can’t help but say “yes” to your sales pitches. You’re not just there at the beginning though…...you’re there for the long haul and your customers know they can count on you for 24 hour support. Using your product knowledge and quick thinking to solve product problems, you’re always available to educate and support orthopedic surgeons and theatre staff on how to properly use and maintain these life-changing products.
Additional responsibilities include:
Planning and executing quarterly and annual business plans
Negotiating pricing and managing contracts and terms of transactions within your territory
Analyzing territory market potential and prioritizing call patterns accordingly
Customer care for physicians, surgical/theatre staff and hospital administration with the goal of achieving qualitative and sales-oriented consultation
In-theatre support where required (planning and assisting with surgeries; training surgical staff)
What you need
Bachelor’s degree, preferably in a Medical field (Paramedic, Physiotherapy, Biomechanics etc)
3-5 years of successful sales experience in the Med Tech industry
To be comfortable working in the operating room
Fluent Dutch and English
Advanced skills in MS Office
A full, valid NL driving license
What We Offer
The opportunity to create new market space offering high and challenging sales opportunities
Competitive remuneration package
A culture driven to achieve our mission and deliver remarkable results
Coworkers committed to collaboration and winning the right way
Quality products that improve the lives of our customers and patients
Ability to discover your strengths, follow your passion and own your own career
Stryker’s Joint Replacement Portfolio
https://www.stryker.com/us/en/portfolios/orthopaedics/joint-replacement.html
Who We Are and What We Believe
https://careers.stryker.com/en-US/page/about-stryker

A Dozen Reasons To Love Us
https://careers.stryker.com/media/2017/9/c231ebfc-2dcc-4a36-b7db-37d006752367-1505150069255.pdf",-1,-1,https://indeed.nl/rc/clk?jk=540746bb6f45b320&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=4429b902e9d844d6&assa=9792,https://nl.indeed.com/vacature-bekijken?jk=540746bb6f45b320&fccid=9d4dbca3ed8b9cdf&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,health and social work activities,1,0,0,0,1,0,1.0,2.0,Q,0.842986741102582,0.15631542219120725,0.4612700628053036,0.537334263782275,Female,Mixed Age
7,doctor,Indeed,p_23a2f7102937d58a,Allround Recruitment & Sourcing professional,NLC, Amsterdam,"NLC is the European Healthtech Venture Builder. Our mission is to advance health by making impactful medical technologies accessible for everyone.
This is achieved by building ventures following our unique NLC approach: entrepreneurship at scale. We scout inventions and select the most promising ones. Once an invention makes it through our thorough selection process, our ‘Venture Teaming’ (VT) team attracts an entrepreneurial executive to co-found and lead the venture.
To support these activities as well as play an active role in other recruitment related projects, we seek an all round recruitment and sourcing professional with a clear interest in healthcare, innovation and/or entrepreneurship.
Your role
Your work directly influences the success of Healthtech start-ups and the positive impact they make on patients’ lives. You will play an important role in the further growth of NLC and our ventures.
Activities include:
Candidate sourcing with a focus on identifying entrepreneurial leaders for our new ventures. You use both our pre-qualified network as well as LinkedIn Recruiter;
Take a quality assurance role in Internal Recruitment. For both interns and permanent staff you serve as a sparring partner to the Hiring manager and provide hands-on support ranging from candidate pre-qualification, interviewing and optionally process management.
Guide and support our ventures with their recruitment requirements;
Support with a range of employer branding and recruitment related projects where and when needed;
Help migrate from the current CRM system to a new recruitment database.
Your profile
You have a track-record in Talent acquisition, (internal) Recruitment or Executive Search;
You have a proven affinity with Healthttech, either through previous employment or studies;
Excellent communication skills both written and verbal.
You are fluent in English. German language skills are a plus;
You are process- and data/IT-driven. You ensure structure and efficiency in everything you do;
You are based in the Netherlands.
We offer:
A full time position in our rapidly growing company, with plenty of flexibility.
The best of both worlds of recruitment: The variety of agency recruitment, the complexity of executive search but with the perks of corporate recruitment: no cold business development and a team of committed colleagues as sparring partners.
The opportunity to become part of the NLC network; a large and diverse network ranging from a 1000+ medical doctors and hundreds of healthcare executives to Corporate Partners like Philips. You’ll interact with highly experienced executives on a daily basis.
A lean and positive company culture characterized as ‘TODO’: Together, Open, Decisive and Optimistic.
Let’s advance health together!
We welcome your application, questions and comments via or website or via Eva van Rooijen, Lead Venture teaming: eva.vanrooijen@nlc.health.

Note: Due to the Christmas holiday there will be a delay in response. Your application will be reviewed in the first week of January.",-1,-1,https://indeed.nl/rc/clk?jk=23a2f7102937d58a&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=d1a31b67854ac16e&assa=5823,https://nl.indeed.com/vacature-bekijken?jk=23a2f7102937d58a&fccid=eece6bb778a064b5&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,information and communication,0,1,0,0,1,0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
8,doctor,Indeed,p_3ee0254ece17d109,Patient Safety Specialist,Novartis, Amsterdam,"Novartis is looking for a Patient Safety Specialist! We want to be a reliable leader in delivering a meaningful contribution to the healthcare system. As a Patient Safety Specialist you can make the difference for patients by ensuring the safety of our medicines. Does this sound like an interesting challenge to you? Then you might be the person we’re looking for to join our Patient Safety team!

In this role you will be supporting the management of Patient Safety operational processes at the Country Organization. A Patient Safety Specialist at Novartis will do so by ensuring compliance with Novartis global/local procedures, national and international regulations and guidelines for pharmacovigilance of the Novartis group for both marketed and investigational products.


Besides, your responsibilities include the conclusions of new or updated PV agreements between Sandoz & Novartis and various license partners for the Netherlands.
Minimum requirements
Health Care Sciences Professional (e.g. Medical Doctor, Nurse, Pharmacist) or equivalent education, training and experience
Minimum of 2 years relevant experience within Patient Safety;Fluent in Dutch and English (oral and written);
What you bring:
Knowledge of Dutch and international regulations for pharmacovigilance and pharmacological and medical terminology;Strong communications, interpersonal and negotiation skills (in Dutch and English)You are quality and focus oriented and have an eye for detail;
What we offer:
A curious, unbossed and inspiring international work environment;Being a part of the dynamic, diverse and flexible team, responsible for many of tomorrow’s innovations;Plenty of chances to work on your personal development;Excellent working conditions.
Why consider Novartis?
799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Commitment to Diversity & Inclusion:
Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential.

Join our Novartis Network: If this role is not suitable to your experience or career goals but you wish to stay connected to learn more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network.

Do you have any questions about this vacancy? Please feel free to contact the Novartis Recruitment team at staffing.centernl@novartis.com.
Division
Global Drug Development
Business Unit
CMO & PATIENT SAFETY GDD
Country
Netherlands
Work Location
Amsterdam
Company/Legal Entity
Novartis Pharma NL
Functional Area
Research & Development
Job Type
Full Time
Employment Type
Regular
Shift Work
No",-1,-1,https://indeed.nl/rc/clk?jk=3ee0254ece17d109&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=0f2f2c622f079dc7&assa=1636,https://nl.indeed.com/vacature-bekijken?jk=3ee0254ece17d109&fccid=c35194d01a9e2595&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,health and social work activities,1,0,0,0,1,0,1.0,2.0,Q,0.842986741102582,0.15631542219120725,0.4612700628053036,0.537334263782275,Female,Mixed Age
9,doctor,Indeed,p_9019998ec9ceeaf1,Postdoc: Biophysics of symbiotic networks and communities,AMOLF, Amsterdam,"Symbiotic partnerships can drive the evolution of remarkably complex social behaviors, even in simple organisms. Recent experiments provide evidence that symbiotic microbes demonstrate transport and trade behaviors reminiscent of human economics. What is the repertoire of strategies at play in these biological ‘markets’ and how do they depend on the specific combination of species and strains involved? To what extent is the strategy of one partner responsive to that of others, and how are the necessary communications/computations implemented mechanistically?

In this project, you will address these questions experimentally, developing novel methods for tracking symbiotic trade across time and space, combining the state of the art in fluorescent labelling, automated microscopy and image analysis. A focal symbiotic partnership is between arbuscular mycorrhizal fungi (AMF) and plant roots, which form an extended symbiotic network of ecological/agricultural importance in the soil. You will build on our existing automated imaging experiment of this symbiosis using in vitro root cultures, introducing new fungal and bacterial species in the mix. Results will be analyzed using concepts from statistical physics and network theory. A central aim is to illuminate trade strategies and their underlying mechanisms with biophysical data on network growth, resource fluxes and their control by symbiotic context.

The project builds on our prior work to characterize resource fluxes using quantum-dot labelled nutrients to track symbiotic trade (Whiteside et al., 2019, Curr Biol), and will be embedded within a new HFSP-funded consortium to pioneer the biophysics of fungi in symbiotic contexts. The team includes biologists, physicists and engineers from the labs of
Toby Kiers (Vrije Universiteit Amsterdam)Howard Stone (Princeton University)Hirokazu Toju (Kyoto University)Tom Shimizu (AMOLF)

You will collaborate closely with members of all participating labs through regular consortium-wide Zoom meetings, also with possibilities (when the pandemic subsides) for in-person research exchanges through lab visits.

For further information on the project, contact Tom Shimizu (shimizu@amolf.nl).
About the group
For more information about research in the Shimizu Group, see https://amolf.nl/research-groups/systems-biology.
Qualifications
You need to meet the requirements for a doctors-degree and must have research experience in a non-Dutch academic environment.

We seek candidates with a strong background in experimental physics or quantitative biology and an interest in the biophysics of symbiosis. Prior experience with microscopy and image analysis is preferred.
Terms of employment
The position is intended as full-time (40 hours / week, 12 months / year) appointment in the service of the Netherlands Foundation of Scientific Research Institutes (NWO-I) for the duration of two years. Ideally with a starting date before March 2021. AMOLF assists any new foreign postdoc with housing and visa applications and compensates their transport costs and furnishing expenses.
Contact info
Prof.dr. Tom Shimizu

Group leader (Systems Biology)
E-mail: shimizu@amolf.nl
Phone: +31 (0)20-754 7100

You can respond to this vacancy online via the button below.
Please send your:

– Resume;

– Motivation on why you want to join the group (max. 1 page).

It is important to us to know why you want to join our team. This means that we will only consider your application if it entails your motivation letter.
Applications will be evaluated on a rolling basis and as soon as an excellent match is made, the position will be filled.

Online screening may be part of the selection.

Commercial activities in response to this ad are not appreciated.",-1,-1,https://indeed.nl/rc/clk?jk=9019998ec9ceeaf1&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=79a97a23841206ec&assa=7320,https://nl.indeed.com/vacature-bekijken?jk=9019998ec9ceeaf1&fccid=47ba8748c7f206a9&vjs=3,15 dagen geleden,15 dagen geleden,2021-01-19,en,No,No,health and social work activities,1,0,0,0,1,0,1.0,2.0,Q,0.842986741102582,0.15631542219120725,0.4612700628053036,0.537334263782275,Female,Mixed Age
