Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
2,education,LinkedIn,2317466162,Early Years Education Adviser,DgADI1IAQDus3ZJk3erTvw==,VSO Nederland,"Utrecht, Utrecht, Netherlands",['Hospitality'],"Country Rwanda Application closing date Flexible Start date April 2021 if the situation allows it Duration 1224 Months Thousands of teachers around the world do not get the necessary training and support, and as a consequence pupils do not reach their full potential VSO is working to change this As a VSO volunteer, you will immerse yourself in a new culture, face fresh challenges and develop your expertise, and often also management skills while doing something truly fulfilling The local office or partners need will decide your exact job description Role overview As a specialist in Early Years Education, you will advise local tutors on how to train students in active and ChildCentred teaching methods You will support and offer training to inservice teachers on active methods and resource development You will monitor and report the inputs and outputs of program interventions Responsibilities Project Inception Period Work in a team to develop early childhood care and education ECCE educators multimedia self learning toolkit and app on inclusive learning through play Strengthen evidence and documentation on the programmatic context, including on social inclusion and gender, to inform project design development Work with VSO Monitoring  Evaluation ME team to ensure the project data system and processes are designed to capture key data on the implementation of inclusive learning through play and usable by school staff, national volunteers and education officials and inspectors Project Implementation Period Train, provide field level mentoring, and facilitate peer learning for national volunteers on their work with educators, headteachers, school governing bodies, and other community stakeholders Collaborate with national volunteers in training and mentoring educators and headteachers on learning through play and facilitating their peer learning Collaborate with national volunteers in training district and subdistrict education officials and inspectors, school governing bodies, and community volunteers on the provision of, and accountability for, quality, inclusive learning through play LtP Provide technical advice to district and subdistrict officials and national volunteers on project activity planning, tracking progress, generating learning and adaptive implementation with reference to quantitative and qualitative data Provide advice and guidance on effective engagement of parents, community volunteers, and the wider community to build support for LtP Support the development of materials and communication messages aimed at parents, parents, community volunteers, and the wider community to build support for LtP Produce accurate and reflective datainformed reports and impact case stories for project review, evaluation, and advocacy for improvements in ECCE",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317466162?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMWY2MjYwOTctMTgzOS00YjU3LTgzYjAtNDA0NTM0YjA1OTk0In0%2EW9L5vfQEyz7VUiIZtWYX2_u4tZEMpHvCTZYmnVMJdpw%26jid%3D01ec3d3807689042ffaed2bcfca7bcd60c327da2b0701285e218eb040342df0c%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D567&urlHash=oOAU&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/early-years-education-adviser-at-vso-nederland-2317466162?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
3,education,LinkedIn,2318051514,Corporate Trainer - Flexible Office Homeoffice Remote,QS1ZD9nwRmSz/Grh/ynKIQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for an excellent Corporate Trainer to help employees cultivate their skills and knowledgeYou will provide complete training to share your expertise in ways that motivate othersA corporate trainer is an experienced educatorYour abilities to convey a message should only be surpassed by a deep knowledge of your fieldOrganizational skills and a positive attitude are important qualities that you have to possessThe goal is to promote efficiency and competitive advantage by developing the skills of personnelMonitor employee performance and response to trainingSupport and mentor new employeesConduct evaluations to identify areas of improvementPrepare educational material such as module summaries, videos etcLiaise with managers to determine training needs and schedule training sessionsCritical thinking and decision makingOrganizational and time management abilitiesWillingness to keep abreast of new techniques in corporate teachingProven experience as corporate trainerPhenomenal communication, presentation and public speaking skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318051514?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dae67e5b71cd6%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcadbeddaadd9badbgddbaadegdd9addffadd3aeccdcafec3ddcg3e&urlHash=U8_G&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/corporate-trainer-flexible-office-homeoffice-remote-at-talent-2318051514?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
4,education,LinkedIn,2319713504,Team Assistant,rJexJxaqTGi39owjW+u6BQ==,Una Collective,"Amsterdam, North Holland, Netherlands",['Civic & Social Organization'],"THE COMPANYUna Collective is a social enterprise that advocates for gender equality and inclusivity in the NetherlandsUna serves as a platform that fosters collaboration among women in business and culture Its a meeting point enabling disruptive dialogue among leaders and change makers, that grows womens social capital and lays a foundation for future generations to thrive",Part-time,,https://nl.linkedin.com/jobs/view/team-assistant-at-una-collective-2319713504?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
5,education,LinkedIn,2213581539,Customer Education Manager,VInZibJuQJa5Mgg9am9Q3w==,Miro,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Computer Software', 'Internet']","About The TeamBe one of the founding members of the Customer Education team at Miro Work closely with colleagues in customer success and customer support to improve the overall customer experienceIts an amazing time to be at Miro We are changing the way people collaborate but cant do it without enabling our users The Customer Education Manager has many responsibilities from researching topics, designing and building content, improving the learner experience, and enabling other teams to educate users on Miro Your role will be critical in supporting the education of Miros user base at scaleMiro is an online collaborative whiteboard platform that enables distributed teams to work effectively together, from running brainstorming sessions and workshops to planning projects, from designing new products and services to facilitating agile ceremonies With over 10 million users, Miro is trusted by Dell, Cisco, Salesforce, PWC, EY, Deloitte and many more global companies of all sizesAt Miro, we are a team of dreamers We look for individuals who dream big, work hard and above all stay humble Collaboration is at the heart of what we do and through our work together we hope to create a supportive, welcoming, and innovative environment We strive to play as a team to win the world and create a better version of ourselves everyday If this sounds like something that excites you, we want to hear from youCheck out our career page for all our open roles or hop onto this Miro board to learn more about us",Full-time,https://www.linkedin.com/jobs/view/externalApply/2213581539?url=https%3A%2F%2Fmiro%2Ecom%2Fcareers%2Fvacancy%2F%3Fgh_jid%3D4736544002&urlHash=zksJ&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-education-manager-at-miro-2213581539?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
6,education,LinkedIn,2318049953,Training Manager - Flexible Office Homeoffice Remote,dhn59wsATBOZaf8IkaWcYA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for an experienced training and development manager to devise our organizational training strategy, oversee its implementation and assess its outcomesYou will identify training and developmental needs and drive suitable training initiatives that build loyalty to the firmTraining managers work across many departments to get employees up to speed in both their specific vertical, and the overall needs of the companyTraining managers often have backgrounds in business, leadership, human resources, development and educationTraining manager Responsibilities include enhancing employees skills, performance, productivity and quality of workDraw an overall or individualized training and development plan that addresses needs and expectationsProvide opportunities for ongoing developmentConduct effective induction and orientation sessionsManage training budgetIdentify and assess future and current training needs through job analysis, career paths, annual performance appraisals and consultation with line managersTrack record in designing and executing successful training programsStrong writing and record keeping ability for reports and training manualsProven work experience as a training managerFamiliarity with traditional and modern training methodsGood computer and database skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318049953?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db39c665233da%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdddedd7aaddbddagddaaddbgddeadddfddd3aeccacffec3ddcg3e&urlHash=folV&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/training-manager-flexible-office-homeoffice-remote-at-talent-2318049953?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
7,education,LinkedIn,2303005124,Conference & Events Trainee,99/nVnqUT+qrAtkUv+oqbA==,Mvenpick Hotel Amsterdam City Centre,"Amsterdam, North Holland, Netherlands","['Events Services', 'Leisure, Travel & Tourism', 'Hospitality']","Algemene informatieWould you like to organize events for one of the largest conferences locations of Amsterdam Are you good at multitasking Are you able to exceed the wishes and expectations of guests Then we are looking for you as our new Conference  Events TraineeThe Sales  Marketing department consists of three sub departments Conference  Events, Proactive Sales and Marketing As Conference  Events Trainee you will support the Conference  Events departmentDan ontvangen wij graag je motivatie met CV Je kunt reageren via ons Sollicitatieformulier Website httpwwwmpamsterdamjobscom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303005124?url=https%3A%2F%2Fwww%2Ewerkenineenhotel%2Enl%2Fvacature%2Fadministratie%2Famsterdam%2Fnoord-holland%2F34542%2F%3Fprev%3D1&urlHash=GtkT&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/conference-events-trainee-at-m%C3%B6venpick-hotel-amsterdam-city-centre-2303005124?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
10,education,LinkedIn,2317468047,Inclusive Education Adviser in Rwanda,os9UFBAzRO2Shrb3tUibug==,VSO Nederland,"Utrecht, Utrecht, Netherlands",['Hospitality'],"Country Rwanda Application closing date Flexible Start date April 2021 if the situation allows it Duration 1224 Months Note that this position involves working across several districts of the country To travel to districts you would usually travel on local buses Travel within districts will usually be as a passenger on motorbike taxis Thousands of teachers around the world do not get the necessary training and support, and as a consequence pupils do not reach their full potential VSO is working to change this This program improves childrens foundational English and Mathematic skills across all government schools in one district and is part of the Building Learning Foundations program This program focuses on establishing solid foundations at the lower primary level in all of Rwandas statefunded primary schools Improvements in learner outcomes in the lower primary grades are intended to improve childrens learning achievement in higher grades and so increase equitable access to primary and secondary education for girls and boys across the country As a VSO volunteer, you will immerse yourself in a new culture, face fresh challenges and develop your expertise, and often also management skills while doing something truly fulfilling The local office or partners need will decide your exact job description Role overview The Teacher Educator will play a crucial role in VSOs teacher education project in Myanmar Based at an Education College, you will support teacher education reforms in Myanmar and build the capacity of local Teacher Educators TEs to deliver the new 4year preservice degree course The role will focus on inclusive teaching practices and, in particular, the access, participation and achievement of children with disabilities",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317468047?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiYmQ1YWI5NWEtODcyMy00ZjVhLTg3YmItZjE5NzdmM2M1ZGJlIn0%2ERfvIDaimAcRyh9AOEEYFF125--gNnm1DWQbhEgMLbtQ%26jid%3D35cf1ccc7f1bbcc812f420e7a32931365353fa6934398367b07e5242ec1217fe%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D567&urlHash=wxJn&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/inclusive-education-adviser-in-rwanda-at-vso-nederland-2317468047?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
11,education,LinkedIn,2282197125,Community Manager,bCujbKGBTgKji0Efkmuh4Q==,Netherlands eScience Center,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Research']","The Netherlands eScience Center is looking for an enthusiastic and experienced community manager Do you have experience in academic research as well as digital technologies Do you combine strong networking and organizational skills with a passion for developments such as open science and software sustainability In that case, apply soon, because we are looking for youAs Community Manager you are our link to the digital research communities, within but especially outside our organization You are pivotal in anchoring our organizations expertise and strategy in the research landscape You will maintain the Centers external relations, advise on organizational strategy and ensure that targets in this regard are achievedThe position requires active engagement with external research communities, including researchers and research support staff, both nationally and abroad As community manager you will be particularly involved in promoting and stimulating open science, with an emphasis on reusing and sustaining software You will foster knowledge dissemination by initiating a range of activities, such as the organisation of workshops on digital skills and open scienceThe successful candidate will haveWe are looking for someone who combines networking skills with organizational sensitivity, who is proficient in acquisition and influencing, and demonstrates initiative and creativity Good presentation and communication skills and the ability to function in a team are essential requirements Familiarity with the Dutch research policy landscape is an added value",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282197125?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4967334323021502384%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=sOLM&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/community-manager-at-netherlands-escience-center-2282197125?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
13,education,LinkedIn,2317458732,Community Manager,qwsHK46aQTCJu5lXYKsEjw==,Netherlands eScience Center,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"The Netherlands eScience Center is looking for an enthusiastic and experienced community manager Do you have experience in academic research as well as digital technologies Do you combine strong networking and organizational skills with a passion for developments such as open science and software sustainability In that case, apply soon, because we are looking for youThe positionAs Community Manager you are our link to the digital research communities, within but especially outside our organization You are pivotal in anchoring our organizations expertise and strategy in the research landscape You will maintain the Centers external relations, advise on organizational strategy and ensure that targets in this regard are achievedThe position requires active engagement with external research communities, including researchers and research support staff, both nationally and abroad As community manager you will be particularly involved in promoting and stimulating open science, with an emphasis on reusing and sustaining software You will foster knowledge dissemination by initiating a range of activities, such as the organisation of workshops on digital skills and open scienceMain activitiesSpecificationsThe successful candidate will haveConditions of employmentFixedterm contract One year, with a view to extend in case of satisfactory performanceOur offer to youEmployerThe is the national centre of expertise for innovative software solutions in academic research It aims to bridge the gap in knowledge and expertise between digital technologies on the one hand and scientific and scholarly inquiry on the other Bringing together knowledge, people and institutions, the eScience Center builds and applies software to enhance the use of digital technology in researchThe Center cooperates directly with public research organizations to support their strategic ambitions It does so comprehensively across all disciplines, encouraging collaboration on different levels among researchers, between digital competence centres, between institutions, and between public and private partners The eScience Center is committed to open science It maximizes the reuse of research software across disciplines and promotes its sustainability It serves the research community in the Netherlands and its ambition is to extend and intensify transnational and international networks of expertise",Part-time,https://www.linkedin.com/jobs/view/externalApply/2317458732?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fa4891ebf-ed83-4d09-8e2a-73023f243d21%3Fjid%3Dfd5893c8df001d2567a543003e1c946d467b933ad2d52e1131ec531cca15d0a0%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=_ics&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/community-manager-at-netherlands-escience-center-2317458732?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
14,education,LinkedIn,2298612688,Digital Editorial Operations Coordinator,nJM+nvptSLSWhbomN8DA0Q==,adidas,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Retail', 'Sporting Goods']","General PurposeAs the Assistant Manager  Editorial Operations at adidas you will play a central role in the creation of world class stories by coordinating the planning and execution of editorial content projects and initiatives across the adidas owned channel digital ecosystem com, email, adidas appThe Assistant Manager  Editorial Operations will have an innate passion for and understanding of branded editorial content, ideally with at least 3 years of relevant experience, as well as the excellent collaboration and communication skills required to deliver exceptional results in crossfunctional project teamsExperience in content creation, copyediting, SEO copywriting and content publishing is keyPublishing and updating",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298612688?url=https%3A%2F%2Fjobs%2Eadidas-group%2Ecom%2Fadidas%2Fjob%2FDigital-Editorial-Operations-Coordinator%2F632426301%2F%3FfeedId%3D301201%26utm_source%3Dj2w&urlHash=ZzW2&refId=16e30f52-40db-4530-8a24-40d8a055d1fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-editorial-operations-coordinator-at-adidas-2298612688?refId=16e30f52-40db-4530-8a24-40d8a055d1fd&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-19,2020-11-24
