,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Data Row,Tracking ID,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,educationalist,LinkedIn,2481214247,Domain Transfer Specialist | Amsterdam | DAN.COM,-1,"Zeist, Utrecht, Netherlands",-1,-1,"Vacature van DAN.COM, locatie Amsterdam.

Buying a domain name is needlessly complicated. And selling domains? Not much easier. So we started Dan! The no-nonsense domain trading platform. We’re on a mission to make domain name trading available to everyone. Easy, fast and secure. And, most importantly: transparently. Because we believe transparency is the key to a better domain world. That’s why we do what we say. And we say what we do.

Your role

As Domain Transfer Specialist you will play a key role at Dan. We act as a gateway performing risk assessments relating to customer identification and verification. Making sure there are no blockers in the transfer process and help our customers run their business effectively.

Our mission is to provide the highest quality of customer service with a sense of empathy and passion. We strive to exceed our customer's expectations by always thinking one step ahead when providing solutions. We guide and educate our users to grasp the value of the product and drive word of mouth.

In return, you’ll gain access to one of the most fun, open, and ambitious groups of people working in Amsterdam. We push each other to be our absolute best and are the kind of company that will make you feel happy getting out of bed every morning.

This role reports to the Compliance Officer and is located in beautiful Amsterdam.

What you’ll do
Performing risk assessments relating to customer identification and verification;Enable accurate and fast service delivery of domain requests and transfers;You’re the voice of the company, and interact in a friendly, professional, and personal way communicating with customers on the status quo.You act as the bridge between customers and the account management team.Be a power user of Dan and acquire a thorough understanding of our product and internal systems.Proactively ensure the stability of Dan’s major functions and systems in seamless collaboration with developers.Communicate with Product and cross-functional teams, analyzing the impact of transfer data, and making it easy to understand;
Your profile
1-3 years of experience in a customer support role in the tech industry. SaaS or domaining experience is a huge plus;Be fluent in English. Any other European or Asian language would be a huge advantage;Ability to troubleshoot problems, find answers to customer issues, and articulate complex solutions in written communication;Warranted analytical skills;Advanced experience in MS Excel and working with large data sets;You take initiative, and are not waiting for others to make things happen. You constantly advocate and challenge decisions. You keep track of your own time, manage and prioritize your daily work.Plus: Experience in working cross-functionally on a daily basis. Being the bridge that connects the users with the rest of internal teams (Brand, Product, etc);Plus: Able to bring dad-jokes to the table.

What We Offer
Top notch equipmentFree lunch and healthy snacks, every day. Yup, you read that right!Friday after-work drinks at the officeCompany and team outings (from dinners and paintball to gaming and movie nights — and everything in between)A game room for our Fifa tournamentsA team of (fast-)forward-thinking, talented and fun colleagues from all over the world!

5cd8a0b9cc68f9ffa4c9253553278a55",-1,-1,https://www.linkedin.com//jobs/view/2481214247/?eBP=NotAvailableFromMidTier&refId=K2eX08satGKYAOPq%2FSDX6g%3D%3D&trackingId=6XiIKsrSa4vaR0rYzEV06g%3D%3D&trk=flagship3_search_srp_jobs,2 days ago,2 days ago,2021-03-29,2021-04-01,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,educationalist,LinkedIn,2481036107,Client Success Consultant Spain,Virtuagym,"Zeist, Utrecht, Netherlands","['Information Technology & Services', 'Computer Software', 'Internet']","['Consulting', 'Information Technology', 'Sales']","Job Description

Virtuagym is one of the leading innovators in the digital health and fitness domain, offering a SaaS solution and 3 native iOS and Android apps to users worldwide. We serve 15+ million end-users, 30,000 trainers and more than 6,000 health clubs around the globe.

As a scale-up, we offer great freedom and autonomy to take ownership of projects and to develop your skills and experience with us. Our talented staff of 200+ is located in two offices: Amsterdam, NL, and Medellin, CO. We love to keep the company culture dynamic, informal and fun.

Constantly growing, we are looking for a new face to complement our Client Success team by representing our product for the Spanish market. Do you have fluent Spanish language skills and experience in managing client communication? Then join us in our quest to create a healthier and happier world!

How Life At Virtuagym Will Be

As Client Success Consultant, you will be a key player responsible for the growth and development of Virtuagym as well as establishing a strong connection with our customers. You will add to the process of engaging and motivating our clients to use our software and expanding our customer base every day.

Care, celebrating shared success and integrity are the most important values at Virtuagym and you will definitely have a chance to contribute to them. Every one of your days with us will be an opportunity to cultivate and evolve your personal and professional skills, as well as to raise awareness and make a major impact on a global scale. Here, at Virtuagym, we are not just colleagues, we are friends, willing to help, and support each other, so by joining us you become a part of an amiable and energetic team.

Some Of Your Key Tasks Will Be
 Efficient communication with customers via phone, chat or email Collecting calls on various issues and gathering feedback Ensuring customer satisfaction Creating content for our online Helpdesk 

Requirements

What you will bring to the team:
 Prior experience with managing client communication Strong written and verbal communication skills in Spanish (fluent) and English You know how to easily establish contact You feel comfortable working with a lot of freedom and autonomy, ready to take responsibility and are ready to thrive working remotely Practical, enthusiastic, persistent and result-driven Strong organization and time management skills and ability to think outside the box 
Bonus points for…
 Experience in working with B2B clients Affinity with fitness 

Here’s Why You Should Come Work With Us

Next to being inspired daily by talented and motivated colleagues and having plenty of opportunities for personal and professional growth, these are the main Virtuagym perks:
 You’ll be joining a diverse and international team made up of over 30 nationalities, working in an informal and fun environment We are remote-friendly, working from home is an option, but during COVID times we are fully remote We provide a full-time contract, 25 paid holidays per year (based on a full-time contract), 8% holiday allowance and a pension plan An opportunity for the dynamic career growth with a lot of support from the management team Stay healthy with our Health Program: we provide monthly contribution towards your gym subscription and a Friends & Family gym discount 

Are you ready to join us?

Please do not hesitate to apply by clicking the ‘Apply for this Job’ button below!

For any questions on the vacancy, please get in touch with the recruitment team at
 

 

          Seniority Level
        

          Associate
        




          Industry
        


              Information Technology & Services
            

              Computer Software
            

              Internet
            




        Employment Type
      

        Contract
      





          Job Functions
        


              Consulting
            

              Information Technology
            

              Sales",Contract,https://www.linkedin.com//company/virtuagym/life/,https://www.linkedin.com//jobs/view/2481036107/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=K2eX08satGKYAOPq%2FSDX6g%3D%3D&trackingId=Bj2cN32YZLZGQe0qJQ9MUQ%3D%3D&trk=flagship3_search_srp_jobs,2 days ago,2 days ago,2021-03-29,2021-04-01,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,educationalist,LinkedIn,2481072704,Scrum Master - IKEA Franchisor,IKEA,"Zeist, Utrecht, Netherlands","['Information Technology & Services', 'Education Management', 'Staffing & Recruiting']","['Engineering', 'Information Technology']","Company Description

You see things a little differently. So do we. We believe that what you value is more important than what your CV says. We offer positions that will challenge your skills and let you grow. Come see things a little differently with us.

The world is changing and the IKEA business is changing with it. For IKEA though, one thing will always remain the same ─ our vision to create a better everyday life for the many people.

We will strengthen and develop our competences in order to meet the needs and dreams of the many people around the world. And to be accessible and relevant, wherever and whenever they wish to meet IKEA.

About Inter IKEA Systems B.V.

Inter IKEA Systems B.V. (Core Business Franchise) owns the IKEA Concept and is the worldwide IKEA franchisor. We are specifically responsible for the IKEA strategic framework, ensuring the IKEA Concept is updated, relevant, implemented and followed-up – together with all IKEA trademark users.

How do we do this? By enabling people across the IKEA value chain, and creating unique content to develop the IKEA business. Here are some examples of our different assignments.
We develop solutions that will ensure a unique and successful meeting with IKEA customers.We lead the work around when and how IKEA expands in the world, enabling one common way of working with high impact at a low cost.We create the preconditions to strengthen the IKEA Culture and develop the right competence to meet customer and business needs.
An important part of our success is our unique culture and open working environment. Together, we create a workplace where everyone feels free to be themselves – to experiment, try new ways, and dare to ask, “What if…?” We believe in everyday personal growth and offer the opportunity to develop your career globally.

Read more about us at: https://about.ikea.com/

About business transformation and IKEA Consumer & Market Insights (ICMI)

In IKEA we continuously strive to improve how we work and meet our customers. We have started an exciting business transformation journey to create long term success for IKEA, together. We do this by building our digital capabilities, strengthening our connection with the IKEA value chain and creating a stronger franchise offer. This is a journey to deliver more, faster, and at a better quality - with happier customers, franchisees and co-workers as a result.

ICMI will play an important role in our business transformation journey, enabling us to try out in reality by learning & doing, step by step.

ICMI has the assignment to contribute to IKEA people making well founded decisions based on actionable and timely insights. ICMI delivers Consumer Insights, Strategy & Market Insights, and Brand & Range Insights. Each of these three areas develops and/or operates insight products to IKEA people across our value chain.

Job Description

We are looking for Scrum Masters to successfully contribute to one of our Insight products:
PulseCXStrategic market insights
As a Scrum Master you will be part of a product development team, facilitating it in the creation of insight products that enable stakeholders from the IKEA value chain and Franchise system in their job.

Qualifications

As a Scrum Master, you will
Be responsible for facilitation of the Product Team in their collaboration processes; Secure that key scrum events take place in an efficient manner and ensure active participation from team; Track data from historic sprints and visualise progress for the team and stakeholders; Track and manage team velocity; Identify and act on opportunities for continuous improvement of ways of working within your and across teams;Solve problems proactively and navigate past road blocks and obstacles to deliver agreed sprint and escalate whenever needed; Demonstrate the benefits of agile processes in the wider organisation and contribute to building agile capability, across Core Business Franchise; Support colleagues’ wellbeing, making sure team members are doing well emotionally and physically; You enjoy an agile and iterative, structured way of working and achieving results together with a team in a flexible environment; You have great communication and networking skills and are fluent in written and spoken English;You have extensive experience in agile development practices and ways of working - 5 years of relevant working experience and at least 3 years in similar or equivalent position.

Additional Information

A few more details for you

This is a full time role (40 hours per week) located in Delft, Netherlands or Malmo, Sweden. You will report to the Chapter Manager.

16th of April is the closing date to apply for this role. Please send your application – CV and motivation – in English and tell us why you would be a good fit. We look forward to hearing from you!

Please note that we are continuously interviewing candidates.
 

 

          Seniority Level
        

          Executive
        




          Industry
        


              Information Technology & Services
            

              Education Management
            

              Staffing & Recruiting
            




        Employment Type
      

        Full-time
      





          Job Functions
        


              Engineering
            

              Information Technology",Full-time,https://www.linkedin.com//company/ikea/life/,https://www.linkedin.com//jobs/view/2481072704/?eBP=NotAvailableFromMidTier&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=K2eX08satGKYAOPq%2FSDX6g%3D%3D&trackingId=eP%2Bnyezw%2FSHbgDoIo01GiQ%3D%3D&trk=flagship3_search_srp_jobs,3 days ago,3 days ago,2021-03-29,2021-04-01,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,educationalist,LinkedIn,2306181453,Medical Education/Communications Writer,PharmiWebJobs,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Biotechnology', 'Pharmaceuticals']",Marketing,"Our client an international Medcomms agency is seeking a Medical EducationCommunications Manager to develop, drive and deliver highquality, medical communication and education projects for healthcare professionals, focusing on delivering medically accurate and engaging content This is a 7 month contract",Contract,https://www.linkedin.com/jobs/view/externalApply/2306181453?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D850%26rx_jobId%3D1067701%26rx_url%3Dhttps%253A%252F%252Fwww%2Epharmiweb%2Ejobs%252Fjob%252F1067701%252Fmedical-education-communications-writer%252F%253FTrackID%253D10%2526utm_source%253Drecruitics%2526utm_medium%253Dprogrammatic%2526utm_campaign%253D2020-06%2526rx_c%253Dunited-kingdom%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253DLinkedIn%2526rx_ts%253D20201121T150003Z&urlHash=IlON&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medical-education-communications-writer-at-pharmiweb-jobs-2306181453?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,6.0,B6ccumZaTyqgtowPEhRZUQ==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,educationalist,LinkedIn,2317463957,Inclusive Quality Education (IQE) Practice Lead,Plan International,"Rotterdam, South Holland, Netherlands",['Hospitality'],Quality Assurance,"Since adopting our global strategy, 100 Million Reasons, our global work to advance childrens rights and equality for girls has had unprecedented impact We have been transforming our operations at the Global Hub to be the best possible partner for the 8,000 staff who work in our country offices, and working to become a more agile, efficient and accountable organizationWe have improved our mechanisms for collaboration, transparency and datagathering The transformation has also increased the number of decisions to be taken close to the point of impact and distributed power more widely throughout the organisationTo bring about lasting change, we have to live our values We are committed not simply to telling the world we are the go to organisation on girls rights, but to embedding justice and equality in all that we doWill you join usThe purpose of the IQE specialist area known internally as a Collaboration Hub is to support the provision in all contexts, of inclusive, quality education at preprimary, primary and secondary levels, for the most vulnerable and excluded children and youth, especially girlsYou will lead Plan Internationals gender transformative practice work within the IQE Collaboration Hub, developing evidence based holistic programme and influencing models and cultivating new and existing donors and partners You will share expertise and knowledge, internally and externally, to embed gender transformative policy and practice across the organisation in order to tackle the root causes of discrimination against girls, exclusion and vulnerabilityThe IndividualWith experience in international work environments in varied contexts you will have experience of developing programme and influencing models on IQE in humanitarian and development settings, advancing childrens rights or gender equalityYou will bring knowledge and expertise in rights based and gender transformative programming and influencing, design, monitoring  evaluation, learning and knowledge managementStrong communication, representational and interpersonal skills, the ability to work to a high standard, managing stress effectively whilst prioritising multiple tasks and competing deadlines will be essential in this role",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317463957?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F0518a9fc-87e8-40ab-b083-bec394299193%3Fjid%3Daf208be065f3f8c0b525f478e96b0c439378dccefcbd5438dd8d1641c699b07f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=fWxR&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/inclusive-quality-education-iqe-practice-lead-at-plan-international-2317463957?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,9.0,AkLO0I+sTNS/1yWhiA+F1w==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,educationalist,LinkedIn,2291400717,Medical Education/Communications Writer,EF Medical,"Nederland, Overijssel, Netherlands","['Publishing', 'Biotechnology', 'Pharmaceuticals']",Marketing,"Our client an international Medcomms agency is seeking a Medical EducationCommunications Manager to develop, drive and deliver highquality, medical communication and education projects for healthcare professionals, focusing on delivering medically accurate and engaging content This is a 7 month contract",Contract,https://www.linkedin.com/jobs/view/externalApply/2291400717?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F123060771489602384%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Ws7y&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medical-education-communications-writer-at-ef-medical-2291400717?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,10.0,GiLVGro3Q3GicdEz7c0HHg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,educationalist,LinkedIn,2294221345,Education Architect,"o9 Solutions, Inc","Amsterdam, North Holland, Netherlands",['Computer Software'],Supply Chain,"Organizations with superior decision making processes are better stewards of the earths precious resources, and are more inspiring, happier, places for employees Making it happen is our missionWho is o9",Full-time,,https://nl.linkedin.com/jobs/view/education-architect-at-o9-solutions-inc-2294221345?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,12.0,/QhcUElpSzeFIIRLeZ1y+Q==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,educationalist,LinkedIn,2269333198,Account Manager Education Solutions,Philips,"Eindhoven, North Brabant, Netherlands",['Hospital & Health Care'],Sales,"In this role, you have the opportunity toDrive the overall business strategy and the execution of Education solutions for the Benelux You will activate your network to connect with customers and our sales teams to ensure the estimation of business potential, pursue opportunities and conclude business deals to drive profitable growth in revenues for Philips You will work closely with the Business Marketing Managers, consultants and our external partner to build and activate powerful Education value propositions",Full-time,https://www.linkedin.com/jobs/view/externalApply/2269333198?url=https%3A%2F%2Fphilips%2Ewd3%2Emyworkdayjobs%2Ecom%2Fjobs-and-careers%2Fjob%2FEindhoven%2FManager-Education-Solutions_369721-1%2F%3Fsource%3DLinkedin%26source%3DLinkedin&urlHash=tpDo&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/account-manager-education-solutions-at-philips-2269333198?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,13.0,8X6HlIJ5S3G7a+BY+QUoTg==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,educationalist,LinkedIn,2306088540,Postdoc on Challenge Based Learning in Engineering Ethics Education - Eindhoven,Eindhoven University of Technology,"Eindhoven, North Brabant, Netherlands","['Higher Education', 'Computer Software', 'Research']",Research,"Job DescriptionThe Philosophy and Ethics department at the Faculty of Industrial Engineering and Innovation Sciences of the Eindhoven University of Technology TUe is seeking a post doc for a fulltime position Candidates will have earned a PhD in philosophy or other relevant fields by the date of application and demonstrate evidence of excellence in teaching coordination, teaching, and researchThe candidate is expected to support redesign of a course sequence entitled Decisions under risk and uncertainty in TUes UserSocietyEnterprise USE program as well as support the learning network of partners in the SCALINGS H2020 project, to contribute to teaching, and to perform research on challengebased learning in engineering ethics educationTUe is currently developing a challengebased learning approach for parts of its education In this educational approach, external stakeholders bring in a reallife problem with technical, user, societal and entrepreneurial aspects In the at the Bachelor level, students are expected to come up with a technical solution for the external stakeholder and reflect on how disciplines in humanities and social sciences have contributed to this solution Teaching and administration at TUe take place in EnglishIn the H2020 project SCALINGS on scaling up cocreations of innovation, six partners of the SCALINGS consortium are currently implementing challengebased learning in philosophy , STS or management coursesThe TUe is an equal opportunity employer We welcome candidates with a wide variety of backgrounds and perspectives As we aim to increase the diversity in our department and in the field of philosophy, we especially encourage candidates from underrepresented groups to apply",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306088540?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6f46b6622fe1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacada8ddc7ddaaade7ddabddagddeaddefada3aebcdcffec3ddcg3e&urlHash=6Y-i&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/postdoc-on-challenge-based-learning-in-engineering-ethics-education-eindhoven-at-technische-universiteit-eindhoven-2306088540?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,15.0,DqmqyYXTRC6yBar7uzpUFw==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,educationalist,LinkedIn,2317626947,Postdoc on Challenge Based Learning in Engineering Ethics Education,Eindhoven University of Technology,"Nederland, Overijssel, Netherlands",['Higher Education'],Research,"The Philosophy and Ethics department at the Faculty of Industrial Engineering and Innovation Sciences of the Eindhoven University of Technology TUe is seeking a post doc for a fulltime position Candidates will have earned a PhD in philosophy or other relevant fields by the date of application and demonstrate evidence of excellence in teaching coordination, teaching, and researchThe candidate is expected to support redesign of a course sequence entitled Decisions under risk and uncertainty in TUes UserSocietyEnterprise USE program as well as support the learning network of partners in the SCALINGS H2020 project, to contribute to teaching, and to perform research on challengebased learning in engineering ethics educationTUe is currently developing a challengebased learning approach for parts of its education In this educational approach, external stakeholders bring in a reallife problem with technical, user, societal and entrepreneurial aspects In the USE program at the Bachelor level, students are expected to come up with a technical solution for the external stakeholder and reflect on how disciplines in humanities and social sciences have contributed to this solution Teaching and administration at TUe take place in EnglishIn the H2020 project SCALINGS on scaling up cocreations of innovation, six partners of the SCALINGS consortium are currently implementing challengebased learning in philosophy see 2 min video example here, STS or management coursesThe TUe is an equal opportunity employer We welcome candidates with a wide variety of backgrounds and perspectives As we aim to increase the diversity in our department and in the field of philosophy, we especially encourage candidates from underrepresented groups to applyTasks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317626947?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fcf1d5681-f081-4766-af7b-d83e0150eb9e%3Fjid%3Deca84c6d5aa8c1f5a4c042a44e5199977c3a224307cfbe5df59b4b105aebe025%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D567&urlHash=RzH8&refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/postdoc-on-challenge-based-learning-in-engineering-ethics-education-at-technische-universiteit-eindhoven-2317626947?refId=ab98f36e-d74f-48cc-82bb-6189f0d5174b&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-19,2020-11-22,en,16.0,W+wheeVDRgG5UBCRXuUKgQ==,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
