,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Language,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,5,electrical engineer,LinkedIn,2313285069,Lead Electrical Engineer,PdKNC0GDS4P0ZXmUXp0Z8w==,Worley,"Meerssen, Limburg, Netherlands","['Construction', 'Civil Engineering', 'Human Resources']",Engineering,"At the end of April 2019, WorleyParsons combined with Jacobs Energy, Chemicals and Resources ECR division, to create Worley, , Together, we are a leading global provider of professional project and asset services in the energy, chemicals and resources sectors",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313285069?url=https%3A%2F%2Fworleyparsons%2Etaleo%2Enet%2Fcareersection%2Fext%2Fjobdetail%2Eftl%3Fjob%3DMEE000I%26src%3D210200%26src%3DSNS-10126&urlHash=E6zq&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-worley-2313285069?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=PdKNC0GDS4P0ZXmUXp0Z8w%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
1,8,electrical engineer,LinkedIn,2238576659,Lead Electrical Engineer,1WC0Th9eE8FcqZa1wBfWzA==,Middle Point,"South Holland, Netherlands","['Staffing and Recruiting', 'Maritime', 'Shipbuilding']",energy supply,"Job objective, Are you an Electrical Engineer with top skills in Contract Management Does your career include a minimum of 10 years of experience in the shipbuilding and naval industries If your brain screams yes, please keep on reading ,  ",Full-time,,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-middle-point-2238576659?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=1WC0Th9eE8FcqZa1wBfWzA%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,1,0,0,1,0,en,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
2,9,electrical engineer,LinkedIn,2308351151,Lead Electrical Engineer,Tjgo6BngsKM53YlDc6wiig==,Focus Engineering BV,"Rotterdam, South Holland, Netherlands",['Industrial Automation'],Engineering,"Focus Engineering is currently looking for a Lead Electrical Engineer for an internal engineering firm at a plantowner active in the petrochemical industry in the region Rotterdam, , This concerns a permanent employment vacancy",Full-time,,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-focus-engineering-b-v-2308351151?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=Tjgo6BngsKM53YlDc6wiig%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
3,10,electrical engineer,LinkedIn,2314371516,Lead Electrical Engineer,jfD49yno+FMeXxp7aNAexA==,Worley,"Meerssen, Limburg, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Machinery', 'Mechanical or Industrial Engineering']",Engineering,"At the end of April 2019, WorleyParsons combined with Jacobs Energy, Chemicals and Resources ECR division, to create Worley , , ,  , Together, we are a leading global provider of professional project and asset services in the energy, chemicals and resources sectors  We have almost 60,000 amazing people in around 60 countries across the world covering the full lifecycle, from creating new assets to sustaining and enhancing operating assets for our customers, ,  , Our exciting combination will create new opportunities for you to join us The transition will take time, so in the shortterm you may see references to our heritage companies in your application process,  , Visit wwwworleycom to explore our success, expertise and global reach,  , Lead Electrical Engineer, The role of the Electrical Lead Engineer is a key Leadership role, being responsible for the day to day supervision and coordination of Electrical Engineering and Design team assigned to one or more projects Part of this role would be global integrated delivery coordination which is mostly executed with the Worley offices in Mumbai, India, The Lead Electrical Engineer reports functionally to the Department Manager and operationally to one or more Project Managers Input and leadership will be delivered in the conceptual design, project specifications, FEED, basic engineering, extended basic and detailed design phases , We are seeking talented Lead Electrical Engineers with experience in leading small, middle and large scale projects TIC of EUR to 100m in the downstream refinery and chemicalpetrochemical markets  Candidates who show superior leadership skills in a complex multioffice environment with an ability to provide innovative solutions to clients is our objective Conceptual, FEED and EPC  EPCm experience are all desirable  , Key requirements for a Lead Electrical Engineer,     You have excellent Leadership skills in Electrical Engineering with ability to handle complex multioffice projects,     You have a proven track record in handling large teams 5 of electrical engineers structured and spread across 2 or 3 offices,     You carry the responsibility for the project success and providing strong  direction for the team,     You are experienced in managing the work, managing the financial aspects of the electrical discipline, including the workhour estimates and margin goals,     You have excellent communication and coordination skills both verbal and written,     You are flexible to travel ,     You have a good understanding of Project business cases and reflect this in the work environment such as productivity, schedule, workhour control, innovation etc,     You have been involved in development and implementation of activities such as the latest technology and methods to improve efficiency, accuracy and productivity for the department,     You take personal responsibility for safety and a healthy environment on the projects, which you demonstrate by example,     You are able to work as an efficient team with project management and other disciplines, both within our company and that of the client,     You have been responsible for ensuring that the DeptDisciplines quality management system is followed taking into account any special contractual requirements, , Following are the key responsibilities,     Manage proper and timely execution of projects,     Lead large Electrical Engineering teams, in a multioffice environment,     Define the discipline scope andor project proposals, including the required resources,     Responsible for cost, schedule, material quantity and budget control and management of change,     Ensure all electrical documents are issued,     Ensure effective communications with other engineering disciplines, project management and Client teams,     Contribute in people development eg coach junior engineers,     Produce proposals for projects which involve man hour and schedule estimates related to the Electrical scope of work,     Add value plusoptimization ideas,     Developmental activities like preparation of work instructions  procedures  guidelines,  , , , , , ,  ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314371516?url=https%3A%2F%2Fworleyparsons%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3DMEE000I&urlHash=J322&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-worley-2314371516?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=jfD49yno%2BFMeXxp7aNAexA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
4,13,electrical engineer,LinkedIn,2311423155,Electrical CAD Design Engineer,zg0/SseR0rlQv0g1RM5a3Q==,ASML,"Veldhoven, North Brabant, Netherlands","['Mechanical or Industrial Engineering', 'Nanotechnology', 'Semiconductors']",Engineering,"Introduction, As Electrical CAD Design Engineer internally referred to as Electro Mechanical Engineer at ASML youll join the electrical design team and participate in different design projects involving CAD work Thanks to your background in electrical engineering and experience in making 2D  3D designs you are able to offer electromechanical solutions for ASMLs Lithography machines, , Your mission is to define, realize, manage and maintain various electronics concepts and products for both existing and new ASML products Next to that you are dedicated to secure the quality of electromechanical designs and components This includes products like connectors, cabinets, cables, racks, cabinets, boxes with electronics, connection boxes, connection plates, back panels, rear panels and controller PCBs, , , , Electrical CAD Design Engineer are responsible for the following, , , , , Secondary vocational education in electrical engineering or similar Dutch MBO4 education with HBO thinking and acting attitude, , , , 5 year experience as electromechanical designer, including experience with multidisciplinary module design eg wiring harnesses and sheet metal, Interest in 3D and 2D CAD design of complex products, preferably experience with 3D and 2D CAD in Siemens NX, Technical knowledge of mechanical concepts, wiring concepts and connectivity concepts, , , , , , , The sector Development  Engineering DE of ASML is responsible for the specification, design, and realization of the products in the ASML portfolio Within the sector DE, the department Electronic Development EL is responsible for the definition, realization, and qualification of electronic functions and modules of these products, , , , Please know that several of our electrical development groups are expanding After receiving your application we will look at your profile and see if we can match it with existing positions We willcontact you as soon as there is a suitable opportunity, , ASML creates the conditions that enable you to realize your full potential We provide stateoftheart facilities, opportunities to develop your talents, international career opportunities, a stimulating and inspiring environment, and most of all, the commitment of a company that recognizes and rewards outstanding performance, , Please add your recent CV and motivation letter to your application for this position, , Our selection process includes an online Talent Exploration that gathers information about your key drivers, your personal values, motivators and career ambitions The Talent Exploration enables both you and us to explore if there is a mutual match  not only for today, but also for your future career at ASML",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311423155?url=https%3A%2F%2Fwww%2Easml%2Ecom%2Fen%2Fcareers%2Ffind-your-job%2F1%2F5%2F0%2Felectrical-cad-design-engineer-req15006%3Fppc%3DJBP-181&urlHash=Vph_&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/electrical-cad-design-engineer-at-asml-2311423155?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=zg0%2FSseR0rlQv0g1RM5a3Q%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
5,15,electrical engineer,LinkedIn,2328653463,Lead Electrical Engineer - Meerssen,TbtDrvZUhy5OXF0XUJUZqQ==,Worley,"Meerssen, Limburg, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Oil & Energy']",Engineering,"At the end of April 2019, WorleyParsons combined with Jacobs Energy, Chemicals and Resources ECR division, to create Worley Together, we are a leading global provider of professional project and asset services in the energy, chemicals and resources sectors We have almost 60,000 amazing people in around 60 countries across the world covering the full lifecycle, from creating new assets to sustaining and enhancing operating assets for our customers",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328653463?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D5b32db447072%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcadeadddcddecadc8adeaddcgddcadd9fddg3de9cdcefec3ddcg3e&urlHash=jr1K&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-meerssen-at-worley-2328653463?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=TbtDrvZUhy5OXF0XUJUZqQ%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
6,16,electrical engineer,LinkedIn,2256143574,Lead Electrical Engineer,x8D4kPV6aKSUGXA6hKLhIA==,Oceaneering,"Utrecht, Utrecht, Netherlands","['Construction', 'Information Technology and Services', 'Oil & Energy']",Engineering,"Company Profile, , Oceaneering is a global provider of engineered services and products, primarily to the offshore energy industry We develop products and services for use throughout the lifecycle of an offshore oilfield, from drilling to decommissioning We operate the worlds premier fleet of work class ROVs Additionally, we are a leader in offshore oilfield maintenance services, umbilicals, subsea hardware, and tooling We also use applied technology expertise to serve the defense, entertainment, material handling, aerospace, science, and renewable energy industries, , Oceaneering AGV Systems, an Oceaneering International Company, develops, implements and markets Automated Guided Vehicle Systems AGVs, navigation hardware, and software We offer customized and automated transport solutions to efficiently, competitively and effectively meet the everincreasing transport demands of various industries by increasing productivity, reliability, flexibility and safety standards through innovation, expertise and robustness Oceaneering AGV Systems has been delivering automatic guided vehicle solutions to the worlds leading companies for 30 years, , For more information please go to wwwoceaneeringcom and click on Products  Services, then click Automated Guided Vehicles AGVs, , , , The Lead Engineer applies an advanced knowledge of engineering fundamentals to the divisions engineering and design activities and provides work leadership to lower level employees The Lead Engineer interacts with all OASYS departments as necessary to provide engineering support to projects, integration, and test activities, , , , , , , , , , , , , , , , , , , DESIRED",Full-time,https://www.linkedin.com/jobs/view/externalApply/2256143574?url=https%3A%2F%2Fcareers%2Eoceaneering%2Ecom%2Fglobal%2Fen%2Fjob%2FOCINGLOBAL1164&urlHash=3O7h&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-oceaneering-2256143574?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=x8D4kPV6aKSUGXA6hKLhIA%3D%3D&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
7,18,electrical engineer,LinkedIn,2303016596,Electrical Design Engineer (Altium),PuM6vCC5RJlOV+WJi6bhWQ==,Trinamics,"Amsterdam, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Information Technology and Services', 'Computer Software']",Engineering,"Introduction, , Our client is a innovative and growing company, they make battery packs cleaner by fully utilising the full value of lithium celltechnology, by producing better packs and by developing smarter cellmanagement allowing cell reuse, resulting in a lower total cost of ownership for there customer, , What you are going to do In the role of Embedded Design Engineer, you will work on design of the battery management system, you will test new products and you will work closely with the senior engineers, , Function, , As a Junior Embedded Design Engineer you will improve, develop and implements tests for the production environment You will have a focus on Hardware Firmware Design To make sure you make the right adjustment you will work closely in a team with several engineers, , , , BSc MSc PhD Electrical Engineering or equivalent, Hardware Design in Altium is a must, Experiences with ISO26262 is a big plus, Firmware Development in C is a plus, Experience with Microcontrollers, MOSFETs, power designs, CAN is a Plus, Software design in Python is a plus, 05 years of experience, , Offer, , A competitive salary based on your experience and education, Good secondary conditions such as 25 holidays, Flexible work hours and 8 holiday allowance, Courses to develop yourself professionally and personally, Discount on your healthcare and referral bonusses, Nice yearly events with the Trinamics team, , Information, , Send your resume and introduction to azijlmanstrinamicsnl or call me 076 548 73 73ask for Anne, , Application, , Anne Zijlmans 0765487373",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303016596?url=http%3A%2F%2Ftrinamics%2Ecarerix%2Ecom%2Fcxportal%2Fjobdetails%2F7915%2FAmsterdam-Area%2FElectrical-Design-Engineer-%28Altium%29%2Ehtml&urlHash=C3v0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/electrical-design-engineer-altium-at-trinamics-2303016596?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=PuM6vCC5RJlOV%2BWJi6bhWQ%3D%3D&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
8,23,electrical engineer,LinkedIn,2307814311,Lead Electrical Engineer,VCVjgxNzHEG/9jQ9KFSt/Q==,Leap29,"Amsterdam, North Holland, Netherlands",['Oil & Energy'],Engineering,"Role Lead Electrical Engineer, Location Amsterdam area, Duration 12 months contract to permanent, , What makes this function special, , , To help Leap29 find you that perfect job, we need to store and process your personal information, That means that your details will be entered into Leap29s database and our consultants may contact you from time to time with relevant job opportunities, By applying youre confirming youre happy for us to do that, , Oil and Gas",Contract,https://www.linkedin.com/jobs/view/externalApply/2307814311?url=https%3A%2F%2Fwww%2Eleap29%2Ecom%2Fjobs%2FL7J2r%2Flead-electrical-engineer-amsterdam-netherlands-netherlands-europe%3Futm_source%3Dlijw&urlHash=6Msr&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-leap29-2307814311?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=VCVjgxNzHEG%2F9jQ9KFSt%2FQ%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
9,56,electrical engineer,LinkedIn,2207438750,Electrical Lead Engineer Data Centres,2QmmOB91NrO5L6xJHJdrQA==,Royal HaskoningDHV,"Nijmegen, Gelderland, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']",Engineering,"As an Electrical Lead Engineer you must prove yourself to some of the most demanding customers in the world Beyond the standard features of a building, a data centre requires more of your knowledge and skills You will design and work on power supplies of 5 volts DC to 150 kV substations and all distribution, storage, redundancy and uninterruptible power supplies thereby apply In addition, you ensure maximum security of a data centre by working on the most effective and inventive installations related to fire protection, intrusion protection and access control Our Brown Field Services team is always working in a live Data Centre, Risk management, execute assessments, Testing and Commissioning protocols belong to your daily work Do you see this as the challenge that you have always been looking for, , Your role, , , , , You want to meet this challenge, so we expect that you meet the following conditions, , , , , At Royal HaskoningDHV we offer a great working atmosphere in which organizational and personal development take central stage Our assessment and rewarding will always be based on your personal competences We offer a wide range of personal development courses Furthermore youll receive an excellent package of flexible terms of employment, , , , For more information, please, contact Mirjam Boer, lead recruiter  email protected ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2207438750?url=https%3A%2F%2Fwww%2Eroyalhaskoningdhv%2Ecom%2Fnl-nl%2Fnederland%2Fwerken-bij%2Fvacatures%2Felectrical-lead-engineer-data-centres%2F9573&urlHash=He3e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/electrical-lead-engineer-data-centres-at-royal-haskoningdhv-2207438750?refId=fcd2fea3-1718-40b0-9288-5fe55bedf1b5&trackingId=2QmmOB91NrO5L6xJHJdrQA%3D%3D&position=6&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01,No,No,0,0,0,0,0,0,en,,,,,,,,,
