,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,12,electrotechnical engineer,LinkedIn,2320842117,Defectivity Engineer,zczaaXOlTo6wflC/oLUgig==,Hays,"Nijmegen, Gelderland, Netherlands",['Semiconductors'],Engineering,"Position Defectivity Engineer, Location Nijmegen, Fulltime40h per week, Longterm opportunity, initially 1 year contract",Full-time,,https://nl.linkedin.com/jobs/view/defectivity-engineer-at-hays-2320842117?refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,15,electrotechnical engineer,LinkedIn,2304647356,PLC Engineer,qxJdOiTlQyqt+J+LCNwOEA==,Technix,"Eindhoven, North Brabant, Netherlands","['Industrial Automation', 'Machinery', 'Electrical/', 'Electronic Manufacturing']",Design,"As a PLC engineer you are responsible for developing PLC controls software, Siemens S7 and Tia Portal for machines and machine lines You do this in close cooperation with colleagues from the mechanical and electrical departments After the software is programmed you test it and eventually put it into operation at the customers location, which can be anywhere in the world Because you will frequently visit the customer onsite, it is important that you are open to international travel",Full-time,,https://nl.linkedin.com/jobs/view/plc-engineer-at-technix-2304647356?refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,17,electrotechnical engineer,LinkedIn,2324562416,ING is looking for a thesis intern passionate about Advanced Analytics & Data Science,kW7X4BDjT7GIiNGxCSTBzw==,ING Nederland,"Amsterdam, North Holland, Netherlands","['Banking', 'Financial Services']",Information Technology,"Think Forward Our purpose is to empower people to stay a step ahead in life and in business We are an industry recognized strong brand with positive recognition from customers in many countries, a strong financial position, Omnichannel distribution strategy and international network If you want to work at a place where we believe that you can make the difference by using machine learning to generate data driven products and solve the most pressing business challenges, please read on, , We are incredibly excited about and the great potential for progress and innovation We believe that analytics is a key differentiator in bringing anytime, anywhere, personalized services to our customers We wish to improve our operational processes and create new and innovative data driven products that go beyond traditional banking, such as the platform models Achieving this vision will require us to build and expand on our analytics effort and organize ourselves around focused value buckets with strong coordination capabilities of data, technology, customer journey, UX, as well as external partnerships, , , , People Analytics is a young, international, and fastmoving team with the mission to make all people related decisions in ING datadriven, a fun environment where there is lots of opportunities to develop yourself We are jointly part of and which is a new unit responsible for realizing this vision for ING, differentiating ING as a leader in datadriven organization, within the banking sector and beyond, , , , You will be part of and you will be coached by a senior data scientist People Analytics offers a lot of opportunities please see below for a that might inspire you to choose a topic that speaks to your heart and has an impact for ING, , , For further inquiries, please contact at EhsanMehdad1ingcom, We are looking forward to getting to know you, , , , , , is a rapidly developing branch of machine learning Some of the recent mindblowing achievements in AI are a result of the exponential growth made in deep reinforcement learning While deep reinforcement learning is a new development in the world of artificial intelligence, and still mainly considered a research topic, has been in daily practical use for decades It has a very mature community with a vast body of realworld examples Common practice in the simulation community is to take simulation models, run experiments Optimization, Monte Carlo, parameter variation, etc and use the outputs to make better decisions about a models realworld counterpart With this approach, a human is needed to experiment with the simulation model and get information from it, read here  We in the people analytics team are interested to see how we can use deep reinforcement learning techniques to find the best scenario in the which uses a simulation model for the dynamics of internal workforce supply hire, stay, move, promote, leave, and retire, , , , In people analytics we are interested to apply insights and methodologies to bring employees voice to the senior management and make the followup decisions fact driven One of the most exciting areas we want to work on is the usage of together with the  Causal inference is a category of statistical methods that is commonly used in behavioural science research to understand the causes behind the results we see from experiments or observations, read here  In our squad, we are exploring the use of experiments, games, and surveys to take employees pulse on different matters We are interested to see how causal inference may explain the whys in the experiments that we will run, , , show real benefits in many domain of NLP, specific example are Named Entity Recognition, Entity Linking, Relation Extraction, and Relation Linking, see here  We are particularly interested in neural approaches that allow to build knowledge graphs from sources We have many scattered data silos mainly unstructured text, examples are resumes, profiles, IT tickets, forums, learning portal, etc in and out of the bank which can provides a of banks employees, the linkage of these scattered sources into a graph structure will breaks the silos and significantly improves the in the bank",Internship,https://www.linkedin.com/jobs/view/externalApply/2324562416?url=https%3A%2F%2Fwww%2Eing%2Ejobs%2Fnederland%2Fvacatures%2Fvacature%2FING-is-looking-for-a-thesis-intern-passionate-about-Advanced-Analytics-Data-Science-1%2Ehtm%3Forg%3Dsearchresult%26Src%3DLinkedIn&urlHash=h3Zt&refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ing-is-looking-for-a-thesis-intern-passionate-about-advanced-analytics-data-science-at-ing-nederland-2324562416?refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,22,electrotechnical engineer,LinkedIn,2307283591,PLC Engineer,462U/+75SxqTsXigZ/RtUw==,Orion Engineering  Careers in Technology,"Eindhoven, North Brabant, Netherlands","['Industrial Automation', 'Machinery', 'Electrical/', 'Electronic Manufacturing']",Engineering,"PLC Engineer, Do you have a Bachelors or Masters degree and looking for a new or a first job, , Why Orion Engineering",Full-time,,https://nl.linkedin.com/jobs/view/plc-engineer-at-orion-engineering-careers-in-technology-2307283591?refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,25,electrotechnical engineer,LinkedIn,2304660313,OR Engineer,lDs6nCCHSVuffj9d2Hhivg==,ORTEC  Optimize Your World,"Zoetermeer, South Holland, Netherlands",['Information Technology and Services'],Information Technology,"As an Operations Research Engineer at ORTEC you will get the chance to improve our complex software solutions, , The role of Operations Research Engineer includes a unique combination of mathematics and software engineering, and has interaction with customers to figure out what the problem is, translating it to requirements and implementing a solution Because we deliver complex solutions, you will face many different types of technical issues You often work on a couple of projects at the same time, giving a lot of variation and ample learning opportunities For each project, you work in small teams consisting of architects, testers and engineers You help fixing bugs, carry out maintenance activities, implement our algorithmic ideas and think about improvements of the algorithms in our software solutions",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304660313?url=https%3A%2F%2Fresourcemanagerplatinum-16a9d036961%2Esecure%2Eforce%2Ecom%2Fcxsrec__cxsApplyFormExample%3FpositionId%3Da0w2p000007dJwj&urlHash=GWpn&refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/or-engineer-at-ortec-optimize-your-world-2304660313?refId=6cae0bdf-a7eb-4807-a13a-59fd86d552fc&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,37,electrotechnical engineer,LinkedIn,2317079918,Engineer P&ID,7gVhww5NSlK3JSHdBJMcLQ==,Chain Technical Professionals,"Rotterdam, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Industrial Automation', 'Mechanical or Industrial Engineering']",Engineering,"Experienced Engineer with knowledge of diagrams  PIDs in the field of shipbuilding For several projects Chain Technical Professionals is looking for you, , Wat ga je doen, , As our specialist, you will become responsible for the engineering of a variety of piping systems on board of ships or offshore assets, , , , Wat vragen wij van jou, , , Arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317079918?url=https%3A%2F%2Fwww%2Echain%2Enl%2Fvacature%2Fengineer-p-id-1908&urlHash=W2ox&refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-p-id-at-chain-technical-professionals-2317079918?refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&position=12&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,40,electrotechnical engineer,LinkedIn,2317728415,Interop Engineer,/5vAoFOIRPSdn42LpbHLyA==,ABB,"Delft, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing']",energy supply,"A chaotic field of work In which what you are building today is out of date tomorrow Many dont have to think about it You, as an interop engineer, are perfectly at ease here Because improving our charging systems and the associated tests requires the utmost of your creative and technical skills Nice tinkering and still paid too, , What are you going to do at ABB, It will come as no surprise to you that at ABB we test our complex charging systems through and through But what really made us big is that we continually improve product and testing As an interop engineer, you play an important role in this Which gives you the foundation of ever better and faster chargers for any electric vehicle in the world, A world that is constantly changing A world that is constantly changing A world that constantly demands new standards standards that you write The focus is either on developing tests in the laboratory or on research and analysis in the field, In the first case, you mainly focus on automation and robotics, writing software, building hardware In the second case, look over the customers shoulder how do you make sure that the charger and vehicle are even more connected, what can and will you improve, , In summary, you are responsible for, , You will be reporting to the Global RD Interoperability Manager, , Who are we, ABB is a global company Leader in electricity transmission and distribution, process and production automation and electrical, electronic and installation products and systems We are at the forefront of innovation, following trends and thinking along with our customers We have brought together 150,000 people working together in more than 100 countries around the world, You will strengthen our Electric Vehicle Charging department Our goal is to lay the foundation for the future of smarter, reliable and emissionfree mobility We do this from our brand new StateoftheArt office in Delft, a modern and hightech building designed to carry out various tests for electric charging systems We are also active abroad, think of Poland, Italy, China and America, , Your team, The very close Global Interop team at our Delft facility currently consists of 5 employees All as smart as driven And determined to make each other better Sharing knowledge is a condition number 1 The fact that we are thus at the heart of many innovations that other departments of ABB can do further will certainly appeal to you as an interop engineer, , Who are you, One of your future colleagues described it as follows We are looking for people who, like us, were already tinkering with devices in attic rooms as children Taking them apart, putting them together, sometimes things went wrong, then you became even more fanatic So that includes outofthebox thinking Resolutely step up to others when you need their knowledge, experience or help And the attitude of the true pioneer together we make history, , Besides that, you have, , , What does ABB have to offer you, A versatile and varied fulltime job of 40 hours within an international concern ABB is happy to invest in your development We offer you education, training and career opportunities, , We also offer you a, , , Are you interested in this vacancy, Then dont wait any longer and react immediately Register your CV and apply online at wwwabbnl by clicking on Werken bij ABB Working at ABB The application procedure consists of 2 rounds of interviews, , For questions you can contact Jacqueline Pereboom, corporate recruiter, via 010  407 82 14 or sollnlabbcom, Smart Power",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317728415?url=https%3A%2F%2Fjobs%2Eabb%2Ecom%2Fjobsearch%2Findex%2Ehtml%3Fsource_info%3DLinkedIn%23%2Fposting%2FNL76508237_E1&urlHash=FV2t&refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/interop-engineer-at-abb-2317728415?refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&position=15&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
7,42,electrotechnical engineer,LinkedIn,2308352069,PowerPlatform Engineer,AGGqKA30Qy64Sq4hOz5OAA==,Rabobank,"Utrecht, Utrecht, Netherlands",['Banking'],Information Technology,"Imagine, Imagine that you as a PowerPlatform Engineer boost the digital transformation within Rabobank That you make an impact on the way our customers perceive the services we render at Rabobank You make it possible to give our customers a 9 experience Which today highly depends on our online presence, , , , Rabobank is in constant motion Some time ago the Rabobank Netherlands and Rabobank International WR have been merged Besides a huge organizational changes this also implies bringing two completely separate IT worlds together Automating business process as well as the movement towards the cloud is an important enabler optimizing business process, achieve cost reduction, implement enhanced security and compliance features and many more, , , , The DevOps team BAPPS operates within IT Infra in the department Workplace Services  Collaboration  Productivity  RaboHub and Business Apps, , The Business Apps team aka BAPPS is responsible for the operations, communications and development of the Global Microsoft PowerPlatform, , We provide these services to all bank employees in all regions of the world In total, this involves about 40,000 employees, , , , The team you will be working for is BAPPS and consists of 14 professionals 1 Product Owner, 1 Scrum Master, 1 Business Analyst, 7 full time engineers, and 4 parttime engineers, , We work according to Agile Scrum method and maintain a 3 week sprint frequency All scrum ceremonies are done in English, , We have an endtoend responsibility for the applications we deliver and the hardware they operate on Part of our apps are being migrated to Office 365, , Some apps still remain on premise and are more complex In the near future we are aiming to setup an Azure Application environment and migrated these apps to the cloud as well, , , Your technology stack consists of, , , , NicetoHaves, , , , , Youll already be aware that Rabobank is a financial services provider for 71 million customers in 40 countries But did you know that we aim to contribute to real change with our Growing a better world together mission We do so in countless ways, such as, , , , , Do you want to become the ideal version of yourself We would love to help you achieve this by focusing firmly on your growth, development, and investing in an environment where you keep learning every day We give you the space to innovate and initiate In this way, we offer you numerous opportunities to grow and help you exceed your expectations, to do the right thing exceptionally well, and to therefore grow as a professional In addition, with us on the basis of a 36hour working week, you can also expect, , , , , , , Are you the person were looking for Are you ready to join Rabobank as a PowerPlatform Engineer and to make a difference to yourself, our customers and to society We look forward to receiving your application for this vacancy in Utrecht, , Good to know",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308352069?url=https%3A%2F%2Frabobank%2Ejobs%2Fen%2Fjob%2Fpowerplatform-engineer%2FJR_00036176%2F%3Futm_source%3Dlinkedin%26utm_medium%3Djob_slot%26utm_content%3DJR_00036176%23application-procedure&urlHash=0mSs&refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/powerplatform-engineer-at-rabobank-2308352069?refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&position=17&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,43,electrotechnical engineer,LinkedIn,2220501701,Designated Engineer,ksjhTVUsS1WzqSMdLLfAaA==,Palo Alto Networks,"Amsterdam, North Holland, Netherlands",['Computer & Network Security'],Engineering,"Company Description, , At Palo Alto Networks everything starts and ends with our mission Being the cybersecurity partner of choice, protecting our digital way of life We are a company built on the foundation of challenging and disrupting the way things are done, and we are looking for innovators who are as committed to shaping the future of cybersecurity as we are, , , , , , At Palo Alto Networks everything starts and ends with our mission, , Being the cybersecurity partner of choice, protecting our digital way of life, , We have the vision of a world where each day is safer and more secure than the one before These arent easy goals to accomplish  but were not here for easy Were here for better We are a company built on the foundation of challenging and disrupting the way things are done, and were looking for innovators who are as committed to shaping the future of cybersecurity as we are, , , , Our methodology is first class support Weve been recognized for it as an industry leader and were dedicated to continuing this standard In this role, you will work with our technical account managers to personalize our customers experience You will learn your clients business objectives in and out within their technical environment and focus on mitigating risks and resolving any technical issues in their networks Youre close to the deployment of cybersecurity solutions  and we need you to recognize risks before they arise You get a thrill from seeking out complex issues and find their resolutions  and you dont wait for those issues to be escalated from our clients Instead, you find them Youll be working hand in hand with our developers to reproduce the issues you find and develop permanent solutions to prevent them in the future, , , , , , , , Additional Information, , , , Our technical support team is critical to our success and mission As part of this team, you enable customer success by providing support to clients after they have purchased our products Our dedication to our customers doesnt stop once they sign  it evolves As threats and technology change, we stay in step to accomplish our mission, , Youll be involved in implementing new products, transitioning from old products to new, and will fix integrations and critical issues as they are raised  in fact, youll seek them out to ensure our clients are safely supported We fix and identify technical problems, with a pointed focus of providing the best customer support in the industry, , , , Were trailblazers that dream big, take risks, and challenge cybersecuritys status quo Its simple we cant accomplish our mission without diverse teams innovating, together, , We are committed to providing reasonable accommodations for all qualified individuals with a disability If you require assistance or accommodation due to a disability or special need, please contact us at email protected, , Palo Alto Networks is an equal opportunity employer We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex including pregnancy, sexual orientation, or other legally protected characteristics",Full-time,,https://nl.linkedin.com/jobs/view/designated-engineer-at-palo-alto-networks-2220501701?refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&position=18&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,45,electrotechnical engineer,LinkedIn,2306095158,CSV Engineer - Amsterdam,JqQIIOdESt23unesHFqZWA==,SIRE,"Amsterdam, North Holland, Netherlands","['Biotechnology', 'Hospital & Health Care', 'Pharmaceuticals']",Engineering,"The company has a Biotech and Pharmaceutical operations site They are one of the biggest innovative companies in the Netherlands and they are specialized in vaccines, biological therapies and medicines, , Role description, , You will ensure GMP compliance in the development lab The lab is responsible for developing medicines on small scale The CSV Engineer is in close contact with US and handles different type of projects, , Responsibilities Create IQ OQ PQ documents for the QA plan Work closely with annalist who are performing qualification tests Ensure Data Integrity, , Work with SDLC methods Transfer a NonGMP environment to a GMP environment, , Write technical reports Update PCs to windows 10, , , , Excellent technical writing skills Flexible and able to think in solutions Familiar with IQ OQ PQ documents Lab background Solid experience as a CSV engineer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306095158?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6fa888f3957e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadacadfbdd88dd8bdd8aadagdddadd7fddb3de9cacbfec3ddcg3e&urlHash=wdGg&refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/csv-engineer-amsterdam-at-sire-2306095158?refId=75c6354c-300e-4c86-ad2a-00b75cd0bcf2&position=20&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-19,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
