Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
12,engineer,LinkedIn,2327116386,Test Engineer (Consultant),i6hiREMsadeB8/qUL+A+ow==,Huawei Technologies Research and Development Belgium NV,"AmsterdamZuidoost, North Holland, Netherlands","['Information Technology and Services', 'Semiconductors', 'Wireless']","Test Engineer, , We are looking for a Test Engineer to join our Map team in Amsterdam, , The Map Team in Huaweis Amsterdam RD Center is building an industryleading Huawei Map product that powers the map experience on Huawei mobile phones Huawei Maps Petal Maps is a map application created by Huawei which supports 140 countries and provides a wealth of functions There are functions such as POI search, driving navigation, walking navigation, cycling navigation, realtime traffic information, etc",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327116386?url=https%3A%2F%2Fcandidate%2Ecvwarehouse%2Ecom%2FApplicationForm%2Easpx%3Fjobid%3D196385%26company%3Donlinesubscription2016%26channel%3Dfeed%2ELinkedIn%2Ecom%26lang%3Den-US&urlHash=d9-X&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/test-engineer-consultant-at-huawei-technologies-research-and-development-belgium-nv-2327116386?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=i6hiREMsadeB8%2FqUL%2BA%2Bow%3D%3D&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
15,engineer,LinkedIn,2327339118,Mechanical design engineer,t56wJ4dEqWEKpLfq67RBIA==,IPEX Group of Companies,"Veldhoven, North Brabant, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']","Cross Border Talents is searching for an Mechanical design Engineer for our client in Veldhoven, Netherlands, , Our client is an important outsourcing company that provides service to the biggest hightech industries in Brainport The Tech Campus located in this region concentrates many high tech manufacturing companies and have currently over 11000 professionals from all over the world It is the place to be when talking about RD, , Are you eager to get mechanical issues solved Are you dreaming to be part of the stateofthe art technology innovation If so, then a job of designer in the EUV Source could be the perfect match, Sector Information, Within the sector Development  Engineering is responsible for the specification and the design of the products The department Mechanical Development is designing, building and testing mechanical systems and subsystems which are fitted into the end products As a part of the department Mechanical Engineering the group Tin Mitigation is responsible for the engineering of mechanical modules for the EUV Source with interaction with tin, Position in the Organization The designer reports to the team leader of the group Tin Mitigation and is operational within multidisciplinary projects, , , , As a Designer in our group you are responsible for the development and application of mechanical designs to meet system specifications and operational requirements, , , , , , Technical University Masters or Bachelor in Mechanical engineering, , , , , , , , Education, , Technical University Masters or Bachelor in Mechanical engineering, , , , Personal skills",Contract,,https://nl.linkedin.com/jobs/view/mechanical-design-engineer-at-ipex-group-of-companies-2327339118?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=t56wJ4dEqWEKpLfq67RBIA%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
17,engineer,LinkedIn,2326429321,Project Engineer,8PRePKVJdovs9te7pVx0ZQ==,BOMBARDIER,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Automotive', 'Staffing and Recruiting']","Project Engineer, , TRCSNLAR02289171, , At Bombardier Transportation, our trains and rail solutions move millions of people safely and reliably around the world, every single day Join us, and youll be part of a global team, sharing knowledge, experience and ideas across countries and cultures, and boosting our reputation as a global leader in rail technology Your work will have a truly human impact, connecting communities, cities and businesses, and helping people to get where they need to be Its all about progress, , If youre ambitious, driven and teamspirited, this is your opportunity to build a career as a in , , , , The Project Engineer will coordinate, monitor and schedule all design, implementation and test phases up to the Factory Acceptance Test required to the put in service of the system, meeting the contractual requirements, ensuring Quality Q, Cost C and Delivery D defined for the project itself, , , , , , , , , , , , , Everywhere we operate, we reward effort and initiative You are encouraged to ask questions and empowered to make decisions, , As an equal opportunity employer, we strive to create a stimulating and open workplace which fosters teamwork, fairness, respect and diversity, , We are helping to create a better world, , By making a difference today, we are helping create a better world for future generations Having pioneered the philosophy of The Climate is Right for Trains, we demonstrate this rationale by offering vehicles with practically zero emissions, , Bombardier Transportation is an Equal Opportunity Employer Dedicated to Affirmative Action and Workforce Diversity, , , , , ElectricalElectronics Engineering, , , NLNHAmsterdam, , , Transportation, , , Fulltime, , , Regular, , , 20112020, 7 36 35 AM, , , Ongoing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326429321?url=https%3A%2F%2Fbombardier%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3DTRCS-NLAR02289171%26lang%3Den%26src%3DSNS-102&urlHash=MwLo&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/project-engineer-at-bombardier-2326429321?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=8PRePKVJdovs9te7pVx0ZQ%3D%3D&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
44,engineer,LinkedIn,2327358683,Mechanical Design Engineer,3j6W+/HI3Ime0D9OmzBrxA==,Ymatch Recruitment  Detachering,"BovenHardinxveld, South Holland, Netherlands","['Public Relations and Communications', 'Human Resources', 'Leisure, Travel & Tourism']","For our client in HardinxveldGiessendam, Zuid Holland, we are actively searching for a Mechanical Design Engineer The position consists of 40 hours per week For this client we are searching for a candidate for a permanent position within the company, , , , , , , For this position we are looking for a candidate with the following skills, , , , , The offer of our client considering this position consists of the following benefits",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327358683?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Df8589c7f34a7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadacdd8eddb8dd8bdd79addadd9gadaadddfddc3aefcdc9fec3ddcg3e&urlHash=Mw5Z&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/mechanical-design-engineer-at-ymatch-recruitment-detachering-2327358683?refId=6e10060a-c565-4129-ab2f-215651b94bd3&trackingId=3j6W%2B%2FHI3Ime0D9OmzBrxA%3D%3D&position=19&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-30
248,engineer,LinkedIn,2325394778,Graduate Engineer,UQEa3b7Ag21oakaC4Mc63w==,SpiraxSarco,"Amsterdam, North Holland, Netherlands",None,"YOUR FUTURE STARTS NOWMultiindustry engineering Global reach Your opportunityWe are looking for committed, techfocused graduates to join our Global Graduate Development Programme If youre driven and ambitious, youre in the right place  thats what made us a FTSE 100 business and global engineering group, with operations in 62 countries including the UK, India, Germany and the USAThe programme is an amazing opportunity to explore a huge variety of industries and business areas, including product development, research, manufacturing, sales and ITOver a period of two years youll take on four placements, each lasting six months including one overseas Supported by knowledgeable managers, a senior mentor and our graduate alumni, youll quickly find your strengths and an area of the business to match after youve completed the programmeTo join us, youll need a real passion for tech and digital, along with a minimum 22 honours or equivalent in a degree related to Science, Technology, Engineering or Maths You must also be eligible to live and work in the country youre applying for without requiring sponsorshipIn return, youll get a seriously competitive salary, plus a bonus to help you get started Company benefits are country specific, but all are highly competitive Were unashamedly proud of our culture, so if youre passionate about pushing boundaries and creating new processes and systems, youll thrive in our team We welcome applications from candidates based in Belgium and The Netherlands who are fluent in Dutch",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325394778?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1206c6b84a5c%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddeeddg8ddabadd9ddaaadegdd8addcfadf3debcacdfec3ddcg3e&urlHash=G4Ce&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/graduate-engineer-at-spirax-sarco-2325394778?refId=78b6bc49-38dc-4803-8072-46c54c6bfe50&trackingId=UQEa3b7Ag21oakaC4Mc63w%3D%3D&position=23&pageNum=9&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-12-01
9,engineer,LinkedIn,2331909757,Junior Software Engineer - Python,I/x5FUVKeD/jsrwviWFmVQ==,3D Hubs,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Computer Software', 'Internet']","3D Hubs is disrupting manufacturing, , We automate design processes for Engineers in the Aerospace, Automotive and Consumer Electronics industries As part of the growing team, 3D Hubs now needs a skilled Python engineer to build our internal and external tools, , Just like our clients youll get to build some great things with 3D Hubs, but it will be up to you to carry out changes and maintain what youve built In return youll own your projects here, and find yourself working with highly experienced people who are approachable and supportive Your ideas will be heard, and your hard work will not go unnoticed Were still just a startup in many ways, and were interested in an influx of new ideas to improve our setup as it grows with our company If you are curious, motivated and passionate about technology we would like to hear from you, , Our tech stack Python FlaskSQLAlchemy, PostgreSQLAurora, RabbitMQ, Docker, AWS EC2, ECS, RDS, S3, Redshift, , , , , , , , , Why 3D Hubs, We are an equal opportunity employer and value diversity at our company We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status or disability status, , The story of 3D Hubs, , 3D Hubs makes manufacturing easy from prototyping to production The online platform provides readily available production capacity for the fastest lead times and most pricecompetitive parts Simply upload designs to receive instant quotes for 3D printing, CNC machining and Injection Molding 3D Hubs automated Design for Manufacturing DFM analysis detects any potential issues before production begins, eliminating risk for customers, , Founded in 2013, 3D Hubs has produced more than 6,000,000 parts, serving engineering companies of all sizes",Full-time,https://www.linkedin.com/jobs/view/externalApply/2331909757?url=https%3A%2F%2Fjobs%2Elever%2Eco%2F3dhubs%2Fd8ec55cb-8142-41bb-a4e7-385fd5dbc840%2Fapply%3Flever-source%3DLinkedIn&urlHash=RH21&refId=a041806a-87be-44dd-96df-7f6506d932fc&trackingId=I%2Fx5FUVKeD%2FjsrwviWFmVQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-software-engineer-python-at-3d-hubs-2331909757?refId=a041806a-87be-44dd-96df-7f6506d932fc&trackingId=I%2Fx5FUVKeD%2FjsrwviWFmVQ%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-29,2020-12-07
11,engineer,LinkedIn,2327352337,NDT Engineer Junior (ENG),vj0HQkCUBfYpVK6RQXBeBA==,Allseas,"Delft, South Holland, Netherlands","['Construction', 'Staffing and Recruiting', 'Oil & Energy']","An exciting opportunity has arisen for a young and enthusiastic Junior NDT Engineer to join our Pipeline Production Department PPD in Delft, the Netherlands This Department is responsible for the definition and preparation of all offshore welding, weld inspection by nondestructive testing NDT and field joint coating activities As a Junior NDT Engineer, you will be part of the Unit NDT Engineering which is responsible for execution of inspection work on Allseas vessels Through a threeyear programme, you will develop yourself and achieve Level 3 NDT Certification postHBO After the programme, you will act independently to ensure that all inspection activities are timely and economically prepared to support the pipelay vessels in accordance with project requirements, , Your role, , In three years, you will gradually grow into the role of NDT Engineer Identify, develop and qualify the inspection methods necessary to produce the pipelines and their appurtenances, including testing, documentation, client approval and third party verification, as required for the project Provide technical input and cost estimates for inspection methods, equipment and consumables required for project preparations and production Monitor the daily progress of ongoing production on board vessels andor at work sites and, where necessary, intervene to resolve any inspection related issues Develop, evaluate and manage the maintenance, repair and supply of inspection equipment and consumables for projects, liaising with suppliers, contractors and project teams Monitor and improve performance for inspection services, ensuring that assigned projects are managed in accordance with applicable company, environmental and safety procedures Provide technical support to managers regarding status of inspection services for future projects and identify areas of improvement within the PPD, , What we expect from you, , Bachelor degree in Mechanical Engineering or equivalent Strong affinity with inspection and the offshore environment Hands on mentality Practical and able to organise and plan own work Willing to work offshore and abroad occasionally Good language and communication skills in Dutch and English, both written and spoken, , What we offer, , Join a dynamic, worldleading technical company, with short communication lines A positive, collaborative and creative work environment with team spirit at its core Working in an easy to reach office close to the historic city centre of Delft Flexible working hours and 30 vacation days FTE Good salary and travel allowance and collective health insurance and pension arrangements Personal growth and development opportunities, including study budgets, training and coaching Healthy worklife balance, with subsidised sports memberships, onsite recreational facilities and various social events and festivities",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327352337?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dd86f98413018%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadccdd8addaaada9dd7edd89ddcgddfadddfddg3defcdc8fec3ddcg3e&urlHash=lEbb&refId=a041806a-87be-44dd-96df-7f6506d932fc&trackingId=vj0HQkCUBfYpVK6RQXBeBA%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ndt-engineer-junior-eng-at-allseas-2327352337?refId=a041806a-87be-44dd-96df-7f6506d932fc&trackingId=vj0HQkCUBfYpVK6RQXBeBA%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-29,2020-12-07
21,engineer,LinkedIn,2333120328,(Junior) Mechanical Engineer,CpnuA6Phqr15CFATOr/rfg==,IvGroep,"Almere, Flevoland, Netherlands","['Design', 'Civil Engineering', 'Mechanical or Industrial Engineering']","Designing the most complex constructions together with the customer At IvConsult, we just love technical challenges The more complex, the more fun Recognise this As a Junior Mechanical Engineer, you will work with considerable responsibility on the largest, most dynamic and complex constructions that often have many interfaces Examples are the drive mechanism of the huge lock gates of the Panama Canal, a motion compensated gangway and various landmarks such as the London Eye The activities are diverse you will develop feasibility studies into innovative concepts and are responsible for the final product Of course, you will also regularly communicate with customers face to face, , What do we expect from you We are looking for a Junior Mechanical Engineer who likes to get engrossed in technically complex issues You have a higher education degree or Bachelor of ScienceMaster of Science degree and relevant work experience You like diversity in your work and think outside the box You are a strong communicator and a technical expert if necessary, you can convince customers of your concepts You receive much freedom in your work and you can utilise this like no other Standing still is not an option for you Should you not yet have the knowledge in a certain area because its not possible to know everything, you know exactly where or from whom you can obtain it",Full-time,https://www.linkedin.com/jobs/view/externalApply/2333120328?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fjunior-mechanical-engineer%3A44524019%2F&urlHash=WR5P&refId=a041806a-87be-44dd-96df-7f6506d932fc&trackingId=CpnuA6Phqr15CFATOr%2Frfg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-mechanical-engineer-at-iv-groep-2333120328?refId=a041806a-87be-44dd-96df-7f6506d932fc&trackingId=CpnuA6Phqr15CFATOr%2Frfg%3D%3D&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-29,2020-12-07
30,engineer,LinkedIn,2330548024,OR Engineer,OV1Ek5/4iPtM6GC5z1kh3g==,ORTEC  Optimize Your World,"Zoetermeer, South Holland, Netherlands",['Information Technology and Services'],"As an Operations Research Engineer at ORTEC you will get the chance to improve our complex software solutions, , The role of Operations Research Engineer includes a unique combination of mathematics and software engineering, and has interaction with customers to figure out what the problem is, translating it to requirements and implementing a solution Because we deliver complex solutions, you will face many different types of technical issues You often work on a couple of projects at the same time, giving a lot of variation and ample learning opportunities For each project, you work in small teams consisting of architects, testers and engineers You help fixing bugs, carry out maintenance activities, implement our algorithmic ideas and think about improvements of the algorithms in our software solutions",Full-time,https://www.linkedin.com/jobs/view/externalApply/2330548024?url=https%3A%2F%2Fresourcemanagerplatinum-16a9d036961%2Esecure%2Eforce%2Ecom%2Fcxsrec__cxsApplyFormExample%3FpositionId%3Da0w2p000007dJwj&urlHash=GWpn&refId=8e8f8ef9-a48a-4897-bdb3-a7fc58ff30b8&trackingId=OV1Ek5%2F4iPtM6GC5z1kh3g%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/or-engineer-at-ortec-optimize-your-world-2330548024?refId=8e8f8ef9-a48a-4897-bdb3-a7fc58ff30b8&trackingId=OV1Ek5%2F4iPtM6GC5z1kh3g%3D%3D&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-29,2020-12-07
31,engineer,LinkedIn,2293244447,MAIT Engineer,6GEwrOBZDGJZiuRer1Y2Sg==,Nearfield Instruments BV,"Rotterdam, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Computer Software', 'Mechanical or Industrial Engineering']","Nearfield Instruments brings together the most creative minds in science and technology to develop a revolutionary high throughput atomic force microscopy AFM system, enabling atomscale resolution 3D metrology at industrylevel throughput We design, develop, integrate, market and service these advanced metrology machines, , , , As an MAIT Engineer, you will be manufacturing, assembling, integrating and testing our semiconductor metrology systems and assist in solving potential problems that occur during the integration and test phase You also support the early projects phases in reviewing design documentation on MAIT aspects and advising on optimization, , , , , , , , , Besides a technically challenging role where you can utilize the full extend of your professional knowledge, we value your worklive balance and the time for some relaxation Boost your energy by playing a match of table tennis or clear your mind during our weekly run with colleagues, , We rely on each others qualities, capabilities and we motivate one another to get the best out of ourselves and each other We are here to support one another, and colleagues are there to help you TEAM is very important, Together Everyone Achieves More, , We look forward to hear from you, , If the above mix of technical and personal challenges excites you, we encourage you to send us your details using the Apply now button If you have any questions before applying or would like to have a general conversation about Nearfield Instruments, you can contact our Recruiter, Harald van Klaveren on 3106 1464 7117 or send an email to haraldvanklaverennearfieldinstrumentscom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2293244447?url=https%3A%2F%2Fcareers%2Enearfieldinstruments%2Ecom%2Fmait-engineer%2Fen&urlHash=qnog&refId=8e8f8ef9-a48a-4897-bdb3-a7fc58ff30b8&trackingId=6GEwrOBZDGJZiuRer1Y2Sg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/mait-engineer-at-nearfield-instruments-b-v-2293244447?refId=8e8f8ef9-a48a-4897-bdb3-a7fc58ff30b8&trackingId=6GEwrOBZDGJZiuRer1Y2Sg%3D%3D&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-29,2020-12-07
