,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Language,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,renting and other business support,LinkedIn,2307393342,Operations Support,pDCL6Rc8TpWlQdv5NAdcrQ==,Felyx,"Amsterdam, North Holland, Netherlands",['Public Relations and Communications'],Information Technology,"Job DescriptionAre you highly organized and detailoriented And do you know how to manage overlapping projects, keep track of deadlines and efficiently use your time Do not hesitate and lets goAs urbanization is rising and the air quality is deteriorating, we feel the need to make our cities greener and healthier by offering a sustainable mobility solution Besides, we offer the easiest, fastest and most fun way around town At felyx, everybody within their own expertise is contributing to a cleaner city by making this swift doortodoor transportation the new status quo We are working together as an ambitious team of entrepreneurs, operators, marketers and engineers, and looking to grow as we scale the business throughout Europe Felyx is one of the few micromobility players in the world that is EBITDA positive on group level with a fleet of c3,000 emopeds We are a young company with more than a hundred employees, working in the operations and at the head office in Amsterdam You can describe us as passionate, ambitious, entrepreneurial, and transparent Do you share our DNA Great Join our rideHeres the challenge To ensure our customers have the best experience with felyx, our operational level needs to be as high as possible Our team of Service Support Agents SSA make sure that all scooters are up and running You are responsible for the scheduling, operational support and reporting of this team within the BeneluxAs a strong analytical thinker with a problemsolving attitude and strong communication skills you ensure all the schedules are on point and the relevant stakeholders and team members are informed You possess advanced troubleshooting and multitasking skills and get crazy about a waterproof planTo accomplish the above you willCome up with improvements that contribute to optimizing processesWe truly get excited if youBonus points if youWhats in it for meLets beat the streets together",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307393342?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ffd13ed8e-663a-45e7-87c3-b24b805c012c%3Fjid%3Dbc0b7be428b5e5bdd213adccedc676fd748b768da5def683eb3f9726fec2c20e%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=6rHs&refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-at-felyx-2307393342?refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
1,2,renting and other business support,LinkedIn,2316336615,Operations Support,y7CbZ99oQNS3l2pwJGrivQ==,Convious,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Computer Software', 'Internet']",Information Technology,"Convious is looking for an Operations Support hero to join our team in the Amsterdam office As an Operations Specialist, you will make sure that our operations run smoothly by providing secondline support for our customers You will work closely together with our firstline Customer Support team by taking care of our most valuable assets, our customersDo you have an eye for detail and a love for technology Are you techsavvy, problem solving and do you have a get things done mentalityspan datahrefhttpswwwconviouscomoperationssupporthttpswwwconviouscomoperationssupportspanOur policy is always to act in Convious best interest We dont have many rules or forms about the work process and we intermix work and personal time quite a bit You will need to be comfortable working in the most agile of environments Requirements might be vague, and iterations will be rapid We are an equal opportunity employer and value diversity at our company We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability statusAre you ready to become our Operations hero Apply here span datahrefhttpswwwconviouscomoperationssupporthttpswwwconviouscomoperationssupportspan",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316336615?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-6600448546932127901%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DDirect&urlHash=dz78&refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-at-convious-2316336615?refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
2,7,renting and other business support,LinkedIn,2207194751,Operations Support Agent,cD4lR3ePTy6uggmroHNwuQ==,FedEx,"Venlo, Limburg, Netherlands","['Package/', 'Freight Delivery']",Other,"Achtergrond informatie over de afdelingDe afdeling hub support office is verantwoordelijk voor de administratieve afhandeling van de tijdsregistratie  urenverwerking weekrapportages tbv management van al het personeel own  temp agency Daarnaast fungeer je als vraagbaak voor het personeel betreffende ziekte, verlof, urenregistratie Het plaatsen van bestellingen, het verwerken van facturen en de administratieve afhandeling hiervan behoort tot het takenpakket Tevens ben je ook verantwoordelijk voor scanner beheerWij zoeken een ondernemende kandidaat met een flinke dosis doorzettingsvermogen Het is belangrijk dat je goed zelfstandig kunt werkenAccuracy  Attention to DetailMicrosoft Office  PC SkillsPlanning  Organizing SkillsInterpersonal SkillsProblem Solving SkillsFedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for allOur CompanyFedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstandingOur PhilosophyThe PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the companyOur CultureOur culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2207194751?url=https%3A%2F%2Fcareers%2Efedex%2Ecom%2Fexpress%2Fjobs%2FPOSTING-3-285111%3Flang%3Den-us%26codes%3DLISP&urlHash=B95S&refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-agent-at-fedex-2207194751?refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
3,23,renting and other business support,LinkedIn,2268810173,Operations Support Agent (hub specialist),Cw6AQO4eSHarlASvkMuGVw==,FedEx,"Duiven, Gelderland, Netherlands","['Package/', 'Freight Delivery']",Supply Chain,"De afdeling hub office is verantwoordelijk voor het matchen van data en papierwerk aan de hand van scangegevens en het tijdig versturen van data naar interne klanten, het cordineren van aankomst en vertrek van trailers en zorgen voor een optimale afstemming met alle samenhangende processen Daarnaast is de afdeling verantwoordelijk voor alle douane aangelegenheden met betrekking tot het aanzuiveren van transitzendingen binnen de gestelde kwaliteitsnormen en tijdskaders met inachtneming van de budgettaire randvoorwaarden Ten slotte is de afdeling verantwoordelijk voor het opmaken van de juiste gevarengoed documentatie en ook voor een correcte aanmelding van de gevarengoed zendingen bij de verschillende rederijenWij zoeken een ondernemende kandidaat met een flinke dosis doorzettingsvermogen Het is belangrijk dat je goed zelfstandig kunt werkenAccuracy  Attention to DetailMicrosoft Office  PC SkillsPlanning  Organizing SkillsInterpersonal SkillsProblem Solving SkillsDutch and English speakwriteEnglish Writing, Comprehension, Reading, SpeakingDutch Comprehension, Writing, Speaking, ReadingFedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for allOur CompanyFedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstandingOur PhilosophyThe PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the companyOur CultureOur culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2268810173?url=https%3A%2F%2Fcareers%2Efedex%2Ecom%2Fexpress%2Fjobs%2FPOSTING-3-294456%3Flang%3Den-us%26codes%3DLISP&urlHash=z957&refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-agent-hub-specialist-at-fedex-2268810173?refId=5f7894ed-ec9b-4f9c-9565-5745a208380c&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
4,41,renting and other business support,LinkedIn,2317396377,Operations Support Agent,RGZ+Z+VORsqZWZFdWNsOzg==,FedEx Express EU,"Venlo, Limburg, Netherlands",['Hospitality'],Customer Service,"Achtergrond informatie over de afdelingDe afdeling hub support office is verantwoordelijk voor de administratieve afhandeling van de tijdsregistratie  urenverwerking weekrapportages tbv management van al het personeel own  temp agency Daarnaast fungeer je als vraagbaak voor het personeel betreffende ziekte, verlof, urenregistratie Het plaatsen van bestellingen, het verwerken van facturen en de administratieve afhandeling hiervan behoort tot het takenpakket Tevens ben je ook verantwoordelijk voor scanner beheerWie zoeken weWij zoeken een ondernemende kandidaat met een flinke dosis doorzettingsvermogen Het is belangrijk dat je goed zelfstandig kunt werkenJouw profielWat hebben we jou te biedenFedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for allOur CompanyFedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstandingOur PhilosophyThe PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the companyOur CultureOur culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317396377?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F3667b41d-48d5-484f-a5cc-7c6c7a6bc03c%3Fjid%3D119e3b3c1baf061f443c6842c15e0fb0f29f6e129bdfca829b07076b187ff591%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=bogF&refId=b1443c98-1df1-4e0a-a145-8528b0023734&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-agent-at-fedex-express-eu-2317396377?refId=b1443c98-1df1-4e0a-a145-8528b0023734&position=16&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
5,64,renting and other business support,LinkedIn,2315414387,Operations Support Agent - Venlo,ufB6KBgDQrS7GNnBt+hq5w==,FedEx Express EU,"Venlo, Limburg, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Customer Service,"Achtergrond informatie over de afdelingDe afdeling hub support office is verantwoordelijk voor de administratieve afhandeling van de tijdsregistratie  urenverwerking weekrapportages tbv management van al het personeel own  temp agency Daarnaast fungeer je als vraagbaak voor het personeel betreffende ziekte, verlof, urenregistratie Het plaatsen van bestellingen, het verwerken van facturen en de administratieve afhandeling hiervan behoort tot het takenpakket Tevens ben je ook verantwoordelijk voor scanner beheerWij zoeken een ondernemende kandidaat met een flinke dosis doorzettingsvermogen Het is belangrijk dat je goed zelfstandig kunt werkenAccuracy  Attention to DetailMicrosoft Office  PC SkillsPlanning  Organizing SkillsInterpersonal SkillsProblem Solving SkillsFedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for allOur CompanyFedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstandingOur PhilosophyThe PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the companyOur CultureOur culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315414387?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Daedf2ed7cb60%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcadbeadcaadabddegadbaadcgdd9aaddfade3deacdcgfec3ddcg3e&urlHash=OZkP&refId=15f5646e-4216-458a-a01c-ea343960cb2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-agent-venlo-at-fedex-express-eu-2315414387?refId=15f5646e-4216-458a-a01c-ea343960cb2c&position=14&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
6,70,renting and other business support,LinkedIn,2317392698,Operations Support Agent (hub specialist),8vf7QpuISguVBwNIbdW/Bg==,FedEx Express EU,"Duiven, Gelderland, Netherlands",['Hospitality'],Customer Service,"De afdeling hub office is verantwoordelijk voor het matchen van data en papierwerk aan de hand van scangegevens en het tijdig versturen van data naar interne klanten, het cordineren van aankomst en vertrek van trailers en zorgen voor een optimale afstemming met alle samenhangende processen Daarnaast is de afdeling verantwoordelijk voor alle douane aangelegenheden met betrekking tot het aanzuiveren van transitzendingen binnen de gestelde kwaliteitsnormen en tijdskaders met inachtneming van de budgettaire randvoorwaarden Ten slotte is de afdeling verantwoordelijk voor het opmaken van de juiste gevarengoed documentatie en ook voor een correcte aanmelding van de gevarengoed zendingen bij de verschillende rederijenWie zoeken weWij zoeken een ondernemende kandidaat met een flinke dosis doorzettingsvermogen Het is belangrijk dat je goed zelfstandig kunt werkenJouw profielWat hebben we jou te biedenAccuracy  Attention to DetailFedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for allOur CompanyFedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstandingOur PhilosophyThe PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the companyOur CultureOur culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317392698?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ffa102e8e-5c0c-4de3-b9c5-840b2e730e22%3Fjid%3D35420b641f605678408e244913aaecaccb8f8aa9db78fe596269bf10555fcdb6%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=zGYk&refId=15f5646e-4216-458a-a01c-ea343960cb2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-agent-hub-specialist-at-fedex-express-eu-2317392698?refId=15f5646e-4216-458a-a01c-ea343960cb2c&position=20&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
7,72,renting and other business support,LinkedIn,2317470014,IT Business Professional,P1x21tUNQ+2Eay8wzUrrAg==,Pharmerit Coperatief UA,"Rotterdam, South Holland, Netherlands",['Computer Software'],Information Technology,"Would you like to work at a company where questions are encouraged, individual talents are nurtured and where you have the possibility to develop yourself at an international level We are a diverse and rapidly growing organization that recognizes the importance of culture and creating and maintaining an engaging work environmentWe are hiring an independent and selfstarting IT Business Professional at our Rotterdam office site You will be responsible for the daily management and maintenance of our global IT environment including Microsoft Teams and SharePoint Online Solving problems with applications or other technical challenges is what you like to do best You are not bothered by endusers asking the easy questions You will ensure that hardware and software is up to date and that the network is secured to meet business standards Besides this you will also support your colleagues with any other IT related matter Think solutions not problems Handson, getting things done That is what defines youThe Responsibilities of the IT Business Professional management of Microsoft Teams and SharePoint OnlineAdvising and supporting Pharmerit employees globally with IT related issuesRegistering, coordinating, and monitoring user accounts, devices, and applicationsAnalysing and resolving issues with regards to hardware and softwareManaging Microsoft 365 and all other applications within the IT environmentIdentifying and resolving issues with workstations and networkWiFiAssisting the IT ManagerDirector with daytoday businessDesired skills and ICT degree or any other related field of study2 years experience in a similar roleStrong proficiency in Microsoft 365 and Office 365Knowledge of Azure, SharePoint andor Dynamics CRM is a plusExceptional Dutch and English communication skills both written and verbalAbility to work efficiently and meet deadlinesSuperior customer service orientationWilling to work outside of office hours only necessary in case of incidentsPharmerit  an OPEN Health Company is a leading health care research consultancy with offices in Rotterdam The Netherlands, York UK, Oxford UK, Berlin Germany, Bethesda US, Boston US, New York US, Shanghai China, and Mumbai India Across our Centers of ExcellenceSMA, Modelling and MetaAnalysis, Patient Centered Outcomes, and RealWorld EvidenceData Analyticswe provide services to local, national, and international decision makers involved in the delivery and financing of health carePharmerit is in an exciting period of strategic growth and evolution, expanding our international reach by merging with the OPEN Health Group  The combined entity will have approximately 700 people, 15 offices, and representation across 3 continents The consolidation of publications, medical communications, HEOR, realworld evidence, and market access creates a unique entity equipped to be a leading global HEOR and medical affairs consultancyWhat we at Pharmerit means working in a dynamic, international environment with a diverse and enthusiastic multidisciplinary teamWe offer25 days of paid annual leave based on full time employmentAttractive pension scheme with an employer contribution of 75Learning possibilitiesOpportunity to participate in educational and social eventsGreat office at an ideal location, close to the train and bus station, with free parking and close to a shopping mallFlexibility to work from home when neededTake this opportunity to develop yourself and our organization Join the team that values freedom of thought and responsibilities for ourselves, our colleagues, and our clients",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317470014?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F7f8063d3-b911-49c2-8a6c-3955aa8d0349%3Fjid%3D09336ee58f05fdc006808c7f8c64ca1cd253a84929350deaa50bccb9de84686e%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=TLwh&refId=15f5646e-4216-458a-a01c-ea343960cb2c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-business-professional-at-pharmerit-co%C3%B6peratief-u-a-2317470014?refId=15f5646e-4216-458a-a01c-ea343960cb2c&position=22&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
8,92,renting and other business support,LinkedIn,2306201507,Account Manager New Business - Amsterdam - Madison Parker,7Xd34y/bQ/GYHoixjqjAug==,Madison Parker,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Business Development,"Our client is a supplier and market leader in sanding materials For their Sales Department they are currently looking for an Account Manager  SalesWe are looking for an account manager who is ready for a serious next step in his  her career You are a passionate person and commerce  sales is your second nature You want to grow further in sales and prove yourself in this independent position through concept sales In addition to that, you possess a little affinity with technology and a healthy portion of persuasiveness",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306201507?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db481c05066f0%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecddcedd8addfbaddgddgaddbgddgaddafdda3aeacdcgfec3ddcg3e&urlHash=nCoW&refId=34af68cd-1629-44b4-8976-d8637ecfaf56&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/account-manager-new-business-amsterdam-madison-parker-at-madison-parker-2306201507?refId=34af68cd-1629-44b4-8976-d8637ecfaf56&position=17&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
9,96,renting and other business support,LinkedIn,2315318515,Operations Support Agent (hub specialist) - Duiven,cOoTHqAqT+2wQdrw2y4HWg==,FedEx Express EU,"Duiven, Gelderland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Customer Service,"De afdeling hub office is verantwoordelijk voor het matchen van data en papierwerk aan de hand van scangegevens en het tijdig versturen van data naar interne klanten, het cordineren van aankomst en vertrek van trailers en zorgen voor een optimale afstemming met alle samenhangende processen Daarnaast is de afdeling verantwoordelijk voor alle douane aangelegenheden met betrekking tot het aanzuiveren van transitzendingen binnen de gestelde kwaliteitsnormen en tijdskaders met inachtneming van de budgettaire randvoorwaarden Ten slotte is de afdeling verantwoordelijk voor het opmaken van de juiste gevarengoed documentatie en ook voor een correcte aanmelding van de gevarengoed zendingen bij de verschillende rederijenWij zoeken een ondernemende kandidaat met een flinke dosis doorzettingsvermogen Het is belangrijk dat je goed zelfstandig kunt werkenAccuracy  Attention to DetailMicrosoft Office  PC SkillsPlanning  Organizing SkillsInterpersonal SkillsProblem Solving SkillsDutch and English speakwriteEnglish Writing, Comprehension, Reading, SpeakingDutch Comprehension, Writing, Speaking, ReadingFedEx was built on a philosophy that puts people first, one we take seriously We are an equal opportunity employer and we are committed to a diverse and inclusive workforce in which we provide growth opportunities for allOur CompanyFedEx Express is one of the worlds largest express transportation companies and has consistently been selected as one of the top 10 Worlds Most Admired Companies by Fortune magazine Every day FedEx delivers for its customers with transportation and business solutions, serving more than 220 countries and territories around the globe We can serve this global network due to our outstanding team of FedEx team members, who are tasked with making every FedEx experience outstandingOur PhilosophyThe PeopleServiceProfit philosophy PSP describes the principles that govern every FedEx decision, policy or activity FedEx takes care of our people they, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future The essential element in making the PeopleServiceProfit philosophy such a positive force for the company is where we close the circle, and return these profits back into the business, and invest back in our people Our success in the industry is attributed to our people Through our PSP philosophy, we have a work environment that encourages team members to be innovative in delivering the highest possible quality of service to our customers We care for their wellbeing, and value their contributions to the companyOur CultureOur culture is important for many reasons, and we intentionally bring it to life through our behaviors, actions and activities in every part of the world The FedEx culture and values have been a cornerstone of our success and growth since we began in the early 1970s While other companies can copy our systems, infrastructure and processes, our culture makes us unique and is often a differentiating factor as we compete and grow in todays global marketplace",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315318515?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D10e8df606984%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddgaadbedd8cadcfadaaddagddgaddafdd73de8cdccfec3ddcg3e&urlHash=W9dP&refId=34af68cd-1629-44b4-8976-d8637ecfaf56&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/operations-support-agent-hub-specialist-duiven-at-fedex-express-eu-2315318515?refId=34af68cd-1629-44b4-8976-d8637ecfaf56&position=21&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-12,2020-11-24,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
