,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age,Gender_Num,Age_Num
0,1,ict manager,LinkedIn,2325431560,ICT Project Manager,pOeLhU07RFqfB5CzBjrYuw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Project Management,"Job Context  DutiesManage project informationCreate project specificationsTrain employeesBuild business relationshipsEstimate duration of workQualifications and experience requiredThe ability to carry out work efficiently and accurately, even under pressureAbility to work autonomouslyExperience of having worked in a similar roleAn awareness of the need to handle confidential issues sensitivelySense of proactive initiative and team spirit",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325431560?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6e4305d18901%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadb8ddcfddd9ddgaddbaadcgddfadd8fdd73degcdcffec3ddcg3e&urlHash=Kjyc&refId=1073e8c2-579c-4310-9244-1990fa2c9416&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-project-manager-at-talent-2325431560?refId=1073e8c2-579c-4310-9244-1990fa2c9416&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,ict manager,LinkedIn,2326018482,Manager Engineering & Projects,PD+aSE80SCOD5AeB4ND3PA==,Airborne,"The Hague, South Holland, Netherlands",['Mechanical or Industrial Engineering'],Engineering,"Be part of an unique growth story, , Join us to help build the leading advanced composites automation and digital manufacturing company Airborne is a technology leader in advanced composites, specialised in the industrialisation of engineering and manufacturing of durable fibre reinforced composites for Space, Aeronautics, Transport and Marine industries Via Airbornes unique combination of skills our deep and wide composites, software engineering and mechatronics knowhow  we enable our customers to unlock their full potential in digital manufacturing growth and create a competitive advantage We are agile, flexible and think like a startup This nimble approach is challenging for many incumbent companiesbut its at the heart of how we think to build winning positions by developing integrated, automated and connected manufacturing solutions for the composite industry Together we are a dynamic group of 135 highly educated and passionate employees, split between our headquarter in The Hague Ypenburg NL and our site in Lambourn UK, , What is your new job, , As Manager Engineering  Projects you are responsible for the total engineering group as well as the Project Managers Managing employees by motivating, stimulating and development of skills and competences is part of the daily routine Your goal is to get the best performance from your team, , You will take care of an efficient planning of the resources in order to deliver the projects on time and within the budget of the project From the start until the delivery of the projects This will be achieved via continuous improvement of the processes and working methods in order to safeguard the quality, trustworthiness and efficiency of the department The output of your department is your focus You always strive for the best result with energy, motivation and tenacity, , Furthermore, you will work together with the commercial department of the business unit and appoint engineering resources for sales support, , What are your responsibilities, , , Reporting Lines and Interactions, , Functionally reports to Managing Director Airborne Aerospace As part of the Management Team you work closely together with the Production Manager, QESH Manager, HR Manager, ICT Manager, Financial Controller and the Purchasing Manager, Directly supervises Structural, CAD, Design, Process Engineers, Work Preparation and Project Managers, , It is important that you are able to display the following competencies TOP principles, Teamwork, Ownership and Precision, as well as taking responsibility, taking initiative and persuasiveness, , Education, , , , , , What we offer, , Working at Airborne International will give you the opportunity to develop your career by working on highly innovative projects, , We offer you a well rewarding job in an inspiring environment with likeminded and talented colleagues You will become part of our inspiring company where innovation, quality and creativity are key to meet our company goals We will give you the opportunity for personal and professional growth, by training, learning on the job and coaching, , Furthermore, we offer, , , A great opportunity to be part of an unique growth story, , , In case you would like to apply, please send in your application motivation and resume via the Apply here button, , Please note that the closing date of this vacancy is Friday November 20, , Third party applications are not appreciated",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326018482?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb3fba9fa-dd69-44bd-886e-c2865e8e7e67%3Fjid%3D71d87f6386aed3d2a95845e65b91485cde8a84089c8966c54bc5faf66a961c54%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=S_4L&refId=1073e8c2-579c-4310-9244-1990fa2c9416&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-engineering-projects-at-airborne-2326018482?refId=1073e8c2-579c-4310-9244-1990fa2c9416&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,6,ict manager,LinkedIn,2302288181,"Senior System Administrator - Utrecht, Netherlands",M0+rU8oMTr2FK9JmNJJBkA==,Nigel Frank International,"Utrecht, Utrecht, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']",Information Technology,"The Role Senior System Administrator  Utrecht, Netherlands, , Common Activities Are, , Optimizing infrastructures is in your professional hands As Senior System Administrato, you are a member of the outsourcing team, which operates from the office in Utrecht This team is responsible for resolving IT problems for customers remotely The clients of this team are in the insurance and financial sectors, , , , , , , , , Clarice Rocha 31 202418524 crochanigelfrankcom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2302288181?url=https%3A%2F%2Fwww%2Enigelfrank%2Ecom%2F364596%2Fsenior-system-administrator-utrecht-netherlands&urlHash=HRds&refId=1073e8c2-579c-4310-9244-1990fa2c9416&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-system-administrator-utrecht-netherlands-at-nigel-frank-international-2302288181?refId=1073e8c2-579c-4310-9244-1990fa2c9416&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,7,ict manager,LinkedIn,2278369305,ICT & Information Management Head of Department,p5rDIMOsTGyqB4WZeCqHiw==,MaireTecnimont,"Amsterdam, North Holland, Netherlands",['Information Technology and Services'],Information Technology,"ICT  Information Management Head of Department, , Date06 October 2020, Place of work Netherlands Send your application, , The Company, , Stamicarbon is the Innovation and Licensing Company of Maire Tecnimont, a Global Engineering contractor in the licensing and construction of plants in the chemical and petrochemical industry Stamicarbon is a dynamic organization in a challenging and changing international business environment, , The Challenge, , , , The IT department is organized within the HRM, ICT  General Affairs group of the Stamicarbon organization, the Licensing and IP center for the Maire Tecnimont Group The HRM, ICT  General Affairs Department defines, develops, builds and executes the strategic, tactical and operational services related to the core business of Stamicarbon worldwide, , ICT  Information Management Head of Department, , The Head of Department ICT  IM is responsible to design, develop, implement and execute effective strategic, tactical and operational services of the department and ensure a coherent service strategy by working in close collaboration with the members of the HR, ICT  GA Management Team, , To align the strategic, tactical and operational services with the organizational strategy and business of Stamicarbon and the Maire Tecnimont organization, , To lead the particular department and ensure adequate resources and a healthy, pleasant and challenging working environment, , Your key areas of responsibility are to, , , developments, laws and regulations, , , The Candidate, , You combine at least a Master Degree in Information Technology and several years of experience working in a similar IT managers role Strong affinity with Project Management methods and people skills to manage and coach a team, , As potential new colleague you are a strong communicator and influencer with the different stakeholders You are a relationship builder and networker You recognize yourself in the characteristics keen entrepreneurship, good listener and coaching skills, flexible with strong focus on service for our customers, able to work with deadlines on results You are fluent in English both spoken and written and enjoy working in an international environment and some travelling abroad, , The Reward, , Stamicarbon offers a rewarding and challenging job with opportunities for personal input The organization is 100 internationally focused, has the ambition to expand and offers individual possibilities to learn and develop in a true business environment There is an open and very pleasant atmosphere with plenty of room for discussion with highly committed fellow professionals and a good sense of humor Terms and conditions of employment as well as fringe benefits are up to market standards, , Stamicarbons Head office is located in Sittard, Limburg, The Netherlands For further information about this position, please contact Mss Natascha Brouns Recruiter Stamicarbon, Tel 00310, , Send your application",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278369305?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fdc117b63-314a-47b8-a8a6-689c437a0107%3Fjid%3D792deb621747b0df7df308390bab99a06dc3a59650242897094a0430602c40f7%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=7xpS&refId=1073e8c2-579c-4310-9244-1990fa2c9416&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-information-management-head-of-department-at-mairetecnimont-2278369305?refId=1073e8c2-579c-4310-9244-1990fa2c9416&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,11,ict manager,LinkedIn,2315320245,ICT & Information Management Head of Department - Amsterdam,10Hzq4msTO6ZlywbiXjrCA==,MaireTecnimont,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Mechanical or Industrial Engineering', 'Oil & Energy']",Information Technology,"ICT  Information Management Head of Department, Date06 October 2020, Place of work Netherlands, Send your application, , , , Stamicarbon is the Innovation and Licensing Company of Maire Tecnimont, a Global Engineering contractor in the licensing and construction of plants in the chemical and petrochemical industry Stamicarbon is a dynamic organization in a challenging and changing international business environment, , , , , , The IT department is organized within the HRM, ICT  General Affairs group of the Stamicarbon organization, the Licensing and IP center for the Maire Tecnimont Group The HRM, ICT  General Affairs Department defines, develops, builds and executes the strategic, tactical and operational services related to the core business of Stamicarbon worldwide, , ICT  Information Management Head of Department, , The Head of Department ICT  IM is responsible to design, develop, implement and execute effective strategic, tactical and operational services of the department and ensure a coherent service strategy by working in close collaboration with the members of the HR, ICT  GA Management Team, , To align the strategic, tactical and operational services with the organizational strategy and business of Stamicarbon and the Maire Tecnimont organization, , To lead the particular department and ensure adequate resources and a healthy, pleasant and challenging working environment, , , , developments, laws and regulations, , , , You combine at least a Master Degree in Information Technology and several years of experience working in a similar IT managers role Strong affinity with Project Management methods and people skills to manage and coach a team, , As potential new colleague you are a strong communicator and influencer with the different stakeholders You are a relationship builder and networker You recognize yourself in the characteristics keen entrepreneurship, good listener and coaching skills, flexible with strong focus on service for our customers, able to work with deadlines on results You are fluent in English both spoken and written and enjoy working in an international environment and some travelling abroad, , , , Stamicarbon offers a rewarding and challenging job with opportunities for personal input The organization is 100 internationally focused, has the ambition to expand and offers individual possibilities to learn and develop in a true business environment There is an open and very pleasant atmosphere with plenty of room for discussion with highly committed fellow professionals and a good sense of humor Terms and conditions of employment as well as fringe benefits are up to market standards, , Stamicarbons Head office is located in Sittard, Limburg, The Netherlands For further information about this position, please contact Mss Natascha Brouns Recruiter Stamicarbon, Tel 003106 38675384, Send your application",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315320245?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0f32bbf987a2%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcada8dddfdde9adeaadeaadagdd7add8fdd93aefcdcefec3ddcg3e&urlHash=AUcB&refId=1073e8c2-579c-4310-9244-1990fa2c9416&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-information-management-head-of-department-amsterdam-at-mairetecnimont-2315320245?refId=1073e8c2-579c-4310-9244-1990fa2c9416&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,31,ict manager,LinkedIn,2323180981,Senior Category Manager,HsurkzeQSKWx+Z3Gznuh8w==,Menzis,"Wageningen, Gelderland, Netherlands","['Insurance', 'Banking', 'Financial Services']",Purchasing,"Senior category manager, LocatieWageningen, , Afdeling, Inkoop",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323180981?url=https%3A%2F%2Fwww%2Emenzis%2Enl%2Fwerkenbijmenzis%2Fvacatures%2F1133467-Senior-category-manager&urlHash=7_j7&refId=ad42763c-c180-4014-9145-ad82da4ba43d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-category-manager-at-menzis-2323180981?refId=ad42763c-c180-4014-9145-ad82da4ba43d&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,34,ict manager,LinkedIn,2323314660,Product Manager - EU Products,XJ1aiJf1ROCjZdIzXImJwQ==,Sustainalytics,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Product Management,"About Sustainalytics, a Morningstar Company, , Sustainalytics, a Morningstar Company, is a leading ESG research, ratings and data firm that supports investors around the world with the development and implementation of responsible investment strategies For more than 25 years, the firm has been at the forefront of developing highquality, innovative solutions to meet the evolving needs of global investors Today, Sustainalytics works with hundreds of the worlds leading asset managers and pension funds who incorporate ESG and corporate governance information and assessments into their investment processes Sustainalytics also works with hundreds of companies and their financial intermediaries to help them consider sustainability in policies, practices and capital projects With 16 offices globally, Sustainalytics has more than 650 staff members, including more than 200 analysts with varied multidisciplinary expertise across more than 40 industry groups For more information, visit wwwsustainalyticscom, , Under COVID19 circumstances, all Sustainalytics employees are now working from home More than ever, ESG factors are critical to building a more ethical and sustainable global economy Our teams need passionate colleagues to join us in delivering quality research products to our clients worldwide, , Our recruitment and selection process is continuing via phone or video meetings New team members are onboarded and start their first day with the company from the safety of their homes, , We rely on virtual team meetings and management practices, as well as a remote buddy program, to support a smooth integration in our virtual offices, , , , The Product Strategy and Development PSD team oversees product development and innovation ensures methodological integrity and consistency across product lines and manages the companys product portfolio, in alignment with corporate priorities Sustainalytics is seeking a midlevel ESG professional The role will include support responsibilities for the development and maintenance of a new and strategically important range of ESG products responding to the EU Sustainable Finance Action Plan, with a view of independently managing a subset of products over time, , Overall, this role requires someone who excels in a dynamic environment where there is a diversity of work and someone who enjoys working both independently and on a team Daytoday work will vary from reviewing research and analyzing data, to collaborating with internal teams eg Research and ICT to deliver high quality products, to monitoring industry trends and supporting client relations team Eagerness to learn about all aspects of both product development and product management is required As part of the PSD team, the candidate will join a vibrant community of Product Managers, representing the products internally and externally, , , , , , , , , In keeping with our ongoing efforts to represent the diversity of our community, we strongly encourage people from diverse groups to apply Sustainalytics is committed to providing accommodations for individuals with disabilities, upon request, , All applications will be treated with the highest level of discretion and will be accepted until close of business on December 15th, 2020, , Sustainalytics thanks all applicants for their interest, however only those applicants requested to participate in the interview process will be contacted, , Your privacy while being in contact with Sustainalytics is one of our fundamental commitments here Review our Privacy Policy to find out more about how we handle the personal data you provide us during the recruitment process",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323314660?url=https%3A%2F%2Fsustainalytics%2Ebreezy%2Ehr%2Fp%2F21c57afc812001-product-manager-eu-products&urlHash=JbFQ&refId=ad42763c-c180-4014-9145-ad82da4ba43d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/product-manager-eu-products-at-sustainalytics-2323314660?refId=ad42763c-c180-4014-9145-ad82da4ba43d&position=9&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,3,ict manager,LinkedIn,2329404999,IT Project Office Manager (PMO),FlRVDflDN8qFL1ygZD8I2g==,NES IT SERVICES LIMITED,"Rijswijk, North Brabant, Netherlands","['Construction', 'Staffing and Recruiting', 'Oil & Energy']",Project Management,"Project Office Manager PMO  12 Months Contract  Rijswijk, The Netherlands, , Essential Typical Experience 2 to 4 years of corporate IT experience or related 4year degree Experience in Agile tooling ex VSTS is a must Highly organized, possessing strong analytical abilities Expert in use of project management scheduling tools Potentially lead  coach small teams or junior project support specialists Understand the Project Delivery Framework PDF  how to apply both Waterfall  Agile project delivery methodologies within the framework, , , , The Project Office Manager PMO acts as a right hand of project  programme managers The activities of the Project Office Manager PMO are centralized around resource  work planning  control, budget management, change management, reporting,  product quality control This role may also include leading a small team of junior program control services members schedule  assign work, set objectives, ensure quality,  provide motivation  feedback on performance, , Candidates must be eligible to work in The Netherlands, , With over 90 years combined experience, NES Fircroft NES is proud to be the worlds leading engineering staffing provider spanning the Oil  Gas, Power  Renewables, Infrastructure, Life Sciences, Mining, Automotive and Chemicals sectors worldwideWith more than 100 offices in 45 countries, we are able to provide our clients with the engineering and technical expertise they need, wherever and whenever it is needed We offer contractors far more than a traditional recruitment service, supporting with everything from securing visas and work permits, to providing marketleading benefits packages and accommodation, ensuring they are safely and compliantly able to support our clients",Full-time,https://www.linkedin.com/jobs/view/externalApply/2329404999?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F7518769097074020327%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=B_Hd&refId=547e7dd0-8803-472b-92f4-40f1f2cfe7b2&trackingId=FlRVDflDN8qFL1ygZD8I2g%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-project-office-manager-pmo-at-n-e-s-it-services-limited-2329404999?refId=547e7dd0-8803-472b-92f4-40f1f2cfe7b2&trackingId=FlRVDflDN8qFL1ygZD8I2g%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-28,2020-12-03,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,6,ict manager,LinkedIn,2329870032,A freelancer to fulfill the role of IT application manager CRM,MehKH5EwW+ZnDQ3zZtehFw==,Erasmus University Rotterdam,"Rotterdam, South Holland, Netherlands","['Higher Education', 'Education Management', 'Research']",Project Management,"Within the Innovation and IT department of Rotterdam School of Management BV, Erasmus University RSM, we are looking for a, , A freelancer to fulfill the role of IT application manager CRM, , , , , , , , The Innovation and IT department at Rotterdam School of Management, Erasmus University RSM is the primary IT and innovation partner, within the commercial part of RSM Within the team, information management professionals such as IT business consultants and functional application managers work closely together with IT specialists to accelerate the primary process of the organisation  education, and its many supporting functions, like marketing and sales  with ICT facilities and innovations We articulate and channel the demand for ICT resources to our various ICT suppliers both inside and outside of the business school, and facilitate and guide innovation projects, , , , , , You will be considered for this position if you have, , , , In addition to this professional knowledge, we are looking for a meticulous, customerfriendly colleague with excellent analytical skills You are able to work independently, and you are a team player You can take initiative, make contact with others easily, and possess the necessary social assertiveness In connection with the international character of our team, an excellent command of English is a must, , , , We offer an ambitious, international and dynamic environment, in which we compete with the top business schools in Europe You will be part of a close, innovationdriven team on a vibrant university campus Your ambition and personal drive will be greatly valued , , Hourly rate for this role is between 70  80 Euro per hour, , , , Please send your CV and cover letter in English to Albert de Bree, IT Director Rotterdam School of Management BV, , , , For questions about this temporary role, please contact Albert de Bree IT Director, Rotterdam School of Management BV, Erasmus University via abreersmnl, , , , is one of Europes top 10 business schools RSM provides groundbreaking research and education furthering excellence in all aspects of management and is based in the international port city of Rotterdam  a vital nexus of business, logistics and trade RSMs primary focus is on developing business leaders with international careers who can become a force for positive change by carrying their innovative mindset into a sustainable future, , Our firstclass range of bachelor, master, MBA, PhD and executive programmes encourage them to become critical, creative, caring and collaborative thinkers and doers Study information and activities for future students, executives and alumni are also organised from the RSM office in Chengdu, China wwwrsmnl, , Rotterdam School of Management, Erasmus University is an equal opportunity employer and explicitly encourages applications from candidates of all genders, ethnicities, and nationalities, , Acquisition is not appreciated",Full-time,https://www.linkedin.com/jobs/view/externalApply/2329870032?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Df12feea61144%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadacddfgddefadadadb7adbaadfgddaaddffddf3deccdccfec3ddcg3e&urlHash=yhMG&refId=547e7dd0-8803-472b-92f4-40f1f2cfe7b2&trackingId=MehKH5EwW%2BZnDQ3zZtehFw%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/a-freelancer-to-fulfill-the-role-of-it-application-manager-crm-at-erasmus-universiteit-rotterdam-2329870032?refId=547e7dd0-8803-472b-92f4-40f1f2cfe7b2&trackingId=MehKH5EwW%2BZnDQ3zZtehFw%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-28,2020-12-03,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,28,ict manager,LinkedIn,2328670651,IT Project Office Manager (PMO) - Rijswijk,bKJPZE+aC0Ak42VhJllPZg==,NES Fircroft,"Rijswijk, South Holland, Netherlands",None,Project Management,"Job Description, , Project Office Manager PMO  12 Months Contract  Rijswijk, The Netherlands, , Essential Typical Experience 2 to 4 years of corporate IT experience or related 4year degree Experience in Agile tooling ex VSTS is a must Highly organized, possessing strong analytical abilities Expert in use of project management scheduling tools Potentially lead  coach small teams or junior project support specialists Understand the Project Delivery Framework PDF  how to apply both Waterfall  Agile project delivery methodologies within the framework, , , , The Project Office Manager PMO acts as a right hand of project  programme managers The activities of the Project Office Manager PMO are centralized around resource  work planning  control, budget management, change management, reporting,  product quality control This role may also include leading a small team of junior program control services members schedule  assign work, set objectives, ensure quality,  provide motivation  feedback on performance, , Understand the Project Delivery Framework PDF  how to apply both Waterfall  Agile project delivery methodologies within the framework, , Understand the key elements required to set up an IT project  work closely with PMs  other parties to ensure smooth set up Ensure PDF compliance through setting up appropriate repositories  data entries, maintaining quality data,  making sure that required deliverables are created, reviewed  approved, , Produce project reports  ensure that status reporting is fit for purpose, complete, timely, accurate,  communicated effectively, , Capture  track risks  issues Maintain change logs, , Examine project documentationdata for completeness  accuracy Effectively use tools like Microsoft Office Word, Excel, PowerPoint, SharePoint, Project, Visio, PPM,  required templates to create  manage project deliverables Define  implement the PMO environment  toolset which is fit for purpose for a project Ensures effective usage of the toolset  that adequate processes, assurance, reporting, communication, data, etc are in place, , Support the PM to define, sequence,  estimate resources, activities,  durations to develop a baseline schedule Track  manage activity progress, dependencies  deviations, , Support the PM to manage the resource plan, for example, through initiating project resource requests to suppliers  monitoring timecards, , Support the PM to create a project budget  work through approval processes to agree the budget Track, report on,  reconcile actual costs  revenues across the project lifecycle, , Proactively ensure project Assurance compliance, , Coordinate mandatory reviews  audits on schedule  according to procedure Track resultant recommendations  actions necessary to address shortcomings, , Facilitate project meetings  track minutes  actions Facilitate meetings to ensure that projects are formally closed , where appropriate, subsequently reviewed,  that lessons learned are captured  actioned, , Onboard new Project Managers to the Project Delivery Framework, , , , Support project alignment with  adherence to clients standard project delivery methodologies eg PDF Good understanding  experience of the various Agile frameworks Experience in Agile tooling ex VSTS is a must Experience working with Agile teams as a coreextended team member is desirable Agile certificationstrainings preferred Attention to data quality Highly organized, possessing strong analytical abilities Expert in use of project management scheduling tools Potentially lead  coach small teams or junior project support specialists, , Candidates must be eligible to work in The Netherlands With over 90 years combined experience, NES Fircroft NES is proud to be the worlds leading engineering staffing provider spanning the Oil  Gas, Power  Renewables, Infrastructure, Life Sciences, Mining, Automotive and Chemicals sectors worldwideWith more than 100 offices in 45 countries, we are able to provide our clients with the engineering and technical expertise they need, wherever and whenever it is needed We offer contractors far more than a traditional recruitment service, supporting with everything from securing visas and work permits, to providing marketleading benefits packages and accommodation, ensuring they are safely and compliantly able to support our clients",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328670651?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Ddd16595d9190%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadccadcgddffddadddb7dd7addbgadcadd7fddf3de7cdcgfec3ddcg3e&urlHash=u5OX&refId=1c6b4399-597b-4f79-bd5e-448a36638b64&trackingId=bKJPZE%2BaC0Ak42VhJllPZg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/it-project-office-manager-pmo-rijswijk-at-nes-fircroft-2328670651?refId=1c6b4399-597b-4f79-bd5e-448a36638b64&trackingId=bKJPZE%2BaC0Ak42VhJllPZg%3D%3D&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,2020-10-28,2020-12-03,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
