Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date
information,Indeed,pj_6f4fe856b295cc96,Cyber Intelligence Analyst (m/f),ABN AMRO Bank, Amstelveen,"We are looking for an experienced, self-driven intelligence analyst that can operate independently and improve the team as a whole. The ideal candidate will seek to improve others while continuously learning and identifying ways to strengthen the team’s analytical tradecraft and advance our Cyber Intelligence Capability.

Are you ready to take this challenge?


Your job
Are you the one who always like to one step ahead of the adversaries?
Do you like to track threat actors?
Do you see yourself as a secret service agent in a parallel universe ceasing sparks before they turn into a full-blown ravaging fire?
If yes, then you could be one we are looking for.

We are inviting applications for a Cyber Intelligence Analyst who dares to venture beyond the maps. It may mean trending incident/event analysis, OSINT Analysis, tracking adversaries and the next big innovations in cyber intelligence which we have just started.
Energetic, highly skilled self-starters would definitely thrive in this dynamic and fast-paced environment, and we look forward to go through your candidature.
The focus of the Cyber Intelligence Analyst is to defend against adversarial activity by collecting intelligence that matters and producing tailored analysis driving active cyber defense efforts to deter successful exploitation. The Cyber Intelligence Analyst will use data analysis, cyber intelligence, and information sharing network. The Cyber Threat Intelligence Analyst will directly support the multiple CISO teams by applying analytic and technical skills to identify malicious activity, APT groups and potential insider threats, and in some cases assist in performing incident response.

Review multiple information sources (including internal, open source and closed source intelligence) to identify emerging treats, and relevant TTPs.
Analysis (technical, quantitative and qualitative) of multiple sources of information (commercial Intelligence, OSINT, community, **ISACs sharing) to provide timely, actionable intelligence and reporting.
Conduct Intelligence Investigations and extrapolate adversary tools, techniques and procedures.
Report on findings through different mediums, including in writing, personal briefings and presentations, both in internal and external forums, to a wide variety of audiences, ranging from highly technical teams to executive management.
Support cyber incident response activities from intelligence analysis prospective.
Establish industry cyber leadership and law enforcement relationships.
Follow relevant trends surrounding practices involving cyber security analysis.
Provide independent critical thinking to diagnose and analyze cyber intelligence data and making decisions on response and remediation.
Working environment
You will be working within the GCIC (Global Cyber Intelligence Center) team within ABN AMRO CISO Operations and Intelligence Grid. The team consists of highly motivated and passionate analysts, each with their own specialisation, such as open-source & human intelligence, malware analysis & reverse engineering, SOC analysis & forensics, and incident response.


Your profile
You are a self-starter/initiator with good social skills. You cooperate/align with your stakeholders.

You have strong communication skills and you know what is going on in your immediate environment and in the rest of the organization. By working together within your department, with the other intelligence analysts and other security analysts, you are able to bring intelligence value to the organization. You understand the business and where necessary, you can support them in non-technical language.

You have :
Understanding of cyber risk concepts.
Good understanding of Cyber Threat Intelligence cycle
Functional understanding of common threat analysis models such as the Diamond Model, Cyber Kill Chain, and MITRE ATT&CK.
Familiarity with the technical engineering requirements associated with the production of intelligence.
Ability to track industry developments and relevant new technologies.
Incident response and intelligence analysis methodologies.
Attack methodologies and familiarity with common threat and attack models used during IR and Intel analysis.
Able to communicate effectively, both verbally and in writing, with internal departments, subsidiaries and colleagues.
Strong research, analytical, and problem solving skills.
Excellent verbal, written and interpersonal communication skills.
Proven ability to present findings and conclusions clearly and concisely to all levels of staff, management and/or vendors.

We are offering
We offer a challenging job and you are directly responsible for your own successes. We will stimulate every opportunity to work on personal development and developments to keep on top of your professional knowledge.

We are offering
The opportunity to be the best you can be, work flexible hours and lots of room to grow both personally and professionally
The opportunity to pro-actively work on your vitality and fitness
A good salary based on a 36-hour workweek
A supplementary benefit budget of 11%, which you can spend on additional fringe benefits
A personal development budget of EUR 1.000 per year
An annual public transportation pass or travel budget, depending on the function
A solid pension plan.

Interested?
Does this sound like something you’d be interested in? Send us your application as soon as possible. To find out more please contact Lalit Bhakuni (Team Lead – Global Cyber Intelligence Center): lalit.bhakuni@nl.abnamro.com.
We look forward to meeting you.",-1.0,-1,https://indeed.nl/rc/clk?jk=6f4fe856b295cc96&from=vj&sjdu=0ZFwD5rbjMRcHz87Kzx_g4iztdTb_2bOBnSpyL0eJqpdiOn07o4wLqqBxjTpmDZAA9qkdDfJTGZOh4MTywonrvXXmRfAX9j0SSJp5hvWLIZmRlzvK_lMDe9_AmhKwYhNZ1maLru5I2OWGZxTMWgZe_7Qb1ENvhrwAhaUm6wWMtNFASBQwf3L1tUJorS-y-Hw5zAJ1a65RDvMw5wzbVBLkg&spon=1&adid=119151942&mvj=0&vjfrom=vjs&pos=bottom&ad=-6NYlbfkN0A_cWh5ufxJCEatf9FOtgdwl-LajcKrnY3NwdklpeSDnoDdQoz-tSPqE0xm0PWgYs1F-dCcVbzX7QByVG-SXTdGoRbzLc7vIw1TuMoLIeRBGXq2FI-rEtDJtOVbTLC8QC1lT3FR0lGj_GuACSErYKUWQdYkPobXJTPPqrDtKNnl5JKrgdq-TJSCOj6MrKfWyrKPXqMUatjS75kO71gFTdGyJEU2mFLtqbJ9Ai1jeHTZGa2ywTHI3JZmAW__cFuBpGj0_GfnuUk3hzqFo9Uj5Xe1LNR_eo95ZVK6TBbP11UFepW0m6S4BAfJcRl8NlkiJm4bbfPlmxRlozTCYdE3r9lR7M1Lbc2kKCfoIrzbjuY-4NbqhJpRu2zIViWr21mwENKM_97yEEWUKTY17_xst-ww8IF-kXMg7SL6d8GKM13zYBZ2ptVCRQpA3Rg4QhiK07Ard4AVu7554tCf-UskTINqBuTNRRgG7deVvKgudff0M2CHVxdqWNlxO-yePrS-Nq-4Xqr05gWWeHxecIeDjtbO1Op_KYzm3EQrDFTYHG9PbHeOlvwP9uQb2w1qWrjdo-n59T43S50EvR13QgPpji3F4Ag16W07Lnb8JYMOTLGpBxWi9LTIrhCH9upAuF8elc9ngJaQvFI_VHH8y_-AKYvVDPTW2hL1Ssd87VaDkkH8os7vUZP1ou0q5U0hJvfp0CaN9ykMOb8nofcRtMa1GzjPmsL1-5_uwPyU4hlRMyOCcCQC8UsqjoYOJ9US9wVT3G7ntisR7wEphQ==&astse=0c2a8c39d00f64cc&assa=4503,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A_cWh5ufxJCEatf9FOtgdwl-LajcKrnY3NwdklpeSDnoDdQoz-tSPqE0xm0PWgYs1F-dCcVbzX7QByVG-SXTdGoRbzLc7vIw1TuMoLIeRBGXq2FI-rEtDJtOVbTLC8QC1lT3FR0lGj_GuACSErYKUWQdYkPobXJTPPqrDtKNnl5JKrgdq-TJSCOj6MrKfWyrKPXqMUatjS75kO71gFTdGyJEU2mFLtqbJ9Ai1jeHTZGa2ywTHI3JZmAW__cFuBpGj0_GfnuUk3hzqFo9Uj5Xe1LNR_eo95ZVK6TBbP11UFepW0m6S4BAfJcRl8NlkiJm4bbfPlmxRlozTCYdE3r9lR7M1Lbc2kKCfoIrzbjuY-4NbqhJpRu2zIViWr21mwENKM_97yEEWUKTY17_xst-ww8IF-kXMg7SL6d8GKM13zYBZ2ptVCRQpA3Rg4QhiK07Ard4AVu7554tCf-UskTINqBuTNRRgG7deVvKgudff0M2CHVxdqWNlxO-yePrS-Nq-4Xqr05gWWeHxecIeDjtbO1Op_KYzm3EQrDFTYHG9PbHeOlvwP9uQb2w1qWrjdo-n59T43S50EvR13QgPpji3F4Ag16W07Lnb8JYMOTLGpBxWi9LTIrhCH9upAuF8elc9ngJaQvFI_VHH8y_-AKYvVDPTW2hL1Ssd87VaDkkH8os7vUZP1ou0q5U0hJvfp0CaN9ykMOb8nofcRtMa1GzjPmsL1-5_uwPyU4hlRMyOCcCQC8UsqjoYOJ9US9wVT3G7ntisR7wEphQ==&p=2&fvj=0&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,pj_0a603ebfe7e75e51,Payroll Coordinator,Nike Fox NSP Europe, Amsterdam,"Fox NSP Europe is an operating partner for the Nike sports brand in Europe. As part of our expansion plans, we are currently seeking for an efficient Payroll Coordinator for our Nike headquarter located in Amsterdam.Position OverviewThe payroll Coordinator r review and process each country’s monthly compensation schedule and ensure each staff member is paid accurately. In this position, you will work closely with HR and other financial personnel, external payroll companies, employment taxes and pension accounts within each of our countries of operation in Europe.Key responsibilitiesAdminister paychecks, deduction summaries and earnings statements with external payroll companies for a staff of the different countriesEvaluate the accuracy of time sheets submitted every week and contact supervisors or individual employees when there is a discrepancyCreate new data files for new employees and submit hiring paperwork into the system to set up a payroll accountEnter information into the payroll system about employee taxes, exemptions, transfers, firings, and resignations as details changeRespond to any errors in payroll by reviewing past records and making any wage corrections or adjustments when necessaryTrack employee absences through the payroll software and record detailsAnswer employee questions about payroll, leave amounts, tax forms and other compensation issues when askedPreparing financial reports for accountingPreparing periodic payroll reports for review by managementSkills and EducationAssociate degree or higher in business administration, finance or accountingThree or more years’ experience in a similar positionProficiency in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook)Experience using payroll accounting softwareStrong organizational skills and attention to detailAbility to work well under pressure in a deadline-driven environmentIn-depth knowledge of employment law and payroll taxesSelf-motivated and results drivenKnowledge and experience working with payroll systems and databasesExceptional communication and interpersonal skillsResponsible, proactive and displays high energy and enthusiasmWhat you will getOpportunity to learn and grow your career with an outstanding luxury athletic brandAmazing discount on Nike gearPositive and supportive team environmentWe thank all applicants for their interest however, only those selected for an interview will be contacted.Soort dienstverband: Fulltime, Parttime, Bepaalde tijdWerkschema:ma-vrTaal:English (Vereist)Thuiswerken:NeeVoorzorgsmaatregelen tegen het coronavirus:Op afstand solliciteren",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A1TtOnVIPcorDqo-7EOMVAy5_HRKCvAfzYaBPi9Hmr8rnwfSa6R0GWlefL8u7cysvOdz0DTZyEJG53uRhTctrIYSfwBJ0mrYhm1Dai6BXsqNtLmTZBDip-k3nkv7geTQXPvCx39iDniNuZEOmdu937E5XZEmljqdPt0hDjZI2ChUpVH7HSf7dNF56P1D34y5b0v_YCnh3XpQYrMTcgqaFT83xiik-qFuBlqtge76e1ErdTuoNhMwYEQBM2ZVMqZqfY_VgLxo6r6dlUWe00BbwfYTI-J_NHetSeA0gWjL_-qx0dlyBDvLU80LC6tLiF8UKuU4S28zXYILChT-cNQQbaVl1rF5gr37i13PTYtbnDVXnZxHFlotP3j0JfIKjbKyxJguFMbFX7cidRT7xmTKO0VlHlUYsqP4_w17KelreieGbOT07b1rFyreqjBlEWfayE0MaBHHrqacBiYzqec5X0&p=3&fvj=1&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_0d57611592a1fa9e,Night Receptionist - Courtyard Amsterdam Arena Atlas,Hotel Co 51, Amsterdam,"At the Courtyard by Marriott Amsterdam Arena Atlas our fun, energetic and passionate associates help our guests “Make Room For A Little Fun"".

Our lobby is flooded with natural light, and the impressive wooden staircase in the middle makes it a prime place to meet and greet.

The rooms are designed with comfort and convenience in mind, making them utterly suitable for the modern traveler.

Unwind, relax, or catch up on business while using our complimentary Wi-Fi.


Amsterdam-Zuidoost is the heart of the business district in the capital of the Netherlands, just a short distance away from the vibrant center of Amsterdam.

The hotel has convenient access to the Ziggo Dome, Johan Cruijff ArenA, AFAS Live, RAI convention centre and Schiphol Airport.
Are we looking for YOU?!
As a Night Receptionist in Courtyard by Marriott you will be responsible for the preparation and disposition of all Night Audit work as well as all Front Office functions during the overnight shift. You will be a member of a great team where everyone is just as important as the other.

You will be responding to every guest’s requests including concierge requests.
You will meet different guest every day and you will have an exciting time.
You need to provide a personal and friendly service to our guests.
You are service minded and your focus is on the guest experience.
You have knowledge of accounting principles
You have an eye for details
You are a team player
You have great energy and you are a people person
You are flexible and positive
You have a experience from working as a Night Receptionist before
You are good with technology and you´ve been working with Opera (PMS) before
You speak and write fluently English, Dutch and preferably a third language


The front desk is open 24/7 and you will be working in night shifts.

Night shifts are from 11pm until 7am.
Other benefits

Training and development opportunities
Social activities
Special room rates at Marriott hotels worldwide for you, your family and your friends with the Marriott Explore Rate Program
Travel allowance


MORE INFORMATION
Hotel Co 51 is a growing hotel management company based in Amsterdam and is part of the Vastint Group, who is the owner of the hotels that are operated by us. Currently we are operating 27 hotels under a franchise agreement with Marriott International Inc., mainly Moxy Hotels, Courtyard by Marriott and Residence Inn by Marriott. More to come in the next years.


Marriott International, Inc. is offering the most powerful portfolio in the industry, our 30 brands and 7,000+ properties across 131 countries and territories give people more ways to connect, experience and expand their world. Founded by J. Willard and Alice Marriott, and guided by family leadership since 1927, their principles remain embedded in the company’s culture and in everything we do today. The company is headquartered outside of Washington, D.C. in Bethesda, Maryland.",-1.0,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=0d57611592a1fa9e&fccid=05c63a3f9a3ff531&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_cc2f4dc4d72a58c3,CSR Analyst,Takeawaycom, Amsterdam,"Are you looking for a CSR role with exciting challenges on a global scale? Have the expertise to advise colleagues across the business on sustainability? Then keep reading…
Our story (the bitesize version):

From perfect pizzas to superb sandwiches, we deliver to millions of food-lovers every day. Having expanded as Just Eat Takeaway.com, we're now active across 24 countries and 5 continents, with over 50 million active users globally.
World-class marketing is a vital ingredient in our continued growth and success. From CSR experts to campaign specialists and copywriters, our talented teams ensure everything we produce is on-brand, engaging and ethical.
All about the role:

As our CSR Analyst, you act as the technical and policy expert within the CSR team. You're responsible for leading scientific aspects of the CSR programme, advising team members and the wider business on vital policies, developments and technical details.
In this position, it's also your responsibility to:
Distil complex information and data and translate it into clear, understandable language for a wide range of stakeholders
Interpret sustainability-related announcements, white papers, policies and other legislative proposals produced by governments & other authorities/NGOs
Digest information and advise the business on new developments and requirements in areas such as sustainability reporting
Write policy papers and proposals on key sustainability focus areas
Operate effectively at management level, supporting colleagues in the CSR team – as well as reporting into the Global Head of CSR
Can you deliver…

Here are the skills and experience we need from our CSR Analyst:
Interest in key sustainability themes relating to our business, including: carbon, packaging, electric vehicles, energy supply & consumption, food production & food waste, food hygiene and safety
An analytical, proactive and collaborative approach to your job
Able to understand relevant issues in-depth, and consistently looking to broaden your knowledge and understanding
Experience working on CSR topics within consultancy, public policy or academia is an advantage
Excellent communication and presentation skills, with the potential to represent the business at stakeholder meetings & events
Here is our offer

When you join us at Just Eat Takeaway.com, we'll give you these fantastic rewards:
Competitive salary
A wide-ranging CSR role, with the opportunity to make a global impact
Great team & company events
26 days of holiday per year
A dynamic & welcoming work environment at our office in London or Amsterdam
Competitive pension plan
Budget for internal & external training and conferences
Additional perks – these vary between the U.K. and the Netherlands
Are you the CSR specialist we're looking for? Click Apply Now and send us your CV!",-1.0,-1,https://indeed.nl/rc/clk?jk=cc2f4dc4d72a58c3&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=a88d53d993a8e7c3&assa=9643,https://nl.indeed.com/vacature-bekijken?jk=cc2f4dc4d72a58c3&fccid=a7f7ef4951d63c7c&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_087a07901d176ecd,Project Coordinator/Admin,BNP Paribas, Amsterdam,"The Organisation department covers 2 main areas of responsibility: the management and/or coordination of projects, either initiated locally or from Head Office. Also studying the business, market/regulatory or organization related subjects in order to improve efficiency, decrease cost and risks.
Key Responsibility Areas
Asissting the Project Managers with the management and/or coordination of complex and large-scale transformation projects in parallel
Creating and maintaining relationships with various stakeholders
Assisting the team with project documentation such as minute recording during meetings including creating up to date status reports
Tracking and chasing outstanding actions across multiple projects with multiple stakeholders. Assisting stakeholders meet deadlines if needed
Participating in the ongoing process improvement within the project team and the wider organisation
Contributing to the risk and issue analysis on each of the projects
Contributing to the project planning and initiation documentation. Gathering project requirements from stakeholders.
Any ad hoc requirements.
Role requirements & Qualifications
HBO/University degree with a mimimum of 2 to 4 years of working experience
Type of education and experience required
Bachelor in Business Administration or an Information Management related study. 2 to 4 years of Project Management Experience.
Key Technical Skills, knowledge and competencies
Strong knowledge of Project Management methodologies (such as PMBOK or Prince2)
Sharepoint maintence
MS Excel and PowerPoint capabilities
Excellent written and oral skills in English and preferably in Dutch

Job Related Competencies
Able to impact/influence decisions & individuals through strong relationship management skills
Professional, and dedicated
Excellent communication and time management skills
Resilient, flexible to deal with multiple projects with potientlally conflcting deadlines
Team-player to help the team meet the team objective create a fun team environment",-1.0,-1,https://indeed.nl/rc/clk?jk=087a07901d176ecd&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=b72633d354e0750d&assa=2183,https://nl.indeed.com/vacature-bekijken?jk=087a07901d176ecd&fccid=1392500f835bba92&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_834e2fed7450f5b2,Legal Coordinator,Netflix, Amsterdam,"Amsterdam, Netherlands
Legal and Public Policy
Netflix is the world's leading streaming entertainment service with over 195 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages.
We are looking for a talented and experienced professional to join our Marketing Legal team in Amsterdam supporting legal counsel and business partners across EMEA. The Marketing Legal team works alongside multiple business partners to help bring Netflix’s title and brand campaigns to life across the region and the world. These teams include the regional Marketing and Publicity Teams, our Editorial and Publishing teams, Marketing Partnerships, Legal Delivery and our Content Legal partners.
Responsibilities will vary but will include: tracking and reviewing studio, talent and other agreements to extract and synthesize applicable information to guide our business partners; maintaining, organizing, and localizing contract templates across our regional offices, creating precedents, toolkits, guidance notes and business training materials, developing and maintaining the legal portal for business partners and acting as a general cross functional hub for the team. Opportunities to become more directly involved in contract negotiation and client advice are available.
We want to add new perspectives and different voices to our team as we continue to grow. Applicants from all backgrounds are encouraged to apply. Your talent, knowledge & experience (however gained) and your fit for Netflix culture are more important than the below profile or PQE levels.
Preferred candidate profile:
You are intellectually curious, demonstrate great initiative, and you are excited and inspired by the Netflix culture
You are a sound organizational thinker with a focus on identifying problem areas and maximising efficiency.
You are experienced in reviewing and summarizing substantial amounts of information with minimal supervision.
You have experience in knowledge management tools and solutions.
You are adaptable and happy to work in a role where the work is varied and changeable and are excited to stretch beyond existing areas of expertise.
You are collaborative, enjoy being part of a team and are able to build great relationships across the business.
Business proficiency in English is required. Additional language skills are a plus.
APPLY NOW
Share this listing:
LINK COPIED",-1.0,-1,https://indeed.nl/rc/clk?jk=834e2fed7450f5b2&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=cb6ab151e07dffee&assa=4189,https://nl.indeed.com/vacature-bekijken?jk=834e2fed7450f5b2&fccid=66403b30a2c0d89c&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_f1b6c522e4beaf1b,Covid-19 Specialist Supervisor,Stryker, Amsterdam,"Position Summary

This role supports the management of case trends across Stryker sites including trending reports, potential training needs, communication with stakeholders and reviewing of escalated issues from Covid –19 Case Reviewers. Provides support to tier 1 reviewers and LIRTs on escalated cases. Serves as an expert in our personal exposure and response guidance and IRT process execution. Focused on the protection of employee safety and maintaining privacy in employee data. Supervises Covid Case Reviewers.

Essential Duties & Responsibilities

Meets daily with team/ Covid-19 team to review incident trends across sites
Communication and direct interaction with employees and customers
Confirmed positive phone calls
Employee business travel and case management
Support case reviewers with incident questions, protocol clarification, escalation, deep-dive related discussions
Partnership with Medical team on escalated cases and response / quarantine guidance evolution
Contribute to weekly LIRT communications: including email and content preparation
Connection point with key stakeholders (Sites/ HR Operations and HRBP’s)
Facilitate formal and adhoc trainings for LIRTs and Covid-19 team member(s)
Function as a key contact for questions/concerns from HR leaders and LIRTs
Analyze trends from the deep dive and site discovery discussions and provide exec summaries to SLT.
Provide input to Covid –19 guidance in collaboration with SMEs and key stakeholders
Alert to any potential HR or EHS policy changes that need to be made based on information coming out of the Covid –19 team
Support the COVID Process Analyst on process change feedback and requirements
Contribute to the Confluence knowledge base content
People management; supervise a team of COVID case reviewers and provide support for incident overflow in the case of team capacity constraints or vacation coverage needs

Education & Special Trainings

Bachelor's degree, in any discipline
Problem solver with creative approach to proactive identification and resolution of issues
Execution-oriented, self-starter and self-navigator who can prioritize high-value projects versus tasks in a fast-paced environment and balance demands of multiple projects
Very responsive, with a customer-centric/solutions-oriented approach and the ability to serve a wide range of needs within the organization and at all levels",-1.0,-1,https://indeed.nl/rc/clk?jk=f1b6c522e4beaf1b&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=db9bcf3f03391f6a&assa=6139,https://nl.indeed.com/vacature-bekijken?jk=f1b6c522e4beaf1b&fccid=9d4dbca3ed8b9cdf&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_6469c9b62719a7e6,Data Protection Officer,Tesla, Amsterdam,"The Role

The Data Protection Officer is responsible for ensuring compliance with EU privacy and data protection laws, and in particular with the requirements set out under the General Data Protection Regulation (GDPR). In addition, this role supports and advises on matters regarding the implementation and monitoring of an effective data protection program.

Responsibilities

To inform and advise Tesla and its employees of their obligations under the GDPR and other Union or Member State data protection requirements
To monitor compliance with the GDPR, with other Union or Member State data protection requirements and with Tesla policies that relate to the processing of personal data, including awareness-raising and training of staff involved in processing operations
To provide advice where requested, perform data protection impact assessments and monitor its performance pursuant to Article 35 GDPR
To cooperate with the supervisory authority
To act as the contact point for the supervisory authority on issues relating to privacy and data processing, including consultation required by GDPR
To act as the contact point for data subjects with regard to all issues related to processing of their personal data and to the exercise of their rights under the GDPR
Assist in the continuous enhancement, implementation and maintenance of Tesla’s privacy framework, policies, procedures, and governance model by providing subject matter expertise
In the course of the performance of his/her tasks, have due regard to the risk associated with processing operations, taking into account the nature, scope, context and purposes of processing

Requirements

Expert knowledge of national and European data protection laws and practices including an in-depth understanding of the GDPR
Understanding of the processing operations carried out, including information technologies and data security
Knowledge of the business sector and the organization
Ability to promote a data protection culture within the organization
Strong analytical, risk assessment and problem solving skills to quickly understand and effectively support complex business initiatives and compliance projects
Ability to effectively manage and prioritize a variable workload and you have a positive and pro-active approach;
Strong understanding of the German language.
The role will ideally be based in Berlin or Netherlands, but other locations may be considered on case-by-case basis",-1.0,-1,https://indeed.nl/rc/clk?jk=6469c9b62719a7e6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=d1b6e74746db8eee&assa=8005,https://nl.indeed.com/vacature-bekijken?jk=6469c9b62719a7e6&fccid=86e9be6ce380173e&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_64b0c8d312a9cab7,Document & Invoicing Specialist,Syngenta, Enkhuizen,"The Supply Chain division of Syngenta Vegetables located in Enkhuizen seeks a motivated part time Document & Invoicing specialist.
Document & Invoicing Specialist
Location: Enkhuizen
Part-time: 34 hours

Into action
In this role you are responsible for a timely and correct management of creating export documents and invoices to achieve a smooth import and export process within Vegetables seeds. Besides the execution of your daily operational activities, you play a proactive role in supporting Customer Service and Order Management with regard to all import/export and invoicing questions. You act as a support for the Dispatch and Expedition departments for questions regarding the documents and you will strive for continuous improvement of the processes.
The challenge
As a Document Specialist you are responsible for the complete handling of import/export documents and invoicing flow within the Customer Service and Order Management groups in Syngenta. You act as the contact between the Trade Specialist and Supply Chain by ensuring all legal documents regarding import and export are correct. You are also responsible for the registration of all incoming phytosanitary certificates, and you will make sure all documents are properly archived. You act as the primary contact for operational contacts with the National Plant Protection Organisation and Naktuinbouw for daily business. Besides this you identify possible bottlenecks and inefficiencies as part of the continuous improvement responsibility. You actively communicate with various departments internally as well as with customers regarding export and related documents. And you make sure you know how to organize and administer your work efficiently.

Qualifications
Your profile
You have a bachelor degree in logistics and/or international business/business administration knowledge or an educational background in Export documents, INCO terms, letter of credits and Supply Chain in general. You have user knowledge of MS Office and SAP environments. You are fluent in both English and Dutch. You are a strong communicator, pro-active and able to establish outstanding working relations. You are stress tolerant and know how to deal with delivery issues. You are constantly looking for improvement steps to maintain a reliable partnership with different stakeholders.

Your chance!
If you recognize yourself in the profile and would like to apply for this position please apply on-line via www.syngenta.com if you would like to have more information about this vacancy please contact our recruiter Arjen Mol by phone on (+31) 6 2257 4332 or at Arjen.mol@syngenta.com

Primary Location: NLD-Enkhuizen-Enkhuizen

Other Locations: Netherlands

Job: P&S - Supply & Logistics",-1.0,-1,https://indeed.nl/rc/clk?jk=64b0c8d312a9cab7&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=0ebbafd7fac3b8e0&assa=165,https://nl.indeed.com/vacature-bekijken?jk=64b0c8d312a9cab7&fccid=212d266bb52619f8&vjs=3,Vandaag,Vandaag,2021-02-28
information,Indeed,p_f3625ee984961442,Project officer,Soa Aids Nederland, Amsterdam,"Aidsfonds - STI AIDS Netherlands works as one organization on a world without AIDS and on reduction of STIs and HIV in the Netherlands. Over 140 highly motivated people work at our office in Amsterdam.
We are at a historic turning point in the fight against AIDS. We have all the knowledge to defeat the AIDS epidemic for good. In the Netherlands and in the rest of the world. But it is not yet a completed race. If we do not put the fight against AIDS at the highest speed now, the epidemic will continue. That may not happen. Together with 140,000 donors and partners, such as the Ministry of Foreign Affairs and the Postcode Loterij, Aidsfonds does everything to prevent that. As one of the largest private funds, we have been playing a pioneering role in the fight against AIDS for years. To put an end to AIDS, we work with local communities, do research and ensure that AIDS remains high on the global agenda.
International teams
The international department consists of two teams – the Children, Youth and Women team and Key Populations team – which are supported by global advocates, a strategic policy advisor, a gender advisor, a PM&EL advisor, a business developer and an institutional fundraiser. Collectively we work on different projects in flexible teams to successfully reach our organisational objectives.

To join our international department, we are looking for a
Project officer (temporary position)
(32 hours per week)
You will mainly work on the following two projects:
Intellectual Property
Intellectual Property
Affordable access to ARVs (HIV medication) to ensure treatment for all is one of Aidsfonds goals. For this purpose, Aidsfonds is supporting a wide range of partners that advocate to reduce the intellectual property barriers for ARVs. The intellectual property project portfolio is in its last year of financial support. The project officer will ensure the proper close-out of the projects, facilitate linking and learning between partners and facilitate the strategic positioning of Aidsfonds going forward.
Young Wild and Free
Young Wild and Free
Young Wild Free is a project focussed on prevention, treatment, care and support services for young key populations (sex workers, LGBTI people and people who use drugs). Young key populations experience additional barriers, for example laws and regulations preventing service providers from providing services to young people. This project will contribute to the body of knowledge on how best to reach and engage young key population members and to design culturally and age-appropriate services. In the final year of this project, you will be responsible for the documentation and dissemination of the project learnings amongst others via a webpage collaborating with multiple partners.
Tasks and responsibilities
Main tasks and responsibilities
Monitor progress and budgets of the assigned (sections of) the portfolio of Intellectual Property grants(s)
Identify lessons learned and advocacy asks from the Intellectual Property portfolio and Young Wild Free project, to be shared among key stakeholders
Provide strategic direction on Aidsfonds support and role in intellectual property, together with project team
Maintain relevant network of grantees and partners
Initiate, encourage and ensure knowledge sharing and knowledge development in the team, department and organization, on intellectual property and Young Wild Free project
Organize (online) meetings for project implementation and learning
Play a supportive role in other projects of KP and Children, Youth and Women teams based on affinity, interests and needs throughout the year

Your salary will be between € 2.719 and € 4.393 gross per month (for 36 hours). You will be offered a fixed term contract till 31th December 2021.
Requirements and competencies
Requirements and competencies
Knowledge of HIV/AIDS and the international playing field
Knowledge on Intellectual Property and HIV and/or Key Populations is preferred
Proven track record in project/grants management, and experience/affinity with advocacy
Ability to work both independently and as part of a team and to manage and prioritize tasks effectively to meet organizational and project deadlines
Creative, flexible and communicative
Relevant academic level & fluent English communication skills
Involvement
Involvement
Working at Aidsfonds - Soa Aids Nederland means working with other professionals to invest the best in yourself for a good goal. We are an organization with an open, welcoming and collaborative atmosphere. Due to COVID-19 we work from home, following the RIVM guidelines.
Aidsfonds - Soa Aids Nederland aims at a diverse workforce with a balanced representation of men and women, ages, sexual orientations and ethnic backgrounds. We particularly encourage applications from qualified candidates who are living with HIV and/or from key affected communities.
More information
More information
On our website www.aidsfonds.org; www.aidsfonds.nl; www.soaaids.nl . You can also contact Martine Weve, team lead Children Youth and Women, at mweve@aidsfonds.nl. (Please use this e-mail address only for questions and more information. If you would you like to apply, please use the link below).",-1.0,-1,https://indeed.nl/rc/clk?jk=f3625ee984961442&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=86f2234e2dca84f3&assa=2137,https://nl.indeed.com/vacature-bekijken?jk=f3625ee984961442&fccid=b49380bc00c7366e&vjs=3,Vandaag,Vandaag,2021-02-28
