,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Type of ownership,Rating,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,27.0,ingenieurs,LinkedIn,2321502129,Engineer,vm1q9F5bSCGZswlwQaukwg==,Mammoet,"Utrecht, Utrecht, Netherlands",['Mechanical or Industrial Engineering'],Engineering,"Job Description, , Stop targeting Start exploring, The danger of having a specific expertise is tunnel vision When youre part of a team you need to enrich your knowledge with a wider perspective Understanding what your colleagues do, having an open mind about industry changes  they are vital to staying one step ahead, , The duties and responsibilities of the Engineer include, , , Key skills, , , Education  experience, , , , , Mammoet helps clients improve construction efficiency and optimize the uptime of plants and installations For that purpose, we provide solutions for lifting, transporting, installing and decommissioning large and heavy structures, , Our services are focused on the petrochemical and mining industries, civil engineering, power generation and offshore projects The logistic challenges in these industries are growing daily Factors such as remote locations, harsh climates and a strong emphasis on the environment are constantly driving us towards smarter and safer solutions, , We provide the following services, , , For over two hundred years, weve been known for the unique capability of our stateoftheart equipment But its the trust of our clients that has brought us where we are today Their confidence inspires 5,000 Mammoet professionals to give it their all each day and truly make a difference in projects all over the world, , , , Mammoet Thailand Limited, is a specialist in customerdriven and tailormade heavy lifting and transport solutions at any onshore or offshore location Activities focus on the petrochemical industry, civil projects, power plant facilities, offshore businesses and marine projects Mammoet is a leading worldwide player in its industry Knowledge, experience and stateoftheart equipment in combination with high quality and safety standards have made Mammoet a market leader that sets trends and records around the world",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321502129?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fcc316945-605e-4d5e-b049-2da2ecdfc87b%3Fjid%3D45ebf09dc3b2e878c37ea34abcfee3087aa77bcee73c92d7ff6cd92495fcc641%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=FLb6&refId=dc4f919c-9516-47e7-b226-e15c06f3ef05&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-mammoet-2321502129?refId=dc4f919c-9516-47e7-b226-e15c06f3ef05&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,73.0,ingenieurs,LinkedIn,2284865230,"Mechanical Engineer, Tooling High-Tech",MFXLx5sJQwCjWKFxo6jUWA==,ACE ingenieurs  adviesbureau,"Eindhoven, North Brabant, Netherlands",['Mechanical or Industrial Engineering'],Engineering,"Are you looking for a new challenge in your career We are looking for a new talented colleague to join our hightech team, , the function, For our hightech department we are looking for a mechanical engineer who not only likes to be challenged technically, but also someone who can monitor the overview and arrange the necessary matters to arrive at a feasible result As a Mechanical Engineer you are responsible for the development and application of mechanical designs to meet system specifications and operational requirements, , Experience, Personal skills",Full-time,,https://nl.linkedin.com/jobs/view/mechanical-engineer-tooling-high-tech-at-ace-ingenieurs-adviesbureau-2284865230?refId=462ae9e0-626f-457a-a234-c2ac3188eb6d&position=23&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,78.0,ingenieurs,LinkedIn,2325423235,Precision Engineer,CjsArODnSiqMxqxHlhlXfg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Engineering,"Job Context  Duties, , Define technical requirements, , Interpret technical requirements, , Manage engineering project, , Perform scientific research, , Use technical drawing software, , , , Ability to work effectively in an international or multicultural environment, , Strong motivation and open and positive attitude, , Ability to work independently, , Excellent time management and organisational skills, , Accuracy and attention to details",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325423235?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D5fc5f5bd8dc9%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcada8addfddb9adaaddbaadegadcadd8fadc3aedcdc7fec3ddcg3e&urlHash=ewV6&refId=4382d35b-9207-4469-aeae-51f6c2106efd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/precision-engineer-at-talent-2325423235?refId=4382d35b-9207-4469-aeae-51f6c2106efd&position=3&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,92.0,ingenieurs,LinkedIn,2326400721,Engineer,mp4yxYrWQ3+0RfcyNgogxQ==,TenneTBV,"Arnhem, Gelderland, Netherlands",['Mechanical or Industrial Engineering'],Engineering,"Wat doe je als Engineer bij TenneT Processing the following tasks in the area of HVDC Control  Protection within the following main topics HVDC Station and process control HVDC Protection Monitoring  Diagnostics Transient fault recording  power quality Developing technical specifications and decision templates Preparation of tender documents, evaluation of quotation documents and assist during technical negotiations Monitoring quality during the project and operating phase Analysis of control systems, new products and their evaluation, Voor de volledige vacature klik op de sollicitatiebutton Je wordt doorgestuurd naar een externe website",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326400721?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F1d880667-4b3e-497d-9925-879c4484e2bf%3Fjid%3D902ce21e71281df98196a04c2b086127b0d43cb36f81c4e5cf962852c9592760%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=bPSY&refId=4382d35b-9207-4469-aeae-51f6c2106efd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-tennetb-v-2326400721?refId=4382d35b-9207-4469-aeae-51f6c2106efd&position=17&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,93.0,ingenieurs,LinkedIn,2326355794,Engineer P&ID,aWqie7qiQvyZ63ZOnuFV9g==,Chain Technical Professionals,"Rotterdam, South Holland, Netherlands","['Architecture & Planning', 'Civil Engineering', 'Mechanical or Industrial Engineering']",Engineering,"Experienced Engineer with knowledge of diagrams  PIDs in the field of shipbuilding For several projects Chain Technical Professionals is looking for you Job Description As our specialist, you will become responsible for the engineering of a variety of piping systems on board of ships or offshore assets Your main tasks will be",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326355794?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fengineer-p-en-id%3A44344003%2F&urlHash=44yk&refId=4382d35b-9207-4469-aeae-51f6c2106efd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-p-id-at-chain-technical-professionals-2326355794?refId=4382d35b-9207-4469-aeae-51f6c2106efd&position=18&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,111.0,ingenieurs,LinkedIn,2321553391,Surface Engineer,Lr3Nhxo4RI27qZ/Oi3E9FQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Mechanical or Industrial Engineering'],Engineering,Job Context  DutiesAdjust engineering designsApprove engineering designExecute analytical mathematical calculationsPerform scientific researchUse technical drawing softwareQualifications and experience requiredAnalysis and problem solving Ability to identify the critical facts in difficult issues and develop creative and practical solutionsThe ability to deal with a range of tasks at the same timeThe ability to deal with a range of tasks at the same timeCustomer Focus Ability to meet the expectation and requirement of internal and external customersExperience of having worked in a similar role,Full-time,https://www.linkedin.com/jobs/view/externalApply/2321553391?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F0da1da1e-93ab-43db-9bc1-fd112360af13%3Fjid%3Dc3a9d28c0e6241c47a2e6c26f14bf24ecb76e87bc9eb04566091abb9ba5c8ae8%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=-j-v&refId=d48310cc-887a-4ed7-aedf-21ae4debc606&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/surface-engineer-at-talent-2321553391?refId=d48310cc-887a-4ed7-aedf-21ae4debc606&position=11&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,128.0,ingenieurs,LinkedIn,2276076598,Engineer II,YD/dZt+kQFOrPSTzx42qsQ==,Lumen Technologies,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Telecommunications']",energy supply,"About Lumen, , Lumen is guided by our belief that humanity is at its best when technology advances the way we live and work With 450,000 route fiber miles serving customers in more than 60 countries, we deliver the fastest, most secure global platform for applications and data to help businesses, government and communities deliver amazing experiences Learn more about Lumens network, edge cloud, security and communication and collaboration solutions and our purpose to further human progress through technology at newslumencom, LinkedIn lumentechnologies, Twitter lumentechco, Facebook lumentechnologies, Instagram lumentechnologies and YouTube lumentechnologies, , , , Lumen technologies has got an advanced fiber optic network to provide customers with various technology services all over the world To make this technology possible we need to be able to rely on a strong Critical Infrastructure basis where the power and cooling at our Lumen locations can be 247 guaranteed This can only be achieved by having good and qualified Critical Infrastructure staff available in our company who make sure that these Critical Infrastructure systems remain Operational and in an excellent condition, , , , The Critical Infrastructure engineer coordinates and implements the preventative maintenance program as per the EMEA maintenance agreement These works will require a good relationship and collaboration with the Facility Maintenance provider and requires you to work closely with all involved specialist vendors so that our Lumen Critical infrastructure assets Mechanical and Electrical systems in the Benelux are correctly maintained In case of repairs andor fault conditions where immediate actions are needed it is important that these are followed up and resolved as per the agreed SLA This role involves the management of the maintenance and repairs of all critical infrastructure assets at the Lumen locations in Belgium and the Netherlands This also includes the scheduling and tracking of all repair costs and verifying if work completion is in compliance with company standards and policies for all our Benelux facilities, , Lumen has obtained ISO 50001 and ISO 27001 certification and it is essential that all our work process and maintenance activities remain in compliance with these standardizations, , Below are some specific details for this role in the Benelux The Critical Infrastructure engineer will report to Senior Field Operations Manager and work collaboratively together with the Belgium and Netherlands Field teams who are responsible for the ISP and OSP network This role requires on call and out of hours responsibilities during the night and weekends which dependant on the criticality can either be done via the phone or require physical attendance on site, , As part of the Lumen electricity policy the Critical Infrastructure will be appointed as Cordinator Elektrische Veiligheid This role will mainly consist of organizational responsibilities For technical activities for which the Cordinator Elektrische Veiligheid doesnt have the correct knowledge and skills support will need to be requested with an external vendor who does have the required qualifications to perform the works, , , , , , , , , Requisition  232633, , The above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job Job duties and responsibilities are subject to change based on changing business needs and conditions, , We are committed to making reasonable adjustments to the recruitment process for people with disabilities If there is anything we can do to help you, please let us know, , We are committed to providing equal employment opportunities to all persons regardless of race, religion, colour, sex, age, disability or sexual orientation or any other status protected by local or national law We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training We participate in the ACheck Preemployment Screening Program or the Electronic Employment Verification Program, depending on location",Full-time,https://www.linkedin.com/jobs/view/externalApply/2276076598?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D1236%26rx_jobId%3D232633%26rx_url%3Dhttps%253A%252F%252Fjobs%2Elumen%2Ecom%252Fglobal%252Fen%252Fjob%252F232633%252FEngineer-II%253Fjobsource%253Drecruitics%2526utm_medium%253Dphenom-feeds%2526jobPipeline%253DLinkedinJobPostings%2526utm_source%253DLinkedinJobPostings%2526rx_campaign%253DLinkedin1%2526rx_group%253D121897%2526rx_job%253D232633%2526rx_medium%253Dpost%2526rx_r%253Dnone%2526rx_source%253DLinkedin%2526rx_ts%253D20201129T131517Z&urlHash=U1qH&refId=00c82c52-543c-4470-aff4-c8cae2ca3fc7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-ii-at-lumen-technologies-2276076598?refId=00c82c52-543c-4470-aff4-c8cae2ca3fc7&position=3&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
7,152.0,ingenieurs,LinkedIn,2325393079,Associate Engineer,BKlJEDvsSme9hwpv4XiQlw==,Authentiek,"Leiden, South Holland, Netherlands","['Information Technology and Services', 'Computer & Network Security', 'Financial Services']",Engineering,"Posizione, , Associate Program Start January 2021 Duration 2 years Fulltime 375 hours per week Location Leiden area, The Netherlands Company Our client is a crucial member and has a key role within the financial industry The company is international and multicultural with over 2400 employees of 75 nationalities, with offices worldwide The core business of this company is to ensure the safe and secure facilitation of financial transactions This program brings you to the heart of the financial community FinTech companies, Banks, and Corporates across the globe As an Associate Engineer youll learn to assist customers around the world to solve operational challenges on a daily basis and you will work with colleagues from different locations and cultures Program Outline This Associate Program consists of two phases which are split into two years In phase one or year one, the Associate Engineer will be busy with getting trained on the various specific products and services with the goal to become a certified professional This will lay the foundation for the Associate Engineers further development within the company, , In phase two or year two, the Associate Engineer will work directly with cases and clients, applying the knowledge learned during year one Towards the end of year two, there is the possibility of choosing for himself or herself a different career development direction If a position in another department opens up amongst others, businessdata analysis, business intelligence, technical support towards consultancy, cyber security, productproject management, network engineering and many others the Associate Engineer will have the chance of applying for it within the company Unique Features The main features that make this program unique are CERTIFICATIONS the Associate will be trained to obtain the associate and professional certification which are considered highly valuable worldwide within the financial industry GROWTH throughout the program the Associate will dramatically increase their knowledge in every field of IT Networks, Cloud, Cyber Security, etc as well as their soft skills team working, communication, etc COOPERATION The program is designed to let the Associate be always assisted by more experienced colleagues in an international English based environment Selection Process Personality and ability tests will be part of the selection procedure which will be performed by Authentiek The overall selection procedure will take about 2 months As a consequence, even if you have not graduated yet, you can start the selection procedure upfront and ensure your place before graduating, , The contract offered is a full time job agreement with a competitive salary Contact details If you are interested to have more information, please send an email including your most recent CV to Luiza Piletti at, , SedeLeidenTipo contrattoA tempo determinatoSettoreinformaticaelettronicaArea aziendalefinanzaPosizioni aperte1Caratteristiche del candidatoLingue straniereE richiesta la conoscenza delle seguenti lingue Inglese ottimo C2 Esperienze lavorative precedenti",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325393079?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0898968266b3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd88dd7fdd89dd7addaadd8gddeaddafdda3aeecdcdfec3ddcg3e&urlHash=SdJC&refId=34d2b113-90b2-48a9-854f-eff4b08965a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/associate-engineer-at-authentiek-2325393079?refId=34d2b113-90b2-48a9-854f-eff4b08965a5&position=2&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,158.0,ingenieurs,LinkedIn,2305908259,Draft Engineer - Amsterdam,RV1W1iziSFy0KCGBlYeP1w==,Neitraco Groep,"Amsterdam, North Holland, Netherlands","['Industrial Automation', 'Civil Engineering', 'Mechanical or Industrial Engineering']",Engineering,"As a Draft Engineer you are an important link between problem and solution You will make innovation a reality You will raise engineering to a higher level, , What do you tell your friends about what you do at work, , You see that plane over there I gave it its wings, , What your tasks will be, , You will independently develop construction designs You will make technical drawings, assembly drawings and lists of materials You will solve technical problems You will survey existing components and machines You will plan your work, check its progress and continually communicate with the parties involved You will spot any deviations within projects and will initiate proposals for improvement You will represent the vision and working methods of the Neitraco Group You will be responsible for projectrelated purchasing, , Your profile, , You are skilled at managing the balance between working independently and being a good team member You are an engineer, so by definition you are a perfectionist You are resultsfocused Stress No problem, you keep a cool head You are not afraid to give your opinion We like people who are clear and direct It is a clich, but it is true the client is king and you completely understand You know 3D packages inside out You hold a mechanical engineering diploma from a Technical College or equivalent You are made for the job of Draft Engineer, , Amstel Engineering, , Engineers with passion for technology, , Working as a draft engineer at Neitraco draws on decades of experience in mechanical and electrical engineering, surveying, and civil engineering With seven subsidiaries, located in ten locations in the Netherlands and Belgium, we offer a complete range of technical services As a group, Neitraco engineering can thus support customers in every technical challenge, both on a project basis or through secondment, , Working with intelligent engineering, , Working at Neitraco means working on growth and continuous development, not only of yourself but also of the technology From research through development to implementation we rely on your analytical and practical skills Do you shine as a Draft Engineer Are you targeting the search for technical solutions and continuous improvement Our interest in innovative projects encourages us to push our boundaries every day Working at Neitraco Engineering elevates your career to the next level",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305908259?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1cbccab91886%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcadd8adefadd9addaadfaadegdd7addffdd83de8cdcafec3ddcg3e&urlHash=fUir&refId=34d2b113-90b2-48a9-854f-eff4b08965a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/draft-engineer-amsterdam-at-neitraco-groep-2305908259?refId=34d2b113-90b2-48a9-854f-eff4b08965a5&position=8&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,164.0,ingenieurs,LinkedIn,2320966428,E/I Engineer - Amsterdam,CxgYu/f1SaeI48PiJDE5bQ==,Star,"Amsterdam, North Holland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Oil & Energy']",Engineering,"STAR Group Is Looking For An Engineer EI, , Relevant bachelors or masters degree, , Good communicationsinterpersonal skills to allow productive, collaborative relationships with operations, technical personnel a key team player, insideoutside vendors and customers, , Demonstrated leadership skills and strengths in getting results, individually as well as with teams, , Willing to explore new technologies and drive continuous improvement, , Strong interest in daily operation interaction, , Ambition to develop a professional or managerial career, , Affinity with Instrumentation electronics in the chemical sector, , Affinity with the design of electrical and control installations, , Knowledge of functional logic diagrams and interlock matrixes, , Knowledge of PLC controllers, DCS systems and safeguard systems, , Knowledge of safety instrumented system SIL and SIS, in acc with NENENIEC6150861511, , Industrial project experience",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320966428?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0adcdfab5832%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcadf8adcfadd9adcaadaaadfgadeaddbfdd83dedcdcefec3ddcg3e&urlHash=spI8&refId=34d2b113-90b2-48a9-854f-eff4b08965a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/e-i-engineer-amsterdam-at-star-2320966428?refId=34d2b113-90b2-48a9-854f-eff4b08965a5&position=14&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29,en,,,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
