,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,logistics manager,LinkedIn,2321553495,Logistics Manager,4yVuADttOPz1DZ8q85Exrw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Mining & Metals'],Management,"We are looking for a reliable logistics manager to be responsible for the overall supply chain management, , Logistics manager responsibilities include organizing and monitoring storage and distribution of goods, , The goal is to manage the entire order cycle so as to enhance business development and ensure sustainability and customer satisfaction, , , , , Maintain metrics and analyze data to assess performance and implement improvements, , Resolve any arising problems or complaints, , , Liaise and negotiate with suppliers, manufacturers, retailers and consumers, , , , , Record of successful distribution and logistics management, , Ability to work independently and handle multiple projects, , , Proven working experience as a logistics manager",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321553495?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb30c80dc-c3d4-48ba-8ae2-e283514db12f%3Fjid%3D846726dc41c2e90fb3d4706adac9ba5849e9de8c9ac79a4acc22584533735eb6%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=FjHX&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistics-manager-at-talent-2321553495?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=4yVuADttOPz1DZ8q85Exrw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,logistics manager,LinkedIn,2324275820,Logistics Manager,Uz8snFl9Bxt8Gv5ynTUODg==,GrandVision NV,"Amsterdam, North Holland, Netherlands",['Retail'],Management,"This is a great opportunity for an experienced Warehouse or Logistics Manager, working at a corporate level, , This function doesnt involve people management but will be a bridge between our HQ in Amsterdam, the Netherlands and our Regional Fullfillment Hub RFH based in Porto, Portugal, with travel between these locations post COVID This role has a more corporate scope with lots of stakeholder management This post will have a holistic approach and will also include looking at efficiency, cost reduction, selection of third party logistic providers, understanding the logistics flow and identify areas of improvements and be able to drive this between HQ, RFH and our Operating Countries OPCOs",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324275820?url=https%3A%2F%2Fwww%2Ecareersatgrandvision%2Ecom%2Fvacancies%2Fvacancy-global-warehousing-engineer&urlHash=8yXY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistics-manager-at-grandvision-nv-2324275820?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=Uz8snFl9Bxt8Gv5ynTUODg%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,3,logistics manager,LinkedIn,2307877119,Global Road Transportation Logistics Manager,tVek2VP4bi+16n6PSOcD1g==,Bramwith Consulting,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Logistics and Supply Chain', 'Food & Beverages']",Supply Chain,"Global Road Transportation Logistics Manager , Market Leading FMCG Organization, Location  Madrid, Spain Relocation required, Salary  75k85k  Comprehensive benefits Car, Bonus, Meal Voucher, etc",Full-time,,https://nl.linkedin.com/jobs/view/global-road-transportation-logistics-manager-at-bramwith-consulting-2307877119?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=tVek2VP4bi%2B16n6PSOcD1g%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,4,logistics manager,LinkedIn,2309482992,Associate Director Logistics & Transportation,X6ZOd7baHOKwaDao3dc9dQ==,MSD Netherlands,"Haarlem, North Holland, Netherlands","['Biotechnology', 'Pharmaceuticals', 'Veterinary']",Distribution,"Job Description, , Did you always want to work in a company that embraces the value of bringing diverse, talented and committed people together Where gender equality at all levels of the organization is promoted And do you enjoy working in an international environment and did you always want to work in a company where your work can have a real impact We would like to meet you, , We have an exciting new opportunity as an at our Haarlem site, , , , You will be responsible for the quality and safety of the processes and drives continuous improvement in these areas The Associate Director will have approx 5 direct reports Technical Manager, Improvement engineer and Pharmaceutical specialist The ideal candidate has the potential, ambition and capability to progress to roles with a greater scope, responsibility and leadership in the future In this role you will report directly to the Director Global logistics of the Haarlem site, , , , The Global Logistics department 107 employees is responsible for the incoming goods, the control and storage of bulk, finished goods FIGOs and components and the distribution to more than 140 countries of all our FIGOs, , , , , , , , , We welcome you to a truly global, dynamic and challenging environment with great opportunities for personal development Our benefits are very competitive, and the summary below will give you an idea of what you can expect, , , , We are known as Merck  Co, Inc, Kenilworth, New Jersey, USA in the United States and Canada and MSD everywhere else For more than a century, we have been inventing for life, bringing forward medicines and vaccines for many of the worlds most challenging diseases Today, our company continues to be at the forefront of research to deliver innovative health solutions and advance the prevention and treatment of diseases that threaten people and animals around the world, , We are driven by our purpose to develop and deliver innovative products that save and improve lives With 69,000 employees operating in more than 140 countries, we offer state of the art laboratories, plants and offices that are designed to Inspire our employees as we learn, develop and grow in our careers We are proud of our 125 years of service to humanity and continue to be one of the worlds biggest investors in Research  Development, , , , In a world of rapid innovation, we seek brave Inventors who want to make an Impact in all aspects of our business, enabling breakthroughs that will affect generations to come We encourage you to bring your disruptive thinking, collaborative spirit and diverse perspective to our organization Together we will continue Inventing For Life, Impacting Lives while Inspiring Your Career Growth, , INVENT, , IMPACT, , INSPIRE, , We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment We encourage our colleagues to respectfully challenge one anothers thinking and approach problems collectively We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace, , , Merck  Co, Inc, Kenilworth, NJ, USA, also known as Merck Sharp  Dohme Corp, Kenilworth, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities All CVs  resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no preexisting agreement is in place Where agency agreements are in place, introductions are position specific Please, no phone calls or emails, , , Regular, , , Domestic, , , No, , , , 10, , , Not Specified, , , Not Indicated, , , Yes, , , , , 1, , R70288",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309482992?url=https%3A%2F%2Fjobs%2Emsd%2Ecom%2Fgb%2Fen%2Fjob%2FMSD1GBR70288ENGB%2FAssociate-Director-Logistics-Transportation%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=HiC3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/associate-director-logistics-transportation-at-msd-nederland-2309482992?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=X6ZOd7baHOKwaDao3dc9dQ%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,5,logistics manager,LinkedIn,2323549027,Global Logistics Operations Manager - Process Excellence,MSQ79PKcqi1F/uEEVm5jKg==,Supply Jobs Australia,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Financial Services']",Management,"Global Logistics Operations Manager  Process Excellence, , FTSE 100 Manufacturing Business, , , , , , , , , , , , This FTSE 100 organization is looking for a talented logistics project manager to join the growing global logistics team to help drive process improvements and operational efficiency across their logistics operations This role is in line with a global transformation happening across the business to establish a more centrally managed approach with global strategies being implemented across all regional and local business units, , As the Global Logistics Operations Manager, you will be tasked with reengineering existing processes to eliminate bottlenecks and identify opportunities to improve efficiency under a new global structure You will be acting as an internal consultant engaged with several business units and collaborating with a high volume of stakeholders to understand business needs and effectively communicate change strategies, , , , , , , , , , This is an opportunity to join a global market leader in a position to truly drive and enact change at a global level Your projects will have an immediate impact on the global operations of this FTSE 100 organization If you are a logistics expert looking for your next challenge to deliver operational excellence to a global business, then apply now Send your CV via the link above or directly to",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323549027?url=https%3A%2F%2Fwww%2Ecips%2Eorg%2Fsupply-management-jobs%2Fjob%2F179336%2Fglobal-logistics-operations-manager-process-excellence-%2F&urlHash=3ket&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/global-logistics-operations-manager-process-excellence-at-supply-jobs-australia-2323549027?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=MSQ79PKcqi1F%2FuEEVm5jKg%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,6,logistics manager,LinkedIn,2265969413,Logistics excellence Manager,ZxQfP6ZJfAEIFXODj6BxXA==,Michael Page,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Management,"Logistics excellence Manager, Multinational organisation, very good benefits and possibilities, About Our Client, Client is a very known organisation within the Paper industry, operation on a global scope and still growing, , , , You will be building a network with all the divisions and sites throughout Europe with result to ensure Continuous Improvement within organisation, furthermore you will be, but not limited to  delivering key projects across all divisions  define and enrol within the pillar of Logistics best practices and ensure cost efficiency  optimise logistic processes, freight management across Europe, , You will have at least  Bachelor diploma, Masters is preferred  proven experience within Continuous improvement, Belt colour is preferred  very strong in stakeholder management  proven experience in a cross divisional function, , , , good salary, excellent secondary benefits and strong possibilities in order to develop employees",Full-time,https://www.linkedin.com/jobs/view/externalApply/2265969413?url=https%3A%2F%2Fwww%2Emichaelpage%2Enl%2Fen%2Fjob-apply%2Flogistics-excellence-manager%2Fref%2F195232%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator%26utm_campaign%3Dlimitedlisting&urlHash=K-DQ&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistics-excellence-manager-at-michael-page-nederland-2265969413?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=ZxQfP6ZJfAEIFXODj6BxXA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,7,logistics manager,LinkedIn,2316249002,Global Logistics and Fulfillment Manager,PfWB43KaEnu+KnxCJZySmA==,"Butterfly Network, Inc","Amsterdam, North Holland, Netherlands","['Medical Devices', 'Computer Software', 'Hospital & Health Care']",Customer Service,"Company Description, , Butterfly Networks mission is to democratize healthcare by making medical imaging accessible to everyone around the world We are reinventing medical imaging and championing a new era of healthcare by creating the first ever pocketsized, wholebody ultrasound device  the Butterfly iQ This breakthrough technology has reduced the cost of the traditional ultrasound system by miniaturizing it onto a single semiconductor silicon chip, , Since inception, Butterfly has raised over 375 million The Butterfly iQ has received CE Mark and FDA clearance, and is being sold in hospitals and clinics around the globe, , Joining Butterfly Network is the opportunity to redesign the future of healthcare through the power of technology Embark on a journey with us to maximize global impact, motivated by the idea that our products will change the lives of millions along with the people you love, , , , The Global Logistics and Fulfillment Manager has the responsibility to manage all aspects of the delivery of Butterfly products to its customers globally You report into the Senior Director of Business Operations and work closely with crossfunctional stakeholders on all levels The role is focused on tactical and strategic direction, change management and building a scalable and effective logistics and fulfillment network, , As part of our team, your core responsibilities will be, , , , , You Deeply Identify with Core Butterfly Network Values, , , , , We offer great perks, , Butterfly network does not accept agency resumes, , Butterfly Network Inc is an EVerify Company and is an equal opportunity employer regardless of race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability or Veteran status All your information will be kept confidential according to EEO guidelines",Contract,https://www.linkedin.com/jobs/view/externalApply/2316249002?url=https%3A%2F%2Fgrnh%2Ese%2F41c8f7c03us%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=666a&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/global-logistics-and-fulfillment-manager-at-butterfly-network-inc-2316249002?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=PfWB43KaEnu%2BKnxCJZySmA%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,8,logistics manager,LinkedIn,2304648509,Manager Operations,5CNeuECGsA4Gm9NkE3llQQ==,VIA Logistics Professionals,"Amsterdam, North Holland, Netherlands","['Logistics and Supply Chain', 'Warehousing']",Management,"Our client is a specialized provider of integrated logistics services to global industries In the Amsterdam region they are servicing a high demanding, high tech client who is constantly seeking for innovations and pushing boundaries in an 40 technical assembly environment For these activities we are searching for a Manager Operations",Full-time,,https://nl.linkedin.com/jobs/view/manager-operations-at-via-logistics-professionals-2304648509?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=5CNeuECGsA4Gm9NkE3llQQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,10,logistics manager,LinkedIn,2319840583,Operations Manager,Vvzheqw6W81KD4kSuJFuaA==,Vimerson Health,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Online Media', 'Internet']",Management,"Location 100 remote working role you can work from anywhere in the world, , Salary Negotiable, , Fulltime no more than 160 per month, , We have a fantastic opportunity to welcome to our Team an experienced and skilled Operations Manager in order to help take the company to the next level, , We at Vimerson Health are creating the model for the companies of the future We are a 100 remote and happinessled company that encourages selfempowerment and radical transparency We put happiness, fulfillment, joy, and harmony before everything else On top of that, we have the double advantage of helping people with our natural Dietary Health Supplements, , Our Culture puts our Team Members happiness and fulfillment First, our Customers happiness and fulfillment are Second, and revenue and profit are Third, , Please feel free to visit our company on Glassdoor to see the feedback our colleagues have said about their experience of working for Vimerson Health  https wwwglassdoorcoukReviewsVimersonHealthReviewsE3558421htm, , We are an entrepreneurial fastpaced and fastgrowing company that is selffunded, and therefore we have the freedom to make our own decisions without having to respond to investors that are inclined to put monetary goals first instead of the health and happiness of our Team We have no rigid hours and boast our very own dedicated inhouse Happiness Coach, , , , As Vimersons Operations Manager, you will be responsible for inspiring, leading and growing a team of 12 across Supply Chain, Business Analysis, Finance, Admin and Talent Acquisition, , As our Operations Manager, you will use your exceptional analytical skills and business acumen to manage and improve our organizations internal processes and combine your entrepreneurial vision and energy with a highly data driven, pragmatic approach to drive the business forward, , You will thrive in a fast paced, dynamic and entrepreneurial environment which encourages innovation, creativity and continuous improvement, , You will be a dedicated and great team player, but most importantly, you will put happiness and fulfillment first, proactively seeking your ideal lifework harmony",Full-time,,https://nl.linkedin.com/jobs/view/operations-manager-at-vimerson-health-2319840583?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=Vvzheqw6W81KD4kSuJFuaA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,11,logistics manager,LinkedIn,2294775034,Supervisor Logistics,rTvtx9bGNFNaKWvzaDfyNQ==,Johnson  Johnson,"Leiden, South Holland, Netherlands","['Hospital & Health Care', 'Medical Devices', 'Pharmaceuticals']",Management,"Job Description, , The Vaccines business of the Janssen Pharmaceutical Companies of Johnson  Johnson is dedicated to bringing meaningful innovation to global health Our teams focus on the discovery, development, manufacture and marketing of vaccines and antibodies to protect people worldwide from infectious diseases, , , , For our department we are currently seeking for a fulltime, , , , , , The Logistics  Material Handling department consists of a warehousing team, planner buyers, process specialists and Logistics Distribution team to support Product Development and Clinical Trials The department is responsible for materials management including the ordering of material, the warehouse and inventory control operations and the distribution  either internally or in close collaboration with external stakeholders such as other Janssen organizations, Contract Manufacturing Organizations or Contract Research Organizations, , , , We are looking for a proactive Supervisor Logistics who will successfully lead the Logistics team and who will be embedded in the broader organization You will be responsible for, , , , , , , , , , , The Team lead Logistics will supervise the logistics team and act as a subject matter expert on distribution topics related to our development programs and Quality Assurance The supervisor logistics will report to the Senior Manager Site Operations, , We offer an interesting position which allows you to work on different types of interesting topics, supporting our programs in various stages of development In this position first experience into people management and leading groups can be obtained With the Vaccines business of Janssen being part of Johnson  Johnson, you will work in a dynamic and international environment, ensuring diversity in your work and creating plenty of opportunities for personal development, , , , HBO or equivalent in a relevant discipline, with at least 5 years experience in logistics environment Knowledge of international shipping IATA, ADR, Incoterms practices Given the international environment in which the team lead will have to operate, fluency in the English language is required Experience with working in a GMP environment, working with relevant planning tools and indepth experience with temperaturecontrolled shipments are strong advantages, , , , Independent on location, flexible, collaborative, communicative and motivating, enjoys working in a team Willing to develop people leader skills Interpersonal skills, well developed understanding of process excellence and business acumen are key for this position, , , , , , As an employee we consider you as our most valuable asset We take your career seriously, , As part of a global team in an innovative environment your development is key and our daytoday responsibility, , Through euniversity, on the job training, various projects and programs, we ensure your personal growth, , Our benefits make sure we care for you and your family now and in the future, , Will you be our new colleague Please visit our jobsite wwwcareersjnjcom, look for the requisition number and apply online",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294775034?url=https%3A%2F%2Fjobs%2Ejnj%2Ecom%2Fjobs%2F2005871124W%3Flang%3Den%26src%3DJB-10280&urlHash=FATb&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supervisor-logistics-at-johnson-johnson-2294775034?refId=07d0591e-9a42-4ae7-a8ca-7cb6749c11cd&trackingId=rTvtx9bGNFNaKWvzaDfyNQ%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-21,2020-12-01,en,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
