,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,7,logistics manager,LinkedIn,2315134126,International Supply Chain Manager,95MVv9AaSzucmM/9y8P0SQ==,LeasePlan,"Amsterdam, North Holland, Netherlands",['Automotive'],Other,"You are responsible for, , For our International Supply Chain Manager vacancy we are looking for a new colleague at our Amsterdam based office In this role you will be dedicatedly responsible for the supply chain management of a large international client with whom we have launched a business critical fleet program You will create and implement a structured supplier selection, measurement and management process, that is standard across all markets deployed",Full-time,,https://nl.linkedin.com/jobs/view/international-supply-chain-manager-at-leaseplan-2315134126?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,11,logistics manager,LinkedIn,2199857438,Supply Chain Manager,yYT0MZ7VSda+IeSypgtF5w==,Just Eat Takeawaycom,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Staffing and Recruiting']",Management,"We are in search of a Supply Chain Manager for the department Scoober of Takeawaycom, the leading food delivery platform in Europe The food delivery market is growing at extreme speed and is highly competitive Can you live up to this agility and responsiveness to the everchanging circumstances Then this might be your job, , , , Weve grown from a small attic business to become a global food delivery powerhouse As Just Eat Takeawaycom, we take millions of orders every day across 23 countries  from the Netherlands to New Zealand, , Many of those deliveries happen thanks to Scoober, the logistics division of our business With Scoober expanding into new markets, we need you on board, , , , Being based in Amsterdam, operating in more than 100 cities and 10 countries in Europe as well as Israel, you will be representing Scoober, the internal logistics provider of Takeawaycom, , You will work closely with another internal department, Partner Services, who take care of procurement and distribution of all merchandise and disposables throughout Europe The primary objective is to supply our drivers with the most suitable equipment for their job in the most efficient, costeffective manner possible, , As Supply Chain Manager, you are responsible for the logistics and supply of equipment to our local hubs and remote couriers You manage the operational relationship with Partner Services, mainly focusing on the day to day processes that allow our operation to run optimally, , , , , , , , , You dont wait to be told what to do but take initiative Your strong communication and analytical skills make you capable of building efficient and effective processes Being stressproof and having a good sense of humour makes you a perfect fit for our ambitious team, , , , , We believe that your expertise and these great rewards belong together, , , Ready for this exciting Supply Chain Manager role Click Apply Now and send us your CV, , Department Corporate Staff",Full-time,https://www.linkedin.com/jobs/view/externalApply/2199857438?url=https%3A%2F%2Fcareers%2Etakeaway%2Ecom%2Fglobal%2Fen%2Fjob%2FR_008396%2FSupply-Chain-Manager%3Futm_source%3DlinkedIn%26utm_medium%3Dpaid_jobposting%26utm_campaign%3DCorporate%2520Staff%26utm_term%3DSupply%2520Chain%2520Manager%26utm_content%3DAmsterdam&urlHash=SKxn&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supply-chain-manager-at-just-eat-takeaway-com-2199857438?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,15,logistics manager,LinkedIn,2226379873,EMEA Senior Operations Manager.,+ZBb7bciRFiwMvrFZVaTWw==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']",Management,"Leading the future of luxury mobility, , Lucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industry, , Lucid is looking to hire a Senior Operations Manager for the launch and scaling of Lucid in EMEA This role will lead physical operations planning that allow us to bring the first cars to our customers in EMEA and ensure the service organization is created and optimized to support A successful candidate will be able to create partnerships with crossfunctional teams to influence decisions made whilst relentlessly delivering a world class operations, logistics and service organization, , , , , , , , Be part of something amazing, , Come work alongside some of the most accomplished minds in the industry Beyond providing competitive salaries, were providing a community for innovators who want to make an immediate and significant impact If you are driven to create a better, more sustainable future, then this is the right place for you, , At Lucid, we dont just welcome diversity  we celebrate it Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations",Full-time,https://www.linkedin.com/jobs/view/externalApply/2226379873?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Flucidmotors%2Fa71f0c50-698d-49bf-bd53-9d68674d5619%3Flever-origin%3Dapplied%26lever-source%25255B%25255D%3DLinkedIn%26lever-source%3DLinkedInJobs&urlHash=h9bB&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-senior-operations-manager-at-lucid-motors-2226379873?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,19,logistics manager,LinkedIn,2227348221,Category Manager Supply Chain,lxteNHK9SRK3vj5KpFYyAQ==,Huisman Equipment BV,"Schiedam, South Holland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Oil & Energy']",Management,"Working as Category Manager at Huisman means that you are responsible for global strategic sourcing, development and management of framework contracts and supplier partnershipsAs Category Manager, you operate in a team Category Managers and closely cooperate with Category Buyers, Engineers and other stakeholders at Huisman, Together with the Group Discipline Manager Supply Chain you contribute to the Supply Chain strategy for the flawless delivery of components and services by developing existing and new suppliers, evaluating their performance, analyzing markets in which Huisman and our suppliers operate and setting up frame agreements Furthermore, you work on incorporating Category Management into the company processes",Contract,https://www.linkedin.com/jobs/view/externalApply/2227348221?url=https%3A%2F%2Fwww%2Ehuismanequipment%2Ecom%2Fen%2Fcareers%2Fcareer_opportunities%2Fvacancy%2F1125781%2FCategory-Manager-Supply-Chain&urlHash=SKev&refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/category-manager-supply-chain-at-huisman-equipment-b-v-2227348221?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,23,logistics manager,LinkedIn,2307877119,Global Road Transportation Logistics Manager,jxxsk2APRqqQ3bwnUJXPdg==,Bramwith Consulting,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Logistics and Supply Chain', 'Food & Beverages']",Supply Chain,"Global Road Transportation Logistics Manager , Market Leading FMCG Organization, Location  Madrid, Spain Relocation required, Salary  75k85k  Comprehensive benefits Car, Bonus, Meal Voucher, etc",Full-time,,https://nl.linkedin.com/jobs/view/global-road-transportation-logistics-manager-at-bramwith-consulting-2307877119?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,24,logistics manager,LinkedIn,2316690159,Supply Chain Manager,91eTC3FiQSiyE9ZrN3D8DA==,HCL Technologies,"Eindhoven, North Brabant, Netherlands",['Information Technology and Services'],Management,"HCL Technologies is a nextgeneration global technology company that helps enterprises reimagine their businesses for the digital age Our technology products, services, and engineering are built on four decades of innovation, with a worldrenowned management philosophy, a strong culture of invention and risktaking, and a relentless focus on customer relationships",Full-time,,https://nl.linkedin.com/jobs/view/supply-chain-manager-at-hcl-technologies-2316690159?refId=0a14a897-9c2a-4ec1-a6fd-4398314c52c0&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,27,logistics manager,LinkedIn,2285262950,Senior Vendor Manager Benelux,usJ4jpSkSHmjyGDPN9fjkg==,Amazon,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Information Technology and Services', 'Internet']",Purchasing,"Description, , Senior Vendor Manager Benelux, Amazon strives to be Earths most customercentric company where people can find and discover virtually anything they want to buy online By giving customers more of what they want  low prices, vast selection, and convenience  Amazon continues to grow and evolve as a worldclass ecommerce platform, , Amazon is looking for an experienced professional to support Amazons fast growing business in the Benelux on behalf of our customers By establishing relationships with vendors and analyzing customer data, you will identify sourcing and selection opportunities and ensure best availability to customers To fulfill this demand you will build longterm relationships with our vendors and adjacent Amazon teams on behalf of our customers, , The position is based in Amazons Dutch offices in the city of Amsterdam, , , , , , , , , , , , , , All offers are contingent on the successful completion of a background check, , Amazon is an equal opportunities employer We believe passionately that employing a diverse workforce is central to our success We make recruiting decisions based on your experience and skills We value your passion to discover, invent, simplify and build We welcome applications from all members of society irrespective of age, sex, disability, sexual orientation, race, religion or belief, , ,  Amazon EU SARL Netherlands B, Job ID A1347009",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285262950?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1347009%2Fsenior-vendor-manager-benelux%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=p4Bx&refId=e7b57679-cc07-4897-af2b-63d96e3483ae&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-vendor-manager-benelux-at-amazon-2285262950?refId=e7b57679-cc07-4897-af2b-63d96e3483ae&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,28,logistics manager,LinkedIn,2271136379,Supply Chain Manager,NQ+/fz2zRHGLa+3RdrT5kg==,Boskalis,"Papendrecht, South Holland, Netherlands","['Maritime', 'Oil & Energy']",Supply Chain,"Supply Chain Manager, , How you can make your mark, In this role you will be responsible for the Supply Chain Management of the Business Unit Offshore Heavy lifting BOHL Your role is crucial for timely and commercially successful bidding and execution of projects that are carried out with, for example, our heavy lifting vessels Bokalift 1 and Bokalift 2 Presently under construction In addition to your Supply Chain responsibility for BOHL you also have a direct line to the Corporate Procurement department",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271136379?url=https%3A%2F%2Fcareers%2Eboskalis%2Ecom%2Fapply%2F%3Fvacancy_id%3D40101%26post_id%3D4169644%26utm_source%3DLinkedIn%26utm_medium%3Djobslot%26utm_campaign%3DSupply-chain-manager&urlHash=FxbW&refId=e7b57679-cc07-4897-af2b-63d96e3483ae&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supply-chain-manager-at-boskalis-2271136379?refId=e7b57679-cc07-4897-af2b-63d96e3483ae&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,30,logistics manager,LinkedIn,1903198981,Senior Customer Solutions Manager,wUKtGAHrQjaFy7DxsYNL/A==,Amazon Web Services AWS,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Information Technology and Services', 'Internet']",Consulting,"Description, , As an Amazon Web Services AWS Sr Customer Solutions Manager you will be responsible for helping to guide the largest and most complex AWS Benelux customers along their multiyear journey to the cloud In this new, highly visible position you will ensure that all AWS teams are working together effectively and efficiently to deliver outcomes for the customer, , In the role, you will be a critical partner to our Benelux customers, leveraging your delivery experience with large scale transformations and helping shepherd them through their stages of AWS adoption Guiding the customer through the operational, educational and governance aspects of a successful AWS cloud journey, , You will interface with customer and AWS leadership, driving collaboration between the other core account groups Sales, Support, Solutions Architecture and Professional Services, productengineering teams, and customer teams, planning and supporting major workload migrations You will translate strategic initiatives in the account plan into executable actions, working backwards from our customers key milestones The execution of education plans, roadmap to business outcome alignments, Executive Briefing Sessions, and golive events and transitions are a few items owned by the CSM that are critical to the success of our customers cloud journey, , At AWS, you are encouraged to think big, invent and take ownership on customer challenges You will not only bring the best of AWS Amazon to our customers, you will proactively help solve the customers challenges through new ideas, tools and mechanisms, , Successful candidates will have a strong delivery and change management background, be detail oriented, have excellent problemsolving abilities, and be exemplary communicators both at the executive and project team level You will be a peer leader, have the ability to gain stakeholder buyin, negotiate and lead virtual teams Your enterprise experience and operational excellence will influence the teams decisions, provide insight, and help drive secure and robust solutions, , You will evangelize AWS services and influence customers for adopting them You should be passionate about delivering a great customer experience by deploying AWS solutions and inspiring innovation You will be obsessed with contributing to the daytoday management of your customers successful adoption of AWS, , Do you look around corners for ways to engage and service customers Are you passionate about using technology to solve business problems that have big customer impact, , Come build the future with us, , , , , , , Amazon is committed to a diverse and inclusive workplace Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status For individuals with disabilities who would like to request an accommodation, please visit httpswwwamazonjobsendisabilityus, , ,  AWS EMEA SARL Netherlands, Job ID A1179777",Full-time,https://www.linkedin.com/jobs/view/externalApply/1903198981?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1179777%2Fsenior-customer-solutions-manager%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=kFXO&refId=e7b57679-cc07-4897-af2b-63d96e3483ae&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-customer-solutions-manager-at-amazon-web-services-aws-1903198981?refId=e7b57679-cc07-4897-af2b-63d96e3483ae&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,31,logistics manager,LinkedIn,2304916791,Supply Chain Manager,JEI+PeBsTnmxOxD2s4pqdg==,ASML,"Veldhoven, North Brabant, Netherlands","['Mechanical or Industrial Engineering', 'Nanotechnology', 'Semiconductors']",Supply Chain,"Introduction, Are you challenged by a supply chain over 10 tiers deep Do you want to deliver input for ASMLs 2022 strategy Do you want to be part of building the right capacity within ASMLs external supply chain for our future growth And are you experienced in building, developing and creating improvements to drive operational excellence at our suppliers, internal stakeholders and customers, , If so, we should talk, , ASML Sourcing  Supply Chain SSC is an industryleading sourcing and supply chain management organization, responsible for ensuring material availability to ASMLs factories and customers Our DNA contains customer focus, concurrent engineering, virtual integration plus the ability to thrive in a volatile market, accelerate the supply chain and deliver creative solutions, , SSC plans up to five years ahead while customer requirements and system bill of materials can change at any time Any break in material availability can have an unacceptable impact for our customers So SSC must proactively identify and solve potential issues by working closely with our technical departments and customers, and actively managing an extensive supplier base, , , , SSC works to provide a reliable, responsive and robust global supply chain network which delivers materials to the factory and the field at the right moment, in the right quantity and quality against the lowest integral costs As sr Supply Chain Manager you will represent us towards suppliers and internal stakeholders You are responsible for, , , , Master degree in Supply Chain Management or similar Bachelors with relevant experience can also be considered, , , , , , , , , Sourcing  Supply Chain SSC represents ASMLs sourcing, logistics and quality interface to its supply base and is responsible for material availability for ASMLs factories In todays complex multitier supply chains, this is only possible by creating full transparency in thechains and flexibility at suppliers SSC manages over 100 chains up to seven tiers deep, addressing potential bottlenecks and supply risks before they impact our customers It must handle the increased complexity of ASMLs systems while reducing cost of ownership for customers To do this, SSC  and logistics engineers work with suppliers to continuously reduce cycle time for components, modules and assemblies, increasing supply chain flexibility and customer value SSC also monitors suppliers quality, flexibility, cycle time reductions, move rate compliance and ontime delivery reliability, driving supplier development in all areas to ensure ASMLs supply keeps pace with technological developments and can adapt to changing market conditions, , , , Full time and permanent position based in Veldhoven, Check our website for more information wwwasmlcomscm",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304916791?url=https%3A%2F%2Fwww%2Easml%2Ecom%2Fen%2Fcareers%2Ffind-your-job%2F9%2F2%2F9%2Fsupply-chain-manager-req9297%3Fppc%3DJBP-181&urlHash=i8AU&refId=e7b57679-cc07-4897-af2b-63d96e3483ae&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supply-chain-manager-at-asml-2304916791?refId=e7b57679-cc07-4897-af2b-63d96e3483ae&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-26,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
