,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,7,career development specialist,LinkedIn,2288387132,CRO Specialist,8oAkBzs7ToG001D2Ikt7OA==,Rivira Maison,"Amsterdam, North Holland, Netherlands",['Retail'],Information Technology,"About Rivira MaisonRivira Maison is a leading interior brand to which atmosphere and experience are key The wide range of furniture and accessories is developed entirely inhouse, and each product is unique as it is manufactured by hand in authentic workshops all over the world Rivira Maison has developed from a supplier and seller of home decoration to a strong international brand with points of sale worldwide Our collections are contemporary and create a feeling of being at home wherever you are Rivira Maison, Home is where you can be you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288387132?url=https%3A%2F%2Fwww%2Ewerkenbijrivieramaison%2Enl%2FVacature%2FIndex%2F12609&urlHash=rXVt&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/cro-specialist-at-rivi%C3%A8ra-maison-2288387132?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,11,career development specialist,LinkedIn,2285221103,SEA Specialist,dG3GDEyNTJi8ssAoFSajWQ==,PVH Corp,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Human Resources', 'Retail']",Other,"All associates based in the EU should apply to the job by clicking here Please note that you will have to create a new account on the application pageAbout Tommy HilfigerTommy Hilfiger, which was acquired by PVH Corp in 2010, is a global apparel and retail company with more than 16,000 associates worldwide With the support of strong global consumer recognition, Tommy Hilfiger has built an extensive distribution network in over 90 countries and more than 1,400 retail stores throughout North America, Europe, Latin America and the Asia Pacific region Global retail sales of the Tommy Hilfiger brand were 92 billion in 2019Founded in 1985, Tommy Hilfiger delivers premium styling, quality and value to consumers worldwide with a brand portfolio that includes TOMMY HILFIGER and TOMMY JEANSTommy Hilfiger is one of the worlds most recognized premium designer lifestyle groups and is recognized for celebrating the essence of classic American cool style, featuring preppy with a twist designsIts focus is designing and marketing highquality mens tailored clothing and sportswear, womens collection apparel and sportswear, kidswear, denim collections, underwear including robes, sleepwear and loungewear, footwear and accessories Through select licensees, Tommy Hilfiger offers complementary lifestyle products such as eyewear, watches, fragrance, swimwear, socks, small leather goods, home goods and luggageThe Ecommerce team is responsible for managing the European own and operated Tommycom sites across all European markets The team operates all necessary functions to manage the Ecommerce business endtoend Tommycom are growing in a fast pace and have very ambitious growth targets for the coming years The team consists of approx 80 people and will grow significantly until the end of the year Furthermore, team members are of various cultural backgrounds and nationalities, all highly motived and skilled as well as inspiring to work with As the own and operated Ecommerce business is one of the main growth opportunities, there is a high focus in the organization to support this growth One of the key pillars is to drive success through traffic and to become a data decision driven culture within the team Thus, we want to scale up our internal capabilities In addition, there are lots of projects running that supports performance initiative including data modelling, automation, enhancement of first party data, cloud base bidding, CMS developmentReporting in to the SEA Manager, The Tommy Hilfiger SEA Specialist will join the team responsible for all SEAPaid Search traffic for Tommy Hilfiger across Europe The SEA Specialist will be responsible for delivering traffic and net sales targets for the brand, together with herhis manager",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285221103?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR19784WDINTERNALENGLOBALEXTERNAL%2FSEA-Specialist%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=EZKZ&refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sea-specialist-at-pvh-corp-2285221103?refId=20ecaf0f-123b-45ef-a068-4a1506428b7d&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,35,career development specialist,LinkedIn,2288385388,PV Specialist,bg2tgpOeQCqZuHNePJEdlA==,JD Ross Energy,"Eindhoven, North Brabant, Netherlands",['Renewables & Environment'],Project Management,Company profileMy client focuses on energy generation and energy saving for technical installations in the industry They monitor the technical quality of the projects and have multiple offices in the BENELUX The Dutch department is currently growing fast now on the way to 15 FTEs Their activities consist of,Full-time,,https://nl.linkedin.com/jobs/view/pv-specialist-at-jd-ross-energy-2288385388?refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,37,career development specialist,LinkedIn,2304702156,CRO Specialist,H2AIPEzwRTmDfqTyuwm4sw==,Rivira Maison,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Consumer Goods', 'Retail']",Other,"business About Rivira Maison Rivira Maison is a leading interior brand to which atmosphere and experience are key The wide range of furniture and accessories is developed entirely inhouse, and each product is unique in that it is manufactured by hand in authentic workshops all over the world Rivira Maison presents a new collection several times a year and in a short time has developed from a supplier and seller of home decoration to a strong international brand with points of sale worldwide The Rivira Maison collections are contemporary and create the feeling of being at home wherever you are Rivira Maison, Home is where you can be you CRO Specialist Amsterdam  Fulltime subject Responsibilities As CRO Specialist you work on continuously improving conversion rates and commercialization of all domains of our online shop You are responsible for formulating, initiating and conducting experiments and share your findings with our team and developers You analyze data, form hypotheses based on insights, set and conduct AB test You turn those findings into solid improvements that will lead to a better customer experience and ultimately higher conversion Responsibilities",Temporary,https://www.linkedin.com/jobs/view/externalApply/2304702156?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fcro-specialist%3A44199688%2F&urlHash=AaAm&refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/cro-specialist-at-rivi%C3%A8ra-maison-2304702156?refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&position=12&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,48,career development specialist,LinkedIn,2194363408,THERE Exhibition SMM Specialist,2DuN/UzNT3ynkavi0wzDKg==,JetBrains,"Amsterdam, North Holland, Netherlands",['Computer Software'],Marketing,"THERE is a JetBrains gallery in Amsterdam dedicated to Robotics, AR, VR, AI and 3D printing This tech lab is an educational project by JetBrains that aims to make young engineers aware of new technology and inspire them to study it and create their ownOur team is looking for a SMM Social Media Marketing specialist to boost our brand visibility and presence via social media and the web",Full-time,https://www.linkedin.com/jobs/view/externalApply/2194363408?url=https%3A%2F%2Fwww%2Ejetbrains%2Ecom%2Fcareers%2Fjobs%2Fthere-exhibition-smm-specialist-497%2F&urlHash=8scT&refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/there-exhibition-smm-specialist-at-jetbrains-2194363408?refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&position=23&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,49,career development specialist,LinkedIn,2273047133,SEA Specialist,emIJW2o5STmRMKvl3m0OMA==,Harnham,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']",Other,"SEA SpecialistAmsterdamCompetitive  benefitsTech business with great reputation, undertaking advanced analytics seeks SEA Specialist who speaks BelgianWell known tech brand with global presence, one of the leaders in their marketYou will be owning search campaigns for the Benelux market of a huge tech company You will be full cycle with the campaigns, planning, setting up, managing, analysing  optimising search campaigns You will be confident with SA360  will develop big strategies to make the most of your budgetYou will assess the performance of campaigns  provide analysis with key insights to stakeholders  teams across the company In order to do this you will use Google Ads, Google Analytics  Data Studio, to analyse  then present visualisations on the performance You will adopt new features to produce the best strategyYou will be used to working in a performance marketing team but also alongside an advanced analytics team The company are tech  digital first, you will work with analysts, data scientists, engineers  designers to make the best experience across all channels for the customer24 years of paid search experienceStrong data analysis exposureStrong technical expertise with Google Adwords, Google Analytics  Data StudioMasters or Bachelors in a STEM subjectMUST be native Flemish BelgiumSalary  Benefits to be confirmed, send your CV for more info, or click the Apply link for this advertGoogle Analytics, GA, Google Tag Manager, Data Studio, Google Adwords, SA360, Programmatic, Tealium, Adobe Launch, Omniture, SiteCatalyst, Adobe Analytics, Digital, Online, Website, AB testing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273047133?url=https%3A%2F%2Fwww%2Eharnham%2Ecom%2Fjob%2Fsea-specialist-in-amsterdam-north-holland-jid-28850&urlHash=xhZR&refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sea-specialist-at-harnham-2273047133?refId=487d1e3c-34e7-4845-b99c-9678c0a57ed1&position=24&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,51,career development specialist,LinkedIn,2011190666,SEA Specialist - Belgium,xrzXgHK0Tb2lLRlwWhaoGw==,Just Eat Takeawaycom,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Staffing and Recruiting']",Other,"Were looking for someone to shake up our SEA strategy Able to optimise and analyse key campaigns Want to be part of a dynamic global company Then read onWho are weHere at Takeawaycom, our mission is simple connect hungry customers with the dishes they love Right now, were doing that in 11 countries  including Belgium Based in our waterside office in central Amsterdam, youll be working with our brands for those regions to cook up amazing SEA campaignsAs our SEA specialist for Belgium, youll bring your knowledge of search campaigns and Benelux markets to the table Were counting on you to setup and optimize feedbased campaigns that attract the customer and remain totally uptodate on everything from products to pricingYoure also confident in developing bid strategies Youll be using SA360 Bid Strategies to ensure maximum exposure for your budget  whether thats via tCPA, ROAS or any other method And youre able to locate key insights on what works or doesnt through Google AnalyticsHave a proactive streak Thats what we like Our SEA Specialist will consistently set up tests for ads and landing pages to find areas where we can improve Thats in addition to assessing and adopting new SEA features in the push to serve up the best strategy possibleWe know that SEA expertise is a tough ingredient to find That means that your skills and dedication will always be rewarded at Takeawaycom Youll also get the chance to work closely with Google to test their newest Beta products and help them develop these products before being launched globally into the marketIn addition to a competitive salary, youll get to enjoy great perks like our annual ski trip, companywide summer party, team events and Friday office drinksNot based in the Netherlands Dont worry We offer a relocation package to help you hit the ground runningDepartment Marketing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2011190666?url=https%3A%2F%2Fcareers%2Etakeaway%2Ecom%2Fglobal%2Fen%2Fjob%2FR_005202%2FSEA-Specialist-Belgium-Amsterdam%3Futm_source%3DlinkedIn%26utm_medium%3Dpaid_jobposting%26utm_campaign%3DMarketing%26utm_term%3DSEA%2520Specialist%2520-%2520Belgium%26utm_content%3DAmsterdam&urlHash=6nx2&refId=afcc74f2-e49e-4ec7-8f79-bbe6847aa1e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sea-specialist-belgium-at-just-eat-takeaway-com-2011190666?refId=afcc74f2-e49e-4ec7-8f79-bbe6847aa1e9&position=1&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,80,career development specialist,LinkedIn,2271610364,Marketplace Specialist (AMAZON),c9NzaytvRWaUHIryhcDnIg==,International People Solutions BV,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Online Media', 'Internet']",Other,This is a highly confidential search That is why we can only share limited information Please get in touch with our team for more infoYou will set up several AMAZON stores,Full-time,https://www.linkedin.com/jobs/view/externalApply/2271610364?url=https%3A%2F%2Fwww%2Einternationalpeoplesolutions%2Ecom%2Fjobs%2Fjob-marketplace-specialist-amazon-amsterdam-209676-31%2Ehtml&urlHash=6-yb&refId=93198f40-5ea0-4ee2-b27f-cfb8b93b56da&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketplace-specialist-amazon-at-international-people-solutions-b-v-2271610364?refId=93198f40-5ea0-4ee2-b27f-cfb8b93b56da&position=5&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,81,career development specialist,LinkedIn,2278829492,RA Specialist,oj0vCxRIQJ+CdcmpVto2Xw==,SIRE,"Amsterdam, North Holland, Netherlands","['Health, Wellness and Fitness']",Other,"The companyfocuses on the discovery, development, manufacture, and marketing of vaccines to protect people worldwide from infectious diseasesThe RA Specialist will ensures compliance with regulatory agency regulations and interpretations and will manage the Chemistry, Manufacturing and Controls CMC data verification",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278829492?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb5a2a577-a9d0-42f4-b50f-acfb5ed14ad8%3Fjid%3D340a7c86809e297f33474f5d350d8206e42907b4a5a0deacf015936220f66f83%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=OO5D&refId=93198f40-5ea0-4ee2-b27f-cfb8b93b56da&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ra-specialist-at-sire-2278829492?refId=93198f40-5ea0-4ee2-b27f-cfb8b93b56da&position=6&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,88,career development specialist,LinkedIn,2271607706,REMOTE Marketplace Specialist (AMAZON),CnQz2JQRRDWukg03k0Xu8A==,International People Solutions BV,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Online Media', 'Internet']",Other,"You will set up several AMAZON storesLaunch new productsSet up  grow your own AMAZON teamdepartmentManage create, optimise etc all store listings",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271607706?url=https%3A%2F%2Fwww%2Einternationalpeoplesolutions%2Ecom%2Fjobs%2Fjob-remote-marketplace-specialist-amazon-amsterdam-217525-31%2Ehtml&urlHash=uWeS&refId=93198f40-5ea0-4ee2-b27f-cfb8b93b56da&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/remote-marketplace-specialist-amazon-at-international-people-solutions-b-v-2271607706?refId=93198f40-5ea0-4ee2-b27f-cfb8b93b56da&position=13&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,26/10/2020,22/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
