,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,2,managing director,LinkedIn,2234212390,Managing Director,t742QTSURzyjvFiNzhQQ7g==,Quaestus Executive Leadership,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Management Consulting']",Business Development,"Description, , For an international top player in the leasing of equipment for transportation and storage, we are searching for an entrepreneurial handson Managing Director who will guide the company to the next phase, , , , The Managing Director will in the longer run be responsible for the direction and overall daily management of the organization, plays a key role in driving growth and acts as a global ambassador for the business, , , , The Managing Director is a commercial generalist with a great eye for detail, an independent clever thinker with a solid, balanced personality He or she has several years of experience as a Managing Director and a solid commercial and operational track record in the capital goods industry, , , , Our ideal candidate meets all of the following criteria, , , , , Attractive remuneration package",Full-time,,https://nl.linkedin.com/jobs/view/managing-director-at-quaestus-executive-leadership-2234212390?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,9,managing director,LinkedIn,2192236166,CEO,KrZh47KIQsaTl2aRIJFH+Q==,Kienbaum,"Eindhoven, North Brabant, Netherlands","['Facilities Services', 'Real Estate']",Management,"Entrepreneurial and international company providing property management and security solutions for the real estate, construction industry and related, PL responsible for roughly 200 employees across Europe",Full-time,https://www.linkedin.com/jobs/view/externalApply/2192236166?url=https%3A%2F%2Fjobs%2Ekienbaum%2Enl%2FJobDescriptionMultiple%2Easp%3FWebJobPostingsID%3D610&urlHash=y86m&refId=aa624981-ca6c-4b0c-8a77-f75288bca912&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ceo-at-kienbaum-2192236166?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,11,managing director,LinkedIn,2265960637,Vice President,J5Boi66IRUGC6B5fA0DOdg==,Leap29,"Amsterdam, North Holland, Netherlands","['Investment Management', 'Venture Capital & Private Equity', 'Investment Banking']",Other,"Our Client is an Advisory group which specialise in Renewable Energy, primarily with Wind and Solar power, They advise in a variety of different retrospects including, but not limited to Debt, Equity and Financial Modelling, , They have offices in many different locations including North America, Africa and across Europe, , They are now looking to add an Vice President to their team, , , , , , If you are interested in joining a growing advisory firm which focus on Renewable Energy and you have the requirements prementioned then please apply by following the link provided, , Please note this position is looking to become live in January 2021, but I look forward to review your profile if interested, , To help Leap29 find you that perfect job, we need to store and process your personal information, That means that your details will be entered into Leap29s database and our consultants may contact you from time to time with relevant job opportunities, By applying youre confirming youre happy for us to do that, , Investment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2265960637?url=https%3A%2F%2Fwww%2Eleap29%2Ecom%2Fjobs%2FlgzMG%2Fvice-president-amsterdam-netherlands-netherlands-europe%3Futm_source%3Dlijw&urlHash=lc5A&refId=aa624981-ca6c-4b0c-8a77-f75288bca912&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vice-president-at-leap29-2265960637?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,15,managing director,LinkedIn,2231180974,Vice President Real Estate EMEA,DW3Hc21XS+i4aKN+AxoS3Q==,Foot Locker,"Vianen, North Brabant, Netherlands","['Apparel & Fashion', 'Retail', 'Luxury Goods & Jewelry']",Business Development,"Overview, , Our global houseofbrands inspires and empowers youth culture Relentlessly committed to fuel a shared passion for selfexpression, we create unrivaled experiences at the heart of the sport and sneaker communities through the power of our people If you want to be a part of something bigger than you can imagine, youve come to the right place To learn more about the incredible impact were making on both our local and global communities,, , We are looking for a passionate and talented leader to join the EMEA Real Estate team in our Foot Locker European office The role will be responsible for leading a panEuropean leasing team, championing the use of data within the Real Estate process, developing go to market strategies across Europe and acting as a liaison to the senior leadership team in EMEA for the Global Store Development Team The individual will work cross functionally and closely partner with Foot Lockers Leasing, Construction, Design, Corporate Development, Retail Operations, Data and EMEA Senior Leadership teams",Full-time,https://www.linkedin.com/jobs/view/externalApply/2231180974?url=https%3A%2F%2Fcareers%2Efootlocker%2Ecom%2Fus%2Fen%2Fjob%2FFLINUS29703ENUS%2F%3Fmode%3Djob%26iis%3DJob%252BBoard%26iisn%3DLinkedIn&urlHash=q1Qj&refId=aa624981-ca6c-4b0c-8a77-f75288bca912&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vice-president-real-estate-emea-at-foot-locker-2231180974?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,17,managing director,LinkedIn,2293881775,Managing Director The Netherlands & Belgium,vihngDUGRQecjhTMe8tjwg==,Mercuri Urval,"South Holland, Netherlands","['Logistics and Supply Chain', 'Renewables & Environment', 'Business Supplies and Equipment']",General Business,"Managing Director The Netherlands  Belgium , , Career opportunity within a leading international company, , Become part of a global organisation, full responsibility for the organisationsmarkets in Netherlands  Belgium",Full-time,https://www.linkedin.com/jobs/view/externalApply/2293881775?url=https%3A%2F%2Fwww%2Emercuriurval%2Ecom%2Fnl-nl%2Fopportunity%2F%3Fjobadid%3D63107%26refno%3D&urlHash=jXP0&refId=aa624981-ca6c-4b0c-8a77-f75288bca912&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/managing-director-the-netherlands-belgium-at-mercuri-urval-2293881775?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,18,managing director,LinkedIn,2321313472,"Vice President Finance (Remote) - $200,000/year USD",0gcEnR7iQxiU0e47YtVh6A==,Crossover for Work,"Amsterdam, North Holland, Netherlands","['Accounting', 'Financial Services', 'Hospital & Health Care']",Accounting/Auditing,"Are you a seasoned Finance pro whos sick of monthend chaos Are you brewing with ideas on how to automate away the repetitive accounting drudgery that most Finance organizations do manually When you spot inefficiencies in the Finance operation, do you dive into details to fix the problem, instead of just complaining If so, we want you to lead our Finance  Accounting team, , Were a notoriously highmargin, PEfunded software conglomerate building a revolutionary, worldclass Finance operation that enables us to buy 12 companies per week Most private equity runs a decentralized model our centralized model demands the worlds best operational Finance platform To us, Finance is a pivotal partner, not a backoffice support function As VP of Finance, you will get to learn our secret sauce and refine the recipe, , You will love this job if, , , And youll hate this job if, , , , , Youll primarily be doing two things deep dives and system improvement plans Each deep dive is a thorough investigation into real work that failed our quality bar, so you will need to burrow down to a root cause and address it with your insightful solution After you get some deep dives under your belt, youll start to notice patterns thats when youll be inspired to develop a system improvement plan, a broader, bolder reimagination of how work gets done in Finance, , , , , , , , , , , , , , , , Crossover has been a pioneer of the remote work model since our inception in 2010  helping thousands of people find great work opportunities We focus on fulltime, longterm work  not shortterm gigs or freelancing side jobs Most of our positions are within a large and growing portfolio of software companies Since we focus on remote work, our openings can be filled globally and pay standardized compensation rates, regardless of where you choose to live, , Join the thousands of professionals that have partnered with Crossover to explore new opportunities and find their dream job Go to to read their stories Better yet, write your own story, , What to expect next, , , If you do not receive an email from us, Crossover Job Code LJ3176NLAmsterdaVicePresidentF013",Full-time,https://www.linkedin.com/job-apply/2321313472?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&trk=public_jobs_apply-link-onsite,https://nl.linkedin.com/jobs/view/vice-president-finance-remote-%24200-000-year-usd-at-crossover-for-work-2321313472?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,19,managing director,LinkedIn,2323798002,Managing Director - Sales & Marketing,RDQzO3M+Qn2Efpplt6M1RQ==,Blume Group Limited,"Amsterdam, North Holland, Netherlands","['Medical Devices', 'Food & Beverages', 'Consumer Goods']",Business Development,"Managing Director, , Location Amsterdam, the Netherlands, , Role Fulltime",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323798002?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-327773067152422105%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=d47C&refId=aa624981-ca6c-4b0c-8a77-f75288bca912&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/managing-director-sales-marketing-at-blume-group-limited-2323798002?refId=aa624981-ca6c-4b0c-8a77-f75288bca912&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,27,managing director,LinkedIn,2285285595,Commercial Director,4QAnhG0RTGKevHPLzNZ/DQ==,Hey Honey,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],Sales,"Commercial Director at Hey Honey, Independent Marketing Services Company of the Year  The Drum Business Awards 2020, , Hey Honey is an awardwinning social creative agency of 17 young and ambitious social natives, speaking over different languages From our Amsterdam HQ, we help clients in Europe and the US to grow using socialfirst creative, strategy, content production, and paid media",Full-time,,https://nl.linkedin.com/jobs/view/commercial-director-at-hey-honey-2285285595?refId=c91bac4b-ca56-4582-aa9a-ff817229553f&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,31,managing director,LinkedIn,2307870711,"Vice President – Consumer & Retail Group EMEA, Capital Markets & Advisory Division #159916",BXqsWsEgTFqYNTL+z13cyA==,Credit Suisse,"Amsterdam, North Holland, Netherlands",['Banking'],Finance,"We Offer, , Origination, Relationship Building and Coverage, Idea generation  is aware of trends and developments in the industry and combines this with strong product knowledge particularly MA to spot opportunities for CS to assist clients, , Execution, , , , , , , NetherlandsAmsterdamAmsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307870711?url=https%3A%2F%2Ftas-creditsuisse%2Etaleo%2Enet%2Fcareersection%2Fexternal_advsearch%2Fjobdetail%2Eftl%3Fjob%3D159916%26lang%3Den%26ms_iframe_src%3DSNS-10043&urlHash=I7Bm&refId=c91bac4b-ca56-4582-aa9a-ff817229553f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vice-president-%E2%80%93-consumer-retail-group-emea-capital-markets-advisory-division-%23159916-at-credit-suisse-2307870711?refId=c91bac4b-ca56-4582-aa9a-ff817229553f&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,32,managing director,LinkedIn,2150934316,Senior Delivery Director - Financials,on1sozGQRnWJLfoO5HW5WQ==,Workday,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Human Resources', 'Information Technology and Services']",Training,"Join our team and experience Workday, , Its fun to work in a company where people truly believe in what theyre doing At Workday, were committed to bringing passion and customer focus to the business of enterprise applications We work hard, and were serious about what we do But we like to have a good time, too In fact, we run our company with that principle in mind every day One of our core values is fun, , , , Diversity is critical to our business and our values We need people from different backgrounds to do our best work We strongly encourage people from underrepresented groups to apply to this position, , , , The Senior Delivery Director is responsible for managing and developing a highperforming team of Engagement Managers focused on successfully deploying the portfolio Workday solutions for Financial Management In addition, the Director actively collaborates with our product strategy and management teams to align services offerings with market needs The Director takes also an active role in the development of new business with prospects and existing customers, in collaboration with the Sales and Business Development teams The Senior Delivery Director reports directly to the Head of EMEA Professional Services and is a member of the regional Leadership Team Key objectives for the role are customer satisfaction and referenceability, revenue and margins, , , , , , , , , , Workday is proud of its diverse workforce but regrets that it is currently unable to sponsor employment visas or consider individuals on timelimited visa status for this position",Full-time,https://www.linkedin.com/jobs/view/externalApply/2150934316?url=https%3A%2F%2Fworkday%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FWorkday%2Fjob%2FUnited-Kingdom-London%2FSenior-Delivery-Director---Financials_JR-43315%3Fsource%3Dwebsite_linkedin&urlHash=zFaa&refId=c91bac4b-ca56-4582-aa9a-ff817229553f&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-delivery-director-financials-at-workday-2150934316?refId=c91bac4b-ca56-4582-aa9a-ff817229553f&position=7&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-27,2020-11-28,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
