Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date
manufacturing,Indeed,pj_c79b31e4f16a3ba6,Manufacturing Engineer,Optics11 BV, Amsterdam Zuid,"Optics11Life is an international fast-growing high-tech company based in Amsterdam and is developing new optical fiber measurement systems for many different markets, with customers all over the world.Manufacturing of these high-tech and precision mechanical instruments is done in house and includes a wide range of techniques and skills, such as fine mechanical assembly, electronics assembly, adjustments, calibrations, programming and testing.We are looking for a pro-active and experienced Manufacturing Engineer who wants to be part of a young and enthusiastic team and wants to grow with the company.The ideal candidate:Has an MBO or BSc degree in electronics or related, or has relevant work experience in this direction;Had good skills in assembling, and adjusting fine mechanical components;Has very good SMD soldering skills;Has good understanding of electronic circuitry and components, and is able to read electronic schematics;Has experience with using measuring equipment (e.g. multimeter, oscilloscope, function generator);Is precise and can work in a structured way (including documentation)Has a good command of the English language in speech and writingExperience with optical fiber optic systems is a plusAre you:Willing to learn a lot in a short timeExcited to work in a constantly changing environmentNot easily frustrated when things are not going according to planYoung at heart and mindFulltime availableDo you think that you are a good match for Optics11? Let’s get in touch!Job Types: Full-time, ContractCOVID-19 considerations:We have taken precautions against the Corona virus such as an hallway divider, facemasks and sanitary hand gel, also the 1.5 meter distance can be assured.Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0DcTI8f5Sh9pt3KWe6NtL1KztrnQurLeuJV1moNYirrFgx8VhHpakHwxfLM1qE-FZTKHG5QrQCq1FY7YbG1cd0fU1463h0CuJLSriLoKdZgXHJIYZPaVQRJvugscsihHUMBQi6mmzXf1FeOQ9m_5lw33ednF3YaLAZEWFrW_YqZpzU5JhEX717gEFGXf477ZXUjVJ3Z9cChznhVYXa7Lmv7kOfW5Esqi2Ar1cZYtLgMd4N2UwqcFrhPxPfG0wLMmMa_sOjLtbrRJ0N1azfYyDnoqC5QhXamAiYLfntsuvdflVcorX_aASqbIdgC13xUAElxDJpfY045WpVCqMNTq3VNBA0kXc8UJ6LRF_8CVVPEtiz2nxtcXAM59afF3RSPEYDPH1hwBMdgHncOx6KiQSfpzEaKfes4tSo8MFbyjP2FtlBXmqHyRDax9tKC2BkAH23kbUlMM77d9LeOSW3z9ZXih-oBMdk00Uk=&p=0&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,pj_69bd404bb15ff885,Bioprocessing Operators (All Levels),Kelly Services, Amsterdam,"Bioprocessing Operators (All Levels)


Wacker Biotech is the microbial CDMO - specialising in contract manufacturing of therapeutic proteins, vaccines and Live Microbial Products. Our services cover cell banking, process & analytical development and the GMP manufacturing of biologics for clinical & commercial supply.

With over 20 years of experience producing microbial derived proteins and vaccines, Wacker Biotech is a world-leading partner when it comes to manufacturing microbial biopharmaceuticals.

Wacker Biotech is supporting our customer to scale up the production of a Covid19 vaccine candidate - with an initial plan to produce 100 million doses. We need you to play your part in producing the vaccine!

We are hiring now across our Bioprocessing and Quality teams.


The Bioprocessing Operator is involved in preparation and execution of bulk drug substance of an mRNA based COVID-19 vaccine. In addition, you are closely working together with other Bioprocessing teams working on various pharmaceutical products (protein, polysaccharide and live microbial).

Your tasks:
Execution of preparative activities for GMP production such as buffer preparation, washing, build-up of sterile goodsExecution of routine activities on the complex systems within the departments Fermentation (USP), Purification (DSP)Perform all process activities in accordance with GMP guidelines.

Your profile:
At least an MBO/HBO level of education with relevant technical and process experienceQuality and safety-conscious, flexible and proactivePreferably experience in working under GMP guidelinesTeam player with a high degree of autonomyHigh priority on personal hygieneAnalytical, accurate and structuredWilling to work in shifts (from Monday to Friday)Good Dutch and English written and oral communicative skillsExperience in the (bio) pharmaceutical IndustryYou reside in and are eligible to work in The Netherlands (valid work permit).
Sustainability is one of WACKER's corporate goals - also as an employer. We want you to remain productive, healthy and successful long term. That is why we offer, for example, comprehensive health management and a variety of advanced training programs and courses for individual development opportunities, alongside a good work-life balance. Naturally, we also have a fair compensation system and above-average social benefits.


Discover more about this exciting opportunity here

For more details contact our recruitment partner Kelly Services:
Arvind Ramsaran - +31 6 22 53 75 38


Apply Now
Met betrekking tot deze functie fungeert Kelly Services als officieel bemiddelaar. Wanneer je de beslissing maakt om op deze functie te solliciteren zullen jouw gegevens in overeenstemming met Kelly's Privacy Statement worden verwerkt.
Met oog op de AWGB (Algemene Wet Gelijke Behandeling) verwelkomt Kelly Services sollicitaties van iedere geschikte kandidaat, ongeacht etniciteit, geslacht, beperking, religieuze overtuiging, seksuele geaardheid of leeftijd.
-
Regarding this role, Kelly Services acts as the official mediator. When you decide to apply to this role your personal information will be processed in accordance with Kelly's Privacy Statement
In keeping with the AWGB (Algemene Wet Gelijke Behandeling) Kelly Services welcomes applications from any and all eligible candidates regardless of ethnicity, gender, disability, religion, sexual orientation or age.",-1,-1,https://indeed.nl/rc/clk?jk=69bd404bb15ff885&from=vj&sjdu=LxoFGq7zBThLgdXAqiVg7Q6oq3Gc4cMmHVljSqx319jC8p3K_rrfJRS9zuYNDoBDcwEMbXnd1DiYGs-mJ7odroBnvDnlt_9wSRnI13YNppE&spon=1&adid=363588420&mvj=0&vjfrom=vjs&pos=bottom&ad=-6NYlbfkN0CnQIqgFJd9SKbrQIynL9_KFiu3S7ZWVPxCdAv08R0Hh-2zjsCpBmPmstYBTFQJ8Cuw7cCUQdWsMfOvH97zcAwi1UTFYQyqjv4F4M_PCQwumaQb1j5aRXoTnqSoJ3vaPv_E9aLxxHgCQIcUbwf6HbkGm-C5UnqN5UQgmDg71shERRVSg-suIu4cRIV1XlN8d4kyzN9juRyN6JzGiA69zcUYASQ2LniywXmmRluIc2Na2jPkxRas2aLEEP1mtR-oY8gJy8JYjLpRx55eofSRe3NNoPjc0Lm1mvvSDz47mYjzF1TLXmqjRXpJOfO9T0NvkispTejO-qjqnA6_QTGdFlxnM5BuKAhhoB1cu6rUnZuD6rOe6MSUuMD4QuQE-acCoVwF0YpIYIg5MTbv9i-x2xYcChwnsgVx8yoww38Z8V9RccyNFNLJeJFyXa3Rjv60emXct04YeGI9uWiQYHHirmiCy83HAJXwNkkKfmEKQFOMoA==&astse=28d0b2d102395f07&assa=2672,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CnQIqgFJd9SKbrQIynL9_KFiu3S7ZWVPxCdAv08R0Hh-2zjsCpBmPmstYBTFQJ8Cuw7cCUQdWsMfOvH97zcAwi1UTFYQyqjv4F4M_PCQwumaQb1j5aRXoTnqSoJ3vaPv_E9aLxxHgCQIcUbwf6HbkGm-C5UnqN5UQgmDg71shERRVSg-suIu4cRIV1XlN8d4kyzN9juRyN6JzGiA69zcUYASQ2LniywXmmRluIc2Na2jPkxRas2aLEEP1mtR-oY8gJy8JYjLpRx55eofSRe3NNoPjc0Lm1mvvSDz47mYjzF1TLXmqjRXpJOfO9T0NvkispTejO-qjqnA6_QTGdFlxnM5BuKAhhoB1cu6rUnZuD6rOe6MSUuMD4QuQE-acCoVwF0YpIYIg5MTbv9i-x2xYcChwnsgVx8yoww38Z8V9RccyNFNLJeJFyXa3Rjv60emXct04YeGI9uWiQYHHirmiCy83HAJXwNkkKfmEKQFOMoA==&p=1&fvj=0&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,pj_2ab5d55a3846a436,Internship (students only),Maya Gold Trading BV, Amsterdam,"INTERNSHIP DESCRIPTIONYou will be an intern but you will be treated like a full time employee developing skills in sales and marketing, If you are making good sales, you will receive commissions and a job offer at the end of your internship. If you need a visa sponsor, and you are good we will consider to be your sponsor.We are Maya Gold Trading, an organic trading company based in Amsterdam. Our core business is bulk organic ingredient trading & private label solutions. However, we are passionate about our brand Maya Gold Organic, we want to push the brand more. What does that mean? The daily bread of the firm is to import large quantities of sugar, seeds, oils from Asia and to sell them in large quantities (for cheap! And often with 30 days credit terms) to food manufacturers and traders in Europe. The butter of our business is the private label (contract manufacturing, white labelling) which means we receive an art file from a supermarket or brand and we will produce 5000 to 20000 units finished for retail with their brand. We produce they sell. We must continue to do this while also growing our own label Maya Gold Organic which has over 40 products in the range. Lately we launched a vegan chocolate spread similar to Nutella but healthier and tastier. We also recently launched an organic CBD oil with a fantastic profit margin.We are re-launching our web-shop www.mayagoldorganic and we soon will engage clients directly and will be able to post our products to their home. Our Instagram account will also get more attention on the future in line with our online strategy. You will help us to post and to engage clients.Our range of raw materials include organic all things coconut, agave, vegan proteins, superfoods, hemp, cacao, CBD and moreYou will be part of our international sales team and you will be pro-actively reaching out to companies in our targeted markets in Europe to discover their potential needs. you must first qualify the lead. Is this potential client worth it? Does it fit the bill? You shall lead score from our own data base, trade show directories, google and with your great product knowledge, quick and accurate administrative skills, and your proactive, customer oriented attitude, you know how to connect with customers, and how to make potential customers excited about our portfolio. successful in this role, and you will be an important moving peace in an already successful sales team, which you can learn from every day. Ideally, within 3-6 months, you will be ready to become an Account Manager and handle the full sales process yourself.Your Tasks: Contact targeted account lists in specific areas in Europe (maintain and build a good customer relationship, reply to customer questions, send updates about delivery times and stock status to back office)Managing everything concerning order processing (process incoming orders, ensure delivery of new product samples and sales material, etc.)Ensure correct logistics planning and correct invoicing of the delivered ordersReach out these targeted accounts pro-actively via phone, email and socialDocument everything in our * CRM BASEWorking hours run from 9am to 6pm with a 1 hr break in the middle of the dayWork is carried out in the office Hoogte Kadijk 143F1 unless you are working from home due to pandemic work seating placementThe requirements: HBO (higher professional education) mentalityPersistence in contacting and lead scoringLong Term mentality, you will see results but not as fast as anyone hopes, ce la vie.Strong mental attitude / strong analytical skills (can you see the whole and the relationship of each part to the other)Minimum of 2-3 years of relevant work experienceSales mindsetCustomer oriented with advanced communication skillsKnowledge of / experience with Exact online software is considered a plusGood verbal and written communication skills in both Dutch and English (other languages are also appreciated)Ability to communicate in a clear way, to work in a team and the desire to learnExperience in B2B cold callingStress resistantWe offer: -The salary is below normal for our firm due to the pandemic and we know this. The commission scheme has been raised to make up for that, we need results and we can pay better based on performance.A dynamic and challenging international work environment, at a young and fast-growing international entrepreneurial company, based in Amsterdam CentrumA base salary + generous commissions and the possibility for a bonus based on your performance23 vacation daysJob Types: Full-time, ContractSecondary benefits:Travel allowanceFriday afternoon drinksFlexible working hoursJob Types: Full-time, InternshipSalary: €600.00 per monthExperience:business school: 2 years (Preferred)Education:Bachelor's (Preferred)Location:Amsterdam (Preferred)Language:english (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0AC2SDPMYkocAeBFv1aXnLXje8wzPMMEp6dLYIGEKU9Rp8TxpMEAXc0zVxXQHSVYAeNEj9ZBW4rb7DnNC-9gVNdif2JdATHI1bMWlD35WBkkA-psIPDxWsMctK7x3A3j4q9woitiMYu3qUD7cV8Jxeg8GnD81jZ15Omay-_7eF2uiJ2wnOS6Ao9Lp5dxa6gDj1i4WlYWq-Uw9yhIsnb3-D83w1tR85pxQB3YP_ijTSF2TA_Scr_fMqjvaEHddHUuGABV3yz4bzmmXvMPOZVQOJs36GfAJcmO4Pvi_qR5u8YlC7tKwhKhXXl-IVtU7v7icjSXx8VjMyj9uWW475_tvebEI52pJjp9XW42SfWObDUll-uchkHZqYmQVWzOyYZ3SwVQewmlDCwW4KSRPjpSizUmNXaMgsc4TIqBXXrG7zCsooHFOcQNc4ujExGIxvI2syznvpwVNwOr4EkisBbr8He1_mk4mHiulE=&p=2&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,pj_41ee425d83610b07,Cocoa Quality Technologist,OLAM Cocoa, Koog aan de Zaan,"The role
At Olam Cocoa, we have a vacancy for a Cocoa Quality Technologist based at our manufacturing facility in Koog aan de Zaan, the Netherlands. In this role, you will be responsible for providing support in quality and regulatory area for the cocoa business, globally. Your passion for identifying opportunities for improvement, executing deep data dives and finding creative solutions is key to deliver trusted and high-quality products to our customers.
Reporting into the European Quality Manager the scope is to support all cocoa sites across the globe, related to quality and regulatory topics. This includes Olam Cocoa BV (Koog aan de Zaan and Wormer), Mannheim, Goole, Valencia, Singapore, BT Cocoa, Ilheus, Bolingbrook, Kumasi, Abidjan and San Pedro.
The jobholder will be responsible for providing support in quality and regulatory area through statistical evaluation, troubleshooting and via projects for the cocoa business. This is obtained by an empiric and curious attitude, pro-active involvement with stakeholders from individual production locations and stakeholders from other departments.
Key deliverables
Proactive initiation and coordination of investigations in relation to changing regulations or ad hoc quality / food safety related challenges. Drives the investigations autonomous. Investigations can be the following:
Statistical evaluation and interpretation of data
Literature research and interpretation
Practical investigation including coordination of sampling and analyses with own or 3rd party laboratories
Leading exploratory projects and/ or participating in these projects
Provide a quarterly statistical review on monitoring data for the cocoa group and the individual production locations against ML’s and MRL’s. Review is used as input to anticipate and manage risk on contaminants, heavy metals and specific legal requirements.
Facilitate data transfer to ECA JRL.
Active participation in programs for instance MOSH/MOAH, %Shell content, Pesticides/Contaminants/Mycotoxins/Allergens.
Provide expert opinion based on statistical evaluation of internal and external ring trials on cocoa products/ cocoa beans and microbiology
Develop, define and evaluate quality performance KPI’s with the production locations (for instance Right First Time, CAPA).

Qualifications and experience
Master/ bachelor’s degree in food science/ nutrition or food science/technology;
• Specialization in statics; • Minimum of 2 years’ experience in a quality role in manufacturing of food/ingredients;
Sound knowledge and proven experience in working with statistical programs (e.g. SPSS/ Statgraphics);
Proven experience working with Excell/ SAP/ LIMS;
Proven experience in project management;
International experience in collaboration with cross-functionals teams and remote collaboration;
Proficient English language skills, verbal and written.
Skills & Competences
Is self-motivated and works autonomous;
Loves to work with lots of data;
Strong written & verbal communication skills;
Creative thinker and empiric mindset;
Ability to work within cross-functional teams and different production locations;
Having a positive and can-do mind set;
Good communication and presentation skills and clear communication, written and verbal.
Are you the Cocoa Quality Technologist we are looking for?
If you are interested in this role and connect to the aforementioned profile, we will be pleased to see your application and CV via the application form. For more information about the vacancy you can contact us via + 3188-5678 323.",-1,-1,https://indeed.nl/rc/clk?jk=41ee425d83610b07&from=vj&sjdu=dA2jksFDN-40awdNfajkX6sDoazqHE_Xsl4Twm8rabj9EVZVrn8RVHe5BzQ18xCX0jPZr7wY8AZlXJ0CjnVMseVtGqVuBH6Ot1j6ChJxHuzN01Ch11b6nqbsRJS-TwaBDHBV_h02mt8CiKCC9SjUD6KYi96gLjh3KKJZCPGnKQ9q1p27N66b6NDKnJnLvh1tLAF2zlRVqkTRs-5RZCG-rA&spon=1&adid=363819032&mvj=0&vjfrom=vjs&pos=bottom&ad=-6NYlbfkN0BoSyOmhx53Qk96t8IDPAQEEcw49RmN0EkSTU_bSvlTK4-Y0Znek9ZmR2X2-Ni-6RSKpm9AByjIfOo6bVc5OLPiErfD4OJeop4ZAlaCgGdqbX5fhPMoUZwGxc7vIL0yIQ5jlfFkvZ-Kf8DwylYCVQ4EZKWjRwkhCDNbQ3fT0v7VoNymARUO0xI48unQf6aNFiB7c99zg0u5rToqRkVaG-DWb-lVQyrq-_eyWqURciNKhU-gEYH5FNDLMdQBqk-FBXbN2c4EGa4GHJgPCs3uYBQQ5p03uXv7dPsWeAVTsLt51voWAFsisyVC3Q_GOGH1Vl-2dVjSQYTM2zxfimrZPLJs49fG84C7ozo5ABU78du1mQDGPmfvbFPghvTgB2Mz2TE0r_GhEZwn6Mg7VDsIUKJK1Wu9-ZbjRD-PePGE3oZXRzVEk1zfDkml1Ue__kqiJI-u3G9bMymtNFF3uV30iEW9D6aNKd7ecz_dYNck6mLhnMjDYGNcW6q3SNi777cc-Ftn2yNoAD9XvhdnNThfxXZf3umqLUuIXdciTGu0v59rM6BULbvC56-61KgsZrLuDRfzZxfCORhpUmPB-A-BCCbGxggkQlVCDXo9aes4ewm3xaIn7mnaL-1PhIIUEbnYk4VspggZmqnfWwbU1RuURjIhQ5t0WsdOu4X3UkiifRtV64SzVdcVKA0BfuC2XDytqdI=&astse=dbfdaf2cc92442da&assa=6277,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BoSyOmhx53Qk96t8IDPAQEEcw49RmN0EkSTU_bSvlTK4-Y0Znek9ZmR2X2-Ni-6RSKpm9AByjIfOo6bVc5OLPiErfD4OJeop4ZAlaCgGdqbX5fhPMoUZwGxc7vIL0yIQ5jlfFkvZ-Kf8DwylYCVQ4EZKWjRwkhCDNbQ3fT0v7VoNymARUO0xI48unQf6aNFiB7c99zg0u5rToqRkVaG-DWb-lVQyrq-_eyWqURciNKhU-gEYH5FNDLMdQBqk-FBXbN2c4EGa4GHJgPCs3uYBQQ5p03uXv7dPsWeAVTsLt51voWAFsisyVC3Q_GOGH1Vl-2dVjSQYTM2zxfimrZPLJs49fG84C7ozo5ABU78du1mQDGPmfvbFPghvTgB2Mz2TE0r_GhEZwn6Mg7VDsIUKJK1Wu9-ZbjRD-PePGE3oZXRzVEk1zfDkml1Ue__kqiJI-u3G9bMymtNFF3uV30iEW9D6aNKd7ecz_dYNck6mLhnMjDYGNcW6q3SNi777cc-Ftn2yNoAD9XvhdnNThfxXZf3umqLUuIXdciTGu0v59rM6BULbvC56-61KgsZrLuDRfzZxfCORhpUmPB-A-BCCbGxggkQlVCDXo9aes4ewm3xaIn7mnaL-1PhIIUEbnYk4VspggZmqnfWwbU1RuURjIhQ5t0WsdOu4X3UkiifRtV64SzVdcVKA0BfuC2XDytqdI=&p=3&fvj=0&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,p_8764945d50c74fbe,Manufacturing Cost Estimator,Stirah, Amsterdam,"Job Context & Duties
Assess financial viability
Execute analytical mathematical calculations
Provide cost benefit analysis reports
Qualifications and experience required
Excellent analytical capabilities and problem-solving skills
Sense of proactive initiative and team spirit
Accuracy and attention to details
Sense of confidentiality and high level of discretion
Strong service-oriented attitude and flexibility",-1,-1,https://indeed.nl/rc/clk?jk=8764945d50c74fbe&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=47696fb0aee1a9e1&assa=8074,https://nl.indeed.com/vacature-bekijken?jk=8764945d50c74fbe&fccid=8258005bbb2d2bfc&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,p_bad45e3014be66a6,Manufacturing Facility Manager,Stirah, Amsterdam,"Job Context & Duties
Liaise with managers
Manage manufacturing facilities
Manage space utilisation
Carry out energy management of facilities
Plan buildings maintenance work
Qualifications and experience required
The ability to deal with a range of tasks at the same time
Analysis and problem solving: Ability to identify the critical facts in difficult issues and develop creative and practical solutions
Drive for Results: Ability to take personal responsibility and initiative for delivering high quality work
Accuracy and attention to details
Strong motivation and open and positive attitude",-1,-1,https://indeed.nl/rc/clk?jk=bad45e3014be66a6&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=6de27ec3ae6b4fac&assa=9835,https://nl.indeed.com/vacature-bekijken?jk=bad45e3014be66a6&fccid=8258005bbb2d2bfc&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,p_991997ad581ce82c,Chemical Manufacturing Quality Technician,Stirah, Amsterdam,"Job Context & Duties
Document analysis results
Prepare chemical samples
Oversee quality control
Work safely with chemicals
Adhere to standard procedures
Qualifications and experience required
Working with others: Ability to work cooperatively with others in teams and across organisational boundaries and respects differences between people
Ability to work independently
Commitment to providing high quality support to colleagues and to meeting deadlines
Drive for results: Ability to take personal responsibility and initiative for delivering work to a high standard of quality within set procedures
Analysis and Problem Solving: Ability to identify the critical facts in difficult issues and develop creative and practical solutions",-1,-1,https://indeed.nl/rc/clk?jk=991997ad581ce82c&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=b2d6cc6664cd53de&assa=3888,https://nl.indeed.com/vacature-bekijken?jk=991997ad581ce82c&fccid=8258005bbb2d2bfc&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,p_b4e81189ee37513f,Sauce Production Operator,Stirah, Amsterdam,"Job Context & Duties
Apply HACCP
Apply requirements concerning manufacturing of food and beverages
Follow hygienic procedures during food processing
Follow production schedule
Pump products
Qualifications and experience required
Ability to work effectively in an international or multi-cultural environment
Ability to adapt and cope with working in different teams
An awareness of the need to handle confidential issues sensitively
Experience of having worked in a similar role
Accuracy and attention to details",-1,-1,https://indeed.nl/rc/clk?jk=b4e81189ee37513f&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=36262edb5c184e59&assa=4861,https://nl.indeed.com/vacature-bekijken?jk=b4e81189ee37513f&fccid=8258005bbb2d2bfc&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,p_6c4e1616e50f10c8,Dairy Products Maker,Stirah, Amsterdam,"Job Context & Duties
Apply requirements concerning manufacturing of food and beverages
Perform sensory evaluation
Clean food and beverage machinery
Select adequate packaging for food products
Administer ingredients in food production
Qualifications and experience required
Drive for Results: Ability to take personal responsibility and initiative for delivering high quality work
Analysis and problem solving: Ability to identify the critical facts in difficult issues and develop creative and practical solutions
The ability to deal with a range of tasks at the same time
Accuracy and attention to details
Strong motivation and open and positive attitude",-1,-1,https://indeed.nl/rc/clk?jk=6c4e1616e50f10c8&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=4731fcf5be9bf94a&assa=6093,https://nl.indeed.com/vacature-bekijken?jk=6c4e1616e50f10c8&fccid=8258005bbb2d2bfc&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
manufacturing,Indeed,p_9fd3f8bd3b936322,Electronics Production Supervisor,Stirah, Amsterdam,"Job Context & Duties
Keep records of work progress
Meet deadlines
Read standard blueprints
Supervise work
Monitor manufacturing quality standards
Qualifications and experience required
Ability to work effectively in an international or multi-cultural environment
Openness and interest in learning and further development
Ability to adapt and cope with working in different teams
An awareness of the need to handle confidential issues sensitively
Strong motivation and open and positive attitude",-1,-1,https://indeed.nl/rc/clk?jk=9fd3f8bd3b936322&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=cda82fcdae71842f&assa=6997,https://nl.indeed.com/vacature-bekijken?jk=9fd3f8bd3b936322&fccid=8258005bbb2d2bfc&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-02-14
