Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,marketing manager,LinkedIn,2327345240,Digital Marketing Manager - Office Homeoffice Remote Flexible,ZsWCCYF4SlC/JPuUJxlJbw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","If you live and breathe digital marketing, we want to talk to youWe are looking for a Digital Marketing Manager to develop, implement, track and optimize our digital marketing campaigns across all digital channelsResponsibilitiesCollaborate with internal teams to create landing pages and optimize user experiencePlan, execute, and measure experiments and conversion testsDesign, build and maintain our social media presenceEvaluate emerging technologies Provide thought leadership and perspective for adoption where appropriateInstrument conversion points and optimize user funnelsRequirementsExperience in optimizing landing pages and user funnelsWorking knowledge of HTML, CSS, and JavaScript development and constraintsProven working experience in digital marketingUptodate with the latest trends and best practices in online marketing and measurementWorking knowledge of ad serving tools",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327345240?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db3f947eb95a1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdddeada8dd7bddc9dd9aadbgadeadd7fddb3aefcdcffec3ddcg3e&urlHash=q0DX&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-marketing-manager-office-homeoffice-remote-flexible-at-talent-2327345240?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
3,marketing manager,LinkedIn,2327068281,Trade Marketing Manager Performance BLX,mAfWVrn1T8CZTfV8x6bMxw==,PUMA Group,"LeusdenZuid, Utrecht, Netherlands",['Sporting Goods'],"SPEED  SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine Applying for a job at PUMA is easy and all genders are welcome Simply click APPLY ONLINE and follow the steps to upload your application",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327068281?url=https%3A%2F%2Fwww%2Eaplitrak%2Ecom%2F%3Fadid%3DbW1lcmRpbnlhbi4zNDk5Ny4xNTUwQHB1bWEuYXBsaXRyYWsuY29t&urlHash=OUNO&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trade-marketing-manager-performance-blx-at-puma-group-2327068281?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
4,marketing manager,LinkedIn,2327108093,Digital Marketing Manager,XIcaRrw2Qz2UsmdDfcFwtw==,NewMotion,"Amsterdam, North Holland, Netherlands",['Automotive'],"Are you a Digital Marketing leader with experience in both B2B and B2C, that wants to make an impact on the future of clean energy and transportation Then the position of Manager Digital Marketing might be the job for you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327108093?url=https%3A%2F%2Fnewmotion%2Ecom%2Fcompany%2Fcareers%2Fcareer-posting%3Frecruitee-slug%3Ddigital-marketing-manager-amsterdam&urlHash=htP8&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-marketing-manager-at-newmotion-2327108093?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
6,marketing manager,LinkedIn,2325413864,Digital Marketer,RAmwMOLyRJCrOfSj3N6H1Q==,INTK,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Internet', 'Entertainment']","DIGITAL MARKETEER, , Promote movies, concerts and exhibitions with digital marketing, , INTK is a young and ambitious studio based in Utrecht, specialized in developing digital strategies for cultural organizations, , Our mission is to change how people relate to culture Forty years ago, very few people sported regularly Today, many people dedicate several hours a week to sports Inspired by the changes in the sports sector, we would like to bring a similar shift in the culture sector Our goal is to encourage people that love culture to engage in cultural activities weekly For example, we want to help people that love cinema to go to the movies every week, , We work with several museums, theaters, cinemas, castles, libraries, festivals, etc Some of the cultural organizations we work with include, NEMO Science Museum, Stadsschouwburg Utrecht, Film Theater Hilversum, Loevestein Castle, Library Utrecht, Le Guess Who festival, etc, , We are looking for a digital marketing aficionado interested in promoting culture In case you have limited experience with digital marketing, we offer the opportunity to learn while enjoying the benefits of a fulltime paid job, , , , We encourage you to obtain the following Google certificates, , You will learn some of the most advanced project management and communication tools, including, , Consider applying to the position Digital Marketing Expert in case you already have experience, , , , At INTK, you will be slowly responsible for all parts of the business It includes, , INTK is one of the leading marketing agencies in the cultural sector We are ambitious and looking forward to expanding with new ideas and markets Within a couple of years, your position can grow into more responsibility and completely new tasks, , , , , , , Are you interested Send your CV and cover letter to Rui Guerra at marketingintkcom, , The vacancy is available as long as this page exists Please avoid calling us In case you have questions, we prefer to receive them by email You can apply in Dutch or English",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325413864?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4df32424d580%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadceada8dddbdde9ddcaddegddcaadcfddb3de8cdcgfec3ddcg3e&urlHash=8UMX&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/digital-marketer-at-intk-2325413864?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
8,marketing manager,LinkedIn,2324281758,"Marketing Manager, Co-Marketing",IBGJzx4qTcKKQX2DH4VLag==,Klarna,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Staffing and Recruiting']","Klarna makes shopping smoooth And we do it with flair because shopping is fun Every day, we help customers, businesses, and partners explore just how smoooth the modern shopping experience can be, , It means were constantly changing the game Always trying out new things And we encourage our people to do the same To grow To develop Because we dont believe roles have to stay fixed Instead we inspire our people to take an irregular career path As a company of 350 dynamic startups, our whole business is built for it So once youre in, theres no telling what will happen next, , Would you like to work with some of the biggest brands in the world Klarnas payment options are available at retail clients including HM, ASOS, Adidas, Apple, Disney, Ticketmaster and many more Klarna is looking for a strong marketer with consumer, payments andor retail experience to help our retailers market and message Klarna to the mutual benefit of both parties, , Successful candidates will possess the ability to combine creativity and business acumen in order to elevate Klarnas brand equity across all relevant channels in partnership with our biggest clients The role requires a deep understanding of the Klarna brand, our payment options and shoppers in order to develop the right marketing messages and campaigns to accelerate Klarna use at the retail checkout The successful candidate will work closely with other Klarna comarketing and commercial team members globally, , , , , , , , Please include a CV in english, , , , Klarna was founded in Stockholm, Sweden in 2005 Since then, weve changed the banking industry forever And now were creating the worlds smooothest shopping experience We serve 80 million consumers worldwide, and partner with 190,000 merchants  with a new merchant joining us every 8 minutes Including some of the worlds leading brands, such as HM, ASOS, IKEA, Adidas, Samsung and Lufthansa Our offices are spread over 18 different markets, hosted by 3000 people from 90 nationalities",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324281758?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fklarna%2F7e6daca6-8748-4fde-8173-8b9667a52c8c%3Fs%3DLinkedIn%26lever-source%3DLinkedInJobs&urlHash=uCHC&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-co-marketing-at-klarna-2324281758?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
9,marketing manager,LinkedIn,2288616569,Global Marketing Manager,aRC/kFs6RTa74ADG29Axew==,Scotch  Soda,"Amsterdam, North Holland, Netherlands",['Apparel & Fashion'],"We are looking for a Global Marketing Manager to join our Marketing team at Scotch  Soda We are looking for someone with experience in the fashion industry In this role you will be responsible for all marketing initiatives cross the brand, worldwide This includes, but is not limited to, activities within the licensing, retail, franchise, wholesale arms of the business Our Marketing team is located at our beautiful, canal side office in Amsterdam This is a temporary role for the expected period of 1 year",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288616569?url=https%3A%2F%2Fcareers%2Escotch-soda%2Ecom%2Fvacancies%2Fglobal-marketing-manager-amsterdam%2Fapply%2F&urlHash=OdIg&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/global-marketing-manager-at-scotch-soda-2288616569?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
10,marketing manager,LinkedIn,2232101121,CRM - Marketing Technology Manager,GbhB3f//Qa6PACsZR5sN9w==,Uber,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Consumer Services', 'Information Technology and Services']","At Uber, we ignite opportunity by setting the world in motion We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world, , We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently If you have a curiosity, passion and collaborative spirit, work with us, and lets move the world forward, together, , Uber is proud to be an Equal OpportunityAffirmative Action employer All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law We also consider qualified applicants regardless of criminal histories, consistent with legal requirements, , If you have a disability or special need that requires accommodation, please let us know by completing this form, , In Marketing, we work across the company to bring the Uber brand to life, both inside and outside our walls CRM is where user relationships, loyalty, and brand value are built through marketing strategies and activities We allow Uber to develop longterm relationships with established and new customers, all while helping streamline business performance, , , , An Outstanding opportunity to be part of Ubers wellestablished Global CRM team You will be responsible for delivering communications to our customers around the globe and making an impact, , As a Deployment Manager, you will build and deploying communications to millions of Uber users Drivers, Riders, Couriers, Eaters, and Restaurants via owned, digital channels, , You will work with various stakeholders to ensure we deliver the right message, to the right audience, and at the right time You will also play a role in ensuring our internal MarketingCRM systems are continuously evolving to meet the ongoing needs of the business and our customers",Full-time,https://www.linkedin.com/jobs/view/externalApply/2232101121?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D874%26rx_jobId%3D63438%26rx_url%3Dhttps%253A%252F%252Fwww%2Euber%2Ecom%252Fcareers%252Flist%252F63438%252F%253Fiis%253Dmarketing%2526iisn%253DLinkedin%2526iisp%253Dpaid%2526linkedin_sponsored%253Dsponsored%2526rx_campaign%253DLinkedin1%2526rx_group%253D1462%2526rx_job%253D63438%2526rx_medium%253Dpost%2526rx_r%253Dnone%2526rx_source%253DLinkedin%2526rx_ts%253D20201130T191506Z&urlHash=BbLE&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/crm-marketing-technology-manager-at-uber-2232101121?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
12,marketing manager,LinkedIn,2301932688,Marketing Manager,gvQQ2MtySkyp04cjbFf8Yg==,Informa Markets,"Amsterdam, North Holland, Netherlands","['Events Services', 'Online Media']","The Role, , The Marketing Manager  Pharma is responsible for leading the marketing team for a Portfolio of events and digital products within the pharmaceutical industry, to drive attendees to our live and virtual events, support revenue generation, and input into the development of the product value proposition The role has responsibility for the line management of a team of Marketing Executives and Copywriters",Full-time,,https://nl.linkedin.com/jobs/view/marketing-manager-at-informa-markets-2301932688?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
14,marketing manager,LinkedIn,2252036489,CRM & Data Specialist,hUPnvyZoTkaxc/gRDTyQcw==,Patagonia,"Amsterdam, North Holland, Netherlands","['Sporting Goods', 'Retail']","Your Role, , Were in business to save our home planet Your role will contribute to this mission by coordinating our customer data project setting up a customer data platform, maintaining it and activating the data with the goal to drive impactful customer experiences and serve our communities, , , , , , , , , , , , , , In order to succeed in this role, it is expected that you will have, , , , , , It is the responsibility of every employee to contribute to a positive work environment through cooperative and professional interactions with coworkers, customers and vendors",Full-time,https://www.linkedin.com/jobs/view/externalApply/2252036489?url=https%3A%2F%2Feu%2Epatagonia%2Ecom%2Fnl%2Fen%2Fjobs-at-patagonia%2F%3Fhh_jid%3D65543&urlHash=QN96&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/crm-data-specialist-at-patagonia-2252036489?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
19,marketing manager,LinkedIn,2291878395,Senior Digital Marketeer,xP7OAET5ShykwOn5+JhuYw==,Mapiq,"Delft, South Holland, Netherlands","['Computer Software', 'Computer Hardware', 'Information Technology and Services']","Marketing Campaign Manager, , Are you ready to make real impact, and do you have a proven track record in B2B marketing This is your chance to a young and vibrant organization, growing 300 each year For the marketing team, Mapiq is looking for an Senior Digital Marketeer Together with the team, you will conquer the European market by developing campaigns that generate high quality leads ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2291878395?url=https%3A%2F%2Fjobs%2Emapiq%2Enet%2Fsenior-digital-marketeer%2Fen&urlHash=0wtg&refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-digital-marketeer-at-mapiq-2291878395?refId=3fe611a1-3a8b-47eb-9ac3-91a2d7876758&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 days ago,3 days ago,2020-11-27,2020-11-30
