Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,marketing manager,LinkedIn,2288616569,Global Marketing Manager,pt2bMFtOSi2AXZaA2R/l1g==,Scotch  Soda,"Amsterdam, North Holland, Netherlands",['Apparel & Fashion'],"We are looking for a Global Marketing Manager to join our Marketing team at Scotch  Soda We are looking for someone with experience in the fashion industry In this role you will be responsible for all marketing initiatives cross the brand, worldwide This includes, but is not limited to, activities within the licensing, retail, franchise, wholesale arms of the business Our Marketing team is located at our beautiful, canal side office in Amsterdam This is a temporary role for the expected period of 1 year",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288616569?url=https%3A%2F%2Fcareers%2Escotch-soda%2Ecom%2Fvacancies%2Fglobal-marketing-manager-amsterdam%2Fapply%2F&urlHash=OdIg&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/global-marketing-manager-at-scotch-soda-2288616569?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
2,marketing manager,LinkedIn,2324281758,"Marketing Manager, Co-Marketing",XScvNm+NS0GJsvdJcslZBQ==,Klarna,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Financial Services']","Klarna makes shopping smoooth And we do it with flair because shopping is fun Every day, we help customers, businesses, and partners explore just how smoooth the modern shopping experience can be, , It means were constantly changing the game Always trying out new things And we encourage our people to do the same To grow To develop Because we dont believe roles have to stay fixed Instead we inspire our people to take an irregular career path As a company of 350 dynamic startups, our whole business is built for it So once youre in, theres no telling what will happen next, , Would you like to work with some of the biggest brands in the world Klarnas payment options are available at retail clients including HM, ASOS, Adidas, Apple, Disney, Ticketmaster and many more Klarna is looking for a strong marketer with consumer, payments andor retail experience to help our retailers market and message Klarna to the mutual benefit of both parties, , Successful candidates will possess the ability to combine creativity and business acumen in order to elevate Klarnas brand equity across all relevant channels in partnership with our biggest clients The role requires a deep understanding of the Klarna brand, our payment options and shoppers in order to develop the right marketing messages and campaigns to accelerate Klarna use at the retail checkout The successful candidate will work closely with other Klarna comarketing and commercial team members globally, , , , , , , , Please include a CV in english, , , , Klarna was founded in Stockholm, Sweden in 2005 Since then, weve changed the banking industry forever And now were creating the worlds smooothest shopping experience We serve 80 million consumers worldwide, and partner with 190,000 merchants  with a new merchant joining us every 8 minutes Including some of the worlds leading brands, such as HM, ASOS, IKEA, Adidas, Samsung and Lufthansa Our offices are spread over 18 different markets, hosted by 3000 people from 90 nationalities",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324281758?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fklarna%2F7e6daca6-8748-4fde-8173-8b9667a52c8c%3Fs%3DLinkedIn&urlHash=0N3G&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-co-marketing-at-klarna-2324281758?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
3,marketing manager,LinkedIn,2324844021,"Performance Marketing Manager, MEA",llpweS6dSsym61k+UMOxdQ==,Uber,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Consumer Services', 'Information Technology and Services']","At Uber, we ignite opportunity by setting the world in motion We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 10,000 cities around the world, , We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently If you have the curiosity, passion, and collaborative spirit, work with us, and lets move the world forward, together, , , , As part of the EMEA Regional Performance Marketing team, you will be responsible for the MiddleEast and Africas performance crafting the global strategy to the local needs Youll be the main POC within the region for Marketing and Operations teams and work hand in hand with them to identify the local challenges and opportunities to craft the best Performance Marketing response Owning specific regional marketing projects, leading endtoend strategy, coordinating the execution, and working closely with the analytics team to provide measurement and reporting",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324844021?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D874%26rx_jobId%3D65196%26rx_url%3Dhttps%253A%252F%252Fwww%2Euber%2Ecom%252Fcareers%252Flist%252F65196%252F%253Fiis%253Dmarketing%2526iisn%253DLinkedin%2526iisp%253Dpaid%2526linkedin_sponsored%253Dsponsored%2526rx_campaign%253DLinkedin1%2526rx_group%253D1462%2526rx_job%253D65196%2526rx_medium%253Dpost%2526rx_r%253Dnone%2526rx_source%253DLinkedin%2526rx_ts%253D20201129T191503Z&urlHash=Z4Oc&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/performance-marketing-manager-mea-at-uber-2324844021?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
4,marketing manager,LinkedIn,2324365379,Global Marketing Manager - Amsterdam,dK4EkvxfQiSR+sOhoWMKaw==,Scotch  Soda,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Apparel & Fashion', 'Retail']","We are looking for a Global Marketing Manager to join our Marketing team at Scotch  Soda We are looking for someone with experience in the fashion industry In this role you will be responsible for all marketing initiatives cross the brand, worldwide This includes, but is not limited to, activities within the licensing, retail, franchise, wholesale arms of the business Our Marketing team is located at our beautiful, canal side office in Amsterdam This is a temporary role for the expected period of 1 year, , As a Global Marketing Manager you will be responsible for supporting the marketing managers and director in driving marketing initiatives",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324365379?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D41816aff218c%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccddf8dd8fddf9ddaaadfaadagadaaddefddf3de8cacdfec3ddcg3e&urlHash=8c4G&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/global-marketing-manager-amsterdam-at-scotch-soda-2324365379?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
5,marketing manager,LinkedIn,2272664170,Marketing Manager - Performance Marketing,+Q7QVATQSEyYRM8wnR0tmQ==,Amazon,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Information Technology and Services', 'Internet']","Description, , Amazon strives to be Earths most customercentric company where people can find and discover virtually anything they want to buy By giving customers more of what they want  low prices, vast selection and convenience  Amazon continues to grow and evolve as a worldclass ecommerce website, , Amazons Consumer Marketing team is looking for a talented, smart and entrepreneurial leader to help drive Amazons Benelux businesses focused on the Associates program This program is a key and integral part of our Marketing Mix to bring new customers to Amazon, drive existing customers to discover new products or programs on Amazon and increase customer loyalty The Amazon Associates program is one of the most wellknown and respected Affiliates programs WW and enables our partners from content websites, social presences to large portals to monetize their online traffic by referring customers to Amazon, , We are currently seeking a Senior Key Account Manager, who will drive engagement and build solid relationships with our business partners within the affiliate publishing space nurturing the partnerships You will be a key member of the Benelux Marketing team and will be interacting frequently with senior stakeholders within Retail and Consumer Marketing while regularly engaging with both current and prospective partners at the Csuit level, , To be successful in this role you will have excellent communication, presentation and organizational skills Operating in a fastmoving and sometimes ambiguous environment you will work autonomously taking full control and responsibility for hitting business objectives This role provides opportunities to develop original ideas, approaches, and solutions in an ever changing business climate, , , , , , , The successful candidate will have a strong track record in Sales  Marketing to grow revenue through partnerships in the ecommerce space You will have strong understanding of SEO, key affiliate integration business models and practices You will need to grasp the big picture quickly, create ambitious goals, communicate the strategies to achieve these goals, and personally lead business development activities You will need to inspire confidence and quickly build credibility in our partners and people You will demonstrate strong commercial acumen and be comfortable navigating partner integrations The ideal candidate will have the following attributes, , , , ,  Amzn Dev Ctr Netherlands BV, Job ID A1342872",Full-time,https://www.linkedin.com/jobs/view/externalApply/2272664170?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1342872%2Fmarketing-manager-performance-marketing%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=dEJL&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-performance-marketing-at-amazon-2272664170?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
6,marketing manager,LinkedIn,2272645281,EMEA Marketing Manager,EQO+HnI/TJSrGLa1BRcWWw==,Mersive Technologies,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","The Opportunity, , Mersive is a rapidly growing software company in downtown Denver that offers an awardwinning wireless collaboration product suite that is transforming how organizations work and learn Were seeking a candidate to fulfill the EMEA Marketing Manager role on our fastpaced Marketing team to help ramp up our marketing efforts in European, Middle Eastern, and African markets This position will be based remotely, reporting into Mersives Denverbased marketing Vice President with a dotted line to our Italybased EMEA General Manager, based in the lake district north of Milan, Italy This person will be responsible for a range of crossfunctional internal, partner, and customerfacing roles and responsibilities This position requires a confident, selfdirected worker who can learn quickly, work productively, and collaborate well within Mersive and externally, , , , Headquartered in Denver, Mersive Technologies is wellknown as a market disruptor in the collaboration software space that has had 3 straight years of profitable operations and doubledigit sales growth This combination of innovation, rapid growth, and profitability make us a unique technology company Our wireless collaboration products make the worlds meetings better by a more productive and engaging experience Among our customers are over 30 Fortune 100 companies and Ivy League universities who use Mersive Solstice to make their workplace meaningful, connected and more enjoyable for everyone Since launching Solstice in 2014 it has been deployed in over 100,000 meeting spaces through our worldwide sales and integrator partner network, , We are a diverse team of over 150 dedicated people who genuinely care about our work, customers and each other We promote a culture of innovation, trust and accountability We value transparency, intellectual honesty, hard work and community Mersive is growing quickly, and we are looking for folks who like a challenge and arent afraid to break new ground in either technology or business models",Full-time,https://www.linkedin.com/jobs/view/externalApply/2272645281?url=https%3A%2F%2Fwww2%2Emersive%2Ecom%2Fcompany%2Fjoin-mersive-team%2F%3Fgh_jid%3D4875244002%26gh_src%3D7126971c2&urlHash=JeQT&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-marketing-manager-at-mersive-technologies-2272645281?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
7,marketing manager,LinkedIn,2273046155,Marketing Manager,o9ZyAxdlQwODmjcezFZfNQ==,Harnham,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Computer Software', 'Financial Services']","Derivatives Trading Marketing Manager, , Amsterdam, , 40,000  50,000  bonus  benefits, , Passionate Marketer needed to own the Netherlands marketing activities for a derivatives trading company, , , , Leaders in their market, this company are one of the worlds biggest financial services companies, they have 190K clients  offices in 14 countries, , , , Reporting into the Head of Marketing, you will be helping to deliver the yearly marketing plan, specific for the Netherlands The remit spans across digital channels, brand, acquisition  retention, , You will own the NL plan, managing the marketing budget, implementing your plan across all channels and in doing so collaborating with teams such as creative, email, social, PR, web  sales You will be monitoring  reporting on campaigns throughout and post to understand its performance and optimise its performance You will work with the Marketing Intelligence team to understand deeper the customer  channels to ensure maximum effectiveness, , You will also be expected to maintain successful relationships with supplier agencies  develop an expert knowledge of this company  their customers, , , , Strong marketing experience across digital channels, brand, acquisition  retention, , Experience with web  mar tech such as Google Analytics, Adobe Analytics, Google Adwords, Bing Ads, Facebook Ads, Tableau, SQL  Excel, , NEEDED  experience in the Dutch  financial trading markets, , Experience developing  managing marketing plans, , , , Salary  Benefits to be confirmed, send your CV for more info, or click the Apply link for this advert, , , , Google Analytics, GA, Google Tag Manager, Tealium, Adobe Launch, Omniture, SiteCatalyst, Adobe Analytics, Analyst, Web, Digital, Online, Website, Financial Services, Finance, AB, Test, Split, Multivariate, MVT, Tracking, Code, Tagging, Tags, Insight , Management, Strategy, CRO, Conversion, Optimisation, Optimizely, Test and Target, SQL, R, Python, Tableau, Power BI, Adwords, Bing Ads, Facebook Ads",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273046155?url=https%3A%2F%2Fwww%2Eharnham%2Ecom%2Fjob%2Fmarketing-manager-in-amsterdam-north-holland-jid-28929&urlHash=5c9E&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-at-harnham-2273046155?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
9,marketing manager,LinkedIn,2291326637,Marketing Manager-Benelux,6aGZu2ELTWiosLbPyCkxrA==,Insider,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Meet Insider, the first integrated Growth Management Platform GMP, , Insider Growth Management Platform GMP helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention, and Revenue Leveraging realtime predictive segmentation powered by deep Artificial Intelligence and Machine Learning capabilities, Growth Management Platform empowers marketers to deliver personalized journeys across the web, mobile web, mobile apps, and ad channels Built on a unified data layer, GMP is easy to implement and simple to use, avoiding the need for complex integrations and dependency on IT teams Insider simplifies the life of digital marketers and helps them drive growth for their brands, with zero marketing waste, , We are looking for a dynamic Marketing Manager to join our growing European team Based in Amsterdam, the Marketing Manager Benelux will be responsible for designing and implementing creative campaign strategies to help drive lead generation and brand awareness in the Benelux market, , This is a crossfunctional role, collaborating across marketing and sales teams to ensure the successful delivery of all integrated campaigns and marketing initiatives to penetrate target accounts, , , Preferred Experience, Insider is a Sequoia backed technology company with offices in London, Singapore, Tokyo, Hong Kong, Seoul, Sydney, Helsinki, Barcelona, Dubai, Moscow, Warsaw, Taipei, Jakarta, Istanbul, Kiev, Ho Chi Minh City, Bangkok and Kuala Lumpur Insider was listed as one of Europes 100 Hottest Startups by WIRED Magazine and won Red Herring Top 100 Europe in 2017 CrunchBase has recently ranked Insiders cofounder and CEO Hande Cilingir as one of the top three women CEOs outside of the US, , Some of the most prestigious Fortune 500 companies and top brands in retail, automotive and travel across the globe use Insider to deliver AIbacked personalized experiences Helping worlds leading brands grow beyond the speed of customer expectations, Insider is trusted by over 600 businesses across various industries including UNIQLO, Singapore Airlines, Tokopedia, Virgin, New Balance, Nissan, Samsung, Puma, Newsweek, Media Markt, AVIS, Allianz, BBVA, Dominos, McDonalds, Avon and CNN, , Insider is a valuedriven company and we provide equal opportunity in a zerodiscrimination workplace Insider not just welcomes but also embraces diversity Therefore, all qualified candidates will be considered without regards to sex, race, color, nationality, religion, gender identity, sexual orientation, disability status, citizenship or marital status Lastly, Insider will provide all necessary arrangements for eligible individuals with disabilities",Full-time,https://www.linkedin.com/jobs/view/externalApply/2291326637?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fuseinsider%2F4c68dc93-0735-4334-816c-9ca54d4914af%2Fapply%3Flever-source%3DLinkedIn&urlHash=iAi_&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-benelux-at-insider-2291326637?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
10,marketing manager,LinkedIn,2280165523,Marketing Manager,jRtJ79kfQKyrUWzOhh6FLw==,Michael Page,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']","Marketing Manager, Be a part of an internationally recognized fastpaced organization, An all round marketing role with lots of growth potential, About Our Client, Founded in 1974, this organization is one of the worlds biggest financial services providers with offices in 14 countries and over 195,000 clients worldwide Recognized with the Best Online Broker Award by AI Global Media in the Netherlands, its clear to us that this success has come from empowering our people to be brave, innovative, and inspiring, , , , , , , , , As well as having the chance to attend regular social events, get funding for your charitable endeavors, and join a range of special interest groups, youll receive an attractive selection of benefits uf0b7",Full-time,https://www.linkedin.com/jobs/view/externalApply/2280165523?url=https%3A%2F%2Fwww%2Emichaelpage%2Enl%2Fen%2Fjob-apply%2Fmarketing-manager%2Fref%2F196026%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobad&urlHash=pH7j&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-at-michael-page-nederland-2280165523?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
11,marketing manager,LinkedIn,2309955233,Marketing Manager Benelux (M/W),h5rxOSxOR0mxxgdaIYMTaw==,Abbott,"Hoofddorp, North Holland, Netherlands",['Hospital & Health Care'],"Country Marketing Manager MW within Abbott Diagnostics, , Primary Objective, , The Marketing Manager leads the Marketing agenda across Benelux, to sustainably grow the business and brand over the long term HeShe develops and champions robust marketing and launch plans in country, ensuring they align with area priorities and will deliver country business objectives and supports sales and the rest of the organization to connect with customers flawlessly to deliver the optimal brand story and experience This position requires confidence, independent action, initiative, a sense of urgency, and the ability to make decisions and take responsibility for them A wellsuited candidate can react and adjust quickly to changing conditions and come up with practical ideas for dealing with them The style is purposeful, directed at getting things done quickly There is a strong demand for high quality, organized and repeatable results The responsibilities are broad in scope, encompassing a wide variety of activities requiring rapid shifts in priorities This is primarily a taskfocused job, requiring a somewhat authoritative, directive leadership style that encourages resultsdriven, taskoriented collaboration",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309955233?url=https%3A%2F%2Fwww%2Ejobs%2Eabbott%2Fus%2Fen%2Fjob%2FABLAUS30963261ENUSEXTERNAL%2FMarketing-Manager-Benelux-M-W%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=bbYO&refId=19df698b-31ff-4e86-b453-e0bcb968455d&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-manager-benelux-m-w-at-abbott-2309955233?refId=19df698b-31ff-4e86-b453-e0bcb968455d&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-18,2020-11-30
