,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,369,staff,LinkedIn,2307796743,Logistic Employee,Pk4+ODOmRuS+ZiFG/8nK/A==,Hexion Inc,"Pernis, South Holland, Netherlands",['Chemicals'],transportation and storage,"Position OverviewHet doel van deze positie is om er voor te zorgen dat de logistieke stroom opslag, afdrummen, afzakken, verpakte en bulk lossen en laden op Pernis goed verlooptThe NetherlandsManufacturingBased in Columbus, Ohio, Hexion Inc is the global leader in thermoset resins Through a broad range of thermoset technologies and specialty products, Hexion serves and supports customers in a diverse range of applications and industriesHexion materials are found in products that touch nearly every facet of modern living At Hexion, we believe that leadership begins with integrity, ethics and environmentally sound operations When you work for Hexion, you are partnering with a company that is not only focused on delivering value but on doing it in a safe, ethical and environmentally responsible mannerThis exciting opportunity is part of Hexion IncIs volledig verantwoordelijk voorDisclaimer We are not seeking or accepting unsolicited assistance from search and selection firms or employment agencies for this employment opportunity Please, do not contact any our employees by phone, email or otherwise about this position Any resume submitted by a search and selection firm or employment agency for a position to any employee via email, social media or any other means without the existence of a valid written search firm agreement for this position will be deemed deemed the sole property of the Company The Company will not be obligated to pay any cost or fee in the event it offers employment to or hires a candidate that came to its attention through such unsolicited referral",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307796743?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D26486%26siteid%3D6988%26jobId%3D852055&urlHash=-BnK&refId=8c8965b8-6b81-4dae-8625-0154527a4b77&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistic-employee-at-hexion-inc-2307796743?refId=8c8965b8-6b81-4dae-8625-0154527a4b77&position=19&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,22/11/2020,23/11/2020,en,No,No,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,H,0.24611398963730569,0.7538860103626943,0.5310880829015544,0.4689119170984456,Male,Older
1,12,staff,LinkedIn,2323327083,People Administrative Support,8Q+eAtd+TbSk9MvyfmtfLw==,Picnic Technologies,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Internet', 'Retail']",Administrative,"Do you want to be part of the supermarket revolution Picnic offers you the opportunity to work in an innovative startup culture where everything you do matters With a datadriven approach and an incredible service, Picnic strives to make grocery shopping simple, fun, and affordable for everyone Known for our justintime supplychain and a unique lastmile delivery strategy, we have become one of the fastestgrowing companies in Europe, , You are an organizational talent, a master at keeping a clear overview and you get excited about helping coworkers In the role of People Administrative Support, you are a first point of contact for all People Operations related topics and employees within our Amsterdam office You are a true team player constantly working with the rest of the People Operations team and other colleagues within the whole of Picnic, , You would join the People Operations team, working from the headquarters in Amsterdam Here you can enjoy a delicious lunch every day and fun Friday drinks  as soon as a COVID19 vaccine has been found  every week, , , , Picnic offers unique opportunities we give you incredible responsibilities in a flat organization We work in small, professional teams, and are focused on innovation, , Furthermore, we are super curious, extremely competitive, and value transparency We work hard, play hard, operate as one team and leave our egos at the door We care about people, growth, excellence and results Bottom line, we are looking for people who make the impossible happen every day, , Keywords administratief medewerker, human resources, administratie, staff  organisatie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323327083?url=https%3A%2F%2Fjoin%2Epicnic%2Eapp%2Fjobs%2F2448369%3Fgh_jid%3D2448369&urlHash=O4p8&refId=6d3a89e6-d743-4e1d-b93e-713b8c284d7c&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/people-administrative-support-at-picnic-technologies-2323327083?refId=6d3a89e6-d743-4e1d-b93e-713b8c284d7c&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,22/11/2020,26/11/2020,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,8,staff,LinkedIn,2277257880,Sales Assistant,7+vUhP6jTdG9Q43L1t+2Cg==,Hikvision,"North Holland, Netherlands",['Information Technology and Services'],Sales,"Job Description 1 Assist regional sales to follow up the daily work of customers contracts, orders, and shipments2 Responsible for the entry, review, and unlocking of various overseas order systems to ensure accuracy and timeliness",Full-time,,https://nl.linkedin.com/jobs/view/sales-assistant-at-hikvision-2277257880?refId=54525344-7106-4667-b38e-ba1c1e990ee5&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,12,staff,LinkedIn,2294443795,Rabobank Traineeship,cOWrC2RPSUuT4Aw+ajNXTA==,Rabobank,"Utrecht, Utrecht, Netherlands",['Banking'],Sales,"ReView Your OpportunitiesDid you already define your career path Our Rabobank Traineeship can help you to explore your talents and to discover which position suits you best Would you like to work for a bank that offers you a chance to make a difference for our clients and to society This traineeship will lead you just about anywhere within Rabobank and offers a variety of challenging projects You will shape the future of the bank What does that future look like Its up to youAt Rabobank you can have an impact on making the world a better place as of your first day For example by sharing your perspective on our way of workingYoull already be aware that Rabobank is a financial services provider for more than 85 million customers in 40 countries But did you know that we aim to contribute to real change with our Growing a better world together mission We do so in countless ways, such asThe Rabobank Traineeship offers you the opportunity to get to know the organisation in 16 months and to be busy with many interesting facets of Rabobank You will rotate four times during your traineeship, so you will be working in four different departments These rotations are chosen based on your study background, preference and growth potential In addition, personal development is a big part of the programme In addition to working within the different departments, you will also start to improve yourself, both professionally and personally, through development training In addition, a buddy, a former trainee, helps you find your way within the bank and you get guidance from a talent manager and a mentor After the 16 months, you choose a position within Rabobank that suits you bestA lot to learn and discover Will it be a rotation within corporate banking, innovation, strategy or food and agriDo you have the energy, decisiveness and enthusiasm to get the most out of yourselfIf we ask your friends to describe you in a few keywords, the answer is creative, good at networking and emotionally intelligent In addition, you take the time to reflect and continuously improve your performance and that of others You also come up with innovative ideas and strategies and encourage creative solutionsIts also important that you recognize yourself in the followingApply now for the Rabobank Traineeship and start as from April 1 2021 We are looking for candidates who already live in the NetherlandsDo you want to become the ideal version of yourself We would love to help you achieve this by focusing firmly on your growth, development, and investing in an environment where you keep learning every day We give you the space to innovate and initiate In addition, with us on the basis of a 36hour working week, you can also expectAre you the person were looking for Are you ready to join Rabobank as a Trainee and to make a difference to yourself, our customers and to society We look forward to receiving your application for this vacancy in UtrechtGood to know",Other,https://www.linkedin.com/jobs/view/externalApply/2294443795?url=https%3A%2F%2Frabobank%2Ejobs%2Fen%2Fjob%2Frabobank-traineeship%2FJR_00036011%2F%3Futm_source%3Dlinkedin%26utm_medium%3Djob_slot%26utm_content%3DJR_00036011%23application-procedure&urlHash=ECdq&refId=54525344-7106-4667-b38e-ba1c1e990ee5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rabobank-traineeship-at-rabobank-2294443795?refId=54525344-7106-4667-b38e-ba1c1e990ee5&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,16,staff,LinkedIn,2319184421,Service Desk Application Assistant (M/F/D) for multinational client in,8j1A60FYQPu61u1c+/8JAA==,CareerAddict,"Amsterdam, North Holland, Netherlands",['Computer & Network Security'],Information Technology,"We are looking for a Service Desk Application AssistantMFD for multinational client in AmsterdamExpected tasks and deliverables by the Consultantinfeurope is a Luxembourgbased IT service provider, designing, developing and managing multilingual information and documentary systems in many application areas and business sectors For more than 37 years we have delivered IT systems and solutions",Contract,https://www.linkedin.com/jobs/view/externalApply/2319184421?url=https%3A%2F%2Fjobs%2Ecareeraddict%2Ecom%2Fpost%2F20873356&urlHash=EuRN&refId=54525344-7106-4667-b38e-ba1c1e990ee5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-desk-application-assistant-m-f-d-for-multinational-client-in-at-careeraddict-2319184421?refId=54525344-7106-4667-b38e-ba1c1e990ee5&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,19,staff,LinkedIn,2280125838,Lab Assistant,opoZT0SQTh6PljnXuEIGcg==,Real Staffing,"Leiden, South Holland, Netherlands","['Staffing and Recruiting', 'Biotechnology', 'Pharmaceuticals']",Research,"Process development consists of a USP and a DSP department and is responsible for the development of scalable, pharmaceuticalgrade production processes for viral vaccines using mammalian cell lines as a production platform Novel technologies are used to make sure that the processes are safe, reliable, scalable and costeffective, so that the vaccines can be produced in large quantities at low costs The developed production processes are transferred into GMP production facilities for the production of clinical batches and scaledup for commercial production All activities are performed in close collaboration with other departmentsWe are looking for a motivated Lab Assistant within the field of downstream process development DSP Under limited supervision, but as part of a team you will contribute to the sample logistics processHaving an overview of all the samplesWork together with the involved departmentsRequest the testing with Sample Request FormsTracking the resultsPerform data analysesIf applicable, arrange retests",Full-time,https://www.linkedin.com/jobs/view/externalApply/2280125838?url=https%3A%2F%2Fwww%2Erealstaffing%2Ecom%2Fen-jp%2Fjob%2Flab-assistant%2FRE-33565450%3Futm_source%3Dlinkedin%26utm_medium%3Dwrapped_jobs&urlHash=6Gy3&refId=54525344-7106-4667-b38e-ba1c1e990ee5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lab-assistant-at-real-staffing-2280125838?refId=54525344-7106-4667-b38e-ba1c1e990ee5&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,21,staff,LinkedIn,2198713256,Student Staff,pEGW/dzgQnqmO9LzIYDOyA==,Ingredients Brokers International BV,"Zaandam, North Holland, Netherlands",['International Trade and Development'],Education,Job descriptionWe are searching for a student that wants to set his or her first steps in international business The ideal candidate is still enjoying his studies but has spare time to work 1 day minimum a week in our company ,Part-time,,https://nl.linkedin.com/jobs/view/student-staff-at-ingredients-brokers-international-b-v-2198713256?refId=54525344-7106-4667-b38e-ba1c1e990ee5&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
7,26,staff,LinkedIn,2311891756,Social Media Intern,tXEvaa8uSmqzfAOzWIy0hQ==,Everon,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Education,"Are you looking for an internship with real experience and responsibility Were looking for a Social Media intern whos brave and proactive Someone with a passion for communications as well a willingness to collaborate and learn In return youll be part of a Marketing team with more than 30 years experienceIn the last year weve built a cleantech brand and brought it to market With your help, we want to grow our communications that includes researching, ideating, copywriting, photographing and community management You will be hunting the newest story within our business and sharing it with the world Dont worry if you dont have all the necessary experience, were looking for someone whos not afraid to fail and learns from their mistakesThe internship will last 5 to 8 months and will start in February 2021In your cover letter please explain why you think social media is important for a businessThe internship has a duration of minimum 5 months and maximum 8 months",Internship,https://www.linkedin.com/jobs/view/externalApply/2311891756?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Feveron%2Fjobs%2F4229534003&urlHash=hXEi&refId=e642452c-80c2-4e29-8246-dee85ff3f171&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/social-media-intern-at-everon-2311891756?refId=e642452c-80c2-4e29-8246-dee85ff3f171&position=1&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
8,27,staff,LinkedIn,2253430290,ICT Support Assistant,FlKJyJ3HQMOF0Z6QmesWtA==,Stamicarbon,"Sittard, Limburg, Netherlands",['Chemicals'],Customer Service,"The CompanyStamicarbon is the Innovation and Licensing Company of Maire Tecnimont, a Global Engineering contractor in the licensing and construction of plants in the chemical and petrochemical industry Stamicarbon is a dynamic organization in a challenging and changing international business environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2253430290?url=https%3A%2F%2Fwww%2Estamicarbon%2Ecom%2Fvacancies%2Fict-support-assistant&urlHash=rZUJ&refId=e642452c-80c2-4e29-8246-dee85ff3f171&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ict-support-assistant-at-stamicarbon-2253430290?refId=e642452c-80c2-4e29-8246-dee85ff3f171&position=2&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,30,staff,LinkedIn,2289453260,Data Entry Agent - Survey Assistant,405hTQInQrOOVD3mwNpspQ==,UsaSurveyJobBoard,"Breda, North Brabant, Netherlands","['Retail', 'Consumer Services', 'Financial Services']",Education,"Make cash at Home by Participating in Paid Surveys  Data Entry agent  Customer Service Rep  ParttimeWe are trying to find individuals across the country to join paid studies  Apply ASAPWe provide you the opportunity to earn extra revenue at home remotely and likewise to determine your own participation schedule At this job, you will be performing numerous jobs such as data entry, performing email feedback, evaluations, surveys and other online jobsThis work at home opportunity is extremely rewarding and also will certainly help form the industry as well as affect brandnew products involving market Sometimes you will also get to see products before the public and take part in testing them Youll be helping firms gather information to help forecast trends and influence future organisation decisions based on the information providedVisit this link to Apply  httptrackusasjbtrackingcom5ea97b14c6fe190001255b77If you are the kind of person who is selfmotivated as well as comfortable working on your very own at home, enjoy such work as email customer service, data entry as well as evaluate products, then you are the person we are trying to findData entry agent come from all different backgrounds consisting of, data entry, outbound telemarketing, customer support, sales, clerical, secretary, administrative assistant, assistant, telephone call center, parttimeVisit this link to Apply  httptrackusasjbtrackingcom5ea97b14c6fe190001255b77",Part-time,https://www.linkedin.com/jobs/view/externalApply/2289453260?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fusasurveyjob%2F0ba27442-2caa-439c-ae5b-d74f5a36804d%2Fapply%3Flever-source%3DLinkedIn&urlHash=az1w&refId=e642452c-80c2-4e29-8246-dee85ff3f171&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/data-entry-agent-survey-assistant-at-usasurveyjobboard-2289453260?refId=e642452c-80c2-4e29-8246-dee85ff3f171&position=5&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-17,2020-11-23,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
