,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Language,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,production manager,LinkedIn,2325415086,Production Manager,i36Z5O/9ROizthBEYhiGkg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Marketing,"We are looking for an experienced Production Manager to organize and oversee the manufacturing of goods, , You will be ultimately responsible for the smooth running of all production lines and the quality of output, , We expect you to have deep knowhow in production procedures, , Ability to direct personnel towards maximum performance will set you apart as a leader, , Decisionmaking and problemsolving will take up a great part of your day, , If you are up to it, wed like to talk to you, , The goal is to ensure an efficient and productive manufacturing process that meets customer requirements, , , , Ensure output meets quality standards, , Organize workflow to meet specifications and deadlines, , Liaise with other managers to formulate objectives and understand requirements, , Report to upper management, , Approve maintenance work, purchasing of equipment etc, , , , Knowledge of performance evaluation and budgeting concepts, , Deep knowledge of production management, , Experience in reporting on key production metrics, , Outstanding communication ability, , Excellent organizational and leaderships skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325415086?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D42d344ac00f7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccdde8adcfddd9ddcaddcaadfgaddaddgfddg3aeacdc9fec3ddcg3e&urlHash=iKw0&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-manager-at-talent-2325415086?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
1,2,production manager,LinkedIn,2246368020,Production Manager,wV2UqptQTcyyQ7atIO8U5w==,Meatless Farm,"Amsterdam, North Holland, Netherlands",['Food & Beverages'],Production,"About The Meatless Farm, , The Meatless Farm was founded in 2016 with a mission to reduce global meat consumption by making swapping in plantbased food easy, alongside naturally complementing the worlds increasing appetite for alternative and plantbased protein The Meatless Farm aims to help households, schools, restaurants, and businesses, switch to or serve one or more plantbased meals per week",Full-time,,https://nl.linkedin.com/jobs/view/production-manager-at-meatless-farm-2246368020?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
2,4,production manager,LinkedIn,2295761537,Manager Production / Jr. Operations Manager,q8mbIeZtTISRCC93lA6JoQ==,Page Personnel,"Harderwijk, Gelderland, Netherlands","['Staffing and Recruiting', 'Retail', 'Financial Services']",Management,"Manager Production  Jr Operations Manager, Complex and challenging environment, Opportunity to grow into a tactical management role, About Our Client, This organisation is an international trading and processing company in nonferrous scrap metals and waste paper In a changing and challenging market this organisation is taking bold steps to streamline processes and thereby offer the most competitive prices to our clients Part of our plan includes processing material that fit with new regulations and requirements of our customers To help us meet this goal we are looking for a motivated Logistics Teamlead  Jr Operations Manager to join our management team This is an important, new role that is key to the success of our business today and in the future The organisation combines entrepreneurship, unique logistical operations and indepthknowledge of both the products traded as well as the needs of our clients all around the globe They believe in developing our people through open communication, stimulating initiative, training and supporting selflearning The site operation includes the processing of incoming and outgoing material made up of four key elements, , , , , , , , , , The organisation offers competitive compensation, a complete benefits package and the possibility to develop in a dynamic, international and ambitious environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2295761537?url=https%3A%2F%2Fwww%2Epagepersonnel%2Enl%2Fen%2Fjob-apply%2Fmanager-production-jr-operations-manager%2Fref%2F181765%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator%26utm_campaign%3Dlimitedlisting&urlHash=DOPi&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-production-jr-operations-manager-at-page-personnel-2295761537?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
3,7,production manager,LinkedIn,2304679274,Production Manager,6rItTqLqSHG5nphkKpc/Qg==,Omron Industrial Automation Europe,"sHertogenbosch, North Brabant, Netherlands","['Industrial Automation', 'Electrical/', 'Electronic Manufacturing', 'Automotive']",Marketing,"In Den Bosch we manufacture and assemble products like robots, controllers and drivers for modern machinery Our products can be found primarily in machinery for the Food, Automotive and Semiconductor industry We are currently looking for a Production Manager fulltime and Dutch speaking, , , Managing operations 115fte by overachieving the Quality, Delivery and Cost targets while maintaining a safe and engaging work environment Your accountable for QCD by ensuring that the right capacity and capabilities are available and able to perform optimal You drive continuous improvements according to the latest lean manufacturing principles bringing our operational cost year over year down You develop and implement the future production environment fe robotization, automation, digitalization within our assembly manufacturing site, still being close to our shop floor Are you the ambitious person helping us with our strong growth ambition, , , , , , , , , , Safety, quality and results oriented, clear communicator, strong leader, multitasker, loves a dynamic environment, improvement focused, , If you are interested in this position, please apply including your resume and brief motivation If you have any additional questions regarding the position, please do not hesitate to contact Ren Soeterboek, Factory Manager renesoeterboekomroncom or Frank Kandelaars, HR Manager frankkandelaarsomroncom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304679274?url=https%3A%2F%2Findustrial%2Eomron%2Eeu%2Fen%2Fcareers%2Fvacancies%2Fproduction-manager-866939%3Futm_source%3Dlinkedin%26utm_campaign%3Dsocial_media%26utm_medium%3Dlinkedin&urlHash=m2nQ&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-manager-at-omron-industrial-automation-europe-2304679274?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
4,8,production manager,LinkedIn,2308376916,Production Manager,ipJyfyqXTdCR01E5itEYkA==,Tailscom,"Amstelveen, North Holland, Netherlands",['Consumer Goods'],Marketing,"Production Manager, , Were looking for a Production Manager with a strong people focus to be able to engage our team, encouraging high performance so that we can continue to give our customers a great experience as we grow and expand, , Changing the world of pet food for good, , Were tailscom, a dog food subscription company with a big difference We create truly tailored food for each and every dog we serve We start by asking people a few simple questions about their dog Then we use that information to create their dogs unique tailscom recipe  so their dog gets exactly the nutrition they need, in the taste they love, delivered to their door every month Its clever stuff, , Weve got ambitious plans Having created an entirely new category in pet food, were now scaling fast in the UK and Europe  backed by Purina, one of the worlds largest pet food companies Youll join a bunch of smart people working towards the same goals  and a bunch of smartish dogs, all working on their own thing, , Together, well change the world of pet food for good, , Smart factory Smarter people, , In Factory Operations, were responsible for creating a different product for each and every dog, and delivering it to our customers  on time and in beautiful condition It means we design the processes that make it possible to do what tailscom does  meeting challenges and finding new ways to do incredible things, , The team is engaged, empowered, and highperforming Were driven by results and delivery  which means you get the space and trust to take a problem and solve it We believe most hard skills are learnable  so were looking for attitude and approach above all else Eager to learn, adapt, and work hard You could be just the person we need to deliver a truly gamechanging product to thousands of people, every day, , Sound like a team you want to join Heres how youll make a difference, , Based in our Amstelveen Factory, you will guide the Production teams to ensure that our customers receive their orders right the first time, , Team planning, staff performance, and compliance with quality and HS procedures will be some of the core responsibilities of this role, , You will also work collaboratively with other teams, for example Quality and Supply Chain, to help tailscom meet our ambitious objectives, , The things youll do, , , , Whats in it for you, , , Have a dog They get good things too",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308376916?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Ftails%2Fjobs%2F4902952002&urlHash=jmrO&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-manager-at-tails-com-2308376916?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
5,9,production manager,LinkedIn,2185221399,Production Manager,uWHnL+vdQvWkLXGIGTpP7Q==,SYNCREON,"Tilburg, North Brabant, Netherlands","['Logistics and Supply Chain', 'Automotive', 'Staffing and Recruiting']",Marketing,"As a Production Manager in the Manufacturing department for our location Tilburg, you are responsible for leading, guiding  coaching a manufacturing team who is assembling  processing production orders within the given targets of costs  quality You are responsible for all manufacturing activities for our customer during the shifts In this role, you report directly to the Sr Operations Manager, who is part of the site MT, , , , , , , , The Manufacturing departments at syncreon are responsible for assembling, processing and shipping consumer  professional electronic products for EMEA region As Production Manager for Tilburg, you will be the main point of contact for each of the sub sections within Manufacturing In this role, you give direct leadership, support and guidance to the supervisors and you manage indirect their teams, , , , , , , , , At syncreon we are fully committed to the health and safety of our employees We have full prevention and mitigation processes in place, including cleaning and sanitization practices, as well as screenings, masks and social distancing syncreon complies with national, state and local orders and aligns with the guidelines set forth by the CDC and ECDC, , , , syncreon offers exciting and challenging roles within a growing international organization We strive to hire and develop the right people, locally and globally stimulating personal growth and selfdevelopment within an informal atmosphere We offer a market competitive compensation package, , , , syncreon delivers tailored, progressive and scalable solutions to premier global automotive and technology brands, such as Jaguar Land Rover, Harley Davidson, BMW, Dell, Xerox and Canon We supply 3PL and 4PL solutions that adapt as quickly as industry and the marketplace evolve For over 60 years syncreon has provided unique and innovative expertise in providing highly integrated, warehousing management, inbound to manufacturing, reverse and repair, export packing, aftermarket services, fulfilment services and transport Today we have 14,000 employees working in 100 locations worldwide who enjoy our supportive culture, dedication to worklife balance, people development and superb career opportunities For more information, visit, , , Candidates chosen to move forward within the Recruitment Process, may be required to undergo an assessment andor submit further background information Any offers of employment may be conditional on completion of required checks and provision of relevant documentation, in accordance with the applicable local legislation",Full-time,https://www.linkedin.com/jobs/view/externalApply/2185221399?url=https%3A%2F%2Fcareers%2Esyncreon%2Ecom%2Fjob%2FTilburg-Production-Manager-NB-5022-ME%2F623113701%2F%3Futm_source%3Dlinkedin&urlHash=5JV4&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-manager-at-syncreon-2185221399?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
6,10,production manager,LinkedIn,2249869022,Production Manager,fh9yUqUIQCWQzSk+pAAuEg==,ChargePoint,"Amsterdam, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Information Technology and Services', 'Computer Software']",Marketing,"About Us, , With electric vehicles EVs expected to be nearly 30 of new vehicle sales by 2025 and more than 50 by 2040, electric mobility is becoming a reality ChargePoint is at the center of this revolution, powering one of the worlds leading EV charging networks and a comprehensive set of hardware, software and mobile solutions for nearly every charging need We bring together drivers, businesses, automakers, policymakers, utilities and other stakeholders to make emobility a global reality, , Since our founding in 2007, ChargePoint has focused solely on EV charging and established a business model thats been validated by more than a decade in business and thousands of customers As we near a public listing milestone that will broaden our market leadership and build on years of innovation, ChargePoint offers a onceinalifetime chance to build our allelectric future and dominate a trilliondollar market, , Join the team that is building the EV charging industry and make your mark on how people and goods will get everywhere they need to go, in any context, for generations to come, , Discover what its like to help build the fueling network of the future  check out our Engineering Blog, , , , EU Operations Manager, , , , The Production Manager is a critical member of the operations teams, ensuring that ChargePoints factory partners are outputting the right products at the right time and mix In this position you must balance material availability with material liability, working closely with contract manufacturer representatives to plan builds, manage inventory levels, and efficiently execute product transitions Your success depends on working closely with crossfunctional partners to anticipate supply risks, taking lead on problems to solve, and tracking programs to supply commits and cost targets, , , , , , , , , , , , Amsterdam NL, , We are committed to an inclusive and diverse team ChargePoint is an equal opportunity employer We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status, , If there is a match between your experiencesskills and the Company needs, we will contact you directly, , ChargePoint is an equal opportunity employer, Applicants only  Recruiting agencies do not contact",Full-time,https://www.linkedin.com/jobs/view/externalApply/2249869022?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D4944605002%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=_EHD&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-manager-at-chargepoint-2249869022?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
7,11,production manager,LinkedIn,2299555574,Production Planner,tMNvnbMLRY2RsJ6CiTs17Q==,PVH Corp,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Human Resources', 'Retail']",Management,"PVH Corp, With a history going back over 130 years, PVH has excelled at growing brands and businesses with rich American heritages, becoming one of the largest global apparel companies We have over 30,000 associates operating in over 40 countries with over 9 billion in revenues 2018 We own the iconic Calvin Klein, Tommy Hilfiger, Van Heusen, IZOD, ARROW, Speedo, Warners and Olga brands and market a variety of goods under these and other nationally and internationally known owned and licensed brands, , , The Close to Body Division encompasses the Underwear, Loungewear, Swimwear and Performancewear categories across the Calvin Klein, Tommy Hilfiger and Nike brands Within the division, Production Planning acts as the key player in executing all Production related functions, from planning and executing seasonal and replenishment buys to monitoring inbound and delivery performance, , The Planning team is made up of 18 highly motivated and skilled professionals from various cultural backgrounds and nationalities and sits within the wider Close to Body world of 100 associates Working in a closeknit direct team, while alongside the wider division made up of crossfunctional teams in areas such as Design, Merchandising, Sales and Business Operations, makes for an exciting, diverse and inspiring environment to be a part of, , As the longestablished Underwear category continues to drive the business and volumes, Swimwear and Performancewear are emerging as strong additions with massive potential, bringing much opportunity for growth and making for an exciting time to be a part of the team, , , The Production Planner, will facilitate and execute all relevant production planning functions on the seasonal business in line with desired KPIs as part of a wider team reporting into the Production Planning manager, , The role will work closely with crossfunctional teams and key stakeholders to assess opportunities for growth and contribute to and drive process improvement initiatives from inception to completion, Day to day, you will balance seasonal related tasks and deadlines alongside ad hoc topics and ongoing projects, facilitating smooth operations and reporting on and presenting data and insights related to order book, purchase order and delivery performance, , , , , , , , , , , Wed love to know why this is role for you, so please include a motivational letter with your application",Full-time,https://www.linkedin.com/jobs/view/externalApply/2299555574?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR19556WDINTERNALENGLOBALEXTERNAL%2FProduction-Planner%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=MKhl&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-planner-at-pvh-corp-2299555574?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
8,14,production manager,LinkedIn,2241564467,Production Manager Nitrate,TIOu7UijSXWpiZC/UKyLhQ==,Yara International,"Terneuzen, Zeeland, Netherlands","['Chemicals', 'Mechanical or Industrial Engineering', 'Oil & Energy']",Other,"We at Yara are part of a global network, collaborating to profitably and responsibly solve some of the worlds key challenges  resource scarcity, food insecurity and environmental change, , General Information, , As Production Manager you are leading the Nitrate department consisting of 2 ammonium nitrate fertilizer plants, 2 granulation plants, 2 crushers, RPN and urean plant, , You assure that the safety goals and production goals of the department are realized by planning, organizing, managing and checking all activities related to the production department All this within the framework of rules and regulations, company policy and performance criteria that belong to the quality of the products, customer relations, safety, environment stakeholders, labour relations, production cost and budgets, , Safety Leadership and teamwork are keywords in this function You will report to the Plant manager and will be a member of the managementteam in Sluiskil, , , , , , , , , , An external assessment can be part of the procedure, , , , For more information about the job content, please contact Evelien de Visser, HR Manager tel 31115474969 or Michael Schlaug, Plant Manager tel 31115474113, , , , Closing date 24th of November 2020, , , Yara is committed to creating a diverse and inclusive environment and is proud to be an equal opportunity employer We believe that creating a diverse and inclusive work environment is not only the right thing, but also the smart thing to do To deliver on this, Yara has firmly anchored Diversity  Inclusion DI as one of our top 7 strategic actions and has more than 400 employees worldwide involved in DI ambassador networks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2241564467?url=https%3A%2F%2Fjobs%2Eyara%2Ecom%2Fjob%2FTerneuzen-Production-Manager-Nitrate%2F631035201%2F%3FfeedId%3D264701%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DYara_Linkedin&urlHash=yObk&refId=42680012-5e92-402c-bde1-a2cfee91c938&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/production-manager-nitrate-at-yara-international-2241564467?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
9,15,production manager,LinkedIn,2319840583,Operations Manager,xNiUVJe0QRmgJVpTwxjvvw==,Vimerson Health,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Online Media', 'Internet']",Management,"Location 100 remote working role you can work from anywhere in the world, , Salary Negotiable, , Fulltime no more than 160 per month, , We have a fantastic opportunity to welcome to our Team an experienced and skilled Operations Manager in order to help take the company to the next level, , We at Vimerson Health are creating the model for the companies of the future We are a 100 remote and happinessled company that encourages selfempowerment and radical transparency We put happiness, fulfillment, joy, and harmony before everything else On top of that, we have the double advantage of helping people with our natural Dietary Health Supplements, , Our Culture puts our Team Members happiness and fulfillment First, our Customers happiness and fulfillment are Second, and revenue and profit are Third, , Please feel free to visit our company on Glassdoor to see the feedback our colleagues have said about their experience of working for Vimerson Health  https wwwglassdoorcoukReviewsVimersonHealthReviewsE3558421htm, , We are an entrepreneurial fastpaced and fastgrowing company that is selffunded, and therefore we have the freedom to make our own decisions without having to respond to investors that are inclined to put monetary goals first instead of the health and happiness of our Team We have no rigid hours and boast our very own dedicated inhouse Happiness Coach, , , , As Vimersons Operations Manager, you will be responsible for inspiring, leading and growing a team of 12 across Supply Chain, Business Analysis, Finance, Admin and Talent Acquisition, , As our Operations Manager, you will use your exceptional analytical skills and business acumen to manage and improve our organizations internal processes and combine your entrepreneurial vision and energy with a highly data driven, pragmatic approach to drive the business forward, , You will thrive in a fast paced, dynamic and entrepreneurial environment which encourages innovation, creativity and continuous improvement, , You will be a dedicated and great team player, but most importantly, you will put happiness and fulfillment first, proactively seeking your ideal lifework harmony",Full-time,,https://nl.linkedin.com/jobs/view/operations-manager-at-vimerson-health-2319840583?refId=42680012-5e92-402c-bde1-a2cfee91c938&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-28,2020-11-29,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
