,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,psychologist,LinkedIn,2282661239,Associate Professor,hU3IOO4MQimmVfhfB2d/Bw==,UNSW,"Delft, South Holland, Netherlands","['Higher Education', 'Research']",Research,"This Job is based in AustraliaOne of Australias leading research  teaching universitiesVibrant campus life with a strong sense of community  inclusionEnjoy a career that makes a difference by collaborating  learning from the bestThe School of Psychology is located in the Faculty of Science and has 40 fulltime members of academic staff and 15 general staff It has an operating budget of over 12 million and additional research funding of over 10 million per annum The School administers a range of undergraduate courses and degrees, with student numbers of over 1,000 in the first year to 65 in the fourth year Honours research program The School also offers two postgraduate professional coursework Masters degrees, with a total enrolment of 60, and supervises the research of over 100 students enrolled in the PhD degree program The School is very active in research, with most staff holding external research funding The School has extensive laboratory facilities for both research and teachingThe position of Associate Professor involves leading research in in the field of spinal cord injury rehabilitation, chronic pain management and chronic pain neuroimaging The position of Associate Professor involves developing and evaluating novel brain modulatory interventions and psychological interventions for the management of chronic painThe role of Associate Professor reports to the Head of School and has no direct reportsYou should systematically address the selection criteria listed within the position description in your applicationFor informal queries, please see the below contact detailsSimon KillcrossskillcrossunsweduauNovember 30th, 2020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282661239?url=https%3A%2F%2Fexternal-careers%2Ejobs%2Eunsw%2Eedu%2Eau%2Fcw%2Fen%2Fjob%2F500611%3FlApplicationSubSourceID%3D11198&urlHash=FSI8&refId=aed3e91a-8e0e-4211-b4ee-dbeea4b3a0c3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/associate-professor-at-unsw-2282661239?refId=aed3e91a-8e0e-4211-b4ee-dbeea4b3a0c3&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-16,2020-11-20,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,1,psychologist,LinkedIn,2280180600,Psychologist Cybersecurity,Coe2mqy6Tzi0VRhaLFqVzA==,Secura,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer & Network Security', 'Security and Investigations']",Information Technology,"Who are youInducing behavioral change is what challenges you People and their motivations are what intrigues you Ownership, vision and creativity are what define you You are a sociable, reliable and positive gogetter, doing what you say and saying what you do Independent but asking for help when necessary You are a team player with a critical view, open for feedback, continuously trying to improve your work, our services and our team",Full-time,,https://nl.linkedin.com/jobs/view/psychologist-cybersecurity-at-secura-2280180600?refId=0720d58f-0e0d-4680-b352-ec33c83028ab&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-20,2020-11-22,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,53,psychologist,LinkedIn,2282127181,Substance Abuse Counselor I,8QNdnqeRQuGGwXKC1QSg/g==,"Palladia, Inc","Haarlem, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']",Health Care Provider,Position OverviewResponsible for the delivery of substance abuserelapse prevention counseling services,Full-time,https://www.linkedin.com/jobs/view/externalApply/2282127181?url=https%3A%2F%2Fchu%2Etbe%2Etaleo%2Enet%2Fchu03%2Fats%2Fcareers%2Frequisition%2Ejsp%3Forg%3DPALLADIAINC%26cws%3D1%26rid%3D1422&urlHash=hlzo&refId=949747fc-1217-478e-abc0-648bd96321fd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/substance-abuse-counselor-i-at-palladia-inc-2282127181?refId=949747fc-1217-478e-abc0-648bd96321fd&position=3&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-20,2020-11-22,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,133,psychologist,LinkedIn,2317954622,Clinical Psychologist - Amsterdam Metropolitan Area,hrNiWffxQRivXXe5FBbGUg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Health Care Provider,Job Context  DutiesProvide psychological interventions to chronically ill personsEmploy cognitive behaviour treatment techniquesManage healthcare users dataProvide testimony in court hearingsCounsel clientsAccuracy and attention to detailsDrive for Results Ability to take personal responsibility and initiative for delivering high quality workExperience of having worked in a similar roleThe ability to deal with a range of tasks at the same timeStrong motivation and open and positive attitude,Full-time,https://www.linkedin.com/jobs/view/externalApply/2317954622?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D303d11cc7db2%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcddg8ddd7adcaddf7ddfbaddgaddadd9fadc3aeecdcefec3ddcg3e&urlHash=dmse&refId=9d7354c5-62fa-4026-b297-a8ae47558b45&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/clinical-psychologist-amsterdam-metropolitan-area-at-talent-2317954622?refId=9d7354c5-62fa-4026-b297-a8ae47558b45&position=8&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-20,2020-11-22,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,610,psychologist,LinkedIn,2273527488,Part Time Massage Therapist for a Day Spa in Netherlands .,cRDTeS3DRM+iAQdWrxPzPg==,Spa Staffcom,"Rotterdam, South Holland, Netherlands","['Staffing and Recruiting', 'Retail', 'Health, Wellness and Fitness']",Health Care Provider,"You must be permitted to work in this countryMinimum experience required under 1 year Salary 9,35Location Rotterdam, NLRequired Skills Maternity Massage, Reflexology, Shiatsu, Sports Massage, Swedish MassageStart date Open Endedwe are looking for Massage Therapists We are looking for",Part-time,https://www.linkedin.com/jobs/view/externalApply/2273527488?url=https%3A%2F%2Fwww%2Espastaff%2Ecom%2Fjobs%3Fja_id%3D5458&urlHash=ggPX&refId=d54a4929-d183-4293-b68d-0eef4b263ffe&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/part-time-massage-therapist-for-a-day-spa-in-netherlands-at-spa-staff-com-2273527488?refId=d54a4929-d183-4293-b68d-0eef4b263ffe&position=10&pageNum=24&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-20,2020-11-22,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,611,psychologist,LinkedIn,2206908509,Sales Development Lead,WiBEWesAQFK4lmEN1Fm8Jg==,Container Solutions,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Information Technology and Services']",Sales,"Container Solutions helps companies migrate to Cloud Native Working together with our clients teams, we tailor and implement solutions that last, by focussing both on technological as well as organisational transformation When companies like Google, Shell, and Adidas need help with Cloud Native, they turn to Container SolutionsOur people are innovative and curious They join us to learn, collaborate, and share their knowledge With close to a hundred colleagues, and offices in Amsterdam, London, Berlin, Prague, Warsaw, and Montreal, we are building an exciting future Will you be a part of it your primary aim is to help clients get started and then nurture them along the journey This is not about maximising hours or squeezing clients for their every last drop This approach requires skills such as communication, rapport building, teamwork and consulting combined with commercial savvy You will guide clients along this path, involve Container Solutions engineers, partners and staff, and help steer the combined team to success This team effort is one of the main reasons we do not provide sales commissions commissions reward individual effort and this role requires collaborative teamworkWere currently growing the team in Amsterdam, Berlin and Montreal and would like to have more feet on the ground locally to facilitate our growthThe role is but we have a strong preference for the successful applicant to be alreadyContainer Solutions has developed an effective process to help our clients succeed  we start with small experiments to learn before committing to large investments in time and money Starting small and building skills, capability and trust has proven to be a very effective approachWe also sell training courses and consultancy packages and sometimes you will need to make a judgement call on which direction is right for a specific clientsift based on our core requirements for this rolewith one of our recruiters to verify your detailsyou will be asked to complete online verbal and numerical reasoning aptitude tests We will only take through the highest performers to the next stages you will complete an online personality assessment and undertake an interview based on your profile via Google Hangouts with our Lead PsychologistShort Situational viaGoogle Hangouts with the Hiring ManagerFinal Behavioural and Situational",Full-time,https://www.linkedin.com/jobs/view/externalApply/2206908509?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fcontainer-solutions%2F7f80ca64-fc09-4e23-968a-8cf246803eb6%3Flever-source%3DLinkedIn&urlHash=Ceyy&refId=d54a4929-d183-4293-b68d-0eef4b263ffe&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-development-lead-at-container-solutions-2206908509?refId=d54a4929-d183-4293-b68d-0eef4b263ffe&position=11&pageNum=24&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-20,2020-11-22,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,698,psychologist,LinkedIn,2317918817,Sport Therapist - Amsterdam Metropolitan Area,/sHEPcg2Qo2hAY3dRIBg3w==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Other,Job Context  DutiesAdapt fitness exercisesPrescribe exercisesEnsure safety of exercise environmentPrepare exercise sessionAttend to fitness clients under controlled health conditionsAccuracy and attention to detailsStrong motivation and open and positive attitudeWorking with others Ability to work cooperatively with others in teams and across organisational boundaries and respects differences between peopleExperience of having worked in a similar roleAnalysis and Problem Solving Ability to identify the critical facts in difficult issues and develop creative and practical solutions,Full-time,https://www.linkedin.com/jobs/view/externalApply/2317918817?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D07d1a0a652c7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd98adc7ddfaadf7ddgbadfgddaaddbfdde3aedcdc9fec3ddcg3e&urlHash=wPsy&refId=74db02ba-b778-4c67-8ff1-617e47e117a9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sport-therapist-amsterdam-metropolitan-area-at-talent-2317918817?refId=74db02ba-b778-4c67-8ff1-617e47e117a9&position=23&pageNum=27&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-20,2020-11-22,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,18,psychologist,LinkedIn,2303053402,CHT/Occupational Therapist,Bg153z/TSpq5qV3/x43w5g==,"US Physical Therapy, Inc","Almere, Flevoland, Netherlands","['Health, Wellness and Fitness', 'Medical Practice', 'Hospital & Health Care']",Health Care Provider,"Location Clermont , FLMinimum Experience 2 3 yearsEmployment Type  Full timeCompetitive hourly rate and benefits package which includes generous paid time off and 401Kis a wellestablished and respected outpatient orthopedic facility with clinics all over central FloridaACNAOTA",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303053402?url=https%3A%2F%2Fcareers-usph%2Eicims%2Ecom%2Fjobs%2F20694%2Fcht-occupational-therapist%2Fjob&urlHash=HyL4&refId=70313ed2-217e-4aa7-aec7-7f4eb32e198b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/cht-occupational-therapist-at-u-s-physical-therapy-inc-2303053402?refId=70313ed2-217e-4aa7-aec7-7f4eb32e198b&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-16,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,578,psychologist,LinkedIn,2318057960,Occupational Therapist - Amsterdam Metropolitan Area,6kwt2b3iQ1e63/KH15Mqhg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Health Care Provider,"We are looking for a committed and patientfocused Occupational Therapist to develop, recover or maintain the daily living and work skills of people with physical, mental or developmental conditionsYou will offer effective and clientcentered services that will enable people to confidently and independently carry out everyday tasks or activitiesThe successful candidate will have an holistic perspective and will be able to adapt the environment to fit the personApply interventions to maximize safety and performance in activities of daily living and instrumental activities of daily livingTeach clients new ways of approaching tasks and educate them on how to break down activities into achievable componentsAssess clients home and other environments and advice on alterations consistent with their needs and capabilitiesAddress clients aspects of performance to support engagement in occupations that affect health, wellbeing and life qualityRegularly followup clientAbility to manage patients with different types of personalitiesProven working experience as occupational therapistHandson experience with computer programs and creative mediaExcellent interpersonal communication skillsProfessional behaviour",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318057960?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dc3efe4bac131%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfaddcdddeadbaadabadbgddcaadegadfaaddfddf3dedcdcffec3ddcg3e&urlHash=iBy2&refId=fb2eac76-2e67-41f9-9185-562cee93d7c8&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/occupational-therapist-amsterdam-metropolitan-area-at-talent-2318057960?refId=fb2eac76-2e67-41f9-9185-562cee93d7c8&position=3&pageNum=23&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-16,2020-11-23,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,865,psychologist,LinkedIn,2318040829,Spa Therapist - Amsterdam Metropolitan Area,i0mTi+CpRBK/n/ESID8zVQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Health Care Provider,"We are looking for a qualified Spa therapist to provide professional and engaging wellness therapies and massage treatments to our clientsYou will offer a full range of treatments to fulfill different client needs and objectivesMaintain equipment and sample inventory of productsUphold hygiene standards and follow health and safety regulationsSuggest and promote retail products or additional servicesAcknowledge and respond to relevant customer queries, needs and expectationsApply best practices and be up to date with market trendsExperience in sales will be considered an assetUser level computer skillsProven work experience as a Spa therapistHands on experience in massage techniques,manicures, pedicures, waxing and facebody therapiesExcellent knowledge of English language",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318040829?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D9329082173d4%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cdddeddeadd7bddggdd8addegddfadd9fddd3aeccdccfec3ddcg3e&urlHash=XqDH&refId=aea6d155-388f-4a32-9c4b-dff5b29505e4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/spa-therapist-amsterdam-metropolitan-area-at-talent-2318040829?refId=aea6d155-388f-4a32-9c4b-dff5b29505e4&position=15&pageNum=34&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-16,2020-11-23,en,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
