Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Type of ownership,Rating
23.0,public administration,LinkedIn,2294422109,Senior SysOps Administrator,D6MUeMEFREmd2BMi6ythAw==,Disney Streaming Services,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Job Summary, , We are looking for a Senior System Ops Administrator to join Disney Streaming Services in Amsterdam, , The Sysops System Administrator is the cornerstone of the System Operations team The Systems Operation team provides around the clock monitoring, administration and escalation of all Disney Streaming Service infrastructure We ensure excellent uptime and availability of our platforms as it relates to internal teams, external teams and consumers, , We are also tasked with watching over our monitoring tools looking out vigilantly for issues that could crop up in our infrastructure If an issue is found, we provide initial triage and escalation using our curated documentation When not dealing with any active issues, time is spent improving our documentation as well as our processes Additionally, we are the interface point for many of the engineering teams and outside third party providers of hardware and services, , , , , , , , Bonus Points if you are familiar with some of the following technologies, , 769071BR",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294422109?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F18040360%3Fcid%3D14187&urlHash=qVOF&refId=1bbfdf54-7602-46da-bd55-3959456b84a7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-sysops-administrator-at-disney-streaming-services-2294422109?refId=1bbfdf54-7602-46da-bd55-3959456b84a7&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
125.0,public administration,LinkedIn,2323815950,Admin Customer Data Entry Work From Home Remote,z5t4Vs6xQA28KGJJxkDjig==,WorkathomeJobboard,"Amsterdam, North Holland, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323815950?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3DARf1JSCAZPA8%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=zFIP&refId=89b082ef-ecb6-4352-89b4-c0106c8284eb&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/admin-customer-data-entry-work-from-home-remote-at-workathome-jobboard-2323815950?refId=89b082ef-ecb6-4352-89b4-c0106c8284eb&position=25&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
178.0,public administration,LinkedIn,2315321366,Administrative Business Support - Boxmeer,Bf+/Mw1zQb225zms8B5wCw==,MSD Animal Health,"Boxmeer, North Brabant, Netherlands","['Biotechnology', 'Hospital & Health Care', 'Pharmaceuticals']","Job Description, , Did you always want to work in a company where your work can have a real impact on peoples lives Are you ready to Invent, Impact, Inspire We would like to meet you, , We have an exciting new job opportunity at our location in Boxmeer and are looking to hire a, , , , , , The 3PAS Third Parties and Administrative Services department is part of the global supply chain management organization Our customers are internal commercial operations as well as direct customers third party customers Products are supplied from 25 manufacturing sites to approximately 70 third parties spread all over the world The 3P team is responsible for managing sales orders until fulfillment This entails the process from order entry, order management, shipping, billing, and everything that comes with it, , , , The Administrative Officer performs various administrative tasks in the global sales order fulfillment and billing process and is part of the ThirdParty Order Management  Administrative Services 3PAS department, , , , , , , , We welcome you to a truly global, dynamic and challenging environment with great opportunities for personal development Our benefits are very competitive, and the summary below will give you an idea of what you can expect, , , , Please send an email including the vacancy number and job title to the following email address, , , , Our Animal Health division is a trusted global leader in veterinary medicine, dedicated to the health and wellbeing of animals We are a global team of professionals working together to make a positive difference in animal care and the worlds food supply and have a deep sense of responsibility towards our customers, consumers, animals, society and our planet We offer one of our industrys most innovative portfolio of products, services and technologies that serve to prevent, treat, and control diseases across all major farm and companion animal species, , , , Merck  Co, Inc, Kenilworth, New Jersey, USA is known as Merck in the United States, Canada  Puerto Rico We are known as MSD in Europe, Middle East, Africa, Latin America  Asia Pacific We are a global biopharmaceutical leader with a diverse portfolio of prescription medicines, oncology, vaccines and animal health products, , We are driven by our purpose to develop and deliver innovative products that save and improve lives With 69,000 employees operating in more than 140 countries, we offer state of the art laboratories, plants and offices that are designed to Inspire our employees as we learn, develop and grow in our careers We are proud of our 125 years of service to humanity and continue to be one of the worlds biggest investors in Research  Development, , , , In a world of rapid innovation, we seek brave Inventors who want to make an Impact in all aspects of our business, enabling breakthroughs that will affect generations to come We encourage you to bring your disruptive thinking, collaborative spirit and diverse perspective to our organization Together we will continue Inventing For Life, Impacting Lives while Inspiring Your Career Growth",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315321366?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D10b9ed1a97d3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddgcadebdd78adbbadcaddfgadfadd7fdd93aeccdcdfec3ddcg3e&urlHash=M69P&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administrative-business-support-boxmeer-at-msd-animal-health-2315321366?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=3&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
183.0,public administration,LinkedIn,2323820527,Admin Customer Data Entry Work From Home Remote,Bv+UqFYIRWCmzb3WIfbH8g==,WorkathomeJobboard,"Rotterdam, South Holland, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323820527?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3DDrSodOStg5y2%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=_OJn&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/admin-customer-data-entry-work-from-home-remote-at-workathome-jobboard-2323820527?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=8&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
187.0,public administration,LinkedIn,2323820525,Remote Admin Data Entry Customer Service Work From Home,68z/qmGFSVatx9F1CLWhMA==,WorkathomeJobboard,"Rotterdam, South Holland, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323820525?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3D01Hj1k5o94TW%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=Wlrh&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/remote-admin-data-entry-customer-service-work-from-home-at-workathome-jobboard-2323820525?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=12&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
189.0,public administration,LinkedIn,2323819610,Admin Customer Data Entry Work From Home Remote,U4aW8jPsTqubbUyOZJSXnA==,WorkathomeJobboard,"Groningen, Groningen, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323819610?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3Dl1AirvgbwFhq%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=piZN&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/admin-customer-data-entry-work-from-home-remote-at-workathome-jobboard-2323819610?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=14&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
190.0,public administration,LinkedIn,2323815952,Admin Customer Data Entry Work From Home Remote,4cxFFXWdR2+7wD6HJNF7Dw==,WorkathomeJobboard,"Hook of Holland, South Holland, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323815952?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3Dm_kkXNj_fVmG%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=KPlb&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/admin-customer-data-entry-work-from-home-remote-at-workathome-jobboard-2323815952?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=15&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
193.0,public administration,LinkedIn,2323819611,Administrative Customer Service Remote Data Entry Work From Home,c59KxXTvRCSltaGnTzTBXA==,WorkathomeJobboard,"Hook of Holland, South Holland, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323819611?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3DwejBiCwMhwue%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=kJ9W&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/administrative-customer-service-remote-data-entry-work-from-home-at-workathome-jobboard-2323819611?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=18&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
195.0,public administration,LinkedIn,2323820529,Remote Admin Data Entry Customer Service Work From Home,yjt4NS/NRTiO9Zrs2/X9Tw==,WorkathomeJobboard,"Hook of Holland, South Holland, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323820529?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3DHRTM0w4BkXvi%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=w359&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/remote-admin-data-entry-customer-service-work-from-home-at-workathome-jobboard-2323820529?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=20&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
199.0,public administration,LinkedIn,2323819608,Admin Customer Data Entry Work From Home Remote,SGUsConYTvCcCzHUFtR3tQ==,WorkathomeJobboard,"North Brabant, Netherlands",['Government Administration'],"ABA Remote Jobs is a leading provider for work from home remote jobs We are always looking for bright minds and enthusiastic people from diverse backgrounds, who want to be part of an outstanding team, , This is an entrylevel Job and no experience is required to start making money",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323819608?url=https%3A%2F%2Fmaksgstr-finces%2Eicu%2Fvoluum%2Fd3abbcce-0b96-4b62-af22-6439cf16f07a%3FjobId%3DvSeJG-ATgmBx%26ft_source%3D3000134304%26ft_medium%3D3000127131&urlHash=2BQt&refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&trk=public_jobs_apply-link-offsite,https://fr.linkedin.com/jobs/view/admin-customer-data-entry-work-from-home-remote-at-workathome-jobboard-2323819608?refId=1168c9c3-82cf-46e8-94ef-20949c8389e9&position=24&pageNum=7&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29,,
