,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,recreation,LinkedIn,2326385475,Recreation Policy Officer,YxRZ2THzQsurQtW40YQLsQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Telecommunications'],Other,"Job Context  Duties, , Advise on legislative acts, Promote sport activities in public health, , Manage government policy implementation, , Maintain relationships with government agencies, , , , , Good interpersonal and communication skills, with customer service orientation, , , Ability to work autonomously, , Experience of having worked in a similar role, , Experience of working effectively in an international or multicultural environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326385475?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F420c9fc7-e113-4774-90ed-e5689f6f5fd1%3Fjid%3D44747ce9da0e0776927604e2e498a5894a272f4e355b1ef7cc688f6d0bf7e6f1%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=tzgX&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/recreation-policy-officer-at-talent-2326385475?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,3,recreation,LinkedIn,2274642214,Ascend Sales Representative,1pzk2Bx6Ry2pnBe1F1uAQQ==,Trek Bicycle,"Harderwijk, Gelderland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Retail']",Sales,"Description, , Trek Bicycle is a global leader in the design and manufacture of bicycles and accessories Trek believes the bicycle can be a simple solution to many of the worlds most complex problems and is committed to breaking down the barriers that prevent people from using bicycles more often for transportation, recreation and inspiration Our mission is to create products we love and take care of our customers We value our team, making sure the best is on the field We value innovative ideas from anywhere, inspiring others with our positive energy, dealing with reality to make the tough calls, and getting things done fast  turning ideas into reality, , As , your primary mission is to sell our solution, hardware, and services to new and existing customers Using your available resources and the help of your teammates and business partners, youll get Ascend into all Trek owned stores and into as many independent retailers as possible in your market Youll go above and beyond to provide the best customer service to everyone to maximize their utilization of our systems and services At Ascend, every team member is in the business of selling, installing, supporting and shipping our worldclass software and services So, in addition to your primary job duties, youll be called on and encouraged to help in all areas of our business, , , , , , , , is the leading provider of retail management systems and services to independent retailers Through our Best System Best Support vision we partner with our customers to help them to grow, maximize their profitability, and create reliable data for making intelligent business decisions, , We are an EVerify employer, , , , EVerify Participation Poster English  Spanish, EVerify Right to Work Poster English  Spanish",Full-time,https://www.linkedin.com/jobs/view/externalApply/2274642214?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Ftrek-bicycle%2Fjob%2Fo7kLdfw9&urlHash=ebMA&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ascend-sales-representative-at-trek-bicycle-2274642214?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,4,recreation,LinkedIn,1344894547,Volunteer: Dolphin Research Project in Greece,h6+kcICUQR6hniAq7sIi1A==,Global Nomadic,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Nonprofit Organization Management', 'Hospital & Health Care']",Research,"Location Alonissos, Greece, , Duration 7day placements, , Cost 950 USD Project Fee per 7 day trip, , Fee Includes all food, accommodation, predeparture  incountry support, orientation and all project related activities, , Does not Include flights, airport pickup, travel insurance, personal spending, visas and vaccinations, , This opportunity is designed to give you the contacts and experience to help further your career You are not replacing any member of staff, but helping alongside them, whilst learning new skills, ,  Placements are available throughout the summer months, between June and October, , , , The dolphin has had a close relationship with the human race for many millennia It has been depicted in art and literature since before the time of the ancient Greeks and was considered an omen of good luck It was sometimes even linked with the gods, to the extent that killing a dolphin equated killing another human and was punishable by death Their intelligence and friendly appearance has continued to inspire fascination for this enigmatic creature throughout the ages This close relationship has nonetheless never been an easy one and dolphins have been hunted for both their meat and skin throughout time Today they are competing with humans for the remaining fish stock of our seas and are increasingly forced out of their habitats Fishing equipment and boats are also a common cause of injury and death for dolphins worldwide, , There are four species of dolphins present in the Greek Seas, all of whom are considered threatened, yet no systematic research effort has been carried out so far to study their populations and ecology, , The Dolphin Research project programme aims to learn more about the dolphin populations in one of Europes largest marine protected areas, through recording populations and group sizes, identifying individuals, and recording behaviours and habits As a volunteer you will help out on daily field surveys at sea where you will get to know the local dolphin population and help collect data Back on land you will help with entering this data into databases, learning how to convert the collected data into effective conservation measures You will also have the opportunity to attend lectures and seminars on marine mammals and local ecology, which will provide valuable insights into marine mammal life, monitoring techniques and other topics related to the local marine environment, , The important knowledge gathered during this research initiative will be used in the conservation of marine mammals in Greece and in the preparation of effective research and management actions for the local Cetacean population, , As the first study of its kind in the area, the project aims to estimate the relative abundance of the common dolphin Delphinus delphis and the bottlenose dolphin Tursiops truncatus and identify important areas for them One of the main components of the project will be to identify individuals and compile a photoidentification catalogue of the two species The data collected will be used to analyse dolphin abundance, movements, reproductive success, habitat use, and social organization, , Daily Life, , You will learn how to photograph individuals and groups of dolphins as well as record group size, composition newborns, calves, juveniles, adults, and behavior If other marine mammals are sighted, such as the critically endangered Mediterranean Monk seal, these will also be recorded along with any fisheries interactions, , You will be working alongside the resident researchers on board the organisation research vessel, a 13metre long traditional wooden caique As the heart of the organisations activities over the past 23 years, this boat has sailed many thousands of miles across the Greek seas The work at sea as well as preparations such as the loading and unloading of equipment will be undertaken in the mornings In the afternoon you will return back to port for recreation and rest In the afternoon and evenings you will be taught how to file, name, crop, and prepare digital photos of dolphin dorsal fins for subsequent matching as well as attend seminars and lectures from staff and visiting field specialists, , Among the skills and knowledge you will be taught are, , The project HQ is located on a relatively remote island in the Aegean Sea, where there are ample opportunities for enjoying the beautiful scenery on walking paths as well as exploring the pristine sea both above and below the surface, while kayaking, snorkelling or scuba diving, , all information above is subject to change Please check the most up to date information on the Global Nomadic website when applying",Volunteer,https://www.linkedin.com/jobs/view/externalApply/1344894547?url=https%3A%2F%2Fglobalnomadic%2Ecom%2Fproject%2Fdolphin-research-greece%2F%3Futm_source%3DLinkedin&urlHash=_JwD&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/volunteer-dolphin-research-project-in-greece-at-global-nomadic-1344894547?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,5,recreation,LinkedIn,2268221910,Head of Infrastructure NL/BE,Ag3BSPRrSuG+NdsQbnhWtQ==,Sentia Group,"North Brabant, Netherlands",['Information Technology and Services'],Sales,"Within Sentia we are all about Cloud We service our customers from different cloud platforms This could be a mega cloud like Amazon Web Services or Microsoft Azure, but this could also be our own cloud Sentia Cloud For the latter we are looking for an experience manager that wants to take the operational responsibility of running our own cloud platforms in two countries Belgium  The Netherlands As manager or head of the NLBE Global Infrastructure team you are responsible for three teams Cloud, Network and Data Center These virtual teams are divided over Belgium and Netherlands and responsible for running, delivering, and migrating our customer workloads in our data centers",Full-time,,https://nl.linkedin.com/jobs/view/head-of-infrastructure-nl-be-at-sentia-group-2268221910?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,8,recreation,LinkedIn,2315607241,Pricing & Valuation Specialist,tDD5YShLQaW+dGqJ+2wTzA==,NationaleNederlanden,"The Hague, South Holland, Netherlands",['Financial Services'],Finance,"Pricing and Valuation Specialist, , You contribute to the future of NN by optimizing the use of market data to realize cost efficient valuation processes, , , , You understand the importance of fair valuation, driven by supply and demand in the market, better than anyone Your role is critical in ensuring that all financial instruments in our Insurance portfolio are valued properly, using an efficient combination of externally sourced prices and internal valuation models In close cooperation with the specialists from asset management, you are responsible for the central procurement, calculation, validation and distribution of prices across the value chain You will work together with a team of pricing analysts in India that focuses on the execution of the daily operational pricing processes You can make a difference by optimizing these processes, introducing new processes and ensuring that they are aligned with the dynamic changes in the market, , , , With your positive attitude and performanceoriented motivation, you can develop and improve in your role by, , , , , , Here at NN, care is a core value  care for our customers as well as our employees You care for our customers needs, and as your employer, NN cares for yours We offer great development opportunities and a pleasant working environment For your career development, we offer you, , , , , You will be part of a dynamic, diverse and international team of analysts and specialists in The Hague, who are in various stages of their careers Being a senior specialist, we expect you to enjoy sharing knowledge, coaching the more junior members of the team and to guide them on their development journey Adding to the international environment the team in The Hague is supported by a team in India, that performs the daily operational processes Frequent interaction and building a relationship with the offshore team members is the key to success After work, the team also offers plenty of opportunity for recreation, out of which squash, basketball and drinks are the most recent examples, , , , Thanks to your efforts, we make our financial services relevant and more personal You and your team will contribute to costeffective operations, inspiring other NN colleagues At NN we love innovation We seek to improve and to optimize our working efficiency As a junior consultant you can help to futureproof NN for the years to come As a company, we have set up a number of subsidiaries as we have grown NN, NN Investment Partners, NationaleNederlanden, OHRA, ABN AMRO Insurance, BeFrank, Zicht, AZL and Movir, , , , We offer you modern employment conditions and generous employee benefits For example, you have the option of taking extra vacation days We are also working towards implementing Choose your own Device You will receive your holiday allowance and yearend bonus with your salary every month, without restriction and readily available to you As a Pricing and Valuation Specialist, you will work from our beautiful office located in The Hague, which offers an easy connection via the A12, , Due to the coronavirus, most of the NN colleagues work from home At the moment it is unclear when we can return to the office The official location for this position is The Hague, , , , You are an expert in financial modeling and proficient in coding VBA, C  and R You have had years of experience in the field, but you arenot afraid to admit theres much more to learn You work easily as part of a team and adapt your communications approach to work with all levels, from offshore operations to senior management You feel at home in an entrepreneurial and performanceoriented culture that enables you to further develop your talents and ideas, , , , Can you find the balance between good valuation concepts and their implementation, , Then we would like to meet you Upload your resume via the apply button Do you have any questions about the job Then please call Rik Joosten Head of Market Data Management via 31 703791306 Questions about the application proces Please contact Mina Bahaj via 3106 15066245",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315607241?url=https%3A%2F%2Fnn-careers%2Ecom%2Fnl%2Fnl%2Fjob%2F21145%2FPricing-Valuation-Specialist%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=gfd0&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/pricing-valuation-specialist-at-nationale-nederlanden-2315607241?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,9,recreation,LinkedIn,1315107182,Graduate Application Engineer,5STfFihvSS230a5gm/a2lA==,Optiver,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Information Technology,"Enjoy solving complex problems and optimizing system performance Want to have direct impact from day one Do you like working with dynamic people in an international environment, Then you might be the Graduate Application Engineer we are looking for, Start your career with Optiver, a global leader in electronic trading We build and maintain low latency trading systems that respond to market events in nanoseconds As a leading technologybased market maker and liquidity provider, we are committed to improving the market by providing efficiencies for end investors Using our own capital at our own risk, we trade thousands of financial instruments on more than 50 exchanges around the world, contributing to healthy markets and putting us at the forefront of technology and trading",Full-time,https://www.linkedin.com/jobs/view/externalApply/1315107182?url=https%3A%2F%2Fgrnh%2Ese%2Fq381ob1%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=Aowa&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/graduate-application-engineer-at-optiver-1315107182?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,10,recreation,LinkedIn,2294434868,EU Retail Store Designer (FT),X47sZ/ybSgqN/FX9TfOPpA==,Trek Bicycle,"Harderwijk, Gelderland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Retail']",energy supply,"Description, , Trek Bicycle is a global leader in the design and manufacture of bicycles and related products Trek believes the bicycle can be a simple solution to many of the worlds most complex problems and is committed to breaking down the barriers that prevent people from using bicycles more often for transportation, recreation, and inspiration, , , , , We value our team, making sure the best is on the field We value new ideas from all sources, inspiring others with our positive energy, dealing with reality to make the tough calls, and getting things done fast We want to turn ideas into reality, , For our location in Harderwijk, we are looking for an experienced, , fulltime  40 hours, , The European Retail Store Designer is a key position in supporting the development of Treks Directly Owned Retail and Flagship Partner Business in Europe, , The core responsibility of this role is developing designs for new store openings both Greenfield and Acquisition, alongside remodels in existing stores and flagship retailers to enable the consistent execution of standards across multiple markets Furthermore, this role will be responsible for construction drawings of store projects, vital to enable new store openings and remodels to be delivered successfully on time and to budget, , This role reports to the European Business Developer and to the Design and Construction Manager for all design related duties, , , , , , , , , , , , , You will receive a warm welcome to the TREK family We pay attention to you as a person and that means that we do everything we can to make you succeed in your job We offer internal and external training to increase your knowledge and support you at your workplace In addition, you can of course buy such a cool TREK bike or accessories for at home for a nice price, , , Would you like to work with us We would like to receive your motivation letter  CV, in English, , We are an EVerify employer, , , , EVerify Participation Poster English  Spanish, EVerify Right to Work Poster English  Spanish",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294434868?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Ftrek-bicycle%2Fjob%2FoNB3dfwo&urlHash=4qtN&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/eu-retail-store-designer-ft-at-trek-bicycle-2294434868?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
7,15,recreation,LinkedIn,2274640418,"Supply Chain Buyer, Europe",hNj6vFOsTa+dB90JKof2vg==,Trek Bicycle,"Harderwijk, Gelderland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Retail']",Purchasing,"Description, , Company Description, , Trek Bicycle is a global leader in the design and manufacture of bicycles and related products Trek believes the bicycle can be a simple solution to many of the worlds most complex problems and is committed to breaking down the barriers that prevent people from using bicycles more often for transportation, recreation, and inspiration, , Our mission is to create products we love and take care of our customers We value our team, making sure the best is on the field We value new ideas from anywhere, inspiring others with our positive energy, dealing with reality to make the tough calls, and getting things done fast turning ideas into reality, , Come, join us, and help us transform the world, the bike and have a blast while doing it, , Supply Chain Buyer, Europe, , Reports to the Supply Chain Manager, , Position Summary, As a member of Trek supply chain team, youll build your supplier chain management expertise by working with leaders across the company Youll work with both domestic and international suppliers to ensure price competitiveness and on time delivery in order to accomplish our manufacturing goals The role involves working with multitude of functions such as Suppliers, Engineering, Legal, Finance, Logistics, Manufacturing, and Quality, , , , , , , , We are an EVerify employer, , , , EVerify Participation Poster English  Spanish, EVerify Right to Work Poster English  Spanish",Full-time,https://www.linkedin.com/jobs/view/externalApply/2274640418?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Ftrek-bicycle%2Fjob%2FoBYjdfwP&urlHash=oY3l&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supply-chain-buyer-europe-at-trek-bicycle-2274640418?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,18,recreation,LinkedIn,607118638,Graduate Software Engineer (Amsterdam or London),hHVD9yXBTXijm1ogTyiDUg==,Optiver,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Financial Services']",Engineering,"Enjoy building exciting and competitive technology Want to solve complex problems and have direct impact from day one Do you like working with dynamic people in an international environment, , You might be the Graduate Software Engineer we are looking for",Full-time,https://www.linkedin.com/jobs/view/externalApply/607118638?url=https%3A%2F%2Fgrnh%2Ese%2F85jxcppo1%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=mc3r&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/graduate-software-engineer-amsterdam-or-london-at-optiver-607118638?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,23,recreation,LinkedIn,2250039311,Short Order Cook,RjpPZKybQdGUFlLmmn+pAQ==,CRB Rebuild and Recreation Ltd,"North West River, Newfoundland and Labrador, Canada","['Restaurants', 'Food & Beverages', 'Food Production']",Other,"Job requirements, , Languages, , English, , Education, , Secondary high school graduation certificate, , , , 3 years to less than 5 years, Specific SkillsSupervise kitchen staff and helpers Manage kitchen operations Inspect kitchens and food service areas Clean kitchen and work areas Maintain inventory and records of food, supplies and equipment Prepare and cook complete meals or individual dishes and foods Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Cook CategoriesShort order cookWork Conditions and Physical CapabilitiesFastpaced environment Work under pressure Handling heavy loads Attention to detail Standing for extended periodsPersonal SuitabilityFlexibility Team player Client focus Dependability Reliability Organized",Full-time,https://www.linkedin.com/jobs/view/externalApply/2250039311?url=https%3A%2F%2Fwww%2Ejobbank%2Egc%2Eca%2Fjobsearch%2Fjobposting%2F33099524&urlHash=IYD0&refId=23d33786-eed8-430d-a87c-f24e1bd2782b&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/short-order-cook-at-crb-rebuild-and-recreation-ltd-2250039311?refId=23d33786-eed8-430d-a87c-f24e1bd2782b&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
