Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,retail trade,LinkedIn,2325732331,E-commerce Site Operations & Trade Lead UK,vOit4OVjRV6Uqhmy5nSAzw==,New Balance,"Amsterdam, North Holland, Netherlands",None,"Overview, , Reporting to the Site Manager, EMEA, the Site Operations  Trade Lead UK is an essential role within the Site Management team of New Balances EMEA Ecommerce department Based in the Houthavens in Amsterdam, the team leads the delivery of a stable and progressive Ecommerce platform for EMEA, enabling the future growth plans of the region The role is responsible for the successful execution of all products and campaigns launching on New Balances UK website and to maximize conversion and sales opportunities by addressing specific market needs The ideal candidate has a strong commercial acumen and understanding of Ecommerce within the retail or fashion industry, , The role will execute regional Merchandise and Marketing plans but also define localized opportunities to drive inseason trading of the UK website The Site Operations  Trade Lead UK will execute digital merchandise and campaign management strategies to enable a highly localized site experience for our UK customers, , , , , , Ensuring the successful delivery of regular and adhoc tasks including, but not limited to",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325732331?url=https%3A%2F%2Fnew-balance%2Etalentify%2Eio%2Fjob%2Fe-commerce-site-operations-trade-lead-uk-amsterdam--new-balance-14973%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DaDM1LGoxZ3Z1MixlcHJvNWZjMmM1YzIyZjQ5NzMwNDY1MTE5Nw&urlHash=Xi1p&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/e-commerce-site-operations-trade-lead-uk-at-new-balance-2325732331?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
2,retail trade,LinkedIn,2283975233,E-commerce Site Operations & Trade Lead UK,aWA40zJuSYKbHrbR/I9PaQ==,New Balance,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Wholesale', 'Retail']","Reporting to the Site Manager, EMEA, the Site Operations  Trade Lead UK is an essential role within the Site Management team of New Balances EMEA Ecommerce department Based in the Houthavens in Amsterdam, the team leads the delivery of a stable and progressive Ecommerce platform for EMEA, enabling the future growth plans of the region The role is responsible for the successful execution of all products and campaigns launching on New Balances UK website and to maximize conversion and sales opportunities by addressing specific market needs The ideal candidate has a strong commercial acumen and understanding of Ecommerce within the retail or fashion industry, , The role will execute regional Merchandise and Marketing plans but also define localized opportunities to drive inseason trading of the UK website The Site Operations  Trade Lead UK will execute digital merchandise and campaign management strategies to enable a highly localized site experience for our UK customers, , , , , , Ensuring the successful delivery of regular and adhoc tasks including, but not limited to",Full-time,https://www.linkedin.com/jobs/view/externalApply/2283975233?url=https%3A%2F%2Fjobs%2Enewbalance%2Ecom%2Fglobal%2Fen%2Fjob%2FNEBAGLOBAL14973externalen-GLOBAL%2FE-commerce-Site-Operations-Trade-Lead-UK%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=kcFj&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/e-commerce-site-operations-trade-lead-uk-at-new-balance-2283975233?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
3,retail trade,LinkedIn,2272678286,Trade Marketing Specialist,s65yoxYmSPujlE/Mb0kkJw==,iRobot,"Zwolle, Overijssel, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Information Technology and Services', 'Computer Software']","Introduction, iRobot THE COMPANY BEHIND THE BRAND  THE PRODUCTS, , Headquartered in Bedford, Massachusetts iRobot designs and builds innovative robots that make a difference in peoples lives The company was established in 1990 by three Massachusetts Institute of Technology alumni and began with a vision of robots beyond academia and industry involving practical applications that would change the world The original business plan involving space exploration by robots was well underway when the company began to win government and industry contracts and focus shifted iRobot further diversified in 1997 when the first home robotic vacuum cleaner known as iRobot Roomba was developed, , iRobot has since successfully created a consumer home robot category that is changing the way consumers clean Since then, more than 20M robots have been shipped Beyond Roomba, other consumer products include Braava robotic floor mopping Today, iRobot is a NASDAQ listed company IRBT, 1100 employees and revenues FY19 of 12B 11 iRobot is the Robotic Vacuum Cleaning leader and directs today 52 of the category value in Europe With an estimated today HH penetration in the single digits and fast growth, the front potential is immense, , iRobot has a unique culture and it is something that very much defines the business and how it operates It is important that anyone considering joining the organization can embrace its values which are best encapsulated through the companys mission Empower people to do more, , , The iRobot FranceBenelux business has grown rapidly in recent years and this geography continues to hold significant potential iRobot Netherlands contributes to make our regional cluster one of the most successful in EMEA Direct W e build premium products, as well as advise and educate consumers in the retail channel, , Therefore, we are looking for a  responsible for developing, implementing  analyzing Trade Marketing activities as well as working in an internationalcrossfunctional team to optimize and implement a Trade Marketing strategy for Netherlands, , The role is based in Zwolle Netherlands and will report to the Marketing Leader for France and Benelux, , The individual will be responsible to develop and implement local trade marketing strategy, in line with local brand strategy, to achieve overall business targets by driving conversion and enable trade up in store, The appointee will work in collaboration with our internal trade Marketing team based in France cluster FRBx and regional team in London, , The appointee should have experience in premium brand marketing  trade marketing with knowledge on how to drive conversion  Internet and EPP mainly  while entertaining growth in traditional retail",Full-time,https://www.linkedin.com/jobs/view/externalApply/2272678286?url=https%3A%2F%2Firobot%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FiRobot%2Fjob%2FNetherlands-Zwolle%2FTrade-Marketing-Specialist_R1711%3FAPPLICANT_SOURCE-6-108&urlHash=HZwg&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trade-marketing-specialist-at-irobot-2272678286?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
5,retail trade,LinkedIn,2315367440,Trade Marketing Manager Sportstyle BLX,/z8sET23ToWNCZlh00z5kQ==,PUMA Group,"LeusdenZuid, Utrecht, Netherlands","['Consumer Goods', 'Marketing and Advertising', 'Apparel & Fashion']","SPEED  SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine Applying for a job at PUMA is easy and all genders are welcome Simply click APPLY ONLINE and follow the steps to upload your application, , , , We are looking for an experienced trade marketeer to plan and execute our trade marketing for PUMA Sportstyle Lifestyle in the Benelux The Sportstyle business unit within PUMA is responsible for bringing to market all SportstyleLifestyle oriented products and campaigns You will need to, , , , , , , , PUMA supports over 14,000 employees across 120 countries The PUMA Group owns the brand PUMA, Cobra Golf and stichd, and is headquartered in Herzogenaurach, Germany, , PUMA provides equal opportunities for all job applicants, regardless of race, color, religion, national origin, sex, gender identity or expression, sexual orientation, age, or disability Equality for all is one of the core principles at PUMA and we do not tolerate any form of harassment or discrimination",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315367440?url=https%3A%2F%2Fpuma%2Ewd3%2Emyworkdayjobs%2Ecom%2FJobs_at_Puma%2Fjob%2FLeusden%2FTrade-Marketing-Manager-Sportstyle-BLX_R10325-1%2Fapply%3Fsource%3DLinkedin&urlHash=0gfp&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trade-marketing-manager-sportstyle-blx-at-puma-group-2315367440?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
6,retail trade,LinkedIn,2285261946,Sales Support Representative Fashion Accounts B2B (E-Commerce),G8Exh6UDQGKmGf8lGIda9w==,stichd,"sHertogenbosch, North Brabant, Netherlands",['Apparel & Fashion'],"The Job, As a Sales Support Representative ECommerce Fashion Accounts at stichd it is your responsibility to manage the complete order process and offer optimal service and support to our customers and sales force Furthermore, you support in sales activities to drive the business categories and brandportfolio in order to maximize turnover and profitability ",Full-time,,https://nl.linkedin.com/jobs/view/sales-support-representative-fashion-accounts-b2b-e-commerce-at-stichd-2285261946?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
7,retail trade,LinkedIn,2295759448,Sales Support - France - FMCG - Breda,/6wOPD2BS7ODRFlhoH4m6w==,Page Personnel,"Breda, North Brabant, Netherlands","['Staffing and Recruiting', 'Retail', 'Financial Services']","Sales Support  France  FMCG  Breda, A job in a dynamic international company in the FMCG, A challeging and rewarding position with a big responsibility, About Our Client, This company is one of the leading brands in the fruit segment They have several offices around the world and you will be working from the office located in Breda You will be working with ambitious, energetic, international colleagues together you will make sure the brand grows further and that all customers and consumers will have the best quality of fruit You will be the backbone of the team and will make sure everything runs smoothly Within this company there is room for own initiative and not one day will be the same you never know what to expect Since youll be working in the fruit business your day will start at 730 and end around 1600, , , , As Sales Support for the French region you will be the main contact for big retail accounts and for trade accounts in the Southern region of Europe Together with your team you will manage these accounts and will be communicating with the warehouse, planning and logistics department to make sure all the orders will go out on time Main responsibilities are, , , The right candidate for this position has the following experience and competences, , , , , As Sales Support Employee you will be working in a energetic and close team in a company where you will have a lot of possibilities to build a long lasting carreer Besides that you will get",Full-time,https://www.linkedin.com/jobs/view/externalApply/2295759448?url=https%3A%2F%2Fwww%2Epagepersonnel%2Enl%2Fen%2Fjob-apply%2Fsales-support-france-fmcg-breda%2Fref%2F180963%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator%26utm_campaign%3Dlimitedlisting&urlHash=6imt&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-support-france-fmcg-breda-at-page-personnel-2295759448?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
8,retail trade,LinkedIn,2323573724,Dynamics Pre - Sales Consultant - Retail - Eindhoven,PEsWpYcCSiGIYDqKgsw6qA==,Nigel Frank International,"Eindhoven, North Brabant, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']","Dynamics PreSales Consultant  Retail  Eindhoven, , My client is a technology leading Dynamics partner based in Eindhoven that focuses on the Microsoft Dynamics Cloud The company is a small organization that values a family like atmosphere, customer portfolio consists of companies working in various industries such as transport, trade or food, , As a Pre Sales Consultant you advise prospects to make the right choice in the field of ERP You know how to pinpoint the prospects problems and can therefore advise the most appropriate solution Like no other you understand how difficult business processes in combination with automation can sometimes be, , , , , If you or someone you can recommended are interested in this role, please contact me via mkunkelnigelfrankcom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323573724?url=https%3A%2F%2Fwww%2Enigelfrank%2Ecom%2F362222%2Fdynamics-pre-sales-consultant-retail-eindhoven&urlHash=hBKw&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/dynamics-pre-sales-consultant-retail-eindhoven-at-nigel-frank-international-2323573724?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
9,retail trade,LinkedIn,2307120379,Benelux Retail Trade Marketing Manager,14ckj+zZSUOACu3SMleLpQ==,Lavazza,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"We have an interesting opportunity for a Trade Marketing Manager , with previous experience in FMCG Retail, to join our Benelux team Reporting to the Country Sales Manager and based in Amsterdam, you will contribute to Lavazza retail business development in the Netherlands and Belgium , , , , , , , , Job Segment Business Development, Manager, Marketing Manager, Retail, Marketing, Sales, Management",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307120379?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fe285c624-9791-4d5c-b27c-f39d7c3e3672%3Fjid%3D788793acc83cea554046f7975cddf181120b7a62908fd13a0c2fcb59ce137e89%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=o2vG&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/benelux-retail-trade-marketing-manager-at-lavazza-2307120379?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
10,retail trade,LinkedIn,2274642214,Ascend Sales Representative,AA7admBbQqyLLAjmiIHs9w==,Trek Bicycle,"Harderwijk, Gelderland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Retail']","Description, , Trek Bicycle is a global leader in the design and manufacture of bicycles and accessories Trek believes the bicycle can be a simple solution to many of the worlds most complex problems and is committed to breaking down the barriers that prevent people from using bicycles more often for transportation, recreation and inspiration Our mission is to create products we love and take care of our customers We value our team, making sure the best is on the field We value innovative ideas from anywhere, inspiring others with our positive energy, dealing with reality to make the tough calls, and getting things done fast  turning ideas into reality, , As , your primary mission is to sell our solution, hardware, and services to new and existing customers Using your available resources and the help of your teammates and business partners, youll get Ascend into all Trek owned stores and into as many independent retailers as possible in your market Youll go above and beyond to provide the best customer service to everyone to maximize their utilization of our systems and services At Ascend, every team member is in the business of selling, installing, supporting and shipping our worldclass software and services So, in addition to your primary job duties, youll be called on and encouraged to help in all areas of our business, , , , , , , , is the leading provider of retail management systems and services to independent retailers Through our Best System Best Support vision we partner with our customers to help them to grow, maximize their profitability, and create reliable data for making intelligent business decisions, , We are an EVerify employer, , , , EVerify Participation Poster English  Spanish, EVerify Right to Work Poster English  Spanish",Full-time,https://www.linkedin.com/jobs/view/externalApply/2274642214?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Ftrek-bicycle%2Fjob%2Fo7kLdfw9&urlHash=ebMA&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ascend-sales-representative-at-trek-bicycle-2274642214?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
11,retail trade,LinkedIn,2281959902,E-commerce Site Lead UK,NU8tuMUoSHmuVr/78CP4LA==,New Balance,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Sporting Goods']","Due to the current circumstances around Covid19 we only recruit from applicants already living in The Netherlands, if you are living abroad we kindly ask you not to apply at this time, , JOB MISSION",Full-time,,https://nl.linkedin.com/jobs/view/e-commerce-site-lead-uk-at-new-balance-2281959902?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
12,retail trade,LinkedIn,2241519297,Internship Trade Shopper Marketing (PH),m+HQ6M94TvOXAN5Vn71PUQ==,Philips,"Eindhoven, North Brabant, Netherlands",['Hospital & Health Care'],"Location Eindhoven HTC, Type Internship Suitable for thesis, Length 6 months , Time 40 hoursweek, Expected Start Date NovemberDecemb 2020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2241519297?url=https%3A%2F%2Fphilips%2Ewd3%2Emyworkdayjobs%2Ecom%2Fjobs-and-careers%2Fjob%2FEindhoven%2FInternship-Trade-Shopper-Marketing--PH-_369802%2F%3Fsource%3DLinkedin%26source%3DLinkedin&urlHash=LONw&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-trade-shopper-marketing-ph-at-philips-2241519297?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
13,retail trade,LinkedIn,2315364784,Trade Marketing Manager Performance BLX,AEuameOaTV+QRxKTSZPWOA==,PUMA Group,"LeusdenZuid, Utrecht, Netherlands","['Consumer Goods', 'Marketing and Advertising', 'Apparel & Fashion']","SPEED  SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine Applying for a job at PUMA is easy and all genders are welcome Simply click APPLY ONLINE and follow the steps to upload your application, , , , We are looking for an experienced trade marketeer to plan and execute our trade marketing for PUMA Performance Sports in the Benelux The Performance business unit within PUMA is responsible for bringing to market all PerformanceSports oriented products and campaigns You will need to, , , , , , , , PUMA supports over 14,000 employees across 120 countries The PUMA Group owns the brand PUMA, Cobra Golf and stichd, and is headquartered in Herzogenaurach, Germany, , PUMA provides equal opportunities for all job applicants, regardless of race, color, religion, national origin, sex, gender identity or expression, sexual orientation, age, or disability Equality for all is one of the core principles at PUMA and we do not tolerate any form of harassment or discrimination",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315364784?url=https%3A%2F%2Fpuma%2Ewd3%2Emyworkdayjobs%2Ecom%2FJobs_at_Puma%2Fjob%2FLeusden%2FTrade-Marketing-Manager-Performance-BLX_R10326-1%2Fapply%3Fsource%3DLinkedin&urlHash=1Ly2&refId=e6914986-74b9-41e1-bb3e-8703b669c139&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trade-marketing-manager-performance-blx-at-puma-group-2315364784?refId=e6914986-74b9-41e1-bb3e-8703b669c139&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-11-06,2020-11-29
