Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,sale,LinkedIn,2300319679,Sale Support Associate,vh8sedfUQJq2rwrGyp+8hQ==,Growth Tribe,"Amsterdam, North Holland, Netherlands",['Education Management'],"Growth Tribe is leading the way in adult education, digital reskilling and upskilling, bridging the gap between rapidly evolving technology and stagnant skills We do so by delivering fastpaced and enjoyable learning experiences around behavioural psychology, AI, blockchain, user experience, growth, data and rapid experimentation We are obsessed with participant engagement, creating learning experiences where it is possible to learn very difficult skills in an enjoyable way and in a short amount of time  ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300319679?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fgrowthtribe%2Fee252fba-1eac-4e09-b6be-918abaad38c3%3Flever-source%3DLinkedInJobs&urlHash=5qDM&refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sale-support-associate-at-growth-tribe-2300319679?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
2,sale,LinkedIn,2316635756,Sales Representative,0ltN+//PQSS8AA/QxkwN0A==,ZandGroup AB,"Amsterdam, North Holland, Netherlands",None,"Job descriptionAbout UsZand Group AB was founded in 2007 and has since then provided spare parts for the aftermarket for ITProducts and electronics such as computers, tablets, smartphones etc and is one of the biggest spareparts distributors in Europe The company works with resellers of spare parts, repair shops and endusers",Full-time,,https://nl.linkedin.com/jobs/view/sales-representative-at-zandgroup-ab-2316635756?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
3,sale,LinkedIn,2298692973,Business Development Representative,9xL2QPqhQ1SZwgBde1+PCw==,See Tickets Benelux,"Amsterdam, North Holland, Netherlands","['Entertainment', 'Internet', 'Information Technology and Services']","You must be in for a challenge as our future Business Development Representative Are you going to be our new team member with an energetic, uplifting and kickass personality that will show us how things are being done Go ahead, superstar, read further because we want you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298692973?url=https%3A%2F%2Fcareers%2Eseetickets%2Enl%2Fo%2Fbusiness-development-representative&urlHash=mx9y&refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-development-representative-at-see-tickets-benelux-2298692973?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
4,sale,LinkedIn,2286386673,GUCCI Client Advisor - Full-Time (Schiphol Airport),9noLIux9T0WpZRubcJVcLw==,Gucci,"Amsterdam, North Holland, Netherlands","['Luxury Goods & Jewelry', 'Apparel & Fashion']",Role missionThe client advisor has the mission to create and deliver a unique and personalized client experience for all customers so individual and store sales goals can be achieved,Full-time,,https://nl.linkedin.com/jobs/view/gucci-client-advisor-full-time-schiphol-airport-at-gucci-2286386673?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
5,sale,LinkedIn,2285221103,SEA Specialist,XwWNk8BkQDiTPNGEsN7WQQ==,PVH Corp,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Human Resources', 'Retail']","About Tommy HilfigerTommy Hilfiger, which was acquired by PVH Corp in 2010, is a global apparel and retail company with more than 16,000 associates worldwide With the support of strong global consumer recognition, Tommy Hilfiger has built an extensive distribution network in over 90 countries and more than 1,400 retail stores throughout North America, Europe, Latin America and the Asia Pacific region Global retail sales of the Tommy Hilfiger brand were 92 billion in 2019Founded in 1985, Tommy Hilfiger delivers premium styling, quality and value to consumers worldwide with a brand portfolio that includes TOMMY HILFIGER and TOMMY JEANSTommy Hilfiger is one of the worlds most recognized premium designer lifestyle groups and is recognized for celebrating the essence of classic American cool style, featuring preppy with a twist designsIts focus is designing and marketing highquality mens tailored clothing and sportswear, womens collection apparel and sportswear, kidswear, denim collections, underwear including robes, sleepwear and loungewear, footwear and accessories Through select licensees, Tommy Hilfiger offers complementary lifestyle products such as eyewear, watches, fragrance, swimwear, socks, small leather goods, home goods and luggageThe Ecommerce team is responsible for managing the European own and operated Tommycom sites across all European markets The team operates all necessary functions to manage the Ecommerce business endtoend Tommycom are growing in a fast pace and have very ambitious growth targets for the coming years The team consists of approx 80 people and will grow significantly until the end of the year Furthermore, team members are of various cultural backgrounds and nationalities, all highly motived and skilled as well as inspiring to work with As the own and operated Ecommerce business is one of the main growth opportunities, there is a high focus in the organization to support this growth One of the key pillars is to drive success through traffic and to become a data decision driven culture within the team Thus, we want to scale up our internal capabilities In addition, there are lots of projects running that supports performance initiative including data modelling, automation, enhancement of first party data, cloud base bidding, CMS developmentReporting in to the SEA Manager, The Tommy Hilfiger SEA Specialist will join the team responsible for all SEAPaid Search traffic for Tommy Hilfiger across Europe The SEA Specialist will be responsible for delivering traffic and net sales targets for the brand, together with herhis manager",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285221103?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR19784WDINTERNALENGLOBALEXTERNAL%2FSEA-Specialist%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=EZKZ&refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sea-specialist-at-pvh-corp-2285221103?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
7,sale,LinkedIn,2288651233,Associate Sales Representative,lO1PsUtwRP2q7QbaMDb1Yw==,Stryker,"Amsterdam, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Mechanical or Industrial Engineering', 'Medical Devices']","Associate Sales RepresentativeEndoscopyLocation The Netherlands  field basedTravel 80We are building a world class Endoscopy Sales Team in the Netherlands we strive to deliver excellent Sales for our customersWe are currently recruiting a talented Sales AssociateGraduate to become a strong Sales talent The goal of this position is to be the influencer that is driven to succeed and develop You seek out the hard projects and work to find just the right solutions Youre resilient and persistent and will stop at nothing to provide our customer the highest level of service This position reports to the Regional Sales Manager Endoscopy Through working closely with experienced Sales Representatives and Managers you will build your clinical and product knowledge, and develop your selling style and techniques They will serve as your coaches and mentors to share lessons learned for how to build and grow a successful businessWe offer you training and expect you to study and prepare yourself autonomously to perform at the highest levels in the operating room, working amongst surgeons and healthcare professionals The expectations are challenging yet rewarding httpswwwstrykercomusenendoscopyhtmlhttpscareersstrykercomenUSpageaboutstrykerhttpscareersstrykercommedia20179c231ebfc2dcc4a36b7db37d0067523671505150069255pdfWork From Home FieldbasedTravel Percentage 80",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288651233?url=https%3A%2F%2Fstryker%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FStrykerCareers%2Fjob%2FAmsterdam-Netherlands%2FAssociate-Sales-Representative_R438625%3FCodes%3DW-LINKEDIN&urlHash=mnUn&refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/associate-sales-representative-at-stryker-2288651233?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
8,sale,LinkedIn,2298659382,Junior Specialist,Du1WIIQuRr2XTGt/Ojb+OA==,Microsoft,"Schiphol, North Holland, Netherlands","['Computer Hardware', 'Computer Software', 'Information Technology and Services']","Microsoft is on a mission to empower every person and every organization on the planet to achieve more Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day In doing so, we create lifechanging innovations that impact billions of lives around the world You can help us to achieve our missionThe focus of the Support Specialists role is to drive and close Microsoft Enterprise Support opportunities to ensure customers are supported throughout all stages of the product lifecycle, improving their health and enabling customer outcomes and consumption The Support Specialist leverages Microsofts unique expertise, including direct access to product teams, to help customers use their Microsoft investments as productively as possibleThe world is changing as never before Companies are transforming faster than ever before Helping organizations transform and get the best out of technology is at the core of what we do  do you want to be part of a team that drives digital transformation for our largest enterprise customers Do you want to work in the cutting edge of technology, make markets, and innovate for impact Do you want to join an organization where you come as you are and do what you loveWe are looking for a Support Sales Specialist to lead our Enterprise customers into maximizing the value of their digital transformation investments You will be selling different kinds of Support services to help our customers accelerate their consumption and deploy their technologies fasterThe customers that you will be serving are Intelligent Services and CrossIndustry organizations These organizations tend to be leading in the markets and require strong relationships with their partners like MicrosoftThe Support Sales Specialists are highly visible team players and require strong leadership skills to influence both customers and Microsofts crossfunctional colleagues to enable the best customer outcomes and drive Microsoft cloud usageThe focus of the Support Sales Specialist is to identify, drive and close Support Services opportunities with existing as well as new customers The Support Sales Specialist leverages Microsoft Services unique expertise, including direct access to Microsoft product teams, to help customers use their Microsoft investments as productively as possibleMicrosoft is an equal opportunity employer All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex including pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinancesBenefitsperks listed below may vary depending on the nature of your employment with Microsoft and the country where you work",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298659382?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F936446%2FJunior-Specialist%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=Ib9C&refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-specialist-at-microsoft-2298659382?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
9,sale,LinkedIn,2157929571,Sales Development Representative,Y26wTbZ4TeGXr11/BMEoXA==,OmegaLab,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Computer Games', 'Gambling & Casinos']","Dear SDRBefore you continue reading, please answer the questions to yourselfDo you want to wake up to work like on a holiday",Full-time,,https://nl.linkedin.com/jobs/view/sales-development-representative-at-omegalab-2157929571?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
10,sale,LinkedIn,2264229178,Consultant,6qAuWNciQ5GqWLXmk4kQQw==,Amoria Bond,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Human Resources']","We are Amoria Bond, an award winning recruitment consultancy operating across the UK, DACH, North America  Canada, Australasia and China Our Offices in Manchester, Amsterdam, Cologne and Singapore specialise in sourcing, executive search and headhunting commercial and technical experts within multiple sectors globally mainly IT, SAP, Global Engineering Automotive, Aerospace, Defence, Robotics, Power  Energy, Renewables, Rail  Infrastructure",Full-time,,https://nl.linkedin.com/jobs/view/consultant-at-amoria-bond-2264229178?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
11,sale,LinkedIn,2190015586,Sales Representative UGG Benelux,10OGQMhmRnCaWMkYemkHgQ==,Deckers Brands,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Consumer Goods', 'Retail']","At Deckers Brands we dont just create shoes, we create lifestyles We are about opportunity Opportunity to create, to grow and to have an impact We want all our people to be as successful as they can be, to reach their full potentialWe believe that the company you build is defined by the company you keep We believe that a diverse, inclusive culture drives creativity and success We believe that open hearts and minds together can unleash the potential of a brilliant mix of peoplein every corner of DeckersWe strive to create a workplace that values ALL people, where we embrace differences, and everyone feels empowered to bring their full, authentic selves to work Because the more perspectives we share, the better we can beThe role will sell to, and manage, regional accounts within the territory for UGGYou will be responsible for the longterm development of the accounts, profitable growth for the brand as well as building strong relationships with buyers This role will deliver the agreed targets through maximizing productivity of existing accounts and pursuing new account opportunities in line with brand distribution strategiesExtensive travel and occasional overnight stays are expected throughout and across the regional territoryYou will manage and be accountable for the development of the wholesale business of UGG across a region of the Benelux Selling to customers in the region and coordinating the resources of Deckers BrandsYou are an organized and driven individual with an interest in fashion, looking to further develop or start your career in wholesale The perfect candidate will have an affinity with numbers, knows how to work with Excel and speak fluent Dutch, French and English You enjoy building relationships with both internal and external stakeholders and have a natural ability to partner closely with those you work with Also, a drivers license is a must",Full-time,https://www.linkedin.com/jobs/view/externalApply/2190015586?url=https%3A%2F%2Fdeckers%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FDeckers-Brands%2Fjob%2FAntwerp-Belgium%2FSales-Executive-UGG-Netherlands_9744%3Fsource%3DLinkedIn&urlHash=Dp9e&refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-representative-ugg-benelux-at-deckers-brands-2190015586?refId=7241d883-cd31-4291-9a4b-0ffa4e06580e&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-18,2020-11-24
