Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,service,LinkedIn,2321553450,Service Manager,8mJQ0QmYQPa31sCopSO4aA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Develop business plans, Supervise the management of an establishment, , Create solutions to problems, , Supervise work, , , , Ability to work autonomously, , , Sense of proactive initiative and team spirit, , Commitment to providing high quality support to colleagues and to meeting deadlines, , Strong motivation and open and positive attitude",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321553450?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F5fae3d03-02f8-4100-a01a-7e4cdc8a2773%3Fjid%3Dc727876a6dc49fc271ad8e0f593ba709df39ce55118956d1d97dee1cdbf4389b%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=xl2u&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-manager-at-talent-2321553450?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
2,service,LinkedIn,2320945397,Customer Service Representative,x66K/YahTZyRv6J8TFoMwQ==,SCS NZ,"Amsterdam, North Holland, Netherlands",None,"Do you love creating and maintaining customer satisfaction, working to resolve issues and contributing to the overall success of the business If so, keep reading to find out about this unique opportunity, , SCS NZ Supply Chain Solutions is a successful B2C company based in Australia and New Zealand for nearly twenty years with an aggressive growth plan We established operations in Canada and the US earlier this year and now we are moving into Europe, starting with The Netherlands",Full-time,,https://nl.linkedin.com/jobs/view/customer-service-representative-at-scs-nz-2320945397?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
3,service,LinkedIn,2321550801,Customer Service Manager - Flexible Office Homeoffice Remote,e1ecE92zRNiTSOO/7uJa1g==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for an experienced Customer Service Manager to provide excellent customer service and to promote this idea throughout the organisation, , The goal is to keep the department running in an efficient and profitable manner, to increase customer satisfaction, loyalty and retention and to meet their expectations, , , , , Keep ahead of industrys developments and apply best practices to areas of improvement, , Recruit, mentor and develop customer service agents and nurture an environment where they can excel through encouragement and empowerment, , Improve customer service experience, create engaged customers and facilitate organic growth, , , , , Advanced troubleshooting and multitasking skills, , , Experience in providing customer service support, , Customer service orientation, , Ability to think strategically and to lead",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321550801?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fa7b2556a-076f-4e8a-93a7-2ee7854ac538%3Fjid%3Db7790a1830968828c01adc66ce99962ea2681b37d7d0a420ad80262bee5360d2%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=iKE4&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-manager-flexible-office-homeoffice-remote-at-talent-2321550801?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
4,service,LinkedIn,2323801527,Operational support officer,obGSVWt0TLKf2Z9B+/PzdA==,Cobase,"Amsterdam, North Holland, Netherlands",['Financial Services'],For an open position at Cobase we are looking for an Operational support officer Cobase was founded in 2017 and by now has significant traction The role is critical to help us be successful in the scaleup phase of the company and deliver the benefits of our platform products and services to medium and large size corporates and Financial Institutions This position reports to the Chief Operating Officer and is based in Amsterdam,Full-time,,https://nl.linkedin.com/jobs/view/operational-support-officer-at-cobase-2323801527?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
5,service,LinkedIn,2325518194,Customer Service Manager - Office Homeoffice Remote Flexible - Amsterdam Metropolitan Area,ZY41HAwJQq2HqyoguLgD4A==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for an experienced Customer Service Manager to provide excellent customer service and to promote this idea throughout the organisation, , The goal is to keep the department running in an efficient and profitable manner, to increase customer satisfaction, loyalty and retention and to meet their expectations, , , , Control resources and utilise assets to achieve qualitative and quantitative targets, , Keep ahead of industrys developments and apply best practices to areas of improvement, , Recruit, mentor and develop customer service agents and nurture an environment where they can excel through encouragement and empowerment, , Improve customer service experience, create engaged customers and facilitate organic growth, , Take ownership of customers issues and follow problems through to resolution, , , , Advanced troubleshooting and multitasking skills, , Awareness of industrys latest technology trends and applications, , Experience in providing customer service support, , Customer service orientation, , Ability to think strategically and to lead",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325518194?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db2eee7aea1e5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdde8adbfadb9adbadd9aadfgadbaadffddf3aebcdcbfec3ddcg3e&urlHash=NC4K&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-manager-office-homeoffice-remote-flexible-amsterdam-metropolitan-area-at-talent-2325518194?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
7,service,LinkedIn,2325435352,Virtual Assistant - Office Homeoffice Remote Flexible,9cqPphtxSjSx5QLT0n1uPw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for a Virtual Assistant to provide administrative support to our team, , As a Virtual Assistant, you will perform various administrative tasks, including answering emails, scheduling meetings and making travel arrangements, , For this role, a strong Internet connection is required, along with experience using communication tools, , Ultimately, you should be able to handle administrative projects and deliver highquality work under minimum supervision, , , , Book travel and accommodations, , Provide customer service as first point of contact, , Organize managers calendars, , Address employees administrative queries, , Perform market research, , , , Knowledge of online calendars and scheduling, , Familiarity with current technologies, like desktop sharing, cloud services and VoIP, , Solid organizational skills, , Excellent time management skills, , Excellent phone, email and instant messaging communication skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325435352?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D752fde9f954e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd9cddb8ddefada9adcaadbadd7gadaadd7fddb3deccacbfec3ddcg3e&urlHash=V1Ys&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/virtual-assistant-office-homeoffice-remote-flexible-at-talent-2325435352?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
8,service,LinkedIn,2301960260,Service Manager,pjSuEXiFQISDcZ63pbF5pw==,Avion Group,"NieuwVennep, North Holland, Netherlands","['Airlines/', 'Aviation', 'Aviation & Aerospace']","Avion Group is a Dutch company focusing on Full Flight Simulator design, manufacturing, and operation The simulators are qualified at the highest level and we have an EASA Approved Training Organization ATO and operate Flight Training Centers in Malta and London Gatwick",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301960260?url=https%3A%2F%2Fwww%2Eaviongroup%2Eaero%2F%3Fpageid%3D56&urlHash=fuOP&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/service-manager-at-avion-group-2301960260?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
9,service,LinkedIn,2325432247,Customer Experience Manager,pasLUwXVRAuWrnDOeu4mmA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Analyse business objectives, , Develop strategies for accessibility, , Identify stress points of customer interaction, , Manage the customer experience, , Maintain customer service, , , , Sense of proactive initiative and team spirit, , Strong serviceoriented attitude and flexibility, , Accuracy and attention to details, , Excellent analytical capabilities and problemsolving skills, , Ability to work under pressure and meet deadlines on multiple tasks",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325432247?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6d4f429e707e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadc8ddcfada9ddcaddeadd7gadbadd9fddg3de9cacbfec3ddcg3e&urlHash=YMIV&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-talent-2325432247?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
11,service,LinkedIn,2303328734,Customer Service Representative (Portugal & Spain),CfmAWmhrQNS+zw8RvaZE7A==,Mimaki Europe BV,"Diemen, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing']","Customer Service Representative Portugal  Spain , Are you ready for the next step in your career Have you always dreamed of working for an international organization Then quickly read on ,  Mimaki is the leading manufacturer of large format inkjet printers and highprecision cutters As a customer service representative at Mimaki, you provide daily support to customers You take care of entering and changing customer orders and manage the back orders and reservations By preparing the transport of goods to the customer, you as a customer service representative, also facilitate the Public Warehouse Partner and handle all requests and complaints from customers ",Full-time,,https://nl.linkedin.com/jobs/view/customer-service-representative-portugal-spain-at-mimaki-europe-b-v-2303328734?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
14,service,LinkedIn,2307133489,Customer Service Agent,0OGI/Oq5Qt6lgxxbf7OGCg==,Maersk Group,"Amsterdam, North Holland, Netherlands","['Transportation/', 'Trucking/', 'Railroad']","We offer, , Firstly, we offer you a unique opportunity to join Maersk  an established company within international shipping  logistics, you will be an essential part of the company and get a high degree of personal responsibility, , A career at Maersk means working in a culturally diverse, performance stimulating environment Youll be part of a rich heritage and a youthful and exuberant logistics company that aims to be an inspiring and challenging place to work We believe that a successful career includes a variety of experiences that stretch you, take you out of your comfort zone and offer you an opportunity to grow in ways that also build your business, , Maersk offers a thrilling and attractive career in an ambitious and competitive environment  it is up to you to you use this opportunity for your professional and personal development and to build a career within a stimulating environment with a lot of future international career opportunities across a world class organization, , Additionally, you can expect competitive annual wages and 29 days of annual leave, Collective Health Insurance, pension plan, public transportation allowance, continuous professional and personal development, free use of an internal fitness center and fresh fruit every day in the office, , Key responsibilities, , , , We are looking for, , , , knows, , , , Apply Last application date 29112020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307133489?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F680d2fef-a8ab-4dc2-a148-2e7a80ffa77b%3Fjid%3Df3fb258b53ed6c193d79f6d96eecfe2e0ab012eaa66519653aaa030921047777%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=49IO&refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-agent-at-maersk-group-2307133489?refId=5aed81a5-2b38-4dee-bbc6-cd4f1a482fe0&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
