Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,social worker,LinkedIn,2321551745,Gerontology Social Worker,RMAUtm6GRCKB6O2vPk184w==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Religious Institutions'],"Job Context  Duties, , Conduct interview in social service, Build helping relationship with social service users, , Maintain records of work with service users, , Promote inclusion, , , , Customer Focus Ability to meet the expectation and requirement of internal and external customers, , Analysis and problem solving Ability to identify the critical facts in difficult issues and develop creative and practical solutions, , The ability to deal with a range of tasks at the same time, , Drive for Results Ability to take personal responsibility and initiative for delivering high quality work, , Accuracy and attention to details",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321551745?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ff9ed19e9-b7f5-4203-ba95-5aa1fe4b2fbb%3Fjid%3D2d25b210db1a67d28babcd354bd819b796fbed5e00b5e95f18c16781c73972a2%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=taeb&refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gerontology-social-worker-at-talent-2321551745?refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
7,social worker,LinkedIn,2282123717,Case Manager I,KeU+E5SaRC6H8EYrLDk5xA==,"Palladia, Inc","Haarlem, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']","Palladia is a community of strength, help and hope, where individuals can heal, grow in ability and knowledge, gain steady employment, and stay sober and healthy Palladia assists New Yorkers struggling with homelessness, HIVAIDS, trauma, poverty, domestic violence, illness, parenting, the justice system and parole Palladia is about building a better future for men, women and children With 29 programs in 25 locations Palladia offers a variety of services that help struggling New Yorkers build safer, stronger and better lives, , , , The Case Manager assesses clients needs, plans a course of action, links client to services and monitors progress She must assure clients receive appropriate information and referrals to obtain and maintain housing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282123717?url=https%3A%2F%2Fchu%2Etbe%2Etaleo%2Enet%2Fchu03%2Fats%2Fcareers%2Frequisition%2Ejsp%3Forg%3DPALLADIAINC%26cws%3D1%26rid%3D1174&urlHash=vJk0&refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-i-at-palladia-inc-2282123717?refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
11,social worker,LinkedIn,2274795666,Case Manager,Ieq+8xqhS1W+fxbhVagqKQ==,JP Gray,"Arnhem, Gelderland, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Financial Services']","Are you a driven Case Manager with a trackrecord in international companies  Would you like to work for one of the world leading organisation in chemicals You will be able to exert your communication skills to manage a large change trajectory at a large multinational organisation If you love to plan, work with people and processes, then please read on, , , , Location Arnhem, , Start As soon as possible, , Contract Temporary 69 months, , Salary Negotiable, , For a large multinational client of mine I am looking for a Register Case Manager It is a temporary project for 69 months with possibility for extension, , , , , , , , , , , You will have the opportunity to work for one of the largest multinationals in their field which will provide you with experiences that are worthwhile for the rest of your career The international work environment in where people are supportive and involved in many out of work activities is something that is attractive to many of the employees currently working there, , If you are interested in this role we are looking forward in receiving your application, , m, , GRAY",Temporary,https://www.linkedin.com/jobs/view/externalApply/2274795666?url=https%3A%2F%2Fwww%2Ejpgray%2Enl%2Fen-NL%2Fjob%2Fcase-manager%2FMR-33598760%3Futm_source%3Dlinkedin%26utm_medium%3Dwrapped_jobs&urlHash=CIKR&refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-at-jp-gray-2274795666?refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
17,social worker,LinkedIn,2325407312,Case Manager - Amsterdam Metropolitan Area,s+12zAzUSNCgXTxcHdZJgw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","We are looking for a Case manager to enhance the quality of patient management, maximize satisfaction and promote cost effectiveness, , The successful candidate will be accountable for the full patient care cycle, , Case manager duties include assessing, planning, implementing, monitoring and evaluating actions required to meet the clients health and human services needed, , , , Help clients achieve wellness and autonomy, , Take the extra mile and interact with patients to keep track of their progress and to ensure satisfaction, , Coordinate and provide care that is safe, timely, effective, efficient, equitable, and clientcentered, , Facilitate multiple care aspects, , Record cases information, complete accurately all necessary forms and produce statistical reports, , , , Excellent organisational and time management skills, , Familiarity with professional and technical emerging knowledge, , Previous experience with psychological aspects of care, , Excellent knowledge of case management principles, healthcare management and reimbursement, , Problem solving skills and ability to multitask",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325407312?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D346650ca7847%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcddccddabdda8ddbbddgaaddgadfadd9fdd83deccdc9fec3ddcg3e&urlHash=L40i&refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-amsterdam-metropolitan-area-at-talent-2325407312?refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
19,social worker,LinkedIn,2201829282,Physician Case Manager,u301frVpTf6KYFA4B3rWuw==,Teladoc Health,"Rotterdam, South Holland, Netherlands","['Information Technology and Services', 'Staffing and Recruiting', 'Human Resources']","Role and Responsibilities, , Contact Dutch patients, Gathering medical records, , Skill RequirementsPreferences, , , Education Requirements, , Licensed, BIG registered practising physician in the Netherlands",Full-time,https://www.linkedin.com/jobs/view/externalApply/2201829282?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FTEL1008%2FJobBoard%2F3b530b7e-b642-1e61-aafc-23506befa9a5%2F%2FOpportunityDetail%3FopportunityId%3D56b62626-e28d-4695-bf8e-b2cef16a4a29%26utm_source%3DLINKEDIN&urlHash=kg-J&refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/physician-case-manager-at-teladoc-health-2201829282?refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
23,social worker,LinkedIn,2282123720,Case Manager I,O+NAgdUGRBqV+VHh8pHcRA==,"Palladia, Inc","Haarlem, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']","Position Overview, , The Case Manager assesses clients needs, plans a course of action, links client to services and monitors progress She must assure clients receive appropriate information and referrals to obtain and maintain housing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282123720?url=https%3A%2F%2Fchu%2Etbe%2Etaleo%2Enet%2Fchu03%2Fats%2Fcareers%2Frequisition%2Ejsp%3Forg%3DPALLADIAINC%26cws%3D1%26rid%3D1462&urlHash=ZIU2&refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-i-at-palladia-inc-2282123720?refId=78a54df8-035c-4e5d-aa83-78f6a1d9e9c9&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
28,social worker,LinkedIn,2303053402,CHT/Occupational Therapist,rAoQRAKWQsOCJNU2CTxzwA==,"US Physical Therapy, Inc","Almere, Flevoland, Netherlands","['Health, Wellness and Fitness', 'Medical Practice', 'Hospital & Health Care']","Location Clermont , FL, , Minimum Experience 2 3 years, , Employment Type  Full time, , Competitive hourly rate and benefits package which includes generous paid time off and 401K, , is a wellestablished and respected outpatient orthopedic facility with clinics all over central Florida, , , , , , , , , , , ACN, , AOTA",Full-time,https://www.linkedin.com/jobs/view/externalApply/2303053402?url=https%3A%2F%2Fcareers-usph%2Eicims%2Ecom%2Fjobs%2F20694%2Fcht-occupational-therapist%2Fjob&urlHash=HyL4&refId=5e308301-06e3-4df5-9e8b-d8f957c36595&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/cht-occupational-therapist-at-u-s-physical-therapy-inc-2303053402?refId=5e308301-06e3-4df5-9e8b-d8f957c36595&position=3&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
31,social worker,LinkedIn,2321549822,Case Manager,XiNxeqrmRJOXrjDY4l2ISQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Performing Arts'],"We are looking for a Case manager to enhance the quality of patient management, maximize satisfaction and promote cost effectiveness, , The successful candidate will be accountable for the full patient care cycle, , Case manager duties include assessing, planning, implementing, monitoring and evaluating actions required to meet the clients health and human services needed, , , , , Take the extra mile and interact with patients to keep track of their progress and to ensure satisfaction, , Coordinate and provide care that is safe, timely, effective, efficient, equitable, and clientcentered, , Facilitate multiple care aspects, , , , , Excellent organisational and time management skills, , , Previous experience with psychological aspects of care, , Excellent knowledge of case management principles, healthcare management and reimbursement, , Problem solving skills and ability to multitask",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321549822?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F87340dbb-2fe9-4d93-8d5d-cb38f80ee49c%3Fjid%3Dd41c224ff8f96f3298077ddab1d70a9e6c919892065fbc2185e4e8e8e270d00c%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=5HVF&refId=5e308301-06e3-4df5-9e8b-d8f957c36595&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-at-talent-2321549822?refId=5e308301-06e3-4df5-9e8b-d8f957c36595&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
33,social worker,LinkedIn,2282121922,Case Manager I,ausfW2U6TV6ch31sEJH0Xg==,"Palladia, Inc","Haarlem, North Holland, Netherlands","['Nonprofit Organization Management', 'Individual & Family Services', 'Mental Health Care']","Position Overview, , The Case Manager assesses clients needs, plans a course of action, links client to services and monitors progress She must assure clients receive appropriate information and referrals to obtain and maintain housing",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282121922?url=https%3A%2F%2Fchu%2Etbe%2Etaleo%2Enet%2Fchu03%2Fats%2Fcareers%2Frequisition%2Ejsp%3Forg%3DPALLADIAINC%26cws%3D1%26rid%3D1389&urlHash=aeIx&refId=5e308301-06e3-4df5-9e8b-d8f957c36595&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/case-manager-i-at-palladia-inc-2282121922?refId=5e308301-06e3-4df5-9e8b-d8f957c36595&position=8&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
34,social worker,LinkedIn,2317441621,Radiation therapist,znSdu9fASkqijGyvMq/oXg==,Maastro,"Maastricht, Limburg, Netherlands","['Health, Wellness and Fitness']","Position, , Radiation therapist, Weekly working hours, , 36 hours fulltime, parttime working is also possible, , , , At Maastro, radiation therapists work in one of four multidisciplinary teams that consists of radiation therapists, radiation oncologists and medical physicists Currently we have around 80 radiation therapists At Maastro each radiation therapist covers all aspects of radiation treatment not only do you design, plan and administer radiation treatment, also imaging is an integral part of the job Participation in innovation and optimization projects is something that we encourage and offer possibilities for, , A typical day for a radiation therapist starts off with the teams daily scrum, maybe followed by half a day working on the design of a treatment plan and the rest of the day working on the linac, or a project meeting and a couple of hours on the CT machine, , Who are we looking for, , We are looking for committed and ambitious colleagues with a completed bachelor in radiation therapy Excellent communication skills and flexibility are important competences Also, it is important that you feel happy working in a very dynamic and innovative organization Since the profession of radiation therapist is a regulated profession in the Netherlands, a credential evaluation of the foreign diploma must first take place before you can get started This can take up to max 4 months There are also requirements for Dutch language proficiency And of course, you will need a residence  work permit to work in The Netherlands Our HR department will assist on all these matters They are happy to inform you about the possibilities If you have any questions on these topics, please contact Ellen Dekkers, sr HR advisor, via email or by calling See also the following informative website, , Employment conditions, , Our employment conditions are based on the Dutch Collective Labour Agreement for Hospitals You will start with a contract for one year but with the intention to make this permanent The salary for this position is a maximum of  3490,  5663, AUD gross per month, on a fulltime basis 36 hours a week Working parttime is also possible Additionally, we offer an extensive package of secondary employment conditions, including an 833 holiday allowance, an 833 endofyear bonus and an excellent pension provision Candidates from abroad may qualify for the advantageous 30 tax rule and a reimbursement of relocation expenses conditions apply, , Working at Maastricht en in the SouthLimburg region of The Netherlands, , Maastro is an internationally acclaimed institute for stateoftheart radiotherapy, situated in Maastricht, The Netherlands We provide radiation therapy to patients in southeastern part of The Netherlands, aiming to cure patients while preventing side effects of the treatment Maastro has advanced equipment such as 6 Varian TrueBeams with kV and MV imaging capability, two dual energy CT scanners, a PETCT scanner and a Mevion proton therapy system with pencil beam scanning Maastro also offers an extensive brachytherapy program, , We have wellestablished research groups and we work in close collaboration with Maastricht University Research School GROW and Maastricht University Hospital MUMC in the fields of education, clinical and preclinical research, , Living and working in the SouthLimburg region of The Netherlands  SouthLimburg equals quality of life and a burgundian lifestyle Plenty of career opportunities with at least 1,250 HBO  academic vacancies within one hour travel time, beautiful landscapes, interspersed with urban areas, the unique position on the interface of Latin and Germanic cultures and the rich cultural offerings in and around the area Due to the unique location so near to both Belgium and Germany, cities such as Lige, Aachen and Cologne are just around the corner And if you want to go to the big city, Amsterdam, Rotterdam, Utrecht, The Hague, Eindhoven, Antwerp and Brussels can be reached in less then two hours Europe is at your feet Maastro is within cycling distance of the historic city center of Maastricht and the surrounding villages Choose to live a little further away The Maastricht Randwyck train station is almost on our doorstep, , More information, , Working at Maastro we strive for people who are intrinsically motivated to get the best out of themselves to realize the strategic goals of Maastro To support this, we offer excellent primary and secondary employment conditions, in accordance with the Collective Labor Agreement for Hospitals in Dutch CAO Ziekenhuizen This includes for example a competitive salary, excellent working conditions, good pension arrangements and discount schemes with regard to sports, bicycles and various collective insurances But even more important we invest in development of people and as such offer a wide range of options for personal development  from international ESTRO courses to mindfulnesscourses We invest in the employability and vitality of our employees keeping all our employees healthy and motivated, whatever stage of life they are in, , To get an idea of the Maastro workforce, a few key figures at a glance, , , More information on this position, , Martien van Bussel or Huub Backes",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317441621?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F558e2247-948e-49a6-ab9c-510887b4b457%3Fjid%3D0fdf7d393711190520d7f8bf614ad5d4638b5d800f345501a047bde16a0b5fc5%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=e3kp&refId=5e308301-06e3-4df5-9e8b-d8f957c36595&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/radiation-therapist-at-maastro-2317441621?refId=5e308301-06e3-4df5-9e8b-d8f957c36595&position=9&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-28
