,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,specialised nurse,LinkedIn,2309761189,Nurse Responsible For General Care,N9ItE2sXT5yo2GtsIJ4b6g==,Asabura,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",None,Health Care Provider,Job Context  DutiesApply context specific clinical competencesComply with legislation related to health carePromote inclusionPlan nursing careParticipate in health personnel trainingSense of proactive initiative and team spiritGood communication skills and well developed interpersonal skillsSense of confidentiality and high level of discretionStrong serviceoriented attitude and flexibilityExcellent analytical capabilities and problemsolving skills,Full-time,https://www.linkedin.com/jobs/view/externalApply/2309761189?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6b609467ac16%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadecddafddgbdd7cddcbddagdd9aadffadd3defcdcafec3ddcg3e&urlHash=D28V&refId=6d63690f-aa05-4d0c-8898-5c446f7700a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-responsible-for-general-care-at-asabura-2309761189?refId=6d63690f-aa05-4d0c-8898-5c446f7700a2&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-14,2020-11-16,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,4,specialised nurse,LinkedIn,2309777655,Specialist Nurse,psOmdR/2TlKo1VoUygOaeQ==,Asabura,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",None,Health Care Provider,"Job Context  DutiesImplement scientific decision making in healthcareInteract with healthcare usersEvaluation in specialised nursing careProvide health educationRefer healthcare usersAbility to work effectively in an international or multicultural environmentGood communication, cooperation and team working skillsExperience of having worked in a similar roleAccuracy and attention to detailsAbility to adapt and cope with working in different teams",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309777655?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Daf901fe833fc%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcadacdd7fddgbddfcadabadbgdd8adddfddd3aeacacdfec3ddcg3e&urlHash=DVzS&refId=6d63690f-aa05-4d0c-8898-5c446f7700a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/specialist-nurse-at-asabura-2309777655?refId=6d63690f-aa05-4d0c-8898-5c446f7700a2&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-14,2020-11-16,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,6,specialised nurse,LinkedIn,2309803091,Nurse - Amsterdam Metropolitan Area,N04PsE77QqGS/DkC+KtpHg==,Asabura,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",None,Health Care Provider,"We are looking for a qualified Registered nurse to promote and restore patients healthYou will work with a variety of patients and you will provide direct nursing care along with physical or psychological support when requiredNurture a compassionate environment by providing psychological supportMonitor and record patients condition and document provided care servicesResolve or report on patients needs or problemsIdentify patients care requirements, focus on their needs and act on themAdminister workloadsProven nursing experienceFamiliarity with professional and technical emerging knowledgeProblem solving skills and ability to multitaskCompassionate with good communication skillsExcellent teamwork skills",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309803091?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dd81089185199%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadccdd8cddffddgbdd8cdd7bddfgdd8addbfddf3de7cdc7fec3ddcg3e&urlHash=NvWz&refId=6d63690f-aa05-4d0c-8898-5c446f7700a2&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-amsterdam-metropolitan-area-at-asabura-2309803091?refId=6d63690f-aa05-4d0c-8898-5c446f7700a2&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,2020-11-14,2020-11-16,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,1,specialised nurse,LinkedIn,2277712014,Nurse,29Ofj9ZBT+m8ne3CS1Wkjw==,Alio Health Services,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],Health Care Provider,"Alio Health Services is looking to hire a Registered NursePrimary Responsibilities  DutiesThe RNRPNLPN initiates and coordinates interprofessional team assessments and plans of care including the physical, spiritual and psychosocial needs of patients across the continuum of careBasic RequirementsAbout Alio Health ServicesFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everydayFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277712014?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fecf59f6e-cb35-475d-aa78-ee545981612c%3Fjid%3Db0f5539eeec101552f86c47be681873679b7c811fae6cdcb4ed3a816cd416745%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=e8MY&refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-at-alio-health-services-2277712014?refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-10-29,2020-11-20,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,2,specialised nurse,LinkedIn,2305913917,Nurse - Amsterdam,e7JHK4anSO2H0rNBHXnzsA==,Alio Health Services,"Amsterdam, North Holland, Netherlands","['Health, Wellness and Fitness', 'Medical Practice', 'Hospital & Health Care']",Health Care Provider,"Alio Health Services is looking to hire a Registered NursePrimary Responsibilities  DutiesThe RNRPNLPN initiates and coordinates interprofessional team assessments and plans of care including the physical, spiritual and psychosocial needs of patients across the continuum of careFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everydayFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305913917?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D232739fd0515%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecdddgdde9dd97ddd9dd7badagadcaddgfddb3defcdcbfec3ddcg3e&urlHash=wvSQ&refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-amsterdam-at-alio-health-services-2305913917?refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-10-29,2020-11-20,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,3,specialised nurse,LinkedIn,2285518264,Dosing Nurse,PEfr3HpzQQmrN5IPzOmrpg==,New Season,"Amsterdam, North Holland, Netherlands","['Mental Health Care', 'Medical Practice', 'Hospital & Health Care']",Health Care Provider,"Job DescriptionLicensed Practical NurseFor over 30 years, New Season Treatment Centers have been a leading national health care service provider of outpatient treatment centers that specialize in providing safe, quality and best in class care for individuals living with Opioid Use Disorder OUDOperating in over 70 treatment centers in multiple states, our team members are engaged in medicationassisted treatment, counseling, support, and care management of individuals living with OUD We treat the whole person and, in so doing, address the underlying causes of OUD in an effort to provide a continuum of care that not only addresses treatment needs but supports the patient on their journey to recoveryJob SummaryResponsible for restoration of patients health and collaborates with physicians and multidisciplinary team members to provide support to patientsJob Duties include but are not limited toSupply and administer medicateRecord dosages in medical recordsDaily inventory count of medication supply and receiving incoming shipmentsResponsible for safeguarding medication inventoryCollect fees and perform daily cash reconciliation in absence of the cashier personnelObserve  monitor patient demeanorCommunicate patient concerns to superiorComply with federal and state privacy rules, including 42 CFR Parts 160, 164 as well as applicable clinic policies and proceduresContact other centers to verify dosages as neededAdminister appropriate lab tests, collect data and report per processSchedule and screen patient to be seen by Medical DirectorReceive and document medical ordersActively participate in CAFR preparation and start audit processAlways act in the best interest of patient, program and companyHonor, support and protect the proprietary right of patients and companyInterface with public and patients by answering phones, greeting visitors, and monitoring patient activities while on center premises RequirementsLicensed Practical Nurse  LPNJob RequirementsLicensed Practical NurseLicensed in the state of the job locationMinimum 1 year of direct patient contactUnderstanding of opiate addition and medical terminologyBasic knowledge of Microsoft productsBasic typing skillsExcellent customer service and interpersonal skillsExcellent attention to detailLicensed Practical Nurse LPNLPN, licensed practical nurse, nurse, nursing, licensed nurse, healthcare, patient care",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285518264?url=http%3A%2F%2F9nl%2Ees%2FVUT7ot%3Fjz%3D4nmxk37866457AMANYAATAAAQAAAAAAJQ%26tracking-details%3DYmlkPTAuMTkmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD03ZjA0OTFkMzljZGQ0MmRjNDMwNDE3OTg3Yjg5MTg2YyZlbWQ9MC4wMCZwaElkPW5teGsmZUJpZD0wLjE5&urlHash=Nm-2&refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/dosing-nurse-at-new-season-2285518264?refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-10-29,2020-11-20,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,22,specialised nurse,LinkedIn,2278961319,Nurse (verpleegkundige),skaeWkicRSiyqy0f4ZPc4A==,Spijtenburg Onderwijs,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education']",Health Care Provider,"Netherlands Referentie SPH07235Nurse verpleegkundigeWho are we looking forAre you looking for a new challenge or a fresh start Are you a qualified nurse We might just have a great opportunity for you in the NetherlandsMany healthcare institutions are looking for nurses with a passion for their job Are you the nurse we are looking forWe offer a job with a great remuneration package, including a good salary Somebody will be available at all times to help you with any and all professional, administrative and language challenges you may faceSpijtenburgWe strongly believe that a happy employee is one that will deliver better results Where could this be more important than in health care Because we take this seriously, Spijtenburg is affiliated with the Dutch Collective Labour Agreement for Temporary Agency WorkersTerms of employment Nurse verpleegkundigeWhat can you expect from usIn order to register as a nurse in the Netherlands you need to obtain a B1 level or higher Dutch Language Certificate intermediate level in the CEFR  Common European Framework of Reference Therefore, you will start a language course, which will take about three to six months depending on your current experience An exam will be taken at the end of the course If the results are sufficient, you will be registered in the Dutch BIG register The Dutch register in which all healthcare professionals that work directly with patients are entered This is when you can legitimately start your career as a nurse in The NetherlandsHave we awoken your interest Give us a call or send your resume toJolien PetersJolien PetersBezoekers van deze pagina bekeken ook deze banenVerpleegkundig specialist wijkteam Herken jij jezelf in deze functie als Verpleegkundig in Leiden Verzorgende IG in de wijk Ben jij die daadkrachtige verzorgende IG in de thuiszorg die dit in Leudal Verpleegkundig specialist psychogeriatrie en somatiek Ben jij toe aan een nieuwe uitdaging als verpleegkundig specialist en ga in Purmerend Verzorgende IG Wil jij als verzorgende IG aan de slag in een vast dienstverband en de in Rotterdam Verpleegkundig specialist in Rotterdam Verpleegkundig specialist ouderenpsychiatrie in Goes Regiebehandelaar in Hellevoetsluis",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278961319?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fe3a6b300-1163-4de2-9cc7-52422f64c05e%3Fjid%3D012d9981c09855661042628f9aea6b79072d1dcc6701243d20234849581e48dc%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=En39&refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-verpleegkundige-at-spijtenburg-onderwijs-2278961319?refId=7624dca1-37c1-446c-8cfd-7d1eb7e84fb5&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-10-29,2020-11-20,en,Yes,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,17,specialised nurse,LinkedIn,2307087559,Nurses in Europe,QIyJklulRXW+UlgWd7DMCw==,I work in Europe,"Overdinkel, Overijssel, Netherlands",['Writing and Editing'],Health Care Provider,"In a number of European countries, the demand for qualified nurses is high There are more than 200,000 job vacanciesThe requirements are high Your qualifications need to be recognized In many cases, additional studies are required to meet the standardsYou will need to follow language courses, which could take up to one year Some countries offer a study and work programme, where you will be studying, while you work as an apprentice, until all requirements have been met and all exams have been passed We are looking for candidates from all countries of the world to apply An application form can be found More specific information can be found here",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307087559?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F5fd31e0a-944c-4a90-96b9-255197923027%3Fjid%3D16ea8dd913475598673a4bed614dab3c162847952222ae553ef3c80a9cf03253%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=cO5e&refId=aade1d48-68b0-4693-b97a-2decae711a65&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurses-in-europe-at-i-work-in-europe-2307087559?refId=aade1d48-68b0-4693-b97a-2decae711a65&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,3 weeks ago,3 weeks ago,2020-10-29,2020-11-20,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,477,specialised nurse,LinkedIn,2305901958,Financial Support & Reporting role in Foodsector,gvliorrKQGycEo7DMyCQBQ==,CD Foods,"IJmuiden, North Holland, Netherlands","['Food & Beverages', 'Food Production', 'Financial Services']",Finance,"CD Foods Netherlands BV is part of CD Food Group with their headquarters in Ireland and being a 100 subsidiary from ABP Food Group, one of the largest privately owned labels of pet food manufacturers on the English and Irish market CD Foods owns 9 factories spread across Europe In our factory in IJmuiden we produce canned dog and cat food with a maximum capacity of 100000 tons annually The site is a single product line factory with an open and informal culture Have a look at our video to get a view of our production process and people We are proud to show youDo you have a passion for numbers and financial reporting, and can you together with the Financial Controller, ensure that the financial department achieves its objectives Then we are looking for youA varied and challenging financial role within a fastpaced organization, where with the right dedication and motivation you can work independently on achieving your goals The Finance department is responsible for the complete financial administration of Ijmuiden and from there a timely and accurate reporting to the GroupDo you recognize yourself in below profile then we would like to meet youCall, mail or app your resume and a brief motivation to Monica Waij, Manager HRM, monicawaijcdfoodscom, 31 6 82 41 60 82 We will contact you as soon as possible",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305901958?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1c047e0ec7b1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcaddcddgfddcbdd9cadbbddggadbaaddfdd93aeecdcffec3ddcg3e&urlHash=vw2x&refId=93aaa990-a8af-4ca9-afb1-77f3ed1afaf9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/financial-support-reporting-role-in-foodsector-at-c-d-foods-2305901958?refId=93aaa990-a8af-4ca9-afb1-77f3ed1afaf9&position=2&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-14,2020-11-16,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,484,specialised nurse,LinkedIn,2282621488,Lab Support Intern,4HL1p1N3TjK3Pw/crtwm2A==,EVBox,"Amsterdam, North Holland, Netherlands","['Automotive', 'Electrical/', 'Electronic Manufacturing', 'Renewables & Environment']",Education,"Who We Are As EVBoxWe believe in a future where daily transportation is emissionfree and sustained by smart charging infrastructure Thats why weve made it our goal to accelerate the adoption of electric mobility by bringing the most accessible and scalable charging solutions to the world However, the transition from gas to electric cars will change a great deal of what we know about transportation Were going to need EV charging infrastructure that is accessible, reliable, and futureproof Team Hardware at EVBox develops and iterates on our iconic charging stations that are placed worldwideWere looking for who will be assisting in a wide range of development projects going on in EVBox with a focus on electrical work and testing preparation At the same time, you are making sure our lab facilities, equipment and materials are available and prepared for safe use Youll be reporting to our Lab Manager within the Hardware team which consist of over 100 Engineers including Embedded software engineers, Automation Test Engineers, Systems Engineers and moreDo you see yourself as truly passionate about the EV industry Do you show affinity with renewable technologies and products Then we might be looking for you Our growth and success are driven by the passion and dedication of everyone here in the EVBox family",Full-time,https://www.linkedin.com/jobs/view/externalApply/2282621488?url=https%3A%2F%2Fevbox%2Ecom%2Fen%2Fabout%2Fcareers%2Fjob%3Fgh_jid%3D4104949003%26gh_src%3D74265a6e3us&urlHash=0dkM&refId=93aaa990-a8af-4ca9-afb1-77f3ed1afaf9&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lab-support-intern-at-evbox-2282621488?refId=93aaa990-a8af-4ca9-afb1-77f3ed1afaf9&position=9&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-14,2020-11-16,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
