Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
537,specialised nurse,LinkedIn,2285518264,Dosing Nurse,IYoB4uRXQz6ljTsxZH7fYQ==,New Season,"Amsterdam, North Holland, Netherlands","['Mental Health Care', 'Medical Practice', 'Hospital & Health Care']","Job DescriptionLicensed Practical NurseFor over 30 years, New Season Treatment Centers have been a leading national health care service provider of outpatient treatment centers that specialize in providing safe, quality and best in class care for individuals living with Opioid Use Disorder OUDOperating in over 70 treatment centers in multiple states, our team members are engaged in medicationassisted treatment, counseling, support, and care management of individuals living with OUD We treat the whole person and, in so doing, address the underlying causes of OUD in an effort to provide a continuum of care that not only addresses treatment needs but supports the patient on their journey to recoveryJob SummaryResponsible for restoration of patients health and collaborates with physicians and multidisciplinary team members to provide support to patientsJob Duties include but are not limited toSupply and administer medicateRecord dosages in medical recordsDaily inventory count of medication supply and receiving incoming shipmentsResponsible for safeguarding medication inventoryCollect fees and perform daily cash reconciliation in absence of the cashier personnelObserve  monitor patient demeanorCommunicate patient concerns to superiorComply with federal and state privacy rules, including 42 CFR Parts 160, 164 as well as applicable clinic policies and proceduresContact other centers to verify dosages as neededAdminister appropriate lab tests, collect data and report per processSchedule and screen patient to be seen by Medical DirectorReceive and document medical ordersActively participate in CAFR preparation and start audit processAlways act in the best interest of patient, program and companyHonor, support and protect the proprietary right of patients and companyInterface with public and patients by answering phones, greeting visitors, and monitoring patient activities while on center premises RequirementsLicensed Practical Nurse  LPNJob RequirementsLicensed Practical NurseLicensed in the state of the job locationMinimum 1 year of direct patient contactUnderstanding of opiate addition and medical terminologyBasic knowledge of Microsoft productsBasic typing skillsExcellent customer service and interpersonal skillsExcellent attention to detailLicensed Practical Nurse LPNLPN, licensed practical nurse, nurse, nursing, licensed nurse, healthcare, patient care",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285518264?url=http%3A%2F%2F9nl%2Ees%2FVUT7ot%3Fjz%3D4nmxk36553265AMANYAATAAAQAAAAAAJQ%26tracking-details%3DYmlkPTAuMTkmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD03ZjA0OTFkMzljZGQ0MmRjNDMwNDE3OTg3Yjg5MTg2YyZlbWQ9MC4wMCZwaElkPW5teGsmZUJpZD0wLjE5&urlHash=NWkm&refId=59c1a84c-5d29-4db5-b69a-b378ea393ec1&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/dosing-nurse-at-new-season-2285518264?refId=59c1a84c-5d29-4db5-b69a-b378ea393ec1&position=12&pageNum=21&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,06/11/2020,17/11/2020
999,specialised nurse,LinkedIn,2312301650,Nurse,/HjvMpe5TcaaUc3uJ6vfQA==,Asabura,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Hospital & Health Care'],We are looking for a qualified Registered nurse to promote and restore patients healthYou will work with a variety of patients and you will provide direct nursing care along with physical or psychological support when requiredMonitor and record patients condition and document provided care servicesResolve or report on patients needs or problemsAdminister workloadsFamiliarity with professional and technical emerging knowledgeProblem solving skills and ability to multitaskExcellent teamwork skills,Full-time,https://www.linkedin.com/jobs/view/externalApply/2312301650?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F05b7f264-ecc2-4e76-bdfe-a3b7385d3928%3Fjid%3D40c3d83a81608e0c60099b2e42b3f5f6a982e118718f426a8d73eeff37fcf86d%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=l3QC&refId=3d40d9e2-be7b-4ffe-b81a-c7c2f2fb4755&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-at-asabura-2312301650?refId=3d40d9e2-be7b-4ffe-b81a-c7c2f2fb4755&position=24&pageNum=39&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,14/11/2020,18/11/2020
5,specialised nurse,LinkedIn,2312301669,Specialist Nurse,ClGlFbF5TISQBpEcEMXtjg==,Asabura,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Hospital & Health Care'],Job Context  DutiesImplement scientific decision making in healthcareInteract with healthcare usersEvaluation in specialised nursing careProvide health educationAbility to work effectively in an international or multicultural environmentExperience of having worked in a similar roleAccuracy and attention to detailsAbility to adapt and cope with working in different teams,Full-time,https://www.linkedin.com/jobs/view/externalApply/2312301669?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F1e8414c9-6601-465e-95a5-351e8d93c008%3Fjid%3Da3bcaa5640030b735da57302a2cc8b7afe17164f03295448efe0263a4c778b4b%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=6Ave&refId=7381d7e8-9c31-4221-9c44-7c49244110a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/specialist-nurse-at-asabura-2312301669?refId=7381d7e8-9c31-4221-9c44-7c49244110a5&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,16/11/2020,18/11/2020
9,specialised nurse,LinkedIn,2277712014,Nurse,nRMZvfVhR4CqkBybtS76JA==,Alio Health Services,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Alio Health Services is looking to hire a Registered NursePrimary Responsibilities  DutiesThe RNRPNLPN initiates and coordinates interprofessional team assessments and plans of care including the physical, spiritual and psychosocial needs of patients across the continuum of careBasic RequirementsAbout Alio Health ServicesFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everydayFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277712014?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fecf59f6e-cb35-475d-aa78-ee545981612c%3Fjid%3Db0f5539eeec101552f86c47be681873679b7c811fae6cdcb4ed3a816cd416745%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=e8MY&refId=7381d7e8-9c31-4221-9c44-7c49244110a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-at-alio-health-services-2277712014?refId=7381d7e8-9c31-4221-9c44-7c49244110a5&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,16/11/2020,18/11/2020
14,specialised nurse,LinkedIn,2305913917,Nurse - Amsterdam,VCm99EXyRUSzp6ckjhtsLQ==,Alio Health Services,"Amsterdam, North Holland, Netherlands","['Health, Wellness and Fitness', 'Medical Practice', 'Hospital & Health Care']","Alio Health Services is looking to hire a Registered NursePrimary Responsibilities  DutiesThe RNRPNLPN initiates and coordinates interprofessional team assessments and plans of care including the physical, spiritual and psychosocial needs of patients across the continuum of careFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everydayFocused on creating the best experiences for patients, caregivers and the health care industry as a whole Alio Health specializes in the design and implementation of comprehensive Patient Support Programs PSP that enhance the patients experience throughout their treatment journey Working with our clients we design customized Programs that connect all parties using a targeted approach, which delivers the simplest and most effective Program focused on the patients experienceAlio Healths unique and proprietary PSP workflow automation software and systems ensures excellent quality control and provides significant operational cost efficiencies This allows Alio to provide inhome services at about the same cost as inclinic services, thus adding a superior service element to our Patient Support ProgramsTogether, we are enhancing patient care to positively impact the lives of people everyday",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305913917?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D232739fd0515%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecdddeddecdd9edddadd7badagadcaddgfddb3defcdcbfec3ddcg3e&urlHash=xrIn&refId=7381d7e8-9c31-4221-9c44-7c49244110a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-amsterdam-at-alio-health-services-2305913917?refId=7381d7e8-9c31-4221-9c44-7c49244110a5&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,16/11/2020,18/11/2020
18,specialised nurse,LinkedIn,2312305417,Nurse Responsible For General Care,OHdQathRQFyYuLUEW7Gp1A==,Asabura,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Hospital & Health Care'],Job Context  DutiesApply context specific clinical competencesComply with legislation related to health carePromote inclusionPlan nursing careSense of proactive initiative and team spiritSense of confidentiality and high level of discretionStrong serviceoriented attitude and flexibilityExcellent analytical capabilities and problemsolving skills,Full-time,https://www.linkedin.com/jobs/view/externalApply/2312305417?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Ff94ead20-43e5-45f5-bfbd-62426fb01dca%3Fjid%3Daa51afffc9d991ab37bfce383bc907f9599b8a61ddee0fa04f86de367efd0f05%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=DxCu&refId=7381d7e8-9c31-4221-9c44-7c49244110a5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-responsible-for-general-care-at-asabura-2312305417?refId=7381d7e8-9c31-4221-9c44-7c49244110a5&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,16/11/2020,18/11/2020
41,specialised nurse,LinkedIn,2317693851,Nurse Registered - CRC,mcmX+u8ITl2eIJlib2YE/g==,Exeter Hospital,"Amsterdam, North Holland, Netherlands","['Health, Wellness and Fitness', 'Medical Practice', 'Hospital & Health Care']","Provides professional nursing care within the Center for Reproductive Care Coordinates care planning with other disciplinesRequirementsBSN Preferred or equivalent experience24 years experienceRegistered Nurse  RN License recognized by the NH Board of NursingBCLS certified  for selected nursing positions within 30 daysMajor ResponsibilitiesAssesses patients educational needs and creates teaching plans and educational materials for individual patients or groups of patients Provides instructiondiscussionclasses on infertility testing and treatments Validates patient understanding of education plan through teach backPerforms patient assessment and history as needed to continue care Identifies patient problems and discusses with physician Assesses all patients in a timely manner and is a patient advocateUnderstands anatomy and physiology of the reproductive endocrine system and is able to apply this knowledge to the patient care plan Understands psychological impact of infertility on female and her partner Is able to be attentive as well as sensitive, to the mental health needs of the patient Validates to patient that the Center is a safe place for patient to express her feelings about her infertilityPerforms semen preparation and intrauterine insemination IUIAssists in coordination and timing of procedures such as endometrial biopsy, HSG, IUI, labs and ultrasounds Cross trains in MFM to assist perinatologist when necessarys physician to changes in patients condition Acts as a liaison between the patient and the physicians at Brigham and Womens HospitalPursues certificate in Reproductive Endocrinology and Infertility Nursing from American Society of Reproductive MedicineEnhances professional growth and development through participation in educational programs, current literature, inservices, meetings, workshops and with the assessment of plan of care by providersUnderstands and demonstrates competency in using ARTSITE through Brigham and Womens Hospital for managing OIIUI and IVF cycles Demonstrates understanding of insurance precertification and prior authorization for procedures such as MRI, IUI and IVFHas strong clinical skills and performs all duties of staff RN as appropriate",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317693851?url=http%3A%2F%2F9nl%2Ees%2FVUT7ot%3Fjz%3D4nmxk36774306AMANYAATAAAQAAAAAAJQ%26tracking-details%3DYmlkPTAuMTkmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD01OWY0YTk3YTgwZDU3OTE0MDIwZWMwNzYzY2I1MDZjNiZlbWQ9MC4wMCZwaElkPW5teGsmZUJpZD0wLjE5&urlHash=40py&refId=720d07e7-a70b-440c-9e7e-5df4cb2d43cd&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nurse-registered-crc-at-exeter-hospital-2317693851?refId=720d07e7-a70b-440c-9e7e-5df4cb2d43cd&position=16&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,27/10/2020,21/11/2020
1,specialised nurse,LinkedIn,2199858057,Nurse Reviewer,anAnuytcT/yAv8jiDLhcaw==,Bioclinica,"Princeton, NJ","['Information Technology and Services', 'Computer Software', 'Hospital & Health Care']",Identifies Project Guidelines And Communication Needs ByPrimary ResponsibilitiesReviewing study requirements and endpoint definitions and collaborates with key stakeholders to develop study startup activities and associated documents for endpoint adjudicationProvides project team leadership in managing project load and allocates work to APMs byTravel 020Lifting 015lbsOther Computer work for long periods of time,Full-time,https://www.linkedin.com/jobs/view/externalApply/2199858057?url=https%3A%2F%2Fbioclinica%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FBioclinica_careers%2Fjob%2FPrinceton-NJ%2FNurse-Reviewer_R5040%3Fsource%3DLinkedin&urlHash=zedt&refId=52cf1a78-7696-4d1b-a537-d411aabf98d0&trk=public_jobs_apply-link-offsite,https://www.linkedin.com/jobs/view/nurse-reviewer-at-bioclinica-2199858057?refId=52cf1a78-7696-4d1b-a537-d411aabf98d0&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,19/11/2020,21/11/2020
2,specialised nurse,LinkedIn,2315253605,Case Investigation Nurse,JlmPCritTIG18IC6GFfDng==,Medasource,"Frankfort, KY","['Hospital & Health Care', 'Information Services', 'Research']","Position Case Investigation NurseLocation Frankfort, KYDuration Contract through Nov 2022",Contract,,https://www.linkedin.com/jobs/view/case-investigation-nurse-at-medasource-2315253605?refId=52cf1a78-7696-4d1b-a537-d411aabf98d0&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,19/11/2020,21/11/2020
3,specialised nurse,LinkedIn,2300207335,Prior Authorization Nurse I,QCQTyW1hQdWMpJjrjJyHCw==,Centene Corporation,"Lenexa, KS","['Hospital & Health Care', 'Insurance']",Position PurposePromote the quality and cost effectiveness of medical care by applying clinical acumen and the appropriate application of policies and guidelines to prior authorization requestsGraduate from an Accredited School of Nursing Bachelors degree in Nursing preferred 2 years of clinical nursing experience Knowledge of healthcare and managed care preferredLicensesCertifications Current State LPNLVN or RN license,Full-time,,https://www.linkedin.com/jobs/view/prior-authorization-nurse-i-at-centene-corporation-2300207335?refId=52cf1a78-7696-4d1b-a537-d411aabf98d0&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,19/11/2020,21/11/2020
