Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,specialised services manager,LinkedIn,2321492973,EMEA Enablement Manager,JVnjaEDzQNWo22jZ7Xq7nA==,Lucid Motors,"Amsterdam, North Holland, Netherlands",None,"Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryThe successful candidate will be a key member of the EMEA leadership team and will be responsible for all aspects of organizational design required for implementation, and administration of Learning, Enablement and Communications programs in EMEA This role will be focused on the continued growth of Lucid Motors by providing strategic, organizational, and operational support for the companys initiatives and overall performance as we expand into EMEA This role requires experience and proven performance developing strategic partnerships with executive stakeholders, conducting needs assessments, changing and introducing new systems and process, partnering globally to ensure consistency and efficiency and leveraging data insights to drive decision making It will be your role to balance longterm strategy and organizational planning with the ability to create and implement sustainable, scalable, actionable and measurable solutions and programs which are supported by all stakeholders Your understanding of all aspects of the business will be essential as a thought leader on strategic solutions to attract, engage, develop, and retain employees while aligning them with the organizations culture, strategies, and vision",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321492973?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fceeef335-42ae-4a0e-91ed-9100261a4c08%3Fjid%3D52817dcf1063d3143df9217237b26e1bfaec1d82baefad537a56d167c43b0b4d%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=wxrZ&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-enablement-manager-at-lucid-motors-2321492973?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
6,specialised services manager,LinkedIn,2215763678,EMEA Enablement Manager.,ccRLGj9YRqyqjW5EpLlcaA==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","Leading the future of luxury mobility, , Lucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industry, , The successful candidate will be a key member of the EMEA leadership team and will be responsible for all aspects of organizational design required for implementation, and administration of Learning, Enablement and Communications programs in EMEA This role will be focused on the continued growth of Lucid Motors by providing strategic, organizational, and operational support for the companys initiatives and overall performance as we expand into EMEA, , This role requires experience and proven performance developing strategic partnerships with executive stakeholders, conducting needs assessments, changing and introducing new systems and process, partnering globally to ensure consistency and efficiency and leveraging data insights to drive decision making, , It will be your role to balance longterm strategy and organizational planning with the ability to create and implement sustainable, scalable, actionable and measurable solutions and programs which are supported by all stakeholders Your understanding of all aspects of the business will be essential as a thought leader on strategic solutions to attract, engage, develop, and retain employees while aligning them with the organizations culture, strategies, and vision, , , , , , , , Be part of something amazing, , Come work alongside some of the most accomplished minds in the industry Beyond providing competitive salaries, were providing a community for innovators who want to make an immediate and significant impact If you are driven to create a better, more sustainable future, then this is the right place for you, , At Lucid, we dont just welcome diversity  we celebrate it Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations",Full-time,https://www.linkedin.com/jobs/view/externalApply/2215763678?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Flucidmotors%2F65c362fd-8c8a-4f18-ad7e-70e862dd90f3%3Flever-origin%3Dapplied%26lever-source%25255B%25255D%3DLinkedIn%26lever-source%3DLinkedInJobs&urlHash=l03-&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-enablement-manager-at-lucid-motors-2215763678?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
7,specialised services manager,LinkedIn,2321496336,EMEA Senior Operations Manager,k5/Lm4GDS1uUCDYVsIRsdg==,Lucid Motors,"Amsterdam, North Holland, Netherlands",['Mining & Metals'],"Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryLucid is looking to hire a Senior Operations Manager for the launch and scaling of Lucid in EMEA This role will lead physical operations planning that allow us to bring the first cars to our customers in EMEA and ensure the service organization is created and optimized to support A successful candidate will be able to create partnerships with crossfunctional teams to influence decisions made whilst relentlessly delivering a world class operations, logistics and service organization, , The Role, , , , You Bring",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321496336?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F932774f1-24a4-43cd-a7d2-67193142e57f%3Fjid%3D559017875a64081ec7a1daa17c1b093f39302279fb7c4161a8b192a1016dd38f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=QiZE&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-senior-operations-manager-at-lucid-motors-2321496336?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
15,specialised services manager,LinkedIn,2226379873,EMEA Senior Operations Manager.,8KarKMzjRruwY+34QdRmXg==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Automotive']","Leading the future of luxury mobility, , Lucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industry, , Lucid is looking to hire a Senior Operations Manager for the launch and scaling of Lucid in EMEA This role will lead physical operations planning that allow us to bring the first cars to our customers in EMEA and ensure the service organization is created and optimized to support A successful candidate will be able to create partnerships with crossfunctional teams to influence decisions made whilst relentlessly delivering a world class operations, logistics and service organization, , , , , , , , Be part of something amazing, , Come work alongside some of the most accomplished minds in the industry Beyond providing competitive salaries, were providing a community for innovators who want to make an immediate and significant impact If you are driven to create a better, more sustainable future, then this is the right place for you, , At Lucid, we dont just welcome diversity  we celebrate it Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations",Full-time,https://www.linkedin.com/jobs/view/externalApply/2226379873?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Flucidmotors%2Fa71f0c50-698d-49bf-bd53-9d68674d5619%3Flever-origin%3Dapplied%26lever-source%25255B%25255D%3DLinkedIn%26lever-source%3DLinkedInJobs&urlHash=h9bB&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-senior-operations-manager-at-lucid-motors-2226379873?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
17,specialised services manager,LinkedIn,2317976055,EMEA Enablement Manager - Amsterdam,G+nw7KLbR8+sPvNHI49cTg==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Automotive', 'Retail']","Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryThe successful candidate will be a key member of the EMEA leadership team and will be responsible for all aspects of organizational design required for implementation, and administration of Learning, Enablement and Communications programs in EMEA This role will be focused on the continued growth of Lucid Motors by providing strategic, organizational, and operational support for the companys initiatives and overall performance as we expand into EMEA This role requires experience and proven performance developing strategic partnerships with executive stakeholders, conducting needs assessments, changing and introducing new systems and process, partnering globally to ensure consistency and efficiency and leveraging data insights to drive decision making It will be your role to balance longterm strategy and organizational planning with the ability to create and implement sustainable, scalable, actionable and measurable solutions and programs which are supported by all stakeholders Your understanding of all aspects of the business will be essential as a thought leader on strategic solutions to attract, engage, develop, and retain employees while aligning them with the organizations culture, strategies, and vision",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317976055?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D3b93381d1930%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcade8dd7fddd9dddadd8addfgadcaddffdd73dedcdcgfec3ddcg3e&urlHash=OVHj&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-enablement-manager-amsterdam-at-lucid-motors-2317976055?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
18,specialised services manager,LinkedIn,2318053473,EMEA Senior Operations Manager - Amsterdam,k9JHl+/3R0yLz8Lh0bInCw==,Lucid Motors,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Automotive', 'Retail']","Leading the future of luxury mobilityLucids mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience Working at Lucid Motors means having a shared vision to power the future in revolutionary ways Be part of a onceinalifetime opportunity to transform the automotive industryLucid is looking to hire a Senior Operations Manager for the launch and scaling of Lucid in EMEA This role will lead physical operations planning that allow us to bring the first cars to our customers in EMEA and ensure the service organization is created and optimized to support A successful candidate will be able to create partnerships with crossfunctional teams to influence decisions made whilst relentlessly delivering a world class operations, logistics and service organization",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318053473?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db696d04c684f%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdda8dd7fdda9adcaddgaddcgaddaddafdd83deccacafec3ddcg3e&urlHash=z7ys&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/emea-senior-operations-manager-amsterdam-at-lucid-motors-2318053473?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
21,specialised services manager,LinkedIn,2295960930,NL-Manager,u+rcQ0PrQeuzjh4+CEJ+7g==,Apple,"Amsterdam, North Holland, Netherlands","['Hospitality', 'Retail', 'Apparel & Fashion']","Summary, , Keeping an Apple Store thriving requires a diverse set of leadership skills, and as a Manager, youre a master of them all In the stores fastpaced, dynamic environment, you exhibit composure as you learn from each new challenge You build and inspire highperforming teams of unique individuals who deliver positive experiences for customers as they learn, shop, and get support Most importantly, you share the Apple vision with employees and customers, , , , , Proven ability to drive amazing customer experiences  and results  through team development, , Experience with diplomatically managing multiple commitments to customers, staff, and operations, , Ability to adapt to challenges while remaining calm in a constantly changing retail environment, , , , , As a Manager, youre responsible for inspiring your team to create ownership opportunities for customers on the sales floor Elsewhere, you guide the talent that provides technical support and training, while working in partnership with the business team And behind the scenes, you oversee operations such as inventory and visual merchandising You actively build your teams  hiring, training, and developing team members in all these disciplines and more Supporting Apple simplicity is a complex job, and you make it look easy, , , , ,  You have demonstrated leadership ability with proven experience in a customerfacing sales setting, ,  Crossindustry experience is welcome, ,  You have a passion for learning about Apple technology and products, ,  You read, write and speak English fluently, ,  You are flexible with your schedule Your work hours will be based on business needs",Full-time,https://www.linkedin.com/jobs/view/externalApply/2295960930?url=https%3A%2F%2Fjobs%2Eapple%2Ecom%2Fen-us%2Fdetails%2F114438116%3Fboard_id%3D17682%26cid%3Dscrape_re_nl_linkedin_nationwide_retail&urlHash=VU3j&refId=7ec2df7d-a960-4768-a582-fc213d2bd196&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nl-manager-at-apple-2295960930?refId=7ec2df7d-a960-4768-a582-fc213d2bd196&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
26,specialised services manager,LinkedIn,2307484805,"SENIOR MANAGER, STRATEGY AND M&A (m/f/d)",BeUSZdkpTw+ZfNtnQCv3TQ==,TE Connectivity,"Den Bosch, North Brabant, Netherlands","['Automotive', 'Consumer Goods', 'Human Resources']","At TE, you will unleash your potential working with people from diverse backgrounds and industries to create a safer, sustainable and more connected world, , Job Overview, , The Strategy and Industry Marketing function of TE Industrial business unit is responsible for ideation, development and championing of the business units highest potential organic and inorganic growth opportunities The team plays the role of trusted advisors to the executive team and plays a pivotal role in identifying and developing opportunities to achieve Industrial BUs vision on portfolio expansion and growth, through a combination of organic and inorganic efforts , , The Senior Manager, Strategy and MA will be a key member of this small team and will drive several initiatives in the teams charter, , , , , , , , Success in the role requires strong business acumen and strategic mindset, exceptional communication and presentation skills, ability to work seamlessly with leaders at multiple levels in the organization, and the skills and tenacity to achieve results without formal authority, In addition, successful candidate will have the following qualifications, experience and skills, , , The Senior Manager, Strategy and MA will be part of a small team of professionals with topnotch academic pedigrees and experience with some of the best global corporations and management consulting firms TE has an outstanding trackrecord of placing strategy talent in highimpact functional as well as operating roles across the company, , , , Values Integrity, Accountability,Teamwork, Innovation, , , , TE Connectivity is a 13 billion global industrial technology leader creating a safer, sustainable, productive, and connected future Our broad range of connectivity and sensor solutions, proven in the harshest environments, enable advancements in transportation, industrial applications, medical technology, energy, data communications, and the home With nearly 80,000 employees, including more than 8,000 engineers, working alongside customers in approximately 150 countries, TE ensures that EVERY CONNECTION COUNTS Learn more at wwwtecom and on LinkedIn, Facebook, WeChat and Twitter, , , , We offer competitive rewards  compensation Our commitment to our employees includes offering benefit programs that are comprehensive, competitive and will meet the needs of our employees",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307484805?url=https%3A%2F%2Fcareers%2Ete%2Ecom%2Fjob%2FDen-Bosch-SENIOR-MANAGER%252C-STRATEGY-AND-M%26A-%2528mfd%2529-NB-5222%2F676671000%2F%3Futm_source%3DLinkedInJobPostings%26utm_campaign%3Djob-slot&urlHash=SMyk&refId=f891ed90-932a-4eda-a510-28d16f1d38ab&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-manager-strategy-and-m-a-m-f-d-at-te-connectivity-2307484805?refId=f891ed90-932a-4eda-a510-28d16f1d38ab&position=1&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
35,specialised services manager,LinkedIn,2310013904,Senior Manager Operational Excellence - Customer Support,3tsgPiSPTuSkhGqBN0hIzg==,ASML,"Veldhoven, North Brabant, Netherlands","['Mechanical or Industrial Engineering', 'Nanotechnology', 'Semiconductors']","Introduction, Within the sector Customer Support CS the Operational Excellence and Quality OEQ team is responsible for all driving all activities around Operational Excellence, Quality, Continuous Improvement and Lean in the WW CS organization  5500 FTE, , The OEQ department has a mission to support worldwide CS in their drive to improve the maturity, efficiency andor quality of the Customer Support organization This is achieved by a collaboration in, , , , Setup, drive and institutionalize a mindset change to achieve operational Excellence within CS, Drive a program to transform our current business system in a business system, We create a significant impact on our performance S, Q, D, C, M and sustaining it through standardization, , , , , The Operational Excellence Key accountabilities, , Mindset changes  transform mindsets to maintain continuous improvement efforts beyond project activities and change their way of working to a Lean way of working Management and team coaching will be one of the means to achieve such mindset shift, , Problem solving leadership  contributes to the improvement of the whole operations value stream by participating in and driving problem solving sessions, , Knowledge transfer  trains and coaches ASML employees and management on Lean principles and behaviors, , Continuous improvements  identifies potentials for new improvements and drives these improvements through completion, , Drive for results  Team up towards delivery of CS Cost roadmap by organizing the cost roadmap, including realization of benefits, , Project leadership  codesigns and runs Lean transformations in specific areas, , , , Bachelors or masters degree with 7 years of experience in Manufacturing orCustomer Support eg line, engineering General understanding of technical topics through technical background or job experience, , , , Essential experience for this position, , , , Of additional value for this position, , , , , , , The holder of this position reports to the Director CS Operational Excellence  Quality, He or she has interfaces on many levels in the CS Apps organization eg Business Line Management team, Local management teams, Lean Experts etc,The Central Lean Competence center, Other Deployment leads, etc, , , , Please include recent CV and cover letter presenting a clear motivation on why you are interested in this role as well as what makes you a good candidate",Full-time,https://www.linkedin.com/jobs/view/externalApply/2310013904?url=https%3A%2F%2Fwww%2Easml%2Ecom%2Fen%2Fcareers%2Ffind-your-job%2F2%2F0%2F1%2Fsenior-manager-operational-excellence-customer-support-req20189%3Fppc%3DJBP-181&urlHash=33Mr&refId=f891ed90-932a-4eda-a510-28d16f1d38ab&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-manager-operational-excellence-customer-support-at-asml-2310013904?refId=f891ed90-932a-4eda-a510-28d16f1d38ab&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
37,specialised services manager,LinkedIn,2279313556,"Senior Manager, Project Delivery within Application Development",Jgz0Zt1vQfKPT99Rlet0bA==,Unisys,"Hoofddorp, North Holland, Netherlands",['Public Relations and Communications'],"We Believe in Better, , We are a global information technology company that builds highperformance, securitycentric solutions that can help change the world Enhancing peoples lives through secure, reliable advanced technology is our vision, , At Unisys, we believe in better Here, you have the opportunity to learn new skills, apply your expertise, and solve complex problems with cutting edge technologies and solutions You are part of a global diverse team that supports you, drives change, and delivers successful results consistently, , Our associates are at the forefront of everything we do, driving our clients successes while giving back to communities and making this world a safer and more secure place to live and work Our success is a direct result of the work of our people who live and breathe our  Simply put, we believe in better lives Join us, , Learn more about Unisys and our key solution offerings , , ,, , What success looks like in this role, , Unisys works with various public sector agencies across the world to drive organizational changeintegrating departments and agencies to enable faster and more accurate decisionmaking while enhancing productivity and efficiency Through our innovative solutions, our public sector clients are better positioned to deliver improved results for citizens and nations in the digital era, , , , Via this assignment, you will be part of longterm cooperation within our expanding Dutch public sector client portfolio, , PL Management, , , Project Management and Service Delivery, , , Client Relationship Management, , , People Management, , , Business and Industry Skills, , , Advanced experience within a managed services business, , Average 10 years of professional service experience managing a service line, , University degree or equivalent education and experience, , Active participation in professional associations, etc, , Experience in leading an application development project is a must, , Experience with managing a PL up to 5M in services value and leading a span of 3550 associates direct andor matrixed",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279313556?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F4a4b83ee-a531-4d98-b74a-84249b0d2971%3Fjid%3D08e3b80faa3260d2d4b51cd866e0bd207a5d54332b1134c6cb9ac9bc22a2e85b%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=MptP&refId=f891ed90-932a-4eda-a510-28d16f1d38ab&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-manager-project-delivery-within-application-development-at-unisys-2279313556?refId=f891ed90-932a-4eda-a510-28d16f1d38ab&position=12&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,20/11/2020,30/11/2020
