Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
2,sport,LinkedIn,2234211688,Research Analyst Sports,fuaUXaV+R7OW4InIaJxpxg==,Nielsen,"Diemen, North Holland, Netherlands",['Market Research'],"ABOUT THIS JOB ,  In this role, youll be responsible for market research projects in Belgium and the Netherlands from start to finish Youll work on writing research proposals, create questionnaires, conduct quantitative research studies, translate data into valuable insights, and present the results and recommendations to our clients in the sports industry ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2234211688?url=https%3A%2F%2Fjobs%2Enielsen%2Ecom%2Fjob%2FDiemen-Research-Consultant-Sports%2F688567600%2F%3Flocale%3Den_US&urlHash=z-wo&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/research-analyst-sports-at-nielsen-2234211688?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
3,sport,LinkedIn,2243555051,Market Research consultant - Sport,lTRAwmEARvyx5iTT2ESIlA==,Nielsen,"Diemen, North Holland, Netherlands",['Market Research'],"ABOUT THIS JOB ,  In this role, youll be responsible for market research projects in Belgium and the Netherlands from start to finish Youll work on writing research proposals, create questionnaires, conduct quantitative research studies, translate data into valuable insights, and present the results and recommendations to our clients in the sports industry ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2243555051?url=https%3A%2F%2Fjobs%2Enielsen%2Ecom%2Fjob%2FDiemen-Research-Consultant-Sports%2F688567600%2F%3Flocale%3Den_US&urlHash=z-wo&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/market-research-consultant-sport-at-nielsen-2243555051?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
4,sport,LinkedIn,2234244999,Market Research consultant - Sport,jM5waAADQqugvJOIN6RCeA==,Nielsen,"Diemen, North Holland, Netherlands","['Market Research', 'Management Consulting']","Market Research consultant  Sport  74328, , About This Job, , In this role, youll be responsible for market research projects in Belgium and the Netherlands from start to finish Youll work on writing research proposals, create questionnaires, conduct quantitative research studies, translate data into valuable insights, and present the results and recommendations to our clients in the sports industry, , Nielsen Media Sports is the premier data provider for brands, teams, federations, events, and agencies in sportsNielsen allows businesses around the world to better understand and connect with their audiences and customers through media, sponsorship, communication, and experiential platforms We can do that because weve been watching and listening to fans and their behavior for more than 30 years, , , , , , , , , , As the arbiter of truth, Nielsen Global Media fuels the media industry with unbiased, reliable data about what people watch and listen to To discover whats true, we measure across all channels and platformsu2060from podcasts to streaming TV to social media And when companies and advertisers are armed with the truth, they have a deeper understanding of their audiences and can accelerate growth, , Do you want to move the industry forward with Nielsen Our people are the driving force Your thoughts, ideas, and expertise can propel us forward Whether you have fresh thinking around maximizing a new technology or you see a gap in the market, we are here to listen and take action Our team is made strong by a diversity of thoughts, experiences, skills, and backgrounds Youll enjoy working with smart, fun, curious colleagues, who are passionate about their work Come be part of a team that motivates you to do your best work, , Regular, , Diemen , North Holland",Full-time,https://www.linkedin.com/jobs/view/externalApply/2234244999?url=https%3A%2F%2Fjobs%2Enielsen%2Ecom%2Fjob%2FDiemen-Research-Consultant-Sports%2F688567600%2F%3Fsrc%3DJB-10001&urlHash=rhKp&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/market-research-consultant-sport-at-nielsen-2234244999?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
6,sport,LinkedIn,2325401281,Sport Facility Manager - Amsterdam Metropolitan Area,eI8qHnPfSMagxO0AzZ7oUQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Recruit employees, , Implement operational business plans, , Promote equality in sport activities, , Handle customer complaints, , Coordinate events, , , , Experience of having worked in a similar role, , Good communication, cooperation and team working skills, , Openness and interest in learning and developing, , Excellent time management and organisational skills, , Strong motivation and open and positive attitude",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325401281?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D153dc91fcbd3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddb8dddfadc9addadd7addfgadaaaddfade3aeccdcdfec3ddcg3e&urlHash=_Lo3&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sport-facility-manager-amsterdam-metropolitan-area-at-talent-2325401281?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
7,sport,LinkedIn,2327031136,Supply Chain Coordinator,Wzp5VFxxSUqGeAzMkFbIHQ==,REVIT Sport International,"Oss, North Brabant, Netherlands","['Apparel & Fashion', 'Sporting Goods']","WHAT CAN YOU EXPECT FROM US, , REVIT is a global player, literally and figuratively We dont just sell our products in over 70 countries, but we also work together with suppliers and manufacturers from all over the world That means that were faced with some complex logistical processes",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327031136?url=https%3A%2F%2Fwww%2Erevitsport%2Ecom%2Fgb_en%2Fabout-revit%2Fworking-at-revit%2Fsupply-chain-coordinator-en%2F&urlHash=bBko&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supply-chain-coordinator-at-rev-it%21-sport-international-2327031136?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
9,sport,LinkedIn,2326075783,Influencer Executive,78lgZPWKSR2S8ZHZLKsaww==,Jd Sport,"Aalsmeer, North Holland, Netherlands",['Telecommunications'],"The purpose of this role is to increase brand awareness and growthengagement of social media channels using influencer marketing strategies This will involve coordinating the successful implementation of the JD France social media influencer program Day to day tasks will involve managing influencer relationships, seeding of contentproduct, organisingattending of influencer events and collaberation on campaigns Agreed weekly KPIs will be reported on to monitor the success of ongoing influencer activity Feedback on campaigns should be given and suggestions drawn on experience be provided Help formulate a strategic social media influencer strategy to increase brand awareness, social engagement, follower growth and website traffic Identify, locate and engage with key social media influencers Maintain database of influencers Updating of gifting log and accurate record keeping of daily items sent Running of competitions in collaboration with influencers Seeding out of JD France created content appropriately across the influencer network Managing the gifting delivery process to ensure accurate, timely and efficient arrival of products Accompanying influencers to events and ensuring JD France message is pushed Working closely with the wider Global Influencer department to ensure alignment across activations Establish and track KPIs and best practices for performance evaluationWere looking for a French Influencer Executive  JD SportsFor our MultiChannel team we are looking for an French Influencer Executive t Are you interested in this great opportunity Apply via the button below  Expert knowledge about all aspects of influencer marketing Ability to help plan and run regular influencer events Experience working with a buying department on seeding product to key social influencers Development of networks that appeal to multiple consumer targets around key interests and shopping behaviours Involvement handling influencer contracts and relationships Working with third party brands on key influencer campaigns Fluent French and English",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326075783?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fedb76d7c-e7dc-49a4-9fe6-52ac8258dc8a%3Fjid%3Ddd86e3005a114d173da9e4c26efcebd54d09d280a11d278247182f8e2a3e1f39%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=2HMd&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/influencer-executive-at-jd-sport-2326075783?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
10,sport,LinkedIn,2321549824,Sport Facility Manager,AQffTKQySza3h8Aip1FoMA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Recruit employees, Implement operational business plans, , Promote equality in sport activities, , Coordinate events, , , , Experience of having worked in a similar role, , , Openness and interest in learning and developing, , Excellent time management and organisational skills, , Strong motivation and open and positive attitude",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321549824?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F883e3cf4-94c4-4d09-9429-2a5e3945a801%3Fjid%3D43adabc80b28e8a9f69c9595f9d271fb075642bda058d61dc410cc7d37d3c7ec%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=pnAD&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sport-facility-manager-at-talent-2321549824?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
14,sport,LinkedIn,2313245818,Publisher,GQ+d05QQRuqJjMgiOGIzoA==,Elsevier,"Amsterdam, North Holland, Netherlands","['Publishing', 'Research', 'Information Technology and Services']","Publisher, Geochemistry and Planetary Science Journals, , For the Global STM Journals department, Elsevier is looking for a Publisher to manage our Geochemistry and Planetary Science Journals portfolios, based in Amsterdam, London or Oxford",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313245818?url=https%3A%2F%2Frelx%2Ewd3%2Emyworkdayjobs%2Ecom%2FElsevierJobs%2Fjob%2FAmsterdam%2FPublisher--Geochemistry-and-Planetary-Science-Journals_R11833%3Fsource%3DLinkedin&urlHash=0IXR&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/publisher-at-elsevier-2313245818?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
16,sport,LinkedIn,2326385475,Recreation Policy Officer,p0Yt2daCQrydVPoi0hDr+Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Telecommunications'],"Job Context  Duties, , Advise on legislative acts, Promote sport activities in public health, , Manage government policy implementation, , Maintain relationships with government agencies, , , , , Good interpersonal and communication skills, with customer service orientation, , , Ability to work autonomously, , Experience of having worked in a similar role, , Experience of working effectively in an international or multicultural environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326385475?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F420c9fc7-e113-4774-90ed-e5689f6f5fd1%3Fjid%3D44747ce9da0e0776927604e2e498a5894a272f4e355b1ef7cc688f6d0bf7e6f1%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=tzgX&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/recreation-policy-officer-at-talent-2326385475?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
18,sport,LinkedIn,2269428649,Customer Support Representative (20 hours per week),X7q7oJhlS9eYHWBnv0txNQ==,OneFit,"Amsterdam, North Holland, Netherlands",['Sports'],"Spread the Sweat and Joy lifestyle, OneFit motivates people across the Netherlands to enjoy working out Our platform connects members by providing them with a diversity of the greatest workouts and local communities of inspiring people This way we enable members to live an active, healthy, and balanced lifestyle the Sweat and Joy lifestyle Because we believe in the Joy of breaking a Sweat",Part-time,https://www.linkedin.com/jobs/view/externalApply/2269428649?url=https%3A%2F%2Fjobs%2Eone%2Efit%2Fdetail%2F4954586002%2Fcommunity-success-representative-20-hours-per-week-dutch-speaker&urlHash=t5dX&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-support-representative-20-hours-per-week-at-onefit-2269428649?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
