Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date
storage,Indeed,pj_640b235f018db626,Medewerker magazijn,Global Ecommerce experts europe BV," De Hoek, Hoofddorp","Job Description – Warehouse employee @ Global E-Commerce Experts:Job DescriptionReporting to the management team, the Warehouse employee is responsible for completing day to day tasks in the warehouse, incoming/outgoing stock and long/short term storage of products, processing pick & pack orders and much more. In this role, you will be working closely with overseas clientele, technology products and require a basic level of technical ability.Responsibilities and DutiesKey responsibilities:· Loading/Unloading stock deliveries· Fulfilling orders for businesses/customers in the Netherlands and Globally· Picking, packing and despatching· Relabelling products· Processing returns· Perform general warehouse duties· Attention to detail· Team Player·Qualifications and SkillsEssential requirements:· Competent in using Microsoft Office and computerised inventory systems· Ability to work quickly but efficiently and able to follow health & safety procedures at all times· To be self-motivated and able to work unsupervised as well as working as part of a team· Effective time management skills· Willingness to learn and take new challenges· Natural aptitude for attention to detailDesirable requirements:· Previous Warehouse experience· Forklift and of reach truck licence· Strong verbal and written communication skills in Dutch and EnglishContractduur 7 maandenJob Types: Full-time, ContractSalary: €1,760.00 per monthWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0DIkEX5OV0YZfbV8h-YkEB6vXWi2EYtmZsQEt5BeH76LI4n4PGOKxm6tXV10rFHS1edJLASwX12UlNQJdrIh7i3rvGfabJGrs4p9qJpT9eeXuwGA4TxwaBddFmUsTU6xY1YpNg-yHVJu4ydhGZpBppCQiTD7pIjvjrxAicoqv_6O1dsDkz0p1pdM-WGW_FEMKjrXo9qQOsoDa4NvMmt8EAMM59LvrHP3wpP8BT7h-1dumTpSJ4LzYByyQDP3RowkiRCtwqcpwqh3IzTpJRwVvqcGQLJz4L9x8msD_u4cPPJIKCizYf4F_EtFTPq-oHB3fmCp5ncGaJUPDHk3f2SoulysnMBnaTjfY6kwdOnJ7UhIQZRyzjhiXpJel42sJGJwgB2j_1HxW-tEpBc1_aoBcDc3IRDqj149egoqhJLHUY1llbktwH1B3KUH8wJ8D_mVKDMbxTxW37d9g==&p=0&fvj=1&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,pj_3840207dda1ade2e,Data Warehouse / BI Developer,Adthority BV, Amsterdam Centrum,"Data Warehouse/BI DeveloperJob DescriptionAs a Data Warehouse/BI Developer you will work on all layers of our Business Intelligence Architecture. Your primary responsibilities will be improving our ETL pipelines, implementing and maintaining a Data Warehouse, looking for opportunities for automation, and contributing to the development of our downstream BI applications (forecasting, reporting, dashboarding, etc.). Please note that we are looking for an experienced (2-5 years) developer who will be hired at the same level as the current lead data analyst.For this position it is important that you have a solid understanding of software engineering best practices and experience with creating unit tests, version control, and similar tools. Your ability to produce insightful analysis is, of course, important but secondary to your ability to develop well-tested and reliable code that solves technical debt.About usWe are an affiliate marketing network focused on the casual dating segment. Our business model focuses on working with affiliates to drive traffic to our own in-house websites. Familiarity with this industry or e-commerce in general is not a pre-requisite for this position, but will be advantageous. We are an international (6 nationalities and counting…) team of business developers, analysts, account managers, and accountants. We offer semi-flexible working hours with, eventually, the opportunity to from home on a part-time basis. Our office is located in a Spaces office building in the heart of downtown Amsterdam. Participation in Friday happy hours and bonding with teammates is highly-encouraged!Technical DetailsOur tech stack uses MariaDB for data storage, SQL/Pandas for data manipulation & analysis, and Plotly/Dash for visualization and application development. Experience with several of these tools will be highly valued in the selection process. Python and application development expertise, in general, will also be highly sought after.Tech Skills:· Python (Pandas/Plotly/Dash)· SQL (MariaDB/MySQL experience preferred)· SWE skills (Debugging/Unit-Testing/Git/OOP)Further Details- Travel allowance if necessary- Contract Type: Full-time, TemporarySalary: €3,000.00 - €3,500.00 per month (based on experience)Soort dienstverband: Fulltime, Bepaalde tijd, Onbepaalde tijdSalaris: Vanaf €3.000,00 per maandAanvullende betalingen:VakantiegeldArbeidsvoorwaarden:Flexibele werkurenReiskostenvergoedingVrijdagmiddagborrelWerk vanuit huisWerkschema:DagdienstThuiswerken:Tijdelijk vanwege COVID-19",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0AOmFXea51lLddfCSe0TZw6Ifi0bzoheCA3qx4h3XfnORdwMckhkftHDLpVNoO9-KAgI2BiJtpJqgwEKdnIAr_y0FSYL5zSmvo_pyfjVQDKuB4-oLGuhDygDfrGeRPktM8UWsr7SQ0ElCkWQYkAE2X860ml-_wENIstc-HjTekLDCDgSGNEOjTdJ0gsJOI2w0pSycfR55CXkaoivJIyi3EpG1wcgb3O3FQe8K1iS9vHbwdwtx2PwDGzqtAFmrTyGRO-IaikTLRUolMdGLBtkKfBVcOtUfELYWwpiZoxJtsnzSuAZPXGLAmniOmclfzVvLmXSf4NsRpNFSCQg1Iy5Jfy3kRUtSRRzOD3q325e7dgTCTdMD2Jv4qIdBsd1R75G9iwQ2ZHt4tEg0EIkoU_yPlEIndJKrj3quWl3X1r5w-XuPjqlxTAiDPcNhl-cSAqxP963vIEkgabvfHdcnnTHdP_&p=1&fvj=1&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,pj_de4a402979684831,"Internship Data collection,structuring and analysis",Bluegreen Energy BV, Amsterdam,"Industry Data Collection, Structuring and AnalysisBluegreen Energy, as an Energy Supplier currently in the UK, receives a lot of energy supply related data from various industry parties in the UK Energy market place. This data is of crucial importance as information source for critical processes, such as energy procurement decisions, financial settlements or contract negotiations.The data is received through many routes and is hard to process without structuring it. Example of data delivery routes are email distribution, website portals, invoice support attachments etc.The goal of the project is to:Define the data sourcesLoad and automate data storage into a datawarehouseStructure the data so it can be used in analytics and financial processesAnalyse data for variances, trends, etc (depending on the data type)The exact scope of the data sources and analytics requirement for this project is to be determined by order of priority, to be set in consultation with the Directors of Finance and Risk.The following examples are likely to be in scope:Spot and balancing settlement price data (half hourly prices) – building history database and use it for various risk analysis, trading decisions and creation of forward curves.Electricity and Gas meter rental data of 30+ different meter rental companies (MAPs), with cost data down to customer connection detail. Analysis of completeness, correctness of invoices and most importantly cost reduction opportunities.Elexon providing data needed for electricity settlement and other financial processes for UK suppliersGas Shipper monthly data (coming via external balancing partner Gazprom), containing detailed data on customer connection level needed for financial settlement and energy forecast processes.Requirements:You allow us to learn from your experiences/skills/competencesMin BSc level (HBO+)Fluent in English.Any other European language (as French, Spanish,German, Italian) is a preIndependent worker with high work ethicsHigh analytical skillsSelf-starter, eager and curiousYou are available at least for 4 – 6 months (4-5 days/week)Our offer:Amazing (learning) experience in Pan European start-up cultureGreat times with good facilitiesWork with experienced and ambitious colleagues in several European countriesInternship allowance of 400 EUR per month/full time basis and OV cardContractduur 6 maandenSoort dienstverband: Fulltime, StageSalaris: €400,00 per maandArbeidsvoorwaarden:ReiskostenvergoedingWerkschema:ma-vr",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CGVBUQR0ku0hFTXSCTJwYevqSyQkwgCTKdUDv5_I1DZh3PPrRZR988PXWhVQjFr15-0oUNwxqNuyNBAUwAAL99LQPT_NMR9QcBffRNXpRvwRafFWC5eZIcl7GFILhV13MfzMUBIP8JXOz5stDYG60CO_xpB2J-ZCDx6o2Bd-T92BCmGuGPrLeQk1NDC5SxAfs1dtXTdcpLNwvF58w7i23GZKlfzdNJ5AfMZcvd29KMRRPxqzxGFePAbnSQp9eWKy9TiC5uz84LnqoPOdWiwlBuFKhpFIkwg6SagR_bV8EKF-2wTfkVPxlpIWaKoMGXIRrTitrBjrKNQ3E5F9C7BbRKgHo0ClVPw7596n5pH2YVmeFGfrb2Hry1ptVmOQTuuG_lOAp9PGSUnyIu7-YHKIXapiiUDA8fzUTBmQVnxpKMwr0jfVCO6Og_qMWUswOT3NEToH1PAz3fWiHyTbjAFiLY1ARBddeiZ8A8IHyaIyQ4bQ==&p=2&fvj=1&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_022946ddcf4beb0f,Sales Assistant PRADA (m/f/x),Prada Netherlands BV, Amsterdam,"The PRADA Group is one of the world’s leaders in the design, production and distribution of luxury handbags, leather goods, footwear, ready-to-wear apparel, accessories, eyewear and fragrances. The Group owns some of the most prestigious international brands: PRADA, MIU MIU, Car Shoe and Church’s. Our traditional family business combines fashion and craftsmanship with art and architecture and thus sets trends.For our PRADA Store in Amsterdam we seek as soon as possible a reliable and motivatedSales Assistant (m/f/x)Tasks:Sales of our high-quality collectionsQualified customer service and customer loyaltyGoods storage and careCash deskProfile:Training in retail or equivalent trainingRelevant working experience, ideally in the luxury or premium sectorHigh affinity for luxury productsPositive charisma and hands-on mentalityFun in dealing with ambitious and international customersHigh sense of responsibility and teamplayingFluent language skills in Dutch and English expectedWe offer an interesting job in an international and dynamic environment. Please send your complete application including your salary expectations, the store you are applying for and your earliest possible starting date to:PRADA Netherlands B.V.Mr Bastian KruesmannFor more information about PRADA Group, please visit www.pradagroup.comWe ask for your understanding that we only consider online applications. Applications by post mail cannot be processed. Original documents will not be returned.Job Types: Full-time, PermanentEducation:PreferredLocation:Amsterdam (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Prada-Germany-GmbH/jobs/Sales-Assistant-Prada-022946ddcf4beb0f?fccid=11d9ebe36347b8da&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_68b2e08fd63c20e7,Merchandising Ops Coordinator,"Under Armour, Inc", Amsterdam,"Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.
Position Summary
The Merchandising Operations Coordinator will be part of the EMEA Merchandising Operations team, which defines, formalizes, and iterates on the regions Go To Market milestones, as it relates to the activities for Merchandising. The Merchandising Operations team is responsible for developing and improving all aspects of the tools, activities, and outputs for the Merchandising function and plays a critical role in ensuring the connectivity between the other functions in the regions. The team works cross-functionally with Merchandising, Marketing, Planning, Sales, Global teams to ensure that clear communication exists and appropriate, timely decisions are made regarding samples, assortment changes, product status, systems and reporting.
Essential Duties & Responsibilities
Essential Duties and Responsibilities include the following. Other duties may be assigned.
Drive expertise in all systems that impact Merchandising, support in managing product information like Pricing, in our systems and maintain accurate data throughout the season, specifically Trasix (US Master Data).
Work closely together with functions like Fiance and Sales Operations to make sure we have the correct Pricing at all times in our systems for several pricing converversions.
Suppport the Merchandising Operations function with reporting and building complex Excel templates and develop excisting tools/ reporting further.
Help drive the creation and alignment of the weekly Line List process and understand the flow of the information and the impact for other functions.
Assist in sample ordering, sample organization, showroom and Merchandising Storage room.
Support in the deliverables for Directive Assortments coordination and Sales Tools.
Aid in creating go-to tools for the department and future on-boarding of new employees.
Qualifications (Knowledge, Skills & Abilities)
Qualifications To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
Bachelor’s degree or a minimum of 1-2 years work experience in a relevant role within Operations, Finance, Business Planning, Fashion or Sports.
An Excel wizard, who enjoys developing excisiting tools further.
Analytical skill, able to work with BI.
Experience with Pricing conversion tables.
High sense of urgency and accuracy.
Ability to handle multiple projects simultaneously and to deliver projects and results within timelines.
Strong verbal and written communication skills. The ability to present information in a clear, concise and complete manner.
Self-starter, enthusiastic, innovative and collaborative attitude.
Ability to be part of a team, set challenging standards, develop strong partnerships, and lead others to action.
Preferrably familiar with Merchandising deliverables and terminology.
Education And / Or Experience
Other Requirements
Relocation
Under Armour is an Equal Opportunity Employer and we are committed to diversity in the workplace. We encourage qualified diverse candidates to apply. Under Armour does not discriminate against any candidate on the basis of race, gender, disability, religion, national origin, age, or any other protected category.
The collection and use of personal data about applicants for employment is essential for conducting the business administration and business operation of Under Armour, Inc. (“Under Armour”) and those of its subsidiaries and affiliates. Under Armour’s overseas subsidiaries in the European Economic Area collect personal data about applicants for employment and may transfer such personal data to Under Armour in the United States in accordance with the terms of its Data Privacy Policy. Full details of Under Armour’s Data Privacy Policy are available at https://careers.underarmour.com. Under Armour has certified that it complies with the EU-US Privacy Shield Framework Principles with respect to safeguarding and transferring personal data it receives about Under Armour employees in the European Union. Further details about the Privacy Shield Framework and the list of certified companies are available at www.privacyshield.gov.",-1,-1,https://indeed.nl/rc/clk?jk=68b2e08fd63c20e7&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=d96739156169562e&assa=7689,https://nl.indeed.com/vacature-bekijken?jk=68b2e08fd63c20e7&fccid=f5d526c81b4033de&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_f1d0a0045a779bb2,Stockroom Assistant,I Heart Studios Creative Image Solutions, Amsterdam,"Job Description
I Heart Studios is looking for Stockroom Assistants to join our team in Amsterdam for a period of 3 months. The Stockroom assistant ensures clients stock is received and managed with the utmost care.
Main duties and responsibilities:
Manage all deadlines.
Accurate recording of the receipt, storage and use of all samples using our in-house workflow software.
Responsibility for the care of all stock.
Ensure efficient and cost effective management of couriers.
Communicating with couriers on a daily basis.
Accepting incoming goods, packing/unpacking items.
Checking stock in and out, using in-house workflow software.
Skills and Experience Required
Previous stock flow experience.
A passion for our client’s products and crucially for always exceeding internal and external customer expectations.
Numerate with strong computer literacy.
Excellent organisational skills and an eye for detail.
Proven ability to work to strict deadlines.
Ability to identify problems, demonstrate use of initiative and implement appropriate solutions.
Excellent communication skills.
Flexible, self-motivated, enthusiastic and driven.
What we offer
A full time position with a contract for one year, with possible extension to an indefinite contract, at a fast-growing photography studio in Amsterdam.
Work with some of the biggest and best known fashion brands in the world.
A young, motivated and international team of fashion lovers!
Travel expenses, depending on your home-work distance.
Lots of possibilities for growth and personal development.",-1,-1,https://indeed.nl/rc/clk?jk=f1d0a0045a779bb2&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=65da358559ccc3b4&assa=9132,https://nl.indeed.com/vacature-bekijken?jk=f1d0a0045a779bb2&fccid=f1b603f6d41b5a3d&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_f54c0b9b7af90130,"Analyst, Dealer",MUFG, Amsterdam,"Would you like to work for one of the World's largest banks in an exciting, dynamic and international environment?
We are currently looking for an Analyst, Dealer for our Treasury Division in Amsterdam.
MUFG Bank Europe N.V. (MBE) is a fully-owned subsidiary of Mitsubishi UFJ Financial Group (MUFG), one of the largest ranked Financial Groups in the world in terms of assets. A world-class set of businesses and more than 180,000 employees in 50 markets. MUFG offers stability in an ever-changing market, providing services to high-profile clients worldwide.

For more than 50 years MBE offers commercial banking services to both Japanese and non-Japanese corporate customers in The Netherlands and, through its branches, in Central and East Europe. The goal is to be among the top performing foreign-owned banks operating in The Netherlands, providing value-added banking services and excellent operations, fulfilling both Japanese and non-Japanese customers' needs.
The MBE subsidiary based in The Netherlands is a growing network of branches, managed from Amsterdam.

Our vision? To become the world’s most trusted financial group. You’ll help us achieve it.
Purpose of the function
To enter the loan and deposit transactions for both customers and interbank into the system.
To comply with the regulatory requirements and head office. rules and regulations in daily operation liaised with other Divisions.
To communicate with customers, branches, interbank and offices of the MUFG Bank group.

Essential Functions and responsibilities;
Accurate customer treasury business execution and process relevant business administration.
Dealing with customers, branches, interbank and offices of the MUFG Bank group.
To initiate and trade positions within notified trading limits to achieve personal or team income target.
Identify new deposit business opportunities through attraction of new customers or cross-sales to existing customers
To record and monitor trading positions and ensure these are within the Bank's stated credit limits for counter parties.
To be fully aware of the risk weighting factors used on MBE’s assets and to take these factors into consideration during day to day trading.
To understand I/S rate rule to provide our branches and corporate customers to facilitate the funding of the Bank's lending activities.
To assist and help in controlling the daily cash flow movements on MBE’s Nostro accounts in order to make efficient use of funds, preventing unnecessary high debit of credit balances.
Ensure compliance with the Bank’s rules, policies, procedures and guidelines together with all relevant regulatory and statutory requirements.


Education

This function requires HBO working level


Functional/Technical Skills and Knowledge requirements:
Knowledge of the (intra-)departmental work flows and processes, of the products offered by our Front Office and of the applicable internal and external legislation.
Knowledge and understanding/experience of/with the bank's credit and market risk business, policies, rules and guidelines.
Knowledge of and experience with automated database storage and processing and desktop IT skills.
The Treasury Analyst keeps his/her knowledge and skills up-to-date by reading internal bulletins regarding his area and by external or internal education.
Verbal and written communication skills in English are essential and communication skills in Japanese and other languages are also appreciated.",-1,-1,https://indeed.nl/rc/clk?jk=f54c0b9b7af90130&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=2ddb31f8e790a400&assa=784,https://nl.indeed.com/vacature-bekijken?jk=f54c0b9b7af90130&fccid=3b98171e4a0fd997&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_29c8950b92b2e397,Lead Inventory Planning,"Under Armour, Inc", Amsterdam,"Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.
Position Summary
As an expert in the areas of inventory planning and operations management, you will be responsible for the strategic and operational elements of creating and executing inventory plans that support Under Armour’s goals.
Gross to Net will be one of the key pillars and for this you will work closely with internal customers as Finance and Sales. Critical is also to achieve alignment on Inventory reporting, strategies, goals and S&OP topics.
You will also drive the creation of the Inventory planning department and develop and optimize tools, systems, and processes that enable greater operational efficiency, accuracy, and utilization of assets.
Recommend strategies to maximize sales, profit, turn, and customer satisfaction, including process and systems improvements.
Essential Duties & Responsibilities
Essential Duties and Responsibilities include but are not limited to the following:
Analyzing the inventory on hand and WIP to provide input to demand planning to safeguard inventory requirements.
Responsible for alignment on inventory projections through ownership on reporting and communication across Sales, Finance and Supply Chain. Providing contribution to S&OP through actionable Inventory and Supply reporting. Updating Global templates on inventory (planned and Confirmed PO’s), regional inventory simulator and DFC dashboard.
Creating reporting & full transparency on allocated & excess inventory on hand and WIP. Leading all actions to control Excess inventory, including monthly meeting.
Collaborating with retail planning to safeguard/manage excess & closeout needs.
Working aligned with Sales operations and Logistics on managing Inventory levels within given parameters, mainly focused at optimizing warehouse capacity on workload and storage capacity.
Analyzing the returns and cancelations and providing input for the overall buy strategy
Oversee the development of inventory purchase and flow strategies
Challenging contract volumes on a regular interval and focusing on reducing the overall contract business.
Managing the airfreight process for total Europe. Full owner of the airfreight budget and monthly alignment with management.
Analyzing the ATS and actively contacting sales planning and business planning to promote and push the sales of the specific inventory.
Optimizing activities and processes to provide sales maximum product availability.
Inventory planning & communication
Qualifications (Knowledge, Skills & Abilities)
Technical Attributes of Ideal Candidate: include but are not limited to the following:
Bachelor’s Degree
4+ years of related experience and a passion for international business
Experience with forecasting, buying and inventory planning and control processes
Advanced Excel level skills - formulas, formatting, pivot tables.
Familiar with manufacturing & supply processes within an ERP system
Strong communication skills - clear, concise, and accurate communication is imperative
Proven track record of information seeking, analytical skills, resolving complex business issues and making sound decisions
Self-motivated and works well independently and under supervision in a team environment
Must have good negotiating and influencing skills and ability to resolve conflict and multiple priorities
Experienced in wholesale footwear, apparel, or equipment organizations preferred
Education And / Or Experience
Other Requirements
Relocation
Under Armour is an Equal Opportunity Employer and we are committed to diversity in the workplace. We encourage qualified diverse candidates to apply. Under Armour does not discriminate against any candidate on the basis of race, gender, disability, religion, national origin, age, or any other protected category.
The collection and use of personal data about applicants for employment is essential for conducting the business administration and business operation of Under Armour, Inc. (“Under Armour”) and those of its subsidiaries and affiliates. Under Armour’s overseas subsidiaries in the European Economic Area collect personal data about applicants for employment and may transfer such personal data to Under Armour in the United States in accordance with the terms of its Data Privacy Policy. Full details of Under Armour’s Data Privacy Policy are available at https://careers.underarmour.com. Under Armour has certified that it complies with the EU-US Privacy Shield Framework Principles with respect to safeguarding and transferring personal data it receives about Under Armour employees in the European Union. Further details about the Privacy Shield Framework and the list of certified companies are available at www.privacyshield.gov.",-1,-1,https://indeed.nl/rc/clk?jk=29c8950b92b2e397&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=b110d55628267443&assa=2018,https://nl.indeed.com/vacature-bekijken?jk=29c8950b92b2e397&fccid=f5d526c81b4033de&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_abef08454a1cc7c4,Communication & PR Intern ( under Internship agreement ONLY),Cartier, Amsterdam,"Reference Code: 28849
Communication & PR Intern ( under Internship agreement ONLY)
Amsterdam, NH, NL
Trainee/Intern
The story of Cartier is founded on audacity and passion. For more than 170 years we have embraced a bold, pioneering spirit that continues to inspire our teams across all Métiers from our boutiques to our workshops and corporate offices. Our 7,500+ colleagues of 90 nationalities are united by a shared independent spirit and commitment to excellence, striving to continuously enrich our Maison’s heritage by pushing the boundaries of creativity.
Are you interested in finding what makes the highest luxury brands really shine? Join us and grow further with Cartier!
What unites us all is the quality over quantity mindset, passion for representing the highest quality and the impact that we have on people`s lives, helping them to create lasting memories with their loved ones.
Join us in our historic building on Herengracht and grow into a high-end client specialist.
Please note that only the applications under an intersnhip agreement with a university will be considered.

WE WELCOME
A passionate dynamic enthusiast who would love to learn more about true luxury and quality of our products.
You are within your third or higher year of studying in the marketing field and full-time available and are looking for meaningful work with interesting projects within a well-established company and brand.
With your excellent knowledge of English and optional French, you will be helping our team with various tasks to support our worldwide operating brand. You can support us by creating purposeful presentations with the help of powerpoint, the knowledge of photoshop and illustrator would be considered a plus.
You are a team player, sociable, autonomous and proactive and you know how to work under pressure? Then this internship will be your opportunity to develop yourself into the pr and communication expert.

KEY RESPONSIBILITIES
Under the responsibility of the Communication and Public Relations Manager. You will assist on a daily basis the 4 members of the team and will participate in the following activities:

Communication department:
Help the communication members to follow-up the communication budget
Create purchase orders and work together with the local finance team.
Control of the PR & events storage
Coordinate the shipments (sending and receiving) for the department
Create presentations (PowerPoint)
Help the communication members to do expenses reports (Concur)
Help with the organization of meetings

Public and press relations:
Send editorial materials to the media and follow up on the publications agreed upon with them (exclusive, strategic launches)
Make a weekly report of the best editorials from the Benelux and Scandinavia region
Coordination of photo shootings and editorial lending with the PR Manager
Update of press database (publishers and business contacts)
Monitoring publications for the region

Events:
Help the event coordinator in the organization of events
Update events database (suppliers, catering, new venues to do events…)

WE OFFER
a positive and professional environment where you will have a chance to build your experience with the commercial luxury market further
a chance to see how we promote new Cartier products and we will be happy to entrust you with your very own project to run
a great take-away for any intern who would like to have the overview and experience in dealing with professionalised client engagement and management
an attractive location right in the centre of Amsterdam
This is a paid internship + we also cover your commuting costs 100%",-1,-1,https://indeed.nl/rc/clk?jk=abef08454a1cc7c4&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=406c8d499120f24e&assa=3493,https://nl.indeed.com/vacature-bekijken?jk=abef08454a1cc7c4&fccid=bc128eeb6f779630&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
storage,Indeed,p_80f79182db22fd53,Industrial Refrigeration Call Center Technician,Hench Control, Amsterdam,"This position is perfect for someone looking to leverage their past experience in industrial refrigeration or a technical call center and apply it in a way that is cutting edge. You will be part of a team of in-house technicians that have designated accounts where you are responsible for analyzing and providing recommendations which will maximize their energy savings through our software programs. This will require strong verbal communication skills, being computer-savvy and analytical thinking. You will be the link and interface between our software programs and our customers. Compensation depends on experience. Prefer minimum of three years experience working as an operator or service technician with industrial refrigeration systems in any of the following types of facilities, processes or employers:
Food and Beverage Processing Plants
Cold Storage Warehouses
Industrial Refrigeration Equipment Manufacturer (Compressors, Condensers, Evaporators, etc.)
RETA Operator Certification
Refrigeration Trade School Graduate
Large Commercial Refrigeration Systems or Building System
New Systems Calibrations and Startups
...or working as a call center technician in a technical environment (not just reading off of a script).
Responsibilities:
In-House Technical Support
Energy & Operational Reports
Customer Service
Qualifications:
Must be Able to Handle Deadlines and Pressure
Must be Highly Proficient in Microsoft Windows and Office
Autonomous Mindset and Strong Work Ethic
Organized, Friendly and Good Communicator
Team Player
Quick Study
Sense of Humor
Position is based in Amsterdam, The Netherlands.",-1,-1,https://indeed.nl/rc/clk?jk=80f79182db22fd53&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=69c661b14491671f&assa=5105,https://nl.indeed.com/vacature-bekijken?jk=80f79182db22fd53&fccid=04870ec3fe30f441&vjs=3,2 dagen geleden,2 dagen geleden,2021-01-23
