,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,5,sale,LinkedIn,2301185757,Sales Manager Europe,ABprqniVTbWXMvjL09yvGA==,Arch  Hook,"Amsterdam, North Holland, Netherlands",['Retail'],Sales,"SALES MANAGER EUROPE, The Sales Manager Europe is an international management role, , What We Stand For, There are sustainable alternatives to source hangers, both from an environmental and a cost standpoint  A sustainable future requires ambition, leadership and commitment Arch  Hook aims to be the most forwardthinking hanger company, by shifting the world to sustainable hangers",Full-time,,https://nl.linkedin.com/jobs/view/sales-manager-europe-at-arch-hook-2301185757?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,11,sale,LinkedIn,2197147795,"B2B Sales Manager, Amsterdam",TS9l8QXZQY+efJHbmSZszg==,Management Events,"Amsterdam, North Holland, Netherlands","['Events Services', 'Management Consulting']",Business Development,"We are growing and looking for BtoB Sales Talents to join our familylike, energetic and ambitious team in the Amsterdam office, , B2B Account Manager, Management Events, Is your passion to boost sales processes and marketing actions for B2B service and solution providers by enabling them to reach the right prospects at the right time",Full-time,https://www.linkedin.com/jobs/view/externalApply/2197147795?url=https%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fk%3DApply%26j%3DoTlSZfwP%26s%3DlinkedIn%26loc%3DCwUhVfwm%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=_B5g&refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/b2b-sales-manager-amsterdam-at-management-events-2197147795?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,17,sale,LinkedIn,2243537810,European Sales Manager,aqcbakGLRSKhOFl9fOGaKA==,JBAndrews,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],Sales,"Role European Sales Manager, , Salary 90,000  100,000 Gross Basic Salary  Bonus  Company Car, , Location The Netherlands",Full-time,,https://nl.linkedin.com/jobs/view/european-sales-manager-at-jbandrews-2243537810?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,18,sale,LinkedIn,2309459942,Sales Manager,1wb9z3pZQ1GS7JJSb8ikXA==,Langton Howarth,"Amsterdam, North Holland, Netherlands","['Biotechnology', 'Alternative Medicine']",Customer Service,"My client is a dynamic and high growth manufacturer of game changing multiplex biomarker assays for tissue phenotyping and digital pathology , , They immediately seek an experience Sales Specialist for the UK  Ireland, Benelux  Nordic territory with excellent long term relationship building skills and an established contact network in the ImmunooncologyMultiplex immunofluorescence space",Full-time,,https://nl.linkedin.com/jobs/view/sales-manager-at-langton-howarth-2309459942?refId=27cbba62-3a69-4ca5-80bf-7cafc626b387&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,31,sale,LinkedIn,2219307783,Sales Consultant,zvcvR4kES6a90NIfnjEBZQ==,Growth Tribe,"Amsterdam, North Holland, Netherlands","['Education Management', 'Information Technology and Services']",Sales,"Are you looking to advance your career with a fast growing scaleup in the heart of Amsterdam Are you comfortable being surrounded by incredibly smart and driven people that push you to be better If youre looking for rapid career growth and a steep learning curve, read on",Full-time,https://www.linkedin.com/jobs/view/externalApply/2219307783?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fgrowthtribe%2Fd1baa87b-3ed9-46e0-87ad-7298c67d2ebc%2Fapply&urlHash=Of3T&refId=3647c646-1ea0-4081-8987-e58cf9fe8844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-consultant-at-growth-tribe-2219307783?refId=3647c646-1ea0-4081-8987-e58cf9fe8844&position=6&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,41,sale,LinkedIn,2301516998,"Product Manager, Digital Selling",YxFx3Mm7RX2J2pGjp7N/iw==,PVH Corp,"Amsterdam, North Holland, Netherlands","['Consumer Goods', 'Human Resources', 'Retail']",Product Management,"The Team, , The Digital Selling team sits within Digital Product, the department responsible for PVHs digital B2B buying and selling experiences The Digital Selling teams product portfolio covers the full endtoend process of digital wholesale selling eg Product Catalog, Digital Showroom and Order Intake We constantly look for ways to improve our users lives This means that our daytoday is working on better integration, technology, services and processes to continuously make the selling experience better for our users, , The Digital Selling team consists of two pillars Product  responsible for working closely with our users to ideate, design and build new features and products, and Operations  responsible for change management, launching, harmonization and continuation of our digital products across markets The Operations team consists of training  communication, Market Launch management and Product Environment oversight, , , , Youre passionate about solving customer problems with products that delight our users Your facilitating leadership style inspires Product Owners and the wider Digital Product team Together with the team, youll create a vision and strategy that steers product development and takes PVHs sales organization to the next level Beyond engaging with and influencing senior and Clevel management, your energy and drive brings teams together from across the organization Does this sound like you, , , , As Product Manager Digital Selling you will be working closely with our two digital selling Product Owners Together you shape opportunities for product innovation and you are a driving force for our global digital transformation, educating stakeholders on the product management process, while building a product management Centre of Excellence, , , , You will translate business strategy into product strategy, paving the way for the Product Owners in Digital selling to drive and deliver their product roadmaps, , , , You will collaborate with the Technology and Service and Processes departments to shape the Digital Selling ecosystem and processes You have experience in creating products that need to integrate with a corporate environment, and youre aware of the challenges this can bring You recognize that asking the right questions and challenging the status quo will drive simplification in the organization and allow your team to sense and respond faster to company and industry changes, , You will be working on one of the key strategic focus areas of PVH Digital B2B selling in a dynamic, young and ambitious team Your colleagues will come from all over the world, which makes the work environment very diverse and international",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301516998?url=https%3A%2F%2Fcareers%2Epvh%2Ecom%2Fglobal%2Fen%2Fjob%2FPVH1USR19459WDINTERNALENGLOBALEXTERNAL%2FProduct-Manager-Digital-Selling%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26sType%3DLinkedIn&urlHash=QKDa&refId=3647c646-1ea0-4081-8987-e58cf9fe8844&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/product-manager-digital-selling-at-pvh-corp-2301516998?refId=3647c646-1ea0-4081-8987-e58cf9fe8844&position=16&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,46,sale,LinkedIn,2218574446,Sales Manager,FJLyrweqTJCsk8Zu+ZuIHg==,SuperYacht Times,"Zaandam, North Holland, Netherlands",['Maritime'],Sales,"SuperYacht Times is an ambitious media and technology company in the luxury yacht business Based in Amsterdam, The Netherlands, we conquer the superyacht world with cool and innovative marketing, intelligence and technology solutions ",Full-time,,https://nl.linkedin.com/jobs/view/sales-manager-at-superyacht-times-2218574446?refId=3647c646-1ea0-4081-8987-e58cf9fe8844&position=21&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,69,sale,LinkedIn,2237172685,Sales Manager Netherlands,a6QEN93hRCGsM2t3RotrGg==,EUCHNER GmbH  Co KG,"Rotterdam, South Holland, Netherlands","['Electrical/', 'Electronic Manufacturing']",Sales,"EUCHNER is a family owned and operated enterprise with 800 employees and 20 subsidiaries around the world EUCHNERs task is to ensure Safety for humans, machines and processes For our subsidiary in Papendrecht, we are in search for a SALES MANAGER",Full-time,,https://nl.linkedin.com/jobs/view/sales-manager-netherlands-at-euchner-gmbh-%2B-co-kg-2237172685?refId=29a40957-4de0-4414-bde9-399f2c198276&position=19&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,71,sale,LinkedIn,2307842606,Sales manager Netherlands and Sweden,Z/4fqC0wR7mYqyhvraFqZQ==,ROIVENUE,"Amsterdam, North Holland, Netherlands",None,Information Technology and Services,"ROIVENUE is a marketing intelligence suite built to maximize ROI through datadriven attribution and integration Our solutions provide our clients with an unbiased and full view of their marketing investments It allows them to identify underperforming campaigns, address overinvested channels, and make decisions that maximize return on investment ROI ",Contract,,https://nl.linkedin.com/jobs/view/sales-manager-netherlands-and-sweden-at-roivenue%E2%84%A2-2307842606?refId=29a40957-4de0-4414-bde9-399f2c198276&position=21&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,72,sale,LinkedIn,2308355145,European Sales Manager Oil & Gas,nXEy27SwS1eCxLIR7HER5Q==,Emerson Automation Solutions,"Amsterdam, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Oil & Energy', 'Industrial Automation']",Sales,"We have a great opportunity to join the European Measurement Solutions Sales team as a European Sales Manager for the oil  gas industry As we increase our focus on accounts and industries to better serve our customers with a greater understanding of their process and needs, the European Sales Manager OG will lead the sales channel to deliver outstanding products and solutions to customers, , , The Measurement Solutions Sales Manager for Oil and Gas is responsible for delivering the bookings and sales targets for the industry vertical and crafting a longterm growth strategy to strengthen Emersons position in the industry across all MSOL product lines They will work closely with Product Management, Marketing and industry subject matter authorities to and act as a single point of contact for the business unit to drive industry growth programs through the sales organization, , , If you are keen leader and sales professional, ready to take on this challenge, we welcome you to join our team, , , , , , , , , , , , , , , , , You are passionate about making an impact and always act with integrity You continuously push yourself to achieve new goals and are not afraid to question the status quo by proposing creative solutions to problems , , , , , , By joining Emerson as a Sales Manager, you will be working at the heart of our business This means that the skills and business insight gained can serve as an invaluable foundation toward developing your career within our global organization We offer plentiful opportunities for advancement and support this through our formal personal development planning process, , , Our onboarding program uses a blended learning approach to get you up and running as quickly as possible You benefit from Emerson certified trainers with extensive knowledge of our customers, products and applications, , , Our global Women in Stem initiative gives you the opportunity to connect with local peers that share the same interest, to promote the diversity  inclusion and early STEM education and to benefit from professional development to access leadership opportunities Also, we are committed to maintaining a partnership with the Society of Women Engineers SWE, , , Our inclusive company culture celebrates the unique perspectives, diversity of thoughts, and outstanding innovation that come to life when we actively seek to hire and develop the best, brightest team members from all backgrounds These unique points of view help cultivate fresh thinking and new ideas, ensuring our continued success into the future, , , , , , Norway, , , , NetherlandsAmsterdamAmsterdam, France, Spain, DenmarkCopenhagenCopenhagen, ItalyLombardiaMilan, IrelandLeinsterDublin, PortugalLisbonLisbon, PolandMazovia ProvinceWarsaw, Czech RepublicPraguePrague, United Kingdom, AustriaViennaVienna, HungaryBudapestBudapest, BelgiumBrusselsBruxelles, Germany, Finland, , , , Sales, , , , Nov 27, 2020, 33805 AM",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308355145?url=https%3A%2F%2Femerson%2Etaleo%2Enet%2Fcareersection%2Fautosol%2Fjobdetail%2Eftl%3Fjob%3D20008167%26lang%3Den%26media_id%3D46825%26src%3DLinkedIn_Slots&urlHash=10lj&refId=29a40957-4de0-4414-bde9-399f2c198276&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/european-sales-manager-oil-gas-at-emerson-automation-solutions-2308355145?refId=29a40957-4de0-4414-bde9-399f2c198276&position=22&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
