,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Language,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,wholesale,LinkedIn,2324354370,Global Wholesale Marketing Manager,GAPpnPYpQ0KfgVNbX3sVSQ==,Scotch  Soda,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Apparel & Fashion', 'Retail']",Marketing,"We are looking for a talented Wholesale Marketing Manager to join the marketing team at Scotch  Soda We are looking for someone with experience in the fashion industry and with Marketplaces  Our Marketing team is responsible for all marketing initiatives across the brand, worldwide This includes, but is not limited to, activities within Wholesale including nation wide distributors, franchise stores , online pure players, department stores and specialty stores Our Marketing team is located at our beautiful canal facing office in Amsterdam, , , , As our Wholesale Marketing Manager you will be responsible for managing the global marketing activities within the wholesale network working with nation wide distributors, franchise stores , online pure players, department stores and specialty stores Responsible to create and maintain a strong liaison between HQ and regional marketeers as well as coordinate and manage those regional markets with regards to wholesale activity",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324354370?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D1b4d325016cf%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcadegddc7adc7dddcddeaddbgddgaddffdda3aedcacafec3ddcg3e&urlHash=CP3j&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/global-wholesale-marketing-manager-at-scotch-soda-2324354370?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
1,3,wholesale,LinkedIn,2324396620,Sales Representative Wholesale Netherlands m/w/d - Amsterdam,YfVUtx2cS761I4V6c9vpyw==,MARC OPOLO,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Retail', 'Luxury Goods & Jewelry']",Sales,"Your tasks, Independent support of the territory from sales, through the preparation of an annual plan, to sales with business management support for the customers, Creation of collection analyses and sales reports, Responsibility for purchasing and sales as well as merchandise and assortment management, , Your profile",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324396620?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D971c3e333206%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cdd9gddf7add7dddcadbadddgdddadddfdde3degcdcafec3ddcg3e&urlHash=DlDv&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-representative-wholesale-netherlands-m-w-d-amsterdam-at-marc-o-polo-2324396620?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
2,5,wholesale,LinkedIn,2324319540,Online Wholesale Sales & SEO Specialist,M/faiBWHSh2GyFNw0QjO9g==,Rituals,"Amsterdam, North Holland, Netherlands","['Internet', 'Retail', 'Financial Services']",Sales,"MAIN PURPOSE, , To further boost online wholesale performance An inviting role, because business is already booming, and we have the right propositions and tools in place to become even more successful in the digital domain Our groundwork includes a smart digital structure that strengthens every aspect of Rituals crossfunctional operations All we need to realise our online wholesale ambitions, is you That is, if you combine solid SEO and content creation skills with a lets achieve great content together attitude, , YOUR ROLE, , As Online Wholesale Sales  SEO Specialist you fulfil a highimpact position within Rituals Online Wholesale team You support Rituals teams at the head office and on location with bestinclass SEO strategies and content tactics to maximise organic traffic, , The environment makes this even more interesting we do not run a traditional webshop, but a multibrand ecosystem that our valued wholesale partners help create It is up to you to conceive and execute datadriven plans to boost the attractiveness, stickiness, and conversion rate of this platform And yes, all the usual SEO suspects are in scope Think visibility, onsite findability, and desirability You analyse the content and SEO value of brand storesproduct pages and recommend improvements and innovations that add value for Rituals customers and wholesale partners, and boost brand performance Once greenlighted, you implement those changes As for content creation you can fall back on the creativity of the Online Wholesale Specialist and our talented inhouse agency, but it is even better if you contribute relevant, engaging, and highconverting content yourself, , In order to maximise your impact as Online Wholesale Sales  SEO Specialist, you must also leverage partner tools and optimisation mechanisms A deep understanding of these tools and mechanisms will be your key to creating and implementing the winning 360 online growth plan Rituals envisions What sets the role apart, is that there is a second element to it SEO responsibilities aside, you will team up with and help key wholesale partners achieve their online growth potential Eg by sharing deep insights, by translating those into action plans, by aligning stakeholders, and by executing those plans SEO knowledge gets you far, but success in this role requires people and project management skills as well You need to closely cooperate with your counterparts at Rituals wholesale partners, ensuring we work toward shared goals, and constantly realign our plans After all, change is the name of the wholesale game In short, you support central and local teams to meet commercial online targets, in conjunction with wholesale partners and all other stakeholders that contribute to online marketing and growth initiatives, taking offline plans fully into account, , YOUR INGREDIENTS, , , WE ARE RITUALS, , Were not here to sell you beauty we are here to make you feel good Raymond Cloosterman, CEO Rituals, , We are a global brand, established in Amsterdam, The Netherlands, in 2000 Our ambition is to grow sustainably and become  and remain  the number one global luxury brand in cosmetics Today, Rituals operates in more than 730 stores, across 29 countries throughout Europe, Asia, the Middle East and North and South America with the aim to open 1000 stores by 2020, , By joining Rituals, youll get to experience a strong culture and entrepreneurial spirit which empowers you to create your meaningful career We care about the wellbeing of our staff, as much as we value the wellbeing of the planet By passionately looking after both, we believe we can pave the way to a more sustainable world and take appropriate action to limit our footprint on Mother Earth Youll have a strong sense of purpose at Rituals Our mission is to make people feel good and touch as many lives as possible Independent of your role, you will create a positive impact on our daily business, , BECOME PART OF THE RITUALS FAMILY, , If its you were looking for, please dont hesitate and send in your application Well be in touch soon, , Acquisition is not appreciated, , YOUR BODY YOUR SOUL YOUR RITUALS",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324319540?url=https%3A%2F%2Fcareers%2Erituals%2Ecom%2Fen-nl%2Fjobs%2Fonline-wholesale-sales-seo-specialist-amsterdam-3%2F&urlHash=9Uwc&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/online-wholesale-sales-seo-specialist-at-rituals-2324319540?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
3,6,wholesale,LinkedIn,2323876410,Sales Representative Wholesale Netherlands m/w/d,e9FaudOBShaqENIQUZTZuQ==,Marc OPolo AG,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Internet', 'Retail']",Sales,"Sales Representative Wholesale Netherlands mwd, , 01122020  Vollzeit  Amsterdam, , Your benefits, , Your tasks, , , , Your profile, , , , Your HR contact, , Verena Bosch  Human Resources, If you have any questions, please contact us via phone 49 8036 901852, , This is MARC OPOLO, , FOLLOW YOUR NATURE   Remain true to yourself The freedom to be yourself, flat hierarchies and a friendly team with a dynamic Scandinavian spirit define the working atmosphere at MARC OPOLO Be a part of the MARC OPOLO Story and get your career started with us",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323876410?url=https%3A%2F%2Fmarcopolo-career%2Etalent-soft%2Ecom%2Fstelle%2Fstelle-sales-representative-wholesale-netherlands-m-w-d_897%2Easpx&urlHash=GgjY&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-representative-wholesale-netherlands-m-w-d-at-marc-o-polo-ag-2323876410?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
4,8,wholesale,LinkedIn,2321553492,Wholesale Merchant in Beverages,XTjHqxIMTqumUyUnKZfHKg==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Import and Export'],Sales,"Job Context  Duties, , Maintain financial records, Negotiate buying conditions, , Negotiate sale of commodities, , Identify new business opportunities, , , , , The ability to deal with a range of tasks at the same time, , Analysis and problem solving Ability to identify the critical facts in difficult issues and develop creative and practical solutions, , Accuracy and attention to details, , , Drive for Results Ability to take personal responsibility and initiative for delivering high quality work",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321553492?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Faafc26f9-9d04-4e2e-8259-f18766225c6b%3Fjid%3D7ec44270b59277308b090d8ef23500e02434f2c983731d3122d9fd700cc71f2f%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=GHHd&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/wholesale-merchant-in-beverages-at-talent-2321553492?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
5,10,wholesale,LinkedIn,2324358872,Commercial Director,XHmAXOVZRD22FUB/fmwncA==,BALR,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Internet', 'Retail']",Sales,"Job Description, , BALR is hiring a Commercial Director for our headquarters in Amsterdam In this leading position youll play a crucial role in the success and global expansion of our brand Are you up for the challenge, , BALR is an international luxury lifestyle brand known for its highend fashion, travel products and accessories for men, women and kids The Netherlandsbased brand has created a complete range of highquality items that inspire to live the life of a BALR Founded in 2013 by Demy de Zeeuw, Juul Manders and Ralph de Geus, BALR is the embodiment of a modern lifestyle brand Aspirational, focused and insync with its young and ambitious audience, the company brings the luxurious lifestyle of extraordinary athletes within arms reach of everyone who works hard to live the dream, , , , Reporting to our CEO, Juul Manders, the Commercial Director at BALR is responsible for the development and execution of the overall commercial strategy of our brand Youll be acting as a true leader and inspirer for all disciplines who contribute to this success Its a crucial role in which youll directly manage the sales channels Ecommerce, Retail and Wholesale as well as inspire teams such as Content Next to the revenue growth objective you ensure these teams are aligned to reach our full global potential The total scope of this role is 3 direct and approx 100 indirect reports, , , , , , , , The Commercial Director is a strong strategist and an experienced brand builder Were looking for an entrepreneur who feels comfortable in a fast paced lifestyle and scaleup environment Its important youre a strong communicator whos able to act as an inspirer for the team and the Board Above all, youre a true believer in the Life of a BALR and the full potential of our brand, , , , Are you up for the challenge and would you like to join the ride Lets go",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324358872?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D3f26aace0464%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcadagdde7dda7adfcadfaaddgadbaddgfddc3deacdccfec3ddcg3e&urlHash=tjsD&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/commercial-director-at-balr-2324358872?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
6,13,wholesale,LinkedIn,2190015586,Sales Representative UGG Benelux,RrH8nvq1R5KKZNFMVRlA9w==,Deckers Brands,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Consumer Goods', 'Retail']",Sales,"At Deckers Brands we dont just create shoes, we create lifestyles We are about opportunity Opportunity to create, to grow and to have an impact We want all our people to be as successful as they can be, to reach their full potential, , , , We believe that the company you build is defined by the company you keep We believe that a diverse, inclusive culture drives creativity and success We believe that open hearts and minds together can unleash the potential of a brilliant mix of peoplein every corner of Deckers, We strive to create a workplace that values ALL people, where we embrace differences, and everyone feels empowered to bring their full, authentic selves to work Because the more perspectives we share, the better we can be, , The role will sell to, and manage, regional accounts within the territory for UGG, , You will be responsible for the longterm development of the accounts, profitable growth for the brand as well as building strong relationships with buyers This role will deliver the agreed targets through maximizing productivity of existing accounts and pursuing new account opportunities in line with brand distribution strategies, , Extensive travel and occasional overnight stays are expected throughout and across the regional territory, , , , You will manage and be accountable for the development of the wholesale business of UGG across a region of the Benelux Selling to customers in the region and coordinating the resources of Deckers Brands, , , , You are an organized and driven individual with an interest in fashion, looking to further develop or start your career in wholesale The perfect candidate will have an affinity with numbers, knows how to work with Excel and speak fluent Dutch, French and English You enjoy building relationships with both internal and external stakeholders and have a natural ability to partner closely with those you work with Also, a drivers license is a must",Full-time,https://www.linkedin.com/jobs/view/externalApply/2190015586?url=https%3A%2F%2Fdeckers%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FDeckers-Brands%2Fjob%2FAntwerp-Belgium%2FSales-Executive-UGG-Netherlands_9744%3Fsource%3DLinkedIn&urlHash=Dp9e&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sales-representative-ugg-benelux-at-deckers-brands-2190015586?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
7,16,wholesale,LinkedIn,2312307342,Commercial Director,wZdrGaj/RFiQSqjIj16soA==,BALR,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],Sales,"Job Description, , BALR is hiring a Commercial Director for our headquarters in Amsterdam In this leading position youll play a crucial role in the success and global expansion of our brand Are you up for the challenge, , BALR is an international luxury lifestyle brand known for its highend fashion, travel products and accessories for men, women and kids The Netherlandsbased brand has created a complete range of highquality items that inspire to live the life of a BALR Founded in 2013 by Demy de Zeeuw, Juul Manders and Ralph de Geus, BALR is the embodiment of a modern lifestyle brand Aspirational, focused and insync with its young and ambitious audience, the company brings the luxurious lifestyle of extraordinary athletes within arms reach of everyone who works hard to live the dream, , The role, , Reporting to our CEO, Juul Manders, the Commercial Director at BALR is responsible for the development and execution of the overall commercial strategy of our brand Youll be acting as a true leader and inspirer for all disciplines who contribute to this success Its a crucial role in which youll directly manage the sales channels Ecommerce, Retail and Wholesale as well as inspire teams such as Content Next to the revenue growth objective you ensure these teams are aligned to reach our full global potential The total scope of this role is 3 direct and approx 100 indirect reports, , Your responsibilities, , , , , , The Commercial Director is a strong strategist and an experienced brand builder Were looking for an entrepreneur who feels comfortable in a fast paced lifestyle and scaleup environment Its important youre a strong communicator whos able to act as an inspirer for the team and the Board Above all, youre a true believer in the Life of a BALR and the full potential of our brand, , , What we offer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312307342?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F2dc56fda-9802-4b32-aebb-ac10a8f68166%3Fjid%3D1e9c30ac8499e8b5c3f270479e2eafa6fbc163449f4e8ad936a30d57d3147bf4%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=sHEt&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/commercial-director-at-balr-2312307342?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
8,17,wholesale,LinkedIn,2319730877,Director Buying & Planning,tBOGlTgxSC6R9ieM2x/Qdg==,ASICS EMEA,"Amsterdam, North Holland, Netherlands","['Sporting Goods', 'Apparel & Fashion', 'Retail']",Strategy/Planning,"ASICS was founded to lift the spirits of the world through sport Thats why were called ASICS Its an acronym from the Latin phrase Anima Sana In Corpore Sano or a Sound Mind in a Sound Body Right from the very start, our founder, Kihachiro Onitsuka saw that sport and movement had the power to lift spirits, project positivity and propel people and whole communities forward We still believe this Our goal is to support more people to experience the positive mental benefits that sport and movement brings And we believe every one of us can make a difference So, when you join ASICS, you join a team who is working together to bring about positive change through movement Together, we are moving minds",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319730877?url=https%3A%2F%2Fcareer5%2Esuccessfactors%2Eeu%2Fsfcareer%2Fjobreqcareer%3FjobId%3D45263%26company%3DS003910448P&urlHash=c1TB&refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/director-buying-planning-at-asics-emea-2319730877?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
9,19,wholesale,LinkedIn,2301928554,JD.COM-Buyers and Vendor Managers-Netherlands Amsterdam,o2pDApI4SUOjf92mwPMLUw==,JDCOM,"Amsterdam, North Holland, Netherlands","['Internet', 'Supermarkets', 'Retail']",Purchasing,"At JDcom, our goal is to become the Worlds most trusted company JDers live by a simple set of shared values that define our company culture Customer First, Integrity, Collaboration, Gratitude, All In and Ownership We believe through technology we can create a more productive and sustainable worldand we want YOU to be a part of this",Full-time,,https://nl.linkedin.com/jobs/view/jd-com-buyers-and-vendor-managers-netherlands-amsterdam-at-jd-com-2301928554?refId=6a0f84a4-a42c-4e4c-9340-40daaa17ffc4&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,2020-11-23,2020-11-28,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,en,,,,,,,
