Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,accommodation,LinkedIn,2278081534,Bestuurssecretaresse (32-40 uur)INGEVULD,Dn7L7fLKTOa8eVpsTQgeUA==,FLEXSTAR,"The Hague, South Holland, Netherlands",['Public Relations and Communications'],"Secretaresse Uitzendbureau FlexStar Secretarieel Den Haag is voor directie en bestuur van een grote financile instelling op zoek naar een, , BESTUURSSECRETARESSE, , , Deze functie is ontstaan vanwege langdurige ziekte waarbij nu bekend is dat de huidige collega niet meer terug komt in deze functie, , Je kerntaak, ,  het secretarieel, administratief en organisatorisch ondersteunen van bestuur en directie, , ,  agendabeheer,  telefoon,  mailbox directie en bestuur,  het opstellen van correspondentie nav besluitvorming,  het notuleren van vergaderingen, bewaken deadlines,  projectbeheer,  opzetten van een bestuursarchief,  organiseren van meetings, boeken van accommodatie,  administratieve zaken, ,  HBO werk en denkniveau, , , Belangstelling, , Voldoe je 100 aan het profiel en ben je per direct of op korte termijn beschikbaar, mail dan snel je CV  motivatie naar onze vestiging in Den Haag",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278081534?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F5f3d066e-ad79-4a60-a62f-39bf0006c71e%3Fjid%3D82a95234868e561e18363d22dbf3ce955ac208cb4cd0ff5c49566ba479ff0d16%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=cG8g&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/bestuurssecretaresse-32-40-uur-ingevuld-at-flexstar-2278081534?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
2,accommodation,LinkedIn,2317935107,Nachtwaker Rosaburgh - Amsterdam,ryGIJubGQhqO6nT9g2p9hw==,Zorgenwelzijnplein,"Amsterdam, North Holland, Netherlands",None,"Over deze vacature, , Functieomschrijving, , Ben jij diegene die graag s nachts wil werken, , , Je vervult een begeleidende rol en bent gedurende de nacht verantwoordelijk voor de orde, rust en veiligheid in en rondom de accommodatie Dit doe je door het houden van toezicht en wijst zo nodig op de naleving van onze huisregels Soms kan het nodig zijn dat een bewoner een kort gesprekje met je heeft om zo weer rustig te worden Je treedt duidelijk op bij eventuele overlast of bijzonderheden en belt indien nodig de politie, brandweer enof een arts Je signaleert gebeurtenissen of bijzonderheden in de nacht en koppelt die terug aan het team dat overdag werkt Gedurende de nacht voer je huishoudelijke, licht technische en administratieve werkzaamheden uit Je neemt actief deel aan de teamoverleggen Ben je benieuwd naar jouw functie en toekomstige collegas klik dan hier",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317935107?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D16556bd6df9d%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddaeddb8ddbbdda9adeaadcgddaaadcfada3de7caccfec3ddcg3e&urlHash=-uGo&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nachtwaker-rosaburgh-amsterdam-at-zorgenwelzijnplein-2317935107?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
3,accommodation,LinkedIn,2298626506,Verkoop- en marketingspecialist,HwjAzMQjSnGfhv0YEhtHXQ==,Grenzelooswerk,"Amsterdam, North Holland, Netherlands",['Internet'],Ben jij toe aan een nieuwe stap in je carrire en lijkt het je gaaf om jouw marketing n sales skills in te zetten voor de grootste zoekmachine ter wereld Zoek jij meer uitdaging n wil je graag eens ontdekken hoe het is om in het buitenland te werken Start dan als sales expert in Portugal,Full-time,https://www.linkedin.com/jobs/view/externalApply/2298626506?url=https%3A%2F%2Fwww%2Egrenzelooswerk%2Enl%2Fvacatures-buitenland%2Fwerken-in-lissabon-marketing-sales-expert%3Futm_source%3DLinkedIn%26utm_medium%3Dvacature%26utm_campaign%3DGoogle-Sales&urlHash=c57F&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/verkoop-en-marketingspecialist-at-grenzelooswerk-2298626506?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
4,accommodation,LinkedIn,2279513134,Nachtwaker Rosaburgh,TryrsJ/VT7WnypKqhvYq6A==,Zorgenwelzijnplein,"Amsterdam, North Holland, Netherlands",['Legal Services'],"Over deze vacature, , Functieomschrijving, Ben jij diegene die graag s nachts wil werken, , Informatie, , Je vervult een begeleidende rol en bent gedurende de nacht verantwoordelijk voor de orde, rust en veiligheid in en rondom de accommodatie Dit doe je door het houden van toezicht en wijst zo nodig op de naleving van onze huisregels Soms kan het nodig zijn dat een bewoner een kort gesprekje met je heeft om zo weer rustig te worden Je treedt duidelijk op bij eventuele overlast of bijzonderheden en belt indien nodig de politie, brandweer enof een arts Je signaleert gebeurtenissen of bijzonderheden in de nacht en koppelt die terug aan het team dat overdag werkt Gedurende de nacht voer je huishoudelijke, licht technische en administratieve werkzaamheden uit Je neemt actief deel aan de teamoverleggen Ben je benieuwd naar jouw functie en toekomstige collegas klik dan hier, , Functieeisen, , , Arbeidsvoorwaarden, , Op basis van opleiding en ervaring word je volgens de CAO Sociaal Werk ingeschaald in schaal 4 Deze loopt van minimaal 1989, tot maximaal 2676, bruto per maand bij een fulltime dienstverband van 36 uur per week De CAO kent een vakantietoeslag van 8 en een eindejaarsuitkering van 8,3 en hecht veel waarde aan flexibiliteit Individueel Keuzebudget en persoonlijke ontwikkeling Loopbaanbudget, , Secundaire arbeidsvoorwaarden, , Opname in het Pensioenfonds Zorg en Welzijn Wij bieden mogelijkheden aan om jezelf te ontwikkelen zoals een eigen Leger des Heils Academie waar je trainingen kunt volgen Om meer te weten te komen wat wij jou kunnen bieden, klik hier, , Duur, , Aanstelling in eerste instantie voor bepaalde tijd Verlenging behoort zeker tot de mogelijkheden, , Informatie Sollicitatieproces, , Het liefst willen wij per 1 november 2020 onze nieuwe collega aannemen Goed om te weten is dat er twee sollicitatierondes zullen plaatsvinden, , Lijkt je dit wat, , We zien jouw sollicitatie met motivatie en uitleg van jouw christelijke levensovertuiging vergezeld van jouw curriculum vitae graag tegemoet via onze site voor 13 november 2020  Conform het wervings en selectiebeleid van de stichting Leger des Heils Welzijns en Gezondheidszorg hebben interne kandidaten voorrang, , Contactpersoon en informatie, , Tara Jane de Jong  Thomas,, , , , Over Leger des Heils, , Het Leger des Heils is er voor de meest kwetsbare in de samenleving de mensen zonder helper Vanuit een christelijke motivatie verlenen wij hulp aan kwetsbare mannen, vrouwen en kinderen die ondersteuning nodig hebben op het gebied van geestelijke gezondheid, beschermd wonen, financin, werk en opvoeding, Per jaar staan er meer dan 6500 professionals en 13000 vrijwilligers van het Leger des Heils klaar voor 75000 mensen Voor meer informatie over ons werk vind je op , , Ons team, , De Domus  Rosaburgh maakt deel uit van het cluster Langdurige zorg De Rosaburgh is afdeling voor 30 kwetsbare mannen en vrouwen met een hoog complexe zorgvraag Bij wie sprake is van een psychiatrische stoornissen enof een psychiatrisch verleden, gecombineerd met verslavingsproblematiek enof een verstandelijke beperking Voor iedere bewoner wordt er een begeleidingstraject opgesteld, waarbij de toegewezen persoonlijk begeleider het aanspreekpunt is De bewoner wordt een gestructureerd woonklimaat geboden In het begeleidingstraject wordt oa aandacht geschonken aan zinvolle dagbesteding, woon en sociale vaardigheden Het team bestaat uit SPWers, trajecthouders, praktijkverpleegkundige, huishoudelijke dienst, een gedragswetenschapper en de teamleider",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279513134?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F6fb12424-e8e6-4411-ab83-3cd207c22a7a%3Fjid%3Deebcd7ff09a72e810c2d52370752741c5d92d4283545fa3424d8fcfde90e85c0%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=tqhf&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/nachtwaker-rosaburgh-at-zorgenwelzijnplein-2279513134?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
5,accommodation,LinkedIn,2322997823,Juridisch Secretaresse Amsterdam,2q8iz42LTRqnb/0go4Sbxw==,Projob,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Logistics and Supply Chain', 'Retail']","Wil jij de nieuwe rechterhand worden van n of meerdere professionals in een internationale omgeving Haal jij er voldoening uit om, samen met de andere Secretaresses, binnen de praktijkgroep optimale ondersteuning te bieden Dan ben jij wellicht degene die wij zoeken Voor verschillende gerenommeerde advocatenkantoren in Amsterdam zijn wij op zoek naar Juridisch Secretaresses bij voorkeur Fulltime Wij zoeken regelmatig mensen die in een dynamische internationale omgeving willen werken, waar actuele zaken worden behandeld Het gaat om Juridische Secretaresse functies op verschillende rechtsgebieden binnen de advocatuur zoals ondernemingsrecht, fiscaalrecht en banking De juridisch secretaresse",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322997823?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fjuridisch-secretaresse-amsterdam%3A44374231%2F&urlHash=rqq5&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/juridisch-secretaresse-amsterdam-at-projob-2322997823?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
6,accommodation,LinkedIn,2317609995,Stagiair Office Management,J0GkdYeJS7al3GYBcQ5JKw==,Stageplaza,"Amsterdam, North Holland, Netherlands",['Public Relations and Communications'],"Taakomschrijving, , Dit bedrijf is gespecialiseerd in interactieve media en direct response Wij zijn op dit moment een van de grootste spelers in de digitale entertainment en leveren entertainment zoals trivia diensten, apps  games aan onze klanten in meer dan 30 landen wereldwijd Vanwege het internationale karakter van onze organisatie is de voertaal Engels, , Werkzaamheden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317609995?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F21544453-3b8e-4369-a3a5-d243ba370e26%3Fjid%3D142bd0e9fe0deb0455e99bde93a1f66c56358c39786592bf01e37db19c1a1e60%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=UHOm&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stagiair-office-management-at-stageplaza-2317609995?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
7,accommodation,LinkedIn,2305985666,Klantendienst in het buitenland (met verhuisondersteuning) - Amsterdam,Ums2H5vLRP2iM0LePuVgUQ==,Multilingual Jobs Worldwide,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Automotive', 'Staffing and Recruiting']","Description De wereld staat op zn kop, maar gelukkig staat de jobmarkt niet stilMultilingual Jobs Worldwide is een internationaal recruteringsagentschap op zoek kandidaten die werkervaring in het buitenland willen opdoen bij onder andere Bolcom, SAP en Google Waarom het buitenland Maak jezelf aantrekkelijker op de arbeidsmarktWerk voor internationale bedrijven en verrijk zo je CV Knoop nieuwe contacten in het buitenlandGeniet van een goedkopere levensstijlProfiteer van de relocation aangeboden door onze partners vlucht en accommodatie betaald Waar in het buitenland Momenteel hebben we functies in onder andere Duitsland, Cyprus, Portugal en Hongarije, Alle partners ondersteunen je met de verhuis, Je komt terecht in een team van Nederlandse medewerkers, Requirements Wat zijn mijn taken Afhankelijk van waar jouw interesses liggen, werk je in een sales of klantendienstfunctie, Dit houdt in dat je mails, chatberichten en telefoontjes van klanten beantwoordt, Je werkt uitsluitend met klanten in Nederland en ontvangt een goede training zodat je alle vragen perfect kunt beantwoorden Wat wij vragen Minimaal een middelbareschooldiplomaGeen ervaring in de klantenservice vereist, maar ervaring is natuurlijk wel een preJe bent empatisch en klantgerichtJe bent minimaal n jaar beschikbaar om in het buitenland te werken en te wonenJe kunt goed schakelen en voelt je thuis in een internationale omgeving Offer Wat wordt jou geboden Een internationale werkervaringEen vaste, voltijdse baanEen marktgerecht loonSociale zekerheidPensioensparen Training zodat jij helemaal bent voorbereidInteressante doorgroeimogelijkheden binnen het bedrijfJe vliegticket wordt voor je betaald, je krijgt minimal 24 weken accommodatieLeuke extra activiteiten zoals een gratis taalcursus Heb je interesse Stuur dan je CV door, we bellen je om de perfecte job voor je te identificeren",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305985666?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D495b9ac577f1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccdd7eddb8adebdd79adfaaddgddbadd9fdd93aeacdcffec3ddcg3e&urlHash=MIW0&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klantendienst-in-het-buitenland-met-verhuisondersteuning-amsterdam-at-multilingual-jobs-worldwide-2305985666?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
8,accommodation,LinkedIn,1979390926,Assistent manager,Dwd0i0+6QlyMDtc/x7Sdsw==,t Lieveheersbeestje,"Amsterdam, North Holland, Netherlands",['Executive Office'],"Functieomschrijving, Assistent Leidinggevende Kinderopvang  met doorgroei mogelijkheden, Kinderdagverblijf t LieveheersbeestjeAmsterdam, Functieomschrijving",Full-time,,https://nl.linkedin.com/jobs/view/assistent-manager-at-t-lieveheersbeestje-1979390926?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
9,accommodation,LinkedIn,2327269151,Beheerder atletiekbaan | Allround medewerker sportparken | 32 uur,IbRn9JeOSjmchd7MC+lZXg==,Nederland Vacature Groep,"Amersfoort, Utrecht, Netherlands",['Human Resources'],"Ben jij een ondernemende, gastgerichte Beheerder atletiekbaan Allround medewerker sportparken Dan is SRO op zoek naar jou Beheerder atletiekbaan Allround medewerker sportparken 36 uur per week  Amersfoort, , Je grootste uitdaging, , Samen met je collegas zorg je voor een veilige en kwalitatief goede sportomgeving Regelmatig is er overleg met collegas, maar op de locaties zelf ben je vaak alleen aan het werk Dit betekent dat je zelfstandig aan de slag gaat en weet wat je te doen staat Met jouw vaardigheden zorg jij voor aantrekkelijke sportaccommodaties, velden die optimaal gebruikt kunnen worden en tevreden gebruikers, , Wat ga je doen, , Als Beheerder atletiekbaan Allround medewerker sportparken ben je mede verantwoordelijk voor het dienstverleningspakket en de prestaties van de buitensportcomplexen binnen SRO Eemland Je levert een bijdrage aan het beheer en de exploitatie van de verschillende buitensport accommodaties Als Beheerder atletiekbaan, , , Als allround mederwerker kunstgrasvelden, , , , Wie ben jij, , Ben jij een klantgerichte Beheerder atletiekbaan Allround medewerker sportparken en heb jij, , , Wat krijg jij, , Naast een afwisselende baan als Beheerder atletiekbaan  Allround medewerker sportparken, bieden wij, , , , Ben je nieuwsgierig Leuk Wij ook naar jou Stuur dan jouw cv en motivatiebrief naar hrmsronl Heb je nog vragen over deze vacature Onze HRMafdeling staat je graag te woord bel of stuur een Whatsapp bericht naar 0622238840, Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , Solliciteren, Solliciteer direct via onderstaande button, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327269151?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fbeheerder-atletiekbaan-allround-medewerker-sportpa-in-amersfoort%2F253782%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D42637&urlHash=eJpB&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/beheerder-atletiekbaan-allround-medewerker-sportparken-32-uur-at-nederland-vacature-groep-2327269151?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
10,accommodation,LinkedIn,2316393436,Project Coördinator Amsterdam,ZwvzmjfkRqefUmWzQZlpgQ==,Projob,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Logistics and Supply Chain', 'Retail']","Voor onze opdrachtgever, een toonaangevend internationaal executive search bureau in hartje Amsterdam, zijn wij op zoek naar een Project Cordinator In deze nieuwe rol ondersteun je de project managers, de consultants, maar ook klanten en kandidaten in het gehele wervingsproces, van eerste afspraak tot plaatsing Je begrijpt het executive search process en de projecten waarbij je betrokken bent Jouw werkzaamheden zijn erg gevarieerd, en vragen van jou pro activiteit, zelfstandigheid en creativiteit Jouw taken zijn onder andere",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316393436?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fproject-coordinator-pa-amsterdam%3A44301418%2F&urlHash=93dL&refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/project-co%C3%B6rdinator-amsterdam-at-projob-2316393436?refId=5bd0cf86-e8c4-46c1-b3d5-6c66d7fdaa54&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
