Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,doctor,LinkedIn,2301959588,Business Analyst Logistics,lIow916DRnarEWyLUc18SQ==,doctor zonder Grenzen Nederland,"Amsterdam, North Holland, Netherlands",['Nonprofit Organization Management']," As of 1 February, we are looking for a , , Business Analyst Logistics 100, based in Amsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301959588?url=https%3A%2F%2Fldn%2Etbe%2Etaleo%2Enet%2Fldn01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DMSFOCA%26cws%3D53%26rid%3D33283&urlHash=aU26&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-analyst-logistics-at-doctor-zonder-grenzen-m%C3%A9decins-sans-fronti%C3%A8res-nederland-2301959588?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
2,doctor,LinkedIn,2273099783,Field Procurement Advisor,vS0WdWRxQOuk4CarbRBiZA==,doctor zonder Grenzen Nederland,"Amsterdam, North Holland, Netherlands",['Nonprofit Organization Management']," With immediate effect our Logistics department  FSU is looking for a, , Field Procurement Advisor  100, Based in Amsterdam or Nairobi",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273099783?url=https%3A%2F%2Fldn%2Etbe%2Etaleo%2Enet%2Fldn01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DMSFOCA%26cws%3D53%26rid%3D33384&urlHash=QOwV&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/field-procurement-advisor-at-doctor-zonder-grenzen-m%C3%A9decins-sans-fronti%C3%A8res-nederland-2273099783?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
3,doctor,LinkedIn,2271158923,Database Marketeer,MMt4V2CIQWCl+VybGvyOSA==,doctor zonder Grenzen Nederland,"Amsterdam, North Holland, Netherlands",['Nonprofit Organization Management']," As of 1 February, we are looking for a, , Database Marketeer 80100, Based in Amsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271158923?url=https%3A%2F%2Fldn%2Etbe%2Etaleo%2Enet%2Fldn01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DMSFOCA%26cws%3D53%26rid%3D17895&urlHash=w6A3&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/database-marketeer-at-doctor-zonder-grenzen-m%C3%A9decins-sans-fronti%C3%A8res-nederland-2271158923?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
4,doctor,LinkedIn,2301960606,Logistic Service Provider (LSP) Contract Manager,PVbGBjuVT3i248/CTt6BSA==,doctor zonder Grenzen Nederland,"Amsterdam, North Holland, Netherlands",['Nonprofit Organization Management']," As of 1 February, we are looking for a , , Logistic Service Provider LSP Contract Manager 100, based in Amsterdam,  ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2301960606?url=https%3A%2F%2Fldn%2Etbe%2Etaleo%2Enet%2Fldn01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DMSFOCA%26cws%3D53%26rid%3D32159&urlHash=1UIU&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistic-service-provider-lsp-contract-manager-at-doctor-zonder-grenzen-m%C3%A9decins-sans-fronti%C3%A8res-nederland-2301960606?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
5,doctor,LinkedIn,2307861046,Stock Manager,gvDAKDKuSb64NzC9bgW9TA==,doctor zonder Grenzen Nederland,"Amsterdam, North Holland, Netherlands",['Nonprofit Organization Management'],"As of 1 February, we are looking for a , , Stock Manager 100, based in Amsterdam,  ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307861046?url=https%3A%2F%2Fldn%2Etbe%2Etaleo%2Enet%2Fldn01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DMSFOCA%26cws%3D53%26rid%3D33509%26source%3DLinkedIn%26src%3DLinkedIn%26gns%3DLinkedIn&urlHash=mp_k&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stock-manager-at-doctor-zonder-grenzen-m%C3%A9decins-sans-fronti%C3%A8res-nederland-2307861046?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
6,doctor,LinkedIn,2320296772,Secretaris/directeur bij het aCBG,DJy6XpmXQ/2wcnoSh43RHA==,"Ministerie van Volksgezondheid, Welzijn en Sport","Utrecht, Utrecht, Netherlands",['Government Administration'],"Functiexadomschrijving, , Over het CBG, , Iedereen die een medicijn gebruikt moet daarop kunnen vertrouwen Dit is waar het College ter Beoordeling van Geneesmiddelen CBG elke dag aan werkt Als onafhankelijke autoriteit reguleert het CBG de kwaliteit, werking en veiligheid van een medicijn, en stimuleert het CBG het juiste gebruik door de juiste patint Het College is als zelfstandig bestuursorgaan verantwoordelijk voor de beoordeling, registratie en risicobewaking van medicijnen voor mensen Bij het Agentschap CBG aCBG werk je met ruim 350 collegas aan de voorbereiding en uitvoering van de besluiten van het College Ook zorgt het CBG voor de cordinatie van de geneesmiddelenbewaking in Nederland en van de beoordeling van diergeneesmiddelen en nieuwe voedingsmiddelen, , , , httpswwwcbgmebnlonderwerpenovercbghetagentschap, , Het CBG is een agentschap van het ministerie van VWS Voor meer informatie over VWS wwwrijksoverheidnlministeriesministerievanvolksgezondheidwelzijnensport, , , , Je bent eindverantwoordelijk voor het nemen van beleidsbeslissingen inzake alle activiteiten die tot het takenpakket en werkgebied van het aCBG behoren Je doet dit samen met de vier divisiehoofden met wie je het directieteam vormt en aan wie je leiding geeft, , Als directeursecretaris vorm je de schakel tussen het College en het Agentschap voor inhoudelijke en bestuurlijke vraagstukken Je bent als eerste secretaris aanwezig bij de Collegevergaderingen en vertaalt wat daar gebeurt in richtinggevende uitgangspunten voor de werkzaamheden van het Agentschap Daarin neem je ook wettelijke taken en beleidsbeslissingen vanuit VWS mee Indien nodig geef je in de Collegevergadering feedback op besluiten van het College daar waar het raakt aan het functioneren van het Agentschap Dat betekent een intensieve samenwerking met de Voorzitter van het College over de gang van zaken binnen het College, het Agentschap maar ook daar buiten, , Daar waar het gaat om nietinhoudelijke zaken, vertegenwoordig je het Agentschap waar nodig in de nationale keten van overheidsorganisaties die zich rond medicijnen heeft gevormd, maar ook bij bedrijven en andere instellingen Je onderhoudt goede contacten binnen het moederministerie VWS, maar ook met LNV uit hoofde van je verantwoordelijkheid voor diergeneesmiddelen Je informeert en adviseert daarin de departementsleiding en externe partijen omtrent beleidsinhoudelijke aspecten met betrekking tot het onderzoek van medicijnen, het registratieproces en de geneesmiddelenbewaking en stemt dit waar nodig af met de voorzitter van het College, , Internationaal vertegenwoordig je het College en Agentschap in besluitvormende overlegorganen oa de Heads of Medicines Agencies HMA, het verband van vergelijkbare instituties in de Europese lidstaten, en in de Management Board van het European Medicines Agency EMA in Amsterdam De inbreng in de internationale gremia stem je af met de beleidslijn van het ministerie van VWS, , , , Naast leiding en uitvoering geven aan de jaarplancyclus binnen de contouren van het nieuwe Strategische Business Plan 20202024, staan de komende jaren enkele belangrijke ontwikkelingen voor de deur die mede maatgevend zullen zijn voor de toekomst van het CBG, , Op deze ontwikkelingen werk je nauw samen met de medezeggenschap, natuurlijk vanuit ieders verantwoordelijkheid, , Ook internationaal zijn er uitdagingen De nieuwe Europese verordening rond diergeneesmiddelen zal begin 2022 in werking treden en dat vraagt de komende tijd veel aandacht De discussie over de tariefstructuur van het EMA loopt, van belang voor het ontwikkelen van een duurzaam financieringsmodel voor het Agentschap waarin de positie in het primaire werk ook binnen Europa wordt gewaarborgd Binnen dit duurzame financieringsmodel is ook ruimte voor beleidsondersteuning waarbinnen waarde kan worden toegevoegd aan bijvoorbeeld informatievoorziening richting doctor, apothekers, patinten, zorgverleners en diereigenaren, , Dit alles in een wereld waarin de impact van de COVIDpandemie nog onduidelijk is en het aantal incidenten rond medicijnen toeneemt, , Functieeisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320296772?url=https%3A%2F%2Fwww%2Ewerkenvoornederland%2Enl%2Fvacatures%2Fsecretaris-directeur-bij-het-acbg-VWS-2020-0255%3Futm_source%3DLinkedIn%26utm_medium%3Djobboard%26utm_campaign%3Djobslots%26utm_term%3DVWS-2020-0255&urlHash=LLoe&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/secretaris-directeur-bij-het-acbg-at-ministerie-van-volksgezondheid-welzijn-en-sport-2320296772?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
7,doctor,LinkedIn,2325459379,Secretaris/directeur bij het aCBG - Utrecht,cZnsl2oHRzWeSD52bh0fRQ==,Ministerie van Economische Zaken en Klimaat,"Utrecht, Utrecht, Netherlands",None,"Functiexadomschrijving, , Over het CBG, , Iedereen die een medicijn gebruikt moet daarop kunnen vertrouwen Dit is waar het College ter Beoordeling van Geneesmiddelen CBG elke dag aan werkt Als onafhankelijke autoriteit reguleert het CBG de kwaliteit, werking en veiligheid van een medicijn, en stimuleert het CBG het juiste gebruik door de juiste patint Het College is als zelfstandig bestuursorgaan verantwoordelijk voor de beoordeling, registratie en risicobewaking van medicijnen voor mensen Bij het Agentschap CBG aCBG werk je met ruim 350 collegas aan de voorbereiding en uitvoering van de besluiten van het College Ook zorgt het CBG voor de cordinatie van de geneesmiddelenbewaking in Nederland en van de beoordeling van diergeneesmiddelen en nieuwe voedingsmiddelen, , , , httpswwwcbgmebnlonderwerpenovercbghetagentschap, , Het CBG is een agentschap van het ministerie van VWS Voor meer informatie over VWS wwwrijksoverheidnlministeriesministerievanvolksgezondheidwelzijnensport, , , , Je bent eindverantwoordelijk voor het nemen van beleidsbeslissingen inzake alle activiteiten die tot het takenpakket en werkgebied van het aCBG behoren Je doet dit samen met de vier divisiehoofden met wie je het directieteam vormt en aan wie je leiding geeft, , Als directeursecretaris vorm je de schakel tussen het College en het Agentschap voor inhoudelijke en bestuurlijke vraagstukken Je bent als eerste secretaris aanwezig bij de Collegevergaderingen en vertaalt wat daar gebeurt in richtinggevende uitgangspunten voor de werkzaamheden van het Agentschap Daarin neem je ook wettelijke taken en beleidsbeslissingen vanuit VWS mee Indien nodig geef je in de Collegevergadering feedback op besluiten van het College daar waar het raakt aan het functioneren van het Agentschap Dat betekent een intensieve samenwerking met de Voorzitter van het College over de gang van zaken binnen het College, het Agentschap maar ook daar buiten, , Daar waar het gaat om nietinhoudelijke zaken, vertegenwoordig je het Agentschap waar nodig in de nationale keten van overheidsorganisaties die zich rond medicijnen heeft gevormd, maar ook bij bedrijven en andere instellingen Je onderhoudt goede contacten binnen het moederministerie VWS, maar ook met LNV uit hoofde van je verantwoordelijkheid voor diergeneesmiddelen Je informeert en adviseert daarin de departementsleiding en externe partijen omtrent beleidsinhoudelijke aspecten met betrekking tot het onderzoek van medicijnen, het registratieproces en de geneesmiddelenbewaking en stemt dit waar nodig af met de voorzitter van het College, , Internationaal vertegenwoordig je het College en Agentschap in besluitvormende overlegorganen oa de Heads of Medicines Agencies HMA, het verband van vergelijkbare instituties in de Europese lidstaten, en in de Management Board van het European Medicines Agency EMA in Amsterdam De inbreng in de internationale gremia stem je af met de beleidslijn van het ministerie van VWS, , , , Naast leiding en uitvoering geven aan de jaarplancyclus binnen de contouren van het nieuwe Strategische Business Plan 20202024, staan de komende jaren enkele belangrijke ontwikkelingen voor de deur die mede maatgevend zullen zijn voor de toekomst van het CBG, , Op deze ontwikkelingen werk je nauw samen met de medezeggenschap, natuurlijk vanuit ieders verantwoordelijkheid, , Ook internationaal zijn er uitdagingen De nieuwe Europese verordening rond diergeneesmiddelen zal begin 2022 in werking treden en dat vraagt de komende tijd veel aandacht De discussie over de tariefstructuur van het EMA loopt, van belang voor het ontwikkelen van een duurzaam financieringsmodel voor het Agentschap waarin de positie in het primaire werk ook binnen Europa wordt gewaarborgd Binnen dit duurzame financieringsmodel is ook ruimte voor beleidsondersteuning waarbinnen waarde kan worden toegevoegd aan bijvoorbeeld informatievoorziening richting doctor, apothekers, patinten, zorgverleners en diereigenaren, , Dit alles in een wereld waarin de impact van de COVIDpandemie nog onduidelijk is en het aantal incidenten rond medicijnen toeneemt, , , , , , , , Naast het salaris ontvang je een Individueel Keuzebudget IKB Het IKB bestaat uit geld 16,37 van je bruto jaarsalaris en tijd Met het IKB maak jij de keuzes die bij jou passen en kun je een deel van je arbeidsvoorwaarden zelf samenstellen Je kunt er bijvoorbeeld voor kiezen om een deel van je maandinkomen te laten uitbetalen wanneer jij dat wenst Ook kun je dit budget omzetten in verlof en andersom of besteden aan fiscaal vriendelijke doelen De Rijksoverheid hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden Tot de secundaire arbeidsvoorwaarden behoren onder meer verschillende studiefaciliteiten, bedrijfsfitness, volledige vergoeding van je OVreiskosten woonwerkverkeer en gedeeltelijk betaald ouderschapsverlof",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325459379?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D8647257046b1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cdda8ddcfdd99ddeaddbadd9gddgaddcfdda3aeecdcffec3ddcg3e&urlHash=lUjX&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/secretaris-directeur-bij-het-acbg-utrecht-at-ministerie-van-economische-zaken-en-klimaat-2325459379?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
8,doctor,LinkedIn,2271135613,Senior IT Infrastructure Lead,nZh7ujEHTUGLFGtZ84SSUg==,doctor zonder Grenzen Nederland,"Amsterdam, North Holland, Netherlands",['Nonprofit Organization Management'],"With immediate effect, we are looking for two people to cover the position of,   Senior IT Infrastructure Lead 100, based in Amsterdam",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271135613?url=https%3A%2F%2Fldn%2Etbe%2Etaleo%2Enet%2Fldn01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DMSFOCA%26cws%3D54%26rid%3D33015&urlHash=0xPa&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-it-infrastructure-lead-at-doctor-zonder-grenzen-m%C3%A9decins-sans-fronti%C3%A8res-nederland-2271135613?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
9,doctor,LinkedIn,2321506471,Secretaris/directeur bij het aCBG,YiSQBL6vQkqsGq9sdf3Djw==,"Ministerie van Volksgezondheid, Welzijn en Sport","Utrecht, Utrecht, Netherlands",None,"Functieomschrijving, , Over het CBG, , Iedereen die een medicijn gebruikt moet daarop kunnen vertrouwen Dit is waar het College ter Beoordeling van Geneesmiddelen CBG elke dag aan werkt Als onafhankelijke autoriteit reguleert het CBG de kwaliteit, werking en veiligheid van een medicijn, en stimuleert het CBG het juiste gebruik door de juiste patint Het College is als zelfstandig bestuursorgaan verantwoordelijk voor de beoordeling, registratie en risicobewaking van medicijnen voor mensen Bij het Agentschap CBG aCBG werk je met ruim 350 collegas aan de voorbereiding en uitvoering van de besluiten van het College Ook zorgt het CBG voor de cordinatie van de geneesmiddelenbewaking in Nederland en van de beoordeling van diergeneesmiddelen en nieuwe voedingsmiddelen, , Voor meer informatie over het CBG, , Het CBG is een agentschap van het ministerie van VWS Voor meer informatie over VWS, , De Secretarisdirecteur, , Je bent eindverantwoordelijk voor het nemen van beleidsbeslissingen inzake alle activiteiten die tot het takenpakket en werkgebied van het aCBG behoren Je doet dit samen met de vier divisiehoofden met wie je het directieteam vormt en aan wie je leiding geeft, , Als directeursecretaris vorm je de schakel tussen het College en het Agentschap voor inhoudelijke en bestuurlijke vraagstukken Je bent als eerste secretaris aanwezig bij de Collegevergaderingen en vertaalt wat daar gebeurt in richtinggevende uitgangspunten voor de werkzaamheden van het Agentschap Daarin neem je ook wettelijke taken en beleidsbeslissingen vanuit VWS mee Indien nodig geef je in de Collegevergadering feedback op besluiten van het College daar waar het raakt aan het functioneren van het Agentschap Dat betekent een intensieve samenwerking met de Voorzitter van het College over de gang van zaken binnen het College, het Agentschap maar ook daar buiten, , Daar waar het gaat om nietinhoudelijke zaken, vertegenwoordig je het Agentschap waar nodig in de nationale keten van overheidsorganisaties die zich rond medicijnen heeft gevormd, maar ook bij bedrijven en andere instellingen Je onderhoudt goede contacten binnen het moederministerie VWS, maar ook met LNV uit hoofde van je verantwoordelijkheid voor diergeneesmiddelen Je informeert en adviseert daarin de departementsleiding en externe partijen omtrent beleidsinhoudelijke aspecten met betrekking tot het onderzoek van medicijnen, het registratieproces en de geneesmiddelenbewaking en stemt dit waar nodig af met de voorzitter van het College, , Internationaal vertegenwoordig je het College en Agentschap in besluitvormende overlegorganen oa de Heads of Medicines Agencies HMA, het verband van vergelijkbare instituties in de Europese lidstaten, en in de Management Board van het European Medicines Agency EMA in Amsterdam De inbreng in de internationale gremia stem je af met de beleidslijn van het ministerie van VWS, , De opgave, , Naast leiding en uitvoering geven aan de jaarplancyclus binnen de contouren van het nieuwe Strategische Business Plan, staan de komende jaren enkele belangrijke ontwikkelingen voor de deur die mede maatgevend zullen zijn voor de toekomst van het CBG, , , , Ook internationaal zijn er uitdagingen De nieuwe Europese verordening rond diergeneesmiddelen zal begin 2022 in werking treden en dat vraagt de komende tijd veel aandacht De discussie over de tariefstructuur van het EMA loopt, van belang voor het ontwikkelen van een duurzaam financieringsmodel voor het Agentschap waarin de positie in het primaire werk ook binnen Europa wordt gewaarborgd Binnen dit duurzame financieringsmodel is ook ruimte voor beleidsondersteuning waarbinnen waarde kan worden toegevoegd aan bijvoorbeeld informatievoorziening richting doctor, apothekers, patinten, zorgverleners en diereigenaren, , Dit alles in een wereld waarin de impact van de COVIDpandemie nog onduidelijk is en het aantal incidenten rond medicijnen toeneemt, , Wat vragen we, , , , Arbeidsvoorwaarden, , , , Overige arbeidsvoorwaarden, , Naast het salaris ontvang je een Individueel Keuzebudget IKB Het IKB bestaat uit geld 16,37 van je bruto jaarsalaris en tijd Met het IKB maak jij de keuzes die bij jou passen en kun je een deel van je arbeidsvoorwaarden zelf samenstellen Je kunt er bijvoorbeeld voor kiezen om een deel van je maandinkomen te laten uitbetalen wanneer jij dat wenst Ook kun je dit budget omzetten in verlof en andersom of besteden aan fiscaal vriendelijke doelen De Rijksoverheid hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden Tot de secundaire arbeidsvoorwaarden behoren onder meer verschillende studiefaciliteiten, bedrijfsfitness, volledige vergoeding van je OVreiskosten woonwerkverkeer en gedeeltelijk betaald ouderschapsverlof",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321506471?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc6624ea2-2d57-4470-83ca-7b1aa1034c0b%3Fjid%3D8127060bbf2d7a4c1feca97631dccd81e4ee06eb05ff8d2a210f768e6333582b%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=1C3Y&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/secretaris-directeur-bij-het-acbg-at-ministerie-van-volksgezondheid-welzijn-en-sport-2321506471?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
10,doctor,LinkedIn,2315129799,"Manager Bedrijfsvoering (0,8 fte)",TNVfRqWVQEiOH+iMUwPATQ==,Nederlands Tijdschrift voor Geneeskunde,"AmsterdamCentrum, North Holland, Netherlands",['Hospital & Health Care'],"Bij het NTvG zijn we op zoek naar een Manager Bedrijfsvoering 0,8 FTE om ons team te komen versterken, , Het NTvG is een vakblad voor doctor en verschijnt al 163 jaar wekelijks De redactie werkt op het redactiekantoor aan het Museumplein in Amsterdam Ongeveer een kwart van het tijdschrift bestaat uit nieuws Naast het korte wetenschapsnieuws publiceert het NTvG sinds een aantal jaren ook langere journalistieke artikelen",Part-time,https://www.linkedin.com/jobs/view/externalApply/2315129799?url=https%3A%2F%2Fntvg%2Ehomerun%2Eco%2Fmanager-bedrijfsvoering-0-8-fte%2Fnl&urlHash=_mt7&refId=4115bc20-1c25-48d0-b071-c0de0070fd64&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/manager-bedrijfsvoering-0-8-fte-at-nederlands-tijdschrift-voor-geneeskunde-2315129799?refId=4115bc20-1c25-48d0-b071-c0de0070fd64&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,5 days ago,5 days ago,24/11/2020,30/11/2020
