Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,build,LinkedIn,2321589298,Teamleider Backoffice,ByAsnOsGQjyY2mTOpD4NyQ==,Kamer van Koophandel,"AmsterdamCentrum, North Holland, Netherlands",['Government Administration'],"Teamleider Backoffice, Standplaats Amsterdam,  Ben jij een geboren coachend leider Weet jij op inspirerende en motiverende wijze leiding te geven aan een team professionals Als geen ander neem je anderen mee in de veranderingen binnen de KVK We verbeteren onze processen en vergroten onze toegevoegde waarde voor ondernemer Met elkaar builden we aan een vernieuwde KVK Jouw dag als teamleider is nooit hetzelfde",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321589298?url=https%3A%2F%2Fwerkenbij%2Ekvk%2Enl%2FItems%2Fnl-NL%2FVacatures%2FOverig%2Fteamleider-backoffice-amsterdam&urlHash=P20N&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-backoffice-at-kamer-van-koophandel-2321589298?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
2,build,LinkedIn,2312438619,Junior Planner build | Mutatieonderhoud,Bshq9hVYRZO2oeZNEU1zww==,Building Heroes,"Amsterdam, North Holland, Netherlands",None,"Be a hero Jij weet het voordat een huurwoning weer verhuurd kan worden is er soms heel wat nodig Als Junior Planner build zorg jij dat het huis weer een paleisje wordt voor de nieuwe huurders En elke keer is dat een ander avontuur Je bent als Junior Planner build de schakel tussen opdrachtgevers, vaklieden en de nieuwe bewoners Van begin tot eind regel jij het proces, bewaak je de kwaliteit en los de je de problemen op Gaten in de muren, een bad dat in de badkamer staat zonder afvoer, een plattegrond wijziging of een simpele check van de standaard servicepunten jij regelt van begin tot eind dat het huis weer verhuur klaar is Je komt als Junior Planner build als eerste binnen bij de bewonder, neemt de werkzaamheden op en plant de vaklieden in, ook die van comakers en onderaannemers Dagelijks neem je als Junior Planner build verschillende huizen op, elk huis met andere werkzaamheden, problemen en bewoners Met je nuchtere persoonlijkheid, buildkundige kennis en heldere manier van communiceren weet jij elke woning weer om te toveren tot een paleisje voor nieuwe bewoners Benefits Als Junior Planner build ontvang jij het volgende  Salarisindicatie tussen de  2100 en  2600 per maand  Werken als Medior Planner build bij een succesvol en innovatieve aannemer  Veel afwisseling in projecten in en rondom Amsterdam  Leuke nuchtere collegas die hard werken en op zijn  tijd een goede grap maken  Jezelf blijven ontwikkelen Zie jij jezelf als junior planner mutatieonderhoud Solliciteer dan direct Blauwdruk bedrijf  Landelijke speler met 22 verschillende locale vestigingen  De organisatie richt zich voornamelijk op renovatie, mutatie en onderhoud  De collegas zijn lekker nuchter, delen allemaal de passie voor de build en zijn trots op hun werk  Deze bekende builder geeft om jou en je collegas je wordt gestimuleerd om jezelf verder te ontwikkelen en er wordt met je meegedacht  Zoveel mogelijk gaat digitaal, BIM is gentegreerd in de processen en nieuwe innovaties worden niet geschroomd buildstenen voor succes  MUST Een buildkundige opleiding  Service gericht je hebt dagelijks te maken met nieuwe bewoners van de projecten waar jij aan werkt  Houdt van afwisseling en snel schake  Een timmermanvrouw die door wil groeien of een mboer met een aantal jaar relevante werkervaring  Plezier haalt uit het oplossen van problemen je verzint het zo gek nog niet of je komt het tegen  Nuchter is en samen met collegas, opdrachtgevers en bewoners gaat voor een mooi resultaat",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312438619?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fjunior-planner-build-mutatieonderhoud%3A44258459%2F&urlHash=Kpsd&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-planner-build-mutatieonderhoud-at-building-heroes-2312438619?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
3,build,LinkedIn,2271115481,Assistent Uitvoerder build Regioprojecten (Amsterdam),IbO8yStPR+CrIZsqBoCWmA==,Continu,"Amsterdam, North Holland, Netherlands","['Architecture & Planning', 'Design', 'Mechanical or Industrial Engineering']","Functieomschrijving, Als assistent uitvoerder bij Heijmans ben je onderdeel van een professioneel team, dat loopt als een goed geoliede machine Op de buildplaats, in de keet en op kantoor iedereen werkt samen aan hetzelfde doel projecten op een efficinte en veilige manier oppakken, uitvoeren en afronden zodat we achteraf trots kunnen zijn op wat we samen hebben neergezet, , Je krijgt in deze functie een goede ondersteuning, maar ook de kans om je werk effectief te kunnen doen We zorgen dat onze processen uitstekend zijn georganiseerd Bovendien kun je een beroep doen op ondersteunende diensten zoals onder andere Materieelbeheer en Kwaliteit en Veiligheid Zij zijn erop gericht, meerwaarde te leveren aan het projectteam, , , , Een marktconform bruto maandsalaris afhankelijk van je opleiding en ervaring, , Een prettige werksfeer als collegas staan we altijd voor elkaar klaar en komen we regelmatig samen om onze successen te vieren, , Een warm welkom je krijgt letterlijk een Heijmanswelkomstpakket Tijdens twee introductiedagen maak je uitgebreid kennis met ons bedrijf, daarna volg je drie maanden een inwerktraject Jouw persoonlijke buddy wijst je de weg en beantwoordt je vragen, , Veel groeimogelijkheden, onder meer via onze eigen Heijmans Academie en via praktijkgerichte trainingen, gegeven door je eigen professionele collegas, , Goede balans tussen werk en priv we sturen je op tijd naar huis en houden het aantal overuren in de gaten, , Een laptop en smartphone, en voor een zachte prijs zelfs de allernieuwste, , Arbeidsvoorwaarden volgens de cao build en infra, , Je komt te werken bij Heijmans build  Techniek in Amsterdam Dit is een vestiging met circa 150 medewerkers Zij werken samen aan uitdagende projecten en onderhoudscontracten binnen de marktsegmenten gezondheidszorg, overheid, datacenters en hightech clean industrie Het multidisciplinaire projectenteam bestaat uit circa 45 enthousiaste installatiecollegae, aangevuld met buildtechnici die in een gezonde mix van jong talent en senior deskundigheid samenwerken om de projecten tot een succes te maken Voorbeelden van projecten zijn de Universiteit van Amsterdam en De Droogbak Die laatste betreft een 19eeeuws kantoorgebuild in neorenaissancestijl midden in Amsterdam Denk daarnaast ook aan de vernieuwbuild van een ziekenhuis in Alkmaar",Full-time,https://www.linkedin.com/jobs/view/externalApply/2271115481?url=https%3A%2F%2Fwww%2Econtinu%2Enl%2Fvacatures%2Fassistent-uitvoerder-build-regioprojecten-amsterdam_V-008052&urlHash=Fw9z&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/assistent-uitvoerder-build-regioprojecten-amsterdam-at-continu-2271115481?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
4,build,LinkedIn,2321523212,Assistent Planner / Werkvoorbereider,TOaBQiLITZC+vkN2pvMN2Q==,RIX Rewards,"Gouda, South Holland, Netherlands",['Logistics and Supply Chain'],"Ben jij servicegericht, loopt bij jou altijd alles op rolletjes en hou je van hout Dan hebben we de vacature voor jou In de omgeving van Gouda zijn we namelijk op zoek naar een enthousiaste assistent planner  werkvoorbereider, , Als Assistent Planner  Werkvoorbereider vorm je de spil voor de dagelijkse planning van bewerkingen en transporten Je organiseert de distributie van hout, build en plaatmaterialen, bewerkt of onbewerkt, en houdt toezicht op de voorraden Ook onderhoud je contact met diverse contacten zoals chauffeurs, transportbedrijven, leveranciers en interne collegas Meedenken en bijdragen aan innovaties, digitalisering en optimaliseren werkprocessen is voor jou een fluitje van een cent Kortom een veelzijdige en uitdagende baan waar geen dag hetzelfde is, , Onze werkgever is een specialist in hout en gevelproducten in de omgeving van Gouda Ze bieden advies en leveren totaaloplossingen voor buildprojecten Je komt te werken in een klein team Er heerst een platte bedrijfscultuur waarin service centraal staat Ook willen ze graag investeren in de werknemers dmv een opleiding enof cursus, , Gevraagd wordt, , , , Geboden wordt, , , , Snel meer informatie, , Stuur dan een WhatsApp bericht naar Martin Klik hier om hem direct een bericht te sturen, Heb je liever telefonisch contact Bel dan tussen 730 en 1730 naar, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321523212?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fded3f1d8-3167-4008-a632-c22951828df0%3Fjid%3D1af86dc558f8a30457f9ab41b697867545480a7aee945a5fc45cae1e141a1174%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=rg4u&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/assistent-planner-werkvoorbereider-at-rix-rewards-2321523212?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
5,build,LinkedIn,2323852780,Projectcoordinator build,PVTVWyPOSD2ZwQjTjp4K3g==,Edison Projectmanagement,"Amsterdam, North Holland, Netherlands",None,"In deze afwisselende baan houdt jij je bezig met projecten in met name restauratie, renovatie en onderhoud In jouw dagelijkse werk heb jij de verantwoordelijkheid voor, Calculatie van projecten en zorgdragen voor de juiste winstgevendheid van projecten",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323852780?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fprojectcoordinator-build%3A44401299%2F&urlHash=a6ds&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/projectcoordinator-build-at-edison-projectmanagement-2323852780?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
6,build,LinkedIn,2324219866,Logistiek adviseur buildlogistiek,vwUyetcXTUqym/rLR9Hl/g==,Koninklijke Saan,"Diemen, North Holland, Netherlands",['Logistics and Supply Chain'],"Koninklijke Saan is een bedrijf met meer dan 120 jaar ervaring Vanuit een aantal verschillende activiteiten speelt Saan een vooraanstaande rol in logistieke dienstverlening Een van die activiteiten is Saan buildlogistiek Logistiek is  door milieuregelgeving en omgevingseisen  een steeds belangrijker component in het buildproces geworden Wij helpen aannemers het logistieke proces van, naar en op de buildplaats efficinter n duurzamer te organiseren Saan heeft, door de combinatie met de andere activiteiten van Saan Kraanverhuur en Industrile Verhuizingen een unieke positie in deze markt Saan buildlogistiek timmert lekker aan de weg en heeft al veel interessante projecten op haar naam staan",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324219866?url=https%3A%2F%2Fltpx%2Enl%2FoTJPXlw&urlHash=oiHk&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/logistiek-adviseur-buildlogistiek-at-koninklijke-saan-2324219866?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
7,build,LinkedIn,2325478348,buildmedewerker – diverse functies,jGRsdSlmR929SG0qb6qZyw==,FlexFirst BV,"Amsterdam, North Holland, Netherlands","['Logistics and Supply Chain', 'Staffing and Recruiting', 'Financial Services']","Vacature, , We zijn op zoek naar Betonreparateurs, Grondwerkers, Kraanmachinisten, Timmerlieden en Voorlieden in de regio Amsterdam, , , , , , Genteresseerd in een van deze functies Neem dan contact op voor meer informatie, , , , Voor deze functies zijn we op zoek naar mensen die voldoen aan de volgende kenmerken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325478348?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D91759847bbe4%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddfcdd9bddb8dd7bdd8addcgdd9aadefade3aebcdccfec3ddcg3e&urlHash=fy4v&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/buildmedewerker-%E2%80%93-diverse-functies-at-flexfirst-2325478348?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
8,build,LinkedIn,2325407240,Teamleider backoffice - Amsterdam,fm8294GWTK+wIDTq8ekk+g==,Ministerie van Economische Zaken en Klimaat,"Amsterdam, North Holland, Netherlands",None,"Functiexadomschrijving, , Ben jij een geboren coachend leider Weet jij op inspirerende en motiverende wijze leiding te geven aan een team professionals Als geen ander neem je anderen mee in de veranderingen binnen de KVK We verbeteren onze processen en vergroten onze toegevoegde waarde voor ondernemer Met elkaar builden we aan een vernieuwde KVK Jouw dag als teamleider is nooit hetzelfde, , Jouw kracht, , Als teamleider heb jij een duidelijke visie op organisatieverandering Samen met je naaste collegas en team build je doelgericht aan een eigentijdse organisatie Jij bent je ervan bewust wat dit betekent voor de medewerkers en je bent in staat de medewerkers daarin mee te nemen Als coachend leider motiveer en daag je medewerkers uit om eigen regie te pakken en verantwoordelijkheid te nemen voor hun afdelingsresultaten, de kwaliteit van hun werk en hun persoonlijke ontwikkeling Je bent niet bang om confrontaties aan te gaan en bij weerstand diens je niet terug Je bent daarbij transparant en communiceert hierover helder In hectische situaties houd je het hoofd koel, stel je prioriteiten en houd je focus Met jouw tact, coachende vaardigheden en klantgerichtheid build je mee aan een nieuwe KVK, , , , Wat we vragen, , Samen met collegaTeamleiders zet je stevige stappen in een meer prestatiegerichte werkwijze met veel aandacht voor de mens Je kijkt voortdurend kritisch naar manieren waarop het werk en de processen slimmer kunnen, en onderneemt initiatief en actie om dit tot stand te brengen waarbij je veel ruimte biedt aan het zelforganiserend vermogen van het team De ultieme kans voor jou en je team om betrokken te zijn bij tactische issues, onze toegevoegde waarde naar klanten verder te vergroten en het belang van de KVK voorop te stellen Kortom dit is een uitdagende functie voor een ervaren teamleider die het verschil weet te maken, , Wat neem je mee, , , , Naast het salaris ontvang je een individueel keuzebudget IKB Het IKB bestaat uit geld 16,37 van je brutojaarsalaris en tijd Met het IKB maak jij de keuzes die bij jou passen en kun je een deel van je arbeidsvoorwaarden zelf samenstellen Je kunt er bijvoorbeeld voor kiezen om een deel van je maandinkomen te laten uitbetalen wanneer jij dat wenst Ook kun je dit budget omzetten in verlof en andersom of besteden aan fiscaalvriendelijke doelen De Rijksoverheid hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden Tot de secundaire arbeidsvoorwaarden behoren onder meer verschillende studiefaciliteiten, bedrijfsfitness, volledige vergoeding van je ovreiskosten woonwerkverkeer en gedeeltelijk betaald ouderschapsverlof, , , , , , Een uitdagende functie waar je je passie in kwijt kunt en dagelijks nieuwe mogelijkheden tegenkomt Je krijgt de ruimte om jezelf te ontwikkelen en om eigen initiatieven te ontplooien en tot mooie resultaten te komen En er staat een enthousiast team voor je klaar",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325407240?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D3200261bda2a%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddcddecddgbddg8ddebddaaddfgadeaadcfadf3deecacffec3ddcg3e&urlHash=q7BW&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-backoffice-amsterdam-at-ministerie-van-economische-zaken-en-klimaat-2325407240?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
9,build,LinkedIn,2317604839,Junior Werkvoorbereider build | Studentencampus,EiPXbXpASPeT8nBMUW5FLg==,Building Heroes,"Amsterdam, North Holland, Netherlands",None,"Be a hero Je bent gepassioneerd over je vak, zeker als het gaat om nieuwbuildprojecten Je houdt van de diversiteit en je enthousiasme draag je over aan collegas Natuurlijk spreekt het voor zich dat je als Junior Werkvoorbereider build een master bent in het plannen en organiseren van de projecten En ook de voortgang bewaak je nauwlettend Met jouw oog voor detail en inzicht, klopt de planning altijd en reduceer je de faalkosten en risicos tot een minimum Je bent niet bang om je creatieve aanpak te laten zien en verbeteringen te signaleren Dit doe je zowel organisatorisch als projectmatig Je schakelt als Junior Werkvoorbereider build makkelijk tussen collegas, leveranciers, onderaannemers en derden Je nieuwsgierigheid naar nieuwe ontwikkelingen is je drive om jezelf te blijven uitdagen Je krijgt hier in deze rol als Junior Werkvoorbereider build de vrijheid voor, opleidingen, cursussen en workshops worden aangeboden zodat jij nog verder groeit Want als jij groeit, groeit de organisatie met je mee Benefits Deze rol als Junior Werkvoorbereider build biedt het volgende",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317604839?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fjunior-werkvoorbereider-build-studentencampus%3A44313463%2F&urlHash=kFl-&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-werkvoorbereider-build-studentencampus-at-building-heroes-2317604839?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
10,build,LinkedIn,2312308547,Medior Coördinator build,tjsNZLS7SS22xng6nH7O3Q==,Building Heroes,"Noord, North Brabant, Netherlands",None,"Renoveren en onderhouden, dat is waar Coen Hagedoorn sinds 1974 goed in is Ze werken vooral op complexe binnenstedelijke locaties, al dan niet in bewoonde situatie, Het is een onafhankelijk familiebedrijf, waar passie voor de build centraal staat Maar het draait hier ook altijd om werken met plezier en kijken of het beter kan Daar komt ook de drive voor innovatie vandaan Een voorbeeld hiervan is dat alle projecten in BIM worden uitgevoerd, , , , , Heb jij de ambitie om aan de slag te gaan als Medior Cordinator build met eventueel de mogelijkheid om door te groeien naar projectleider Dan is dit je kans om daar concrete stappen voor te zettenAls Medior Cordinator build vervul jij een belangrijke rol naast de projectleider Samen zorgen jullie ervoor dat er een vertaling komt van ontwerp naar gedetailleerd buildplan overall planning Dit buildplan is uitgewerkt in concrete doelstellingen, planning, buildmethoden, benodigde middelen, budgetten en oplevering van eindresultatenConcreet betekent dit dat in samenwerking met de projectleider en opdrachtgever jij als Medior Cordinator build de voorfase aanstuurt inclusief plan van aanpak, en de gesprekspartner bent voor opdrachtgevers Je werkt dus niet alleen samen met je collegas, maar ook met verschillende externe partijen en werkt samen met adviseurs en ontwerpers Het ketendenken zit verweven in al jouw werkzaamheden jij gaat nauwe samenwerkingen aan en bent samen met de projectleider verantwoordelijk voor inkoop en contractering van leveranciers en onderaannemersOok het aanvragen en gereedmaken van vergunningen behoort tot het takenpakket Je bereidt jouw werk voor in BIM en zorgt dus voor een optimale inzet daarvan Daarbij hoort ook het aansturen van modelleurs en junior werkvoorbereidersSamenwerken is een sleutelwoord in deze baan Samen met de betrokkenen doe je er alles aan om een project te laten slagen en te zorgen voor een veilige, goede en betaalbare huisvesting van bewoners De bewoners staan centraal Jij houdt rekening met bewoners die tijdens de uitvoering van de werkzaamheden in hun woning kunnen blijven Functie eisen, , , Deze rol als Medior Cordinator build biedt het volgende, , , BUILDING HEROES is meer dan een vacaturebank, intermediair, recruitment of detacherings, of werving  selectie bureau De wereld verandert en dit vraagt om minder hirarchische, duurzamere en vooral vele leukere manieren van werken Leiderschap maakt plaats voor verbinding en dienstbaarheid voor passie Teambelang prevaleert altijd boven louter eigenbelang en ontwikkeling boven sec resultaat, Samen met onze opdrachtgevers en de allergrootste talenten uit het vak weten wij zo steeds een krachtig statement over de toekomst van build en infra te maken En vooral over de rol die elke professional en iedere organisatie, inclusief wijzelf, vandaag de dag op zich dient te nemen De manier waarop wij met elkaar werken en van elkaar leren kent hierdoor een totaal andere dimensie, , Building Heroes maakt iedereen bewust van zijn of haar eigen verantwoordelijkheid om deze nieuwe ontwikkeling vorm te geven Want het vraagt wat van alle partijen Zowel van onze professionals als onze opdrachtgevers en zeker ook van onszelf",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312308547?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F786637e9-edde-4b3f-af66-4ab017e3384b%3Fjid%3D300069ce338dbfb914c35300c43c3d417fc9307a1abb6469e9a12cc9c0ac4d05%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D567&urlHash=YkHD&refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medior-co%C3%B6rdinator-build-at-building-heroes-2312308547?refId=53b6aa86-f7e1-413f-80dc-a9b8f6cf3868&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,25/11/2020,29/11/2020
