Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date
business support,Indeed,pj_5be3d0f1be9182f8,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CW2cOrrzyLuGwjQajC3CBs9rHsbw2Q5xFg5imO0gurCeE7QMmX-ITEiLoewYMEn5Uaei_OaCzbzhSbGCaAYBWcmNNsRpYSwPZopgVkjGK-sz8oiFG3iDleKMtWVBGb6_eRAMz3IT8fCTPxR3PNfVIXHI6ZSB9lPVCvA_lLEaaQjD-UozxoUaZQtDnmOGcWy1YehDFv7DfE8uhuZ4L-nW3afPEZbdVn9y5afiC_T2nH9NgMe2KOJdaBllCJMe4lNnDTiWQQ12fNJI1qedlRPsA4rFqxsZnsm2Y4xhj_4RtQiHCYoLQt3jSgBFD6t6A02IKJovv5gdfaPEjM4Soz8KGne-xRNp4VkSrkf0xXzUGlfA--WJu4OK4kCqXfcm7mDWVzaH15moywPwzfN2GUDzcF4jXL-zW2v9U_8zRwltWz4bJtW5B91-Gry9BDBvL9mkxzBpjHE-AHHAyF41GE2bjZ&p=0&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,pj_dcc5b67ae562bee8,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BvtNomR_waNYNetbhwsU0U8-tPXPd6KSoiQyr2BJ-H2tb2oODPQPLPIAYxcS1gu0LDCbtXmgswaCwigR_17bSPBRHaE2OY4Agpp5vnMWqc89u_KOLlXDW06RSFE7GSsZ_vGK90sQX2zfQMGSJ9WIHmj-QhLf4Mbou4GH9QzhDGg19-4JYoxPMroYdjlb_9jBKgQfty_C3GNErByt8RN3FA3r90vH-F5_hLO-L5VT80YEKCK8dDtHX47IJ0tZf4a6UuJffXi--lJ3Hkj1Nnsj5x-uwQ3TLgl0sGQGhC3B0lsCp-FDmlpgDrdPkdn1MhXmsYkKujpzqn0LFHjfn8s0CP9uj3PnJhkB6EZ40k8ok5AEiyUDkzR6oAt0koJR8517PejDO_4YcKI4Y0g5_GZNoPHdQCq92IJ0LkVHyLTOQVOFdWRHMuGyQ8glidMKZ1wVumYcb2-Cnz2jATxaA0OQEmqhUoLnQMK1zajBOrkFnt5Q==&p=1&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,pj_68c56424a3cb2686,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A00h9ZsX8JVdlF3S0vNq3_uBC_gx92N9-4vTAoZ9A6gCMFbdcWzwZV_RiFNfizt8E9cwxNlY01yGQTywtu_vN0r74U53vlVJieUoHnUQzvS63SocHc--ngY0sQTulFjFUmf4eN7s9iC9RSHIusGAuwzwi_OR1MRhpa0gqnM4fmkaiGHf8suBSFMLywp5AovFhCuaLrekahoK4GKVMZyombEwEvqjF0UuYhSrqsRAo5eCbpNUXYLhCaQ5CvL2MesicmN8_N2j6UXeIhrdn1vvxPhGRFcZDHyv8h_oihobVv-QSCqZj5laDfKaVI_hprIHzPpACoaihOK4WfwEvD65xNrL_n_qUcInbmkADLcYTYLaLST0_K0BbVnMRG98RnVT7K6wEVq42N4Q-wbrjkyZsyeRqift67U1sm0BFPhY2bFHB89EuGp7k5FXAgzU2qfRE61NXkX-KQv8ElIMqbQ9dN5Z3QS5s0rQY0j1wmeNEw4w==&p=2&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,pj_ad321e3fea3f76f1,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0D6OtgUXHy4XJwSwh2eIxn7Urs8NClmYBsl29eSxQalLPuqx62WCBHlSQALdgopiwb-F76y3BzgA4j2OFQqkLdesYAiYgsB6zCpm1ruvW7Qzyt0nXaYSEjOECBg3_4U6Amk1MdlwEl3g6l3D4hfWo3YbFhaIYVjd1wtxWlv6HMk1rNMuJQFSdAC6FOh01uUN0-jFMO7M8htnn2NhLWeDcfZy4gzekFB-Ofi-kXLk5IiFdYtaPfyjfOOhUDDRNshzi0tWpEZnJp21P9uPDKh3hHb8hIrJya2jB6ESBVpikluWO0F6Aoh6f8hmfXQQxOxF1Mc6kydf1XJZmr-PRvEmSh7K-vmidEKsd1GMlouE8aHeAwQAeslbJ2xd0GJpbzjzzbaRFxBZL_UVzIzdxLjMHwbFGHIkHe8vcj7wKj4j2czLN1pLZQo0OovPxxlKZAL9exHa3h5Pvive7gIqY0E7_EMF5RSMQG88sClWFxeOtNb_UurFhabj6dNgoi-oxdEYf3aURNhiADHgz19yaa6Ja8432J6_NrS76eehIJkfY4BGAwJCRi_dWl1TP7LImFAQXxIVaO3la-m02wW_NarBZB9yDkKZ5QcxtAOAzqhprLtIoGJmSGLRrR6QR-FlOaFMsgabin7JWB9jIo59jR1l88yFHOh7Ae_eYE8grMjO41JYgBr5R8nAOUe6sEPVxof0oh2LMdH5muzbckZu0dP6o0a91EaSZWNbmZn3y2LXrqURQ==&p=3&fvj=0&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,pj_08580184f8cd3a33,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A00h9ZsX8JVdlF3S0vNq3_uBC_gx92N9-4vTAoZ9A6gOvwD5NC4GhLrzJ3HMvlgriGjA9yGfshxRCkYYc-lyGpRhSgkdLjoMKp4-OnEjkEVH3-hHrsE2gyM_rs8Lqu6oChyOB0p6HIWR_6Fxf0MJXWM26FGokApL6Nuzs_AKBHPsWeBKhDc56A_10oj2RDj661Z7rz3spF7siGgcTXCk8PscKIiHxlNPAS4_yIN-p1FHZivMqXfzbf49f5SvJiY94x8ivUoK176xf-Hm77qu3Qvv74CcuYXZxH_2kTs9j7GgsMFYwj7iq8vz6pDcyMlZGV2_npXyvdf7_ncHqKWaNB3Bqq68yQQ5HuUp8Emd61qZYVNKDuDgFvxloPlqpIUuRfqyw6NCzE7m-BJJAfA3Av0gKrOv28L_2mj593Luo21pJ2lVCzo3iRGuDJvEd_i7P0PjgSbT-V_N5twL1oz2sAP9JSlHA-2ToZJN0QoaEJlQ==&p=4&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,pj_d5bd55c71f1a119a,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0Dnx4jrkqb1z2dZdZ3RK674hZXhJhRmiWWcNGXFF7iZWreAp9iY_eOtRZHvyI2H-C2QiFyU7MqhUULcwxPjLPHVryReSNKQ8MeGob-euC-mv5LcRblQ25dDo_n-Qr3iDgrT7eW30mgIs-Wy7aijvzarbfqU_h_MenxyB4iRdE4aYUoQ88HfOJI_s5ZBwB8xC_JMkSKkbbWBbJqUT3DXq9VqBkLw3kwqoVhakJTbUDagzrxIi-K3FB4lso5GinnqNBQgE9EzyBKMrjN5m613KWB6RA1GY81OKtShhgLYPPmq7--AX1Wn27FRmpfMqs7f8TG3r8x3flx0inrWyzGmt3dSNnNIU47d8UeHNwRdookBVvgcEwjNcNjo_lHCPzSbFMpveOvh1nhby6wzYT5ACZFWigrckK7gzlP3o_fzbmNI451_cCH6ABaFEOUP-HjLwNxnsFUzRNoi1PEi9u8sSiy1cOb0kF0bTmijAwF7r0etzdgFjSb5SKnXvyG3auCzbO9JMyT1ixfzhIxCxRq9dY5kvGZ6VoxZD37SwLLLIpaGZFwJLNqCpL0viFsmoAnQLoIMTGc5z9diaKTgBrWTsaF5eUDgkrPuB_XrBX5u4H3M6Q==&p=5&fvj=0&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,p_54cd07219a9a66e3,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Daqso-International-B.V./jobs/Sales-Support-Finance-Support-Specialist-54cd07219a9a66e3?fccid=b735e456d682d4c6&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,pj_04534720c4307a85,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0DsGMu4ptPaMMPH-fJSZ9xLpK0VUsg7ap69GDwW3lFXdJf51xDrAABAWhW3UbHScyTwbVUuBURaN3WJhnzq3eex4k0luJ7dIrUcvFXNVMIFHcz-9MlIm45_u5XOl-bJmwP5TcF3IViPvmASmcYSnx6T16rv6F2N8bhaW0GYraRvQzzJM2KziOf6L3pmwmMWFh21_j1X0htghg8dnA_kWBb3FcVPI2oO5T52Ldm2oBydiAcUgTdppajYmJwwQP5gTFEXEMvPcggEwGDXKHQ5wPHSlc85mid11UzyTeaNs0QP-ab44WZPWkipYMzoVjSjuDOL15Kwbc_e8NLpiDPRNSClGkGQfGdBfx0g3c_1PMtW5lAkLjkHZ_e07erbyyaMKtGQwR9_nAunt9ZZIaAQLw6azp2NWWMSIDmF7e7zoFqq3xuR1osjeCCMpTDXUHeW5fP0qqEGlatNB38yJwvUXDaaZ-q6mSyVd6_QKNwQAD5xjH8uphMkdn0iBOQ9QUbP4zCQImkJFP3Hvg==&p=7&fvj=1&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,p_e8240f454da140ac,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=e8240f454da140ac&fccid=f5d526c81b4033de&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
business support,Indeed,p_672517fd82895ee8,Field Support,Ria Financial Services, Amsterdam,"At Ria, you’ll be doing much more than a 9-to-5 a job. For us, this isn’t just business. It’s personal. We’re committed to helping millions of people send money home to their loved ones around the world, knowing that our customers deserve much more than just a fair price: they deserve empathy, hope, and ultimately respect. Join us in our mission to open ways for a better everyday lifeThe purpose of the role is to improve the position of our clients in the market by developing, retaining and managing a portfolio of businesses which act as agents in providing RIA money transfer services: ensuring that these agents acquire a competitive position in the market, providing advertising materials to optimize our image and presence in every Agent’s location, solving problems or helping them use our Money Remittance platform. This role involves daily travel to different regions around the NetherlandsJOB FUNCTIONS / RESPONSIBILITIESActively and successfully manage the set-up and training process of our agents.Retrain and revisit existing agents.Provide solutions where challenging matters arise.Rebrand existing agents according to our Marketing standards.Develop strong relationships with our agents to ensure a long term loyalty to the Company.Prepare and organize a weekly plan to meet targets.Use your language skills when speaking to agents where their first Language may not be Dutch.SKILLS AND ABILITIESYou need personal autonomy.Assertiveness skills.Stress resilience.Excellent command of a second or third language.EDUCATIONHigh School.WORK EXPERIENCESales and/or customer service experience.Job Types: Full-time, ContractSalary: €1,800.00 - €2,100.00 per monthExperience:sales/customer service: 1 year (Preferred)Language:other foreign language (Preferred)Dutch (Preferred)",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=672517fd82895ee8&fccid=d7d9a8241ba2f3ec&vjs=3,Meer dan 30 dagen geleden,Meer dan 30 dagen geleden,2021-04-05
