Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,communication,LinkedIn,2321495942,Creative Project & Communication Manager,cuEcq9bYQ76DwqT1LSMRiQ==,MOAM,"Amsterdam, North Holland, Netherlands",None,"Creative Project  Communication ManagerOver MOAMStichting MOAM is een Amsterdams creatief platform dat jong talent koppelt aan de gevestigde orde van de creatieve modeindustrie MOAM is een allround creative agency van concept tot productie tot PR Zo organiseerde MOAM exposities, catwalkshows en modeevenementen met onder andere ViktorRolf,Rijksmuseum, FOAM, HEMA, Disney, Vogue en Doutzen KroesMomenteel staan er meerdere projecten voor de deur zoals een duurzame samenwerking met een internationale winkelketen, een project over boeken en kunst met 16 bekende schrijvers, een reprise van de expositie MOAM in de Hortus, een fashion project met jong talent  een museale samenwerking Daarom zijnn zij per direct op zoek naar een creatieve project  communication manager de functieWij bieden een uitdagende baan in een jonge en dynamische werkomgeving waar je een cruciale rol als Creative Project  Communication Manager vervult binnen een klein team, wat resulteert in veel creatieve vrijheid en verantwoordelijkheden Onder jouw verantwoordelijkheden vallen oa creatieve producties, copywriting, interne  externe communicatie, financin, fondsenwerving, aansturen van het team en brainstorms Jij draagt bij aan overzicht, planning, uitvoering en bent verantwoordelijk voor de communicatie met externe creatieven en partners Je bent betrokken bij projecten vanaf eerste brainstorm tot de uiteindelijke productie Jij bent dus de spin in het web tussen MOAM, de projecten, je collegas, de partners, participanten en persJe hebt van nature een helikopterperspectief, weet prioriteiten te stellen en verliest hierdoor nooit het overzicht, ook bij meerdere projecten tegelijkCompetenties",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321495942?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fdb1a43e7-dafe-46c6-bfe8-60c032cd6764%3Fjid%3D017706c2b4d5b70fce054d10b0cc8dd76394bd2fffad505887237c06a5243505%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=CRdn&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/creative-project-communication-manager-at-moam-2321495942?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
2,communication,LinkedIn,2305985264,PR- & Communicatieadviseur,/PDZ5pb7SQSYCshWv2GhaQ==,LEWIS Global Communications,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']","Description, , We groeien hard bij LEWIS Amsterdam Daarom zijn we op zoek naar nieuwe collegas, in de functie van PR  Communicatieadviseur Ofwel Account Manager  we houden eigenlijk niet zo van functietitels, maar we moeten het beestje nou eenmaal een naam geven, , Als Account Manager ben je eindverantwoordelijk voor een pakket toffe klanten Je schrijft plannen, zet de koers uit en zorgt ervoor dat die koers aangehouden wordt Tenzij het onderweg natuurlijk gaat stormen en blijkt dat er aanpassingen nodig zijn om toch dat einddoel te halen Dit betekent dat je dus proactief denkt n handelt en dit op een goede manier weet over te brengen naar zowel je klanten als je eigen team, , , , Je geeft leiding aan 1 of 2 junior collegas die graag het vak van jou willen leren We zoeken dus sowieso een teamplayer Je geeft constructieve feedback waarmee je je team beter maakt, leert hen de kneepjes van het vak en zorgt ervoor dat het een gezellig boel is Sfeer vinden we erg belangrijk hier namelijk, , Daarnaast heb je een poule van accounts Hiervoor schrijf je de strategische communicatieplannen en bewaakt de kwaliteit hiervan goed Dit betekent dat je constant op de hoogte bent van wat er speelt en houd je alle ontwikkelingen in de markt die interessant kunnen zijn voor je klanten in de gaten Je volgt het nieuws op de voet en wanneer je kansen ziet, weet je hier snel op in te haken, , Ook ben je een kei in werkrelaties onderhouden Je zorgt ervoor dat je klanten gelukkig zijn n blijven Je leidt meetings, organiseert brainstorms en verrast ze af en toe met nieuwe dingen, , , , , , LEWIS is een internationaal communicatiebureau In Amsterdam werkt een jong team van enthousiastelingen met expertises op verschillende gebieden PR, events en content, digital en influencer marketing Wij maken gentegreerde campagnes Dat is hippe vaktaal, maar we bedoelen ermee dat wij alle vormen van content kunnen produceren en distribueren Dus naast traditionele PR, doen we ook social, digital, marketing en werken we aan creatieve concepten, , We werken dagelijks voor verschillende gave merken zoals BBC First, Deliveroo, Luxaflex, Sunweb, Rockstar Games, Path Thuis en LG Daarnaast doen we veel projecten waar we onze energie en creativiteit in kwijt kunnen, , Zie jij jezelf wel als Account Manager bij LEWIS Amsterdam werken Neem dan contact op met Olga Liket via 020 220 0 220 of stuur je cv met motivatie naar olgaliketteamlewiscom",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305985264?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Flewispr%2Fjob%2FoGgVdfwO&urlHash=s7PA&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/pr-communicatieadviseur-at-lewis-global-communications-2305985264?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
3,communication,LinkedIn,2318496465,Creative Project & Communication Manager,IrZsC4hFT3C3BL6+1mahag==,Stichting MOAM,"Amsterdam, North Holland, Netherlands",['Fine Art'],"Creative Project  Communication Manager, , Over MOAM, Stichting MOAM is een Amsterdams creatief platform dat jong talent koppelt aan de gevestigde orde van de creatieve modeindustrie MOAM is een allround creative agency van concept tot productie tot PR Zo organiseerde MOAM exposities, catwalkshows en modeevenementen met onder andere ViktorRolf,Rijksmuseum, FOAM, HEMA, Disney, Vogue en Doutzen Kroes, Momenteel staan er meerdere projecten voor de deur zoals een duurzame samenwerking met een internationale winkelketen, een project over boeken en kunst met 16 bekende schrijvers, een reprise van de expositie MOAM in de Hortus, een fashion project met jong talent  een museale samenwerking Daarom zijnn zij per direct op zoek naar een creatieve project  communication manager, , Over de functie, Wij bieden een uitdagende baan in een jonge en dynamische werkomgeving waar je een cruciale rol als Creative Project  Communication Manager vervult binnen een klein team, wat resulteert in veel creatieve vrijheid en verantwoordelijkheden Onder jouw verantwoordelijkheden vallen oa creatieve producties, copywriting, interne  externe communicatie, financin, fondsenwerving, aansturen van het team en brainstorms Jij draagt bij aan overzicht, planning, uitvoering en bent verantwoordelijk voor de communicatie met externe creatieven en partners Je bent betrokken bij projecten vanaf eerste brainstorm tot de uiteindelijke productie Jij bent dus de spin in het web tussen MOAM, de projecten, je collegas, de partners, participanten en persJe hebt van nature een helikopterperspectief, weet prioriteiten te stellen en verliest hierdoor nooit het overzicht, ook bij meerdere projecten tegelijk, Competenties, , , Wat MOAM biedt, , , Ben jij degene die we zoeken om per direct ons team te versterken, en voldoe jij aan de eisen, Stuur dan meteen je CV en motivatie via de onderstaande button",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318496465?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-1720976250109461204%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=BDuA&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/creative-project-communication-manager-at-stichting-moam-2318496465?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
4,communication,LinkedIn,2317370995,Communicatie/ Content specialist,fBJFnT02TGO5bgf7iUyQcA==,Uitzendbureaunl,"Amsterdam, North Holland, Netherlands","['Internet', 'Machinery', 'Staffing and Recruiting']","Voor DPG Mediain Amsterdam zijn wij opzoek naar een communiciatie content specialist Die verantwoordelijke is voor de content op verschillende kanalen, wat bieden wij jou, , , , Jij hebt HBOopleiding richting communicatiemarketing Daarnaast heb je 2 jaar ervaring op het gebied van projectmanagement, social media en contentproductie Jij bent een ster in contact zelf creeren Daarnaast een grote affiniteit met journalistiek, media en online push kanalen Ook niet belangrijk is dat je communicatief vaardig bent en niet bang om te halen wat je nodig hebt vooruit denkend, proactief en zelfstandig handelend, , , Je gaat het bedenken, het ontwikkelen en bet optimaliseren van kwalitatieve en onderscheidende content voor verschillende communicatie kanalen website, app en push kanalen Het is belangrijk dat deze communicatie consistent is en de kanalen op elkaar aansluiten Hiervoor heb je ook nauw contact met andere specialisten binnen het brand  digital team, Ook ga je communicatieplan opstellen voor inapp en push communicatie richting huidige abonnees voor het verhogen van de engagement Met daarbij doelgroepselecties maken, organiseren en optimaliseren ism CI CRM voor push selecties, Ook ga je signaleren van nieuwe mogelijkheden binnen de gestelde kanalen en samen met de specialisten tot een plan komen, Daarnaast ga je voor de social marketing sturen op interactie op sociale kanalen door het uitsturen van juiste berichten aan de gewenste doelgroep Evenals het opzetten van winacties en samenwerken met externe partijen Al met al is geen dag hetzelfde, , , Bij DPG Media werk je voor merken die samen onze hele maatschappij bedienen Van de Volkskrant tot Autotrack, van Qmusic tot MyChannels, van Libelle tot Donald Duck, Tina en vtwonen Met 15 nieuwsmerken, ruim 140 huisaanhuiskranten, 18 digital only merken, radio en 26 lifestylemerken streven wij ernaar de meest toonaangevende en de grootste media uitgever van Nederland te zijn Een ambitieuze werkgever met oog voor kwaliteit Tegenwoordig kun je met een kop koffie jouw favoriete krant of weekblad openslaan of het laatste nieuws checken op je telefoon of tablet In een razendsnel veranderende markt is de ambitie van DPG Media hoog en blijft deze uitgever volop in ontwikkeling, , Bij interesse komt ik graag met je in contact, Uiteraard staat deze vacature open voor iedereen die zich hierin herkent, , Opleiding, , HBO  bachelor",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317370995?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-744345339200177377%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=9uxz&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/communicatie-content-specialist-at-uitzendbureau-nl-2317370995?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
5,communication,LinkedIn,2323779483,Interne communicatie,YvSZt0ocRdmU2gbpSQW0PA==,Bureau voor Overheidscommunicatie,"North Holland, Netherlands",['Public Relations and Communications'],"Het Servicepunt gaat reorganiseren en voor dit traject ga je de interne communicatie verzorgen Behoeften in kaart brengen, daar op inspelen en een communicatieboodschap formuleren Je start 1 januari tm 1 juli 2021, voor 16 uur per week met optie tot verlenging",Contract,https://www.linkedin.com/jobs/view/externalApply/2323779483?url=https%3A%2F%2Fwww%2Ebvoverheidscommunicatie%2Enl%2Fvacatures%2Finterne-communicatieadviseur-voor-de-reorganisatie-van-het-servicepunt-bij-gemeente-amsterdam%2F&urlHash=8Hbv&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/interne-communicatie-at-bureau-voor-overheidscommunicatie-2323779483?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
6,communication,LinkedIn,2325996506,Communicatie Medewerker,pXUT/Vp7QDKBNfesLBBXYg==,BaanBereik,"Zwaag, North Holland, Netherlands",['Human Resources'],"Functieomschrijving, , Wil jij volgende week beginnen met een nieuwe baan als Communicatie Medewerker Wij zijn per direct op zoek, ter vervanging van zwangerschap, , Je komt te werken bij een installatiebedrijf dat nauw contact heeft met een woningcorporatie Jij onderhoud de communicatie met de bewoners Je informeert de huurders tijdig over het project dat plaats gaat vinden en beantwoord hun vragen Daarnaast organiseer je een informatie markt, waarbij je langs de deuren van de bewoners gaat om persoonlijk te vragen of alles duidelijk is In deze functie heb je veel rechtstreeks contact met de bewoners Het is belangrijk dat je beschikt over overtuigingskracht en daarnaast stevig in je schoenen staat Heb je naast duidelijke communicatie vaardigheden ook nog financieel inzicht In deze veelzijdige functie maak je ook kleine offertes op en verwerk je dit in het systeem, , Ben jij op zoek naar een parttime functie en wil je volgende week beginnen Reageer dan direct op baanbereiknl of bel naar de vestiging bij jou in de buurt click apply Zwaag of click apply Heerhugowaard, , Arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325996506?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-6045495661328638652%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=iZR5&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/communicatie-medewerker-at-baanbereik-2325996506?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
7,communication,LinkedIn,2284864265,Promo Communicatie Coördinator,S4DB/whyTQOxEwpcVINtiQ==,Blokker,"Amsterdam, North Holland, Netherlands",['Retail'],"Onze winkels die al bijna 125 jaar het straatbeeld oranje kleuren worden elke dag door heel veel klanten bezocht en zijn levendig als nooit te voren Onze doelstelling om een beter en leuk thuis bereikbaar te maken voor iedereen, betekent dat we met elkaar veel werk moeten verzetten Een deel van dat werk vindt achter de schermen plaats Om dit mogelijk te maken zijn wij voor ons Servicekantoor op zoek naar talenten die deel willen uitmaken van deze uitdaging, en energie krijgen om onze visie, wij zijn de vertrouwde plek dichtbij voor inspiratie en oplossingen bij jou thuis, elke dag waar te maken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284864265?url=https%3A%2F%2Fwww%2Ewerkenbijblokker%2Enl%2Fvacatures%2Fvacature-promo-communicatie-coordinator&urlHash=unJ_&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/promo-communicatie-co%C3%B6rdinator-at-blokker-2284864265?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
8,communication,LinkedIn,2324772768,Communicatiemedewerker,TVjhWR0NTJ6mNB0mHJJ1wA==,ZonMw,"Den Haag, South Holland, Netherlands",['Research'],"Functiexadomschrijving, , Wil jij aan de slag gaan met een breed spectrum van maatschappelijke gezondheidsvraagstukken En wil je met de juiste communicatie over gezondheidsonderzoek, ervoor zorgen dat de kennis die beschikbaar komt ook echt gebruikt wordt in onderzoek, praktijk, onderwijs of beleid, , Voor het cluster Gezondheidsbescherming en het cluster Gehandicapten en Chronisch Zieken zoeken we een, , , 3236 uur per week 0,8891,0 fte, vacaturenummer 2081 CM GCZGZB, , Ben je een actieve, enthousiaste en bedreven communicatiemedewerker, die met de juiste mix van tekst, beeld, video en audio de verschillende doelgroepen weet te bereiken Heb je affiniteit met of kennis van een of meerdere themas van de genoemde clusters en werk je graag samen met collegas in een omgeving met verschillende partijen en belangen Dan zoeken we jou, , Het cluster Gezondheidsbescherming kijkt naar gezondheid vanuit het OneHealth perspectief humaan, veterinair en omgeving Wereldwijd wordt erkend dat veel gezondheidsproblemen bij mensen onlosmakelijk verbonden zijn aan diergezondheid en de omgeving Dit cluster werkt aan diverse programmas gericht op Klimaat en gezondheid, Verspreiding infectieziekten, Antimicrobile resistentie en Voeding en gezondheid Het onderzoeksprogramma COVID19 maakt ook deel uit van dit cluster Aan dit programma werken diverse collegas vanuit de hele organisatie Meer informatie vind je op, , Met de programmas van het cluster Gehandicapten Chronisch Zieken willen wij eraan bijdragen dat iedereen het leven kan leiden waar men zelf voor kiest Het gaat om meedoen in de samenleving, ook als je een beperking enof een chronische ziekte hebt Het hebben van een ziekte staat niet centraal maar heel de mens Onderzoek en kennisontwikkeling dragen bij aan het vermogen om regie te voeren over het eigen leven De vraagstukken binnen dit cluster gaan niet alleen over zorg en ondersteuning, maar ook over leven met je ziekte of beperking als het gaat om wonen, werken, onderwijs, vrije tijd, toegankelijkheid en mobiliteit, , Je gaat voor de helft van je tijd aan de slag als communicatiemedewerker voor het COVID19 programma en de andere helft van je tijd ondersteun je enkele programmas binnen het cluster Gehandicapten en Chronisch Zieken, , Functieeisen, , Ben je enthousiast over deze functie en ben je een gemotiveerde en energieke teamspeler, die beschikt over hbo werk en denkniveau bij voorkeur een afgeronde opleiding communicatie en feeling voor beleid en de gezondheidszorg Dan is deze functie iets voor jou, , Belangrijk is verder, , , Arbeidsxadvoorwaarden, , , , Overige arbeidsxadvoorwaarden, , , , , Bijzonderheden, , , Belangstellenden kunnen hun motivatie en cv tot en met 9 december 2020 als bestand uploaden Je motivatiebrief graag apart uploaden, , Deze vacature wordt gelijktijdig intern en extern uitgezet Medewerkers binnen ZonMw hebben bij gelijke geschiktheid binnen de procedure voorrang op externen, , ZonMw hecht waarde aan een diverse en inclusieve organisatie Werken in divers samengestelde teams maakt ons effectiever, innovatiever en het werk leuker Een ieder wordt daarom uitgenodigd te solliciteren, , Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324772768?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-3229914036139438926%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=q6Jd&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-zonmw-2324772768?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
9,communication,LinkedIn,2316252047,Communicatiemedewerker,qTEu5RAXSHabxsCkzDNhcQ==,Maandag,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Over de functie, , Ben je op zoek naar afwisselende en leuke tijdelijke opdrachten Lijkt het jou interessant om een kijkje te nemen in verschillende keukens waarbij je een maatschappelijke bijdrage kan leveren Lees dan snel verder, , Via Maandag kom je als communicatiemedewerker te werken bij n van onze opdrachtgevers Dit zijn opdrachtgevers binnen de publieke sector Organisaties waar Maandag mee samenwerkt zijn bijvoorbeeld gemeenten, waterschappen, de omgevingsdienst, zorg zoals de GGD of GGZ en onderwijs Organisaties met een maatschappelijk oogpunt, , Als Communicatiemedewerker ben je werkzaam op verschillende projecten Daarnaast ben je verantwoordelijk voor de vernieuwing en verbeteringen binnen een organisatie op de afdeling communicatie Als Communicatiemedewerker werk je zowel op operationeel als tactisch niveau, , Als Communicatiemedewerker houdt jij je vooral bezig met, , , , , , Als Communicatiemedewerker beschik je over de volgende punten, , , Herken jij jezelf in het bovenstaande profiel en ben je enthousiast geworden na het lezen van deze vacature Ik kom graag met je in contact via 06 22 04 23 19 of mailen naar LeoniqueLaureijmaandagnl Daarnaast kan je ook solliciteren via de daarvoor bestemde knop, , Solliciteren, , Herken jij jezelf in dit profiel En lijkt werken bij Maandag je een mooie stap Solliciteer dan meteen Wie weet ziet jouw maandag er binnenkort dan net zo tof uit als die van ons",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316252047?url=https%3A%2F%2Fwww%2Emaandag%2Enl%2Fapplyjob%2F108131743%3Futm_campaign%3Djobslot%25257Cdo%25257Ca%25257Cao%26utm_content%3DBedrijfsvoering%26utm_source%3Dlinkedin%26utm_medium%3Djobboard-cpt%26utm_term%3D&urlHash=KmC4&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-maandag%C2%AE-2316252047?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
10,communication,LinkedIn,2316709596,Medewerker Marketing Communicatie.,806hfbiWQByA1tGaJLqVUw==,Triodos Bank,"Zeist, Utrecht, Netherlands","['Nonprofit Organization Management', 'Banking', 'Financial Services']","Op 1 april 2019 is Triodos Regenerative Money opgericht, een nieuwe en aparte business unit binnen Triodos Bank NV Binnen deze nieuwe eenheid verkennen we het potentieel van de regeneratieve kracht van geld Wat kan worden bereikt als we geld lenen, investeren of doneren dat als primaire doelstelling heeft om baanbrekende, transformerende initiatieven mogelijk te maken die tot systeemverandering leiden, , Het Centrum werkt met een klein team, dat nu bestaat uit 8 personen Het Centrum houdt zich bezig met Schenkingen en Catalytic Investments en beheert 4 verschillende fondsen, waaronder Stichting Triodos Foundation, , Stichting Triodos Foundation bouwt relaties op met schenkers en initiatiefnemers Met schenkgeld ondersteunt zij projecten die met waardevolle, vernieuwende initiatieven bijdragen aan de ontwikkeling van een duurzame samenleving Schenkers geeft zij de gelegenheid om deelgenoot te worden aan die impact, , Ten behoeve van de communicatie en zichtbaarheid van Stichting Triodos Foundation zijn wij op zoek naar een, , , , , , , , , , , , , , , Geld zet altijd iets in beweging Bij Triodos Bank laten wij met ca 1500 collegas geld werken voor een positieve maatschappelijke verandering Vanuit die missie financieren wij al 40 jaar bedrijven, instellingen en projecten die een positieve verandering teweegbrengen op sociaal, ecologisch en cultureel gebied Daartoe worden we in staat gesteld door spaarders en beleggers, die kiezen voor een eerlijke, duurzame en menswaardige samenleving We investeren alleen in de rele economie en handelen niet in complexe financile producten Bovendien kennen we alle duurzame ondernemers die bij ons bankieren, , Mensen maken het verschil, dat weten wij bij Triodos Bank maar al te goed Samen leveren we een actieve bijdrage aan een duurzame samenleving en dat begint natuurlijk bij onze medewerkers Verschillende structurele reflectiemomenten en de aandacht voor persoonlijke ontwikkeling zorgen er bijvoorbeeld voor dat we samen dat verschil kunnen maken We houden elkaar scherp en werken allemaal vanuit de missie van de Triodos Bank, , Ons hoofdkantoor bevindt zich in Zeist een moderne en groene werkplek Reis je duurzaam en kom je met het openbaar vervoer naar je werk Vanuit onze bedrijfsfilosofie vergoeden we reizen met het openbaar vervoer volledig, , , , Impact op de maatschappij is onze eerste prioriteit Die van ons als bank n die van jou als Medewerker Marketing Communicatie Dat Triodos daarbovenop ook nog eens een goed en rechtvaardig arbeidsvoorwaardenpakket garandeert, is mooi meegenomen Denk hierbij aan, , , , , , Voor meer inhoudelijke informatie over deze functie kun je contact opnemen met Lonhard ten Siethoff Directeur Triodos Foundation per telefoon 31 6 200 33 281 of per email leonhardtensiethofftriodoscom, , Kom jij ons versterken Reageer dan voor 1 december door je cv en motivatie en eventueel een selectief portfolio van artikelen te sturen via de groene button solliciteer nu tav Coen de Winter, Recruiter, , Bij voldoende goede kandidaten behouden we ons het recht voor de vacature eerder te sluiten, , , , Zeist  Head Office, , 12 November 2020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2316709596?url=https%3A%2F%2Fwww%2Etriodos%2Ecom%2Fvacancy%2F51688%2Fmedewerker-marketing-communicatie&urlHash=sITv&refId=d76e4d47-7acf-4014-881d-b793edcd29d3&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-marketing-communicatie-at-triodos-bank-2316709596?refId=d76e4d47-7acf-4014-881d-b793edcd29d3&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-21,2020-11-30
