,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,English Requirement,Dutch Requirement,Sector,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,communication,Indeed,p_684e4781c160f5f7,Assistant / Communications,Ruby Consultancy, Amsterdam Oost,"Looking for a communications and business development assistant for management consultancy.Has worked/ lived in Turkey for 30+ years, is fluent in Turkish (both spoken and written), has a degree in communications/journalism/PR, has an extensive network in Turkey.Verwachte startdatum: 5-4-2021Soort dienstverband: Fulltime, Tijdelijk, Onbepaalde tijdWerkschema:Dagdienstma-vrThuiswerken:Ja",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Ruby-Consultancy/jobs/Assistant-684e4781c160f5f7?fccid=313c068f13ebd02a&vjs=3,2 dagen geleden,2 dagen geleden,2021-03-14,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
1,communication,Indeed,p_20c7cccb0c76a415,Sales Assistant - Fixed Term Contract,WHSmith, Schiphol,"WH Smith is one of the World’s most popular bookseller, newsagent and convenience retailers and is loved by millions of customers who shop in our Stores across the world.As part of our International expansion WH Smith is coming to Holland to open our third Store in Amsterdam’s hugely popular and busy Schiphol Airport offering a variety of shifts. As such we are looking for a team of highly driven and dynamic individuals to drive the performance of this brand new store.It is a fantastic opportunity to not only be part of this exciting team but to also join a well known global company that places a high emphasis on its people, its customers and products. With our international businesses more successful than ever, there’s great scope for growth – and you can be part of it.The Opportunity: Do you thrive in a fast paced environment where no two days are the same, then look no further. We are looking for exceptional individuals used to working in a customer focused environment and highlighting promotions to join our brand new store based in Schiphol Airport. Working in a team you will play an active role in providing a positive customer experience and driving sales.Please note some of our shift patterns require 5am starts.The Accountabilities: To always deliver a friendly service, smiling, greeting and making eye contact with every customer you come into contact withWorking on tills accurately and efficiently, to provide a positive customer experience.Carry out stock replenishment, ensuring all areas of the store remain tidyWorking as an active member of the team, supporting colleagues in all tasksMeeting high standards of display and visual merchandising to ensure the store is well presented. Accurately following planogramsDemonstrate good product knowledge to customers on key promotions and offers. Approaching customers that may require assistance if you are on the shop floorTargeted on having appropriate Till Point Conversations with every customer to add on sales and increase the average transaction value.Role will involve pushing heavy cages and moving stock over long distancesAccepting and receiving deliveriesOccasionally you will be required to open and close the StoresThe Requirements: Experience gained within a retail environment would be idealSales DrivenIdeally you will have previous customer service experienceConfident approach towards maximising sales opportunitiesStrong communication skills and ability to participate as a key team memberAbility to work under pressure in a fast paced environmentFlexibility with working hours and the availability of transport due to shift timesFluency in spoken and written English is essentialAirside pass requirements – valid passport, 5 years continuous referencing, consent to undertake a Criminal Record CheckJob Types: Part-time, ContractEducation:Preferred",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/WHSmith/jobs/Sales-Assistant-20c7cccb0c76a415?fccid=e6d10f9c77816214&vjs=3,2 dagen geleden,2 dagen geleden,2021-03-14,en,No,No,education,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
2,communication,Indeed,pj_95e5e0c43cc0c4a5,Freelance Photographer,Wesualco, Amsterdam,"Wesual is an innovative startup which provides different types of content dedicated to the world of digital imaging including photographic services, video and virtual tours.Wesual offers services that correspond mainly to these four categories of Event, Real Estate and Property, Portrait and Food.*We are currently expanding our team of collaborators across all of Europe, looking for talented photographers and video makers who want to join us.The photographer or the video maker must know how to mix competence and creativity and must have solid knowledge and a strong interest in one or more of the main sectors mentioned above eg Real Estate.Skills and qualificationsThe ideal candidate must have a keen interest in the world of photography and video-making, in addition to the following skills:Having at least 1 year of professional experience as a photographer and / or video-makerHaving gained experience in at least one of the main categories of services mentioned above eg Real Estate photography and / or video, accompanied by a portfolio of recent worksTimely delivery of the material, in compliance with high-quality service standardsEquipment requirementsFull Frame camera with interchangeable lenses;Broadband Internet connection for uploading files;Smartphone with a data plan for urgent communications with the Operation team.The salary is variable and is calculated based on the number of photographic services performed.* Please note that this is a freelancer job offer.Please register and activate your profile on our website.https://en.wesual.co/lavora-con-noi*Job Type: Part-timeWork Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0ARBKs3zoelXBaSaGoJ23ua3lZM9EBcTq-Ir6fwJjzZZAHigKysQHuEg7UU9qfms11GoR8KFiSE6W7UHZUkFh9l6VTr2LNSkQAwSfAt5ISrSipUa8cv9jbUQNGwAXTqmmNeqHnXSsA3jwFnDxIv4im0PzzpA_BcVSiBgswbQpF5Yr3WO5lZsQQhyrraYEKq_yD-_7pBau4Jp45KIOhpPdT5dIzmhVor8wG6SzAPKSYMR4mBOQvNsMgmNFKeqRfqSQjUATfNU4kVjQgVPQFOFQXprdnYBwQIf4OyOj_ZrJHVma7HFdSZxylu-ds-jL4bEhLeHV2tqVoMxzAKVgztMS22onR0aqkRJfnh-fapvpJhXhGdKaRMmeFBAkLrcX7sq-1iYgC6ZZRitNWFxdVQfDpwLwKWMrgty6OpQNzJOCS88fVSLO7Ag-G-ji7fg3ABB5-lz33Lpi0hRM6xtwykNk9p&p=8&fvj=1&vjs=3,23 dagen geleden,23 dagen geleden,2021-03-15,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
3,communication,Indeed,pj_4660c8e37d5cc48b,Customer Service / Operations Specialist,Supply Chain Solutions Europe BV, Lijnden,"Looking for an experienced customer service representative for a new position with a new company with a brand new site in Lijnden.The company, Supply Chain Solutions Europe BV, is part of a successful, global company working within logistics.The role will involve customer service and operational responsibilities, including but not limited to:Processing customer ordersIssue resolution and proactive customer communicationAnalyzing and reporting on KPIs, inventory, logistics and other mattersSystems receiving of inbound orders and allocation of outbound ordersReconciling freight and other invoicesManaging customer invoicingTogether with the Warehouse Team Leader, ensuring the site is running safely and efficientlyThe operation went live on February 1 so this is an opportunity for someone who is looking for a position in which they can grow themselves and help to develop the business in a small and friendly team.We are looking for someone with solid customer service / operational experience, preferably from the logistics industry. Excellent English language skills are mandatory and Dutch language skills are an advantage.Job Types: Full-time, Contract, PermanentSalary: €2,800.00 - €3,200.00 per monthExperience:Klantenservice: 3 years (Preferred)Language:English (Required)Dutch (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A9Ygjk_OUFwr9DembIoEQonTZotiWVe7-gJbI9ZjMIUkwPyoXWIosRvfqLDXyHPkqGNXqWPZzd9ecxtmHrUR8ahZASmgpP8SVeFymaHhcXHghlnAupz5fJk5NSOVIB_bEdzwJzG_wMQz4nZ0FBxwKXMaMkdbFaaGfgbWUf7CiLsvSLUWKkDNk5uHk4e8spvgyvAivNZlbgV_yDe2iHpJxF5EaU9bd-9CL4So1XlziQLPN1J3-jfxjLdqJJXm985V2gJAHZp5e608D9vS54wDK-NLCzioX5Moklmfi6IgW1BOqQbooSoG10J83nMdnYUREkvWwpE9dfrJ0PzW3mV9RqLtbILKOQ15GFixb5IjL64FHQH422aoZWlu7WG3l1sZmmFECRZQcA5ik_3AkXQI-Kf-RBWjPV3xZ7yxkbn1ST9VWrQM9zLSvF8lkIp1kDOwBpYYgLcVaFJJV2UD8BQXQcteHlqOVNpTsC4Vf6ZQ_4RQ==&p=9&fvj=1&vjs=3,23 dagen geleden,23 dagen geleden,2021-03-15,en,Yes,Yes,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
4,communication,Indeed,pj_227f0340ea28ce46,Product Manager (m/f/x) Netherlands,PLUS Taalreizen, Duivendrecht,"PLUS Taalreizen has been active in the market for 25+ years and now more than two decades later, we have expanded to other markets as well. Due to this growth we are looking for a Product Manager for one of the leading tour operators for language travels. We stand for ‘’learning languages and connecting people from all over the world’’. As our Product Manager you will be responsible for the development and implementation of the strategy of all online- as well as offline marketing activities of PLUS Taalreizen. You can think of offline media such as newspapers/flyers/brochures/events and all digital media activity that evolves around the travel industry. In addition, as a manager you are co-responsible for the daily management of a young and enthusiastic team. You are responsible from beginning to end, working hands-on, and continuously adjusting in order to make as much impact as possible and use the marketing resources as effectively as possible. Affinity with the travel industry is a MUST!YOUR TASKS: - Manage our office in Amsterdam and lead a young and enthusiastic team- Establish new business relations- Create new products for the Dutch market- Represent the company at trade fairs- Create a marketing strategy and carry out marketing activities to make our brand and products knownJOB REQUIREMENTS: - BSc or BA in Business Administration or Tourism Management- Proven ability to develop product and marketing strategies- Proven work experience as a product manager with 3+ years’ experience- A strong will in taking over responsibility as well as commercial spirit- Solid understanding of at least one web analytics tool – both setting up measurement frameworks and analysing data to generate insights- Excellent written and verbal communication skills- Willingness to travel globallyWE OFFER: - Multifaceted and challenging scope of duties- Chance to network internationally- Flexible working hours- A motivated team, flat hierarchies and a multicultural environment in an international companyCONDITIONS: - Start: as soon as possible- Working hours: full time (40 hours / week)- Place of work: AmsterdamAre you interested? And do you meet the above requirements? Please send usyour CV with a motivation letter.Job Types: Full-time, ContractExperience:professional: 3 years (Required)Education:Bachelor's (Required)Language:English (Required)Dutch (Required)German (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0Bw6LQeQ5FqD5cnL1XO_CsSnJz83hfXJhPglWbtZSsH5jpnfW-fFZM5lW-4teGi_V403xqXt2TSGZHyRO-mFqjjzShA01KCI6V1pXdwtDzdLn1QeN5BADIC4hxSXmzt6w7-dhT1_HVAhfV1vJO-ZvV9v3nZVbiX6Ilx3p8dhk70iA-2328kXwzbZ6r1qRNjgeodKnjhFsp7rTZYIIWrK8keqcSyLYa8DX_7GMtQeO1wqoT-qmr5Pb5q3-uDpGzaMdytPoJ9VIDLY16GbnmZa3uhyTRdWGw30CCwc3Th7M3u_6_14-B6sqeHqJwcoNBDO6OpBdCxQ9zmsY3s9Q3nPkzcOtI9HE5tnAvHeLT7TNMoSo7-2rOqb6LHwHk7lW3BpeNiIKGWKAIdgvxSCM8Xv9OuXx25eyi4F61bWAX4xGIiLmUEj-yl7qR4RBkk2JnV35op-KmphZmGTzNYeBgXFPSEuz54Z4ZKD8HZO6iCzxjFOA==&p=0&fvj=1&vjs=3,25 dagen geleden,25 dagen geleden,2021-04-06,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
5,communication,Indeed,pj_08580184f8cd3a33,Product Manager (m/f/x) Netherlands,PLUS Taalreizen, Duivendrecht,"PLUS Taalreizen has been active in the market for 25+ years and now more than two decades later, we have expanded to other markets as well. Due to this growth we are looking for a Product Manager for one of the leading tour operators for language travels. We stand for ‘’learning languages and connecting people from all over the world’’. As our Product Manager you will be responsible for the development and implementation of the strategy of all online- as well as offline marketing activities of PLUS Taalreizen. You can think of offline media such as newspapers/flyers/brochures/events and all digital media activity that evolves around the travel industry. In addition, as a manager you are co-responsible for the daily management of a young and enthusiastic team. You are responsible from beginning to end, working hands-on, and continuously adjusting in order to make as much impact as possible and use the marketing resources as effectively as possible. Affinity with the travel industry is a MUST!YOUR TASKS: - Manage our office in Amsterdam and lead a young and enthusiastic team- Establish new business relations- Create new products for the Dutch market- Represent the company at trade fairs- Create a marketing strategy and carry out marketing activities to make our brand and products knownJOB REQUIREMENTS: - BSc or BA in Business Administration or Tourism Management- Proven ability to develop product and marketing strategies- Proven work experience as a product manager with 3+ years’ experience- A strong will in taking over responsibility as well as commercial spirit- Solid understanding of at least one web analytics tool – both setting up measurement frameworks and analysing data to generate insights- Excellent written and verbal communication skills- Willingness to travel globallyWE OFFER: - Multifaceted and challenging scope of duties- Chance to network internationally- Flexible working hours- A motivated team, flat hierarchies and a multicultural environment in an international companyCONDITIONS: - Start: as soon as possible- Working hours: full time (40 hours / week)- Place of work: AmsterdamAre you interested? And do you meet the above requirements? Please send usyour CV with a motivation letter.Job Types: Full-time, ContractExperience:professional: 3 years (Required)Education:Bachelor's (Required)Language:English (Required)Dutch (Required)German (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0A00h9ZsX8JVdlF3S0vNq3_uBC_gx92N9-4vTAoZ9A6gOvwD5NC4GhLrzJ3HMvlgriGjA9yGfshxRCkYYc-lyGpRhSgkdLjoMKp4-OnEjkEVH3-hHrsE2gyM_rs8Lqu6oChyOB0p6HIWR_6Fxf0MJXWM26FGokApL6Nuzs_AKBHPgMCbSoQMi4gJ30ZACx4TxQgtMGDbftyQN9d2349Cg7XeI4kEdgu7nQhbSvr7n4Md1CeqpGAc7pNaE5yu3B9s229X0sAF7sg1MZY7Te24QwOW8EnIRkwmfgexladD28MRjwblc5ohazQ28kQsQ6JqnHJteYG_tdCX3dRUVhQ0SWQ0PNYhIFqZtyl8MiVKP-Dx6NdbdA0aeP6XlLHm1Xv4rxq1AHtSUoa_C0je9nsXGD809Tsr_DZQ12xNN3TPxSiIONRp8QNegiCpOKY5tOrlh36JRRs1fXQIor-i1zC0OF8DKfPI5M2AhY=&p=1&fvj=1&vjs=3,25 dagen geleden,25 dagen geleden,2021-04-06,en,No,No,education,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
6,communication,Indeed,pj_3d68caabee4f3c66,Product Manager (m/f/x) Netherlands,PLUS Taalreizen, Duivendrecht,"PLUS Taalreizen has been active in the market for 25+ years and now more than two decades later, we have expanded to other markets as well. Due to this growth we are looking for a Product Manager for one of the leading tour operators for language travels. We stand for ‘’learning languages and connecting people from all over the world’’. As our Product Manager you will be responsible for the development and implementation of the strategy of all online- as well as offline marketing activities of PLUS Taalreizen. You can think of offline media such as newspapers/flyers/brochures/events and all digital media activity that evolves around the travel industry. In addition, as a manager you are co-responsible for the daily management of a young and enthusiastic team. You are responsible from beginning to end, working hands-on, and continuously adjusting in order to make as much impact as possible and use the marketing resources as effectively as possible. Affinity with the travel industry is a MUST!YOUR TASKS: - Manage our office in Amsterdam and lead a young and enthusiastic team- Establish new business relations- Create new products for the Dutch market- Represent the company at trade fairs- Create a marketing strategy and carry out marketing activities to make our brand and products knownJOB REQUIREMENTS: - BSc or BA in Business Administration or Tourism Management- Proven ability to develop product and marketing strategies- Proven work experience as a product manager with 3+ years’ experience- A strong will in taking over responsibility as well as commercial spirit- Solid understanding of at least one web analytics tool – both setting up measurement frameworks and analysing data to generate insights- Excellent written and verbal communication skills- Willingness to travel globallyWE OFFER: - Multifaceted and challenging scope of duties- Chance to network internationally- Flexible working hours- A motivated team, flat hierarchies and a multicultural environment in an international companyCONDITIONS: - Start: as soon as possible- Working hours: full time (40 hours / week)- Place of work: AmsterdamAre you interested? And do you meet the above requirements? Please send usyour CV with a motivation letter.Job Types: Full-time, ContractExperience:professional: 3 years (Required)Education:Bachelor's (Required)Language:English (Required)Dutch (Required)German (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0AnHBbHP9q18TFAUn0wdMMhnZfVCQuBtiwmxviBLxAHr3nywml_UKSaZyLo_9L0hazOWwLZw7SRqkG8Ty5dIdMtYIDKkLl2omoWDIIfU8vdBvu5DnXABk4egBYxp6aziHFg_VdEyVtDke9A_nd0nZ_R_ato4esIBTZqMNx5r07qn6h2JkcUScsH_M4VemXAWW1macF2r6zzfxXHMqgnLDrfjL7dHrE3THaxX0BUl3wU4y7kl3Sl87ZfVfhEkfW6BssGRvq3DCPOtvJdZqUMtxDAiirlmWlLIoofvy7D2JerZ6vsEgKoW1ZfoXVqqu52RCtPU2gTEI3qSRoODZ-XwtrXHeZtl81Vgl-1u952ztyk0ruUGOMX9-8Yp2ZnnOUotWFm_1lBsELycCtZPPdAjFsyGp1OZ7MWd1Fc_v_OmbjlSvGmZmf9-2I9Lvgj8FPiKT-lyYgBf-22B7q6iAZuU_O7&p=2&fvj=1&vjs=3,25 dagen geleden,25 dagen geleden,2021-04-06,en,No,No,education,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
7,communication,Indeed,pj_31f6a54b49d980f0,Product Manager (m/f/x) Netherlands,PLUS Taalreizen, Duivendrecht,"PLUS Taalreizen has been active in the market for 25+ years and now more than two decades later, we have expanded to other markets as well. Due to this growth we are looking for a Product Manager for one of the leading tour operators for language travels. We stand for ‘’learning languages and connecting people from all over the world’’. As our Product Manager you will be responsible for the development and implementation of the strategy of all online- as well as offline marketing activities of PLUS Taalreizen. You can think of offline media such as newspapers/flyers/brochures/events and all digital media activity that evolves around the travel industry. In addition, as a manager you are co-responsible for the daily management of a young and enthusiastic team. You are responsible from beginning to end, working hands-on, and continuously adjusting in order to make as much impact as possible and use the marketing resources as effectively as possible. Affinity with the travel industry is a MUST!YOUR TASKS: - Manage our office in Amsterdam and lead a young and enthusiastic team- Establish new business relations- Create new products for the Dutch market- Represent the company at trade fairs- Create a marketing strategy and carry out marketing activities to make our brand and products knownJOB REQUIREMENTS: - BSc or BA in Business Administration or Tourism Management- Proven ability to develop product and marketing strategies- Proven work experience as a product manager with 3+ years’ experience- A strong will in taking over responsibility as well as commercial spirit- Solid understanding of at least one web analytics tool – both setting up measurement frameworks and analysing data to generate insights- Excellent written and verbal communication skills- Willingness to travel globallyWE OFFER: - Multifaceted and challenging scope of duties- Chance to network internationally- Flexible working hours- A motivated team, flat hierarchies and a multicultural environment in an international companyCONDITIONS: - Start: as soon as possible- Working hours: full time (40 hours / week)- Place of work: AmsterdamAre you interested? And do you meet the above requirements? Please send usyour CV with a motivation letter.Job Types: Full-time, ContractExperience:professional: 3 years (Required)Education:Bachelor's (Required)Language:English (Required)Dutch (Required)German (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0Catp7Vk_1vKG48ls5JTLSCMXo8p-y9H1jXmCMaEGhgBPv-E-bjRdZlKuQR6BCpbGH4pSEafgn0TqMsRrGTs8TJhhZChWvAsVBIN5ADWCOHJu--Ew8jdux88H90OfEhb2SQMNKBFjPhC-v2KMhKt5mguTurmqfQ2fAOU3Edf0r5Yub_pX5vf9ScHsnGJmUJoK7jLql5apB4e2XacvI3x_BOBe63GPc4nOBb_KBXWLxvpLcAoZUrT3Pe8aSJ6fGFwebc66e2PCW_NndL0U-oak6KvozutjKBWATHFB3PFo08Av1vGR2mVPojNK9tQnllavCpQFuwP9filcXgKsfOOKp7t8FRCwNDjgnUQbiGKxO1CzjTtxC647ZYu-XazHVqWmzsa5DCKeBhOtouyibE4PDaJRQKGPvtYzhWftXUmEji3nVlgrUZZ_FD2hG4n5Mj6lJ4DOativWf8w==&p=3&fvj=1&vjs=3,25 dagen geleden,25 dagen geleden,2021-04-06,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
8,communication,Indeed,p_99cebd88be5a4fe5,Product Manager (m/f/x) Netherlands,PLUS Taalreizen, Duivendrecht,"PLUS Taalreizen has been active in the market for 25+ years and now more than two decades later, we have expanded to other markets as well. Due to this growth we are looking for a Product Manager for one of the leading tour operators for language travels. We stand for ‘’learning languages and connecting people from all over the world’’. As our Product Manager you will be responsible for the development and implementation of the strategy of all online- as well as offline marketing activities of PLUS Taalreizen. You can think of offline media such as newspapers/flyers/brochures/events and all digital media activity that evolves around the travel industry. In addition, as a manager you are co-responsible for the daily management of a young and enthusiastic team. You are responsible from beginning to end, working hands-on, and continuously adjusting in order to make as much impact as possible and use the marketing resources as effectively as possible. Affinity with the travel industry is a MUST!YOUR TASKS: - Manage our office in Amsterdam and lead a young and enthusiastic team- Establish new business relations- Create new products for the Dutch market- Represent the company at trade fairs- Create a marketing strategy and carry out marketing activities to make our brand and products knownJOB REQUIREMENTS: - BSc or BA in Business Administration or Tourism Management- Proven ability to develop product and marketing strategies- Proven work experience as a product manager with 3+ years’ experience- A strong will in taking over responsibility as well as commercial spirit- Solid understanding of at least one web analytics tool – both setting up measurement frameworks and analysing data to generate insights- Excellent written and verbal communication skills- Willingness to travel globallyWE OFFER: - Multifaceted and challenging scope of duties- Chance to network internationally- Flexible working hours- A motivated team, flat hierarchies and a multicultural environment in an international companyCONDITIONS: - Start: as soon as possible- Working hours: full time (40 hours / week)- Place of work: AmsterdamAre you interested? And do you meet the above requirements? Please send usyour CV with a motivation letter.Job Types: Full-time, ContractExperience:professional: 3 years (Required)Education:Bachelor's (Required)Language:English (Required)Dutch (Required)German (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=99cebd88be5a4fe5&fccid=18061989e771e071&vjs=3,25 dagen geleden,25 dagen geleden,2021-04-06,en,No,No,business services,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,M,0.42133726647000985,0.5786627335299902,0.35693215339233036,0.6425762045231072,Mixed Gender,Mixed Age
9,communication,Indeed,pj_9910ecad8158be1e,Product Manager (m/f/x) Netherlands,PLUS Taalreizen, Duivendrecht,"PLUS Taalreizen has been active in the market for 25+ years and now more than two decades later, we have expanded to other markets as well. Due to this growth we are looking for a Product Manager for one of the leading tour operators for language travels. We stand for ‘’learning languages and connecting people from all over the world’’. As our Product Manager you will be responsible for the development and implementation of the strategy of all online- as well as offline marketing activities of PLUS Taalreizen. You can think of offline media such as newspapers/flyers/brochures/events and all digital media activity that evolves around the travel industry. In addition, as a manager you are co-responsible for the daily management of a young and enthusiastic team. You are responsible from beginning to end, working hands-on, and continuously adjusting in order to make as much impact as possible and use the marketing resources as effectively as possible. Affinity with the travel industry is a MUST!YOUR TASKS: - Manage our office in Amsterdam and lead a young and enthusiastic team- Establish new business relations- Create new products for the Dutch market- Represent the company at trade fairs- Create a marketing strategy and carry out marketing activities to make our brand and products knownJOB REQUIREMENTS: - BSc or BA in Business Administration or Tourism Management- Proven ability to develop product and marketing strategies- Proven work experience as a product manager with 3+ years’ experience- A strong will in taking over responsibility as well as commercial spirit- Solid understanding of at least one web analytics tool – both setting up measurement frameworks and analysing data to generate insights- Excellent written and verbal communication skills- Willingness to travel globallyWE OFFER: - Multifaceted and challenging scope of duties- Chance to network internationally- Flexible working hours- A motivated team, flat hierarchies and a multicultural environment in an international companyCONDITIONS: - Start: as soon as possible- Working hours: full time (40 hours / week)- Place of work: AmsterdamAre you interested? And do you meet the above requirements? Please send usyour CV with a motivation letter.Job Types: Full-time, ContractExperience:professional: 3 years (Required)Education:Bachelor's (Required)Language:English (Required)Dutch (Required)German (Preferred)Work Remotely:No",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CAfPLtvSc0KF_eHWGwkC81c5LTWPQKH5CJewu4hvDuCoJBV246NxyXR2SwCbDAExrUOwQOZzFFXYOc0Qua7XvBcB4edO7VLCzdNjhGV-ty_P6BEJmktHyHvAhnqXYYQCvy2vCiYQIvuS6WXHZrDubmT2UDDhwryx6_KFWoesRhPPl1isndIQwtxG5RjVhrRIuA6wTSiVXSkmvA-8-LydYn8Z_0CSb1DH0TsqtvpEr3EegM5HIo3s2YBzZDNcLORsO7Y24r2VZt70gTqvM40zgxcGqegCu7kpEr3Gt3Cq9_DN1ql2O1S8jnWRfewG_VYiK6cMngcW_1b6bZ6oUDm6TKK__E1qK96LHxvZ6aDBUjUR1XcrAZmH95eH5UFxJ1qwBfAFoKpStNNUT_MqHonsVUZ-LgNSeE1CdzQoHhR9QqsagskBdFmWkuuZ1yYWGR9ss6WsjtebXf-4jDB9Bo26mC&p=5&fvj=0&vjs=3,25 dagen geleden,25 dagen geleden,2021-04-06,en,No,No,information and communication,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,J,0.27586206896551724,0.7241379310344828,0.3275862068965517,0.6724137931034483,Mixed Gender,Mixed Age
