Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,culture,LinkedIn,2307821852,Archiefmedewerker collecties Grafische vormgeving,as1gOo2cTkWP3a9wU7cs5Q==,University of Amsterdam,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Nonprofit Organization Management', 'Research']","Het Allard Pierson is ht museum en ht kennisinstituut voor de erfgoedcollecties van de Universiteit van Amsterdam en onderdeel van de Bibliotheek UvAHvA, , Museale en academische taken komen samen onder n dak Allard Pierson beheert een van de grootste erfgoedcollecties van Europa, varirend van archeologisch materiaal tot zeldzame boeken, kaarten, prenten en handschriften De afdeling Collecties beheert de verzamelingen grafische vormgeving van het Allard Pierson De archieven van het voormalige Nederlands Archief Grafische Ontwerpers NAGO maken hier deel van uit, , , , Een enthousiaste medewerker met verstand van het verwerken van archieven en collecties Het betreft archieven van zelfstandig werkende ontwerpers als ook die van ontwerpbureaus Kennis van grafische techniek,  productie en  vormgeving strekt tot aanbeveling, , De nieuwe medewerker kan goed zelfstandig werken en beschikt tevens over goede communicatieve eigenschappen om de werkzaamheden in overleg met de conservator en andere collegas uit te voeren, , , , Het project gaat een bijdrage leveren aan de passieve conservering en ontsluiting van alle archieven op het gebied van de grafische vormgeving, ondergebracht bij het Allard Pierson Doelstelling is het veiligstellen en zo mogelijk publiceren van alle bestaande beeldbestanden Tot de werkzaamheden van de archiefmedewerker behoren, , , De werkzaamheden zullen grotendeels of volledig uitgevoerd worden op de locatie UBA Boekendepot, Meibergdreef 29, Amsterdam, , Wat vragen wij van jou, , , , , , Inlichtingen, , Heb je nog vragen of wil je meer weten Neem dan contact op met, , , , Ons aanbod, , Het betreft een tijdelijke arbeidsovereenkomst voor een periode van een jaar met een maand proeftijd en een mogelijke verlenging bij gebleken geschiktheid, De aanstelling vindt plaats via UvA Jobservice, , , , , , Je kunt via onderstaande link online solliciteren Sollicitaties die rechtstreeks naar de contactpersoon of op een andere wijze zijn verstuurd, worden niet verwerkt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307821852?url=https%3A%2F%2Fwww%2Euva%2Enl%2Fcontent%2Fvacatures%2F2020%2F11%2F20-726-archiefmedewerker-collecties-grafische-vormgeving%2Ehtml%3Forigin%3DRrhWo%252FMXSgW7Uzvhwnl%252B%252Fg%26%253Futm_source%3Dlinkedin%26utm_medium%3Djobslot%26utm_campaign%3DLinkedin2015&urlHash=V6pv&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/archiefmedewerker-collecties-grafische-vormgeving-at-universiteit-van-amsterdam-2307821852?refId=aee85551-0976-41ba-ad06-485371528a85&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
2,culture,LinkedIn,2304934080,Strateeg,LpaLNAVmSRSxDYt4kgrj/g==,TBWANEBOKO,"Amsterdam, North Holland, Netherlands",['Marketing and Advertising'],"Wanted Strateeg, TBWA wordt ook wel de Disruption Company genoemd Dat is niet voor niets Door het doorbreken van conventies creren we ruimte voor groei Met onze creatieve ideen weten we bedrijven te veranderen en cultuur te bepalen Dat maakt ons pirates in de reclamewereld en daar kunnen we wel wat versterking bij gebruiken Voor ons pirate ship in Amsterdam zoeken we een strateeg ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304934080?url=https%3A%2F%2Ftbwaneboko%2Ehomerun%2Eco%2Fstrateeg&urlHash=UsaZ&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/strateeg-at-tbwa-neboko-2304934080?refId=aee85551-0976-41ba-ad06-485371528a85&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
3,culture,LinkedIn,2323101263,Personal Assistant Amsterdam,II+gRRdkS7afmE26zMz0CQ==,Projob,"Amsterdam, North Holland, Netherlands","['Apparel & Fashion', 'Logistics and Supply Chain', 'Retail']","Ben jij een doortastende en proactieve PA met ervaring met partnerstructuren Is jouw Engels en Nederlands van hoog niveau en ben jij fulltime beschikbaar Projob is altijd op zoek naar top PAs Als PA ga je werken voor een partner binnen een bepaalde praktijkgroep, in feite word jij zijn of haar steun en toeverlaat Je regelt de agenda, houdt overzicht over de verschillende zaken die er lopen en je kunt onder tijdsdruk presteren De partner waar je voor werkt kan veel onderweg zijn dus komt het op jou neer om zijn of haar inbox te beheren en alle administratieve werkzaamheden zoals documentverwerking, zaakaanmeldingen en dossiers rondom zijn of haar functie te managen Wie zoeken wij Wij zoeken een regelaar die doortastend en proactief is, snel kan schakelen en pragmatisch is ingesteld Iemand die er plezier in heeft om zich, samen met de partner en de rest van het team, vol in te zetten en voor wie een perfecte en snelle dienstverlening aan de clinten vanzelfsprekend is De functie kent ook een paar harde eisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323101263?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fpersonal-assistant-amsterdam%3A44374230%2F&urlHash=wgkl&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/personal-assistant-amsterdam-at-projob-2323101263?refId=aee85551-0976-41ba-ad06-485371528a85&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
4,culture,LinkedIn,2322989957,Archiefmedewerker collecties Grafische vormgeving,BjXwJfx8TSWBb1lVIo00vg==,Universiteit van Amsterdam,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Higher Education', 'Research']","Tot De Werkzaamheden Van De Archiefmedewerker Behoren, , Het Allard Pierson is ht museum en ht kennisinstituut voor de erfgoedcollecties van de Universiteit van Amsterdam en onderdeel van de Bibliotheek UvAHvA Museale en academische taken komen samen onder n dak Allard Pierson beheert een van de grootste erfgoedcollecties van Europa, varirend van archeologisch materiaal tot zeldzame boeken, kaarten, prenten en handschriften De afdeling Collecties beheert de verzamelingen grafische vormgeving van het Allard Pierson De archieven van het voormalige Nederlands Archief Grafische Ontwerpers NAGO maken hier deel van uit We zoeken een archiefmedewerker Grafische collecties Een enthousiaste medewerker met verstand van het verwerken van archieven en collecties Het betreft archieven van zelfstandig werkende ontwerpers als ook die van ontwerpbureaus Kennis van grafische techniek,  productie en  vormgeving strekt tot aanbeveling De nieuwe medewerker kan goed zelfstandig werken en beschikt tevens over goede communicatieve eigenschappen om de werkzaamheden in overleg met de conservator en andere collegas uit te voeren Wat ga je doen Het project gaat een bijdrage leveren aan de passieve conservering en ontsluiting van alle archieven op het gebied van de grafische vormgeving, ondergebracht bij het Allard Pierson Doelstelling is het veiligstellen en zo mogelijk publiceren van alle bestaande beeldbestanden, , Wat vragen wij van jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322989957?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Farchiefmedewerker-collecties-grafische-vormgeving%3A44388471%2F&urlHash=Yctd&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/archiefmedewerker-collecties-grafische-vormgeving-at-universiteit-van-amsterdam-2322989957?refId=aee85551-0976-41ba-ad06-485371528a85&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
5,culture,LinkedIn,2308362673,Personal Assistant,cY57vfXTTpaszp6WxsvONw==,Pro Assistance BV,"Amsterdam, North Holland, Netherlands","['Law Practice', 'Financial Services']","Voor onze opdrachtgever zoeken wij een professionele, communicatieve en nauwkeurige Personal Assistant  Officemanager ter ondersteuning van de Managing Partner en het kantoor Een intelligente, proactieve, gestructureerde assistent die rust uitstraalt Die een goed gevoel voor humor heeft en passie voor zijnhaar werk",Full-time,https://www.linkedin.com/jobs/view/externalApply/2308362673?url=https%3A%2F%2Fwww%2Epro-assistance%2Enl%2Fvacature-detail%2Ehtml%3Fnummer%3DO200126&urlHash=RzDT&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/personal-assistant-at-pro-assistance-werving-selectie-management-support-2308362673?refId=aee85551-0976-41ba-ad06-485371528a85&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
6,culture,LinkedIn,2288017728,Intern begeleider,Ug4qmnOkRf6RVLuFVPWuSA==,OnderwijsPost,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Over deze vacature, , Ontwikkeling, cordinatie en uitvoering van het zorgbeleid van de school Leraren adviseren en ondersteunen met het voeren van gesprekken met ouders en allerlei externe instanties Als intern begeleider zijn dit taken waar jij veel mee bezig bent Spreekt dit jou aan en ben je toe aan een nieuwe stap in jouw onderwijscarrire Dan ben je bij ons aan het juiste adres, , Wij zijn op zoek naar een intern begeleider met bergen aan onderwijservaring Je bent goed op de hoogte van de nieuwste ontwikkelingen en streeft naar groei en ontwikkeling binnen het team Als intern begeleider ben je aanwezig op school en voer je verschillende taken uit, alles in het belang van de kinderen en het team Je bent verantwoordelijk voor de leerlingenzorg en je hebt cordinerende en begeleidende taken Als de leerkracht een hulpvraag heeft, ben jij er om dit te onderzoeken en om te kijken wat de juiste oplossing is Je zal soms ook als coach bijspringen en leerkrachten helpen met een beter klassenmanagement, didactische vraagstukken en pedagogisch handelen Tijdens klassenbezoeken voer je gesprekken over dit soort onderwerpen, , Ons grote onderwijsnetwerk heeft geregeld een intern begeleider nodig in de omgeving Amsterdam voor de korte en lange termijn Wij willen jou niet zomaar koppelen aan een school, maar kijken verder dan je cv Jouw wensen staan centraal Wat voor soort cultuur zoek jij Word jij gelukkig van kleine scholen of zoek je een hele grote school Wij luisteren naar jou en de wensen van de scholen in ons netwerk Op die manier kunnen wij jou in contact brengen met een school waar jij cht met plezier aan het werk kunt, , Ben je nieuwsgierig geworden Solliciteer dan onderaan deze pagina, , Daar tegenover staat, , , , Wie zijn wij, , OnderwijsPost is een arbeidsbemiddelingsbureau gespecialiseerd in het onderwijs Wij brengen al jaren op succesvolle wijze opdrachtgevers en professionals bij elkaar binnen alle lagen van het onderwijs en de kinderopvang Hierbij gaat het om zowel kortdurende vervangingen als vaste dienstverbanden Persoonlijke aandacht is voor ons erg belangrijk om de wensen van onze professionals en opdrachtgevers goed in kaart te brengen Veel van onze recruiters en accountmanagers hebben zelf een achtergrond in het onderwijs en begrijpen hierdoor het werkveld Met onze OnderwijsPost Academy trainingen kunnen professionals zich blijven ontwikkelen en gezellige uitjes zorgen voor een groot onderwijs netwerk, , Functie eisen",Internship,https://www.linkedin.com/jobs/view/externalApply/2288017728?url=https%3A%2F%2Fonderwijspost%2Enl%2Fvacatures%2Fintern-begeleider&urlHash=TVlm&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/intern-begeleider-at-onderwijspost-2288017728?refId=aee85551-0976-41ba-ad06-485371528a85&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
7,culture,LinkedIn,2312433901,Junior medewerker - Marketing & Communicatie,UoIFJCDISLaEBBdtTPzbZg==,Kennedy Van der Laan,"Amsterdam, North Holland, Netherlands",None,"Kennedy Van der Laan is een onafhankelijk Nederlands advocatenkantoor met 200 medewerkers, waarvan ruim 110 advocaten Vanuit onze kantoren in Amsterdam en Eindhoven, werken wij wereldwijd voor een breed scala aan clinten, van startups tot multinationals van naam en faam Al vanaf de oprichting waren de oprichters vastbesloten om niet ingewikkeld te doen over advocatuur Vooral dichtbij je clinten staan, zo helder en kernachtig mogelijk zijn in alle adviezen en werk leveren dat in ruimere zin van betekenis kan zijn voor de samenleving zo werken wij nog steeds Het heeft een open, vriendelijke en informele cultuur gecreerd, waarin hard wordt gewerkt op topniveau, maar tegelijkertijd veel aandacht is voor een gezonde balans tussen leven en werk Om bij ons te passen hoef je op niemand te lijken Sterker nog, dat is zelfs een pr Help jij ons mee om dat aan de wereld te laten zien Welkom bij Kennedy Van der Laan Jouw rol in onze merkpositionering Voor onze afdeling Marketing  Business Development zijn wij opzoek naar een allround junior medewerker Marketing  Communicatie Iemand die onder begeleiding van ervaren adviseurs onze corporate identity doorvoert in alle communicatiemiddelen Vanuit deze rol werk je nauw samen met een team van zeven specialisten, werkzaam binnen de disciplines Marketing  Communicatie, Events en Business Development Kennedy Van der Laan werkt voor een breed scala aan bedrijven van innovatieve multinationals tot ambitieuze scaleups In alle gevallen weet jij vanuit de klantcommunicatie precies de juiste snaar te raken Al vanaf de oprichting zijn wij d juridische adviseur op het gebied van Tech en Media jij ziet het dan ook als een mooie uitdaging om altijd als eerste op de hoogte te zijn van de nieuwste snufjes en online toepassingen, , Vanuit deze rol ben jij concreet bezig met het",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312433901?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fjunior-medewerker-marketing-en-communicatie%3A44264821%2F&urlHash=f1B_&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-medewerker-marketing-communicatie-at-kennedy-van-der-laan-2312433901?refId=aee85551-0976-41ba-ad06-485371528a85&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
8,culture,LinkedIn,2284390768,Klantenservice Productspecialist DJ,YbrolHk7QUKFWlX83f0EBA==,Bax Music Amsterdam,"Amsterdam, North Holland, Netherlands",None,"Bax Music Amsterdam zoekt een Klantenservice Productspecialist DJ te MBO geplaatst op 06112020, KLANTENSERVICE PRODUCTSPECIALIST DJ, , Door groei van onze organisatie zijn wij voor onze vestiging in Goes en Amsterdam per direct op zoek naar een Klantenservice medewerker met kennis van onze productgroep DJ Gear, ,  Let op, deze functie betreft een functie in ons callcenter Het is dus geen functie die uitgevoerd wordt in een van onze winkels, , , , Als Klantenservice Productspecialist DJ beantwoordt je alle vragen van onze klanten op het gebied van DJ en en algemene vragen zoals statusinfo Daarnaast zorg jij met passende oplossingen voor een tevreden klant Voor de functie van Klantenservice productspecialist DJ volg je eerst een training van 8 weken om de systemen en kennis van onze producten onder de knie te krijgen, , , , , , , , , , , , , Bax Music is de grootste online muziekwinkel van de Benelux, en de toekomstig grootste muziekwinkel van Europa Engeland, Frankrijk, Duitsland, Itali, Spanje en Zweden Met honderdduizenden pakketten die jaarlijks verstuurd worden en miljoenen unieke bezoekers per jaar is Bax Music marktleider in de Benelux op het gebied van licht, geluid, muziekinstrumenten, produceer en DJgear Ons hoofdkantoor is gevestigd in Goes en wij hebben een kantoor bij onze winkel in Amsterdam, , Interesse in de functie van Klantenservice Productspecialist DJ bij Bax Music Amsterdam regio , , Reageer nu met je CV en motivatie via de solliciteer button, , Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284390768?url=https%3A%2F%2Fwww%2Edebanensite%2Enl%2Fvacature%2Fklantenservice-productspecialist-dj-amsterdam%2F238217%2F&urlHash=dlE3&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/klantenservice-productspecialist-dj-at-bax-music-amsterdam-2284390768?refId=aee85551-0976-41ba-ad06-485371528a85&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
9,culture,LinkedIn,2320904506,Content & Social Marketeer,SL2faiTrTuCysfKny8R35g==,diezit,"Deventer, Overijssel, Netherlands",['Marketing and Advertising'],"Ons online marketing team groeit Next up een gedreven Content  Social Marketeer die met zijn of haar kennis en expertise de content en social media van onze klanten naar een hoger niveau kan tillen Ga jij graag de uitdaging aan om organische vindbaarheid en organisch bereik van social media te vergroten Werk je graag voor verschillende bedrijven en in verschillende branches, en heb je een goede dosis humor Dan hebben wij jouw droombaan",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320904506?url=https%3A%2F%2Fwww%2Ediezit%2Enl%2Fvacatures%2Fcontent-social-marketeer&urlHash=Fpyf&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/content-social-marketeer-at-diezit-2320904506?refId=aee85551-0976-41ba-ad06-485371528a85&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
10,culture,LinkedIn,2321445815,Fotografie Assistent,P+BE8IfHQVW1heqSaF8GKQ==,America Today,"Diemen, North Holland, Netherlands",['Telecommunications'],"America Today is altijd op zoek naar Energetic, Approachable en Responsible crew die ons team helpt versterken Je bent altijd customer focused, een echte team player met passie voor America TodayWe zijn per direct op zoek naar een AssistentAmerica Today biedt sinds 1989 student must haves, genspireerd door Amerikaanse cultuur We zijn internationaal actief en bouwen continue aan onze omnichannel strategie door actief te zijn op plaatsen waar de doelgroep aanwezig is Dit is in het straatbeeld met fysieke stores, op de campus, op evenementen, maar ook online via onze websites en partners Onze organisatie is volop in ontwikkeling en zeker opECOMMERCEdraag je ook bij aan het realiseren van de positionering van America Today als sterk internationaal merkJij bent ht aanspreekpunt voor de webshopfotografie voor America Today, Coolcat Junior en MS Mode Je begrijpt het belang van goede artikelfotografie ten behoeve van een optimale online shopervaring Je zorgt dat alle fotosamples op het juiste moment in de studio aanwezig zijn, vervolgens fotografeer je de artikelen met StyleShoots apparaat en zorg je dat de fotos op tijd online staan De fotografie vindt plaats in de fotostudio die in ons pand aanwezig is Je zal met name gaan samenwerken met je collegas van de ecommerce en inkoop afdelingDe werkzaamheden bestaan onder andere uit het uitvoeren van",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321445815?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F29e3466c-5154-451b-98f1-b826b76336e9%3Fjid%3D25b5eb51d1745d00d4dc4a80d592f7078438b32ad17815232b60d4dbc9806f64%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=OHTt&refId=aee85551-0976-41ba-ad06-485371528a85&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/fotografie-assistent-at-america-today-2321445815?refId=aee85551-0976-41ba-ad06-485371528a85&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,2020-11-26,2020-11-29
