Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,director,LinkedIn,2297596415,Directeur,Sis27iNgRq68tDfj/uLiJQ==,Certus Groep,"Alphen Aan Den Rijn, South Holland, Netherlands","['Government Relations', 'Political Organization', 'Civic & Social Organization']","Over de functieAls interimdirecteur ben je verantwoordelijk voor de uitvoering van de collegedoelstellingen, voor een efficinte en goede gemeentelijke dienstverlening en de interne organisatieVanuit jouw rol als interimdirecteur signaleer en adviseer je over complexe en strategische onderwerpen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2297596415?url=https%3A%2F%2Fwww%2Ecertusgroep%2Enl%2FVacaturedetail%2F5168%2F406483%2FDirecteur%2Ehtml&urlHash=C9XJ&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-at-certus-groep-2297596415?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
2,director,LinkedIn,2319526311,Directeur,T/8LziTvT3uKBSo8Oqrkfw==,VBCI,"Alphen aan den Rijn, South Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Telecommunications']","FunctieomschrijvingWegens het vertrek van de huidige directeur per 1 januari 2021 zijn wij op zoek naar een Interimdirecteur Voor de duur van 6 maanden fulltime inzetbaar 36 uur per weekArbeidsvoorwaardenAlles is bespreekbaarCompetenties Bestuurlijke en omgevingssensitiviteit, analytisch, resultaatgericht, besluitvaardig, mensgericht sturen dienend leiderschap",Full-time,https://www.linkedin.com/jobs/view/externalApply/2319526311?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F2381863220819902860%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=0d02&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-at-vbci-2319526311?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
3,director,LinkedIn,2300304106,Directeur - Bestuurder Woningnet (v/m),htLWUxEMRvq20d66/fK8UA==,Ebbinge,"Amsterdam, North Holland, Netherlands",['Facilities Services'],"ITdienstverlener 130 medewerkers van en voor woningcorporaties Levert innovatieve diensten in woonruimtebemiddeling Nieuw ICTplatform Organisatie in transitieDirecteur Bestuurder is ondernemend en inspirerend Investeert in kwaliteit, samenwerking en innovatie met klanten Kan WoningNet in de markt positioneren Conceptueel sterk, communicatief en besluitvaardig Zichtbaar en kostenbewust Affiniteit met volkshuisvesting en kennis van ICT en Agile werkwijze Eindverantwoordelijke relevante managementervaring WO niveau RvC hecht aan diversiteit in de top van de organisatie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300304106?url=https%3A%2F%2Fwww%2Eebbinge%2Enl%2Fpositie%2Fdirecteur-bestuurder-v-m-woningnet&urlHash=4aJl&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-bestuurder-woningnet-v-m-at-ebbinge-2300304106?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
4,director,LinkedIn,2225819395,Director,0TLnLr+iRaWziuXZPu/0VA==,Rabobank,"Utrecht, Utrecht, Netherlands",['Banking'],"Director Rabo Corporate Investments  Direct Investments NetherlandsImagineOur Rabo Corporate Investments RCI department is part of the Global Corporate Clients business unit, within the Wholesale  Rural division of Rabobank RCI currently has circa EUR 1 billion assets under management and has the ambition to grow the asset base to EUR 22 billion in 2023 Direct Investments actively originates transactions in the Netherlands and monitors, adds value and creates cross sell to its existing portfolio of Dutch SME enterprises Being a longterm and sustainable partner for our Dutch and global FA clients we help them transform through growth and innovation with our capital solutions, leveraging on Rabobanks knowledge and network As Director, you will be responsible for originating and executing Direct Investments in the Netherlands ranging from straight equity to subordinated debt A responsibility with impact, which you shape with high energy, work ethic, and desire for excellent execution and team workCollaboration is at the heart of everything we do With you as Director and part of the Rabo Corporate Investments RCI department with 30 colleagues in the Netherlands, you will cooperate with diverse colleagues in a variety of roles The team has a hands on approach, focussing on extending our network and cooperating with various teams outside RCIBeing able to work in a complex and matrix environment with a strong market  customer focus and having a strong personality are clearly essential for the role of Director As a senior within Rabobank you take responsibility, facilitate and inspire other team members, you actively seek for in and external collaboration with stakeholders and you make the difference for the community Proactively goes the extra mile, and demonstrates good communication skills In addition, its important that you recognise everything in the checklist belowYoull already be aware that Rabobank is a financial services provider for more than 85 million customers in 40 countries But did you know that we aim to contribute to real change with our Growing a better world together mission As an equity investor, we leverage and monetise Rabobanks comprehensive, broad and deep expertise and network to support the success of such relevant companies Hence, being an added value partner beyond bringing along capitalDo you want to become the best version of yourself We would love to help you achieve this by continuously focusing on your growth, development and investing in an environment where you keep learning every day We create an environment to innovate and initiate This way, we offer you numerous opportunities to grow, exceed your expectations and to do the right thing exceptionally well In addition, you can also expect on the basis of a 40 hour working weekAre you the person were looking for Are you ready to join Rabobankour team as Director and make a difference to yourself, our customers and to society We look forward to receiving your application for this vacancy in Utrecht",Full-time,https://www.linkedin.com/jobs/view/externalApply/2225819395?url=https%3A%2F%2Frabobank%2Ejobs%2Fen%2Fjob%2Fdirector%2FJR_00033848%2F%3Futm_source%3Dlinkedin%26utm_medium%3Djob_slot%26utm_content%3DJR_00033848%23application-procedure&urlHash=AWxi&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/director-at-rabobank-2225819395?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
5,director,LinkedIn,2298613186,Directeur ACTA,cq8N9aVuRfmXP0XgC7WooA==,University of Amsterdam,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Nonprofit Organization Management', 'Research']","Het Academisch Centrum Tandheelkunde Amsterdam ACTA is het samenwerkingsverband van de faculteiten Tandheelkunde van de Universiteit van Amsterdam en de Vrije Universiteit Amsterdam ACTA verricht wetenschappelijk onderzoek, geeft onderwijs en verleent patintenzorg op het terrein van de tandheelkundeACTA is internationaal gezien een toonaangevend onderzoeksinstituut en is n van de grootste tandheelkundige opleidingen ter wereld Naast het opleiden van studenten tot tandarts, verzorgt ACTA de NVAOgeaccrediteerde postinitile masteropleiding Oral Health Sciences Daarnaast verzorgt ACTA Dental Education BV postacademische cursussen voor tandartsen, mondhyginisten en tandartsassistentenBij ACTA werken ongeveer 600 medewerkers en volgen 920 studenten de studie Tandheelkunde en ca 500 studenten van Inholland de opleiding Mondzorgkunde Vanaf 1 september 2020 is de opleiding Mondzorgkunde van Inholland ook in het ACTAgebouw gehuisvest Dagelijks levert men aan ca 400 patinten tandheelkundige zorg Er wordt tevens nauw samengewerkt met de Stichting Bijzondere Tandheelkunde SBT, die in hetzelfde gebouw als ACTA is gehuisvest Met Inholland en de SBT bestaan dienstverleningsovereenkomsten Verder wordt gebruik gemaakt van dienstverlening vanuit VU en UvAACTA werkt dagelijks hard aan het creren van een professionele en inclusieve werkomgeving waarin iedere medewerker prettig kan werken, leren en zich ontwikkelenACTA kent een directieteam dat de koers bepaalt en de ambities realiseert van de faculteiten Tandheelkunde van de Universiteit van Amsterdam en de Vrije Universiteit Amsterdam Binnen het directieteam vormt de directeur samen met de decaan van ACTA de bestuurlijke tandem, belast met het dagelijks bestuur en de inrichting van de faculteit Zijhij werkt in het directieteam samen met drie directeuren voor respectievelijk onderzoek, onderwijs en zorg Ook de afdelingsvoorzitter, die tevens optreedt als vicedecaan, heeft zitting in het directieteamDe directeurDe directeur ACTA is verantwoordelijk voor de capaciteitsgroep OBP bedrijfsvoering Dit omvat de functiegebieden onderzoek en onderwijsondersteuning, arbo, milieu en veiligheid, beleid en bestuursondersteuning, communicatie en voorlichting, facilitaire zaken, financin, planning en control, informatiemanagement, personeel en organisatie, privacy  informatiebeveiliging en portfolio en projectmanagement In totaal wordt indirect leidinggegeven aan ca 67 fte 84 medewerkersDe jaarlijkse begroting van de faculteit bedraagt ca  45 miljoenDe directeur ACTAProfielDe directeur ACTAVoor een goede invulling van de functie is het van belang dat de directeurInlichtingenDe procedure wordt ondersteund door Marja Suur van Suur  CompanyVoor meer informatieWij bieden in eerste instantie een tijdelijk dienstverband aan voor de duur van een jaar Bij gebleken geschiktheid volgt een vast dienstverband Het salaris bedraagt, afhankelijk van relevante kennis en professionele achtergrond, maximaal 8371 bruto per maand Verder biedt de UvA een uitgebreid pakket secundaire arbeidsvoorwaarden, waaronder een ruime vakantieregeling en een eindejaarsuitkering, studie en ontwikkelingsmogelijkhedenDe cao Nederlandse Universiteiten is van toepassingSollicitatieSolliciteren kan via Suur  CompanySollicitanten met passende werkervaring en een helder onderbouwde motivatie zullen worden uitgenodigd voor een preselectiegesprek Na deze voorselectie zal de long en shortlist van geschikte kandidaten aan de opdrachtgever worden gepresenteerd Hiervan zal een aantal kandidaten worden uitgenodigd voor gesprekken bij de opdrachtgever Deze kandidaten zullen een gedetailleerde planning van de vervolgprocedure ontvangenIn het eindstadium van de procedure maken wij gebruik van een referentiecheckEen ontwikkelassessment kan onderdeel zijn van de procedure",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298613186?url=https%3A%2F%2Fwww%2Euva%2Enl%2Fcontent%2Fvacatures%2F2020%2F10%2F20-644-directeur-acta%2Ehtml%3Forigin%3DRrhWo%252FMXSgW7Uzvhwnl%252B%252Fg%26%253Futm_source%3Dlinkedin%26utm_medium%3Djobslot%26utm_campaign%3DLinkedin2015&urlHash=GBKn&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-acta-at-universiteit-van-amsterdam-2298613186?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
6,director,LinkedIn,2315344237,Directeur,japglFARSDuJ5Tw1zFQ+IQ==,Van Boheemen Consultancy BV,"Alphen aan den Rijn, South Holland, Netherlands",['Staffing and Recruiting'],"Online sinds 18112020FunctieVoor een nonprofit organisatie in Alphen aan den Rijn zoeken we een DirecteurDe duur van de opdracht betreft minimaal 6 maanden met optie tot verlenging De opdracht is voor 36 uur per weekEen groene stad met Lef De titel van het coalitieakkoord 20182022 geeft aan waar wij als gemeente Alphen aan den Rijn voor gaan Met onze collegas werken wij continue aan het leveren en verbeteren van onze toonaangevende dienstverlening Wij streven ernaar een wendbare organisatie te zijn en in te spelen op de snelle maatschappelijke ontwikkelingen van buiten Kortom, wij zijn een wendbare Organisatie voor en door mensen, waar het leuk werken isWegens het vertrek van de huidige directeur per 1 januari 2021 zijn wij op zoek naar een Interimdirecteur Voor de duur van 6 maanden fulltime inzetbaar 36 uur per weekTaken en verantwoordelijkhedenConcreetCompetenties Bestuurlijke en omgevingssensitiviteit, analytisch, resultaatgericht, besluitvaardig, mensgericht sturen dienend leiderschapCompetentiesJe hanteert de principes van dienend leiderschap waarbij je ruimte zult geven aan de professionals Dit doe je door als teamspeler integraal samen te werken maar ook door sterk leiderschap Je bent besluitvaardig, brengt duidelijkheid en structuur aan Je zet door op de te realiseren doelen, het opgavegericht en projectmatig werken Je motiveert, stuurt en besluit Daarbij heb je ervaring met dienend leiderschap en hanteer je een mensgerichte aansturing je bent open en toegankelijk maar ook resultaatgericht, een gesprekspartner op verschillende abstractie niveaus Je spreekt aan op de inhoud met behoud van de relatie Je beschikt over bestuurlijke en politieke sensitiviteit en hebt integriteit hoog in het vaandel staanHet bruto maandsalaris ligt tussen de  6000, en  8500, obv 36 uur, of een max uurtarief van  85,, afhankelijk van opleiding en ervaringWord je enthousiast van deze opdracht Solliciteer dan snel, dit kan tot en met 3 december 2020In verband met de richtlijnen van het RIVM, werken onze collegas waar mogelijk thuis Komt de kandidaat in aanmerking voor een interview, dan plant de opdrachtgever vooralsnog een videogesprek in met de kandidaat Er zal tijdig contact worden opgenomen om de instructies hiervoor door te nemenDe gesprekken vinden plaats op 10 en 11 decemberWil je liever eerst even bellen of heb je vragen Neem gerust telefonisch contact op met Johan Boekhoudt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315344237?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D2e9d9e04264f%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecadbedd7aadcbdd7gadbaddggddcaddefdda3deccacafec3ddcg3e&urlHash=nXPm&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-at-van-boheemen-consultancy-bv-2315344237?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
7,director,LinkedIn,2284878850,Directeur operatie,FTjpcsvESYSGBJWuzaxmeA==,Reclassering Nederland,"Utrecht, Utrecht, Netherlands","['Civic & Social Organization', 'Executive Office', 'Nonprofit Organization Management']",Reclasseren doe je samen versterk jij ons directieteamDirecteur operatieDirecteur personeel  bedrijfsvoering,Full-time,https://www.linkedin.com/jobs/view/externalApply/2284878850?url=https%3A%2F%2Fwww%2Ereclassering%2Enl%2Factueel%2Fvacature%2Freclasseren-doe-je-samen-versterk-jij-ons-directieteam&urlHash=oYs0&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-operatie-at-reclassering-nederland-2284878850?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
8,director,LinkedIn,2259367798,Director,/WwTi0xtSS2NJxZqKRHC7g==,Van de Groep  Olsthoorn  Executive Search  Interim Management,"Utrecht, Netherlands","['Mechanical or Industrial Engineering', 'Machinery', 'Mining & Metals']","Onze opdrachtgeverOnze opdrachtgever is de Nederlandse dochteronderneming van een van s werelds toonaangevende Japanse fabrikanten van CNCbewerkingsmachines Met tal van innovatieve ontwikkelingen op het gebied van draai, frees, boor, slijp en besturingstechniek heeft het bedrijf een toppositie verworven onder de machinebouwers in de wereld en is het er trots op het enige bedrijf te zijn dat het complete assortiment CNCbewerkingsmachines, besturingen, spillen en software aanbiedt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2259367798?url=https%3A%2F%2Freageren%2Evandegroep%2Enl%2Fjobs%2Fa0e3X00001ZnEz5%2Fapply%3F_s%3D1&urlHash=0-RL&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/director-at-van-de-groep-olsthoorn-executive-search-interim-management-2259367798?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
9,director,LinkedIn,2317641792,Directeur,DNtYF5blTm6oLUekR1MazA==,VBCI,"Alphen aan den Rijn, South Holland, Netherlands",['Real Estate'],"Wegens het vertrek van de huidige directeur per 1 januari 2021 zijn wij op zoek naar een Interimdirecteur Voor de duur van 6 maanden fulltime inzetbaar 36 uur per weekTaken en verantwoordelijkhedenConcreetFunctieeisenCompetenties Bestuurlijke en omgevingssensitiviteit, analytisch, resultaatgericht, besluitvaardig, mensgericht sturen dienend leiderschapBedrijfsomschrijvingEen groene stad met Lef De titel van het coalitieakkoord  geeft aan waar wij als gemeente Alphen aan den Rijn voor gaan Met onze collegas werken wij continue aan het leveren en verbeteren van onze toonaangevende dienstverlening Wij streven ernaar een wendbare organisatie te zijn en in te spelen op de snelle maatschappelijke ontwikkelingen van buiten Kortom, wij zijn een wendbare Organisatie voor en door mensen, waar het leuk werken isArbeidsvoorwaardenAlles is bespreekbaar",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317641792?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F410faf85-01f9-4e1b-b74c-1cbdbf3d0572%3Fjid%3D601faecf975fc029273c6462fac9c7a1d3bd9a848d2e6c8826973ecd2f9fcc99%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=0w14&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-at-vbci-2317641792?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
10,director,LinkedIn,2257090827,Directeur,8LaIS2S8T9uVHCA7Smluwg==,YER Executive,"Utrecht, Utrecht, Netherlands","['Construction', 'Transportation/', 'Trucking/', 'Railroad', 'Civil Engineering']","In deze positie draag je als Directeur de volledige commercile, financile en operationele verantwoordelijkheid van het bedrijf Je drijft en stuurt de hele PL Enerzijds leid en optimaliseer je de commercile organisatie, waarbij je met je team verantwoordelijk bent voor de commercile strategie, business development en accountmanagement Anderzijds ben je eindverantwoordelijk voor een goede begeleiding en uitvoering van de projecten, de financile zaken en de dagdagelijkse operatie inclusief het richting geven aan het continue verbeteren van het bedrijf",Full-time,https://www.linkedin.com/jobs/view/externalApply/2257090827?url=https%3A%2F%2Feasyapply%2Ejobs%2Fr%2Fz73othz1TQUMaz50Fy5R&urlHash=lTyM&refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/directeur-at-yer-executive-2257090827?refId=4996c688-0e7b-4d41-a51f-0f990e5e4152&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-30,2020-11-24
