Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,doctor,LinkedIn,2307839746,Basispsycholoog Autisme Kenniscentrum,vnAidPhMT0W13KGLlojfKw==,doctor Bosman,"Utrecht, Netherlands",['Mental Health Care'],Ben jij psycholoog en beschik je over tenminste 23 jaar ervaring met diagnostiek en behandeling Heb je daarnaast affiniteit met ASS en zou je je naar hartelust willen inzetten voor mensen met autisme Dan ben jij wellicht degene waarnaar wij op zoek zijn voor ons Autisme Kenniscentrum in Utrecht Deze functie is voor 3236 uur per week,Full-time,https://www.linkedin.com/jobs/view/externalApply/2307839746?url=https%3A%2F%2Fwerkenbij%2Edoctorbosman%2Enl%2Fonze-vacatures%2Fbasispsycholoog-volwassenen-akc-utrecht%2F&urlHash=h_g4&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/basispsycholoog-autisme-kenniscentrum-at-doctor-bosman-2307839746?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
2,doctor,LinkedIn,2315398548,Stoelassistent polikliniek Kaakchirurgie - The Hague,jQYyK0dMRlS1CdXyRy7pnQ==,Haaglanden Medisch Centrum HMC,"The Hague, South Holland, Netherlands",['Hospital & Health Care'],"Wat ga je doen, Het team op de polikliniek Kaakchirurgie bestaat uit 5 kaakchirurgen die allemaal een eigen aandachtsgebied hebben Daarnaast kom je te werken met 18 assisterenden, waaronder doctor en tandartsassistenten, verdeeld over de 3 locaties van HMC Jouw collegas zijn ervaren, jong en je kunt veel van elkaar leren Heb jij goede ideen Wij luisteren graag naar je De collegas onderling nemen geen blad voor de mond, je kunt echt alles tegen elkaar zeggen, , Iedere dag is anders op de polikliniek Kaakchirurgie Het ene moment trek je een verstandkies eruit, even later heb je een baby in je schoot en wordt er een tongriempje geknipt Met regelmaat vinden kaakcorrecties plaats Oncologische patienten worden ook door jou behandeld Hiervoor werk je nauw samen met de kaakchirurg, oncologisch verpleegkundige en mondhyginiste Een breed pakket van bezigheden die je afwisselend samen met je collegas invult Het is vooral een bruisende afdeling waar je meerdere spreekuren tegelijk draait 23 spreekuren, , Zoek je meer uitdaging Volg een training bij ons Angstige patinten die een ingreep moeten ondergaan, kunnen bij ons terecht voor een behandeling onder lachgas HMC is hier uitzonderlijk in en bij ons kun je deze training volgen Ook kun je een Rntgen cursus volgen of een cursus Lokale anesthesie, Bijna alles is hier mogelijk om ervoor te zorgen dat jij uitgedaagd blijft in jouw vakgebied",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315398548?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D88df1c42f8b4%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cdd8aadceadafddfcaddaddcgddeaadafdd83aeecdccfec3ddcg3e&urlHash=URef&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stoelassistent-polikliniek-kaakchirurgie-the-hague-at-hmc-haaglanden-medisch-centrum-2315398548?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
3,doctor,LinkedIn,2317451959,Stoelassistent polikliniek Kaakchirurgie,cqU1YIuVTtyD5leFfq4T5Q==,Medisch Centrum Haaglanden,"The Hague, South Holland, Netherlands",['Hospital & Health Care'],"Wat ga je doenHet team op de polikliniek Kaakchirurgie bestaat uit 5 kaakchirurgen die allemaal een eigen aandachtsgebied hebben Daarnaast kom je te werken met 18 assisterenden, waaronder doctor en tandartsassistenten, verdeeld over de 3 locaties van HMC Jouw collegas zijn ervaren, jong en je kunt veel van elkaar leren Heb jij goede ideen Wij luisteren graag naar je De collegas onderling nemen geen blad voor de mond, je kunt echt alles tegen elkaar zeggen, , Iedere dag is anders op de polikliniek Kaakchirurgie Het ene moment trek je een verstandkies eruit, even later heb je een baby in je schoot en wordt er een tongriempje geknipt Met regelmaat vinden kaakcorrecties plaats Oncologische patienten worden ook door jou behandeld Hiervoor werk je nauw samen met de kaakchirurg, oncologisch verpleegkundige en mondhyginiste Een breed pakket van bezigheden die je afwisselend samen met je collegas invult Het is vooral een bruisende afdeling waar je meerdere spreekuren tegelijk draait 23 spreekuren, , Zoek je meer uitdaging Volg een training bij ons Angstige patinten die een ingreep moeten ondergaan, kunnen bij ons terecht voor een behandeling onder lachgas HMC is hier uitzonderlijk in en bij ons kun je deze training volgen Ook kun je een Rntgen cursus volgen of een cursus Lokale anesthesie, Bijna alles is hier mogelijk om ervoor te zorgen dat jij uitgedaagd blijft in jouw vakgebied",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317451959?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fbad4cef0-c66b-47f2-ae68-6262a838e7f7%3Fjid%3D35384e75d3aa5c3114fe72dff98b95e5e37894608af65d40f92cc12db543026b%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=JYv9&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stoelassistent-polikliniek-kaakchirurgie-at-medisch-centrum-haaglanden-2317451959?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
4,doctor,LinkedIn,2314281512,Interieurbouwer,e/8qaC3hQuyATR5Atomm9Q==,Artiflex  Recruitmentspecialist,"Harderwijk, North Holland, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Information Technology and Services', 'Mechanical or Industrial Engineering']","Wat ga je doen, , Een bijzondere uitdaging in coronatijd Hoe gaat het kantoor of school opnieuw ingericht worden, , Als interieurbouwer ga jij aan de slag om nieuwe projecten binnen kantoren, hotels, restaurants, winkels of doctorpraktijken op te bouwen Dit kunnen hele nieuwbouw projecten zijn, maar ook service of aanpassingen aan al bestaande projecten, , Bij deze vacature interieurbouwer in Harderwijk doe je verschillende werkzaamheden De ene dag ben je werkzaam in de werkplaats om een aantal meubels op maat te maken De andere dag ben jij aan de slag bij de klant op locatie Hier maak je alles tot een waar kunstwerk Van balies en trappen tot aan badkamers en keukens, , Een zeer diverse functie waar genoeg te leren is, , Wat vragen wij, , , , , Wat bieden wij, , Als interieurbouwer voor deze vacature kun jij rekenen op een goed salaris, vaste, stabiele werktijden Daarnaast ga jij aan het werk bij een bedrijf wat waarde hecht veiligheid en een goede werksfeer Hier investeren ze dan ook veel in, , Word jij onze interieurbouwer in Harderwijk, , Reageer op deze vacature of bel ons op 0341 703 030, , Voor verdere vragen kun je mij ook mailen op pbierstekerartiflexcom of whatsappen op 0611724090, , Solliciteren",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314281512?url=https%3A%2F%2Fartiflex%2Ecom%2Fik-zoek-werk%2Fvacatures%2Finterieurbouwer-42&urlHash=1blb&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/interieurbouwer-at-artiflex-recruitmentspecialist-2314281512?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
5,doctor,LinkedIn,2317405602,Preventie- tandartsassistente,8vPzOu2zQrmii4jert5xfg==,IMCZ,"Epe, Gelderland, Netherlands",['Hospital & Health Care'],"Was jij als kind goed in doctor Bibber door jouw vaste hand en fijne motoriek Ben je daarnaast ook nog eens ambitieus, sociaal en meedenkend Dan past deze vacature perfect bij jou Wij zoeken een tandartsassistente voor een tandartsenpraktijk in Ede, , Samen staan we sterk Dat is het motto In het kleine, maar professionele team van deze tandartsenpraktijk is samenwerken enorm belangrijk Als tandartsassistente begin jij jouw dag met een kop koffie en een grote glimlach Je dag staat in het teken van mensen helpen Dit doe je door de patinten te ontvangen en deze gerust te stellen waar nodig Je maakt rntgenfotos, beheert de digitale agenda en brengt fluoride behandelingen aan bij de jongere patintjes In samenwerking met de tandarts zorg jij er voor dat iedereen tevreden de praktijk verlaat, , Wie ben jij, , Jij bent een enthousiaste, leergierige perfectionist die initiatief toont en meedenkt Daarnaast ben je erg sociaal en heb je een goed inlevingsvermogen dit helpt jou om bepaalde situaties goed aan te voelen, , Waar kom je te werken, , Tandartspraktijk Scheffer is een professionele praktijk welke is gespecialiseerd in tandheelkunde en implantologie Tandartspraktijk Scheffer werkt met een klein ervaren team in een sociaal prettige omgeving, , Opleidingseisen, , , , Salarisindicatie, , , , Dienstverband, , Tijdelijk",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317405602?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fe048bddd-70f9-4cb6-80dd-c974513f4fdb%3Fjid%3D16565bea48ebd79cc7c47e0f5fcb48b0e772887b95b96e6e5807fa9cee030333%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Gdpg&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/preventie-tandartsassistente-at-imcz-2317405602?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
6,doctor,LinkedIn,2322683448,Basisarts – Geïnteresseerd in mensen! – Sociale Geneeskunde | Almere | Lekz,fl7ZTfrcRG+fr+C3xzDCog==,Werkzoekennl,"Almere, Flevoland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Lekz, locatie Almere, , De meeste mensen deugen Schrijft Rutger Bregman in zijn gelijknamige boek, , In je rol als Medicus  Regio Almere, kijk jij of je clint k deugt Of er inderdaad sprake is van beperkingen Heeft het een medische oorzaak Of is het de sociale context Een zoektocht met oog voor allerlei culturele verschillen In rust proberen om een oordeel te vormen over je clint in zijnhaar dagelijks functioneren Dat is wat van jou als arts bij deze organisatie verwacht wordt",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322683448?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F9709_lekz%2Fvacatures%2F4674511_basisarts-genteresseerd-in-mensen-sociale-geneeskunde%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%2Balmere&urlHash=CENR&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/basisarts-%E2%80%93-ge%C3%AFnteresseerd-in-mensen%21-%E2%80%93-sociale-geneeskunde-almere-lekz-at-werkzoeken-nl-2322683448?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
7,doctor,LinkedIn,2312862361,Preventie- tandartsassistente - Epe,1NFIWuf6QTuj9IsIBaMiFg==,International Mens Club of Zug,"Epe, Gelderland, Netherlands",['International Affairs'],"Was jij als kind goed in doctor Bibber door jouw vaste hand en fijne motoriek Ben je daarnaast ook nog eens ambitieus, sociaal en meedenkend Dan past deze vacature perfect bij jou Wij zoeken een tandartsassistente voor een tandartsenpraktijk in Ede, , Samen staan we sterk Dat is het motto In het kleine, maar professionele team van deze tandartsenpraktijk is samenwerken enorm belangrijk Als tandartsassistente begin jij jouw dag met een kop koffie en een grote glimlach Je dag staat in het teken van mensen helpen Dit doe je door de patinten te ontvangen en deze gerust te stellen waar nodig Je maakt rntgenfotos, beheert de digitale agenda en brengt fluoride behandelingen aan bij de jongere patintjes In samenwerking met de tandarts zorg jij er voor dat iedereen tevreden de praktijk verlaat, , , , Jij bent een enthousiaste, leergierige perfectionist die initiatief toont en meedenkt Daarnaast ben je erg sociaal en heb je een goed inlevingsvermogen dit helpt jou om bepaalde situaties goed aan te voelen, , , , Tandartspraktijk Scheffer is een professionele praktijk welke is gespecialiseerd in tandheelkunde en implantologie Tandartspraktijk Scheffer werkt met een klein ervaren team in een sociaal prettige omgeving, , , , , , , ,  2200  2800, , , , Tijdelijk",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312862361?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D0848990a51c5%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd8gddc7dd87dd7cdd7addggadfaddbfddf3aedcdcbfec3ddcg3e&urlHash=CuFA&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/preventie-tandartsassistente-epe-at-international-men-s-club-of-zug-2312862361?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
8,doctor,LinkedIn,2313626017,ANIOS Basisarts,RcjZ+aMkTx+ePGUQNk8rmQ==,Bergman Clinics BV,"Delft, South Holland, Netherlands","['Mechanical or Industrial Engineering', 'Outsourcing/', 'Offshoring', 'Hospital & Health Care']","Deze vacature staat origineel op Medisch contact , , ANIOS Basisarts, , Altijd al meer willen weten over orthopedie We bieden je bij onze kliniek in Delft een uniek kijkje in onze kliniek waar orthopedische zorg onze specialisatie is Als ANIOS word je in nagenoeg alle rollen ingezet, van OK tot spreekuur, tot patintbegeleiding Startend op de polikliniek tot en met ontslag op de verpleegafdeling, , Wat ga je precies doen, , Je richt je als ANIOS in onze orthopedische kliniek voornamelijk op de klinische patintenzorg Je bent de intermediair tussen de patint, de hoofd behandelaar Tevens ondersteun je de orthopedisch chirurg zn op de OK en de polikliniek, , Daarnaast zorg jij voor, , Voor wie en waar ga je werken, , Je werkt voor Bergman Bewegen in Delft Alles draait om focus, om superspecialisatie binnen de orthopedische chirurgie Korte lijnen, hoog niveau en intensieve samenwerking Er is een open sfeer waar patinten zich welkom voelen zodra ze n stap over de drempel zetten Onze medewerkers hebben een luisterend oor voor patinten en ook voor elkaar Overleg is bij ons een groot goed Met zn allen er de schouders onder zetten en dingen voor elkaar krijgen, dt is onze mentaliteit Onze orthopeden zijn gespecialiseerd in de behandeling van knie, heup, en schouderaandoeningen, , De totale Bergman Clinicsorganisatie heeft ruim 2000 medewerkers, 235 medisch specialisten en meer dan 50 klinieken door heel Nederland, waar we planbare medische zorg bieden Meestal gaat dat om medisch noodzakelijke ingrepen, zoals het aanbrengen van een nieuwe heup of staaroperatie soms om esthetische ingrepen, zoals een ooglidcorrectie Maar, medisch noodzakelijk of esthetisch onze clint staat altijd centraal Bergman Clinics gaat de uitdaging aan de zorg beter te maken, efficinter te organiseren en zo betaalbaar en toegankelijk te houden voor iedereen, , Welke talenten en vaardigheden zien we graag, , , , Klantgerichtheid is voor jou vanzelfsprekend Verder ben je stressbestendig en flexibel qua werktijden Ervaring in de orthopedie is een pr, oprechte interesse in ons vakgebied en onze patinten is belangrijker, , , Wat krijg jij van ons, , Een leuk werkklimaat in een hecht team met veel positieve interactie van medewerker schoonmaak tot doctor, , , , Hoe maatschappelijk relevant onze missie ook is en hoe helder onze strategie, wij kunnen onze ambities alleen realiseren met toptalent Daarom besteden we veel aandacht aan onze cultuur en aan doorgroeimogelijkheden voor medewerkers We bieden je een baan met veel afwisseling in werkzaamheden en contacten, in een groeiende organisatie waar altijd wel ets gebeurt, , , Ben je enthousiast Solliciteer dan meteen door op de button hieronder te klikken Wacht niet te lang De vacature sluit zodra we de juiste kandidaat hebben gevonden, , Screening van CV, diplomas, identiteitsbewijs en VOG verklaring omtrent gedrag zal deels onderdeel uitmaken van de selectieprocedure",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313626017?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4136258333307677980%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Ymjd&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/anios-basisarts-at-bergman-clinics-b-v-2313626017?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
9,doctor,LinkedIn,2299935299,Family Practice Physician,Q76Kk3HuQNKAl/nWJ33NSg==,Kendall  Davis,"Amsterdam, North Holland, Netherlands","['Staffing and Recruiting', 'Medical Practice', 'Hospital & Health Care']","Established group has opportunity for a BC Family PracticeInternal Medicine physician to join in beautiful New Hampshire, , 240K base, 20K signon  10K relocation, , , This group is actively interviewing Call today to learn more",Full-time,https://www.linkedin.com/jobs/view/externalApply/2299935299?url=http%3A%2F%2Fwww%2Ekendallanddavis%2Ecom%2Fjob-details%2F%3Fjid%3D54659%26utm_source%3Dmdjobsite%2Ecom%26utm_medium%3Djobboard%26utm_campaign%3Dkendallanddavissmdjobsite&urlHash=ANBJ&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/family-practice-physician-at-kendall-davis-2299935299?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
10,doctor,LinkedIn,2255812956,ANIOS Neurologie,sncT8GxmRCCklpznp9+zAw==,Zuyderland,"Sittard, Limburg, Netherlands",['Hospital & Health Care'],"Introductie, Word jij onze nieuwe ANIOS voor de afdeling Neurologie Wil jij je verder ontwikkelen en de beste zorg bieden aan onze patinten Lees dan snel verder, , Het bedrijf  The company, Zuyderland is een van de grootste algemene ziekenhuizen van Nederland, waar de patint verzekerd is van innovatieve zorg op menselijke maat De zorg wordt professioneel en efficint georganiseerd in een inspirerende werkomgeving Wonen en werken in het prachtige heuvelland met een grensoverschrijdend cultuuraanbod een bijzonder stukje Nederland gelegen in het hart van Europa, , Daarnaast is Zuyderland ook n van de Samenwerkende Topklinische opleidings Ziekenhuizen STZ Als STZ ziekenhuis loopt Zuyderland Medisch Centrum voorop met wetenschappelijk patintgericht onderzoek, topklinische zorg en opleidingen Zij richten zich hierbij op de volgende kernthemas innovatie, medisch leiderschap en transitie van de zorg Talentvolle en enthousiaste medewerkers zien wij graag met ons meewerken aan een kwalitatief hoogwaardige zorgverlening, , De functie  The role, Voor de vakgroep Neurologie zoeken we een enthousiaste ANIOS met affiniteit voor de neurologie De afdeling Neurologie van Zuyderland Medisch Centrum bevindt zich op twee hoofdlocaties Sittard en Heerlen Vrijwel alle aandachtsgebieden zijn vertegenwoordigd, met ook diverse gespecialiseerde spreekuren met name bewegingsstoornissen, dementie, hoofdpijn Er is verder een academisch MS centrum Neurologie Zuyderland verzorgt de volledige A opleiding tot neuroloog Onze vakgroep bestaat uit neurologen, AIOS neurologie, ANIOS, coassistenten, semiartsen, physician assistants en verpleegkundig specialisten We verwelkomen ANIOS die neuroloog willen worden, maar ook die bijvoorbeeld neurochirurg, huisarts, revalidatie arts of geriater willen worden, of zich nog orinteren op hun verdere loopbaan Sommige ANIOS werken mee aan een onderzoeklijn, , Jij werkt onder supervisie van onze neurologen in de kliniek, op de polikliniek, de SEH en participeert in de diensten Daarnaast doe jij mee met het onderwijs en de overige lokale opleidingsactiviteiten van de vakgroep Wij staan verder voor een open veilige cultuur met korte lijnen voor overleg Er is een inwerkperiode met onder andere ook aandacht voor BLS, ABCD training, en meer specifieke scenariotrainingen voor acute neurologische aandoeningen, , Het profiel  Your profile, Je bent basisarts, Je streeft er naar zich verder te ontwikkelen tot een goede doctor die betrokken is bij de patinten die aan jou zijn toevertrouwd, Je werkt efficint en hebt een proactieve instelling, Je bent een teamspeler die goed kan samenwerken, Je bent leergierig en bereid nieuwe vaardigheden te leren, , Het aanbod  The offer, Een boeiende functie als ANIOS, als opstap voor de opleiding tot neuroloog, maar ook voor andere vakgebieden zoals bijvoorbeeld neurochirurgie, revalidatie, geriatrie of huisartsgeneeskunde, ABCDE training, Scenariotraingen voor acute neurologische aandoeningen en elearning acute neurologie, Deelname aan alle opleidingsactiviteiten van de vakgroep, Aanstelling voor bepaalde tijd, voor de duur van 1 jaar met mogelijkheid tot verlenging, De arbeidsduur bedraagt 3238 uur per week waarbij 38 uur de voorkeur heeft, Werktijden wisselende diensten, Werkdagen maandag tm zondag, De arbeidsvoorwaarden zijn conform CAO Ziekenhuizen, De salariring is conform FWG salarisschaal 65, Er zijn meerdere startdata beschikbaar, , Reactie  Reaction, Interesse, , Je kunt je sollicitatiebrief en CV richten aan dr R Beekman, opleider of naar dr N van Orshoven, plaatsvervangend opleider, ter attentie van mevrouw TSaljoki, vakgroep cordinator neurologie, click apply click apply Indien je meer informatie wil, kan je gerust contact met ons opnemen, , Aanvullende informatie, , Het online screenen, bijvoorbeeld via zoekmachines en social networks kan deel uitmaken van de sollicitatieprocedure, , Voor de meeste functies binnen Zuyderland wordt een VOG Verklaring Omtrent Gedrag gevraagd, , Voorafgaande aan een indiensttreding zal hierover nadere informatie worden verstrekt, , Solliciteer hier, , Indien u verwijst naar een ongeldig webadres, is de vacature hoogstwaarschijnlijk inmiddels vervuld Attendeer FMF hierop, , , , , Gegevens, , , , Zuyderland, , , , Zuyderland, , , , SittardHeerlen, , Geplaatst op FMF, , Medical, Clinical research, Medisch algemeen, WOacademisch  MSc, 02 jaar, 25 jaar",Full-time,https://www.linkedin.com/jobs/view/externalApply/2255812956?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4353628551595797886%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=aNlG&refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/anios-neurologie-at-zuyderland-2255812956?refId=3cd92f49-f3df-4c36-a34f-49085dbcb495&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 day ago,1 day ago,26/11/2020,27/11/2020
