Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,education,LinkedIn,2327101282,Teamleider Theda Mansholt College,H04RepvCTLmnD0n9TfSTmQ==,BT verantwoord veranderen,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education', 'Education Management']","Het Theda Mansholt College TMC in Delfzijl zoekt een, , TEAMLEIDER 0,81,0 fte, schaal 12 cao VO, , Een stevige en empathische leidinggevende die samen met het team de ingezette koers verder kan ontwikkelen en zich voor langere tijd aan de school wil verbinden Ben jij een teamleider die het vmbo een warm hart toedraagt Zie jij het werken aan een stevige basis als een mooie uitdaging Lees dan snel verder",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327101282?url=https%3A%2F%2Fwww%2Evbent%2Eorg%2Fwat-we-doen%2Fwerving-selectie%2Fvacature%2Fteamleider%2F%3Futm_source%3Dlinkedin%26utm_medium%3Dcpc%26utm_campaign%3DTheda%2520Mansholt%2520College%26utm_term%3Dvacpag%26utm_content%3Dvacpag&urlHash=FO_0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/teamleider-theda-mansholt-college-at-b-t-verantwoord-veranderen-2327101282?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
2,education,LinkedIn,2315120796,Junior Project Manager,/eFoyXS2SN2GGf+TBx9fjQ==,Benecke GGZ Nascholingen,"Haarlem, North Holland, Netherlands",['Education Management'],"Benecke is bijna 30 jaar de toonaangevende bedenker, ontwikkelaar en uitvoerder van educatie en communicatieconcepten voor professionals in de gezondheidszorg In nauwe samenwerking met medischwetenschappelijke verenigingen organiseren wij zowel kleinschalige als grootschalige nascholingsprojecten Voorbeelden zijn jaarsymposia, studiedagen, workshops, reviews, TeleReviews, online nascholingen en webcasts",Full-time,,https://nl.linkedin.com/jobs/view/junior-project-manager-at-benecke-ggz-nascholingen-2315120796?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
3,education,LinkedIn,2273746957,Marketeer Educatie,KHIvSVNoTEOzqKYOwOi9Hw==,Sijthoff Media,"Zaandam, North Holland, Netherlands",['Media Production'],"Ben jij ondernemend en beschik jij over de competenties om vanuit een moderne visie op marketing onze opleidingsportfolio verder te laten groeien Dan is de functie van Marketeer Educatie bij Sijthoff Media iets voor jou,  Sijthoff Media is een crossmediaal bedrijf van nieuws en vakmedia en is gevestigd in Capital C, ht centrum voor de creatieve industrie van Amsterdam Onze media bieden content op het gebied van IT, marketing, media, finance, HR, MA, overheid en kinderen Onze onafhankelijke redacties informeren en verbinden maandelijks meer dan n miljoen professionals en ruim 400000 kinderen in de leeftijd 7 tot en met 12 jaar Bekende merken van Sijthoff Media zijn Adformatie, AG Connect, CFO, CHRO, MA, Binnenlands Bestuur, iBestuur, Alex van Groningen, Amsterdam Institute of Finance, FinanceHubnl, FMnl, Kidsweek en Samsam De culturele waarden ambitie, creativiteit, betrokkenheid, persoonlijke groei  ontwikkeling vormen het hart van onze onderneming",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273746957?url=https%3A%2F%2Fsijthoff-media1%2Ehomerun%2Eco%2Fmarketeer-educatie&urlHash=Qo9P&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketeer-educatie-at-sijthoff-media-2273746957?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
4,education,LinkedIn,2222454724,Social Media Marketeer,ygkVCtatQ5uWrUacy5nV0g==,Kamera Express,"OudBeijerland, South Holland, Netherlands",['Retail'],"Wie zijn wij, Wij zijn gek op alles wat met foto en video te maken heeft Onze klanten maken we blij met geweldige foto en videoproducten, bijzondere accessoires en gadgets Kamera Express is al meer dan 20 jaar d foto en videospecialist van Nederland en Belgi Wij zijn aan het groeien met een sterke omnichannel benadering waarbij de fysieke winkels en de webshop naadloos op elkaar aansluiten Naast Kamera Express bieden wij verhuur aan via Budgetcam en fotoprints, fotoboeken en wanddecoratie via Profotonet",Full-time,https://www.linkedin.com/jobs/view/externalApply/2222454724?url=http%3A%2F%2Fkamera-express%2Enl%2Fvacatures&urlHash=NfEL&refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/social-media-marketeer-at-kamera-express-2222454724?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
5,education,LinkedIn,2300328455,Digital Marketing Intern,YlGtuoRWQIyjDq3qPkUf8Q==,Incision,"Amsterdam, North Holland, Netherlands","['Hospital & Health Care', 'Online Media', 'Information Technology and Services']","Incision zoekt een Stagiair Marketing met schrijftalent, Wil je graag stage lopen in een scaleup sfeer op een gave locatie in Amsterdam, Houd je van schrijven en ben je veel op social media te vinden, Vind je het interessant om te leren hoe je een goede nieuwsbrief schrijft",Internship,,https://nl.linkedin.com/jobs/view/digital-marketing-intern-at-incision-2300328455?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
6,education,LinkedIn,2327332889,Socialmediamarketeer - The Hague,3md8xPzQQQ2VAuC5+V49+A==,"Koninklijke Bibliotheek KB, nationale bibliotheek van Nederland","The Hague, South Holland, Netherlands",['Libraries'],"Functieeisen, HBO werk en denkniveau, Minimaal vijf jaar ervaring in socialmediamarketingfuncties bij middelgrote organisaties, Het bewezen vermogen om op strategisch, tactisch en operationeel niveau een bijdrage te leveren aan het socialmediabeleid, , , , , Dienstverband voor  1 jaar met uitzicht op een verlenging, , , , , , , De KB is de nationale bibliotheek van Nederland Middeleeuwse handschriften, de eerste Donald Duck, het laatste boek van Saskia Noort in onze magazijnen vind je alles wat in en over Nederland verschijnt Dat komt neer op zon 7 miljoen fysieke publicaties en tientallen miljoenen digitale boeken, kranten en tijdschriften Die bewaren we goed, zodat ook onze achterkleinkinderen er nog plezier van kunnen hebben, , We stellen iedereen in staat om te lezen, te leren en onderzoek te doen Zon 4,5 miljoen Nederlanders gebruiken onze digitale diensten, waaronder de landelijke online Bibliotheek tienduizenden ebooks en duizenden luisterboeken en Delpher meer dan 100 miljoen paginas uit Nederlandse kranten, boeken en tijdschriften We zijn er voor de allerjongsten met voorleeskoffertjes, voor slechtzienden met aangepaste leesvormen en voor iedereen die het nodig heeft  met hulp bij computeren of belastingzaken Natuurlijk zetten we ook vol in op innovatie, samen met onze partners Denk aan de inzet van artificial intelligence in openbare bibliotheken en evenementen rondom linked open data, , Kortom, bij de KB gebeurt meer dan je denkt Samen met 500 collegas werk je aan een slimmer, vaardiger en creatiever Nederland, , , , , , Je komt te werken op de afdeling Marketing  Educatie, in het team Lezen In dit team verzorgen we de marketing en redactie van de digitale diensten en content van de Bibliotheek, zoals de online Bibliotheek, de Jeugdbibliotheek en Bibliotheeknl Als Socialmediamarketeer werk je nauw samen met de webcarecordinator en de marketeers en redacteuren binnen het team",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327332889?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D97cfdeb1b0f4%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cdd9eadd8adabadc9adbaadegddfaadefddg3aeacdccfec3ddcg3e&urlHash=Cx9G&refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/socialmediamarketeer-the-hague-at-koninklijke-bibliotheek-kb-nationale-bibliotheek-2327332889?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
7,education,LinkedIn,2327159845,Schadebehandelaar Volmacht | Amsterdam | Werk & Co werving en selectie,po+I0LQFQ329yxgWD21z/g==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Financial Services', 'Banking']","Vacature van Werk  Co werving en selectie, locatie Amsterdam, , Ben jij goed voor de klant en geeft het je een prettig gevoel om klanten zo goed mogelijk te helpen bij de afhandeling van hun schade, Kan jij jouw klanten zo goed en snel mogelijk door het meldingsproces begeleiden, Kan jij geheel zelfstandig verschillende schadegevallen beoordelen, behandelen en afwikkelen, , Reageer dan nu op deze mooie functie, , , , Als Schadebehandelaar Volmacht zijn jouw werkzaamheden als volgt, , , , , , , , , , , , , , Assurantietussenpersoon met oog voor het financieel belang van de klant Zij willen dicht bij hun klanten staan, Onze opdrachtgever is sterk in beweging Ondanks dat zij een groei doormaken staat persoonlijke benadering voorop, niet alleen voor hun klanten maar zeker ook voor hun personeel, , , , Mirjam Zijlstra, 0625021099, Mirjamvia de button Solliciteer nu op deze pagina, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327159845?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F10636_werk-co-werving-en-selectie%2Fvacatures%2F5012021_schadebehandelaar-volmacht%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dfinance%2Bamsterdam&urlHash=hUH4&refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/schadebehandelaar-volmacht-amsterdam-werk-co-werving-en-selectie-at-werkzoeken-nl-2327159845?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
8,education,LinkedIn,2273916540,Stagiair onderwijs & talentontwikkeling,rD1ML2iTT6aU6Xas6iFuUA==,Stedelijk Museum Amsterdam,"Amsterdam, North Holland, Netherlands","['Design', 'Museums and Institutions', 'Research']","Het Stedelijk Museum Amsterdam is het grootste museum voor moderne en hedendaagse kunst en vormgeving in Nederland, met bekende namen in de collectie en een levendig en spraakmakend tentoonstellingsprogramma, varirend van grote publiekstrekkers tot signalerende tentoonstellingen van jonge kunstenaars en ontwerpers Het Stedelijk Museum heeft Amsterdamse wortels, richt zich op een internationaal publiek en staat met 700000 bezoekers per jaar op de vierde plek van best bezochte musea in Nederland Het Stedelijk Museum beschouwt educatie als een kernopdracht Families, leerlingen, jongeren en volwassenen gaan in dialoog over kunst, kunstenaars en het museum Educatieve programmas en rondleidingen sluiten aan bij belangstelling en kennisniveaus van de bezoekers Een uitnodiging tot kijken, vragen, discussiren n creren In het museum nemen leerlingen en leraren deel aan dialoog gestuurde onderwijsprogrammas en in de klas bieden we online lessen met videos Stagiair Onderwijs  Talentontwikkeling mvx Voor minimaal 5 maanden, 32 uur per week, startdatum bij voorkeur vanaf 1 februari 2021, , Werkzaamheden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2273916540?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fstagiair-onderwijs-en-talentontwikkeling%3A44093536%2F&urlHash=q8HS&refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stagiair-onderwijs-talentontwikkeling-at-stedelijk-museum-amsterdam-2273916540?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
9,education,LinkedIn,2324767568,Parttime administratief medewerker,VTpahXqaRni8s0r+bChM0A==,Uitzendbureaunl,"Amsterdam, North Holland, Netherlands","['Internet', 'Machinery', 'Staffing and Recruiting']","Ben jij op zoek naar een tijdelijke parttime administratie uitdaging in de buurt van Amsterdam Dan zij wij op zoek naar jou, , Voor een leuk bedrijf in Amsterdam zijn wij op zoek naar een administratief medewerker die per 1 januari kan beginnen voor ongeveer 36 maanden, , De afdeling jij waar jij aan de slag gaat heet Permanente Educatie en is verantwoordelijk voor het nalopen bij houden van de verplichte punten die een accountant moet halen om zijn of haar beroep te kunnen uitoefenen, genaamd PEpunten Ze gaan over van een oud PEpunten systeem naar een nieuw PEpunten systeem en daar komt een hoop administratie bij kijken, , , , Voor deze functie zal jij veel aan de telefoon zitten, bellen is namelijk sneller, , , Deze functie is in eerste instantie tijdelijk en daarom op basis van een tijdelijk dienstverband, , Vaardigheden, , , Opleiding, , MBO 34, , Over de werkgever, , Jij komt te werken bij een beroepsorganisatie van accountants Zij beschermen de titels die accountants mogen dragen doormiddel van het opstellen en handhaven van heldere gedrags en beroepsregels voor alle accountants, door toetsing en door permanente educatie",Part-time,https://www.linkedin.com/jobs/view/externalApply/2324767568?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-7949798611697588113%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=Vidu&refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/parttime-administratief-medewerker-at-uitzendbureau-nl-2324767568?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
10,education,LinkedIn,2307095422,Hogeschool Leiden zoekt: Directeur Faculteit Educatie,AFPy+6YsSOiIPUV29Dpn8A==,Hogeschool Leiden,"Leiden, South Holland, Netherlands",['Higher Education'],"Hogeschool Leiden zoekt Directeur Faculteit Educatie, , We hebben een groot verlangen naar ander onderwijs Onderwijs dat gericht is op ontwikkeling als mens, op worden wie je bent Onderwijs dat kinderen en jong volwassenen helpt om wijsheid te ontwikkelen en volwassen in de wereld te kunnen staan met liefde voor zichzelf, de ander en de wereld, met een innerlijk kompas, om het leven te leven, het juiste te doen Onderwijs waarin eigenheid wordt gewaardeerd en gestimuleerd, waarin creativiteit wordt ontplooid, waarin verschillen worden benut, waarin we allemaal lerend zijn en hier zichtbaar in durven te zijn Onze ambities zijn verankerd in een visie op ontwikkelen waarbij de kernwaarden als autonomie in verbondenheid, ruimte en partnerschap centraal staan Wij zoeken een directeur die zich hierin herkent en die samen met ons aan deze missie wil bijdragen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307095422?url=https%3A%2F%2Fwww%2Ehsleiden%2Enl%2Fover-hl%2Fwerken-bij%2Fvacatures%2Fdirecteur-faculteit-educatie-12-nov-2020&urlHash=dpjH&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/hogeschool-leiden-zoekt-directeur-faculteit-educatie-at-hogeschool-leiden-2307095422?refId=7c35ea26-dcc5-4c29-8170-8ff34ee34f96&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
