Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,electrical engineer,LinkedIn,2322929255,Elektrotechnisch ingenieur,RIN3tZBtCH33YqCB7M7ByQ==,WitteveenBos,"Deventer, Overijssel, Netherlands",['Civil Engineering'],"Wil jij meebouwen aan een groene toekomst en een betere wereld Wil jij je blijven ontwikkelen tijdens je loopbaan, , Als elektrotechnisch ingenieur werk je in multidisciplinaire teams aan het ontwerpen en specificeren van zuiveringen Je bent onder andere verantwoordelijk voor het ontwerpen van de elektrische installatie van een project Daarvoor ontwerp je de energievoorziening, de elektrische verdelers en voeding van machines, voer je kabelberekeningen uit, bepaal je welke instrumentatie wordt toegepast ontwerp je de besturing die ervoor zorgt dat de zuiveringsprestaties gehaald worden Voor stations van Tennet en netbeheerders werk je aan de primaire of secundaire installaties, bijvoorbeeld het ontwerpen van de beveiliging en besturing van een station of de stationsautomatisering Ook optimaliseren we bestaande installaties en doen we studies en onderzoeken om gefundeerde ontwerpkeuzes te kunnen maken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322929255?url=https%3A%2F%2Fwww%2Ewitteveenbos%2Ecom%2Fnl%2Fwerken-bij%2Fsolliciteer%2F%3FjobId%3DPUNFK026203F3VBQB688N68UK-93%26langCode%3Dnl&urlHash=B_zK&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/elektrotechnisch-ingenieur-at-witteveen%2Bbos-2322929255?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=RIN3tZBtCH33YqCB7M7ByQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
2,electrical engineer,LinkedIn,2300975841,Elektrotechnisch ingenieur in Heerhugowaard,WsWqBCzm5V5IeTgdW7ewbw==,Luba,"Heerhugowaard, North Holland, Netherlands","['Construction', 'Oil & Energy', 'Accounting']","Ben jij de ervaren elektrotechnisch ingenieur die graag de vrijheid, zelfstandigheid n de verantwoordelijkheid wil over alle technische installaties Over de functie In deze functie ben je verantwoordelijk voor alle technische installaties Je werkt nauw samen met de technische dienst en de productie Je krijgt alle vrijheid om zelf invulling te geven aan de functie Daarnaast zijn de werkzaamheden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2300975841?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Felektrotechnisch-ingenieur-in-heerhugowaard%3A44177174%2F&urlHash=seRE&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/elektrotechnisch-ingenieur-in-heerhugowaard-at-luba-2300975841?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=WsWqBCzm5V5IeTgdW7ewbw%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
3,electrical engineer,LinkedIn,2327356128,Elektrotechnisch ingenieur/ electrical engineer - Spijkenisse,m7c5UTXEhyvt6Csq+FLdzg==,TECHNICHE bv building careers,"Spijkenisse, South Holland, Netherlands",None,"Elektrotechnisch Engineer welke spanning beheerst en projecten kortsluit , , In een team van ervaren ingenieurs werk je aan maatwerk projecten Electrotechnische installaties in de breedste zin van de techniek Voor kantoren, woningbouw, zorg, industrie etc Van nobreak systemen, lichtkracht tot brandmeld en beveiligingsinstallaties Elke dag, elk project is anders, met andere specs en andere klanten Spannend, uitdagend, innovatief en nooit saai TECHNICHE building careers is een transparant en discreet werving  selectiebureau met een zeer persoonlijke aanpak Voor meer informatie bel 010  766 1000, , Vertalen van de wensen van de klant specs naar een functioneel ontwerp Maken van kabel lichtberekeningen Toepassen van de regelgeving Maken van project begrotingen Begeleiden van ontwerp richting uitvoering Revit ed Contact met opdrachtgever en installateur, , , Werkervaring 35 jaar Revit, , Vereisten HBO Electrotechniek Installatietechniek 35 jaar Revit, , Opleidingsniveau HBO Electrotechniek Installatietechniek, , Start direct, , Duur onbepaalde tijd",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327356128?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3De4377be89780%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadbcddcadddcdd9cdd98adeaadbgdd8add7fdd93de8cdcgfec3ddcg3e&urlHash=XGFp&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/elektrotechnisch-ingenieur-electrical-engineer-spijkenisse-at-techniche-bv-building-careers-2327356128?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=m7c5UTXEhyvt6Csq%2BFLdzg%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
4,electrical engineer,LinkedIn,2327198885,Elektrotechnisch ingenieur | Heerhugowaard | Luba,gcfylJ2V9FuBkjbbrGo+BA==,Werkzoekennl,"Heerhugowaard, North Holland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']","Vacature van Luba, locatie Heerhugowaard, , Over de functie, , In deze functie ben je verantwoordelijk voor alle technische installaties Je werkt nauw samen met de technische dienst en de productie Je krijgt alle vrijheid om zelf invulling te geven aan de functie, , , , Je gaat aan de slag bij een betrokken maar ook internationaal bedrijf waar je terecht komt in een erg leuk en gastvrij team In deze functie heb je een afwisselende functie met veel vrijheid en zelfstandigheid, , , , , Snel Al binnen een paar minuten is het eenvoudige sollicitatieformulier ingevuld en ontvang je een automatische ontvangstbevestiging Zo weet je zeker dat je sollicitatie aan ons is verstuurd Binnen 1 werkdag krijg je een reactie van de intercedent bij jou in de buurt, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327198885?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1372_recruitnow%2Fvacatures%2F4922029_elektrotechnisch-ingenieur%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dtechnical%2Bheerhugowaard&urlHash=0hhe&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/elektrotechnisch-ingenieur-heerhugowaard-luba-at-werkzoeken-nl-2327198885?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=gcfylJ2V9FuBkjbbrGo%2BBA%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
5,electrical engineer,LinkedIn,2313285069,Lead Electrical Engineer,PdKNC0GDS4P0ZXmUXp0Z8w==,Worley,"Meerssen, Limburg, Netherlands","['Construction', 'Civil Engineering', 'Human Resources']","At the end of April 2019, WorleyParsons combined with Jacobs Energy, Chemicals and Resources ECR division, to create Worley, , Together, we are a leading global provider of professional project and asset services in the energy, chemicals and resources sectors",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313285069?url=https%3A%2F%2Fworleyparsons%2Etaleo%2Enet%2Fcareersection%2Fext%2Fjobdetail%2Eftl%3Fjob%3DMEE000I%26src%3D210200%26src%3DSNS-10126&urlHash=E6zq&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-worley-2313285069?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=PdKNC0GDS4P0ZXmUXp0Z8w%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
6,electrical engineer,LinkedIn,2328644785,Elektrotechnisch Ingenieur/ Electrical Engineer Spijkenisse - TECHNICHE,/oWQuiBy29sPE4XaA3gVQA==,TechNICHE,"Spijkenisse, South Holland, Netherlands",None,"Werkzaamheden, , Vertalen van de wensen van de klant specs naar een functioneel ontwerp, Maken van kabel lichtberekeningen, Toepassen van de regelgeving, Maken van project begrotingen, Begeleiden van ontwerp richting uitvoering Revit ed, Contact met opdrachtgever en installateur, , , , HBO Electrotechniek Installatietechniek, 35 jaar, Revit",Full-time,https://www.linkedin.com/jobs/view/externalApply/2328644785?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D20f5175c77a7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecddgaadacddbcddf8dd9addbgaddadd9fdd93aefcdc9fec3ddcg3e&urlHash=QMO5&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/elektrotechnisch-ingenieur-electrical-engineer-spijkenisse-techniche-at-techniche-2328644785?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=%2FoWQuiBy29sPE4XaA3gVQA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
7,electrical engineer,LinkedIn,2269425584,Lead Electrical Engineer Jachten,ddwaiYqm+c6V8JHXFDJq/g==,RH Marine,"Schiedam, South Holland, Netherlands","['Maritime', 'Military']","WAT GA JE DOEN, Recent hebben wij meerdere opdrachten ontvangen voor het leveren van elektrische en automatiseringssystemen voor luxe superjachten en een nieuw marineschip Voor de afdeling engineering Jachten willen wij uitbreiden met een Lead Electrical Engineer De vacature staat open voor 3240 uur per week",Full-time,,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-jachten-at-rh-marine-2269425584?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=ddwaiYqm%2Bc6V8JHXFDJq%2Fg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
8,electrical engineer,LinkedIn,2238576659,Lead Electrical Engineer,1WC0Th9eE8FcqZa1wBfWzA==,Middle Point,"South Holland, Netherlands","['Staffing and Recruiting', 'Maritime', 'Shipbuilding']","Job objective, Are you an Electrical Engineer with top skills in Contract Management Does your career include a minimum of 10 years of experience in the shipbuilding and naval industries If your brain screams yes, please keep on reading ,  ",Full-time,,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-middle-point-2238576659?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=1WC0Th9eE8FcqZa1wBfWzA%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
9,electrical engineer,LinkedIn,2308351151,Lead Electrical Engineer,Tjgo6BngsKM53YlDc6wiig==,Focus Engineering BV,"Rotterdam, South Holland, Netherlands",['Industrial Automation'],"Focus Engineering is currently looking for a Lead Electrical Engineer for an internal engineering firm at a plantowner active in the petrochemical industry in the region Rotterdam, , This concerns a permanent employment vacancy",Full-time,,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-focus-engineering-b-v-2308351151?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=Tjgo6BngsKM53YlDc6wiig%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
10,electrical engineer,LinkedIn,2314371516,Lead Electrical Engineer,jfD49yno+FMeXxp7aNAexA==,Worley,"Meerssen, Limburg, Netherlands","['Electrical/', 'Electronic Manufacturing', 'Machinery', 'Mechanical or Industrial Engineering']","At the end of April 2019, WorleyParsons combined with Jacobs Energy, Chemicals and Resources ECR division, to create Worley , , ,  , Together, we are a leading global provider of professional project and asset services in the energy, chemicals and resources sectors  We have almost 60,000 amazing people in around 60 countries across the world covering the full lifecycle, from creating new assets to sustaining and enhancing operating assets for our customers, ,  , Our exciting combination will create new opportunities for you to join us The transition will take time, so in the shortterm you may see references to our heritage companies in your application process,  , Visit wwwworleycom to explore our success, expertise and global reach,  , Lead Electrical Engineer, The role of the Electrical Lead Engineer is a key Leadership role, being responsible for the day to day supervision and coordination of Electrical Engineering and Design team assigned to one or more projects Part of this role would be global integrated delivery coordination which is mostly executed with the Worley offices in Mumbai, India, The Lead Electrical Engineer reports functionally to the Department Manager and operationally to one or more Project Managers Input and leadership will be delivered in the conceptual design, project specifications, FEED, basic engineering, extended basic and detailed design phases , We are seeking talented Lead Electrical Engineers with experience in leading small, middle and large scale projects TIC of EUR to 100m in the downstream refinery and chemicalpetrochemical markets  Candidates who show superior leadership skills in a complex multioffice environment with an ability to provide innovative solutions to clients is our objective Conceptual, FEED and EPC  EPCm experience are all desirable  , Key requirements for a Lead Electrical Engineer,     You have excellent Leadership skills in Electrical Engineering with ability to handle complex multioffice projects,     You have a proven track record in handling large teams 5 of electrical engineers structured and spread across 2 or 3 offices,     You carry the responsibility for the project success and providing strong  direction for the team,     You are experienced in managing the work, managing the financial aspects of the electrical discipline, including the workhour estimates and margin goals,     You have excellent communication and coordination skills both verbal and written,     You are flexible to travel ,     You have a good understanding of Project business cases and reflect this in the work environment such as productivity, schedule, workhour control, innovation etc,     You have been involved in development and implementation of activities such as the latest technology and methods to improve efficiency, accuracy and productivity for the department,     You take personal responsibility for safety and a healthy environment on the projects, which you demonstrate by example,     You are able to work as an efficient team with project management and other disciplines, both within our company and that of the client,     You have been responsible for ensuring that the DeptDisciplines quality management system is followed taking into account any special contractual requirements, , Following are the key responsibilities,     Manage proper and timely execution of projects,     Lead large Electrical Engineering teams, in a multioffice environment,     Define the discipline scope andor project proposals, including the required resources,     Responsible for cost, schedule, material quantity and budget control and management of change,     Ensure all electrical documents are issued,     Ensure effective communications with other engineering disciplines, project management and Client teams,     Contribute in people development eg coach junior engineers,     Produce proposals for projects which involve man hour and schedule estimates related to the Electrical scope of work,     Add value plusoptimization ideas,     Developmental activities like preparation of work instructions  procedures  guidelines,  , , , , , ,  ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314371516?url=https%3A%2F%2Fworleyparsons%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3DMEE000I&urlHash=J322&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lead-electrical-engineer-at-worley-2314371516?refId=656d1736-bdb0-4d44-9809-8bb57cd835a0&trackingId=jfD49yno%2BFMeXxp7aNAexA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,6 days ago,6 days ago,2020-11-26,2020-12-01
