,Search Keyword,Platform,Job ID,Job Title,Company Name,Location,Job Description,Rating,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Collection Date,Language,English Requirement,Dutch Requirement,Sector,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,energy,Indeed,pj_500f556152a4096f,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0Alqz9J3bcs15_sq0eLfRX9T3M4QOvTlvknn_QbBMLR7goAqvYusR8WEy5ug2y9FvofD_M38dGAjVBNuuPCMwS8FJhS-gAUp6oyyDEwlbc7xBQuK657TMub1oIlN69V5lsigvroh2PebTv1fPDJBwFr02xKWnO8IkktEkEfx-Z4CjrcQNlaD_2iwQAHImQEyJtQBThOzzQlLcJIvEK73-g91FLp0gfVggDO46fWV3Wzif4A4rim2dyoC7plF7ClN3nSugJEqgL9h_k-WN8VyIXZWMzNYVLitmx2uI1sc7WcIvM081LXtZftjxxF9mWWg9W3p4VVUqyKDTWtQi9k5umZWQn63geU-JW6_uA-UuEZExE4-MQ31G1M_FSYF_LvRL6kl2oJ2lf5vRC30u1T1P9Fz6UuJS06efN1EwYfDbHFEwpJKEkLCsaC2Z_BG-d3nQc=&p=0&fvj=1&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
1,energy,Indeed,pj_71a10955e1471177,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0CAfPLtvSc0KF_eHWGwkC81c5LTWPQKH5CJewu4hvDuCoJBV246NxyXR2SwCbDAExoZ7fbDFIygnqZTRhBTND8S_TY-hW048MHMIiKqLA0B1fXGanIE3fhJZkykbLswzie_EEwKUVrTFspqTEyNFibaFEdnTgUvrSd6Moyq9GRWUZWMlhRuQiXm9AnujX75ESZqcsaOuAgScy2oKKnOhbn2a96pecqiqhxttfLU5TFKDHCSCRJaCMe2iQCdxg9m8KBvSybNLe6rTUW1Npy6C58YLADzcdARHnqKvFGW2zr7PqEhNJ6D7K6Xko5JdmziB0Kf5focRDAXatANF2rChJCyCGb8Sr1f4uXGCunuF_GQj-12DoLNAv4oo9jAkDiTkt4twWbUXomP4L4nPEXnMBgQCFBVlGi8yMjeKEdnDeXyHAKDKfQxeEe9Tsi2hI9UvjLx6Jw4yyePbg==&p=1&fvj=0&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
2,energy,Indeed,pj_b91a12818372d424,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/pagead/clk?mo=r&ad=-6NYlbfkN0BUi5skEC2JacOuA5S-guKlBVqGkEVnSMmX3xEoRIYszl3Fq1VGX9VWlHdONgpmruNe9hGlXm48TmzVqLOzzS7Gg7dSfwLpHhWQ3t3AgzLmUu-ujhaYIghQhYO58weYqqQUwUTukjDEMvQicmMwTIOXeZTYywIXGQGhV0iuwg0vI0RV9L92lteYdyjJDyTtdIUEeW19SYz_N61Kf7jQYoFWNHoAlXUMNvy2gdeWR7JBRTPhIRaEtlrmoY8K2M-q0aDiWQCM4lPwif1t4538_nqIZP3FbgPE6VbmRCBXQhfmFA2FXe4V1t4Y8u9m06g3r7TZp-PJsPW4mrUw5mVU-cgEzckSP8tKt5i2JbXLc3ZVSXxKZLpZD1LqEXyGqXKaupSc96qnkzGPGTkt0aB6DIf7eavLuucANyf2TJ55B0-qQKCZqpymXnS0OVaF8BjN9N_YuxzJS2MCCD57GM9h8aOxEB1WCdwD2rgR5nVpmfjZvLqsCpZvAaaX_MaKiK6JJRaQ1RL0AC_vaExfXyczNOSmbbhbOkjgTFRDIcCjGoQK4Dapdo2g13Uy5PGGhG_JZVRq6ZJ4QGBIMcHH7-ozURvW&p=2&fvj=0&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
3,energy,Indeed,p_36701f1133609268,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=36701f1133609268&fccid=8475c8ae6e1de264&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,other service activities,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,S,0.6590909090909091,0.3409090909090909,0.4166666666666667,0.5681818181818182,Mixed Gender,Mixed Age
4,energy,Indeed,p_98acf179da821866,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=98acf179da821866&fccid=86e9be6ce380173e&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,construction,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,F,0.125,0.875,0.47619047619047616,0.5297619047619048,Male,Mixed Age
5,energy,Indeed,p_c1fd8ad449d23d76,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=c1fd8ad449d23d76&fccid=9525a2c57b76206b&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
6,energy,Indeed,p_8e72723cdec6da15,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=8e72723cdec6da15&fccid=00cf9d7cf01ff0dc&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
7,energy,Indeed,p_a951a17c18e796d7,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken?jk=a951a17c18e796d7&fccid=ee6a99db163236c2&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
8,energy,Indeed,p_afbe0bcf5129950f,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/LG-Electronics/jobs/Product-Safety-Energy-Specialist-afbe0bcf5129950f?fccid=3baffba98df23da3&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
9,energy,Indeed,p_eab7de7d1dfeec8d,Store Assistant,Kingdom of Sweets, Amsterdam Centrum,"Memorable in-store experiences start with our Customer Assistants. They’re the ones who keep customers happy, shelves stocked, tills manned and displays looking beautiful. Join the team and show us what service with a smile really looks like.About the Customer Assistant roleWe’re known for delighting our customers with brilliant service. As the friendly face of our brand in store, you’ll uphold our reputation by helping each customer find exactly what they came in for – that unmistakable KOS experience as well as the perfect product.You could find yourself talking confectionery .Over time you will find yourself working across the store experiencing everything KOS has to offer and developing your skills and experience. Wherever you join us, the important thing is helping customers find and fall in love with our products.About youBeing a Customer Assistant is about being approachable, knowledgeable and helpful. You’ll need the energy and positive outlook to be at your best while on your feet all day, helping customers get the very most from their KOS experience. You will be flexible, in the work you do and the hours you work, to help give our customers the best experience we can. You will need to have a good level of Dutch and English too.Above all though, it’ll be your personal attention that customers will remember when they talk to you – so bring along bagfuls of friendly enthusiasm and you won’t go far wrong!Job Types: Full-time, Part-time, Contract, PermanentSalary: From €10.46 per hourExperience:Retail: 1 year (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Personal protective equipment provided or requiredSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place",-1,-1,https://indeed.nljavascript:void(0);,https://nl.indeed.com/vacature-bekijken/company/Energie-in-Huis/jobs/Renewable-Energy-Consultant-eab7de7d1dfeec8d?fccid=483b03526c1a0e33&vjs=3,8 dagen geleden,8 dagen geleden,2021-04-29,en,No,No,energy supply,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,D,0.27586206896551724,0.7241379310344828,0.5172413793103449,0.4482758620689655,Mixed Gender,Mixed Age
