Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,food serving,LinkedIn,2317407386,Food & Beverage Management Trainee,mWAMr0x3QJyMK6m03q5x2Q==,Hyatt,"Amsterdam, North Holland, Netherlands",['Hospital & Health Care'],"Description, , Andaz means personal style in Hindi Andaz Amsterdam Prinsengracht means, fivestar creative luxury in the heart of Amsterdam, expressed through local experiences, art  design and pictureperfect drinking and dining, in a playful Dutchinspired environment, , We are looking for a Food  Beverage Management Trainee , , Are you a Food  Beverage enthusiast with a passion for service that would like to develop its qualities and skills in the world of food  beverage, , to be an important member of the overall FB team, , to experience our three FB outlets, meaning you will gain experience in our Bluespoon Restaurant, Bar, and assist our Events operations team, , to be responsible for providing excellent service to our hotel guests and conduct extensive knowledge in food  beverage products, and wine  food pairing, , to become familiar with both operational and administrative tasks within the department, , , to incorporate loyalty program benefits and increase loyalty member guest recognition, , to work with Micros, computing bills, accepting payments, verifying cash and credit cards, , , To take leadership in the opening and closing shifts, involving financial closing and opening, , a great place to work in the beautiful city center of Amsterdam, right by the canals, , , international working experience, , great intern working conditions read accommodation provided, loads of training opportunities, potential career planning, discounts all over the World, and lets not forget about our social activities, , So, if YOU are, , , available for five months or longer, , proactive, not afraid to make decisions, detailoriented, and approachable, , fluent in English, and ideally also in Dutch, , , legally allowed to work in the Netherlands, holding an EUEEA passport or enrolled in a Dutch Institution we do not assist with Visa  permit applications, , motivated, handson and enthusiastic, a perfect fit for the position and Andaz culture",Full-time,https://www.linkedin.com/jobs/view/externalApply/2317407386?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F0586fba3-87b8-4eff-acbb-53383ed39b0e%3Fjid%3D6c23ca798debae56cceb3ddc849dc08fc6bf470e7ef09ffc9078c00271b96a46%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=OSXl&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/food-beverage-management-trainee-at-hyatt-2317407386?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
2,food serving,LinkedIn,2294443167,Internship (Procurement): Food Purchasing,m+0Aq+VfSaWhmnbW7N5dxw==,Danone,"Hoofddorp, North Holland, Netherlands","['Consumer Goods', 'Food & Beverages', 'Food Production']","Are you ready to coordinate our key European projects on Fruit Preparations and Baby Food Ingredients, focusing on Innovation Procurement efficiency Then make sure to apply now and become our Purchasing Intern as of January 2020 at our office in Hoofddorp, NL, , , , You will be part of our within our Cycles and Procurement organization,responsible for  We do this by with our internal key stakeholders, , and that answer consumers expectations Our culture is all about the , communication, and , while , , As our new intern, you will be responsible on assisting on a variety of tasks, but within a clear projectoriented scope We are sure that you have become more curious about the tasks and responsibilities that you will have as an intern Weve divided them into two main areas for you",Full-time,https://www.linkedin.com/jobs/view/externalApply/2294443167?url=https%3A%2F%2Fjobs%2Edanone%2Ecom%2Fjob%2FAmsterdam-Internship-%2528Procurement%2529-Food-Purchasing-NH%2F631688801%2F%3FfeedId%3D125701%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DDanone_LinkedIn&urlHash=CRn6&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-procurement-food-purchasing-at-danone-2294443167?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
3,food serving,LinkedIn,2311694445,Technical Excellence Manager - Beverage & Brewery,8rpL0EcMTxSzWsrR0SwyAA==,Ecolab,"Oegstgeest, South Holland, Netherlands",['Chemicals'],"We are looking for a Technical Excellence Manager  Beverage  Breweryto join our Food  Beverage Technical team to lead the transformation of our business in a segment focused approach that will accelerate our profitably growth and position us as leaders in the Beverage and Brewery market, , Flexible Location close to an Ecolab location anywhere in Europe, , , , , , , The effectiveness of this position is measured primarily by the success of the incumbent in the reduction of lost business and the ability to assist in obtaining new business, , , , , , , , , At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best We are committed to fair and equal treatment of associates and applicants We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran, , In addition, we are committed to furthering the principles of Equal Employment Opportunity EEO through Affirmative Action AA Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce Ecolab is a place where you can grow your career, own your future and impact what matters",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311694445?url=https%3A%2F%2Fecolab%2Econtacthr%2Ecom%2F78176546&urlHash=E3a-&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/technical-excellence-manager-beverage-brewery-at-ecolab-2311694445?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
4,food serving,LinkedIn,2322562668,Customer service medewerker | Naarden | Trend People,Bp/rPxzbQR6eolUwS3W0Kg==,Werkzoekennl,"Naarden, North Holland, Netherlands",['Consumer Services'],"Vacature van Trend People, locatie Naarden, , Wat bieden we jou, , Customer Service medewerker l 40 uur l vast l Naarden, , Onze opdrachtgever is al meer dan 20 jaar de betrouwbare intermediair tussen retailer en leverancier, levert Amerk artikelen aan retailkanalen die vaak niet tot de focus kanalen behoren Ze concentreren zich op de assortimentsgroepen Food, Personal Care en Home Care, , Als Customer Service medewerker ben je de schakel tussen de leverancier en de klant op zodanige wijze dat zowel de klanten, en minstens even belangrijk, ook de leveranciers een optimale service ervaren waarbij tevens de orderkosten onder controle worden gehouden, , , , , , , , , , , , , Herken jij je in bovenstaande opdracht Dan nodig ik je graag uit te reageren op deze functie Reageren kan via de sollicitatiebutton op onze site of mail je CV en motivatie via de button Solliciteer nu op deze pagina Voor vragen kun je contact opnemen met Liane Lekkerkerker via het nummer 0302311913, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322562668?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F8262_trend-people%2Fvacatures%2F4990920_customer-service-medewerker%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dsupport%2Bnaarden&urlHash=csdT&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-medewerker-naarden-trend-people-at-werkzoeken-nl-2322562668?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
5,food serving,LinkedIn,2309176869,Account Manager Food Ingredients,mKMa5nWNTReof2vwAy4rCg==,Celanese,"Amsterdam, North Holland, Netherlands","['Chemicals', 'Machinery', 'Staffing and Recruiting']","We create chemistry but we are much more than a chemistry company Were engineers, scientists, technical experts and logistics specialist Were problem solvers, advisers and product designers We have 100 years of experience, a global network and a great passion for chemistry that comes from the heart This is how me make sure that our plastics drive the cars of tomorrow, that our make interior paints even more ecofriendly and that our reduce sugar also in your food products, , We are a in the production of chemistry solutions and specialty materials used in most major industries and consumer applications which are also part of your everyday life our global network includes around and helps us use good chemistry to make our lives a little bit safer, cleaner and better  everyday, , We are looking for anmfd based in to support our team",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309176869?url=https%3A%2F%2Feuropecareers-celanese%2Eicims%2Ecom%2Fjobs%2F10779%2Faccount-manager-food-ingredients%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=1Cd_&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/account-manager-food-ingredients-at-celanese-2309176869?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
6,food serving,LinkedIn,2297535233,Urban Farmer,BHlftsdcRfqchahxAuu7dA==,INFARM,"Amstelveen, North Holland, Netherlands","['Information Technology and Services', 'Internet', 'Staffing and Recruiting']","Passionate to eat better, Infarm was founded in Berlin in 2013 by Osnat Michaeli and the brothers Erez and Guy Galonska With the aim to share the goodness of owngrown produce with everyone, they developed a smart modular farming system, that allows distribution of farms throughout the urban environment, growing fresh produce in any available space and fulfilling any market demand, , Today, with cutting edge RD, patented technologies, and a leading multidisciplinary team, Infarm is growing a global farming network helping cities become selfsufficient in their food production while significantly improving the safety, quality, and environmental footprint of our food, , Be part of the Infarm revolution and help people to take back ownership of their food",Full-time,https://www.linkedin.com/jobs/view/externalApply/2297535233?url=https%3A%2F%2Finfarm%2Ejoin%2Ecom%2Fjobs%2F1600800-urban-farmer%3Fpid%3Dba0b6cbbadf5084fb6a3%26utm_source%3Dlinkedin%26utm_medium%3Dfree%26utm_campaign%3Dlinkedin%252Blimited%252Blisting%26utm_content%3Durban%252Bfarmer&urlHash=wNLb&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/urban-farmer-at-infarm-2297535233?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
7,food serving,LinkedIn,2276006232,Food and Beverage Stagiair(e) per Februari 2021,5PnctlbpQJWF3n5ygKOdRQ==,DoubleTree by Hilton Amsterdam Centraal Station,"Amsterdam, North Holland, Netherlands","['Restaurants', 'Leisure, Travel & Tourism', 'Hospitality']","Algemene informatie, , Food and Beverage Stagiaire per Februari 2021, Altijd al willen werken in het grootste hotel in het centrum van Amsterdam, , DoubleTree by Hilton Amsterdam Centraal Station biedt prachtige uitzichten, buitengewone service en bruisende food  beverage outlets, , In ons hotel vind je SkyLounge Amsterdam, awardwinning rooftop terras, popup restaurant Eastwood Beer  Grill, onze eigen Starbucks store en het meest gevarieerde ontbijtbuffet van de stad Natuurlijk krijg jij in al onze outlets 50 korting Daarnaast kun jij naast je baan onbeperkt fit blijven Onze fitness is namelijk 247 beschikbaar voor jou, , Wil jij alles leren over de Food  Beverage afdelingen in een viersterren hotel En ben je op zoek naar een stageplaats midden in het centrum van Amsterdam Zoek dan niet verder, , Als Food  Beverage stagiare leren wij je alle ins en outs binnen onze verschillende bars en restaurant Denk aan een heerlijke steak serveren in Eastwood Beer  Grill, een cocktail shaken in SkyLounge Amsterdam en een goede koffie zetten in onze Lobby Bar of eigen Starbucks store Wij leren het je graag Je komt terecht in een gezellig en gevarieerd team met zowel Nederlandse als internationale collegas Als Food  Beverage stagiaire is geen dag hetzelfde, , En, voor wij het vergeten naast de vele faciliteiten binnen ons hotel kun je zelf genieten van de Hilton service, wereldwijd en met korting, , Altijd al willen weten hoe het is om bij DoubleTree by Hilton Amsterdam Centraal Station te werken Bekijk dan onze team member video httpsyoutube2BaXEjZfbTI",Full-time,https://www.linkedin.com/jobs/view/externalApply/2276006232?url=https%3A%2F%2Fwww%2Ewerkenineenhotel%2Enl%2Fvacature%2Fbediening-bar-f-b%2Famsterdam%2Fnoord-holland%2F8219%2F%3Fprev%3D1&urlHash=DQy3&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/food-and-beverage-stagiair-e-per-februari-2021-at-doubletree-by-hilton-amsterdam-centraal-station-2276006232?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
8,food serving,LinkedIn,2306061903,Customer Service Specialist,j/zZ//5LSoGzzMXZ8gz2bg==,SIRE,"Rotterdam, South Holland, Netherlands","['Biotechnology', 'Hospital & Health Care', 'Pharmaceuticals']","The Company, , Our client is a food production company based in the Rotterdam region, , Role description",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306061903?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6463216aa1c1%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacddcaddaedddfddecddfaddagadfaadffddf3aedcdcffec3ddcg3e&urlHash=bgbC&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-sire-2306061903?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
9,food serving,LinkedIn,2304669749,Team lead QA,85II9RQ9RyCEvF3Yz7YDyg==,Cargill,"Wormer, North Holland, Netherlands","['Chemicals', 'Food & Beverages', 'Food Production']","Want tou202fbuild a stronger, more sustainable future and cultivate your career Join Cargills global team of 155,000 employees who are committed to safe, responsible and sustainable ways to nourish the world This position is in Cargills food ingredients and bioindustrialu202fbusiness, where we anticipate trends around taste, nutrition and safety to innovate and provide solutions to manufacturers, retailers and foodservice companies, , Are you looking for a dynamic role in fast pace environment We are looking for the Quality Assurance Supervisor who will lead a variety of food safety and quality assurance programs You will supervise the audits and inspect processes that monitor food handling, storage, and service operations to assure compliance with current food safety and quality regulatory requirements You will lead and review the work of a team of young professionals working work on quality assurance, creating customer value and continuous improvement The FSQR team works for the cocoa cluster WormerZaandam consisting of one cocoa factory and two cocoa liquor factories, , , , , , , , , , , , , In return for your expertise and commitment, we will provide a fast paced stimulating international environment, which will stretch your abilities and channel your talents We also offer competitive salary and benefits combined with outstanding career development opportunities in one of the largest and most solid private companies in the world, , , , , , Cargill is committed to being an inclusive employer Click here to find out more httpscareerscargillcomdiversity",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304669749?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F458005716%3B262195748%3Bp%3Fhttps%3A%2F%2Fcareers%2Ecargill%2Ecom%2Fjob%2F-%2F-%2F23251%2F18086674%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcore_media%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=wh74&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/team-lead-qa-at-cargill-2304669749?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
10,food serving,LinkedIn,2224730225,Senior Customer Service Representative,D6IrlPGHRz6cfExHymtI5Q==,Corbion,"Gorinchem, South Holland, Netherlands",['Biotechnology'],"At Corbion, we exist to champion preservation in all its forms, preserving food and food production, health, and our planet, , As our Customer Service Representative, you are the extension of our sales team You form a tandem with our sales managers and you develop and add value to the relationships with our customers You are devoted to managing and maintaining customer satisfaction, loyalty and profitability throughout the customer order process",Full-time,https://www.linkedin.com/jobs/view/externalApply/2224730225?url=https%3A%2F%2Fcareer2%2Esuccessfactors%2Eeu%2Fsfcareer%2Fjobreqcareer%3FjobId%3D1263%26company%3Dcorbion&urlHash=tG5V&refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-customer-service-representative-at-corbion-2224730225?refId=b45c9e7b-419f-4863-ba4d-8fea1be55702&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,7 days ago,7 days ago,2020-11-20,2020-11-26
