Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,physiotherapist,LinkedIn,2315398919,Fysiotherapeuten (tijdelijk),oicjxWyQRbaj2/qvrZ6hRg==,Zorgpartners MiddenHolland,"Gouda, South Holland, Netherlands",['Hospital & Health Care'],"Ronssehof is onderdeel van Zorgpartners MiddenHolland dat zich ten doel stelt de kwaliteit van leven, wonen en welzijn te bevorderen voor clinten overeenkomstig de visie van Zorgpartners MiddenHolland, De locatie biedt plaats aan 135 bewoners verdeeld over 1 psychogeriatrische afdeling en 2 verzorgingsafdelingen Ronssehof Geriatrische Revalidatie biedt ruimte aan 65 klinische patinten en biedt daarnaast ambulante therapie aan in het kader van het herstel na een trauma of crisissituatie De keuze van de te leveren zorg berust zowel op de wensen van de clint en zijn omgeving als op professionele afwegingen, waarbij de wens van de clint voorop staat Binnen Ronssehof wordt gewerkt met integrale revalidatieteams, waarin zorg en behandelaren verenigd zijn, , Wij zijn voor onze Revalidatie afdeling op zoek naar een tweetal, , , , , In de revalidatie zorg heeft de fysiotherapeut een unieke rol in de begeleiding tijdens het revalidatieproces van patinten, in samenwerking met het multidisciplinaire team bestaande uit behandelaren van overige vakgroepen en het zorgteam, , Wij zoeken momenteel 2 tijdelijke fysiotherapeuten, , , , Je voert de fysiotherapeutische intake uit, stelt een behandelplan op en behandelt en begeleidt naar aanleiding hiervan de patint Vanuit multidisciplinair overleg lever jij een bijdrage aan het behandelplan Daarbij geef je advies en voorlichting aan patinten en hun familie en andere disciplines vanuit jouw eigen specifieke deskundigheid Je houdt de ontwikkelingen in je eigen vakgebied goed bij, , , , Jij bent een echte duizendpoot en kunt met iedereen overweg Daarnaast beschik je over goede sociale vaardigheden, ben je integer, geduldig, flexibel en ondernemend Tijdens het uitvoeren van je werk krijg je regelmatig persoonlijke verhalen te horen van bewoners, familieleden en collegas Het is belangrijk dat je daar integer mee omgaat",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315398919?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D934514a3b101%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cdddcddcbddb8ddfbddcaadfgdddaadefddf3degcdcffec3ddcg3e&urlHash=tbB7&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/fysiotherapeuten-tijdelijk-at-zorgpartners-midden-holland-2315398919?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
2,physiotherapist,LinkedIn,2307896732,Keuringsassistent,xoLMfRyvTRqvUDcibVeMBQ==,Ministerie van Defensie,"AmsterdamNoord, North Holland, Netherlands","['Government Administration', 'Human Resources']","Wat ga je doen, , Voordat militairen bij Defensie aan de slag kunnen, krijgen zij een medische aanstellingskeuring bij het Marine Etablissement Amsterdam Die wordt verzorgd door de sectie Medische Keuringen, onderdeel van de divisie Personeel en Organisatie Als keuringsassistent voer je enkele medische onderzoeken uit en draag je bij aan een succesvolle inzet van onze krijgsmacht, , Jij bent verantwoordelijk voor de gastvrije ontvangst en begeleiding van kandidaten Je verricht enkele medische onderzoeken, waaronder een gehoortest, visustesten en een ECG Ook zorg je voor de beoordeling van de fysieke testen die de kandidaten ondergaan deels buiten Verder lever je als keuringsassistent een bijdrage aan de bedrijfsvoering door bijvoorbeeld op roulatiebasis de medische balie te bemensen en bij te dragen aan andere taken binnen de sectie De medische balie is de plek waar alle keuringsactiviteiten gemonitord en gestuurd worden, , , , , , , , schaal 5, 1900 bruto per maand, 2750 bruto per maand, Vaste aanstelling  Arbeidsovereenkomst voor onbepaalde tijd eventueel met een proeftijd, 24, 38, Amsterdam  Marine Etablissement, NoordHolland, , , , Naast het salaris en vakantiegeld kun je rekenen op een eindejaarsuitkering van 8,33 Defensie hecht sterk aan persoonlijke groei en loopbaanontwikkeling en biedt daarvoor tal van mogelijkheden Tot de secundaire arbeidsvoorwaarden behoren onder meer maximaal 75 betaald ouderschapsverlof onder voorwaarden, studiefaciliteiten, een extra verlofregeling voor ouderen en een vergoeding woonwerkverkeer, , , , Defensie zet zich in voor de belangen, welvaart en vrijheid van Nederland We zijn dagelijks actief in binnen en buitenland Onze wereldwijde inzet versterkt de internationale samenwerking en zorgt ervoor dat mensen zich in vrijheid kunnen ontplooien Nu en in de toekomst, , Bij het ministerie van Defensie werken ongeveer 58000 mensen direct en indirect aan vrede en veiligheid Het ministerie bestaat uit de Bestuursstaf het departement, de Koninklijke Marine, de Koninklijke Landmacht, de Koninklijke Luchtmacht, de Koninklijke Marechaussee, het Defensie Ondersteuningscommando DOSCO en de Defensie Materieel Organisatie DMO, , Defensie is een van de grootste werkgevers van Nederland en vertoont overeenkomsten met een groot bedrijf De operationele commandos zee, land en luchtstrijdkrachten, de Marechaussee, het DOSCO en de DMO lijken op werkmaatschappijen, , , Het DOSCO is de overkoepelende dienstverlener voor de gehele Defensieorganisatie Elk dienstencentrum heeft zijn eigen expertise Het DOSCO streeft ernaar de klantgerichtheid te versterken, de dienstverlening te professionaliseren en de doelmatigheid te vergroten, , , , Je komt te werken binnen de sectie Medische Keuringen van de afdeling Selectie en Keuring van het Dienstencentrum Personeelslogistiek DC PL van de divisie Personeel en Organisatie DPOD De DPOD is onderdeel van het Defensie Ondersteuningscommando Kerntaken van het DC PL zijn het optimaal kwantitatief en kwalitatief vullen van de Defensieorganisatie en het begeleiden van medewerkers naar een nieuwe baan bij einde dienstverband, , Zo helpt het DC PL jaarlijks ruim 4000 talenten aan een uitdagende en zinvolle baan bij Defensie Dit begint met meer dan vijf miljoen bezoekers aan de website wwwwerkenbijdefensienl en bijna 10000 kandidaten die zich inschrijven voor voorlichtingen Er vinden meer dan 7000 psychologische gesprekken en tussen de 4000 en 5000 medische keuringen plaats Maar het DC PL helpt ook elk jaar bijna 400 collegas aan een baan buiten de organisatie, , Bij het DC PL draait alles om een tevreden klant en een gemotiveerde kandidaat Dat vraagt van de organisatie een integrale aanpak, waarbij alle expertise op het gebied van arbeidsmarktcommunicatie, recruitment, samenwerking met het civiel onderwijs, selectie en keuring, organisatie en personeelsplanning en employability wordt gebundeld om de kandidaat optimaal te begeleiden Maatwerk en flexibiliteit zijn daarbij essentieel Vanuit diezelfde visie voert DC PL de regie op de in, door en uitstroom van mensen Om daarin succesvol te zijn, investeert DC PL voortdurend in de expertiseontwikkeling van collegas en in de relatie met de maatschappelijke partners, , Missie het DC PL beweegt talent voor Defensie, Visie vroegtijdig mensen vinden, binden, boeien en laten groeien, , , De afdeling Selectie en Keuring zorgt op efficinte en effectieve wijze voor psychologische selectie en het uitvoeren van aanstellingskeuringen voor het instroom en doorstroomproces van militair en burgerpersoneel Dat doen we in de gevraagde aantallen, met de juiste kwaliteit en op het juiste moment, , Voor het door en uitstroomproces levert de afdeling specifiek psychologisch advies, zoals assessments en loopbaanorintaties Daarnaast zorgen we voor het kwalitatief behoud en de verbetering van deze dienstverlening, , De sectie Medische Keuring bestaat uit een hoofd, bedrijfsartsen, een hoofd fysiotherapie, fysiotherapeuten, een hoofd keuringsassistenten en senior keuringsassistenten In totaal gaat om ongeveer negentien formatieplaatsen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2307896732?url=https%3A%2F%2Fwerkenbijdefensie%2Enl%2Fvacatures%2Fniet-militaire-vacatures%2Fkeuringsassistent-4604&urlHash=S2Rd&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/keuringsassistent-at-ministerie-van-defensie-2307896732?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
3,physiotherapist,LinkedIn,2320598411,Fysiotherapeuten (tijdelijk),pAXt3N88QrC7dljlgSbWzA==,Zorgpartners,"Gouda, South Holland, Netherlands",None,"Verder Heb Je, , Ronssehof is onderdeel van Zorgpartners MiddenHolland dat zich ten doel stelt de kwaliteit van leven, wonen en welzijn te bevorderen voor clinten overeenkomstig de visie van Zorgpartners MiddenHolland De locatie biedt plaats aan 135 bewoners verdeeld over 1 psychogeriatrische afdeling en 2 verzorgingsafdelingen Ronssehof Geriatrische Revalidatie biedt ruimte aan 65 klinische patinten en biedt daarnaast ambulante therapie aan in het kader van het herstel na een trauma of crisissituatie De keuze van de te leveren zorg berust zowel op de wensen van de clint en zijn omgeving als op professionele afwegingen, waarbij de wens van de clint voorop staat Binnen Ronssehof wordt gewerkt met integrale revalidatieteams, waarin zorg en behandelaren verenigd zijn  Wij zijn voor onze Revalidatie afdeling op zoek naar een tweetal Fysiotherapeuten tijdelijk Werk jij graag als fysiotherapeut in een team van specialisten in de ouderenzorg Dan is werken bij Ronssehof Revalidatie van Zorgpartners MiddenHolland echt iets voor jou In de revalidatie zorg heeft de fysiotherapeut een unieke rol in de begeleiding tijdens het revalidatieproces van patinten, in samenwerking met het multidisciplinaire team bestaande uit behandelaren van overige vakgroepen en het zorgteam Wij zoeken momenteel 2 tijdelijke fysiotherapeuten Zo ziet jouw baan eruit Je voert de fysiotherapeutische intake uit, stelt een behandelplan op en behandelt en begeleidt naar aanleiding hiervan de patint Vanuit multidisciplinair overleg lever jij een bijdrage aan het behandelplan Daarbij geef je advies en voorlichting aan patinten en hun familie en andere disciplines vanuit jouw eigen specifieke deskundigheid Je houdt de ontwikkelingen in je eigen vakgebied goed bij Herken jij jezelf hierin Jij bent een echte duizendpoot en kunt met iedereen overweg Daarnaast beschik je over goede sociale vaardigheden, ben je integer, geduldig, flexibel en ondernemend Tijdens het uitvoeren van je werk krijg je regelmatig persoonlijke verhalen te horen van bewoners, familieleden en collegas Het is belangrijk dat je daar integer mee omgaat",Full-time,https://www.linkedin.com/jobs/view/externalApply/2320598411?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Ffysiotherapeuten-tijdelijk%3A44353642%2F&urlHash=pu_C&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/fysiotherapeuten-tijdelijk-at-zorgpartners-2320598411?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
4,physiotherapist,LinkedIn,2321455749,fysiotherapeut vgz,IfnW+/2kQa2HOG/7vry7oQ==,Cordaan,"Amsterdam, North Holland, Netherlands",['Legal Services'],"Omschrijving, , Geert Fysiotherapeut VGZ Als fysiotherapeut in de verstandelijk gehandicaptenzorg ben je een onderdeel in de zoektocht van de clint naar zo veel mogelijk vrijheid en zelfstandigheid Ieder heeft een hele specifieke aanpak in de ondersteuningsvraag voor het behouden en vergroten van fysieke mogelijkheden Samen met het team maak ik deel uit van hun leven Wil jij dat ook, , De baan, , Mensen met een beperking moeten, net als ieder ander, zo volwaardig mogelijk kunnen deelnemen aan de samenleving Uitgangspunt daarbij is mensen zoveel mogelijk de regie terug te geven over hun eigen leven en hen vanuit die invalshoek te ondersteunen Cordaan richt zich op mensen met een verstandelijke beperking, gedragsproblematiek en mensen met sociaalpsychiatrische problematiek, , Als fysiooefentherapeut binnen Cordaan stel je op basis van onderzoek en diagnose een fysiotherapeutisch behandelplan op wat aansluit bij het zorgplan van de clint Dit doe je in overleg met oa persoonlijk begeleider, arts voor verstandelijk gehandicapten, gedragsdeskundigen en overige betrokkenen Samen met dit multidisciplinaire team bepaal je samen of de huidige behandeling nog passend is bij de hulpvraag van de clint, , , , Je draagt zorg voor de administratieve werkzaamheden Je geeft instructies, richtlijnen, adviezen en voorlichting aan behandelaars, verplegendverzorgend personeel en clinten en hun relaties Uiteraard werk je samen met een andere fysiotherapeuten en andere behandelaars, , , Wat wij bieden, , , Wij vragen een collega die",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321455749?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb89e1bf1-202a-4bb6-b8c2-ed755a0cae87%3Fjid%3D2f604c1eccf36bd6be32234613c5f5561fa431ff67abbc849f16a4472d59a3d4%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=8f02&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/fysiotherapeut-vgz-at-cordaan-2321455749?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
5,physiotherapist,LinkedIn,2312433910,Gedragsdeskundige,xz6ZyG/bTPiOe/Rkc84pvg==,Stichting Philadelphia Zorg,"Hilversum, North Holland, Netherlands",None,"Voor de omgeving Utrecht en het Gooi is het Expertisecentrum van Philadelphia op zoek naar een enthousiaste Gedragsdeskundige voor 32 tot 36 uur per week Wij hebben een uitdagende baan voor je Wat ga je doen  Als gedragsdeskundige lever je een belangrijke bijdrage aan de professionele zorg voor onze clinten met een verstandelijke beperking De clinten hebben bijna allemaal een verstandelijke beperking Het gaat zowel om clinten met een licht verstandelijke beperking met eventueel bijkomende psychischepsychiatrische problematiek als om clinten met een matig verstandelijke beperking, varirend in leeftijd van jong volwassen tot senior Als gedragsdeskundige voer je psychologisch dan wel orthopedagogisch onderzoek uit en behandel je zelf ook clinten Daarnaast is er ruimte om invloed uit te oefenen op beleid en draag je bij aan innovatieve zorgoplossingen Jouw werkplek Als gedragsdeskundige ben je onderdeel van het landelijke Expertisecentrum van Philadelphia, dat voor alle clinten van Philadelphia behandeling realiseert Binnen het Expertisecentrum werk je samen met fysiotherapeuten, logo en ergotherapeuten, spel en muziektherapeuten, bewegingsagogen en natuurlijk je collega gedragsdeskundigen Je bent verbonden aan meerdere woonlocaties Op deze locaties wordt zorg en ondersteuning geboden aan volwassenen met een licht of matige verstandelijke beperking Daarnaast speelt vaak bijkomende problematiek zoals verslaving, psychiatrie, moeilijk verstaanbaar gedrag of ouderdomsklachten Indien je GZ psycholoog of Orthopedagoog Generalist bent, geef je daarnaast werkbegeleiding en supervisie aan collega gedragsdeskundigen en ben je actief als Wzdfunctionaris Over jou Je bent GZ psycholoog of orthopedagoog generalist met kennis van en ervaring met clinten met een matige of licht verstandelijke beperking en bijkomende problematiek Je hebt bij voorkeur kennis van psychiatrie enof ouderdomsgerelateerde klachten bij mensen met een verstandelijke beperking Je beschikt over goede communicatieve en didactische vaardigheden Je bent bereid te reizen n om een deel van je werkzaamheden op afstand via beeldbellen te verrichten Philadelphia vindt het belangrijk medewerkers op diverse manieren te ondersteunen in hun ontwikkeling Dit krijg je van ons",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312433910?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fgedragsdeskundige%3A44264791%2F&urlHash=57-F&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gedragsdeskundige-at-stichting-philadelphia-zorg-2312433910?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
6,physiotherapist,LinkedIn,2293882421,Lid Raad van Commissarissen,RhMKPPC/S7qJsoSSBmmRtg==,ZorgvisieBanen,"Hoofddorp, North Holland, Netherlands","['Research', 'Staffing and Recruiting', 'Hospital & Health Care']","Zorggroep Haarlemmermeer is een multidisciplinaire eerstelijnsorganisatie waarin eerstelijns zorgverleners samenwerken Wij ondersteunen eerstelijnsprofessionals in de Haarlemmermeer om te komen tot de beste zorg dichtbij huis Dit doen wij door het ontwikkelen en invoeren van zorgprogrammas en wijkgerichte zorg Daarnaast vertegenwoordigen wij de deelnemers richting zorgverzekeraars, gemeente en overige stakeholders Tevens treden we op als serviceorganisatie, , De organisatie bestaat uit 3 juridische entiteiten De Coperatie Eerstelijn Haarlemmermeer met leden, zijnde huisartsen, apothekers, fysiotherapeuten en ditisten Onder deze entiteit vallen twee uitvoeringsorganisaties Zorggroep Haarlemmermeer en Huisartsen Haarlemmermeer Er is n Raad van Commissarissen voor deze beide organisaties, , In verband met het aflopen van de zittingstermijn van n van de drie leden van de Raad van Commissarissen is een vacature ontstaan, , De Raad van Commissarissen vervult de rol van toezichthouder, klankbord en werkgever Zij bewaakt de maatschappelijke doelstelling en houdt toezicht op de algemene gang van zaken bij Zorggroep Haarlemmermeer en Huisartsen Haarlemmermeer De Zorgbrede Governance Code vormt hierbij een belangrijk kader, , Wij zoeken een kandidaat, , , , U kunt uw sollicitatie, voor 1 december 2020, richten aan mevrouw D Doeleman, office manager ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2293882421?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F13464cba-0254-45ce-8225-bd4a8b68cc37%3Fjid%3De95adff0103b132bcc2581c5fd99d27c47135a65b0c212e456f658066af28cca%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=LTDo&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/lid-raad-van-commissarissen-at-zorgvisiebanen-2293882421?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
7,physiotherapist,LinkedIn,2325417886,Senior begeleider wonen | Heemstede | Gehandicaptenzorg | 28-32 uur - Hartekamp Groep,LhwNF5raTpGcbFtg8vIURQ==,De Hartekamp Groep,"Heemstede, North Holland, Netherlands",['Hospital & Health Care'],"Kleine signalen herkennen en gebruik maken van gevoel zijn op Bosuilplein 34 onmisbaar Kunnen bewegen, zien, horen en praten is niet vanzelfsprekend Zachtjes blazen op iemands hoofd, zodat hij weet dat je in de buurt bent Iemand die met haar linker oog knippert, kan daar iets mee bedoelen Jij hebt gevoel voor de kleine dingen, creert geluksmomenten en kijkt vooral naar wat wl kan, , Dat je met elke bewoner iets eigen hebt Samira vindt het heerlijk als ik aan haar haar kriebel Met een andere collega heeft ze weer een ander dingetje Je zorgt voor een lach, maar die krijg je ook echt terug, , Over het algemeen wordt de ADLzorg volledig overgenomen Er wordt gewerkt met tilliften, een spraakcomputer en er wordt sondevoeding en verschillende medicatie gegeven De bewonersgroep is gevarieerd Zowel in leeftijd, van 16 tm 77 jaar, als in wat de bewoners kunnen en aankunnen Het is een globale omschrijving van onze bewoners, want je moet weten dat er ook enkele uitzonderingen zijn hun leeftijd en verbaal vermogen is net even anders, , , , Overdag gaan de meeste bewoners naar de dagbesteding Bij thuiskomst willen we een huiselijke sfeer creren Koffie drinken met een koekje erbij Meezingen of luisteren naar Jan Smit en kletsen over de dag Heel eerlijk, hier willen we nog meer in doen tijd maken voor een voetenbadje of bijvoorbeeld een stukje wandelen Leuk om te weten is dat wij binnenkort een softplayruimte krijgen Bewoners kunnen dan even uit hun rolstoel Genieten, spelen en bewegen, , , , Het belangrijkste is dat je er bent voor de bewoners Je weet van aanpakken en gaat makkelijk met de computer om boodschappen bestellen, roosteren en andere taken Je communiceert makkelijk met verschillende disciplines, denk aan gedragswetenschappers, psychologen, artsen, orthopedagogen en fysiotherapeuten, , Verder, , , , , , , , , Dat kan via onderstaande link Heb je vragen over de vacature Dan kun je contact opnemen met Miron van den Heiligenberg via 0235833106, , Acquisitie naar deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325417886?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D5a1f2b1ab972%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcadfcddfbada8ddebadeaddfgadfaadefdd73de9cdcefec3ddcg3e&urlHash=Goc9&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/senior-begeleider-wonen-heemstede-gehandicaptenzorg-28-32-uur-hartekamp-groep-at-de-hartekamp-groep-2325417886?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
8,physiotherapist,LinkedIn,2322652798,Basispsycholoog Amsterdam | Evean,Zwskddt3QhO1S1t4+iaWpw==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van Evean, locatie Amsterdam, , Ben jij betrokken met ouderen en ligt jouw hart in de ouderenzorg Wil jij een kwalitatieve bijdrage leveren aan verschillende doelgroepen binnen de ouderenzorg Wil jij de dankbaarheid van onze bewoners ervaren, , Jouw directe collegas bij Evean maken graag kennis met jou Ga voor meer informatie over deze tijdelijke vacature als parttime in gesprek met ons en ontdek wat Evean en deze baan jou kan bieden Jouw interesse maak je kenbaar door op de sollicitatiebutton te drukken, , , , Evean is een van de grootste zorgaanbieders in NoordHolland, , Als Basispsycholoog kom jij te werken bij de afdeling Psychologie van Behandelzaken De afdeling is ondermeer betrokken bij chronisch somatische zorg, psychogeriatrie en GRZ geriatrische revalidatie zorg ambulant, , De vakgroep psychologie behoort tot de psychosociale dienst, waartoe ook de psychomotore therapie en maatschappelijk werk behoren Binnen de vakgroep zijn zowel psychologen, GZpsychologen, Basispsychologen en Psychologen io tot GZpsycholoog werkzaam, , Naast bovengenoemde collegas werken we multidisciplinair samen met oa specialisten ouderengeneeskunde en basisartsen, fysiotherapeuten, ergotherapeuten, ditisten, logopedisten en zorgcollegas, , Jij komt te werken in een team waar de werksfeer goed is, er hard wordt gewerkt maar waar ook ruimte is voor humor en gezelligheid Collegas luisteren naar elkaar en staan voor elkaar klaar Detail is dat we onze overleggen altijd doen onder het genot van een kop koffie of thee en dat een reep chocolade daarbij zeker niet ontbreekt, , Al onze locaties zijn goed bereikbaar met zowel auto met veelal gratis parkeergelegenheid op eigen terrein als openbaar vervoer, , , , , , , , Als Basispsycholoog krijg jij externe supervisie van een ervaren GZpsycholoog zodat jij vol vertrouwen aan de slag kunt en jouw werk kunt uitvoeren, , , , , , , , Jij herkent je in de kernwaarden van Evean Uitnodigend, Deskundig, Bevlogen, Betrouwbaar, Samen, , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Temporary,https://www.linkedin.com/jobs/view/externalApply/2322652798?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F6189_evean%2Fvacatures%2F4810173_basispsycholoog-amsterdam%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%2Bamsterdam&urlHash=yLyQ&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/basispsycholoog-amsterdam-evean-at-werkzoeken-nl-2322652798?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
9,physiotherapist,LinkedIn,2322997284,Medewerker Helpdesk Digitale Zorg,uWdwrWMHQ/2CkpqWDAAz+Q==,Tergooi,"Hilversum, North Holland, Netherlands",None,"Functieomschrijving Jij gaat aan de slag als helpdeskmedewerker Je werkt in diensten, waarbij je telefonisch vragen van allerlei mensen beantwoordt rondom verschillende vormen van digitale zorg Daarnaast help je mee de informatievoorziening op de website uit te breiden Dit doe je door handleidingen op te zoeken of te maken en door de FAQs aan te vullen Ook heb je contact met leveranciers over hun digitale zorgproducten, zodat je zelf alle ins en outs weet De Helpdesk is volop in ontwikkeling en jij helpt bij het verder opzetten ervan, , Wat vragen wij",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322997284?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fmedewerker-helpdesk-digitale-zorg%3A44384240%2F&urlHash=aNYh&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/medewerker-helpdesk-digitale-zorg-at-tergooi-2322997284?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
10,physiotherapist,LinkedIn,2323561925,Algemeen Fysiotherapeut gezocht in Amsterdam | PhysioMatch,ipxs2GL8SdujE4IKIS+8Uw==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Hospital & Health Care', 'Mental Health Care']","Vacature van PhysioMatch, locatie Amsterdam, , Functieomschrijving, , Algemeen Fysiotherapeut Gezocht In Amsterdam, , , , , , Het historische pand is gelegen in Amsterdam Centrum Patinten worden in deze praktijk behandeld door middel van bewezen behandelmethoden Met deze behandelmethoden behaald de praktijk al sinds 1979 maximaal resultaat Naast deze effectieve behandelmethoden streeft de praktijk ook naar hoge tevredenheid de patinten die zij behandelen Verder heerst er een informele bedrijfscultuur, is er ruimte voor initiatief en investeren zij samen in jouw ontwikkeling, , , , , , , , , , , Op zoek naar een buitenlands avontuur Wij hebben vele opties voor fysiotherapeuten in Zwitserland, , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Temporary,https://www.linkedin.com/jobs/view/externalApply/2323561925?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F10105_physiomatch%2Fvacatures%2F4996056_algemeen-fysiotherapeut-gezocht-in-amsterdam%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dhealth%2Bamsterdam&urlHash=CDNb&refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/algemeen-fysiotherapeut-gezocht-in-amsterdam-physiomatch-at-werkzoeken-nl-2323561925?refId=c6eecc2c-f8df-441e-b95e-e76d68bf8cac&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,2020-11-19,2020-11-29
